,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,76.62895629864856,99.34407348924762,1.021609512958516,3.256591108129532,0.11777216996372,-0.11777216996372,0.0,"[39008.272179551415, 11897.121895663693]","[[0.0, 0.0], [0.0, 0.0], [39008.272179551415, 11897.121895663693]]","[1129.3386625879016, 181.705497566158, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978]]",42.181854268709806,147.48205935951165,778.8026375434246,103.92352249139374,100.77081093361544,,2.67604419842217,3.2464523994488705,0.3953514391290913,3.256591108129532,107354.67990128376,20.012500582053253,0.0028233735011666,"(7773.286161901892, 0, 359.4798793253538)",103.92352249139374,0.0028233735011666,0.03118229996654794,0.0007270988740428364,0.030323534398418225,0.00013166669408680242,0.36750652309633436,2.749076799267138,1.4906575582803294e-07,0.3428109528326668,0.00014675469432288263,2.40418430477486,0.08091577654637919,2.3108929992528746,0.012375528975607314,2.3527040560812508e-05,4.102680600422674e-05,0.000341131639561377,2.4289997615678775e-11,1.4193196330804748e-19,1.8196046519128033e-11,6.0939509546187896e-12,4.546973910229126e-10,8.043276138510655e-11,3.669038628770869e-10,9.970579868355239e-12,1.5787390716820088e-09,9.109202009599964e-09,8.490263895837766e-05,0.16337081040252804,96.24629678980712,100.77081093361544,104.01421333459943
1,AlTCPP,81.32994213165813,99.60149026649046,1.5059540361841464,4.454633347294071,0.0916525072426325,-0.0916525072426325,0.0,"[57051.736060488896, 13096.76591204748]","[[0.0, 0.0], [0.0, 0.0], [57051.736060488896, 13096.76591204748]]","[1217.032717980287, 269.39955295854327, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978]]",50.401919346528224,113.0043145661976,602.7477186355899,80.83734146121952,78.91673267996826,,2.082547688074759,2.653146596848926,0.3854314428259026,4.454633347294071,106620.44904529008,24.341691949940603,0.0021962848350354,"(6005.43554824822, 0, 289.8078476871179)",80.83734146121952,0.0021962848350354,0.02440381846609278,0.0005693863810528932,0.02373132763398541,0.000103104451054415,0.28779445921977564,2.1529619654223118,1.1661063256028972e-07,0.26842889745617726,0.0001155661053533057,1.8824810215629644,0.06334860739505306,1.8094443147162003,0.00968809945171142,1.8420535330799993e-05,3.245337659690741e-05,0.0002709508973811797,1.898710351289153e-11,1.1111257084838666e-19,1.4229615333534387e-11,4.757488068244582e-12,3.5580512193651787e-10,6.29165076257071e-11,2.8714899120000584e-10,7.783026563155463e-12,1.2359172901065458e-09,7.008820865350583e-09,6.730772444862839e-05,0.1279390491371086,97.17083357907472,78.91673267996826,80.89077650538701
2,AlTCPP-FF2,94.0167548012894,99.32116420518304,0.917905198840329,2.9476741070400965,0.1234805404797107,-0.1234805404797107,0.0,"[34774.026214957805, 2213.026027437706]","[[0.0, 0.0], [0.0, 0.0], [34774.026214957805, 2213.026027437706]]","[1121.0393672533062, 173.4062022315624, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978]]",4827.026604321984,150.05557082867557,752.9939694496551,108.68713900454266,105.2983240157456,,2.8057510027246364,3.3799925985878585,0.3603666084891033,2.947674107040097,100194.7790373683,62.228897185328485,0.0029043252425033,"(7462.866650788978, 0, 349.60931893329797)",108.68713900454266,0.0029043252425033,0.032153171629070325,0.0007474115671794649,0.031270407137235355,0.00013535292465543568,0.37776789091776086,2.82714888939366,1.5356282582869586e-07,0.35245914581024673,0.00015209191743281226,2.471869407036988,0.0832742197499861,2.375866278427969,0.012728908859033177,2.419172693070543e-05,4.2722168165374795e-05,0.00035697989724052954,2.5039626355602343e-11,1.45982585257883e-19,1.874134617565047e-11,6.298280033969299e-12,4.679449295390929e-10,8.289444802669841e-11,3.77423663822207e-10,1.0321930010942228e-11,1.6260137039703642e-09,9.663950486406606e-09,8.874160537822873e-05,0.16792241707971514,96.12767376609472,105.2983240157456,108.79647577394319
3,Ca-SQA,92.69076983908852,99.8348162797244,1.104763675819373,2.96247816036696,0.1078963241613194,-0.1078963241613194,0.0,"[80176.02731505893, 6322.3667043723235]","[[0.0, 0.0], [0.0, 0.0], [80176.02731505893, 6322.3667043723235]]","[1342.507528378571, 394.8743633568272, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978]]",150.62044926378752,95.41238534429186,653.853003129157,88.12431834286828,85.70941900300313,,2.451643137694773,3.0253024838718643,0.3628742889603705,2.96247816036696,101842.67893585283,52.51250627445269,0.0025426660863717,"(6641.015372614907, 0, 316.8336491253854)",88.12431834286828,0.0025426660863717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,85.70941900300313,0.0
4,CALF20,89.3487321062729,99.72626414401596,0.8456076313391134,2.4297566202491354,0.109617838097959,-0.109617838097959,0.0,"[63153.9996808803, 7528.592217305627]","[[0.0, 0.0], [0.0, 0.0], [63153.9996808803, 7528.592217305627]]","[1252.877529976098, 305.24436495435435, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978]]",105.9651669551207,110.98948982938474,686.853681982319,92.32987819305892,89.7492227898602,,2.490759742101964,3.063152943341687,0.3693085319010153,2.429756620249135,103717.74804906597,41.4566742389979,0.0025948853211066,"(6902.18488351225, 0, 326.8878567966538)",92.32987819305892,0.0025948853211066,0.02882000325927895,0.0006702920402493467,0.028028312468691922,0.0001213987503376127,0.33876258332994713,2.5381422308493238,1.381174318615012e-07,0.316150561853095,0.00014058577984792512,2.216531319120842,0.07480722539606066,2.1303084742643033,0.011415619460478293,2.168732158734878e-05,4.0332343687712336e-05,0.00034350547870752325,2.232054480092711e-11,1.3099116324293147e-19,1.6749981999497623e-11,5.570562670438335e-12,4.19878744235287e-10,7.414349110402141e-11,3.389044982346553e-10,9.269509376129783e-12,1.4598776653319436e-09,8.562766975767908e-09,8.474375002926517e-05,0.15058454778814281,96.85215288634971,89.7492227898602,92.41255286461674
5,CAU10,79.90011214826588,99.6887562832518,1.296162917513435,3.680611748887363,0.1028946760040112,-0.1028946760040112,0.0,"[70326.38367686405, 17691.494879255577]","[[0.0, 0.0], [0.0, 0.0], [70326.38367686405, 17691.494879255577]]","[1267.774712847379, 320.1415478256353, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978]]",43.89308777669733,106.0998944708589,688.7091388107451,86.43038659862995,84.12578840855525,,2.3379946285602577,2.908466634386393,0.38841114856332,3.680611748887364,110268.22322543644,2.833589472662548,0.0024722074909226,"(6991.1824322791645, 0, 329.54690109543526)",86.43038659862995,0.0024722074909226,0.02726335424923955,0.0006390216809023742,0.02650862536835953,0.00011570719997757615,0.3229926480346861,2.4158230804419216,1.3071479519222003e-07,0.3012067295643037,0.0001288296437359063,2.112272834084764,0.0710386918924361,2.030366523550912,0.010867618641415753,2.0664870959686033e-05,3.603359443196878e-05,0.0002995728808520926,2.122156170268308e-11,1.246503244964905e-19,1.5948359287253266e-11,5.273202290779497e-12,3.9922432099427425e-10,7.033481764603913e-11,3.224745676340544e-10,8.705212109183038e-12,1.3842428125393213e-09,7.74052618350563e-09,7.449204309801286e-05,0.14359175298141919,96.97090640603541,84.12578840855525,86.48362203279261
6,CAU21,67.28951666170873,97.62382876088742,0.206800872813212,0.7470659697585602,0.4412803160212447,-0.4412803160212447,0.0,"[11254.093498677068, 5470.790342079126]","[[0.0, 0.0], [0.0, 0.0], [11254.093498677068, 5470.790342079126]]","[996.5427047469026, 48.90953972515891, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978]]",39.89050149391683,444.4178554975144,2958.851579466801,386.3987935738495,343.7183941959926,,10.02686483513319,10.59886264340738,0.4161508288674686,0.7470659697585603,105559.03106242426,30.600052697970217,0.0112058434109325,"(30335.78828981371, 0, 1257.9202481438524)",386.3987935738495,0.0112058434109325,0.11373593276000253,0.0026481655304745983,0.1106082082516916,0.0004795589778360289,1.3384570901894828,10.016534799879292,5.446806711216156e-07,1.2487036196858394,0.0005352043941307266,8.756860263818702,0.29501065719567743,8.416750329900482,0.04509927672254184,8.568624540255682e-05,0.00014958861457918467,0.0012439585367841476,8.837272208479031e-11,5.172663991352416e-19,6.63443730740813e-11,2.2028348493442642e-11,1.6578236741599721e-09,2.925558907679799e-10,1.3380980373244524e-09,3.672582897431405e-11,5.754117074013484e-09,3.505252914590505e-08,0.0003097474692957563,0.5949481479512921,86.52049153716513,343.7183941959926,387.8284214617884
7,CuAlPyC,87.79646524136177,99.74406005213903,0.94418946976603,2.72392670779252,0.1165748642455852,-0.1165748642455852,0.0,"[63909.24462632778, 8883.258409682267]","[[0.0, 0.0], [0.0, 0.0], [63909.24462632778, 8883.258409682267]]","[1247.8610681534587, 300.227903131715, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978]]",109.61945394599506,111.73872253121564,745.1863882420039,96.42036104764884,93.54901906351164,,2.6488387642203617,3.220744777610693,0.3723532338052335,2.72392670779252,106511.02291099132,24.986893213494625,0.0027699028181431,"(7566.140957746242, 0, 353.6273474623704)",96.42036104764884,0.0027699028181431,0.030628192483541067,0.000714389859925901,0.029784098788609954,0.00012970383500512649,0.3608833184312401,2.701974521657099,2.6167991626128093e-07,0.33852575631332016,0.00015211678294202717,2.4035862222523385,0.08409579071444107,2.307283514084897,0.012206917453001703,2.3472012796904197e-05,4.2073780391785226e-05,0.00035617822777849476,2.4601739349859875e-11,1.397822958637607e-19,1.868156316967301e-11,5.920176040404581e-12,5.095068772919742e-10,7.905156642042206e-11,4.20225653687653e-10,1.2811183385297127e-11,1.5620650363783988e-09,8.701786837443344e-09,8.816941295822084e-05,0.16041814910445165,96.68907978177224,93.54901906351164,96.50478623180226
8,CuAlPyC-FF2,85.856774371974,99.62691432063686,0.8338468614929809,2.4837234834146416,0.1253736661781307,-0.1253736661781307,0.0,"[56440.497123163164, 9297.468851001006]","[[0.0, 0.0], [0.0, 0.0], [56440.497123163164, 9297.468851001006]]","[1208.608253462969, 260.9750884412253, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978]]",79.09616962996371,122.25136826912332,813.8574394884823,103.9197222809856,100.59089447253882,,2.8487670059425563,3.4201570225409585,0.3762087891519865,2.4837234834146416,107960.25683458916,16.441881871526192,0.0029864242933821,"(8268.57669519103, 0, 381.5177278960131)",103.9197222809856,0.0029864242933821,0.03296332668676889,0.0007684846472951629,0.032055308109174466,0.00013953393029916882,0.3882045818349981,2.906724881102748,2.8398145059204204e-07,0.3642093586388389,0.00016383650843023942,2.58657000961069,0.09057614001887401,2.4828600056280066,0.013133863963809457,2.525844127202365e-05,4.530421353136536e-05,0.00038366247480493213,2.649589489014019e-11,1.503916699801661e-19,2.012168973118281e-11,6.374205008565719e-12,5.495282158073319e-10,8.507906203030761e-11,4.533690543370071e-10,1.3859164176022924e-11,1.68106521828613e-09,9.420267408615904e-09,9.497508565720257e-05,0.1725607125570641,96.34287979709097,100.59089447253882,104.01973084215867
9,DAZMID,32.5037976693881,67.86464679868074,0.0163570138897251,0.0618959259557839,5.089330218335695,-5.089330218335695,0.0,"[883.3756034583093, 1834.385602304634]","[[0.0, 0.0], [0.0, 0.0], [883.3756034583093, 1834.385602304634]]","[951.3590610967788, 3.725896075035085, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978]]",91.728187963752,5258.997083469524,34653.27127865357,-15236.46938149042,3912.947759772356,,115.64083950246751,116.25135333516948,0.5120716763314348,0.0618959259557839,-31401.168553430805,838.1483994895692,-0.4416419906842474,"(355657.12140480865, 0, 14216.398282844384)",4084734328674.9976,1386.8074589748771,1.296404632374211,0.03013549845181805,1.260811649478623,0.005457484443766428,15.231148975182055,114.0050412921083,6.207967844231429e-06,14.211864770046972,0.0060953679281598745,99.66585834357367,3.3593808928602455,95.79303575658888,0.5134416941245757,0.0009753012656338212,0.0017033445337187511,0.0141662367256769,1.007715086129412e-09,5.888847279594439e-18,7.561573059920789e-10,2.5155777424848617e-10,1.8882741892137307e-08,3.334531253417852e-09,1.523719694386963e-08,4.2000600475175407e-10,6.554637730536942e-08,4.0807828031341923e-07,0.0035289843978465016,6.7700134522782,-20.115395685568647,3912.947759772356,-13201.371815377894
