,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,99.95281704228732,75.21382662818745,1.6136578073860572,4.221651759485849,0.0962470658755191,-0.0962470658755191,0.0103549585115814,"[61614.542696343786, 29.085286923907297]","[[5145.602674789513, 10261.554409889974], [15111.267293297877, 1706.6716710191145], [61614.542696343786, 29.085286923907297]]","[1376.0415206055034, 389.8349641202579, 49.375735559426204, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 89.52335296047252, 310.15, 0.2219304550692174], [2, 79.70793848154074, 310.15, 0.24724367583819098], [3, 71.52706809970397, 310.15, 0.27344232750487507], [4, 64.69114830223478, 310.15, 0.3002026630594193], [5, 58.962023329273755, 310.15, 0.3271944885867066], [6, 54.144151938584216, 310.15, 0.3541002424600654], [7, 50.077243782137494, 310.15, 0.38063091241406105], [8, 46.63009251489155, 310.15, 0.40653736048591915], [9, 43.6954118058217, 310.15, 0.43161660675179514], [10, 41.185523036651865, 310.15, 0.45571346716638667], [11, 39.02877017544335, 310.15, 0.4787184888487361], [12, 37.16655498739936, 310.15, 0.5005633481509857], [13, 35.55089873261798, 310.15, 0.5212148369885049], [14, 34.14244731095593, 310.15, 0.540668364339284], [15, 32.9088466953329, 310.15, 0.5589416401124869], [16, 31.823424900268353, 310.15, 0.5760689570021947], [17, 30.86412568929712, 310.15, 0.5920962796431672], [18, 30.01264758925296, 310.15, 0.607077201215939]]",42.181854268709806,72.82061407562125,291.57988004810034,72.6964780378082,54.2244194766735,,2.186946222784906,2.9823402049058885,0.5685445541267838,4.221651759485848,60798.85790328944,294.5161680230577,0.7874246081275764,"(1019.6174392888753, 1670.6885274507097, 243.12886648530207)",72.6964780378082,0.7874246081275764,0.25509013933522123,3.591376580819664e-05,0.25501940595791106,3.481961150190724e-05,0.014799081088703559,3.2521882450304025,6.986813295407396e-08,0.28934375103558296,0.0008247766651522224,4.073146996575163,0.6768178317967655,3.3903278272749056,0.006001337503491465,2.3020188711121745e-05,0.00016146226286327617,0.00171397224481737,4.0235553059046375e-11,5.836977435894197e-20,2.5161968887227303e-11,1.5073584113449298e-11,1.4505073610530057e-09,1.7839949089824342e-10,1.2653425163075914e-09,5.100982394963839e-11,9.55809646028193e-09,1.66689599783832e-08,0.0005000334177055264,0.007915751558843163,56.027521113667945,54.2244194766735,72.79326310472261
1,AlTCPP,99.97168607700073,77.82673328183284,2.28189407068407,5.409113548706322,0.0804493242788158,-0.0804493242788158,0.0101898770764445,"[86447.53764765178, 24.48362151807399]","[[5203.817401690817, 10880.637310142334], [19378.70732298254, 2234.1478509835533], [86447.53764765178, 24.48362151807399]]","[1518.6996132531476, 531.3496076316409, 50.51918469568756, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 90.13583261289348, 310.15, 0.21971779270481595], [2, 80.77797930101468, 310.15, 0.2424902788407703], [3, 72.9251328740927, 310.15, 0.26589117440511234], [4, 66.31157403311887, 310.15, 0.28968226907820993], [5, 60.72068394853128, 310.15, 0.3136250535367145], [6, 55.975667884667295, 310.15, 0.33749147916511946], [7, 51.93205817895659, 310.15, 0.3610728662620434], [8, 48.471648344329125, 310.15, 0.3841863600036064], [9, 45.49757947687913, 310.15, 0.4066787486839215], [10, 42.93035637908183, 310.15, 0.42842781565148], [11, 40.7046155393771, 310.15, 0.44934164088080414], [12, 38.76650235228135, 310.15, 0.46935638704351146], [13, 37.071542684845866, 310.15, 0.4884331161717712], [14, 35.58291580254891, 310.15, 0.5065541201884334], [15, 34.270053128817686, 310.15, 0.523719147302503], [16, 33.10750136504045, 310.15, 0.5399417954400111], [17, 32.073999904088474, 310.15, 0.5552462424853511], [18, 31.15173178386103, 310.15, 0.5696644007722822]]",50.401919346528224,63.677384975197256,260.0067468746223,60.3070180135786,46.766576516509566,,1.827986591141424,2.612211666784612,0.5549404502707131,5.409113548706322,65065.598270725815,269.35850076223,0.612835278551594,"(1017.135933980455, 1390.9785227526522, 219.20856989958884)",60.3070180135786,0.612835278551594,0.2253243305722373,3.2035484271690905e-05,0.2252596581477352,3.2636940230389033e-05,0.014103438695574157,2.8120819810318123,6.401383273679245e-08,0.26916497173376375,0.0007751710660019088,3.7927852241926305,0.5873948259508022,3.2002060711339437,0.005184327107883365,2.2000940842094546e-05,0.00015205962090863862,0.00161464647940687,3.63164593794306e-11,5.0210764252277457e-20,2.368834018622169e-11,1.262811914299814e-11,1.357540783241199e-09,1.5759726676526962e-10,1.1941580389811487e-09,4.6004068840245793e-11,9.136481652891688e-09,1.3543598546828307e-08,0.00046397933038669353,0.007579252903729631,60.290476704479794,46.766576516509566,60.369233683375
2,AlTCPP-FF2,99.99998921852658,79.58244163391885,1.434671099030839,4.009214476736394,0.098259410450415,-0.098259410450415,0.0100856260862864,"[54351.245063836956, 0.00585986567167145]","[[1134.7143573426981, 2115.111759997808], [12741.71336312472, 99.0035595061162], [54351.245063836956, 0.00585986567167145]]","[1288.2363830820332, 334.633289981669, 16.7722721745449, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 37.664017911267095, 310.15, 0.5237887077037068], [2, 29.384422302337445, 310.15, 0.6669885201111212], [3, 26.276418548157547, 310.15, 0.7427441909755421], [4, 24.65405319838389, 310.15, 0.7891859241091675], [5, 23.658370951965587, 310.15, 0.8204241262912731], [6, 22.98528168164917, 310.15, 0.8427997489327675]]",4827.026604321984,77.23181835940099,300.4266501469782,73.10164980877173,54.729943301776856,,2.232671142573133,2.999087311684965,0.5327135915495398,4.009214476736394,62711.85009430852,283.23673293450184,0.8082437620318901,"(986.7578666465128, 1769.11112001018, 251.25016995157063)",73.10164980877173,0.8082437620318901,0.2523944522878752,3.537503151051796e-05,0.2523256660712582,3.341118510648173e-05,0.01407844041544346,3.2516048594050733,6.795072181804636e-08,0.2787639804939178,0.0007912862977079899,3.9220104685792654,0.6754666090626708,3.240539396939876,0.00600446257671715,2.185349976855959e-05,0.00015504773456619084,0.0016461361123714696,3.939930427606147e-11,5.8532036201508e-20,2.4089015348993615e-11,1.5310288868535812e-11,1.3928847037640584e-09,1.7656281935655717e-10,1.2095070876217558e-09,4.996239605633469e-11,9.073596265268365e-09,1.721842387113222e-08,0.0004837456727490093,0.00750626344647205,59.49627486599411,54.729943301776856,73.2069785587671
3,Ca-SQA,99.99993576406338,79.83477537228842,1.4901693220258505,3.2741677449672038,0.0986588947109861,-0.0986588947109861,0.0100479258077764,"[108146.07583671271, 0.06946868934793547]","[[3015.2371923539313, 5628.276462463895], [24273.937548737536, 694.433572541369], [108146.07583671271, 0.06946868934793547]]","[1638.4650931642468, 670.3852505540033, 31.249021684424168, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 76.94085321422702, 310.15, 0.24966987278946598], [2, 62.114848537952476, 310.15, 0.30439105309211306], [3, 52.26722486660253, 310.15, 0.35938305394232417], [4, 45.32505340094977, 310.15, 0.4121639655057054], [5, 40.32493210831636, 310.15, 0.46112240294194384], [6, 36.64311586343788, 310.15, 0.5054345780191203], [7, 33.87222119932471, 310.15, 0.544893360126442], [8, 31.742969315093156, 310.15, 0.5796868987343916], [9, 30.074708449091432, 310.15, 0.6102118730372477], [10, 28.744190480526708, 310.15, 0.6369458918321192], [11, 27.665817372452292, 310.15, 0.6603721938156131], [12, 26.779055238012756, 310.15, 0.6809409916194586]]",150.62044926378752,58.97267696890125,292.1385029302198,68.08761329031496,50.90883610168629,,2.2417483085809558,3.010022649054605,0.5350907799166933,3.2741677449672038,62204.64437889699,286.2273326715982,0.8121814798493443,"(984.3828755577009, 1763.3494176909778, 250.4568873773287)",68.08761329031496,0.8121814798493443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.90883610168629,0.0
4,CALF20,99.99524466101003,85.67476995811005,1.3815298988848592,3.181149223947579,0.086703985224096,-0.086703985224096,0.0094311920933152,"[103179.22350716288, 4.906755177825592]","[[3543.284901419946, 6635.332758201472], [13666.584012821217, 892.0877437602901], [103179.22350716288, 4.906755177825592]]","[1563.4311017367882, 590.6861824373465, 35.91409837362234, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 81.55863060706723, 310.15, 0.24094710599340155], [2, 67.5979382277732, 310.15, 0.2860505965413857], [3, 57.5487559434901, 310.15, 0.3315251569289687], [4, 50.18046032835666, 310.15, 0.37594634970979973], [5, 44.67919158250112, 310.15, 0.4182152756944367], [6, 40.49857444036504, 310.15, 0.4576136683126793], [7, 37.266778583237176, 310.15, 0.49377216284586906], [8, 34.727388847498716, 310.15, 0.5265935923284019], [9, 32.70119778259328, 310.15, 0.5561671977229825], [10, 31.061230350139567, 310.15, 0.5826943219395687], [11, 29.716257895179673, 310.15, 0.6064328127710025], [12, 28.599812336644398, 310.15, 0.6276595607078852], [13, 27.66279252240954, 310.15, 0.6466474552014335], [14, 26.86843503394818, 310.15, 0.6636525768426971]]",105.9651669551207,62.94180847383961,290.4390133665669,61.66509220967926,47.40268886764832,,1.970106322321303,2.729010070400742,0.5244094960694512,3.18114922394758,69248.51666351405,244.695066842488,0.6877266895734059,"(1038.811564770749, 1661.8704194065865, 245.87676044767517)",61.66509220967926,0.6877266895734059,0.23244947874416264,3.285811504331215e-05,0.23238459693616387,3.202369295536046e-05,0.013654602731798623,2.957052654847097,6.458923371360221e-08,0.2657454977401919,0.0007621376122352297,3.7401416547139026,0.6155825056213896,3.119098373387207,0.005460775705305338,2.1216937984481486e-05,0.00015033304106107143,0.001597646804483928,3.6761214774544397e-11,5.315632548937873e-20,2.3121658146396267e-11,1.3639556574991812e-11,1.3331937602194922e-09,1.6256686036966193e-10,1.1644467900967082e-09,4.6676510922011864e-11,8.812801046863291e-09,1.5170411706427673e-08,0.0004636187231001716,0.007297802156348302,65.75971433982131,47.40268886764832,61.758395773205685
5,CAU10,99.64125717846647,86.5681379300391,2.283405761587296,4.92822968477352,0.0789865002088317,-0.0789865002088317,0.0094670451166362,"[123891.57837304479, 446.05232459264465]","[[5726.869801971527, 13294.852261369397], [13434.348054354683, 4029.0480662121795], [123891.57837304479, 446.05232459264465]]","[1667.9946486893568, 673.5424552707069, 57.62137249283061, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978], [1, 91.8637537361548, 310.15, 0.21403100834715544], [2, 83.81905983304493, 310.15, 0.23045283283979012], [3, 76.93858009176078, 310.15, 0.2469760915931158], [4, 71.02122197890223, 310.15, 0.26351461354011824], [5, 65.90555951001366, 310.15, 0.27998706198964635], [6, 61.461113621384996, 310.15, 0.2963182532074944], [7, 57.58173222281893, 310.15, 0.3124401400040727], [8, 54.18052431267978, 310.15, 0.32829245633547793], [9, 51.18595344021478, 310.15, 0.34382304095106386], [10, 48.5388028234694, 310.15, 0.3589878746733059], [11, 46.18980085421197, 310.15, 0.37375087649571337], [12, 44.097750674794966, 310.15, 0.38808350866849267], [13, 42.2280473066463, 310.15, 0.40196424119776847], [14, 40.55149483256722, 310.15, 0.415377922879646], [15, 39.043357452140455, 310.15, 0.4283151003399014], [16, 37.68259399849791, 310.15, 0.4407713196527838], [17, 36.4512372520395, 310.15, 0.4527464378587485], [18, 35.3338881993599, 310.15, 0.4642439647404073], [19, 34.317302042330674, 310.15, 0.4752704489669985], [20, 33.390047824361446, 310.15, 0.4858349174031234]]",43.89308777669733,59.348211287969946,284.9470074878836,56.237935086235225,43.81471384687942,,1.794747992693257,2.560733776480996,0.5341219919428414,4.928229684773518,73905.85801312949,217.23432775277445,0.6130531496523501,"(1108.1083676532621, 1580.6788573249316, 242.9506922379271)",56.237935086235225,0.6130531496523501,0.2216533729945221,3.1433579854088473e-05,0.22159026128901005,3.167812565783823e-05,0.013634029511034436,2.7810400285131784,6.23684735587931e-08,0.26172669950722927,0.0007516653002906856,3.6873300134542806,0.5803706437861464,3.101835116839358,0.0051242528287752,2.1262847840616e-05,0.0001472618255347029,0.0015633841402441498,3.549384066515319e-11,4.967331635696206e-20,2.29615618538438e-11,1.253227876163606e-11,1.3183701305236213e-09,1.548480637111058e-10,1.157802483576462e-09,4.503502028237332e-11,8.83008427842922e-09,1.3520519821701449e-08,0.00045089797406663455,0.007323759759646678,67.38001816399091,43.81471384687942,56.29203278678955
6,CAU21,99.06177747389768,83.31236423521939,0.3964891993284177,1.320682337404791,0.2505231438056411,-0.2505231438056413,0.0093537475679636,"[21576.923055290637, 204.35687477729917]","[[2357.3445371712382, 4963.273653551108], [1880.9915989627257, 572.4893340909705], [21576.923055290637, 204.35687477729917]]","[1080.7755030533249, 116.63560101388353, 27.309081113622025, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978], [1, 74.28514992011871, 310.15, 0.25489756292916266], [2, 57.87489884515825, 310.15, 0.3127190899945577], [3, 47.19823385830646, 310.15, 0.36732593535296426], [4, 40.18812698111907, 310.15, 0.416597309721757], [5, 35.40085972549362, 310.15, 0.4596110187065182], [6, 32.01487640412097, 310.15, 0.49638641203801925], [7, 29.54553815321809, 310.15, 0.5274538426185983], [8, 27.696693004236295, 310.15, 0.5535436868451986], [9, 26.281119987947083, 310.15, 0.5754080661227277], [10, 25.176607216729728, 310.15, 0.5937366041220815], [11, 24.300968544705523, 310.15, 0.6091264165676106]]",39.89050149391683,167.88140887016246,755.789942507445,247.34348345842864,117.0649797361561,,5.692439952138868,6.478677271333427,0.5605639972597662,1.3206823374047911,45154.01181543591,386.7617227863453,3.6582770748808535,"(1275.1008126192103, 5771.629011598322, 618.1895061267227)",247.34348345842864,3.6582770748808535,0.5296639164767631,7.087675190192925e-05,0.5295428597317451,5.017999311598431e-05,0.018607240302967225,7.469368799825625,1.180134357332915e-07,0.44112660930849124,0.0011713355777890001,6.167053853552318,1.5288202750579882,4.624410515011661,0.013823063482667633,2.818629955347857e-05,0.00022759856518426397,0.00241361779671276,7.41278597588286e-11,1.370512062935528e-19,3.4922684068279894e-11,3.920517555349751e-11,2.1142291136389458e-09,3.6942740735877413e-10,1.7285277013817933e-09,9.481491800885737e-11,1.1696286088102902e-08,4.8420016039877555e-08,0.0007846043693167774,0.009535047358997115,39.18481110345448,117.0649797361561,248.8964462586731
7,CuAlPyC,99.95462503323704,90.05348210887551,1.7629272506791898,3.96001585819514,0.0843648524676476,-0.0843648524676476,0.0091042621646799,"[119327.0551407386, 54.16919086168697]","[[3497.4024571824752, 7356.377738916401], [9638.069285224217, 1482.406430994061], [119327.0551407386, 54.16919086168697]]","[1602.6547189984362, 627.4941166816367, 38.329781390980266, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 81.49972353151745, 310.15, 0.2322272308200724], [2, 67.76373183518778, 310.15, 0.26630946789886895], [3, 58.772897109748385, 310.15, 0.2998170394190928], [4, 51.95737372449617, 310.15, 0.332424601782776], [5, 46.685929711040494, 310.15, 0.3636649588425917], [6, 42.54273490827465, 310.15, 0.3932070840160399], [7, 39.23851737594263, 310.15, 0.4208502257179894], [8, 36.56816463848209, 310.15, 0.4465028984918633], [9, 34.3837448638673, 310.15, 0.47015804819684576], [10, 32.57690980825005, 310.15, 0.4918690775824214], [11, 31.067171151027825, 310.15, 0.5117292676845292], [12, 29.79394483832052, 310.15, 0.5298554958134576], [13, 28.7110639688188, 310.15, 0.5463761471742764], [14, 27.78293853612741, 310.15, 0.5614226269048783], [15, 26.98187427690688, 310.15, 0.5751237852245887]]",109.61945394599506,61.93119612663453,306.71375715407413,58.70053988113498,45.34366371615361,,1.9169560522349032,2.6685622085050293,0.5160658268312461,3.96001585819514,75755.68269741785,206.32734258597964,0.6733989086022825,"(1112.4361359024647, 1780.1584960020887, 261.7480751874118)",58.70053988113498,0.6733989086022825,0.2285178920673815,3.256120464919812e-05,0.22845358968538912,3.1741177343132705e-05,0.01343667349655289,2.906991941352119,1.4221805289276853e-07,0.26240364497943497,0.0007506325214734102,3.7053384986635183,0.6082775568610149,3.091661211842968,0.00539972995953523,2.110542752814892e-05,0.0001471081167982669,0.0015631475885121149,3.6682568468688114e-11,5.241957923605651e-20,2.3297434230862217e-11,1.3385134185406315e-11,1.3531329428372257e-09,1.5983976764330096e-10,1.1851960930274316e-09,4.7897898835171874e-11,8.66510509947771e-09,1.458251218055259e-08,0.00045416298297721957,0.007182369054119622,69.47465020402763,45.34366371615361,58.77474441716274
8,CuAlPyC-FF2,99.87977138249754,88.09688590752518,1.475315158496921,3.535457903262066,0.0916352954891674,-0.0916352954891674,0.0092935026326206,"[99859.48835954862, 120.2042021501349]","[[3451.2285592040357, 7298.545459758629], [9986.9449483739, 1910.0974558708172], [99859.48835954862, 120.2042021501349]]","[1502.2480017902303, 528.024369565211, 37.3928112991998, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 80.3367329147787, 310.15, 0.23592972867695058], [2, 67.68768324598545, 310.15, 0.2711796014031017], [3, 58.64926518300385, 310.15, 0.3048850026134442], [4, 51.95420311431911, 310.15, 0.3367651812509194], [5, 46.85074918749246, 310.15, 0.3666523181613516], [6, 42.86803995609106, 310.15, 0.3944742673409016], [7, 39.698124190131985, 310.15, 0.42023361172753404], [8, 37.13238292177836, 310.15, 0.44398714419440877], [9, 35.02528710364325, 310.15, 0.46582800218420206], [10, 33.27276332471054, 310.15, 0.48587130602268813], [11, 31.805778861082, 310.15, 0.5042282503787512], [12, 30.588256562415488, 310.15, 0.5209893559047949], [13, 29.540342128851275, 310.15, 0.5363990989060645], [14, 28.63172354594311, 310.15, 0.5505668991769848]]",79.09616962996371,66.80071350305836,326.6527736194332,64.17529374184278,48.67761837566688,,2.0821565989658546,2.8392624828307063,0.5228691294037264,3.535457903262066,73978.96752593142,216.8032575121969,0.7551151089917344,"(1124.7599944493784, 1949.6574805689525, 276.96048717535047)",64.17529374184278,0.7551151089917344,0.242581799026651,3.444155660389462e-05,0.2425145352549203,3.282221512677373e-05,0.013779788164754251,3.1147466089014775,1.5455306697148445e-07,0.2722036545246398,0.0007753418862193463,3.842843099273085,0.6508582280853276,3.1861947202334484,0.005790150954307592,2.1630414366810407e-05,0.00015189531499315822,0.0016140496787236025,3.860941089971641e-11,5.631091480422262e-20,2.4072812170325447e-11,1.453659867308005e-11,1.402833196748245e-09,1.696869783126166e-10,1.2243354275422345e-09,5.052371324369651e-11,8.870744987339994e-09,1.6048742509687264e-08,0.00047208928082435604,0.007347004479858807,66.72618483543211,48.67761837566688,64.2678223379262
9,DAZMID,90.11295572277864,94.59763493276138,0.2225411530659655,0.7984517530171291,0.4114905571121074,-0.4114905571121074,0.0098313700296404,"[12018.539979809186, 1318.6543041989187]","[[519.283437152587, 2377.6402382615192], [119.12250713994726, 567.9836043511116], [12018.539979809186, 1318.6543041989187]]","[1003.3770331271212, 51.12819829261378, 15.418013908688122, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 35.845849317269106, 310.15, 0.12820408682822154], [2, 25.425865841455757, 310.15, 0.11867045091637875], [3, 23.981566705917178, 310.15, 0.12426137668076424], [4, 23.031382064876006, 310.15, 0.12920611357027958], [5, 22.312013751868555, 310.15, 0.13322672360700694]]",91.728187963752,335.55476321596973,1516.9287878070686,989.2122066606704,184.75019504988435,,9.349975621613993,10.117578840105624,0.558942599799581,0.7984517530171291,22641.130189734904,519.5027701076951,15.68093290927729,"(1744.8442439450496, 12408.11363728906, 1226.7179541685812)",989.2122066606704,15.68093290927729,0.818119938216344,0.00010757924802706923,0.8179458447732368,6.65141950796674e-05,0.02269719680233512,11.892392783350347,1.684523380086785e-07,0.6020579178169503,0.0015404376880857194,8.388559689892109,2.4227759910240056,5.9437622175280485,0.022021481340049647,3.3798649950358776e-05,0.00029807001079427595,0.0031592415765952764,1.0985070632147567e-10,2.1949328265112484e-19,4.532652769149698e-11,6.452417841048539e-11,2.819707328689243e-09,5.702394138382194e-10,2.223305247746179e-09,1.408542402188144e-10,1.4019286184366336e-08,8.123112974343947e-08,0.0010858896431750887,0.011300294907868496,17.205423686158376,184.75019504988435,1015.7803622787545
