,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,88.47688810244728,94.16452499963904,1.0098783974899996,3.0268651378177034,0.1205104492983906,-0.1205104492983906,0.0029291059020679,"[38560.34120459365, 5022.047407384517]","[[1186.9383321225769, 5355.629351286234], [1065.428993429096, 2636.702293315829], [38560.34120459365, 5022.047407384517]]","[1201.0981875410384, 250.39810776056294, 13.86925885465617, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.17720104575174, 310.15, 0.16109212418938598], [2, 89.99228194346757, 310.15, 0.16959973040195658], [3, 85.61079373352479, 310.15, 0.17756554875655853], [4, 81.90091456171821, 310.15, 0.1849539376757963], [5, 78.75357463737609, 310.15, 0.19174876893548562], [6, 76.07842408201579, 310.15, 0.19795051709509384], [7, 73.80050570173907, 310.15, 0.20357301177922435], [8, 71.85751705692232, 310.15, 0.2086402082995793], [9, 70.19756345026894, 310.15, 0.21318321722517833], [10, 68.77731785163503, 310.15, 0.21723772963453128], [11, 67.5605163538856, 310.15, 0.22084189306612684], [12, 66.51672891170973, 310.15, 0.22403463606454532], [13, 65.62035498413121, 310.15, 0.2268544040445759]]",45.10463070941716,616.4904884560751,395.6053409334641,68.2673908826564,23.03048421787884,111.28018579986748,2.7382639616265165,3.37559655717112,0.437202064252324,3.0268651378177034,590657.2858343206,348.3710710314011,5.116192036216859,"(0.0, 0, 0)",68.2673908826564,5.116192036216859,0.36322678735766,4.659890105914197e-05,0.3631414874127724,3.870104382837631e-05,0.037945880084262425,3.1641032550800574,1.4535876484771189e-07,0.6742956728804972,0.0018698665142513969,9.51168976599284,0.7628825231830991,8.742598447853208,0.006208794956531793,6.484387678086334e-05,0.0004034922165720808,0.004296342672608261,7.096260812318332e-11,5.50318492557797e-20,6.297050015094937e-11,7.992107917202113e-12,3.5314131856574253e-09,2.5284763041060517e-10,3.2718633867903187e-09,9.186049432957841e-11,2.6711898033220796e-08,5.498757988179496e-09,0.0011115654557853636,0.0050143453836806635,59.96144710096009,44.576545685544716,68.45302206741943
1,AlTCPP,91.0678727267248,95.4408929470376,1.5347979642191802,4.152909230747347,0.0921637708622361,-0.0921637708622361,0.0028169954786875,"[58144.46275045625, 5702.930418521515]","[[1303.0615901487893, 5900.883535160345], [1343.2285670590034, 3296.35605386525], [58144.46275045625, 5702.930418521515]]","[1330.4583279309322, 378.4255885356671, 15.201918469445985, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.58458116985219, 310.15, 0.15996635446095286], [2, 90.7964685637789, 310.15, 0.1674514625140814], [3, 86.82300605549764, 310.15, 0.1745671059707116], [4, 83.39324118042043, 310.15, 0.1812388873191769], [5, 80.42722113984708, 310.15, 0.18745422841525308], [6, 77.85763282337699, 310.15, 0.19321058749627162], [7, 75.62768946442806, 310.15, 0.1985138237001399], [8, 73.689380831291, 310.15, 0.20337653430680688], [9, 72.0020243713053, 310.15, 0.20781647088285035], [10, 70.53106540047447, 310.15, 0.21185510366002183], [11, 69.24708320903198, 310.15, 0.21551637216276376], [12, 68.12496725090774, 310.15, 0.21882563585208914], [13, 67.14323368727679, 310.15, 0.2218088213580026], [14, 66.28345766684963, 310.15, 0.22449175183416634]]",52.65666203987786,472.660732806322,301.0042320430323,50.68714760898413,17.650893095111876,100.00615945607186,2.094164728361323,2.729226073910012,0.4288715144407553,4.152909230747347,589323.2929697244,332.25775802573344,3.988400527468415,"(0.0, 0, 0)",50.68714760898413,3.988400527468415,0.30644433311113234,3.925324035058005e-05,0.3063724425335166,3.263733726522722e-05,0.031994063126642436,2.669657936931314,1.222772205038274e-07,0.5689186738856364,0.0015785311722074,8.025916376799042,0.6437846015663887,7.376901874477537,0.005229900755115357,5.470924891634311e-05,0.0003408371290081174,0.0036296341736648794,5.981288687789037e-11,4.63543261900118e-20,5.3089796014719045e-11,6.723090816817006e-12,2.979310268381125e-09,2.131826153470343e-10,2.760546507646538e-09,7.743627038645174e-11,2.2539021503917146e-08,4.261888250675468e-09,0.0009388577042314276,0.004229525267545678,66.19357215635168,35.838766037014295,50.78232170240724
2,AlTCPP-FF2,97.0967332510044,98.53964843923843,0.9434001679579072,2.892810822192653,0.120773705666354,-0.120773705666354,0.0025098774336494,"[35739.88055979024, 1068.649823409374]","[[241.0544461985304, 1181.580214334333], [119.72318238671305, 258.90610241996285], [35739.88055979024, 1068.649823409374]]","[1174.0278965335974, 233.5934122241814, 3.6036633835966696, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780098493, 310.15, 0.22003801131457282], [2, 62.53430040775476, 310.15, 0.24172409487865976], [3, 60.768882781049605, 310.15, 0.24846760792134545], [4, 60.238169102134876, 310.15, 0.25057050129620184], [5, 60.07424765443761, 310.15, 0.2512273772212274]]",1582.5050912224715,635.7984672527068,408.4934608591108,68.1275618834979,23.916443365670894,110.9563166051563,2.7442457285957675,3.3742509210129388,0.4095166490332675,2.8928108221926525,586838.0238984464,351.71336270842386,4.948668688344283,"(0.0, 0, 0)",68.1275618834979,4.948668688344283,0.3555413797932984,4.566559272541478e-05,0.3554578232911206,3.7890909452392814e-05,0.037158985909959,3.0977238872671333,1.425974847656434e-07,0.6599443007184023,0.0018311410846897334,9.30866332397233,0.7467287250234084,8.555849590513226,0.006085008435692767,6.346193460199953e-05,0.0003954460108111247,0.0042111785593604385,6.951022086054728e-11,5.396027159799243e-20,6.165336635424292e-11,7.856854452344092e-12,3.4562695273094427e-09,2.476404840397919e-10,3.2020063942822963e-09,8.996910737064586e-11,2.6142798846347393e-08,5.69327601464722e-09,0.0010893453502576961,0.004908521852761846,63.50472586880505,44.99654049650026,68.3243519918834
3,Ca-SQA,96.96107221693872,98.3158729969366,1.1647796662814938,2.7964223748152373,0.1047630612683396,-0.1047630612683396,0.002541331772418,"[84531.56850088087, 2649.365628799212]","[[730.6368550253596, 3230.9815802976755], [641.083358805289, 1388.4602580048038], [84531.56850088087, 2649.365628799212]]","[1499.4897896604148, 553.8961661352346, 8.762802599360791, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.06446354794646, 310.15, 0.17003229253773142], [2, 82.07364949495707, 310.15, 0.18568861674481957], [3, 76.33181813797502, 310.15, 0.19892545153045063], [4, 72.16015227493747, 310.15, 0.20983917931063628], [5, 69.10037599904153, 310.15, 0.21866592139932628], [6, 66.8382420375401, 310.15, 0.2257012942643017], [7, 65.15490045053454, 310.15, 0.2312474604386536], [8, 63.89567833695362, 310.15, 0.23558358214581382], [9, 62.94978458555075, 310.15, 0.2389526024875286], [10, 62.23691984253573, 310.15, 0.24155796028841575]]",153.75204763264318,401.3765820198778,284.815191154735,50.733657847568175,15.683277752472,99.43615599501304,2.380448474392969,3.0111464822090865,0.4106962538731065,2.7964223748152373,585350.9239901466,344.1382375735285,4.338621863145692,"(0.0, 0, 0)",50.733657847568175,4.338621863145692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.97205801890371,0.0
4,CALF20,95.3696158194764,97.8381064183242,0.9833443687551062,2.484557910195049,0.1000653730712223,-0.1000653730712223,0.0025999785117464,"[73440.83431722323, 3565.6983044853473]","[[823.5584546419277, 3706.2455195770694], [698.4166299793075, 1672.796519125619], [73440.83431722323, 3565.6983044853473]]","[1424.8167502928009, 478.04975144211176, 9.936177924869792, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.50371364488625, 310.15, 0.1661897438064832], [2, 84.2219199124203, 310.15, 0.178659557899062], [3, 78.75444754427862, 310.15, 0.18946934969111515], [4, 74.60498757506396, 310.15, 0.19868337555517693], [5, 71.42721498855178, 310.15, 0.20643133601724717], [6, 68.97511989093971, 310.15, 0.2128762747530658], [7, 67.07107850536268, 310.15, 0.21819134939219914], [8, 65.5849340315053, 310.15, 0.22254480574216032], [9, 64.42004221739872, 310.15, 0.22609138998284287], [10, 63.503800137604735, 310.15, 0.22896830173787924], [11, 62.78110878860253, 310.15, 0.23129408656084247]]",105.37745856153244,436.67910188290006,312.8693206495908,51.452091455280126,17.01068801588727,100.36518740606454,2.273706607874209,2.905076257682864,0.4149855856394157,2.484557910195049,589237.3194358005,335.74422207907344,4.191695907842666,"(0.0, 0, 0)",51.452091455280126,4.191695907842666,0.3179264933002502,4.088385004752905e-05,0.3178517041351571,3.39053150455065e-05,0.03322576858969403,2.7732317589869857,1.2786823912895503e-07,0.5902897123736256,0.0016419076277991293,8.325055686849414,0.6683619676353625,7.6512485608628875,0.005445158351163185,5.674613131444162e-05,0.00035573187107295793,0.0037902180436037375,6.209240569649394e-11,4.837545833617849e-20,5.507616557108271e-11,7.01624007703578e-12,3.0910729934532822e-09,2.2134603934684514e-10,2.8638353826643963e-09,8.044444344659107e-11,2.3380740280396198e-08,4.845832715950743e-09,0.0009795669350382502,0.004390355949240148,66.7327803336097,35.84440703187393,51.598193509117884
5,CAU10,88.94771366495011,95.98471479679556,1.4603368498750864,3.6116108321661153,0.0974557686140277,-0.0974557686140277,0.0028904091996471,"[79234.02854233702, 9845.3027609916]","[[1424.5355083911538, 6748.679573714744], [1756.0268006826213, 4999.3830769343485], [79234.02854233702, 9845.3027609916]]","[1455.6420677244514, 501.76138324413535, 17.04986355449656, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.50547894934554, 310.15, 0.1576880678281786], [2, 92.3254881963962, 310.15, 0.16294844836659308], [3, 88.68620550701074, 310.15, 0.16788239713583705], [4, 85.50651403869563, 310.15, 0.17249489205825588], [5, 82.71940967339063, 310.15, 0.17679393714932065], [6, 80.26921322345844, 310.15, 0.18078991932606298], [7, 78.10939217710713, 310.15, 0.18449502967944684], [8, 76.20084733830156, 310.15, 0.1879227546429345], [9, 74.51055647688324, 310.15, 0.1910874379548938], [10, 73.01049395617522, 310.15, 0.19400391104224582], [11, 71.67676505806848, 310.15, 0.19668718726427703], [12, 70.48890835727886, 310.15, 0.19915221414253093], [13, 69.42933040833755, 310.15, 0.2014136770636471], [14, 68.48284520027616, 310.15, 0.20348584779663234], [15, 67.6362970224095, 310.15, 0.2053824713627394]]",43.162593302593685,418.963135683496,280.6318852788193,49.33409740907258,15.494320251922668,100.1341403384614,2.214410622498346,2.849057017736338,0.4327657314037601,3.6116108321661153,605675.8305868695,310.359321973047,4.198972661056642,"(0.0, 0, 0)",49.33409740907258,4.198972661056642,0.3176822158627372,4.069286521161502e-05,0.3176076840875564,3.38389099691882e-05,0.03317119288410499,2.7683978491554937,1.267315819123171e-07,0.5899444200804314,0.0016360754786297923,8.322557650460839,0.66753322077088,7.649603970798901,0.005420458891058036,5.672928683485215e-05,0.00035304611260544985,0.003759241895482374,6.197954975476107e-11,4.802772089280675e-20,5.505487946690213e-11,6.9246702398312215e-12,3.0897100453606344e-09,2.208758047880418e-10,2.863059701905941e-09,8.028689845115535e-11,2.3370873393581903e-08,4.3629622807365496e-09,0.0009725342841132043,0.004385816662896434,65.49207791119667,34.35080458434621,49.429679791211385
6,CAU21,78.48997947553194,91.16595009064496,0.2013638806797549,0.7160821095130392,0.4545655409127815,-0.4545655409127817,0.0033084938881172,"[10958.212649679077, 3003.0760688319715]","[[558.3943615844003, 2621.72661148468], [318.64494697593136, 895.5030818849905], [10958.212649679077, 3003.0760688319715]]","[1012.3280009607859, 68.32960670431208, 7.16757333065454, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.92872475989996, 310.15, 0.17002780845663235], [2, 77.88152976185243, 310.15, 0.18416098207642634], [3, 72.03831344103291, 310.15, 0.194887629909018], [4, 68.1849473115612, 310.15, 0.2028147884852471], [5, 65.60421839544314, 310.15, 0.2085658433337384], [6, 63.85626352865665, 310.15, 0.21268529129215744], [7, 62.662754331587806, 310.15, 0.21561018541338725], [8, 61.84312760696508, 310.15, 0.21767434543340966], [9, 61.27797047095079, 310.15, 0.21912496099499054]]",40.238074998596325,1811.378368978421,3958.743931776177,4000.330462838705,118.97730276315754,321.23653083113487,10.328734529872472,10.97279043584659,0.4658232372576423,0.7160821095130392,416951.8891648001,971.8968770223864,187.61780037033083,"(992.9903382653966, 27843.769827049102, 3290.197840882041)",4000.330462838705,187.61780037033083,0.9940080046412901,0.0001272746196263804,0.9937917977747923,8.893224687130017e-05,0.07572635642390425,10.718413789222964,3.300991889538518e-07,1.4400221050170678,0.0039035691559515836,20.254959116855467,2.398863152453591,17.835529237709846,0.020566726692034316,0.00012779215124914336,0.0008336450510638469,0.00887133899733912,1.7179282138699725e-10,1.9293080866713299e-19,1.295533560453422e-10,4.223946514872422e-11,7.393511203734557e-09,6.915888953291238e-10,6.6780930161660525e-09,2.228199802499697e-10,5.264646764379241e-08,4.868229031219837e-08,0.0024122997361016997,0.010780794108740768,0.54626594981552,158.6010043575566,4876.802438542254
7,CuAlPyC,94.48957250484196,97.6177304096888,1.1761819512785143,2.9125074436846767,0.1024801921931265,-0.1024801921931265,0.0026464808912947,"[79612.09318290422, 4642.805079890459]","[[872.7562173730785, 4056.2088545893494], [976.3894406805838, 2492.5729645700053], [79612.09318290422, 4642.805079890459]]","[1453.817752048662, 506.27929175063, 10.707639372212725, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.40558837539304, 310.15, 0.16307105295490812], [2, 85.65479259556601, 310.15, 0.17276715654056293], [3, 80.4648758392615, 310.15, 0.18123633423743862], [4, 76.41982429252626, 310.15, 0.1885581528773785], [5, 73.23705614342649, 310.15, 0.19483360010020478], [6, 70.71289536347926, 310.15, 0.20017419781874543], [7, 68.69784904482542, 310.15, 0.20469287091271582], [8, 67.0804113423267, 310.15, 0.20849796926750183], [9, 65.77621797396316, 310.15, 0.2116897293926871], [10, 64.72063546449532, 310.15, 0.21435849894379302], [11, 63.86360157587439, 310.15, 0.21658416096266667]]",107.44273322051512,421.3130807317459,294.78122237205275,50.67142252716429,15.894522487633388,100.82818308095496,2.328576639592239,2.960296639176417,0.4173193532860391,2.9125074436846767,603135.1212413886,315.816698183657,4.293108608124374,"(0.0, 0, 0)",50.67142252716429,4.293108608124374,0.32298242797988747,4.1938756468547285e-05,0.32290564158474155,3.484763867725809e-05,0.03379413959454835,2.8163841541078414,2.4644235657408674e-07,0.6015810230830039,0.0016707930964167746,8.502101453466553,0.6834142798078678,7.813107731003204,0.005579442655482131,5.803888731426864e-05,0.00036057778657160624,0.0038415977340460934,6.392692142764544e-11,4.939708476991966e-20,5.682477035371013e-11,7.1021510245382226e-12,3.2042235030426906e-09,2.2499425321607525e-10,2.970238548710911e-09,8.47282689767935e-11,2.3764294237626333e-08,4.5095845197950634e-09,0.0009932491336190543,0.004475991112726559,66.08891882808142,35.04336542751214,50.7993817323834
8,CuAlPyC-FF2,91.22086174268678,96.9226311448643,0.9131461905822288,2.463919615856036,0.1195765150240441,-0.1195765150240441,0.0027663300275165,"[61808.021739514006, 5948.432824421515]","[[867.8029587550177, 4030.595267263021], [969.3200313404179, 2571.3350687741904], [61808.021739514006, 5948.432824421515]]","[1334.1856872850592, 386.67882983054176, 10.67603652869811, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86201316490863, 310.15, 0.16351815840870823], [2, 85.17752207064505, 310.15, 0.173179760137488], [3, 80.11106283131248, 310.15, 0.18146563557168896], [4, 76.20007388003515, 310.15, 0.18853875425915934], [5, 73.1370411248254, 310.15, 0.1945535728430769], [6, 70.71019321896374, 310.15, 0.1996523939964523], [7, 68.7693546537381, 310.15, 0.20396358512599405], [8, 67.20537206460787, 310.15, 0.20760110623735237], [9, 65.9372337107667, 310.15, 0.21066489207450242], [10, 64.90373501951767, 310.15, 0.2132417458934072], [11, 64.05792835063959, 310.15, 0.21540650234405356]]",67.75953802075082,492.4432636912777,346.6103181203439,60.10141282563565,18.316441874883875,107.91707963128462,2.717042909171234,3.3497994211666504,0.4255794067017707,2.463919615856036,613084.2901556632,310.8840504242866,5.002858067941172,"(0.0, 0, 0)",60.10141282563565,5.002858067941172,0.3582464149200469,4.65934748723302e-05,0.35816112948650264,3.8691958671871054e-05,0.03750008967878551,3.1241733962878517,2.821212751016268e-07,0.6673713095843913,0.0018536474458359029,9.432645926424314,0.7583313943245338,8.668116211646852,0.006198320452926158,6.439968758425019e-05,0.0004000450977331075,0.004262210510403182,7.100308531416506e-11,5.4879814126776e-20,6.310853836353829e-11,7.894546895746979e-12,3.5586381051374218e-09,2.49666413707313e-10,3.2987317343792467e-09,9.424122271962959e-11,2.6357543346279447e-08,5.21204287287432e-09,0.001101984855581597,0.004966397386967036,62.20044601259859,39.54843384407721,60.29007910539802
9,DAZMID,42.513417651715685,82.38857721783023,0.0357929504531944,0.1357636386805395,2.364226666827577,-2.364226666827577,0.0059207354396243,"[1933.0312622651543, 2613.842099225566]","[[199.3591354910569, 1155.1192585097401], [24.353532916226566, 166.15963837669668], [1933.0312622651543, 2613.842099225566]]","[949.1099596608706, 8.812654302136531, 3.466484432914777, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.87310510455497, 310.15, 0.12777467575558174], [2, 61.68391992797117, 310.15, 0.12285695764204524], [3, 60.36679550983706, 310.15, 0.1217824038577245], [4, 60.080216856781306, 310.15, 0.12154720470155823]]",105.05934077428876,12762.898080862362,52616.54125252247,-293.0184081603247,961.9799732925696,2614.555179355803,53.72045923470629,54.39344637743767,0.561070336314442,0.1357636386805394,-2410572.4056999907,9739.413534142026,-6.153765316027808,"(12768.813430139515, 464463.2947079399, 42308.49058597999)",255022.57048817672,5355.803612910665,4.454949974280297,0.0005641238572594943,4.454119111074983,0.0002667393480519747,0.12102332852557483,63.89198683695549,9.312123476423879e-07,3.3295789421225233,0.008143016685974006,46.30392703239039,13.155489527431863,33.02922050983653,0.11921699512199412,0.0001899602937234227,0.001650865413964182,0.017518280317393085,5.953038943065566e-10,1.1854869052251915e-18,2.4902128215532274e-10,3.462826109657468e-10,1.5621318149086944e-08,3.093000357489288e-09,1.2384443268451495e-08,7.732914107630705e-10,7.834302688546963e-08,4.5066831362124707e-07,0.005957173515237977,0.025558456669195817,-284.64841273973286,994.8903190032944,-289.8091663564065
