,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,43.60845871954987,89.24420076633895,0.1559566597573297,0.5158024793745138,0.6074550752821084,-0.6074550752821083,0.0066856270197812,"[5954.916976457956, 7700.500232287234]","[[366.20569059687443, 6789.889141313237], [258.28475460895476, 2950.29885132993], [5954.916976457956, 7700.500232287234]]","[1088.4863830185932, 136.57224400083592, 15.083318091937802, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.89257329912792, 310.15, 0.04537305414938841], [2, 91.17314994484688, 310.15, 0.04746299608431468], [3, 87.07437305673598, 310.15, 0.04945493532239389], [4, 83.51533330132453, 310.15, 0.05133723847972833], [5, 80.42531710911237, 310.15, 0.05310161164822066], [6, 77.74264548155763, 310.15, 0.05474299312095335], [7, 75.41360831418001, 310.15, 0.056259295878490385], [8, 73.39149629694283, 310.15, 0.05765104531996814], [9, 71.63572955238169, 310.15, 0.058920957203603984], [10, 70.11107968640678, 310.15, 0.06007349544963924], [11, 68.78698004636286, 310.15, 0.06111444139240816], [12, 67.63691773101851, 310.15, 0.06205049707230875], [13, 66.63790021137729, 310.15, 0.06288893659762203], [14, 65.76998919248973, 310.15, 0.06363731232008235]]",63.24129161153438,1653.3876800896774,3169.250586325379,2008.9750243529872,228.868282930248,216.13715995560577,13.802722922669687,14.505257586364554,0.598736806880648,0.5158024793745138,118834.96103286676,341.0189481959854,47.83372741127791,"(794.3237823203634, 26080.923044871743, 2724.4239088020213)",2008.9750243529872,47.83372741127791,1.0530793578686282,0.0001495982275640454,1.0527892336474687,0.00014052599359526185,0.05989288088708598,13.533491527064802,2.9579978000155556e-07,1.1691288001247546,0.003315227686722634,16.42832607578791,2.8090523505259037,13.594007364718085,0.02526636054391498,9.197784965283031e-05,0.0006489674482439143,0.0068871136523710325,1.6714696085071472e-10,2.4620429565753883e-19,1.0243982353030539e-10,6.470713707420499e-11,5.8516074629299925e-09,7.430226651381242e-10,5.078060877174625e-09,2.1086385918770247e-10,3.8140378157748846e-08,8.229962508558236e-08,0.0020236157987998456,0.031540714213579304,-4.737024870176205,282.3278050755983,2144.8622915795086
1,AlTCPP,43.57036166562604,90.30298825805517,0.2002126945880259,0.6409937853170118,0.4933042169821874,-0.4933042169821874,0.0068110460981845,"[7584.88076869738, 9823.468574157214]","[[371.4395828615668, 7089.82612054403], [351.62443677860716, 4215.748898715546], [7584.88076869738, 9823.468574157214]]","[1124.4503722612994, 171.9726324484696, 15.646918887010521, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.09709378607812, 310.15, 0.04496248046133769], [2, 91.55441228126976, 310.15, 0.04663772408150462], [3, 87.60344870871604, 310.15, 0.04821920318018332], [4, 84.16385059426666, 310.15, 0.04970264078025642], [5, 81.16658469904318, 310.15, 0.05108584877959184], [6, 78.5523316653473, 310.15, 0.052368504342763494], [7, 76.27009256379439, 310.15, 0.05355188865863477], [8, 74.30172456932114, 310.15, 0.05464478377820466], [9, 72.74079323040255, 310.15, 0.055686267179337244], [10, 71.35291300793304, 310.15, 0.05664921044094266], [11, 70.11840824784439, 310.15, 0.05753665575157106], [12, 69.0199253622092, 310.15, 0.0583520896503721], [13, 68.04214525187147, 310.15, 0.05909931233516855], [14, 67.17153321488945, 310.15, 0.05978232240916797]]",66.12811024387845,1364.6130095825592,2310.376001028859,668.645191001158,173.24038601266517,191.13849124837688,11.208962935123257,11.906390512817453,0.5920737984992768,0.6409937853170119,179053.86907277248,247.0769193910471,17.337754947561915,"(579.8218028995128, 17802.324703673807, 1988.710923459441)",668.645191001158,17.337754947561915,0.8518716498805217,0.00012371781591491413,0.8516198317223753,0.0001281003422310258,0.05645378018188534,10.483487541005363,2.5877116150702986e-07,1.0496129883437486,0.003038710924053986,14.77611608039237,2.1917517988252495,12.564773378731761,0.019590902835354394,8.715809142416542e-05,0.0005975063313888413,0.006345131322308876,1.4154978002741147e-10,1.8931024128771537e-19,9.425586102417934e-11,4.729391881392188e-11,5.317788339851502e-09,6.022448760337541e-10,4.691941676631733e-09,1.781477564832113e-10,3.61539453883116e-08,5.939094884650045e-08,0.0018085310037128858,0.02999690127812632,13.376432661524337,226.09457744332786,683.5897114607764
2,AlTCPP-FF2,37.64894441313522,91.56035001253444,0.0690287435198177,0.2484601820867532,1.2582805710159657,-1.2582805710159657,0.0069485035377634,"[2615.0928655556013, 4330.899661776]","[[89.05428992963405, 1749.4159899452945], [48.696626556128486, 578.4766978549592], [2615.0928655556013, 4330.899661776]]","[1000.1742516013105, 58.93100117715272, 4.4124294983384855, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776634094, 310.15, 0.053322349341374815], [2, 66.94008710319693, 310.15, 0.058324091757597216], [3, 63.21728676930547, 310.15, 0.06076851857763931], [4, 61.5284341643577, 310.15, 0.06195874602647655], [5, 60.73444902858327, 310.15, 0.06253742948791988], [6, 60.35484437345824, 310.15, 0.06281859989105669]]",94.39059174771778,3462.7332482304537,8501.252238703788,-603.8582617373803,552.8941557779788,371.4372269372834,28.590917727778027,29.27387223359068,0.5816293924888395,0.2484601820867532,-228218.11708868772,881.6780872019796,-11.398135536926649,"(2126.4302266688237, 77456.90516316344, 7293.3701330363965)",28691.933294628085,541.5750106121053,2.202355641775431,0.00029647691155089564,2.201854427107461,0.00020473775641937253,0.07597779375236696,31.18224441930671,5.005488044272938e-07,1.80315834849858,0.004772967729625558,25.166110543472495,6.374064483537172,18.733922935034638,0.05812312490068028,0.00011351169606292265,0.0009311615945758159,0.009878991297471999,3.1080699168605126e-10,5.767983925139897e-19,1.4378198035289143e-10,1.670250107563614e-10,8.624195152402918e-09,1.5480008123151143e-09,7.005272871513442e-09,3.945757511943413e-10,4.7035417250210854e-08,2.1801994107802943e-07,0.0032292227472361834,0.03823653823461327,-110.08810340050393,605.2658286637874,-592.5815432780101
3,Ca-SQA,77.99185409358475,97.5083136502178,0.2687361659510246,0.6911884732518656,0.3317347714662613,-0.3317347714662613,0.0033171780124787,"[19502.992950825734, 5503.455706521879]","[[248.48228270050907, 4532.084760975497], [177.7477375321045, 1862.9004347575953], [19502.992950825734, 5503.455706521879]]","[1399.6908728412122, 452.4626826990916, 10.397369216301321, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.4299049382681, 310.15, 0.047016352552860664], [2, 85.51299777915175, 310.15, 0.05052003348048241], [3, 80.11456196429035, 310.15, 0.05366575328090209], [4, 75.88745889305505, 310.15, 0.056434882636116235], [5, 72.56805464273741, 310.15, 0.058831022017023706], [6, 69.95499194383049, 310.15, 0.06087416673393083], [7, 67.8936340466841, 310.15, 0.06259482437741941], [8, 66.26461139507256, 310.15, 0.06402894161337302], [9, 64.97534220155042, 310.15, 0.06521401361726217], [10, 63.95371581007731, 310.15, 0.06618640141232264], [11, 63.14335601912507, 310.15, 0.06697968885892049]]",169.6895491418168,707.9272170970006,891.7680544676815,200.6890575382245,78.07813851158139,142.8440073721984,7.537747762231622,8.179924866842356,0.4645964967254211,0.6911884732518654,261788.2284073445,115.90531351240188,6.966516445650757,"(235.00162958013624, 4747.231430178821, 806.0240326246944)",200.6890575382245,6.966516445650757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.8442061967368,0.0
4,CALF20,62.10728832856262,94.70331355234192,0.1576786181009417,0.4642744446958506,0.4407931187073899,-0.4407931187073899,0.0044139274058312,"[11776.189130955298, 7184.853039580955]","[[318.59362254486814, 5809.777776080005], [250.5402769440615, 2694.826726754708], [11776.189130955298, 7184.853039580955]]","[1222.6454237326311, 272.7054423258843, 13.109160480927637, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.60935485385639, 310.15, 0.04605841472864515], [2, 89.02899641756949, 310.15, 0.048754720846893904], [3, 84.38119636144582, 310.15, 0.051267133048587155], [4, 80.50193648193657, 310.15, 0.05358188612556861], [5, 77.25797659538284, 310.15, 0.055692649706698655], [6, 74.54065483760654, 310.15, 0.05759954021631372], [7, 72.26102238182197, 310.15, 0.05930791429437345], [8, 70.34600940434431, 310.15, 0.06082710417469098], [9, 68.73539086237307, 310.15, 0.06216921599694887], [10, 67.37937489795638, 310.15, 0.06334806887502137], [11, 66.23667777980373, 310.15, 0.06437831401309725], [12, 65.27298051762973, 310.15, 0.06527474338010508], [13, 64.45968608154183, 310.15, 0.06605177732205982]]",101.41559544214324,1016.9924269974856,1790.5171142463194,420.88572898583215,134.96906841469217,169.90107551846458,10.015794634544804,10.689983785908986,0.5194267446257474,0.4642744446958508,205449.06740141148,203.6691082734881,12.087152956554435,"(452.9018172063674, 13036.595852723329, 1553.3924157885276)",420.88572898583215,12.087152956554435,0.7441517617409232,0.00011053399248394555,0.7439200764336573,0.00012115131478190174,0.05451941620843207,8.881594338311476,2.4332622194633104e-07,0.9829698425788062,0.0028997960130681295,13.841805945819868,1.8660474929270567,11.959093070503187,0.01666538238961936,8.414201523132847e-05,0.0005777742202707182,0.006147280843986905,1.2765907695700308e-10,1.6047818678824449e-19,8.946660363291297e-11,3.819247316361189e-11,5.015989335618922e-09,5.271658642455621e-10,4.468436362001563e-09,1.6091462486574266e-10,3.492297779482629e-08,4.92174803511548e-08,0.0017141779547842565,0.029015184250288196,24.22967592966363,186.9497315352144,429.3275736879289
5,CAU10,38.90180962862574,88.26771902472196,0.2081699033436282,0.6169142597591221,0.4930195811574475,-0.4930195811574475,0.008279028894733,"[11294.750293122743, 17739.24684209419]","[[526.2858639004362, 10182.749299262365], [880.0537813302602, 10439.643517226292], [11294.750293122743, 17739.24684209419]]","[1214.7744037067223, 256.5827563307376, 21.360826450165376, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.18267171660278, 310.15, 0.04432672284430557], [2, 95.42162384989456, 310.15, 0.04541484813852424], [3, 92.95806213097077, 310.15, 0.04646956010937125], [4, 90.67696753221298, 310.15, 0.047493951220609114], [5, 88.56363371512211, 310.15, 0.04848707787824171], [6, 86.6046555436046, 310.15, 0.049448204086504396], [7, 84.78780437219221, 310.15, 0.05037679195826446], [8, 83.101915849026, 310.15, 0.051272490768593235], [9, 81.53678898232269, 310.15, 0.0521351248762246], [10, 80.08309533455201, 310.15, 0.052964680821989595], [11, 78.73229731589966, 310.15, 0.05376129389188949], [12, 77.47657464778698, 310.15, 0.05452523440676719], [13, 76.3087581584398, 310.15, 0.055256893971998365], [14, 75.22227015601003, 310.15, 0.05595677189055195], [15, 74.21107070092026, 310.15, 0.056625461912302784], [16, 73.26960916832806, 310.15, 0.057263639462564124]]",39.255362985822266,1043.2181617060662,2153.305798935328,606.0454859083065,149.8448987588716,180.64706046815212,11.20249537960744,11.917492193473963,0.6219227080251751,0.6169142597591222,179111.39087908837,247.91749708124428,17.626956224324523,"(578.769977229872, 17706.778471116726, 1985.1033026553773)",606.0454859083065,17.626956224324523,0.8561140376629781,0.00012423947784415444,0.8558603552292265,0.00012944295590723231,0.057030434351843746,10.521202677706064,2.593987656756154e-07,1.0603490317407027,0.003067802387668995,14.931625557764999,2.200412653061151,12.71160706603132,0.019605838672523117,8.82214562719693e-05,0.0006017512265335018,0.006387753121910594,1.4189927941705648e-10,1.8929823069889044e-19,9.513147194943461e-11,4.67678072783236e-11,5.375752581282236e-09,6.032167764470647e-10,4.749178014657405e-09,1.7921211147590736e-10,3.660129075309085e-08,5.7828709975322874e-08,0.0018199397347554065,0.03038749602355785,12.700485695165973,203.47529793199615,618.1173891239163
6,CAU21,27.90977601439265,81.412734340604,0.0327203677433797,0.11948325089952,2.649230255289505,-2.6492302552895057,0.0104872870619346,"[1780.6408304074014, 4599.348853096871]","[[199.4062759047763, 3820.7666786025147], [109.10108088496061, 1387.945688067954], [1780.6408304074014, 4599.348853096871]]","[985.8563688999895, 40.15142685659151, 8.874121117578767, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.23084060487575, 310.15, 0.046743340850633384], [2, 82.4430007589862, 310.15, 0.04981012856071383], [3, 76.73514310609825, 310.15, 0.05238567219689284], [4, 72.52372851229151, 310.15, 0.05450220153632288], [5, 69.3989707181122, 310.15, 0.05621106431029808], [6, 67.06980100865145, 310.15, 0.057571398741048226], [7, 65.32721468544891, 310.15, 0.058642239746866394], [8, 64.01964441051503, 310.15, 0.0594778410811833], [9, 63.03622339619739, 310.15, 0.0601254550178161], [10, 62.29526158683833, 310.15, 0.06062474032439984]]",41.085846034547984,5208.939822795711,18707.962854629623,-332.4212788899962,1092.5614727973168,637.4567039923036,60.196371155731335,60.96420904226848,0.7073454771808103,0.11948325089952,-968618.4782676494,2069.902254629681,-6.318943388825393,"(4933.444998531637, 185374.9059826601, 16921.05386483123)",55293.88100013009,1051.072617718591,4.680293394719881,0.0006131858512480605,4.679329642701182,0.0003505661674467773,0.11425991693647103,69.01252195872749,9.436615506631883e-07,3.225030844990407,0.008064346664419868,44.81150501816609,14.023485501271962,30.65977612816506,0.12824338872906899,0.0001664914232126942,0.0015567275366412043,0.016491777638424437,6.188075727456096e-10,1.2813673899269032e-18,2.3732680318415873e-10,3.814807682800833e-10,1.490710256035221e-08,3.2694318657907155e-09,1.1481631252259532e-08,7.936154336505e-10,6.897405930031017e-08,5.004009443183512e-07,0.005863445985908068,0.05511397494014612,-299.6227484398093,1147.9085013173915,-329.0019729493171
7,CuAlPyC,58.7104190392673,94.9445031599304,0.2631979621870321,0.697545841403855,0.3387162673784042,-0.3387162673784042,0.0048873504790482,"[17815.050357138796, 12528.8828810545]","[[349.8822637802766, 6783.513418505958], [514.2649300236717, 6148.871755931482], [17815.050357138796, 12528.8828810545]]","[1358.3518209590163, 406.5736196433189, 14.947380389878075, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.69333095191388, 310.15, 0.04490236030406783], [2, 90.90060822174985, 310.15, 0.04648836116983304], [3, 86.80723453979087, 310.15, 0.047957622364229076], [4, 83.29964266538661, 310.15, 0.049311755111209436], [5, 80.28494537439185, 310.15, 0.050553977919230206], [6, 77.68676652897598, 310.15, 0.051688750788813194], [7, 75.7026792100917, 310.15, 0.052725259737388556], [8, 74.15199297450349, 310.15, 0.05368312942442457], [9, 72.76151087452561, 310.15, 0.05457555886809113], [10, 71.51343265754947, 310.15, 0.055405141697518194], [11, 70.39215200261654, 310.15, 0.05617468980137694], [12, 69.38394999959206, 310.15, 0.05688716547649938], [13, 68.47673723793132, 310.15, 0.05754562171898066]]",102.10750870164446,761.1182441985914,998.7261223471976,219.93386124702783,84.3562494471922,147.64124405409152,7.696382791523801,8.373841583493888,0.5271422807700813,0.6975458414038551,260125.8356752209,119.5239763217282,7.475001874275075,"(263.6447965035064, 5696.995789880933, 904.2662488678986)",219.93386124702783,7.475001874275075,0.5662059014445542,8.92388757842051e-05,0.5660047755941933,0.00011188697457650268,0.05161889861228674,6.175484736272781,7.021081218008584e-07,0.885173851097964,0.002656580118217101,12.569377470032347,1.3379724073377965,11.219571784561648,0.011833278132895366,8.153845042368636e-05,0.0005236888872422778,0.005570621129929933,1.0859091789354597e-10,1.1091550942504763e-19,8.597316876380282e-11,2.261774901882769e-11,4.8142929193357075e-09,4.030539145595782e-10,4.384324968300352e-09,1.446001261870075e-10,3.321048600469308e-08,2.7089766684729845e-08,0.0015026607059087694,0.02773762346817686,41.186365161056685,135.94174001589226,222.1167718042153
8,CuAlPyC-FF2,41.30418153566223,90.67733037134607,0.1564090467500701,0.4727751770869823,0.5517167602827366,-0.5517167602827366,0.0074247560343425,"[10586.841254433788, 15044.561816204612]","[[403.45130756735176, 7877.9895095194215], [595.531907810994, 7443.126816906283], [10586.841254433788, 15044.561816204612]]","[1190.994357549904, 237.08961801465745, 17.073918609427132, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44266266743384, 310.15, 0.04460215985638259], [2, 92.29168123447049, 310.15, 0.04590020616321755], [3, 88.72830224406385, 310.15, 0.047103034307792675], [4, 85.79556569501072, 310.15, 0.04822310845813498], [5, 83.44298816933848, 310.15, 0.04928065079424254], [6, 81.31952167983368, 310.15, 0.050282120187035165], [7, 79.39910931743171, 310.15, 0.0512282247941837], [8, 77.6187911504269, 310.15, 0.05211821994579737], [9, 76.01326227254452, 310.15, 0.05295281850035138], [10, 74.5635352636885, 310.15, 0.05373408546759204], [11, 73.25296904962558, 310.15, 0.054464222914759816], [12, 72.08228805576339, 310.15, 0.05514620150477973], [13, 71.06566267605125, 310.15, 0.05578490687445802], [14, 70.13695026163566, 310.15, 0.0563830079225097]]",49.08662533258299,1132.386877830582,2667.872297170497,979.8164372687104,174.7817055953875,193.1971330345912,12.536225119921852,13.23474479915964,0.5968024095040476,0.4727751770869822,148242.66938059608,295.61662036795,27.091292997107946,"(711.4031310782964, 22841.39533247123, 2440.017209914831)",979.8164372687104,27.091292997107946,0.9583626100005177,0.00014040008720881585,0.9580857395645102,0.00013647034879828312,0.058116258216081386,12.143342709768577,1.007989587186573e-06,1.118836630303059,0.0032113869614805186,15.834188751197011,2.554713844179808,13.256468620415566,0.023006286601630718,9.127515350350581e-05,0.0006304056167541621,0.00670483134605914,1.5957027923443783e-10,2.2286100868187014e-19,1.0300089612202109e-10,5.656938288955575e-11,5.963309049161795e-09,6.767643100216564e-10,5.2402430515368435e-09,2.1405592841521025e-10,3.694947429229275e-08,7.001706290278281e-08,0.001939201906218497,0.03063904586435556,3.7755673687836375,227.2687081456903,1019.2044422043659
9,DAZMID,29.43861905458771,86.9792473516243,0.02846533572617,0.1051657374205142,3.002556950597432,-3.002556950597432,0.009817254229243,"[1537.2966786159166, 3684.7440555819885]","[[92.12541932272738, 2085.6586623902213], [62.62200487210784, 1067.5882613812078], [1537.2966786159166, 3684.7440555819885]]","[974.4162987652157, 32.32124082229849, 5.2642370170978685, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.61230562421883, 310.15, 0.040308215843433144], [2, 68.45622255225035, 310.15, 0.040603677561527024], [3, 66.2821630629227, 310.15, 0.04183401733605306], [4, 64.66945026762278, 310.15, 0.04279955177487869], [5, 63.47212982198259, 310.15, 0.043547788242910175], [6, 62.58261491360042, 310.15, 0.04412200853833198], [7, 61.921432857684145, 310.15, 0.04455940589976264]]",187.5441491564065,6375.790690427409,23119.528235548423,-320.1002279298352,1255.9677758472524,760.1633182897655,68.22473518619562,68.95879719051389,0.6607964882684236,0.1051657374205142,-1250602.6104948637,2517.265423099292,-5.9332730821606505,"(6085.026758709163, 229700.38999244172, 20870.824663841)",67564.5424298763,1252.3542501055556,5.304183738175322,0.0006919106088938526,5.30311113101215,0.0003806965542755631,0.12031849519830799,78.7478142284959,1.0476360324250013e-06,3.5353435787778156,0.008734184478675936,49.07197642059647,15.98570908697495,32.93993699338519,0.14633034023633054,0.00017399984101374783,0.0016836192590509765,0.017832737266304837,6.941904405674018e-10,1.4637457326143105e-18,2.5589664904004623e-10,4.382937900636096e-10,1.6221434457317627e-08,3.7044681833057854e-09,1.2338769606460123e-08,8.9078573884908e-10,7.20679059994813e-08,5.758467295145724e-07,0.006455049610985318,0.05729408876130925,-374.3746620095902,1307.6033882062668,-316.93510737367245
