,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,99.50101342687684,86.06251061572573,1.4959438436426709,3.852355946206911,0.095357522270188,-0.095357522270188,0.0093899024449764,"[57119.85242692935, 286.4497399391764]","[[3803.2262665612966, 10899.929863533293], [5403.317108982344, 1838.8380063735642], [57119.85242692935, 286.4497399391764]]","[1397.9491802714026, 413.2318159229346, 47.88654342264875, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 89.22315151070339, 310.15, 0.1709832320096471], [2, 79.12204148804557, 310.15, 0.19102047012621098], [3, 70.6787103173394, 310.15, 0.21200974019198862], [4, 63.60848547109488, 310.15, 0.23371366442372443], [5, 57.675259129939356, 310.15, 0.2558731425064408], [6, 52.683480493475834, 310.15, 0.27822254246244693], [7, 48.47392850003624, 310.15, 0.30051189297448866], [8, 44.91034538185802, 310.15, 0.322503499751693], [9, 41.88169209136225, 310.15, 0.34398643840509313], [10, 39.298137197672396, 310.15, 0.3647887536344037], [11, 37.08563466039859, 310.15, 0.38477637750062205], [12, 35.183197678575326, 310.15, 0.4038521539482054], [13, 33.54059815489329, 310.15, 0.42195272348461177], [14, 32.116442515789565, 310.15, 0.4390441151109661], [15, 30.876574688421943, 310.15, 0.45511677602428097], [16, 29.792759180259107, 310.15, 0.47018059149805475], [17, 28.84160081888858, 310.15, 0.4842602616195614], [18, 28.003662199695658, 310.15, 0.49739124059416073]]",45.10463070941716,608.2427371379039,376.1689612897186,63.71426271839277,24.997663136284,101.64732745017164,2.166733824516085,2.9441348665712224,0.5489319521647263,3.852355946206911,530174.7800702483,291.6821097390765,5.556631807500221,"(0.0, 0, 0)",63.71426271839277,5.556631807500221,0.10003154748550999,5.6577030701411645e-05,0.09983762702979637,0.0001373434250122101,0.020836762762332185,2.669989000346728,1.1375505095076583e-07,0.991015086247122,0.0003077368834990724,1.2303960792396422,0.06015204025292294,1.1656823854734615,0.004561653513257641,1.5609189694471074e-05,7.420366127563712e-05,0.0008176053372058337,2.2990668293459186e-11,1.3684629391037253e-19,1.6018485076582053e-11,6.97218308003084e-12,7.037992493994809e-10,1.0797085515522144e-10,5.908354965542371e-10,1.0320485261081923e-11,1.5542557480711418e-09,9.688811563182735e-09,0.0002003982255311713,0.09386503721517842,77.45354449834655,44.737884807932225,63.789961494715946
1,AlTCPP,99.69800076629414,86.89907746776258,2.148909944790999,4.907846282554653,0.0787992675216739,-0.0787992675216739,0.0093854968308469,"[81409.5517142228, 246.60095533576518]","[[4176.488027554422, 12175.127711660984], [8053.5587658153545, 2481.5215205463583], [81409.5517142228, 246.60095533576518]]","[1576.2669317386976, 587.4685569011447, 51.967553911733596, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 90.17644106621209, 310.15, 0.16854408347489097], [2, 81.14078438768446, 310.15, 0.18597068053262844], [3, 73.44057191900495, 310.15, 0.20410824179730477], [4, 66.8642663940407, 310.15, 0.222807324646115], [5, 61.234872923861026, 310.15, 0.24190594980649305], [6, 56.4041718177012, 310.15, 0.26123653376421446], [7, 52.247966242994565, 310.15, 0.2806328299077392], [8, 48.66214372837229, 310.15, 0.29993626135104806], [9, 45.55939703697985, 310.15, 0.31900116444990534], [10, 42.866484620334724, 310.15, 0.3376986513687572], [11, 40.52193669483836, 310.15, 0.3559189993050422], [12, 38.47413222313386, 310.15, 0.3735726463134766], [13, 36.67968646458206, 310.15, 0.39058999652965615], [14, 35.102099615044466, 310.15, 0.40692030422870246], [15, 33.71062539278834, 310.15, 0.4225299224275922], [16, 32.47932498349173, 310.15, 0.437400180685853], [17, 31.38627705473711, 310.15, 0.4515251133612428], [18, 30.412918942478424, 310.15, 0.46490920708831895], [19, 29.543497829296975, 310.15, 0.47756528438925683]]",52.65666203987786,506.1400180933784,311.78309463529735,52.662502394429005,20.72121538656168,95.18283969261228,1.7904936519064836,2.5610241673030147,0.5398847834907272,4.907846282554653,531516.1639113522,281.5465208079019,4.809570251213306,"(0.0, 0, 0)",52.662502394429005,4.809570251213306,0.09012551146606483,5.0946175625181054e-05,0.08995077761262416,0.00012378767781549065,0.018761539667492937,2.406666782227296,1.022320471165245e-07,0.8932406857142684,0.00027794413775191526,1.1084935775564109,0.05416599741244502,1.050223437350612,0.004104142793353798,1.4062440402595247e-05,6.71881151595192e-05,0.000740562466964391,2.0663684906466262e-11,1.2327706279998343e-19,1.4401431475003672e-11,6.262253308185524e-12,6.338308823321053e-10,9.71571449375808e-11,5.322323996374517e-10,9.238286951546915e-12,1.3994989329000164e-09,8.437583960053545e-09,0.00018137673957647953,0.08461026707866012,79.06725366505128,38.520177612389695,52.71167941427049
2,AlTCPP-FF2,99.99017209845135,93.91647358004084,1.4259274435001112,3.885932413222128,0.0924225887344503,-0.0924225887344503,0.008819417059885,"[54019.99941120942, 5.309554176467225]","[[782.0210430729326, 2306.775910428529], [2652.597944804552, 197.13218735742672], [54019.99941120942, 5.309554176467225]]","[1321.0056817081777, 368.2842183496682, 15.890642432690138, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 38.04846037139039, 310.15, 0.39221380850023163], [2, 28.06767423242048, 310.15, 0.5264279971507833], [3, 24.584973907235852, 310.15, 0.5979975716490219], [4, 22.9000289294789, 310.15, 0.6400647004756863], [5, 21.943353769462142, 310.15, 0.6666564648466503], [6, 21.348387176885794, 310.15, 0.6843148080521251]]",1582.5050912224715,636.6944523594987,393.7777057081248,60.30109270571866,24.65926541563982,102.79823013376642,2.100045642889773,2.8421924776996788,0.5045183304348073,3.885932413222128,562596.7332301984,236.7542829381293,5.1343735856011685,"(0.0, 0, 0)",60.30109270571866,5.1343735856011685,0.09464443140728476,5.3532557436425126e-05,0.09446102903532361,0.00012986981452474113,0.019717387112039624,2.5255094318010762,1.0776255741446573e-07,0.9370633626983438,0.0002919510718766873,1.163730143324136,0.05693879224924296,1.1024733577835164,0.004317993291376932,1.4763315413183841e-05,7.060567046208272e-05,0.0007781858047701415,2.1770199546966806e-11,1.294412514229944e-19,1.5164060129089364e-11,6.606139288436184e-12,6.65743473251687e-10,1.0219440683655152e-10,5.587916523946791e-10,9.80305322205697e-12,1.4715590143906883e-09,9.341854112236787e-09,0.00019065284707629258,0.08875080512824089,85.0278023382806,43.32178268543454,60.37351488964685
3,Ca-SQA,99.9873774424767,91.1062196844402,1.483289578385398,3.081600378388109,0.0932585787601004,-0.0932585787601004,0.0090297943930246,"[107646.7921201039, 13.589493598993306]","[[2431.9217833777666, 6367.870820435215], [8050.770316747326, 887.3539106699466], [107646.7921201039, 13.589493598993306]]","[1732.81471524888, 764.0890029255071, 31.894891397553717, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 79.22248718873941, 310.15, 0.1921011634001009], [2, 63.993092761371216, 310.15, 0.23544390478963056], [3, 53.3377767436625, 310.15, 0.28019587765468384], [4, 45.75927891325887, 310.15, 0.32443691985350903], [5, 40.2735600102854, 310.15, 0.3666032032948412], [6, 36.22926518139184, 310.15, 0.40565134866591807], [7, 33.192065853874254, 310.15, 0.441047599539428], [8, 30.869715969191294, 310.15, 0.47265700632383634], [9, 29.063349055277786, 310.15, 0.5006081309619138], [10, 27.63583800545125, 310.15, 0.5251770312235997], [11, 26.491229809556213, 310.15, 0.5467045144890178], [12, 25.561335167644316, 310.15, 0.5655442503056777], [13, 24.796927294532686, 310.15, 0.582033809199281]]",153.75204763264318,467.91813628408505,313.2163386202018,53.56428795537956,19.391979831776613,96.25074563983712,2.119041185374632,2.868189559640691,0.5130473007481318,3.0816003783881096,540359.6143483166,272.4409676798569,5.22534266651302,"(0.0, 0, 0)",53.56428795537956,5.22534266651302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.29086933261594,0.0
4,CALF20,99.7874983082274,93.8857237171742,1.329933082435527,2.898842906437067,0.0849744990960974,-0.0849744990960974,0.0088280781293382,"[99325.72785644924, 211.51833209452045]","[[2636.3730142996164, 7485.5536910897645], [3792.1778142421317, 1247.7597272806318], [99325.72785644924, 211.51833209452045]]","[1651.6104015627654, 679.2344773644149, 35.54510327253125, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 82.1372306873333, 310.15, 0.1826949121746572], [2, 68.32416562740369, 310.15, 0.21485563672410746], [3, 58.1908707790981, 310.15, 0.24771006164608098], [4, 50.62763566705373, 310.15, 0.28040615108370126], [5, 44.891345744487396, 310.15, 0.31220163063491474], [6, 40.47471673101138, 310.15, 0.34251871966087244], [7, 37.025640042959374, 310.15, 0.37096091121584424], [8, 34.29606396513095, 310.15, 0.39730016575713784], [9, 32.10884006863894, 310.15, 0.42144723586117255], [10, 30.335809749998482, 310.15, 0.44341651392741194], [11, 28.883092285742233, 310.15, 0.46329294959542966], [12, 27.68107626086573, 310.15, 0.4812047261505234], [13, 26.67753041302453, 310.15, 0.497302642911831], [14, 25.83280973697776, 310.15, 0.5117456363653461]]",105.37745856153244,499.01346900269215,335.83654479622265,52.078553899784055,19.962380284316765,97.12869919064856,1.930808572092975,2.678357633687875,0.5118556532643624,2.898842906437067,560877.1843501267,236.96868802865487,4.878454866804035,"(0.0, 0, 0)",52.078553899784055,4.878454866804035,0.09134891810097684,5.171543109702896e-05,0.0911719106197678,0.00012529205011200858,0.019030471688364237,2.439794448180065,1.0441866405621962e-07,0.9039448931260399,0.00028554545596140574,1.122815776905686,0.05509172188724616,1.0635534992214182,0.0041705557970215905,1.4241071157879685e-05,6.99743093873513e-05,0.0007722211431285751,2.0944125730020486e-11,1.249414835893144e-19,1.4602008125687272e-11,6.342117479391727e-12,6.426087066437563e-10,9.84610832606167e-11,5.395502713210943e-10,9.484658268592661e-12,1.4225221012007244e-09,9.0014167687288e-09,0.00018870514324008454,0.08560387658950512,85.30936443048313,37.947093118378845,52.1481452594067
5,CAU10,98.9518445385665,89.13644451226642,2.030245261660032,4.1530646763661325,0.0832144858944414,-0.0832144858944414,0.0094912189096997,"[110155.75688860782, 1166.8338142613816]","[[4239.415860745832, 14710.866185317813], [9129.312824700008, 5722.719462527364], [110155.75688860782, 1166.8338142613816]]","[1759.8769851981388, 765.5810043296077, 57.46515994271166, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 91.9058102276878, 310.15, 0.16351732846672234], [2, 83.88390969109521, 310.15, 0.1750058837531177], [3, 77.0096950593822, 310.15, 0.1865158279062603], [4, 71.08480587137177, 310.15, 0.1979998817794288], [5, 65.95039920459237, 310.15, 0.20941383948399045], [6, 61.478350767631255, 310.15, 0.22071697240209667], [7, 57.564598869346504, 310.15, 0.23187231947191686], [8, 54.12406981785382, 310.15, 0.24284686620408139], [9, 51.08677947486753, 310.15, 0.25361161967284723], [10, 48.394816240968616, 310.15, 0.26414159033228896], [11, 45.99998954516926, 310.15, 0.27441569388009623], [12, 43.86198447447193, 310.15, 0.28441658759885935], [13, 41.97278528309676, 310.15, 0.29413492466144936], [14, 40.28202162751111, 310.15, 0.30357864358822123], [15, 38.75178591053901, 310.15, 0.3127419987798355], [16, 37.36373563671027, 310.15, 0.3216159598844562], [17, 36.1019379579624, 310.15, 0.33019432887259714], [18, 34.952519739949835, 310.15, 0.33847345045120203], [19, 33.91873335869564, 310.15, 0.34645007707492587], [20, 33.10790772869348, 310.15, 0.35411462110340697]]",43.162593302593685,466.81681010321415,298.72770045652766,50.90468196310762,18.646634831044267,95.55628355128674,1.8908171792292048,2.6582619810480588,0.5381389050761713,4.1530646763661325,551876.3580656061,251.994099402754,4.975920926633966,"(0.0, 0, 0)",50.90468196310762,4.975920926633966,0.09235027835689259,5.2245381826937634e-05,0.09217110617560113,0.00012692679946450862,0.019238081531692135,2.467935599282083,1.04858409023299e-07,0.9158928165005502,0.00028431894121548173,1.1366316067507867,0.05554005162247406,1.076882983392752,0.0042085717355605555,1.4417819694837613e-05,6.856549580581224e-05,0.0007555094673210641,2.1172938191022208e-11,1.2640188559613886e-19,1.477800847161049e-11,6.3949295930098285e-12,6.502206077315841e-10,9.951312351291348e-11,5.461460260040536e-10,9.481560673142908e-12,1.434094484731028e-09,8.695485111688866e-09,0.0001851283062381077,0.08675534419944397,80.90466904981491,36.89175077316104,50.95144633444019
6,CAU21,97.49490545991252,86.84722662159972,0.3450065656181742,1.1378501992237908,0.2812722876877193,-0.2812722876877194,0.0094067261370454,"[18775.24061821241, 482.42267162207105]","[[1643.8491571164207, 5332.156546198937], [1123.3132459934818, 775.4964661625015], [18775.24061821241, 482.42267162207105]]","[1091.5528573732295, 128.41088981482037, 26.311146632589686, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 73.34160746362916, 310.15, 0.19277991882883216], [2, 56.463180727705414, 310.15, 0.23357451327307738], [3, 45.80393393300188, 310.15, 0.27227260485060173], [4, 38.788258798624874, 310.15, 0.3074057839855788], [5, 34.00005850457105, 310.15, 0.33827283010034886], [6, 30.628305115351246, 310.15, 0.36476272213960015], [7, 28.1901242434223, 310.15, 0.3871304762411407], [8, 26.38733582435941, 310.15, 0.4058125870110968], [9, 25.029448205036495, 310.15, 0.4213046310373642], [10, 23.990895766947595, 310.15, 0.4340918015749997], [11, 23.291737037104046, 310.15, 0.44493756332750595]]",40.238074998596325,1400.2364468625226,988.5801333058068,245.2488226408965,57.00112377902812,199.76497194307527,6.391128514279076,7.179711945203947,0.568083504786419,1.1378501992237906,560111.2432672019,360.32511017337407,19.984939055781723,"(278.66170501085475, 0, 566.6512206767487)",245.2488226408965,19.984939055781723,0.2047870252480362,0.00011613785977087989,0.20439040089688584,0.0002804864913794409,0.04279060251284914,5.457704971882042,2.359428882929379e-07,2.0234052181098905,0.0006298840855895842,2.517402601359742,0.12359068510506152,2.3844149110174038,0.0093970052372765,3.1931194237567406e-05,0.00015186441959998722,0.001672641787216812,4.7391462821489075e-11,2.801849039263373e-19,3.305064506176854e-11,1.4340817479535635e-11,1.4423935151514934e-09,2.2168327505505028e-10,1.2098024184126695e-09,2.1882220996688524e-11,3.193272430545556e-09,2.338102983569275e-08,0.0004104833971884675,0.19158139961743334,69.06204143072026,96.98740920273876,246.88264357715101
7,CuAlPyC,99.72469329704722,93.47594641744932,1.685149433574148,3.485767319764108,0.085144869607931,-0.085144869607931,0.008901441107435,"[114062.51693200425, 314.8886642700275]","[[2964.7631105598048, 8926.019435599752], [4954.636103293145, 1951.01601819629], [114062.51693200425, 314.8886642700275]]","[1740.37375543399, 762.3849430959532, 41.15799141221737, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 84.01328275754794, 310.15, 0.17540735457174822], [2, 71.32728593121963, 310.15, 0.19899893949601918], [3, 61.7801386826173, 310.15, 0.2225053345619392], [4, 54.68530869368905, 310.15, 0.2456901139956953], [5, 49.47714605165963, 310.15, 0.2685140699013011], [6, 45.233008235105764, 310.15, 0.2908372270023701], [7, 41.74377875901282, 310.15, 0.31244345321587724], [8, 38.85145239742819, 310.15, 0.3331645418908707], [9, 36.43533719297882, 310.15, 0.3528794979817083], [10, 34.402341585949856, 310.15, 0.3715105816448412], [11, 32.68002327310811, 310.15, 0.389017415100841], [12, 31.211543645250554, 310.15, 0.4053902778638535], [13, 29.951960727013965, 310.15, 0.42064342519863407], [14, 28.865476844884565, 310.15, 0.4348089640529416], [15, 27.92337627460781, 310.15, 0.4479315666370287], [16, 27.102467155526337, 310.15, 0.46006411542108705]]",107.44273322051512,474.2785528420944,313.1193995988148,50.08903898205898,18.418494245358623,96.7746985464918,1.934679766959429,2.683796902626355,0.5139153836202456,3.485767319764107,573844.7067520478,216.71149117533813,4.898455563247084,"(0.0, 0, 0)",50.08903898205898,4.898455563247084,0.09150235856331146,5.216535887659817e-05,0.09132426427002424,0.00012592893441061917,0.019101241157375232,2.4441542001286147,2.0199174897755608e-07,0.9076608817207017,0.00028819906648341203,1.1617018947320532,0.05896763168942984,1.0985142240363033,0.004220039006320184,1.4590965337207356e-05,6.936721830754328e-05,0.0007655831558044545,2.170454164626008e-11,1.2547059716834867e-19,1.5352692207318765e-11,6.351849313470714e-12,6.970986051448274e-10,9.880586134885635e-11,5.911794448889804e-10,1.1998512036555405e-11,1.4319053599084572e-09,8.640000507255587e-09,0.00018732373540326615,0.08582625940487197,84.92267685131499,36.45687355282945,50.14802650161949
8,CuAlPyC-FF2,99.21675524410462,91.96159111309828,1.3339349703742052,3.036175694103607,0.0958690083725705,-0.0958690083725705,0.0091091709001017,"[90289.9037397478, 712.7736987615278]","[[2965.448972116564, 9187.309549273163], [4877.111443346351, 2654.341766988598], [90289.9037397478, 712.7736987615278]]","[1581.64954112279, 602.9070424233114, 41.91167777365931, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 83.42400860960826, 310.15, 0.17599316487966682], [2, 71.09971258535006, 310.15, 0.1989260574639403], [3, 62.032491710210415, 310.15, 0.22100098233684487], [4, 55.14457197989906, 310.15, 0.24212287076655278], [5, 49.777568394795956, 310.15, 0.2622222589030931], [6, 45.66968888091621, 310.15, 0.2810907319989838], [7, 42.40951970529233, 310.15, 0.29889245536607134], [8, 39.69260057135033, 310.15, 0.3158033989072583], [9, 37.405113215445624, 310.15, 0.3318093990275725], [10, 35.46175987826529, 310.15, 0.34691112859294343], [11, 33.797519187915796, 310.15, 0.36112137255020205], [12, 32.362083332604676, 310.15, 0.3744624167197386], [13, 31.116013819030837, 310.15, 0.38696368128059144], [14, 30.028028817447133, 310.15, 0.39865966423151095], [15, 29.073053457737643, 310.15, 0.409588213876994], [16, 28.23079543933684, 310.15, 0.41978911955940945]]",67.75953802075082,528.2711242418794,350.12994226493294,56.34019138437306,20.523661655965032,100.9905966499435,2.1783559201034883,2.934347186322635,0.5235219590759825,3.0361756941036067,574400.1876457172,220.45911673641697,5.405360363329702,"(0.0, 0, 0)",56.34019138437306,5.405360363329702,0.09826945573114981,5.606723818409572e-05,0.09807817193535738,0.00013521655760831644,0.020523168072212848,2.6243198881032592,2.2435187536828732e-07,0.9745037246577546,0.0003099833458980027,1.2501831182128493,0.06364328762375131,1.1820009029426197,0.004538927646478201,1.5691802803613513e-05,7.459996686246502e-05,0.0008233919130192992,2.338830803919713e-11,1.347668234014518e-19,1.655662277783572e-11,6.831685126594591e-12,7.526712216651e-10,1.0618372599364077e-10,6.386220870946071e-10,1.3115908061244346e-11,1.5392867854453698e-09,9.454570583250046e-09,0.00020147702945530965,0.09213190108124544,82.92457560624356,39.88345589825113,56.41852468882443
9,DAZMID,89.84040047746117,94.96433027528562,0.2172936329690355,0.7645111216826437,0.421436956736584,-0.4214369567365841,0.0098639162132175,"[11735.142822874752, 1327.0683432685041]","[[459.8722616906123, 2909.5298273666663], [115.88625048664295, 561.6569567993747], [11735.142822874752, 1327.0683432685041]]","[1023.2121633061746, 69.00192895782455, 17.379413422530664, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 38.68528111046384, 310.15, 0.10343062157073192], [2, 28.87342274684131, 310.15, 0.10242727743112394], [3, 26.708180239934126, 310.15, 0.11040498818962405], [4, 25.08580220559825, 310.15, 0.11727545814168006], [5, 23.86526112834117, 310.15, 0.12305329781954452], [6, 22.94368045596828, 310.15, 0.12781877310799697], [7, 22.24562219409756, 310.15, 0.13168832907724032]]",105.05934077428876,2384.0750296125466,3342.328144958483,986.5975884846708,113.649263165241,338.3635917800456,9.575979821234908,10.349463310324012,0.5673174301147972,0.7645111216826437,472014.1369180846,644.0818378358339,56.98964643414648,"(1618.7606949187189, 16221.36273590296, 3291.707139032625)",986.5975884846708,56.98964643414648,0.47017553308342913,0.0001477975535232548,0.4697441595363412,0.0002835759935646454,0.04526481717495188,9.916454649233563,2.7974557910661583e-07,2.031485653623261,0.0008374028675791537,2.7243616912599746,0.1927978654335871,2.5194351602268226,0.012128665599564232,3.435121784351283e-05,0.00020829228585272095,0.002282536341304629,6.924606306796567e-11,3.057718588591855e-19,3.979941042370948e-11,2.944665233848433e-11,1.6086292209159817e-09,2.798895590502978e-10,1.3128083142547353e-09,5.0728871472154555e-11,3.8566410811736265e-09,6.802885302171932e-08,0.0006318140304396315,0.18896967746092433,50.31442566419237,151.43573367722686,1012.301332608733
