,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,21.67831157598731,97.57952602626126,0.1078578639581431,0.3769724825383647,0.8519587070995839,-0.8519587070995839,0.0,"[4118.353304874837, 14879.220793269717]","[[0.0, 0.0], [0.0, 0.0], [4118.353304874837, 14879.220793269717]]","[1030.0176491258856, 82.38448410414185, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432]]",63.24129161153438,3338.505801231792,4914.806776320218,-1349.3320885923115,345.16719579015285,261.49334614591817,19.35838624805348,19.98287185189221,0.5461615410565304,0.3769724825383647,-22851.419520973926,532.4765073023025,-31.51969643102728,"(2575.053401533809, 33040.75734797921, 5236.30311251454)",20273.87372803216,473.5871552978601,1.2477256772540464,0.0002466158437527511,1.2471691986052436,0.00030986280505037044,0.055277219732714,23.086424147354517,4.232530734679373e-07,2.1799781839293426,0.0014757246135229162,3.490847393256022,0.40075657442849805,3.0693773179957295,0.020713500831793605,4.354637393302159e-05,0.00038055191870743627,0.004146021994392833,1.3800382529892244e-10,3.9794537150153854e-19,6.235168957534998e-11,7.565213532562706e-11,2.1889515915996124e-09,4.700082153889736e-10,1.6874647474949292e-09,1.355995187855625e-10,6.0206970389459256e-09,1.9971746839152914e-07,0.0012966312400779004,0.1931614630836898,-24.172954170984415,377.9731432327631,-1307.2320126477655
1,AlTCPP,21.94412399624448,98.097979597497,0.1364057952015941,0.4676635972586133,0.6976874854484513,-0.6976874854484513,0.0,"[5167.61284738896, 18381.34653815473]","[[0.0, 0.0], [0.0, 0.0], [5167.61284738896, 18381.34653815473]]","[1050.0301190947462, 102.39695407300246, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",66.12811024387845,2749.7962866722714,3868.931733605729,-17736.142251580866,274.6877206858103,225.24037265750232,15.853002864099617,16.477117721234073,0.5452805626132315,0.4676635972586133,67281.25544120988,391.6121307210091,-437.8195670430209,"(2010.819427271479, 25176.339161927408, 4088.9482212115217)",15811.582954606734,390.3115065979864,0.9837870835852662,0.00020988121505688257,0.9832860947412367,0.00029110762897257273,0.050477854416793866,18.54370960174975,3.677659502021874e-07,2.058240705882648,0.0012498899271371057,3.1492107712493134,0.3279126029837061,2.803740121673469,0.017558046592138176,3.93947394537339e-05,0.0003217942147637699,0.0035121674094567507,1.1396252684826142e-10,3.575953299810433e-19,5.3831672460767576e-11,6.013085402989855e-11,1.9466849686414193e-09,4.0048187433480247e-10,1.5202113756388664e-09,1.0684903231743265e-10,5.204584055451034e-09,1.555180204048031e-07,0.001071716748092603,0.18487357253832384,1.5904543436684775,307.2534455200197,-12340.383578038623
2,AlTCPP-FF2,23.53995304135408,93.0289119084518,0.0385295743954351,0.1416959617987127,2.212851113733968,-2.212851113733968,0.0,"[1459.658831620905, 4741.11323048403]","[[0.0, 0.0], [0.0, 0.0], [1459.658831620905, 4741.11323048403]]","[978.9020524142181, 31.268887392474383, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",94.39059174771778,8241.017412170018,13535.86825925645,-386.7377847787805,971.0771429182088,559.2591247617721,50.28087184522464,50.90278967035606,0.5400402449002318,0.1416959617987127,-760163.4716344201,1676.3955423427165,-7.60419423534444,"(7217.456188208657, 97742.38298081222, 14676.506623219286)",50050.45240812326,984.1121727889528,3.5814690283783914,0.0005708172903181566,3.5804262507512195,0.0004719603368539664,0.09759525594768194,63.24194204300688,9.154850422178142e-07,3.2288683579054727,0.003555800761934741,6.483728271486593,1.0459460149041644,5.38920061723903,0.048581639343398555,7.988394098579611e-05,0.0009415407890862831,0.01023296412711458,3.502693247168455e-10,7.51957283719047e-19,1.373139616940036e-10,2.1295536227088467e-10,4.312792533912741e-09,1.0838810392797683e-09,3.148345164363941e-09,3.9063880890674147e-10,1.3288974440003102e-08,5.936787442297631e-07,0.0033924928622011733,0.26373599258340696,-240.15125483541004,1005.4765731438971,-383.05401204601895
3,Ca-SQA,39.354349663348806,98.65070406534753,0.0994139812147429,0.3236040445856685,0.8316357142016015,-0.8316357142016015,0.0,"[7214.772034806807, 11118.073245383439]","[[0.0, 0.0], [0.0, 0.0], [7214.772034806807, 11118.073245383439]]","[1105.951357410582, 158.31819238883836, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432]]",169.6895491418168,2031.7707355704013,3844.26639653958,-1394.4198273828,266.9441341580241,203.92065407182417,18.896602897572848,19.499514363024264,0.4922308180179551,0.3236040445856685,2113.2316030040965,486.3303058504386,-40.07690180590629,"(2203.2127297543807, 28042.114743490954, 4480.174922769674)",14516.546175835225,417.2188204909549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,301.18621463099424,0.0
4,CALF20,27.282555396519783,98.0501572739925,0.0707986662903912,0.2408379284994075,0.9313313070954182,-0.9313313070954182,0.0,"[5287.581122262875, 14093.232168186336]","[[0.0, 0.0], [0.0, 0.0], [5287.581122262875, 14093.232168186336]]","[1058.2851307244807, 110.65196570273692, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432]]",101.41559544214324,2771.042967565312,4951.242889489294,-914.5732692856228,335.2933949812372,246.74783778034515,21.161907281910352,21.77886817344634,0.5280684733298168,0.2408379284994075,-60487.45677290316,587.7782761010675,-23.48673531433742,"(2715.9043060408035, 35082.11460669757, 5522.719708469851)",18799.323706971016,482.7767821588111,1.3731246797035623,0.00026724882125771064,1.3725321248132012,0.0003253060691030971,0.05873500095919574,25.32528343730247,4.6145393761542813e-07,2.283945937133816,0.0016549200120748561,3.709694176802248,0.4392298137804174,3.2480071414477787,0.022457221574050893,4.618930359234346e-05,0.00044016621703356725,0.0048126324156432835,1.4916617410185991e-10,4.2417378262818205e-19,6.667584769829375e-11,8.24903259793924e-11,2.338497654483803e-09,5.049873978539676e-10,1.7988612610530524e-09,1.4987314197155402e-10,6.5177312650213985e-09,2.2180327180183098e-07,0.001483844172125538,0.20139689500247568,-36.584933527742365,368.9058872030574,-887.7378223551449
5,CAU10,19.60400534345009,98.79872601785638,0.1554170260671475,0.5043535193581177,0.6352454638010344,-0.6352454638010344,0.0,"[8432.518210043689, 34581.74373444758]","[[0.0, 0.0], [0.0, 0.0], [8432.518210043689, 34581.74373444758]]","[1109.3434909580865, 161.71032593634266, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432]]",39.255362985822266,1940.862231324326,3270.308810460976,2946.203077488029,207.8161547608834,193.5174228578241,14.434182018573916,15.061607491534586,0.5531176845059274,0.5043535193581177,103317.77807854828,336.4841364232103,86.87579998943124,"(1855.2853633579232, 22954.8226172943, 3772.67380822751)",2946.203077488029,86.87579998943124,0.8840772316423615,0.0001944292388608705,0.8836026179806897,0.0002801844228106809,0.04790400245324402,16.815230181999038,3.4150496274913514e-07,1.9847169531010658,0.0011477746264277567,2.982605204495055,0.29892325624638777,2.667483430958916,0.01619851728975161,3.732525107350878e-05,0.00029328573783202004,0.00320030253328995,1.0356378524898538e-10,3.3813755085159307e-19,4.992892876206485e-11,5.3634856148782985e-11,1.8347329172883782e-09,3.685366185526443e-10,1.4428352718038017e-09,9.555675994261365e-11,4.82718018641767e-09,1.3685779558632313e-07,0.0009707946377112897,0.1791553312821372,11.453021830197756,239.74761336399348,3170.7470080756343
6,CAU21,15.857837683936152,93.71010443472036,0.0281863809295608,0.1038745224798322,3.053323151382285,-3.053323151382285,0.0,"[1533.9014872394705, 8138.927291890353]","[[0.0, 0.0], [0.0, 0.0], [1533.9014872394705, 8138.927291890353]]","[976.8610138845193, 29.227848862775502, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432]]",41.085846034547984,9177.660478108157,19851.251970516205,-287.47498631028776,1139.456941673442,723.1818386517631,69.37825555631439,70.01119803744187,0.5660578416306795,0.1038745224798322,-1390774.759702071,2693.4776731845545,-6.485459552143324,"(11592.909603936148, 158430.5453497364, 23573.87563536846)",66442.72379712235,1498.9533637384395,5.064671672610129,0.0007675654032858895,5.063353631927212,0.000550475279628463,0.12011886216041129,88.63457827803488,1.2014214174146842e-06,3.7185932483365187,0.004794577957677625,8.148145798936964,1.447221438247522,6.635588469228055,0.06533589146138802,9.983012980255018e-05,0.0012691942970978261,0.013771991964187982,4.768796818497571e-10,9.512685701561812e-19,1.8039048861800205e-10,2.964891922804865e-10,5.523979007219075e-09,1.440641031386723e-09,3.973694224682031e-09,5.512940621666193e-10,1.7519281324693748e-08,8.385237280680428e-07,0.004651988164616019,0.2919193778720034,-380.9008069331447,1171.4533907103273,-285.3678652521461
7,CuAlPyC,28.94100914260634,98.99723196953042,0.1419747440594971,0.4457932233588622,0.589074867160173,-0.589074867160173,0.0,"[9609.828259477503, 23595.05486026872]","[[0.0, 0.0], [0.0, 0.0], [9609.828259477503, 23595.05486026872]]","[1146.5160344143417, 198.8828693925979, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",102.10750870164446,1675.1589370384645,2697.071274479486,1216.5704307292972,188.50464189169023,173.03328895123363,13.385083939490135,13.99993721888107,0.5229008396959642,0.445793223358862,131995.4559123297,288.2902030846048,36.84044371405516,"(1488.085851626771, 17986.348416647204, 3025.9832949176225)",1216.5704307292972,36.84044371405516,0.7827209689655079,0.00018753235914539376,0.7822471254576244,0.0002863111487380012,0.04817947927757045,15.146007376487908,1.1057635731254769e-06,2.026358480421338,0.0011300522136780877,3.2354197558390414,0.3052085572897094,2.9144957103471505,0.015715488202180584,3.946596419651889e-05,0.0002854003773706339,0.0031278723447719036,1.0160177729021477e-10,3.358465640874658e-19,5.358312155004066e-11,4.801865540432753e-11,2.217877097595291e-09,3.5170089040275943e-10,1.8239708971393527e-09,1.0522743303213158e-10,4.719541071754451e-09,1.202068052115703e-07,0.0009222724287209934,0.18325788060289794,21.51002263743641,221.75691366140887,1265.0050671276008
8,CuAlPyC-FF2,21.30139504982194,98.68416583900247,0.1095657497496137,0.3612305588951878,0.7602644783242447,-0.7602644783242447,0.0,"[7416.164369160181, 27399.228481000464]","[[0.0, 0.0], [0.0, 0.0], [7416.164369160181, 27399.228481000464]]","[1091.9250583477256, 144.2918933259819, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",49.08662533258299,2190.4615600467014,4041.0679016189,-2190.620495252368,251.2478046656142,215.44601560714784,17.274890554472975,17.89990420673037,0.5474147706952474,0.3612305588951879,28149.3983887448,453.7536472441281,-62.389699691839375,"(2308.992933935777, 29296.02167338293, 4695.2761754534195)",15667.482002995275,446.2158092707713,1.0973783433299764,0.00022874604149873847,1.0968499190327219,0.0002996782557557207,0.05249618501705584,20.501176303264813,1.345077349932961e-06,2.104570254187831,0.0014038268444715074,3.62590323963225,0.3968057588006616,3.2098219506755745,0.01927553015601411,4.391796440377987e-05,0.0003585958610373035,0.003923084885839701,1.2998022115957058e-10,3.7523432349396847e-19,6.38279995329561e-11,6.615222125138016e-11,2.557005840731705e-09,4.272936517378961e-10,2.076753980701397e-09,1.4398901678887844e-10,5.6143817133691444e-09,1.715650267806096e-07,0.001199963123518633,0.18648048167974218,-9.609700582302713,283.419907043924,-2053.878209272657
9,DAZMID,17.814692450204756,92.92415500917248,0.0209914841207318,0.0779492807992835,4.040426376432779,-4.040426376432779,0.0,"[1133.6644376321813, 5229.984223724032]","[[0.0, 0.0], [0.0, 0.0], [1133.6644376321813, 5229.984223724032]]","[969.4681215753969, 21.83495655365327, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432]]",187.5441491564065,12150.999674125203,26393.884160551363,-270.70448060390765,1529.09886287447,933.0252150114392,91.80742417445158,92.43745163904988,0.5592365079736596,0.0779492807992835,-1977756.006194049,3611.8379697960495,-5.950743445792046,"(15385.291673448492, 211225.34591608413, 31285.584457641242)",87427.06143308996,1921.859629538428,6.766845128466824,0.001001295098895946,6.765182422242869,0.0006614111250595209,0.1496855968329888,117.88417717588206,1.5526083584679988e-06,4.430948439510389,0.006281243867134051,10.260786824860302,1.915157861918962,8.260245154013123,0.08538380892821645,0.000125403357787074,0.0016669830337409871,0.018081093788509178,6.293051864744628e-10,1.2018773722163275e-18,2.337612012105631e-10,3.955439840620224e-10,7.032647937480208e-09,1.8785604839260736e-09,5.009227877074778e-09,7.369304447253004e-10,2.270171205647587e-08,1.1244608497442812e-06,0.006151954765218124,0.3384251777740626,-535.8792106315424,1561.2299379909148,-268.83423018435826
