,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,90.63235836183436,93.29020074848972,0.6002755533295547,1.4078209325557691,0.1830388238135114,-0.1830388238135114,0.0101161969476595,"[22920.41320093006, 2369.0238337151063]","[[1103.4693115820114, 14245.774625206604], [509.0509002316227, 1882.1887040597574], [22920.41320093006, 2369.0238337151063]]","[1534.9906667912053, 548.7086634478542, 49.45118241753174, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 90.62174549135369, 310.15, 0.04772512351810978], [2, 81.32580456533243, 310.15, 0.05258405777975583], [3, 73.26145268692659, 310.15, 0.05776043784379897], [4, 66.27183879200405, 310.15, 0.06322893241545824], [5, 60.21763912795765, 310.15, 0.06895536013119319], [6, 54.975710409750654, 310.15, 0.0748973525897433], [7, 50.4377300686292, 310.15, 0.08100556388236836], [8, 46.50883533917071, 310.15, 0.08722536374301354], [9, 43.10628368539333, 310.15, 0.0934988923790165], [10, 40.15815897249979, 310.15, 0.09976731074816458], [11, 37.60214464282465, 310.15, 0.10597305904888824], [12, 35.38437976059809, 310.15, 0.11206194200517812], [13, 33.45840795547401, 310.15, 0.11798488983221689], [14, 31.78422401155661, 310.15, 0.12369929134367055], [15, 30.327418544106383, 310.15, 0.1291698506653852], [16, 29.058417966124114, 310.15, 0.1343689716782221], [17, 27.951814682060103, 310.15, 0.13927671710724038], [18, 26.98578099684541, 310.15, 0.1438804179780592], [19, 26.141559424824255, 310.15, 0.1481740232487006]]",63.24129161153438,792.7499485139551,441.116059255797,115.67785082758547,64.19205683423299,97.75332973695012,4.159046935307851,4.985030203869861,0.6338390351282944,1.4078209325557691,286274.35685458145,45.09311597070278,4.283517387659936,"(0.0, 0, 0)",115.67785082758547,4.283517387659936,0.15644433897312468,8.872300041182233e-05,0.15614177010002075,0.0002138458726920614,0.0327065057432596,4.160825866300363,1.8091960858912178e-07,1.542562945727543,0.00048087248302337165,1.9236646609479453,0.09458251531443097,1.821873502301964,0.007208643331549863,2.4417097645072824e-05,0.00011592365185101557,0.00127663391692735,3.696423344483861e-11,2.1398446626869708e-19,2.551845465369195e-11,1.1445778577162202e-11,1.1034646080537607e-09,1.715274142043587e-10,9.234557600596125e-10,1.687543920067952e-11,2.451547384944888e-09,1.8564496901642494e-08,0.00031368042512749727,0.14600826893553087,78.69547695972214,93.56992307048156,116.02421697890807
1,AlTCPP,90.99963934634512,93.90125188942623,0.810404538530167,1.6927792518701816,0.1479090134584899,-0.1479090134584899,0.0102291959980738,"[30701.45882512966, 3036.5417270260955]","[[1182.9781425757863, 16078.520158148638], [774.8945730330228, 3082.3603946715493], [30701.45882512966, 3036.5417270260955]]","[1723.4712296274881, 732.1845270990277, 54.45588160264111, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 91.05729808724018, 310.15, 0.04683319077738914], [2, 82.18729364178836, 310.15, 0.05061197523348566], [3, 74.51807897574064, 310.15, 0.05451615017409777], [4, 68.57104293246762, 310.15, 0.058706255648060736], [5, 63.31706411307551, 310.15, 0.06304315114634816], [6, 58.66780744430601, 310.15, 0.06750668916171618], [7, 54.54974011856424, 310.15, 0.0720748602409561], [8, 50.89863453119056, 310.15, 0.0767236476815145], [9, 47.658360790874376, 310.15, 0.0814275534151435], [10, 44.77983866715001, 310.15, 0.08616018296999285], [11, 42.220127534395424, 310.15, 0.0908948604377271], [12, 39.941635852128435, 310.15, 0.095605242670874], [13, 37.91143424035292, 310.15, 0.1002659028879794], [14, 36.10065836338938, 310.15, 0.10485285726257285], [15, 34.483989693417264, 310.15, 0.10934401340921278], [16, 33.03920383327025, 310.15, 0.11371952624955299], [17, 31.746777471701318, 310.15, 0.11796205376291807], [18, 30.589546250707404, 310.15, 0.12205691186631905], [19, 29.552406866582082, 310.15, 0.12599213353782], [20, 28.62205762455023, 310.15, 0.1297584419020904]]",66.12811024387845,677.3290005916278,376.4129066476232,96.05636071547276,54.6147469763557,91.4004149120886,3.360819941433271,4.176014408084227,0.6191366400444904,1.6927792518701816,287369.2453023098,42.36428652777776,3.606364225972968,"(0.0, 0, 0)",96.05636071547276,3.606364225972968,0.13581207260962322,7.698690205946472e-05,0.13554947395279096,0.00018561175477277737,0.02838033298147271,3.6127554601301797,1.5687272663651052e-07,1.3389186883697148,0.0004193606296647365,1.6693399372213569,0.08209841130092022,1.5809893933312436,0.006252132589193225,2.118809233077001e-05,0.00010158375533279541,0.0011193483823264611,3.2028102532126356e-11,1.8569446527911179e-19,2.211640681576843e-11,9.911695530663444e-12,9.573294494384605e-10,1.4874457099813042e-10,8.012580543701188e-10,1.4615669597872777e-11,2.128112355901412e-09,1.593878389501729e-08,0.00027472964561815516,0.1267364350296129,81.14832824968495,80.11900201148401,96.29789188160113
2,AlTCPP-FF2,84.63178659847758,94.81116764368824,0.3103791580720521,0.9031564000572976,0.306891302068303,-0.306891302068303,0.0107138074592248,"[11758.439752830678, 2135.2049703000966]","[[382.3756668616074, 4881.650034425879], [203.88909488072986, 900.4014295032518], [11758.439752830678, 2135.2049703000966]]","[1237.1777125074905, 277.48195513472047, 22.86493644695081, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 54.59747283148789, 310.15, 0.06767899504059417], [2, 43.21555188383506, 310.15, 0.08216718494599162], [3, 36.640203162745316, 310.15, 0.09440432198240728], [4, 32.40158362315296, 310.15, 0.10480703292113427], [5, 29.480202802765056, 310.15, 0.11365301627130787], [6, 27.375472175227262, 310.15, 0.12115804323591858], [7, 25.81135014830629, 310.15, 0.12750476762110685], [8, 24.62246036001784, 310.15, 0.13285357789676025], [9, 23.7033953865506, 310.15, 0.13734669642409061], [10, 22.983683712092734, 310.15, 0.14110991533723738]]",94.39059174771778,1224.5023082152636,866.3349779623671,208.5934714363841,106.25319308983616,124.1595479994317,6.973249186960701,7.772891959525465,0.6121809658785392,0.9031564000572978,273206.8722483299,68.67309605673202,6.889348549989309,"(318.149292337651, 1510.7872516879156, 646.9481870627012)",208.5934714363841,6.889348549989309,0.2633300500638691,0.000124502666707942,0.26292129404674386,0.0002842533504172319,0.043984831543940936,6.454652045668944,2.503422148271119e-07,2.0473195097192867,0.0006855390858555993,2.5969278118940506,0.14028737164869048,2.44647558061269,0.010164859632669124,3.2922564458226194e-05,0.00016750562524600398,0.0018432062805612268,5.3934000193399955e-11,2.8943622265660013e-19,3.541636246968411e-11,1.8517637434279616e-11,1.5003336851871836e-09,2.4070565743224334e-10,1.2471055151867919e-09,2.8683263824320643e-11,3.402852667213509e-09,3.505603710736555e-08,0.0004675745693224523,0.19304752671308684,69.84453812146192,144.42951057993085,209.78147893278427
3,Ca-SQA,97.20146628315987,97.80930489815375,0.6976523192253316,1.1613790215578963,0.1508627055854406,-0.1508627055854406,0.0089181981158482,"[50630.73001666075, 1457.7126300449784]","[[757.4839894177553, 9336.612438126105], [353.4264731068311, 1133.7640267499594], [50630.73001666075, 1457.7126300449784]]","[2162.5570141969274, 1190.8825912047605, 34.843602066347344, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 83.87189137854409, 310.15, 0.0514398929732666], [2, 70.42957681669306, 310.15, 0.06050620956849002], [3, 60.018434774189345, 310.15, 0.07026228052653276], [4, 51.9104881777985, 310.15, 0.08052118985144341], [5, 45.56213712737814, 310.15, 0.09105976714608047], [6, 40.56533345032238, 310.15, 0.1016384730217069], [7, 36.61216836371814, 310.15, 0.11202335841389818], [8, 33.469113628300185, 310.15, 0.12200584139736029], [9, 30.958185217777018, 310.15, 0.13141699016687006], [10, 28.943081885464956, 310.15, 0.140134797183495], [11, 27.31892146200623, 310.15, 0.1480847682436358], [12, 26.004600540534263, 310.15, 0.15523541019610257], [13, 24.937082862541338, 310.15, 0.16159067818221343], [14, 24.06711528791425, 310.15, 0.16718128589319775]]",169.6895491418168,566.078546132578,345.3372358607695,84.11131087980478,46.42799966518023,87.83529504474905,3.427934359743527,4.184603543447295,0.5305425438088976,1.1613790215578967,291371.4967405157,36.48473079047964,3.413443198508477,"(0.0, 0, 0)",84.11131087980478,3.413443198508477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,70.78409082341157,0.0
4,CALF20,95.18998471910268,96.15644065496276,0.5189931762914118,0.9826076250152772,0.1595079402355076,-0.1595079402355076,0.0093213095268095,"[38760.878775398065, 1958.613815947575]","[[984.9427686986833, 12174.459143956039], [528.7921214696305, 1745.3764455436926], [38760.878775398065, 1958.613815947575]]","[1901.4460982022547, 921.0021715961792, 43.61310568025604, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 88.14414534804196, 310.15, 0.04921634811817746], [2, 77.27746315150095, 310.15, 0.05568745134462552], [3, 68.28607992320894, 310.15, 0.06256889325721848], [4, 60.82057970161759, 310.15, 0.06980090223637214], [5, 54.601517977883596, 310.15, 0.07731008970650093], [6, 49.40441341692324, 310.15, 0.08501237483621941], [7, 45.04816299917777, 310.15, 0.09281685234657894], [8, 41.3860679968118, 310.15, 0.100630212574093], [9, 38.29885034924358, 310.15, 0.1083612441460587], [10, 35.68918893117769, 310.15, 0.11592495690050203], [11, 33.47742048580089, 310.15, 0.1232459495792774], [12, 31.598137572968735, 310.15, 0.1302607867763434], [13, 29.9974817581007, 310.15, 0.1369193064787121], [14, 28.63097943981093, 310.15, 0.14318491969614514], [15, 27.461804237481594, 310.15, 0.14903406483609852], [16, 26.459376948413762, 310.15, 0.15445503359202803], [17, 25.598234227410487, 310.15, 0.15944639619694861]]",101.41559544214324,639.401748778164,392.31687610953816,94.74008857916476,53.081456766000905,91.08525374622025,3.6243732131367934,4.402498025031397,0.5624571895804513,0.9826076250152768,288426.2494852133,40.96901186074063,3.652128834015005,"(0.0, 0, 0)",94.74008857916476,3.652128834015005,0.1381201002372564,7.85334235696238e-05,0.137853344013629,0.0001882228000577687,0.028907692943070697,3.6752803912203134,1.619960080134877e-07,1.3572879050071058,0.00043792739696742357,1.6953850588895054,0.08406654487512366,1.6049275824262461,0.006390931588134997,2.1508844772013628e-05,0.00010891422846265516,0.001202965682047482,3.25551447075083e-11,1.8881705466266484e-19,2.2504850742963323e-11,1.0050293775727918e-11,9.740465018919249e-10,1.511695971111792e-10,8.151218791630496e-10,1.5244308764980853e-11,2.176186465693608e-09,1.7646481050572138e-08,0.0002939485601679253,0.12841359798799826,82.87530343324151,78.85509392351851,95.0813846325919
5,CAU10,86.20728903342342,89.79431634140172,0.6628400679496129,1.257561614700179,0.1823248641925158,-0.1823248641925158,0.012187713141691,"[35963.955074760066, 5754.042878773166]","[[1727.218909433433, 24883.818945043236], [2314.341198636018, 9387.61649152223], [35963.955074760066, 5754.042878773166]]","[1897.500859381365, 885.8979770166302, 74.77206143891533, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 95.29197838385512, 310.15, 0.04547003012598658], [2, 90.06872041051608, 310.15, 0.04777733418883296], [3, 85.25948188995638, 310.15, 0.05013539354086422], [4, 80.82759428598922, 310.15, 0.05254093783194804], [5, 76.73987517823191, 310.15, 0.05499048743501571], [6, 72.96628960322141, 310.15, 0.057480371473491866], [7, 69.47964292945177, 310.15, 0.06000674766539605], [8, 66.25530274862572, 310.15, 0.06256562381881228], [9, 63.27094738748489, 310.15, 0.06515288077481592], [10, 60.50633877290695, 310.15, 0.0677642965585903], [11, 57.94311751601689, 310.15, 0.07039557146890862], [12, 55.56461821699173, 310.15, 0.0730423538116996], [13, 53.355703129076495, 310.15, 0.07570026596606509], [14, 51.302612456185855, 310.15, 0.07836493046154229], [15, 49.39282969163758, 310.15, 0.08103199574392153], [16, 47.61496053460591, 310.15, 0.0836971613135087], [17, 45.95862404462805, 310.15, 0.08635620193399994], [18, 44.414354812064765, 310.15, 0.0890049906314561], [19, 42.97351503318799, 310.15, 0.09163952023032962], [20, 41.628215482170226, 310.15, 0.09425592320601024], [21, 40.37124446850618, 310.15, 0.09685048966970913], [22, 39.196003957306964, 310.15, 0.09941968334040681], [23, 38.09645211160522, 310.15, 0.1019601553987704], [24, 37.067051590534994, 310.15, 0.10446875615816366], [25, 36.10272300531869, 310.15, 0.1069425445270015]]",39.255362985822266,646.4869899615793,375.7888247085724,105.68596787611835,54.63591664292717,93.14421894327027,4.142824193532254,5.006949269104128,0.6915709011076877,1.2575616147001791,278218.2142421382,56.8309585171143,4.44206573876006,"(0.0, 0, 0)",105.68596787611835,4.44206573876006,0.1609190818865854,9.135015545067602e-05,0.16060747828488087,0.00022025344625383164,0.033666595192283794,4.287640493945509,1.8609569674380301e-07,1.5888265192683206,0.0004952337491265296,1.9803549123609303,0.09736547911394557,1.8755758936905451,0.007413539556439729,2.5128236173880847e-05,0.00011940947216814931,0.0013149978642174101,3.7840407934066504e-11,2.20291857059192e-19,2.6235196782229635e-11,1.1605210931545018e-11,1.136481148671403e-09,1.758001895904378e-10,9.51989060557337e-10,1.7340894645664416e-11,2.519846283430617e-09,1.8934373494180742e-08,0.0003230076059298823,0.15039652648273133,75.34469739710974,84.88716875512867,105.99083490932406
6,CAU21,73.32842671128753,87.13852083755152,0.1022951196597386,0.333886708744429,0.874230796488657,-0.8742307964886573,0.0132900613757117,"[5566.895465421396, 2024.8335748588001]","[[561.7410360873531, 8077.46317986516], [200.19886029860123, 1060.468585897984], [5566.895465421396, 2024.8335748588001]]","[1102.956245727477, 135.10909382713984, 31.01633097451784, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 79.919486659679, 310.15, 0.05093398259642585], [2, 64.89313750636653, 310.15, 0.058975342745664835], [3, 54.018124950091845, 310.15, 0.06708074780869475], [4, 46.0470119678039, 310.15, 0.07502666794461849], [5, 40.13058633622525, 310.15, 0.08261730801042], [6, 35.6862369193396, 310.15, 0.08969964794771787], [7, 32.31029538947302, 310.15, 0.096169950763788], [8, 29.71986056317399, 310.15, 0.10197261165140545], [9, 27.714185629899763, 310.15, 0.10709363636443194], [10, 26.148964038275153, 310.15, 0.11155138505952354], [11, 24.919102003906534, 310.15, 0.11538679832135623], [12, 24.04588844580702, 310.15, 0.11876692154801309], [13, 23.34891339370528, 310.15, 0.12171372603924616]]",41.085846034547984,2299.6541448359008,3766.911287781266,-1169.9270273944237,306.51916980292776,216.61893522116384,19.864457381961675,20.82469397583539,0.8413308412114465,0.333886708744429,-5819.888779900328,517.1605196901178,-32.76632852513886,"(2100.1353000672766, 26040.760048505632, 4270.569690668822)",15786.430506019473,442.1330186306744,1.2539435296763186,0.0002706320447639284,1.2532929551863123,0.00037994244524215123,0.06567166141295883,23.708852172733785,4.7618158936444414e-07,2.6877812249876984,0.0015992034337849014,4.0865593539673135,0.4201527342118183,3.643798706303405,0.022607913452090428,5.110831169677857e-05,0.00040925814741169653,0.004463912432823044,1.4536172334036654e-10,4.640883541485899e-19,6.932389210844313e-11,7.603783076783503e-11,2.52244761927169e-09,5.131591704604212e-10,1.9756804781405915e-09,1.3648244910461642e-10,6.700823145760169e-09,1.993589534871434e-07,0.001362306493321208,0.2418312338947244,-22.128263552261274,349.23746362656067,-1134.3618484107062
7,CuAlPyC,93.60022242421836,95.636252240375,0.8002122158701443,1.2670153922285543,0.138344717869412,-0.138344717869412,0.0098496727805748,"[54163.87271263848, 3703.3751526016035]","[[1242.3386516141125, 17220.79208671727], [1193.0528842842118, 4815.384787305977], [54163.87271263848, 3703.3751526016035]]","[2273.661389437063, 1278.7139634041237, 58.11660510712028, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 90.32015960806022, 310.15, 0.04669193758025708], [2, 81.09406592601718, 310.15, 0.05021749987004925], [3, 74.02999981173438, 310.15, 0.05376475325506605], [4, 68.75342100250523, 310.15, 0.05734970292430451], [5, 64.07757307455375, 310.15, 0.061003283573205155], [6, 59.92165712513131, 310.15, 0.06471399031431731], [7, 56.21761910360191, 310.15, 0.06846968278757884], [8, 52.907841200428216, 310.15, 0.07225774469311837], [9, 49.94330086667634, 310.15, 0.07606525650614346], [10, 47.28209424009413, 310.15, 0.07987917557560002], [11, 44.88824506724517, 310.15, 0.08368651768031825], [12, 42.73073850945167, 310.15, 0.08747453427817596], [13, 40.78273304661917, 310.15, 0.09123088012000295], [14, 39.020914185288596, 310.15, 0.09494376657337639], [15, 37.42496167535729, 310.15, 0.0986020968580171], [16, 35.97710806496225, 310.15, 0.10219558036944879], [17, 34.66177113562127, 310.15, 0.1057148242926034], [18, 33.465246402599824, 310.15, 0.1091514017167372], [19, 32.37544869452182, 310.15, 0.11249789640057488], [20, 31.381694033447616, 310.15, 0.11574792515724974], [21, 30.4745147664715, 310.15, 0.11889613950227104]]",102.10750870164446,554.9832093195733,334.0061576636248,81.94911334889224,45.476867191289365,86.9774238095384,3.1434979906614444,3.928679619351106,0.5749095343058164,1.2670153922285543,290294.04261907074,37.83083177575513,3.3195171207372978,"(0.0, 0, 0)",81.94911334889224,3.3195171207372978,0.12718512576681906,7.333576730823281e-05,0.1269373055478488,0.0001744844516620413,0.026730047423962705,3.384827804274059,4.20435913137808e-07,1.255758473016428,0.0004094710929784332,1.6639908233158582,0.08795586158446023,1.5700307565646514,0.006004205166746332,2.07104162770951e-05,9.835688158002903e-05,0.0010865784613660915,3.198011083278765e-11,1.7475082062818057e-19,2.2742401794311073e-11,9.237708863725758e-12,1.0455686163377914e-09,1.3964339951759627e-10,8.917801520321547e-10,2.1014890411955157e-11,2.023416324548988e-09,1.5309991761558012e-08,0.0002661618649869776,0.11844640182683486,83.47274347131568,69.2664843462599,82.18782886713898
8,CuAlPyC-FF2,87.16370361699131,92.23956190084392,0.5051723889164116,0.9986520578317212,0.1987552088396232,-0.1987552088396232,0.0114913774486879,"[34193.54569769307, 5035.564905435927]","[[1341.6608398856556, 19651.66681222285], [1494.5384328266427, 6826.632816036439], [34193.54569769307, 5035.564905435927]]","[1821.0753042933497, 821.081863673632, 63.16261969389836, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 91.88944635515918, 310.15, 0.0460335839230397], [2, 84.46913362582353, 310.15, 0.04881634152594112], [3, 78.61963666757534, 310.15, 0.05161918370161227], [4, 73.29355980081522, 310.15, 0.054449491844627815], [5, 68.7562477042636, 310.15, 0.057309327021948415], [6, 64.73364722152425, 310.15, 0.060205744760228955], [7, 60.997548321479506, 310.15, 0.06312403136245227], [8, 57.63175699940541, 310.15, 0.06605195393832493], [9, 54.613113010767286, 310.15, 0.06898495044810715], [10, 51.873180712586354, 310.15, 0.07191696696037728], [11, 49.356539122628035, 310.15, 0.07483809145127451], [12, 47.06458428824887, 310.15, 0.0777385108970221], [13, 44.980620466451, 310.15, 0.08061160304813281], [14, 43.110888762218025, 310.15, 0.08345500593190092], [15, 41.40443577970416, 310.15, 0.08626588061055909], [16, 39.8395469462161, 310.15, 0.08903853398932461], [17, 38.402873224397275, 310.15, 0.09176747113834095], [18, 37.14368175864733, 310.15, 0.09445379112749654], [19, 35.98362774910695, 310.15, 0.09709574409999416], [20, 34.91025713820435, 310.15, 0.0996893594328284], [21, 33.91624718462546, 310.15, 0.10223086456684778], [22, 32.994977622408754, 310.15, 0.10471688811890163]]",49.08662533258299,681.6979411639579,410.49987492596966,110.80261345618771,56.82829800743502,95.89937938135472,4.5161579657172535,5.3538799945583175,0.6559608752142084,0.9986520578317212,285403.63497128856,46.99154434104643,4.647613274327881,"(0.0, 0, 0)",110.80261345618771,4.647613274327881,0.16756516011891184,9.653858642140398e-05,0.16723868958098378,0.00022993195150663735,0.03519929840142869,4.460629683736283,5.403221194413726e-07,1.654995500142359,0.0005386107103752615,2.187540082522757,0.11530085931226464,2.064341726814127,0.00789749639636504,2.7244897018102875e-05,0.00012939578763961193,0.0014293739657145208,4.1972681786593433e-11,2.30199786430733e-19,2.983163525316719e-11,1.2141046303226446e-11,1.3701133748742083e-09,1.8380001061099595e-10,1.1680917255546068e-09,2.7265023826858454e-11,2.6628498350170535e-09,1.9849239104764355e-08,0.00035010907648437805,0.15613161161540498,76.78342494163073,88.19373790558915,111.23789613835761
9,DAZMID,87.4592427117685,94.94633297680306,0.1791346970955799,0.5426172208838814,0.5100788169443946,-0.5100788169443947,0.0102515869190373,"[9674.334338404653, 1387.2001986453408]","[[364.42600136392366, 5972.458523941274], [108.09348300302166, 603.7497573302604], [9674.334338404653, 1387.2001986453408]]","[1188.4711445272974, 226.14640071923625, 25.49392288224178, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 62.21525332738158, 310.15, 0.04435908246579705], [2, 51.419417411687355, 310.15, 0.053006089459132426], [3, 43.34416201097594, 310.15, 0.061924815626767306], [4, 37.40423530013021, 310.15, 0.07082461808076307], [5, 33.0758439946125, 310.15, 0.07947460061916257], [6, 29.923445025486217, 310.15, 0.08768920297660707], [7, 27.54829286951118, 310.15, 0.0951127250074567], [8, 25.75391876418207, 310.15, 0.10162323230552277], [9, 24.394527076994628, 310.15, 0.10718896514889728], [10, 23.361897736136246, 310.15, 0.11184682214048092], [11, 22.575547352587087, 310.15, 0.1156776268847055]]",187.5441491564065,1489.3716827345845,1911.012858777084,607.1828822783502,167.10226525510694,152.98891991309253,11.590118949515666,12.411371658760864,0.6348791946600153,0.5426172208838814,172181.33086447354,227.0260865018976,19.003966321330243,"(997.5838749896585, 10906.630678556, 2028.5604743153046)",607.1828822783502,19.003966321330243,0.619179998839488,0.00017357803537540437,0.6186983650387757,0.0003080557653367475,0.0502371736324115,12.578004452940721,3.2417422136954156e-07,2.2006466919318766,0.0009936064174659333,3.0419035923086843,0.23816592158918493,2.789377916713698,0.014359754005801162,3.829844310983097e-05,0.0002491026668677653,0.0027256827680631358,8.541968164015508e-11,3.4229577456939405e-19,4.65086647597539e-11,3.891101653810539e-11,1.8175630705680738e-09,3.311767871975499e-10,1.4664637257259365e-09,6.752897553957521e-11,4.481694817645581e-09,9.50176348417579e-08,0.0007769450406571794,0.20320776651222877,36.1574626344125,205.38314407870712,617.7047411854936
