MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
AlTBAPy,0.00153734,9.83E-06,156.3926755,9.182369251,0.893462308,2.278909373,0.281657516,45.10463071,50.40457999,0.047852024,0.000949359,0.480635984
AlTCPP,0.00182217,1.44E-05,126.5395833,10.20922576,1.124632245,3.149732306,0.333453854,52.65666204,62.9967135,0.026624322,0.00042263,0.262698108
AlTCPP-FF2,,,,,,,,,,,,
CALF20,0.000440516,3.63E-06,121.35427,2.987399836,0.317826072,1.689268222,0.089364764,105.3774586,118.8591466,0.01263704,0.000106319,0.082946308
Ca-SQA,0.000722012,2.97E-06,243.1016835,2.915392622,0.284613405,1.899508281,0.068870891,153.7520476,155.4474031,0.5944325,0.00382401,0.752751683
CAU10,0.000633057,1.62E-05,39.07759259,4.700603483,1.147766201,2.758418846,0.356260852,43.1625933,66.74808873,0.013627281,0.00020416,0.073005138
CAU21,0.000416583,6.79E-06,61.35243004,1.290768377,0.345769776,0.572921765,0.079373137,40.238075,23.81443443,0.048593589,0.00204051,0.288947397
CuAlPyC,0.00242315,1.94E-05,124.9046392,3.446687799,1.032195236,2.540293317,0.131802072,107.4427332,67.77325747,0.06867132,0.001013251,0.30891903
CuAlPyC-FF2,,,,,,,,,,,,
DAZMID,0.0450243,1.29E-05,3490.255814,0.904663157,0.674751559,0.882487718,0.046826254,105.0593408,37.62372931,0.088668318,0.002356713,0.385782078
ddmof_16520,0.00223446,1.98E-06,1128.515152,2.494734473,0.184480627,1.87827225,0.018459931,567.2100269,64.42279667,0.001659656,2.58E-05,0.009874359
ddmof_16703,7.15E-05,3.61E-06,19.80609418,4.049461406,0.343635579,0.652240025,0.212564106,17.10538827,20.61402383,0.095831482,0.004648849,0.809034703
ddmof_21502,0.000186752,2.63E-06,71.00836502,2.751209187,0.251255786,0.919280294,0.107416288,47.70822209,22.1660824,0.001048609,4.73E-05,0.014674834
ddmof_2168,0.000860428,2.71E-06,317.501107,6.330960625,0.259414469,2.807299223,0.079801212,196.1076971,132.9551914,0.000110309,8.30E-07,0.001058239
ddmof_22214,0.000166484,3.21E-06,51.86417445,4.416413603,0.306417825,0.847998548,0.154910572,30.51613107,28.63253729,0.006904983,0.000241159,0.164609292
ddmof_22243,0.000142135,3.49E-06,40.72636103,3.816576304,0.322724997,0.851628242,0.170436619,27.8549618,31.29237901,0.007022682,0.000224421,0.137212229
ddmof_22389,0.000207929,1.23E-06,169.0479675,2.457610996,0.116976447,1.007412658,0.042211304,133.0436201,257.7350501,0.01266737,4.91E-05,0.122942401
ddmof_22800,9.66E-05,4.22E-06,22.89099526,2.941569685,0.383752074,0.758196326,0.206742843,20.44403487,22.53147908,0.141785708,0.006292783,0.716825737
ddmof_22900,0.00181689,2.82E-06,644.287234,6.297153999,0.270330901,2.318332653,0.072570816,178.0857489,613.9311438,0.000108872,1.77E-07,0.001501232
ddmof_22908,0.00012929,3.13E-06,41.30670927,4.428812284,0.295762973,0.872520637,0.161886272,30.04561562,29.93122755,0.005953329,0.0001989,0.132158794
ddmof_23350,0.00106113,2.19E-06,484.5342466,4.767152008,0.198108912,1.635051635,0.053662727,169.8533645,43.5864653,0.017715971,0.000406456,0.207689178
ddmof_23421,0.000149825,3.60E-06,41.61805556,5.453176501,0.348726047,1.091037533,0.2040156,29.81204274,42.99755126,0.000925343,2.15E-05,0.029352589
ddmof_23639,0.000389101,4.08E-06,95.36789216,4.236195129,0.373666745,1.153820723,0.142814087,45.03837451,41.8037456,0.008674657,0.000207509,0.125159815
ddmof_23741,0.00316219,4.09E-06,773.1515892,2.961249344,0.369977476,1.069957052,0.123553642,48.27543721,30.31872608,0.009987278,0.00032941,0.164976789
ddmof_23744,0.000160535,3.18E-06,50.4827044,3.205550981,0.284204407,0.943554462,0.130057155,40.44344508,45.92189798,0.018541345,0.000403758,0.248835067
ddmof_3313,5.50E-05,2.53E-07,217.3913043,0.772468204,0.024239737,0.274639298,0.010875472,140.7764389,132.3749181,1.096902021,0.008286328,0.854195858
ddmof_6878,0.00114079,2.79E-06,408.8853047,6.435026578,0.260701598,3.05657348,0.067256009,253.3489865,117.0718716,6.77E-05,5.79E-07,0.000576504
ddmof_6949,0.0012306,3.25E-06,378.6461538,6.23749469,0.306439852,3.08983937,0.073378922,234.7361593,192.6558737,3.34E-05,1.74E-07,0.000273199
ddmof_7975,0.000173019,3.27E-06,52.91100917,3.725916908,0.297254008,0.994472306,0.142304822,38.95726849,53.30968245,0.003836984,7.20E-05,0.066633352
MgMOF74,0.00472345,4.08E-06,1157.708333,13.50882581,0.393883184,8.686083169,0.054593215,886.9532615,93.33407131,2.16E-05,2.32E-07,0.000732946
MIL-160-Al,0.000402474,9.40E-06,42.81638298,5.47437343,0.779273014,2.662973294,0.324935744,45.68616927,134.8451136,0.00300467,2.23E-05,0.023338116
MIL-53-NH2-Al,0.000426375,1.43E-05,29.81643357,7.513733837,1.093840296,3.162470615,0.466076818,37.82547739,105.9863664,0.004821499,4.55E-05,0.03951654
MIL-96-Al,0.000501738,8.10E-06,61.94296296,4.507472013,0.655904767,2.009101965,0.208726196,53.65873642,156.236515,0.004681494,3.00E-05,0.028955953
RSM0011,0.000313705,1.53E-06,205.0359477,3.867059337,0.145266368,1.72989853,0.050057623,192.6485886,205.4045385,0.000701248,3.41E-06,0.007099118
RSM0016,3.34E-06,2.86E-07,11.67832168,0.239817925,0.027177899,0.033995079,0.018553989,10.21396058,20.85690091,0.00014052,6.74E-06,0.056224904
RSM0022,1.04E-05,1.27E-06,8.188976378,0.942971657,0.120477679,0.107789013,0.083333687,7.210565372,9.714139724,0.03279981,0.003376502,0.896638498
RSM0042,1.12E-05,1.45E-07,77.24137931,0.403850201,0.013680904,0.074866135,0.007158143,58.30428316,53.41340477,0.00033767,6.32E-06,0.009716201
RSM0047,2.31E-05,1.18E-06,19.57627119,1.789736974,0.113683063,0.235893632,0.08041927,16.35202395,22.66801752,0.00016436,7.25E-06,0.021474246
RSM0055,0.000375794,1.50E-05,25.05293333,4.743853678,1.018259928,2.019049673,0.375907508,29.94204268,117.5947155,0.00299303,2.55E-05,0.020825301
RSM0056,3.51E-05,3.61E-06,9.72299169,4.33566412,0.34906405,0.414020806,0.242572419,9.514723445,9.75290379,0.330443892,0.033881591,0.894661228
RSM0059,0.000254419,4.26E-06,59.72276995,5.244905259,0.373225457,1.811099548,0.178117352,56.68282832,191.3418937,0.000589571,3.08E-06,0.006872711
RSM0068,0.493156,0.00012841,3840.479713,3.851509118,2.470136543,3.846042219,0.005069442,4229.308266,4239.916326,0.005218475,1.23E-06,0.015071297
RSM0079,5.46E-05,9.42E-07,57.96178344,2.423099545,0.089708304,0.46004922,0.054412172,47.13284505,115.7041204,0.000807739,6.98E-06,0.020881436
RSM0081,0.000233068,1.21E-05,19.26181818,5.178294264,0.961195347,1.862105503,0.501217975,20.71061843,75.92080769,0.001888184,2.49E-05,0.020159535
RSM0086,7.46E-05,3.95E-06,18.88607595,4.319436088,0.375279749,0.657206149,0.224444176,16.32332767,52.97870213,0.000966054,1.82E-05,0.039413868
RSM0096,7.34E-05,2.97E-06,24.71380471,4.263223142,0.282060571,0.775883615,0.179347145,24.11668069,70.64003157,0.000220027,3.11E-06,0.006466945
RSM0097,0.000152901,4.79E-06,31.92087683,2.743170624,0.418448984,0.91998824,0.198579604,25.82635148,57.22273822,0.000927778,1.62E-05,0.013838522
RSM0107,3.98E-05,1.77E-06,22.48587571,2.035778154,0.159703375,0.373194737,0.100536729,20.69312978,65.39448534,0.001462675,2.24E-05,0.037217561
RSM0109,3.00E-05,1.56E-06,19.23076923,2.302397358,0.147957214,0.307900061,0.093422274,18.37277519,48.83396137,0.001635931,3.35E-05,0.055379448
RSM0118,4.11E-05,2.14E-06,19.20560748,1.906412739,0.189851091,0.369259078,0.117197374,17.56421403,40.1233005,0.000867087,2.16E-05,0.034779934
RSM0136,5.07E-05,9.01E-07,56.27081021,2.21748581,0.086479452,0.420036129,0.050252044,46.59596819,58.59750518,0.001540747,2.63E-05,0.044568065
