MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
AlTBAPy,0.00153734,9.83E-06,156.3926755,9.182369251,0.893462308,1.191697926,0.417352359,63.24129161,73.23296092,0.137241764,0.001874044,0.677196594
AlTCPP,0.00182217,1.44E-05,126.5395833,10.20922576,1.124632245,1.547539567,0.518314155,66.12811024,67.30291622,0.06490981,0.000964443,0.343649287
AlTCPP-FF2,,,,,,,,,,,,
CALF20,0.000440516,3.63E-06,121.35427,2.987399836,0.317826072,0.81642286,0.178298558,101.4155954,129.2190358,0.007470179,5.78E-05,0.039369238
Ca-SQA,0.000722012,2.97E-06,243.1016835,2.915392622,0.284613405,0.988753452,0.129053663,169.6895491,180.8233171,1.127753735,0.006236772,0.783984793
CAU10,0.000633057,1.62E-05,39.07759259,4.700603483,1.147766201,1.223902346,0.690534195,39.25536299,56.60428929,0.012512434,0.000221051,0.053399778
CAU21,0.000416583,6.79E-06,61.35243004,1.290768377,0.345769776,0.294225657,0.158608233,41.08584603,26.51247752,0.073550683,0.002774191,0.283671086
CuAlPyC,0.00242315,1.94E-05,124.9046392,3.446687799,1.032195236,1.578626662,0.34242004,102.1075087,77.90007406,0.025325139,0.000325098,0.074363693
CuAlPyC-FF2,,,,,,,,,,,,
DAZMID,0.0450243,1.29E-05,3490.255814,0.904663157,0.674751559,0.847333163,0.10006636,187.5441492,41.91722907,0.130739926,0.003119002,0.327909407
ddmof_16520,0.00223446,1.98E-06,1128.515152,2.494734473,0.184480627,1.238308487,0.044448624,617.0323752,79.79703547,0.00433801,5.44E-05,0.012312378
ddmof_16703,7.15E-05,3.61E-06,19.80609418,4.049461406,0.343635579,0.196255744,0.257004029,16.91296945,20.39590533,0.091402449,0.004481412,0.8263079
ddmof_21502,0.000186752,2.63E-06,71.00836502,2.751209187,0.251255786,0.34960179,0.157504548,49.16068986,29.13228712,0.001674702,5.75E-05,0.020237628
ddmof_2168,0.000860428,2.71E-06,317.501107,6.330960625,0.259414469,1.284438583,0.137555703,206.8102986,123.7029089,6.90E-05,5.58E-07,0.00043821
ddmof_22214,0.000166484,3.21E-06,51.86417445,4.416413603,0.306417825,0.322133738,0.212576705,33.56278266,27.64940438,0.006975563,0.000252286,0.147763578
ddmof_22243,0.000142135,3.49E-06,40.72636103,3.816576304,0.322724997,0.28803018,0.224936857,28.36055945,30.58797408,0.009247047,0.00030231,0.162369648
