,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,76.62895629864856,99.34407348924762,1.021609512958516,3.256591108129532,0.11777216996372,-0.11777216996372,0.0,"[39008.272179551415, 11897.121895663693]","[[0.0, 0.0], [0.0, 0.0], [39008.272179551415, 11897.121895663693]]","[1129.3386625879016, 181.705497566158, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978]]",42.181854268709806,147.48205935951165,255.5340954457604,59.776131903632056,45.41147421176965,,2.67604419842217,3.2464523994488705,0.3953514391290913,3.256591108129532,84108.11094062502,157.07953454820165,1.0205734339911878,"(789.5775370271465, 854.6896673494265, 359.4798793253538)",59.776131903632056,1.0205734339911878,0.24144694763926716,5.131048287189018e-05,0.2413565301203089,3.9107036086336905e-05,0.014723268369354758,3.8460587428873345,7.088038348332588e-08,0.25905409263855506,0.0003954137252620832,2.1601607557843643,0.7156446423243847,1.4372164636593072,0.007299649800672224,4.8842987659946054e-05,7.502861384634025e-05,0.0007047843500930423,3.578274416875668e-11,1.8127843308175949e-19,1.3529002308826896e-11,2.225374167865135e-11,7.865440880597327e-10,1.7677912701403343e-10,6.01154265140519e-10,3.651009286793011e-11,2.059364123102409e-09,2.467238341837128e-08,0.0002640173130849298,0.02328516131294897,75.35775017921775,45.41147421176965,59.86591718330341
1,AlTCPP,81.32994213165813,99.60149026649046,1.5059540361841464,4.454633347294071,0.0916525072426325,-0.0916525072426325,0.0,"[57051.736060488896, 13096.76591204748]","[[0.0, 0.0], [0.0, 0.0], [57051.736060488896, 13096.76591204748]]","[1217.032717980287, 269.39955295854327, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978]]",50.401919346528224,113.0043145661976,207.89633609478972,45.33720012455054,36.570325627122656,,2.082547688074759,2.653146596848926,0.3854314428259026,4.454633347294071,88096.27889337039,133.56439331739165,0.7231257734020928,"(746.4905460795151, 634.0699823629851, 289.8078476871179)",45.33720012455054,0.7231257734020928,0.19423174699865964,4.445769058012008e-05,0.19415169972705765,3.558958102182387e-05,0.013705166153898735,3.1082402563308724,6.168807510548955e-08,0.2291757923328428,0.00033811144776795367,1.8095712729014222,0.5694034888958942,1.2342457664770823,0.005922017528445899,4.624797193448434e-05,6.435712548227878e-05,0.0005961223138759988,2.975518550435706e-11,1.6277189821087905e-19,1.1801530255966494e-11,1.795365508561867e-11,6.727060334646942e-10,1.434634395696916e-10,5.222927987140312e-10,2.918759737621029e-11,1.7665900636258205e-09,1.9251000713728518e-08,0.0002179175141654635,0.022137754463011663,80.25571880836003,36.570325627122656,45.38566205717939
2,AlTCPP-FF2,94.0167548012894,99.32116420518304,0.917905198840329,2.9476741070400965,0.1234805404797107,-0.1234805404797107,0.0,"[34774.026214957805, 2213.026027437706]","[[0.0, 0.0], [0.0, 0.0], [34774.026214957805, 2213.026027437706]]","[1121.0393672533062, 173.4062022315624, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978]]",4827.026604321984,150.05557082867557,245.39835971622992,63.23638864578367,47.80963496132453,,2.8057510027246364,3.3799925985878585,0.3603666084891033,2.947674107040097,78189.80999465767,191.97517691829225,1.0725196457535893,"(682.3030215780328, 835.1209654092133, 349.60931893329797)",63.23638864578367,1.0725196457535893,0.24525436562005865,5.029232666192154e-05,0.24516676320166722,3.731009172945201e-05,0.013883433053939232,3.8983658240109196,6.951729877885329e-08,0.250984986927927,0.0003914283487877429,2.152258508990073,0.7305727105675168,1.4142951101195813,0.0073906883029742475,4.55336060651781e-05,7.458687528315514e-05,0.0007071538656553504,3.5820939590990334e-11,1.7423948237703145e-19,1.3227210439784933e-11,2.2593728976965912e-11,7.757663156579624e-10,1.7897305467887335e-10,5.880159830199081e-10,3.7240145645687465e-11,2.0300575216568705e-09,2.562661518664023e-08,0.00026680767463854407,0.021653058566703923,74.9622150853952,47.80963496132453,63.34536138205339
3,Ca-SQA,92.69076983908852,99.8348162797244,1.104763675819373,2.96247816036696,0.1078963241613194,-0.1078963241613194,0.0,"[80176.02731505893, 6322.3667043723235]","[[0.0, 0.0], [0.0, 0.0], [80176.02731505893, 6322.3667043723235]]","[1342.507528378571, 394.8743633568272, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978]]",150.62044926378752,95.41238534429186,207.6296763824329,45.74756362403824,35.79551108083152,,2.451643137694773,3.0253024838718643,0.3628742889603705,2.96247816036696,81932.76890246717,169.90584373545315,0.8922703334958821,"(686.5292668021889, 727.8940046383381, 316.8336491253854)",45.74756362403824,0.8922703334958821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.79551108083152,0.0
4,CALF20,89.3487321062729,99.72626414401596,0.8456076313391134,2.4297566202491354,0.109617838097959,-0.109617838097959,0.0,"[63153.9996808803, 7528.592217305627]","[[0.0, 0.0], [0.0, 0.0], [63153.9996808803, 7528.592217305627]]","[1252.877529976098, 305.24436495435435, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978]]",105.9651669551207,110.98948982938474,222.94744417263485,49.89029086029146,38.824121044198826,,2.490759742101964,3.063152943341687,0.3693085319010153,2.429756620249135,83032.90670105716,163.41918218716313,0.9155226101455228,"(711.5792939492719, 756.8944120255308, 326.8878567966538)",49.89029086029146,0.9155226101455228,0.22312076098566488,4.780504828626653e-05,0.22303641672853816,3.6539208840379306e-05,0.013797641889502383,3.558325437244244,6.665724799297246e-08,0.24141995076919137,0.00037240001287001674,2.003560383746202,0.6612454294792628,1.3355538060895056,0.006761148177433739,4.574933673600002e-05,7.215890684529658e-05,0.0006824285152970465,3.308469393226274e-11,1.691585250319853e-19,1.2561163032674512e-11,2.0523530730429703e-11,7.311630324457243e-10,1.6342591132514906e-10,5.597296820605242e-10,3.3795604009305334e-11,1.9175446883029964e-09,2.2907777409888528e-08,0.0002508264479140832,0.021819833651414256,77.47526419794569,38.824121044198826,49.974460758478884
5,CAU10,79.90011214826588,99.6887562832518,1.296162917513435,3.680611748887363,0.1028946760040112,-0.1028946760040112,0.0,"[70326.38367686405, 17691.494879255577]","[[0.0, 0.0], [0.0, 0.0], [70326.38367686405, 17691.494879255577]]","[1267.774712847379, 320.1415478256353, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978]]",43.89308777669733,106.0998944708589,223.350980868403,45.817370064789166,36.012395409420755,,2.3379946285602577,2.908466634386393,0.38841114856332,3.680611748887364,89044.99995933523,127.97051910769326,0.85060005521809,"(786.4399195330493, 754.0250653836181, 329.54690109543526)",45.817370064789166,0.85060005521809,0.2148744825530729,4.736270048385549e-05,0.21479008412585238,3.703572673658485e-05,0.014096587359581041,3.432241899880926,6.540599899144659e-08,0.2418165654533819,0.000362416268026014,1.961589807656622,0.6337848270707565,1.3212860761569392,0.006518904428926271,4.723769637235599e-05,6.87676359206797e-05,0.0006410050893369902,3.227839577788559e-11,1.7049040620858097e-19,1.2508985115226181e-11,1.976941049216901e-11,7.216547546015915e-10,1.5771856044292238e-10,5.562979415962348e-10,3.2365814474236146e-11,1.8897800866325166e-09,2.145083671872475e-08,0.0002375074201521198,0.02257243461051316,78.26818636052869,36.012395409420755,45.86832883298194
6,CAU21,67.28951666170873,97.62382876088742,0.206800872813212,0.7470659697585602,0.4412803160212447,-0.4412803160212447,0.0,"[11254.093498677068, 5470.790342079126]","[[0.0, 0.0], [0.0, 0.0], [11254.093498677068, 5470.790342079126]]","[996.5427047469026, 48.90953972515891, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978]]",39.89050149391683,444.4178554975144,779.2156080519661,660.8921723359009,128.57801885694266,,10.02686483513319,10.59886264340738,0.4161508288674686,0.7470659697585603,23086.840603477365,516.8747605927044,16.163300213727265,"(1086.861909866368, 3718.956365406937, 1257.9202481438524)",660.8921723359009,16.163300213727265,0.8100363159885627,0.00012936980358250702,0.8098313151215829,7.563106339707116e-05,0.02437566241438253,12.718172844699417,1.751897876869537e-07,0.5895711894027741,0.0010667713844211553,6.28073886137201,2.486741521321946,3.770187852911322,0.02380948713874174,7.026350876946747e-05,0.00020244261710810347,0.002024978540209885,1.0646599956405501e-10,3.8025737427563976e-19,3.285106665073422e-11,7.361493253306341e-11,2.09977522888409e-09,5.748723976048104e-10,1.4962873100851742e-09,1.2503533242625316e-10,5.429271328249511e-09,9.098921722440244e-08,0.0008229755547046459,0.03230986377088187,18.54498215871988,128.57801885694266,676.8557870734982
7,CuAlPyC,87.79646524136177,99.74406005213903,0.94418946976603,2.72392670779252,0.1165748642455852,-0.1165748642455852,0.0,"[63909.24462632778, 8883.258409682267]","[[0.0, 0.0], [0.0, 0.0], [63909.24462632778, 8883.258409682267]]","[1247.8610681534587, 300.227903131715, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978]]",109.61945394599506,111.73872253121564,233.99751683577657,50.98234426609575,39.00794856957587,,2.6488387642203617,3.220744777610693,0.3723532338052335,2.72392670779252,83995.76330678316,157.74196163453337,1.0008656212319609,"(741.4986069288153, 837.111987985158, 353.6273474623704)",50.98234426609575,1.0008656212319609,0.23610768028088575,5.006954116707708e-05,0.2360197334024076,3.787733731105805e-05,0.014098756970879627,3.761007534413589,1.837349256367857e-07,0.25130945087606343,0.00039100199104657665,2.142221638078718,0.7059740650189443,1.4290612333210573,0.00718633973871606,4.679900342052306e-05,7.44506442401911e-05,0.0007055137190192897,3.555500161963357e-11,1.7443955809241895e-19,1.3865877981445832e-11,2.1689123463748176e-11,8.245588545200968e-10,1.726522648595673e-10,6.404917142247659e-10,3.875398377656825e-11,2.00468605438772e-09,2.396927699454243e-08,0.00026207782031198494,0.02213312254150364,76.19372141143113,39.00794856957587,51.06472150933423
8,CuAlPyC-FF2,85.856774371974,99.62691432063686,0.8338468614929809,2.4837234834146416,0.1253736661781307,-0.1253736661781307,0.0,"[56440.497123163164, 9297.468851001006]","[[0.0, 0.0], [0.0, 0.0], [56440.497123163164, 9297.468851001006]]","[1208.608253462969, 260.9750884412253, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978]]",79.09616962996371,122.25136826912332,252.1109742986459,55.5357859202974,41.59748862705725,,2.8487670059425563,3.4201570225409585,0.3762087891519865,2.4837234834146416,83540.56458191897,160.4259163801949,1.1100398348610667,"(765.3984110401525, 923.4692867987238, 381.5177278960131)",55.5357859202974,1.1100398348610667,0.25233209248977945,5.249856724198131e-05,0.25224043808596763,3.915583656969092e-05,0.01446890815218877,4.014920929083881,1.9810640748796447e-07,0.2619093915390819,0.00041184501063125205,2.2674094416943915,0.7566603678725148,1.50308288160848,0.007666192213397126,4.777293788648904e-05,7.843186175282553e-05,0.0007464274988246956,3.770912264944395e-11,1.8095684888444258e-19,1.454631519943441e-11,2.3162807269052688e-11,8.70068065656618e-10,1.841257941695929e-10,6.736615832680778e-10,4.156599166408131e-11,2.1075166166326516e-09,2.5825476457110155e-08,0.0002787165631604825,0.022551516016938354,74.48784656181058,41.59748862705725,55.63631688509864
9,DAZMID,32.5037976693881,67.86464679868074,0.0163570138897251,0.0618959259557839,5.089330218335695,-5.089330218335695,0.0,"[883.3756034583093, 1834.385602304634]","[[0.0, 0.0], [0.0, 0.0], [883.3756034583093, 1834.385602304634]]","[951.3590610967788, 3.725896075035085, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978]]",91.728187963752,5258.997083469524,8515.686912477773,-178.8568757259306,1409.112896547251,,115.64083950246751,116.25135333516948,0.5120716763314348,0.0618959259557839,-963310.4087952768,6332.896278274042,-4.709646300793685,"(4280.973205230393, 45227.89506360223, 14216.398282844384)",1470975892057.418,453685.1303298728,8.93383392172426,0.001236038950879742,8.93201190239043,0.0005859803829448782,0.15723045595203142,139.42122333087605,1.6545367394689502e-06,5.253833264181685,0.010604696928911049,64.955230725496,27.80603149336012,36.889557442117294,0.2596417900185766,0.00035680614933329983,0.0020126706468042667,0.020817506000564864,1.1157929411165534e-09,3.175924319301937e-18,3.071239395142741e-10,8.086689984263546e-10,2.0756668758602008e-08,6.265360020647806e-09,1.4176625466118823e-08,1.3905785498893753e-09,5.33127834738961e-08,1.0415310596182525e-06,0.008796737974736582,0.1516175826935634,-538.426836857209,1409.112896547251,-177.60806571572508
