,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,92.81268552882264,93.99085931437271,1.3892588326346025,4.110409504422348,0.096678506680877,-0.096678506680877,0.002774940140596,"[53046.28234551003, 4107.847010047408]","[[1579.4063310296483, 5116.352884726108], [1667.4918159690753, 2770.874066626944], [53046.28234551003, 4107.847010047408]]","[1216.747818460347, 265.76797359634367, 14.149023938183953, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.32931001847139, 310.15, 0.20931172025665978], [2, 90.26974034010188, 310.15, 0.22017334899523192], [3, 85.98852508989478, 310.15, 0.23032571967014007], [4, 82.35613562209384, 310.15, 0.23973590326971161], [5, 79.26609009398089, 310.15, 0.2483936632248849], [6, 76.63070023368523, 310.15, 0.2563073491523835], [7, 74.37759735073872, 310.15, 0.2634997312315508], [8, 72.4469035741628, 310.15, 0.2700041176891655], [9, 70.78893440485044, 310.15, 0.27586095311074715], [10, 69.36233625128426, 310.15, 0.2811149816974024], [11, 68.13257817533957, 310.15, 0.2858129806041282], [12, 67.07073076195296, 310.15, 0.2900020201059553], [13, 66.1524769042451, 310.15, 0.29372818250569366]]",42.181854268709806,114.82698033734673,211.0694526635909,49.66368697082864,39.406844756890685,,2.19674951217404,2.831994102466932,0.4253728620854413,4.110409504422348,81676.37457975849,171.41760271368835,0.7748057707834141,"(774.199269537778, 629.8283603629833, 291.5557110394706)",49.66368697082864,0.7748057707834141,0.20742930774015508,4.812907797099507e-05,0.20734233073720248,3.884792498156104e-05,0.015014810232919496,3.322078231364714,6.684970975953207e-08,0.24896873178747703,0.0003642730445233207,1.9470951028160788,0.6067545204221982,1.3340052296338698,0.006335352760010125,5.080399212395436e-05,6.911837037095382e-05,0.0006376090588885545,3.198802115260718e-11,1.7727823802521042e-19,1.2798636559095132e-11,1.91893844162338e-11,7.266258918113418e-10,1.534826025268615e-10,5.657102955073792e-10,3.1138176007011424e-11,1.9085269184320057e-09,2.0474146968090038e-08,0.00023275977034706045,0.024333576152909972,74.49440043289007,39.406844756890685,49.72029011636872
1,AlTCPP,94.19442812628526,95.35218861577846,1.9707279553446984,5.356526073998545,0.0789969295867694,-0.0789969295867694,0.0026997415985557,"[74659.2847151176, 4601.544402102424]","[[1673.5572902486476, 5448.14542110912], [1828.8644409876215, 3088.83441997632], [74659.2847151176, 4601.544402102424]]","[1324.481677346698, 372.6019020646166, 15.048954356262236, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.63084346842336, 310.15, 0.20831996737878647], [2, 90.79280743603111, 310.15, 0.2182469190102013], [3, 86.66932559877856, 310.15, 0.22754148512043748], [4, 83.14427561536748, 310.15, 0.23618341021782469], [5, 80.12214048782684, 310.15, 0.24416879065640204], [6, 77.52411303284438, 310.15, 0.2515070812432157], [7, 75.28496061168171, 310.15, 0.2582181473887596], [8, 73.35050164755538, 310.15, 0.26432954781565166], [9, 71.6755736572092, 310.15, 0.2698741530191267], [10, 70.22239563462907, 310.15, 0.2748881427442567], [11, 68.95924652052962, 310.15, 0.2794093824154594], [12, 67.85939688665829, 310.15, 0.2834761513420539], [13, 66.90024345620094, 310.15, 0.287126181021363], [14, 66.06260617459881, 310.15, 0.29039595629938453]]",50.401919346528224,94.21179879224944,183.71971074127012,40.4994208611004,33.40188356950385,,1.794984971228441,2.4285960925441388,0.4203437756409662,5.356526073998545,85226.0463298315,150.4879343759936,0.5892186902787941,"(759.2294407380051, 499.57173923119313, 250.9983981786513)",40.4994208611004,0.5892186902787941,0.17596713330759833,4.3630003975993526e-05,0.17588691101986037,3.6592283761915974e-05,0.014376076558706393,2.830765802935437,6.082004071033661e-08,0.22950389115948835,0.0003266170545528919,1.7150169640210662,0.5091785531962435,1.2004201252193873,0.005418285605435658,4.9223686407619735e-05,6.214089377403849e-05,0.0005663836336974535,2.7990124128832707e-11,1.6530826916050544e-19,1.1665911204745131e-11,1.632421275877931e-11,6.516116230956034e-10,1.3130590873362302e-10,5.139800272071991e-10,2.6254024154074945e-11,1.7158228051267888e-09,1.6843048763104257e-08,0.00020228181460185863,0.023641982110585,78.57333733045452,33.40188356950385,40.53464967189499
2,AlTCPP-FF2,98.28010177742014,98.52250101006452,1.2234327449516913,3.754392509447237,0.1006342721305936,-0.1006342721305936,0.0024800354516803,"[46348.66694178997, 811.0999932892336]","[[317.2893062435149, 1114.7983495258766], [206.89463307543656, 288.2080100433578], [46348.66694178997, 811.0999932892336]]","[1173.1213160966345, 232.66165079586253, 3.62884437495266, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.93819263753613, 310.15, 0.2884424527534982], [2, 62.71717784226516, 310.15, 0.316371361096122], [3, 60.89928719806629, 310.15, 0.32558843612323335], [4, 60.3056313577698, 310.15, 0.3287162853671348], [5, 60.10479427656743, 310.15, 0.3297881519309361]]",4827.026604321984,123.21211553423032,216.23704487491295,52.19873483789885,41.19824983598552,,2.286633252834452,2.916456860507308,0.4067110348644084,3.754392509447237,81085.4016112693,174.9021131411008,0.8152782354339478,"(743.7360977415951, 658.0275854592359, 299.6711262692922)",52.19873483789885,0.8152782354339478,0.21176405830670142,4.7894033390554894e-05,0.21167814367429114,3.802059901966567e-05,0.01460081306193023,3.385863499622568,6.65636722045796e-08,0.24591778778124457,0.00036505607029711166,1.9592873440158576,0.6219134213422589,1.3309225445851165,0.006451378088481821,4.9095074390038946e-05,6.951303721974905e-05,0.0006456203507974656,3.229796164090605e-11,1.7426136203927671e-19,1.2715570171240796e-11,1.9582391295403896e-11,7.260609511495655e-10,1.5628577412098541e-10,5.621658649227055e-10,3.1893981890470195e-11,1.9065294828589895e-09,2.1285686321369497e-08,0.00023682939560878556,0.023484343553885356,77.65897636164716,41.19824983598552,52.26639341956789
3,Ca-SQA,97.9809267684105,98.17746700329624,1.3972755065611515,3.4581290349653155,0.0935497865190938,-0.0935497865190938,0.0025140824956087,"[101404.4918680202, 2089.6219483368523]","[[860.707311172793, 2803.6169145954236], [943.7775363074145, 1429.539459405522], [101404.4918680202, 2089.6219483368523]]","[1454.5992277210091, 509.6154518440807, 8.152954951109038, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.83007708915426, 310.15, 0.22091588489600644], [2, 80.44844661578664, 310.15, 0.24016001327519138], [3, 74.6916077359651, 310.15, 0.2557014072106666], [4, 70.80799100465839, 310.15, 0.2681944211097], [5, 68.14065852232059, 310.15, 0.27825611066674205], [6, 66.1600710423288, 310.15, 0.28624153462355034], [7, 64.67838123128575, 310.15, 0.29252868631912304], [8, 63.56323758121092, 310.15, 0.2974497718662306], [9, 62.71994077152089, 310.15, 0.3012849511131348]]",150.62044926378752,84.7648787845549,192.1771278810045,41.59197260450778,33.33061941543723,,2.125658069772957,2.7560653779625284,0.408102279666349,3.4581290349653155,82235.60871878464,168.1202316109397,0.7382395436862529,"(741.4035319134726, 604.2150009618457, 282.8661775771046)",41.59197260450778,0.7382395436862529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33.33061941543723,0.0
4,CALF20,97.17130602624206,97.54615001845148,1.17157284021823,3.0489313697438467,0.0897698649659807,-0.0897698649659807,0.0025479414909887,"[87498.63179462976, 2547.118718386808]","[[1062.7390219472713, 3393.1119020015913], [1035.1007635223034, 1592.0809277127146], [87498.63179462976, 2547.118718386808]]","[1383.3247499893614, 436.69592835738933, 9.798000706152706, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.22949995040474, 310.15, 0.21752382080010732], [2, 83.83909599040356, 310.15, 0.23486387974769174], [3, 78.35129696211979, 310.15, 0.24977805740262995], [4, 74.22543864776794, 310.15, 0.262388805513803], [5, 71.09035386472596, 310.15, 0.27291277448326867], [6, 68.68658359215482, 310.15, 0.2816074456201364], [7, 66.82960492266865, 310.15, 0.2887358295371652], [8, 65.3860564029118, 310.15, 0.2945458395314097], [9, 64.25811810531052, 310.15, 0.2992599979956496], [10, 63.37308002929424, 310.15, 0.3030717315548067], [11, 62.67625874939975, 310.15, 0.3061455148336486]]",105.9651669551207,91.60877638993128,194.66394593366024,42.47642453615371,34.29620106778462,,2.0397698913873894,2.6708279476012504,0.4106856148723145,3.0489313697438463,83431.80182471074,161.06720622222446,0.6993109125961996,"(748.8406045319078, 580.6260892393685, 276.02278417540896)",42.47642453615371,0.6993109125961996,0.19362771862666542,4.5714760396313714e-05,0.19354480417189382,3.719969437520528e-05,0.014447711102061856,3.1064594328026107,6.403860873998086e-08,0.23712462702481285,0.0003485033113552358,1.8341364441255439,0.5653640473607542,1.262838318663958,0.005934078100831735,4.8951632337783825e-05,6.731948086196282e-05,0.0006237837301806648,3.002338977473199e-11,1.6932244223564392e-19,1.2134057286977546e-11,1.7889332318432006e-11,6.877206229270598e-10,1.4351849609783135e-10,5.372165708307718e-10,2.9087597961347174e-11,1.8095501953695572e-09,1.9127643019900748e-08,0.00022343195461960557,0.02346374568986316,78.65851152956427,34.29620106778462,42.5314731917306
5,CAU10,93.52436516908544,95.4760356765415,1.7955319620549128,4.53230609691054,0.0856027904225497,-0.0856027904225497,0.0027412213378874,"[97420.83187334932, 6745.426509927974]","[[1812.8571941887976, 6130.354523004858], [2663.1998371639343, 4892.3786531938185], [97420.83187334932, 6745.426509927974]]","[1426.1867855315054, 472.87899066191153, 16.4769739437745, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978], [1, 96.49033695472005, 310.15, 0.20571615109577945], [2, 92.30099209166576, 310.15, 0.21318671839218398], [3, 88.65683049273079, 310.15, 0.22020838498051581], [4, 85.47563609105545, 310.15, 0.22678412348604704], [5, 82.68950105364878, 310.15, 0.23292207829384454], [6, 80.24201541221052, 310.15, 0.23863451560307436], [7, 78.08606502910582, 310.15, 0.24393686941073833], [8, 76.18209524705507, 310.15, 0.24884689848939104], [9, 74.4967334105997, 310.15, 0.25338395939457686], [10, 73.00168971686212, 310.15, 0.25756839332621617], [11, 71.67287524915426, 310.15, 0.26142101987373234], [12, 70.48969047011617, 310.15, 0.2649627278189054], [13, 69.43444825019515, 310.15, 0.2682141517810791], [14, 68.49190364653926, 310.15, 0.27119542314808986]]",43.89308777669733,86.61812730238172,191.3046671388217,39.79794125349148,32.33706163745496,,1.9450847407293312,2.578602039674177,0.4216501664536861,4.53230609691054,86328.30258831065,143.9887819085458,0.6605866611636002,"(786.5213878938723, 567.4356339393479, 274.00787013158737)",39.79794125349148,0.6605866611636002,0.18817866326575744,4.5327799973331015e-05,0.1880959140976473,3.742136813672414e-05,0.014594547710448623,3.0226589640034067,6.297652310157795e-08,0.2368549429821031,0.0003407225028250587,1.8045500047776337,0.5473530399704031,1.2514261310086652,0.005770833798565629,4.976500054006832e-05,6.465064575288745e-05,0.0005918805665492126,2.946420646288172e-11,1.697671260159822e-19,1.2076833178949605e-11,1.7387373114164986e-11,6.803655281129958e-10,1.3968640088971728e-10,5.339483897717962e-10,2.813530810452925e-11,1.7876026042758723e-09,1.8139171059180653e-08,0.00021364585957388908,0.02387805161566318,77.50948290901616,32.33706163745496,39.83273187612806
6,CAU21,86.69355515292509,90.82374406072104,0.269483410547826,0.956045501832758,0.3478792996290513,-0.3478792996290514,0.0029901001503753,"[14665.274171192246, 2250.947738640725]","[[769.7266103079884, 2540.1778039215446], [516.7294263607014, 924.3191576565157], [14665.274171192246, 2250.947738640725]]","[1014.742787986969, 70.47671001705334, 7.4352570440962475, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978], [1, 87.44535145361192, 310.15, 0.22281857135994854], [2, 78.61441459739667, 310.15, 0.24288683880776862], [3, 72.82207803891725, 310.15, 0.2584328754692412], [4, 68.93283106661166, 310.15, 0.27019095425482603], [5, 66.27477390351132, 310.15, 0.2789404543303137], [6, 64.43401916267244, 310.15, 0.28537943553178274], [7, 63.146785412503164, 310.15, 0.29008221881624274], [8, 62.24018613888927, 310.15, 0.2934990037976614], [9, 61.59879008480024, 310.15, 0.29597319852915616]]",39.89050149391683,320.77191798389373,575.2452698022249,293.419261665305,104.02241195488804,,7.90458715170374,8.544081990753673,0.4435883995624935,0.956045501832758,38044.712243466885,428.6797627154077,6.921555751003738,"(979.7115170220627, 2624.056276794793, 917.0370291901128)",293.419261665305,6.921555751003738,0.6490680352777508,0.00010886108581110719,0.648891828883893,6.734530804674687e-05,0.022570796889482943,10.213722690565886,1.480328010151011e-07,0.5063339369526423,0.0008863366037889437,5.14988099849656,1.9822113541751336,3.1485087538430236,0.019160890478402696,6.765676837914914e-05,0.00016819891973679166,0.001663833034154352,8.692123698458292e-11,3.3235691003231235e-19,2.7836669335581582e-11,5.908456731664444e-11,1.7479046737742664e-09,4.62733844344638e-10,1.2621951046013643e-09,9.989629585777138e-11,4.529487057738218e-09,7.198503228682352e-08,0.0006670663403507814,0.031448445981673456,31.872954946659547,104.02241195488804,296.41760344407004
7,CuAlPyC,96.33839316727764,97.5082360866962,1.3258516402561986,3.4595418980165067,0.0948684226247364,-0.0948684226247364,0.002583383594486,"[89742.76829877, 3410.9218846906247]","[[1003.137799242667, 3375.569172622344], [1193.764218010826, 2106.3598190954376], [89742.76829877, 3410.9218846906247]]","[1379.6814854761274, 433.2593346425476, 9.59132990776051, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.10469052754483, 310.15, 0.21381900206460447], [2, 83.72011960267682, 310.15, 0.22751745335982532], [3, 78.27588668089365, 310.15, 0.23906260102580068], [4, 74.19618136609124, 310.15, 0.2486847474692782], [5, 71.09843598831769, 310.15, 0.25663561098317794], [6, 68.7207049978336, 310.15, 0.2631620066008372], [7, 66.97900512346324, 310.15, 0.2685420921549354], [8, 65.65825384078704, 310.15, 0.2730114503250247], [9, 64.59698757070346, 310.15, 0.27672573734833805], [10, 63.741135456056675, 310.15, 0.2798047708063547]]",109.61945394599506,91.87972151793976,203.83602229452453,42.8980055766629,34.21613028754746,,2.1556203987461084,2.786763827206233,0.4125916151910173,3.459541898016507,85203.36811475702,150.62165026676288,0.7583873349638458,"(780.2758354862001, 643.1182716446978, 297.7341144645979)",42.8980055766629,0.7583873349638458,0.2033565096562302,4.740041777822795e-05,0.2032709211881292,3.8188050322714556e-05,0.014660137102616946,3.2581891037627857,1.5606590301210697e-07,0.2444561956878145,0.0003623571170951276,1.9391348539558404,0.59909087858795,1.3337905123976708,0.0062534629702194495,4.9705026965727434e-05,6.895862085534503e-05,0.0006403193458178059,3.189455280964424e-11,1.7316977175685255e-19,1.313463887032937e-11,1.8759913766145104e-11,7.597599369846003e-10,1.504125361704524e-10,5.997009805929049e-10,3.29111915965178e-11,1.8741684114398374e-09,1.9888914988069438e-08,0.00023169934859450193,0.023676108763058996,77.67930153337,34.21613028754746,42.95036701145003
8,CuAlPyC-FF2,95.17356204060064,97.02961246117808,1.131271429599298,3.105183253294914,0.1029688532618326,-0.1029688532618326,0.0026278706573179,"[76572.23983969307, 3883.1284347734045]","[[1001.866009021548, 3324.91248976337], [1210.460256311293, 2120.0297468922695], [76572.23983969307, 3883.1284347734045]]","[1311.5416432302525, 365.1835347929678, 9.527287511465298, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36204475941642, 310.15, 0.2156575715370345], [2, 82.79457839726983, 310.15, 0.23040714791377775], [3, 77.68217042722316, 310.15, 0.2423186961660172], [4, 73.9634696317394, 310.15, 0.25213346345689863], [5, 71.10898520083123, 310.15, 0.26030743392421785], [6, 68.8899818729307, 310.15, 0.267091945194759], [7, 67.1474754971883, 310.15, 0.27270863055783995], [8, 65.76800281205672, 310.15, 0.2773492498150391], [9, 64.668761640601, 310.15, 0.2811775053304848], [10, 63.78817439439424, 310.15, 0.2843318034342452]]",79.09616962996371,100.88255361211507,219.14987393542796,46.75920659395026,36.60771895237187,,2.3396800999284846,2.971240907358812,0.4156242969127918,3.105183253294914,84659.78040378199,153.82676648713468,0.8496273504162467,"(799.7573173178489, 715.9943570795866, 321.34750281884976)",46.75920659395026,0.8496273504162467,0.2181844403361971,4.960035111279758e-05,0.21809551037866473,3.932960641949472e-05,0.014986298728069138,3.4901523005089308,1.6934170304162642e-07,0.2540079493239401,0.0003812893698199074,2.05313211499127,0.645462358275765,1.4009779164967497,0.006691840218754459,5.0549115842034695e-05,7.257549301296639e-05,0.00067757589264113,3.385861739427027e-11,1.7901384316076434e-19,1.3751975384421212e-11,2.0106641830835218e-11,8.011815696088422e-10,1.6089216724986458e-10,6.298468113135144e-10,3.548745302154639e-11,1.9674562871065842e-09,2.159212395396843e-08,0.00024688261210775465,0.02403568640552025,75.85926077029784,36.60771895237187,46.823983610807076
9,DAZMID,45.970652146937006,78.15105804615861,0.0354855683273961,0.1349627605585827,2.378948313153616,-2.378948313153616,0.0054338459040075,"[1916.4308073960738, 2252.382811498311]","[[252.6450235141943, 1061.0519711626475], [22.62096929374439, 114.88986112819724], [1916.4308073960738, 2252.382811498311]]","[946.542923765813, 6.311032017291286, 3.4010708227023874, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.77873848184838, 310.15, 0.16633137159967673], [2, 61.3346022182996, 310.15, 0.16098544531807232], [3, 60.267451452337035, 310.15, 0.15991110326145422], [4, 60.05378838721952, 310.15, 0.15969489494423603]]",91.728187963752,3113.673116504773,5146.959919453295,-206.77672707990035,659.2466764829236,,54.05496760161637,54.72271543119355,0.5489537412615627,0.1349627605585827,-499287.2685098965,3596.910781308356,-5.432672278622242,"(3359.761285622973, 27039.400481747205, 8571.114576014592)",881425906170.3574,271246.41027027345,4.213611422784779,0.0005970312163799048,4.21271954763757,0.0002948439308273106,0.08240666564047958,65.82173322719838,7.999724957921571e-07,2.570943782670349,0.005087956138972478,30.95728920534725,13.08677690273828,17.747856103693973,0.12265619891499688,0.00019946589220324004,0.0009656004322763635,0.009930796521547658,5.304190405170405e-10,1.5736519394740651e-18,1.4884447113393024e-10,3.815745678094583e-10,9.967483833618573e-09,2.960131810053124e-09,6.859069832395542e-09,6.547913493873038e-10,2.5627916980143506e-08,4.87360375786713e-07,0.004169547974456937,0.08678427710546749,-251.14713283985162,659.2466764829236,-205.14200061924365
