,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,88.47688810244728,94.16452499963904,1.0098783974899996,3.0268651378177034,0.1205104492983906,-0.1205104492983906,0.0029291059020679,"[38560.34120459365, 5022.047407384517]","[[1186.9383321225769, 5355.629351286234], [1065.428993429096, 2636.702293315829], [38560.34120459365, 5022.047407384517]]","[1201.0981875410384, 250.39810776056294, 13.86925885465617, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.17720104575174, 310.15, 0.16109212418938598], [2, 89.99228194346757, 310.15, 0.16959973040195658], [3, 85.61079373352479, 310.15, 0.17756554875655853], [4, 81.90091456171821, 310.15, 0.1849539376757963], [5, 78.75357463737609, 310.15, 0.19174876893548562], [6, 76.07842408201579, 310.15, 0.19795051709509384], [7, 73.80050570173907, 310.15, 0.20357301177922435], [8, 71.85751705692232, 310.15, 0.2086402082995793], [9, 70.19756345026894, 310.15, 0.21318321722517833], [10, 68.77731785163503, 310.15, 0.21723772963453128], [11, 67.5605163538856, 310.15, 0.22084189306612684], [12, 66.51672891170973, 310.15, 0.22403463606454532], [13, 65.62035498413121, 310.15, 0.2268544040445759]]",45.10463070941716,800.6369979949025,498.2316986132923,65.9375875756374,29.597178046093028,101.63451434771702,2.7382639616265165,3.37559655717112,0.437202064252324,3.0268651378177034,590657.2858343206,104.12926141125742,5.293250267236415,"(0.0, 0, 0)",65.9375875756374,5.293250267236415,0.16863367005322552,7.865218486942327e-05,0.1684727761979371,8.224167041900781e-05,0.03522766685835639,2.8683101076951303,1.1537059199666985e-07,0.45696128927902024,0.0005334217346299831,2.462063701443476,0.41381572845177084,2.042405557937983,0.005842415053721813,0.00012641578877646862,0.00010129162213479957,0.00082978776754251,3.858806104300361e-11,3.5201312472468796e-19,2.2114764816964747e-11,1.647329587402574e-11,1.0849525838777056e-09,1.4165541920677225e-10,9.36206411631083e-10,2.382366218241274e-11,2.913110762863088e-09,1.3285169182704076e-08,0.00024718858181697233,0.061427622921491495,78.2852155601312,47.042623794935714,66.05583726003518
1,AlTCPP,91.0678727267248,95.4408929470376,1.5347979642191802,4.152909230747347,0.0921637708622361,-0.0921637708622361,0.0028169954786875,"[58144.46275045625, 5702.930418521515]","[[1303.0615901487893, 5900.883535160345], [1343.2285670590034, 3296.35605386525], [58144.46275045625, 5702.930418521515]]","[1330.4583279309322, 378.4255885356671, 15.201918469445985, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.58458116985219, 310.15, 0.15996635446095286], [2, 90.7964685637789, 310.15, 0.1674514625140814], [3, 86.82300605549764, 310.15, 0.1745671059707116], [4, 83.39324118042043, 310.15, 0.1812388873191769], [5, 80.42722113984708, 310.15, 0.18745422841525308], [6, 77.85763282337699, 310.15, 0.19321058749627162], [7, 75.62768946442806, 310.15, 0.1985138237001399], [8, 73.689380831291, 310.15, 0.20337653430680688], [9, 72.0020243713053, 310.15, 0.20781647088285035], [10, 70.53106540047447, 310.15, 0.21185510366002183], [11, 69.24708320903198, 310.15, 0.21551637216276376], [12, 68.12496725090774, 310.15, 0.21882563585208914], [13, 67.14323368727679, 310.15, 0.2218088213580026], [14, 66.28345766684963, 310.15, 0.22449175183416634]]",52.65666203987786,613.845107540678,380.57678167375815,49.38795908447412,22.71487211394373,89.35830722193451,2.094164728361323,2.729226073910012,0.4288715144407553,4.152909230747347,589323.2929697244,100.8927650917494,4.204996224236714,"(0.0, 0, 0)",49.38795908447412,4.204996224236714,0.14223517513691572,6.630131373041354e-05,0.1420994949691052,6.937885408012029e-05,0.029700179040871993,2.42005095529205,9.69711414330657e-08,0.3855169172467427,0.0004507627825423034,2.077033614175044,0.34922704963752044,1.7228861513356897,0.004920413201833651,0.00010666576388082754,8.582313026164996e-05,0.0007043613274132181,3.248638340714563e-11,2.9694891715014867e-19,1.8613673558648555e-11,1.3872709551548154e-11,9.148565679785852e-10,1.193453598956499e-10,7.896022633723807e-10,2.0023165653988215e-11,2.456190982492469e-09,1.0832543471032749e-08,0.0002094448693293289,0.051833617525437664,81.86584082349208,37.44125499236294,49.450775458860065
2,AlTCPP-FF2,97.0967332510044,98.53964843923843,0.9434001679579072,2.892810822192653,0.120773705666354,-0.120773705666354,0.0025098774336494,"[35739.88055979024, 1068.649823409374]","[[241.0544461985304, 1181.580214334333], [119.72318238671305, 258.90610241996285], [35739.88055979024, 1068.649823409374]]","[1174.0278965335974, 233.5934122241814, 3.6036633835966696, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780098493, 310.15, 0.22003801131457282], [2, 62.53430040775476, 310.15, 0.24172409487865976], [3, 60.768882781049605, 310.15, 0.24846760792134545], [4, 60.238169102134876, 310.15, 0.25057050129620184], [5, 60.07424765443761, 310.15, 0.2512273772212274]]",1582.5050912224715,825.7122951333853,514.2146053929029,66.4202862803499,30.73046005401514,101.61682956799524,2.7442457285957675,3.3742509210129388,0.4095166490332675,2.8928108221926525,586838.0238984464,109.85648519131364,5.134178696773298,"(0.0, 0, 0)",66.4202862803499,5.134178696773298,0.16511962650600573,7.703088325262405e-05,0.16496209850562787,8.049711712519588e-05,0.03449886784436725,2.8082776070157127,1.132515626476151e-07,0.44726577403619666,0.0005233512080237602,2.4101526595175713,0.40515319641835,1.999272913644625,0.005726549454596138,0.0001237118150079563,9.972740150187397e-05,0.0008189811941848146,3.7819415325429626e-11,3.445577476445616e-19,2.1673849100111437e-11,1.614556588076045e-11,1.0622691374300179e-09,1.3882480922938687e-10,9.164415146683714e-10,2.339122215525984e-11,2.8540156845028944e-09,1.3312958113909176e-08,0.00024350501934273,0.06011152283671987,82.26881849291827,47.79862313468314,66.54812700508258
3,Ca-SQA,96.96107221693872,98.3158729969366,1.1647796662814938,2.7964223748152373,0.1047630612683396,-0.1047630612683396,0.002541331772418,"[84531.56850088087, 2649.365628799212]","[[730.6368550253596, 3230.9815802976755], [641.083358805289, 1388.4602580048038], [84531.56850088087, 2649.365628799212]]","[1499.4897896604148, 553.8961661352346, 8.762802599360791, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.06446354794646, 310.15, 0.17003229253773142], [2, 82.07364949495707, 310.15, 0.18568861674481957], [3, 76.33181813797502, 310.15, 0.19892545153045063], [4, 72.16015227493747, 310.15, 0.20983917931063628], [5, 69.10037599904153, 310.15, 0.21866592139932628], [6, 66.8382420375401, 310.15, 0.2257012942643017], [7, 65.15490045053454, 310.15, 0.2312474604386536], [8, 63.89567833695362, 310.15, 0.23558358214581382], [9, 62.94978458555075, 310.15, 0.2389526024875286], [10, 62.23691984253573, 310.15, 0.24155796028841575]]",153.75204763264318,521.2682883375036,352.96193308836774,47.940713924476405,20.02438360187045,87.86573423913136,2.380448474392969,3.0111464822090865,0.4106962538731065,2.7964223748152373,585350.9239901466,109.24414739833988,4.54734994709693,"(0.0, 0, 0)",47.940713924476405,4.54734994709693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.64215069143199,0.0
4,CALF20,95.3696158194764,97.8381064183242,0.9833443687551062,2.484557910195049,0.1000653730712223,-0.1000653730712223,0.0025999785117464,"[73440.83431722323, 3565.6983044853473]","[[823.5584546419277, 3706.2455195770694], [698.4166299793075, 1672.796519125619], [73440.83431722323, 3565.6983044853473]]","[1424.8167502928009, 478.04975144211176, 9.936177924869792, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.50371364488625, 310.15, 0.1661897438064832], [2, 84.2219199124203, 310.15, 0.178659557899062], [3, 78.75444754427862, 310.15, 0.18946934969111515], [4, 74.60498757506396, 310.15, 0.19868337555517693], [5, 71.42721498855178, 310.15, 0.20643133601724717], [6, 68.97511989093971, 310.15, 0.2128762747530658], [7, 67.07107850536268, 310.15, 0.21819134939219914], [8, 65.5849340315053, 310.15, 0.22254480574216032], [9, 64.42004221739872, 310.15, 0.22609138998284287], [10, 63.503800137604735, 310.15, 0.22896830173787924], [11, 62.78110878860253, 310.15, 0.23129408656084247]]",105.37745856153244,567.1157167310391,386.6745406421978,49.29187285074256,21.69570045718388,89.22857342220593,2.273706607874209,2.905076257682864,0.4149855856394157,2.484557910195049,589237.3194358005,102.05360123814935,4.404215895655776,"(0.0, 0, 0)",49.29187285074256,4.404215895655776,0.1476442859600106,6.892854590222758e-05,0.14750335598828596,7.200142582241202e-05,0.0308463500129208,2.5144214477765865,1.0162384818847911e-07,0.40009368207590595,0.000472457296586916,2.156138914087733,0.3629439238972096,1.7880700578859379,0.005124932304585545,0.00011061589566381228,9.13040877681505e-05,0.0007569674346284212,3.3715617703366045e-11,3.081745581315975e-19,1.932652749294225e-11,1.4389089902249241e-11,9.503310612742915e-10,1.240136182755233e-10,8.200862356166255e-10,2.0909800504273218e-11,2.554456081281958e-09,1.166032989682351e-08,0.00022321371718876567,0.05375133776094652,83.39286905651119,36.94501290509534,49.38118432216839
5,CAU10,88.94771366495011,95.98471479679556,1.4603368498750864,3.6116108321661153,0.0974557686140277,-0.0974557686140277,0.0028904091996471,"[79234.02854233702, 9845.3027609916]","[[1424.5355083911538, 6748.679573714744], [1756.0268006826213, 4999.3830769343485], [79234.02854233702, 9845.3027609916]]","[1455.6420677244514, 501.76138324413535, 17.04986355449656, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.50547894934554, 310.15, 0.1576880678281786], [2, 92.3254881963962, 310.15, 0.16294844836659308], [3, 88.68620550701074, 310.15, 0.16788239713583705], [4, 85.50651403869563, 310.15, 0.17249489205825588], [5, 82.71940967339063, 310.15, 0.17679393714932065], [6, 80.26921322345844, 310.15, 0.18078991932606298], [7, 78.10939217710713, 310.15, 0.18449502967944684], [8, 76.20084733830156, 310.15, 0.1879227546429345], [9, 74.51055647688324, 310.15, 0.1910874379548938], [10, 73.01049395617522, 310.15, 0.19400391104224582], [11, 71.67676505806848, 310.15, 0.19668718726427703], [12, 70.48890835727886, 310.15, 0.19915221414253093], [13, 69.42933040833755, 310.15, 0.2014136770636471], [14, 68.48284520027616, 310.15, 0.20348584779663234], [15, 67.6362970224095, 310.15, 0.2053824713627394]]",43.162593302593685,544.1079684201247,351.59749477274744,46.89996950995722,19.87029955262267,88.7116055847677,2.214410622498346,2.849057017736338,0.4327657314037601,3.6116108321661153,605675.8305868695,74.64700488957664,4.411321502506591,"(0.0, 0, 0)",46.89996950995722,4.411321502506591,0.14739829760449988,6.874200411872916e-05,0.1472576152741582,7.194032622293056e-05,0.030792553411643216,2.5095553262169603,1.0048965541657969e-07,0.39976012757923945,0.0004665832585080674,2.1535958024801216,0.3620728959357945,1.7864231405696267,0.005099765974700892,0.00011060943785952483,8.85969283610728e-05,0.0007257351452119583,3.3649378759989395e-11,3.0790834700962265e-19,1.9302989114936882e-11,1.4346389337144165e-11,9.488697014069488e-10,1.2357366865410567e-10,8.191814637863942e-10,2.0749458222414992e-11,2.5451297869963285e-09,1.1176645822169293e-08,0.00021613682861935297,0.053751748358289095,81.83673123969444,35.138044654383656,46.95843266695585
6,CAU21,78.48997947553194,91.16595009064496,0.2013638806797549,0.7160821095130392,0.4545655409127815,-0.4545655409127817,0.0033084938881172,"[10958.212649679077, 3003.0760688319715]","[[558.3943615844003, 2621.72661148468], [318.64494697593136, 895.5030818849905], [10958.212649679077, 3003.0760688319715]]","[1012.3280009607859, 68.32960670431208, 7.16757333065454, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.92872475989996, 310.15, 0.17002780845663235], [2, 77.88152976185243, 310.15, 0.18416098207642634], [3, 72.03831344103291, 310.15, 0.194887629909018], [4, 68.1849473115612, 310.15, 0.2028147884852471], [5, 65.60421839544314, 310.15, 0.2085658433337384], [6, 63.85626352865665, 310.15, 0.21268529129215744], [7, 62.662754331587806, 310.15, 0.21561018541338725], [8, 61.84312760696508, 310.15, 0.21767434543340966], [9, 61.27797047095079, 310.15, 0.21912496099499054]]",40.238074998596325,2352.439440231716,2557.337762616386,838.052762002607,104.6196493662473,273.5210823295852,10.328734529872472,10.97279043584659,0.4658232372576423,0.7160821095130392,424494.8883515264,591.3439036142305,50.51367475909681,"(756.7500100504674, 7939.82498974447, 3290.197840882041)",838.052762002607,50.51367475909681,0.6227054540086587,0.00018843197448460144,0.6223450116136846,0.00017201042048939596,0.07053937808508944,10.154062444188611,2.7287713953094454e-07,1.0253282772536383,0.0013535296284773693,6.803449314896125,1.7328147594978087,5.050761752461446,0.019872802936870725,0.0002452772956250939,0.00025704592972521345,0.0022571325226003885,1.1001632424322632e-10,7.596495443488348e-19,5.159571315838419e-11,5.842061032519258e-11,2.725394448835845e-09,4.794493324632239e-10,2.221373674480378e-09,9.299836986370508e-11,7.234661654340514e-09,6.354102854978834e-08,0.0007630678603660015,0.1184238985490137,34.39641574931917,136.70222453065898,864.7678150064781
7,CuAlPyC,94.48957250484196,97.6177304096888,1.1761819512785143,2.9125074436846767,0.1024801921931265,-0.1024801921931265,0.0026464808912947,"[79612.09318290422, 4642.805079890459]","[[872.7562173730785, 4056.2088545893494], [976.3894406805838, 2492.5729645700053], [79612.09318290422, 4642.805079890459]]","[1453.817752048662, 506.27929175063, 10.707639372212725, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.40558837539304, 310.15, 0.16307105295490812], [2, 85.65479259556601, 310.15, 0.17276715654056293], [3, 80.4648758392615, 310.15, 0.18123633423743862], [4, 76.41982429252626, 310.15, 0.1885581528773785], [5, 73.23705614342649, 310.15, 0.19483360010020478], [6, 70.71289536347926, 310.15, 0.20017419781874543], [7, 68.69784904482542, 310.15, 0.20469287091271582], [8, 67.0804113423267, 310.15, 0.20849796926750183], [9, 65.77621797396316, 310.15, 0.2116897293926871], [10, 64.72063546449532, 310.15, 0.21435849894379302], [11, 63.86360157587439, 310.15, 0.21658416096266667]]",107.44273322051512,547.1598451061635,366.1234937175118,48.05643542818659,20.3131626021671,89.39150359813797,2.328576639592239,2.960296639176417,0.4173193532860391,2.9125074436846767,603135.1212413886,79.29179046556993,4.503086834295302,"(0.0, 0, 0)",48.05643542818659,4.503086834295302,0.14995613630271717,7.04372029970648e-05,0.14981213933099075,7.355976872935272e-05,0.03137672177947528,2.553389803081608,2.1977621885189292e-07,0.40832573848245424,0.0004824840039340904,2.23378250104663,0.37305781749585637,1.8554709080758833,0.005253775474889918,0.0001127809146173538,9.188038292412488e-05,0.0007593660741606949,3.5112683833669935e-11,3.134153162071635e-19,2.0498246092545218e-11,1.4614437427709404e-11,1.028951761861529e-09,1.261060950545052e-10,8.935097029453232e-10,2.4233313873136793e-11,2.602735810692951e-09,1.1433499624007421e-08,0.00022469051223257227,0.05463428300312778,82.97935272281161,35.81762503777685,48.13521015749301
8,CuAlPyC-FF2,91.22086174268678,96.9226311448643,0.9131461905822288,2.463919615856036,0.1195765150240441,-0.1195765150240441,0.0027663300275165,"[61808.021739514006, 5948.432824421515]","[[867.8029587550177, 4030.595267263021], [969.3200313404179, 2571.3350687741904], [61808.021739514006, 5948.432824421515]]","[1334.1856872850592, 386.67882983054176, 10.67603652869811, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86201316490863, 310.15, 0.16351815840870823], [2, 85.17752207064505, 310.15, 0.173179760137488], [3, 80.11106283131248, 310.15, 0.18146563557168896], [4, 76.20007388003515, 310.15, 0.18853875425915934], [5, 73.1370411248254, 310.15, 0.1945535728430769], [6, 70.71019321896374, 310.15, 0.1996523939964523], [7, 68.7693546537381, 310.15, 0.20396358512599405], [8, 67.20537206460787, 310.15, 0.20760110623735237], [9, 65.9372337107667, 310.15, 0.21066489207450242], [10, 64.90373501951767, 310.15, 0.2132417458934072], [11, 64.05792835063959, 310.15, 0.21540650234405356]]",67.75953802075082,639.5367060925682,429.35371837017095,56.54248654995766,23.38479899613132,96.806442775116,2.717042909171234,3.3497994211666504,0.4255794067017707,2.463919615856036,613084.2901556632,64.6583736014062,5.185730945187431,"(0.0, 0, 0)",56.54248654995766,5.185730945187431,0.16635880654526353,7.819822278845016e-05,0.16619898454074636,8.162378172867236e-05,0.03481910888074835,2.832513039536191,2.525481426561429e-07,0.45304901853524027,0.0005358046924146119,2.481023344783868,0.4141453030512852,2.0610407364438568,0.005837305288725532,0.00012510862664447133,0.00010205897893976073,0.0008440076619342426,3.904574905632724e-11,3.4767609408676696e-19,2.2822176530064808e-11,1.6223572178586353e-11,1.1462460073514372e-09,1.3999792574059323e-10,9.956252244983045e-10,2.7151886896582224e-11,2.889128914447489e-09,1.2890799762907066e-08,0.0002496506186719334,0.060592198506823666,80.79869790037789,40.5759485059518,56.65631731603214
9,DAZMID,42.513417651715685,82.38857721783023,0.0357929504531944,0.1357636386805395,2.364226666827577,-2.364226666827577,0.0059207354396243,"[1933.0312622651543, 2613.842099225566]","[[199.3591354910569, 1155.1192585097401], [24.353532916226566, 166.15963837669668], [1933.0312622651543, 2613.842099225566]]","[949.1099596608706, 8.812654302136531, 3.466484432914777, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.87310510455497, 310.15, 0.12777467575558174], [2, 61.68391992797117, 310.15, 0.12285695764204524], [3, 60.36679550983706, 310.15, 0.1217824038577245], [4, 60.080216856781306, 310.15, 0.12154720470155823]]",105.05934077428876,16575.192312808264,26458.428877168528,-214.81472746257344,658.1093173833898,1807.3380526102685,53.72045923470629,54.39344637743767,0.561070336314442,0.1357636386805394,-2313577.353877785,9026.571640762902,-6.763370815190123,"(9731.010785532982, 132444.611381561, 42308.49058597999)",175525.1672058885,5526.351974254209,4.032180281696148,0.0006337325892604008,4.031185227732846,0.00036132137403988176,0.11511462838559605,63.24979149491189,8.660457529631453e-07,2.857412945176772,0.005239712056026948,30.98682163116002,12.397155682410013,18.471200127174328,0.11846582157568104,0.0003237300470891955,0.0009945606605397787,0.0099896501267153,5.24943903376132e-10,1.8311341593310832e-18,1.6025069084371478e-10,3.6469321070128304e-10,1.0305897239281732e-08,2.8516513770071283e-09,7.309521097062257e-09,6.254693912981572e-10,2.662594706882241e-08,4.675980421809902e-07,0.00407996395282615,0.14813049948532106,-249.81701927690528,684.7562129904461,-213.03736463627286
