,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,90.63235836183436,93.29020074848972,0.6002755533295547,1.4078209325557691,0.1830388238135114,-0.1830388238135114,0.0101161969476595,"[22920.41320093006, 2369.0238337151063]","[[1103.4693115820114, 14245.774625206604], [509.0509002316227, 1882.1887040597574], [22920.41320093006, 2369.0238337151063]]","[1534.9906667912053, 548.7086634478542, 49.45118241753174, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 90.62174549135369, 310.15, 0.04772512351810978], [2, 81.32580456533243, 310.15, 0.05258405777975583], [3, 73.26145268692659, 310.15, 0.05776043784379897], [4, 66.27183879200405, 310.15, 0.06322893241545824], [5, 60.21763912795765, 310.15, 0.06895536013119319], [6, 54.975710409750654, 310.15, 0.0748973525897433], [7, 50.4377300686292, 310.15, 0.08100556388236836], [8, 46.50883533917071, 310.15, 0.08722536374301354], [9, 43.10628368539333, 310.15, 0.0934988923790165], [10, 40.15815897249979, 310.15, 0.09976731074816458], [11, 37.60214464282465, 310.15, 0.10597305904888824], [12, 35.38437976059809, 310.15, 0.11206194200517812], [13, 33.45840795547401, 310.15, 0.11798488983221689], [14, 31.78422401155661, 310.15, 0.12369929134367055], [15, 30.327418544106383, 310.15, 0.1291698506653852], [16, 29.058417966124114, 310.15, 0.1343689716782221], [17, 27.951814682060103, 310.15, 0.13927671710724038], [18, 26.98578099684541, 310.15, 0.1438804179780592], [19, 26.141559424824255, 310.15, 0.1481740232487006]]",63.24129161153438,792.7499485139551,441.116059255797,106.37434703910787,64.19205683423299,71.98938255985996,4.159046935307851,4.985030203869861,0.6338390351282944,1.4078209325557691,286274.35685458145,116.32102201049312,4.414343046426546,"(0.0, 0, 0)",106.37434703910787,4.414343046426546,0.25273448883471805,0.00011811880545295192,0.2524932581603941,0.00012311186887105477,0.05287311563562152,4.293827380636361,1.7534638237855136e-07,0.6839725270090006,0.0007990173879184771,3.6878702380764525,0.6191963358012138,3.059850583098055,0.008823319177183625,0.00018905008844017596,0.00015180627645436286,0.0012442946873318069,5.869264888971471e-11,5.269854384848544e-19,3.354021809902506e-11,2.515243026370424e-11,1.6284896916096266e-09,2.1471947207748298e-10,1.402655910810325e-09,3.620411527661873e-11,4.383001705125927e-09,2.2363126890105436e-08,0.00037105549202489974,0.091825379228096,69.71254954903195,82.90934036076366,106.77077331810536
1,AlTCPP,90.99963934634512,93.90125188942623,0.810404538530167,1.6927792518701816,0.1479090134584899,-0.1479090134584899,0.0102291959980738,"[30701.45882512966, 3036.5417270260955]","[[1182.9781425757863, 16078.520158148638], [774.8945730330228, 3082.3603946715493], [30701.45882512966, 3036.5417270260955]]","[1723.4712296274881, 732.1845270990277, 54.45588160264111, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 91.05729808724018, 310.15, 0.04683319077738914], [2, 82.18729364178836, 310.15, 0.05061197523348566], [3, 74.51807897574064, 310.15, 0.05451615017409777], [4, 68.57104293246762, 310.15, 0.058706255648060736], [5, 63.31706411307551, 310.15, 0.06304315114634816], [6, 58.66780744430601, 310.15, 0.06750668916171618], [7, 54.54974011856424, 310.15, 0.0720748602409561], [8, 50.89863453119056, 310.15, 0.0767236476815145], [9, 47.658360790874376, 310.15, 0.0814275534151435], [10, 44.77983866715001, 310.15, 0.08616018296999285], [11, 42.220127534395424, 310.15, 0.0908948604377271], [12, 39.941635852128435, 310.15, 0.095605242670874], [13, 37.91143424035292, 310.15, 0.1002659028879794], [14, 36.10065836338938, 310.15, 0.10485285726257285], [15, 34.483989693417264, 310.15, 0.10934401340921278], [16, 33.03920383327025, 310.15, 0.11371952624955299], [17, 31.746777471701318, 310.15, 0.11796205376291807], [18, 30.589546250707404, 310.15, 0.12205691186631905], [19, 29.552406866582082, 310.15, 0.12599213353782], [20, 28.62205762455023, 310.15, 0.1297584419020904]]",66.12811024387845,677.3290005916278,376.4129066476232,87.64916930750462,54.6147469763557,66.30858396504625,3.360819941433271,4.176014408084227,0.6191366400444904,1.6927792518701816,287369.2453023098,111.73403661993304,3.694424130269826,"(0.0, 0, 0)",87.64916930750462,3.694424130269826,0.21938516183083534,0.00010250090913212326,0.21917580721632093,0.00010685370538223999,0.045885232898112256,3.7279534209140555,1.5204570578304615e-07,0.5936749537315223,0.0006955307511808458,3.2011360305253675,0.5376901571037725,2.6557911488151222,0.00765472460647233,0.0001640915295735635,0.00013272799322986887,0.001091249788088557,5.089058295801786e-11,4.573928203543377e-19,2.9079496872820708e-11,2.1811085627804342e-11,1.413182432021784e-09,1.862858423109215e-10,1.2172830736305559e-09,3.13971439099819e-11,3.804736482020667e-09,1.9230937083730238e-08,0.0003245372531540295,0.07970460942830482,73.30071054754643,70.86406776727242,87.91963896837528
2,AlTCPP-FF2,84.63178659847758,94.81116764368824,0.3103791580720521,0.9031564000572976,0.306891302068303,-0.306891302068303,0.0107138074592248,"[11758.439752830678, 2135.2049703000966]","[[382.3756668616074, 4881.650034425879], [203.88909488072986, 900.4014295032518], [11758.439752830678, 2135.2049703000966]]","[1237.1777125074905, 277.48195513472047, 22.86493644695081, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 54.59747283148789, 310.15, 0.06767899504059417], [2, 43.21555188383506, 310.15, 0.08216718494599162], [3, 36.640203162745316, 310.15, 0.09440432198240728], [4, 32.40158362315296, 310.15, 0.10480703292113427], [5, 29.480202802765056, 310.15, 0.11365301627130787], [6, 27.375472175227262, 310.15, 0.12115804323591858], [7, 25.81135014830629, 310.15, 0.12750476762110685], [8, 24.62246036001784, 310.15, 0.13285357789676025], [9, 23.7033953865506, 310.15, 0.13734669642409061], [10, 22.983683712092734, 310.15, 0.14110991533723738]]",94.39059174771778,1224.5023082152636,793.5738252211852,195.00102176822216,102.90430638004707,95.04875633931708,6.973249186960701,7.772891959525465,0.6121809658785392,0.9031564000572978,272726.67917073413,145.70989282062695,7.227378767019568,"(148.79896916186172, 707.5757230959229, 646.9481870627012)",195.00102176822216,7.227378767019568,0.39022996152401573,0.00016308484439046187,0.3899017074835295,0.00016516919609575994,0.07038177168306525,6.546790151238851,2.418701976061607e-07,0.9307851095538975,0.0011208438557665976,5.26130494619736,0.9948111976424394,4.253189665122598,0.013304083432324268,0.00024996986767737803,0.00021406999288570136,0.0017896677251593486,8.454082335749151e-11,7.114463797702568e-19,4.6109216006515174e-11,3.843160663952999e-11,2.27199537944497e-09,3.235487291091503e-10,1.931582149456269e-09,5.686114761392059e-11,6.105343497211417e-09,3.728761073409563e-08,0.0005492716206684866,0.12126043188276826,57.81300934204477,127.22727635733162,196.40435154775014
3,Ca-SQA,97.20146628315987,97.80930489815375,0.6976523192253316,1.1613790215578963,0.1508627055854406,-0.1508627055854406,0.0089181981158482,"[50630.73001666075, 1457.7126300449784]","[[757.4839894177553, 9336.612438126105], [353.4264731068311, 1133.7640267499594], [50630.73001666075, 1457.7126300449784]]","[2162.5570141969274, 1190.8825912047605, 34.843602066347344, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 83.87189137854409, 310.15, 0.0514398929732666], [2, 70.42957681669306, 310.15, 0.06050620956849002], [3, 60.018434774189345, 310.15, 0.07026228052653276], [4, 51.9104881777985, 310.15, 0.08052118985144341], [5, 45.56213712737814, 310.15, 0.09105976714608047], [6, 40.56533345032238, 310.15, 0.1016384730217069], [7, 36.61216836371814, 310.15, 0.11202335841389818], [8, 33.469113628300185, 310.15, 0.12200584139736029], [9, 30.958185217777018, 310.15, 0.13141699016687006], [10, 28.943081885464956, 310.15, 0.140134797183495], [11, 27.31892146200623, 310.15, 0.1480847682436358], [12, 26.004600540534263, 310.15, 0.15523541019610257], [13, 24.937082862541338, 310.15, 0.16159067818221343], [14, 24.06711528791425, 310.15, 0.16718128589319775]]",169.6895491418168,566.078546132578,345.3372358607695,75.81010938997284,46.42799966518023,62.88344709945496,3.427934359743527,4.184603543447295,0.5305425438088976,1.1613790215578967,291371.4967405157,105.46747899867836,3.490882501375565,"(0.0, 0, 0)",75.81010938997284,3.490882501375565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,61.9458000438934,0.0
4,CALF20,95.18998471910268,96.15644065496276,0.5189931762914118,0.9826076250152772,0.1595079402355076,-0.1595079402355076,0.0093213095268095,"[38760.878775398065, 1958.613815947575]","[[984.9427686986833, 12174.459143956039], [528.7921214696305, 1745.3764455436926], [38760.878775398065, 1958.613815947575]]","[1901.4460982022547, 921.0021715961792, 43.61310568025604, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 88.14414534804196, 310.15, 0.04921634811817746], [2, 77.27746315150095, 310.15, 0.05568745134462552], [3, 68.28607992320894, 310.15, 0.06256889325721848], [4, 60.82057970161759, 310.15, 0.06980090223637214], [5, 54.601517977883596, 310.15, 0.07731008970650093], [6, 49.40441341692324, 310.15, 0.08501237483621941], [7, 45.04816299917777, 310.15, 0.09281685234657894], [8, 41.3860679968118, 310.15, 0.100630212574093], [9, 38.29885034924358, 310.15, 0.1083612441460587], [10, 35.68918893117769, 310.15, 0.11592495690050203], [11, 33.47742048580089, 310.15, 0.1232459495792774], [12, 31.598137572968735, 310.15, 0.1302607867763434], [13, 29.9974817581007, 310.15, 0.1369193064787121], [14, 28.63097943981093, 310.15, 0.14318491969614514], [15, 27.461804237481594, 310.15, 0.14903406483609852], [16, 26.459376948413762, 310.15, 0.15445503359202803], [17, 25.598234227410487, 310.15, 0.15944639619694861]]",101.41559544214324,639.401748778164,392.31687610953816,86.18058807486193,53.081456766000905,65.92988966034483,3.6243732131367934,4.402498025031397,0.5624571895804513,0.9826076250152768,288426.2494852133,110.51440788215156,3.74280932453032,"(0.0, 0, 0)",86.18058807486193,3.74280932453032,0.22274839478772568,0.00010437202795305772,0.22253559292031524,0.0001084298394573636,0.046640868439959474,3.7905861344781893,1.5716901933935344e-07,0.6024239611553631,0.0007178701159868497,3.2499073278529766,0.5469246246222763,2.6951601198659185,0.007822583364782521,0.00016628070473395851,0.0001404815688740703,0.0011746547831098962,5.167684896367308e-11,4.641539638506232e-19,2.955972637105317e-11,2.211712212846595e-11,1.4366057033883125e-09,1.895193168821909e-10,1.2370060127980543e-09,3.2270091274023595e-11,3.8762735628773896e-09,2.0953384452114866e-08,0.0003445238581160432,0.08076165020612598,74.73774785056861,69.5024068209762,86.56264651130681
5,CAU10,86.20728903342342,89.79431634140172,0.6628400679496129,1.257561614700179,0.1823248641925158,-0.1823248641925158,0.012187713141691,"[35963.955074760066, 5754.042878773166]","[[1727.218909433433, 24883.818945043236], [2314.341198636018, 9387.61649152223], [35963.955074760066, 5754.042878773166]]","[1897.500859381365, 885.8979770166302, 74.77206143891533, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 95.29197838385512, 310.15, 0.04547003012598658], [2, 90.06872041051608, 310.15, 0.04777733418883296], [3, 85.25948188995638, 310.15, 0.05013539354086422], [4, 80.82759428598922, 310.15, 0.05254093783194804], [5, 76.73987517823191, 310.15, 0.05499048743501571], [6, 72.96628960322141, 310.15, 0.057480371473491866], [7, 69.47964292945177, 310.15, 0.06000674766539605], [8, 66.25530274862572, 310.15, 0.06256562381881228], [9, 63.27094738748489, 310.15, 0.06515288077481592], [10, 60.50633877290695, 310.15, 0.0677642965585903], [11, 57.94311751601689, 310.15, 0.07039557146890862], [12, 55.56461821699173, 310.15, 0.0730423538116996], [13, 53.355703129076495, 310.15, 0.07570026596606509], [14, 51.302612456185855, 310.15, 0.07836493046154229], [15, 49.39282969163758, 310.15, 0.08103199574392153], [16, 47.61496053460591, 310.15, 0.0836971613135087], [17, 45.95862404462805, 310.15, 0.08635620193399994], [18, 44.414354812064765, 310.15, 0.0890049906314561], [19, 42.97351503318799, 310.15, 0.09163952023032962], [20, 41.628215482170226, 310.15, 0.09425592320601024], [21, 40.37124446850618, 310.15, 0.09685048966970913], [22, 39.196003957306964, 310.15, 0.09941968334040681], [23, 38.09645211160522, 310.15, 0.1019601553987704], [24, 37.067051590534994, 310.15, 0.10446875615816366], [25, 36.10272300531869, 310.15, 0.1069425445270015]]",39.255362985822266,646.4869899615793,375.7888247085724,95.6322188793649,54.63591664292717,67.37623662814798,4.142824193532254,5.006949269104128,0.6915709011076877,1.2575616147001791,278218.2142421382,128.07002024010157,4.58414984009525,"(0.0, 0, 0)",95.6322188793649,4.58414984009525,0.26007285541995767,0.00012162013358087869,0.2598244490333811,0.00012678625299569643,0.05444037480375173,4.424061817508284,1.8037699011100535e-07,0.7044336770078212,0.0008229556560737361,3.7977130555934253,0.6378511539470628,3.150785105379361,0.009076796267002144,0.00019471139002392546,0.00015637009878512385,0.0012816825897725582,6.0218992764176e-11,5.42714496947048e-19,3.449766141635238e-11,2.5721330805109135e-11,1.677380114733904e-09,2.2033541143646087e-10,1.445640238364539e-09,3.725266906758093e-11,4.5088547991965215e-09,2.2839562959605324e-08,0.0003821174380666532,0.0945847086966082,66.44125209001042,73.90965348491709,95.98052331258374
6,CAU21,73.32842671128753,87.13852083755152,0.1022951196597386,0.333886708744429,0.874230796488657,-0.8742307964886573,0.0132900613757117,"[5566.895465421396, 2024.8335748588001]","[[561.7410360873531, 8077.46317986516], [200.19886029860123, 1060.468585897984], [5566.895465421396, 2024.8335748588001]]","[1102.956245727477, 135.10909382713984, 31.01633097451784, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 79.919486659679, 310.15, 0.05093398259642585], [2, 64.89313750636653, 310.15, 0.058975342745664835], [3, 54.018124950091845, 310.15, 0.06708074780869475], [4, 46.0470119678039, 310.15, 0.07502666794461849], [5, 40.13058633622525, 310.15, 0.08261730801042], [6, 35.6862369193396, 310.15, 0.08969964794771787], [7, 32.31029538947302, 310.15, 0.096169950763788], [8, 29.71986056317399, 310.15, 0.10197261165140545], [9, 27.714185629899763, 310.15, 0.10709363636443194], [10, 26.148964038275153, 310.15, 0.11155138505952354], [11, 24.919102003906534, 310.15, 0.11538679832135623], [12, 24.04588844580702, 310.15, 0.11876692154801309], [13, 23.34891339370528, 310.15, 0.12171372603924616]]",41.085846034547984,2299.6541448359008,2647.5086317906034,-797.1080307491667,253.53163858542973,164.3393591913647,19.864457381961675,20.82469397583539,0.8413308412114465,0.333886708744429,-8880.996043677384,600.3768437504345,-26.505270857364504,"(982.2368783357048, 12196.16435120345, 4270.569690668822)",12690.55111356164,421.9835726382583,1.4060349367188667,0.00031420958901539676,1.4054755919495734,0.00024513518027778245,0.09437761771026243,22.446019709251374,4.4727867216778195e-07,1.5951180445534592,0.0023856184365703428,12.87777786919203,4.135488021479552,8.699262971960714,0.043026875751765184,0.00031288304406026566,0.00045306235552999814,0.004218395581585218,2.145502249671704e-10,1.1273550982369399e-18,8.414387313960403e-11,1.304063507002112e-10,4.763055493163716e-09,1.0396949110140532e-09,3.670173576040616e-09,2.148755176151217e-10,1.2522532899357898e-08,1.5624770671911438e-07,0.0015603604273983092,0.14943798070891673,-35.38128379405088,280.74840139715536,-772.3474395776276
7,CuAlPyC,93.60022242421836,95.636252240375,0.8002122158701443,1.2670153922285543,0.138344717869412,-0.138344717869412,0.0098496727805748,"[54163.87271263848, 3703.3751526016035]","[[1242.3386516141125, 17220.79208671727], [1193.0528842842118, 4815.384787305977], [54163.87271263848, 3703.3751526016035]]","[2273.661389437063, 1278.7139634041237, 58.11660510712028, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 90.32015960806022, 310.15, 0.04669193758025708], [2, 81.09406592601718, 310.15, 0.05021749987004925], [3, 74.02999981173438, 310.15, 0.05376475325506605], [4, 68.75342100250523, 310.15, 0.05734970292430451], [5, 64.07757307455375, 310.15, 0.061003283573205155], [6, 59.92165712513131, 310.15, 0.06471399031431731], [7, 56.21761910360191, 310.15, 0.06846968278757884], [8, 52.907841200428216, 310.15, 0.07225774469311837], [9, 49.94330086667634, 310.15, 0.07606525650614346], [10, 47.28209424009413, 310.15, 0.07987917557560002], [11, 44.88824506724517, 310.15, 0.08368651768031825], [12, 42.73073850945167, 310.15, 0.08747453427817596], [13, 40.78273304661917, 310.15, 0.09123088012000295], [14, 39.020914185288596, 310.15, 0.09494376657337639], [15, 37.42496167535729, 310.15, 0.0986020968580171], [16, 35.97710806496225, 310.15, 0.10219558036944879], [17, 34.66177113562127, 310.15, 0.1057148242926034], [18, 33.465246402599824, 310.15, 0.1091514017167372], [19, 32.37544869452182, 310.15, 0.11249789640057488], [20, 31.381694033447616, 310.15, 0.11574792515724974], [21, 30.4745147664715, 310.15, 0.11889613950227104]]",102.10750870164446,554.9832093195733,334.0061576636248,73.82014283959515,45.476867191289365,62.13923914702836,3.1434979906614444,3.928679619351106,0.5749095343058164,1.2670153922285543,290294.04261907074,106.49934251208394,3.39203446550123,"(0.0, 0, 0)",73.82014283959515,3.39203446550123,0.20523013629488268,9.716237695759754e-05,0.20503206972954935,0.00010090418837571286,0.04308297090749718,3.4915865879597687,4.1596329618638745e-07,0.5596164058102928,0.0006675487854074107,3.0962948082432815,0.5142203424767141,2.5747548322267835,0.007319633539784098,0.00015421037970816118,0.00012745948961845072,0.0010604074613969894,4.960612915124672e-11,4.286162600335928e-19,2.924743216533827e-11,2.0358696557292198e-11,1.4718072440156168e-09,1.7487993160403808e-10,1.2806417392382346e-09,3.670441315650893e-11,3.5902371195912766e-09,1.8369544134636987e-08,0.000312751954863388,0.07450706184818204,76.00881115835105,60.63375454642978,74.08297912554895
8,CuAlPyC-FF2,87.16370361699131,92.23956190084392,0.5051723889164116,0.9986520578317212,0.1987552088396232,-0.1987552088396232,0.0114913774486879,"[34193.54569769307, 5035.564905435927]","[[1341.6608398856556, 19651.66681222285], [1494.5384328266427, 6826.632816036439], [34193.54569769307, 5035.564905435927]]","[1821.0753042933497, 821.081863673632, 63.16261969389836, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 91.88944635515918, 310.15, 0.0460335839230397], [2, 84.46913362582353, 310.15, 0.04881634152594112], [3, 78.61963666757534, 310.15, 0.05161918370161227], [4, 73.29355980081522, 310.15, 0.054449491844627815], [5, 68.7562477042636, 310.15, 0.057309327021948415], [6, 64.73364722152425, 310.15, 0.060205744760228955], [7, 60.997548321479506, 310.15, 0.06312403136245227], [8, 57.63175699940541, 310.15, 0.06605195393832493], [9, 54.613113010767286, 310.15, 0.06898495044810715], [10, 51.873180712586354, 310.15, 0.07191696696037728], [11, 49.356539122628035, 310.15, 0.07483809145127451], [12, 47.06458428824887, 310.15, 0.0777385108970221], [13, 44.980620466451, 310.15, 0.08061160304813281], [14, 43.110888762218025, 310.15, 0.08345500593190092], [15, 41.40443577970416, 310.15, 0.08626588061055909], [16, 39.8395469462161, 310.15, 0.08903853398932461], [17, 38.402873224397275, 310.15, 0.09176747113834095], [18, 37.14368175864733, 310.15, 0.09445379112749654], [19, 35.98362774910695, 310.15, 0.09709574409999416], [20, 34.91025713820435, 310.15, 0.0996893594328284], [21, 33.91624718462546, 310.15, 0.10223086456684778], [22, 32.994977622408754, 310.15, 0.10471688811890163]]",49.08662533258299,681.6979411639579,410.49987492596966,100.47510246932026,56.82829800743502,69.78491084568448,4.5161579657172535,5.3538799945583175,0.6559608752142084,0.9986520578317212,285403.63497128856,119.18851394172168,4.80500306530138,"(0.0, 0, 0)",100.47510246932026,4.80500306530138,0.27044083132372876,0.0001279457444373896,0.27017994738814616,0.00013293819114524352,0.056755919357630205,4.601326607571946,5.344270168054007e-07,0.7373382289081669,0.0008788014274081121,4.075525465126097,0.6771722979237648,3.388722294036117,0.00963087316621427,0.00020322478300092067,0.00016775651420656442,0.001394850977133979,6.52064373725668e-11,5.648424759335454e-19,3.840647881737248e-11,2.6799957990351868e-11,1.93196793599221e-09,2.3024279138766022e-10,1.6806821625984265e-09,4.794630754062084e-11,4.728059585053734e-09,2.388218628451329e-08,0.00041151661493075276,0.09821106143644774,67.29421809944316,76.81190834819324,100.96336779519682
9,DAZMID,87.4592427117685,94.94633297680306,0.1791346970955799,0.5426172208838814,0.5100788169443946,-0.5100788169443947,0.0102515869190373,"[9674.334338404653, 1387.2001986453408]","[[364.42600136392366, 5972.458523941274], [108.09348300302166, 603.7497573302604], [9674.334338404653, 1387.2001986453408]]","[1188.4711445272974, 226.14640071923625, 25.49392288224178, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 62.21525332738158, 310.15, 0.04435908246579705], [2, 51.419417411687355, 310.15, 0.053006089459132426], [3, 43.34416201097594, 310.15, 0.061924815626767306], [4, 37.40423530013021, 310.15, 0.07082461808076307], [5, 33.0758439946125, 310.15, 0.07947460061916257], [6, 29.923445025486217, 310.15, 0.08768920297660707], [7, 27.54829286951118, 310.15, 0.0951127250074567], [8, 25.75391876418207, 310.15, 0.10162323230552277], [9, 24.394527076994628, 310.15, 0.10718896514889728], [10, 23.361897736136246, 310.15, 0.11184682214048092], [11, 22.575547352587087, 310.15, 0.1156776268847055]]",187.5441491564065,1489.3716827345845,1437.475751531837,576.218032131154,145.51297117855825,115.38888993756215,11.590118949515666,12.411371658760864,0.6348791946600153,0.5426172208838814,170717.37969156387,305.8820155731494,21.13215918678013,"(466.57168765102364, 5108.1097489387585, 2028.5604743153046)",576.218032131154,21.13215918678013,0.750209295076564,0.00021242266381437853,0.7498088538253087,0.00018801858744065886,0.07640849543059566,12.164883013896326,3.084759749113415e-07,1.1386064373377702,0.0015410491636745768,7.86475238043874,2.1165120047248522,5.724474814249086,0.023765561464801032,0.0002630224716225119,0.0002927415556409918,0.0026032938341520075,1.290519625253949e-10,8.363448620527334e-19,5.829113177762774e-11,7.07608299114223e-11,3.101304955887557e-09,5.748309214991557e-10,2.496748456187427e-09,1.1313759398010203e-10,8.227643191568199e-09,8.037626117668934e-08,0.0008983669226385092,0.12673105382674474,23.71671144417092,169.9025594769079,590.1297004241658
