,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,92.81268552882264,93.99085931437271,1.3892588326346025,4.110409504422348,0.096678506680877,-0.096678506680877,0.002774940140596,"[53046.28234551003, 4107.847010047408]","[[1579.4063310296483, 5116.352884726108], [1667.4918159690753, 2770.874066626944], [53046.28234551003, 4107.847010047408]]","[1216.747818460347, 265.76797359634367, 14.149023938183953, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.32931001847139, 310.15, 0.20931172025665978], [2, 90.26974034010188, 310.15, 0.22017334899523192], [3, 85.98852508989478, 310.15, 0.23032571967014007], [4, 82.35613562209384, 310.15, 0.23973590326971161], [5, 79.26609009398089, 310.15, 0.2483936632248849], [6, 76.63070023368523, 310.15, 0.2563073491523835], [7, 74.37759735073872, 310.15, 0.2634997312315508], [8, 72.4469035741628, 310.15, 0.2700041176891655], [9, 70.78893440485044, 310.15, 0.27586095311074715], [10, 69.36233625128426, 310.15, 0.2811149816974024], [11, 68.13257817533957, 310.15, 0.2858129806041282], [12, 67.07073076195296, 310.15, 0.2900020201059553], [13, 66.1524769042451, 310.15, 0.29372818250569366]]",42.181854268709806,114.82698033734673,604.6332034908942,86.37062027770132,84.19030862153338,,2.19674951217404,2.831994102466932,0.4253728620854413,4.110409504422348,100336.69926664104,61.39210338065429,0.0023370893908639,"(6013.820682136456, 0, 291.5557110394706)",86.37062027770132,0.0023370893908639,0.02591409136343579,0.0006049771827137263,0.02519956493531671,0.00010954924540528486,0.3057834316474529,2.2870944142264786,1.2389764644254512e-07,0.2852065783171604,0.00012203956962671295,2.000173667485752,0.06729466934880313,1.9225851219922452,0.010293876144704677,1.9572453463291265e-05,3.412169213134563e-05,0.0002836968731213986,2.018055060504319e-11,1.1805922207803034e-19,1.5123447105525048e-11,5.0571033814589225e-12,3.780928499888682e-10,6.684652553632218e-11,3.05146744641796e-10,8.267799480905785e-12,1.3126487107328016e-09,7.454349288862402e-09,7.058610456378411e-05,0.13593632123330418,91.55517159877222,84.19030862153338,86.43006522841011
1,AlTCPP,94.19442812628526,95.35218861577846,1.9707279553446984,5.356526073998545,0.0789969295867694,-0.0789969295867694,0.0026997415985557,"[74659.2847151176, 4601.544402102424]","[[1673.5572902486476, 5448.14542110912], [1828.8644409876215, 3088.83441997632], [74659.2847151176, 4601.544402102424]]","[1324.481677346698, 372.6019020646166, 15.048954356262236, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.63084346842336, 310.15, 0.20831996737878647], [2, 90.79280743603111, 310.15, 0.2182469190102013], [3, 86.66932559877856, 310.15, 0.22754148512043748], [4, 83.14427561536748, 310.15, 0.23618341021782469], [5, 80.12214048782684, 310.15, 0.24416879065640204], [6, 77.52411303284438, 310.15, 0.2515070812432157], [7, 75.28496061168171, 310.15, 0.2582181473887596], [8, 73.35050164755538, 310.15, 0.26432954781565166], [9, 71.6755736572092, 310.15, 0.2698741530191267], [10, 70.22239563462907, 310.15, 0.2748881427442567], [11, 68.95924652052962, 310.15, 0.2794093824154594], [12, 67.85939688665829, 310.15, 0.2834761513420539], [13, 66.90024345620094, 310.15, 0.287126181021363], [14, 66.06260617459881, 310.15, 0.29039595629938453]]",50.401919346528224,94.21179879224944,501.8977457769461,70.94589145866927,69.46691680064983,,1.794984971228441,2.4285960925441388,0.4203437756409662,5.356526073998545,101181.46667096726,56.41116349665536,0.0019213282027477,"(4985.605013397118, 0, 250.9983981786513)",70.94589145866927,0.0019213282027477,0.021383299600017544,0.0004995465259805937,0.020793297840048998,9.045523398789418e-05,0.25249616149580834,1.888646282180979,1.0219456273083266e-07,0.2354808608799667,0.00010130147291043478,1.6513994428760093,0.0555514107499817,1.5873509055597639,0.008497126566264118,1.6158499576922226e-05,2.8444863175708736e-05,0.00023741657986795913,1.6632732805184056e-11,9.745436718843393e-20,1.2470255967525098e-11,4.162476740204599e-12,3.1196259466054266e-10,5.5132536799992134e-11,2.5181573906606745e-10,6.8041608097170744e-12,1.0834989107652967e-09,6.042382382810328e-09,5.8963301418804824e-05,0.11225046427051275,93.3132441990899,69.46691680064983,70.98480617820762
2,AlTCPP-FF2,98.28010177742014,98.52250101006452,1.2234327449516913,3.754392509447237,0.1006342721305936,-0.1006342721305936,0.0024800354516803,"[46348.66694178997, 811.0999932892336]","[[317.2893062435149, 1114.7983495258766], [206.89463307543656, 288.2080100433578], [46348.66694178997, 811.0999932892336]]","[1173.1213160966345, 232.66165079586253, 3.62884437495266, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.93819263753613, 310.15, 0.2884424527534982], [2, 62.71717784226516, 310.15, 0.316371361096122], [3, 60.89928719806629, 310.15, 0.32558843612323335], [4, 60.3056313577698, 310.15, 0.3287162853671348], [5, 60.10479427656743, 310.15, 0.3297881519309361]]",4827.026604321984,123.21211553423032,624.7258362524751,90.11462910060996,87.77000442886232,,2.286633252834452,2.916456860507308,0.4067110348644084,3.754392509447237,100063.27267261026,63.0042884869679,0.0024107160496495,"(6186.373008755127, 0, 299.6711262692922)",90.11462910060996,0.0024107160496495,0.026783173485999724,0.0006236182896835099,0.02604662501271298,0.00011293018360316248,0.3152017474957723,2.3585021051277546,1.2794414863012407e-07,0.2940434888789755,0.00012675452323183264,2.0621567835491947,0.0694372943711765,1.9821032152193665,0.01061627395865216,2.0180526572622938e-05,3.5600610094167356e-05,0.0002973631732797783,2.0849799758506577e-11,1.2175542577268797e-19,1.561407492008203e-11,5.235724716669128e-12,3.901088750907425e-10,6.905270714177876e-11,3.1472726697263476e-10,8.572842468708727e-12,1.35533850619476e-09,7.889529612062512e-09,7.389826264287518e-05,0.14011635924378754,95.88375577323738,87.77000442886232,90.18545717427513
3,Ca-SQA,97.9809267684105,98.17746700329624,1.3972755065611515,3.4581290349653155,0.0935497865190938,-0.0935497865190938,0.0025140824956087,"[101404.4918680202, 2089.6219483368523]","[[860.707311172793, 2803.6169145954236], [943.7775363074145, 1429.539459405522], [101404.4918680202, 2089.6219483368523]]","[1454.5992277210091, 509.6154518440807, 8.152954951109038, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.83007708915426, 310.15, 0.22091588489600644], [2, 80.44844661578664, 310.15, 0.24016001327519138], [3, 74.6916077359651, 310.15, 0.2557014072106666], [4, 70.80799100465839, 310.15, 0.2681944211097], [5, 68.14065852232059, 310.15, 0.27825611066674205], [6, 66.1600710423288, 310.15, 0.28624153462355034], [7, 64.67838123128575, 310.15, 0.29252868631912304], [8, 63.56323758121092, 310.15, 0.2974497718662306], [9, 62.71994077152089, 310.15, 0.3012849511131348]]",150.62044926378752,84.7648787845549,569.6814622042252,78.32112296158621,76.41920470002619,,2.125658069772957,2.7560653779625284,0.408102279666349,3.4581290349653155,100126.64243069648,62.63064604542168,0.0022459918896243,"(5767.308421473963, 0, 282.8661775771046)",78.32112296158621,0.0022459918896243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.41920470002619,0.0
4,CALF20,97.17130602624206,97.54615001845148,1.17157284021823,3.0489313697438467,0.0897698649659807,-0.0897698649659807,0.0025479414909887,"[87498.63179462976, 2547.118718386808]","[[1062.7390219472713, 3393.1119020015913], [1035.1007635223034, 1592.0809277127146], [87498.63179462976, 2547.118718386808]]","[1383.3247499893614, 436.69592835738933, 9.798000706152706, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.22949995040474, 310.15, 0.21752382080010732], [2, 83.83909599040356, 310.15, 0.23486387974769174], [3, 78.35129696211979, 310.15, 0.24977805740262995], [4, 74.22543864776794, 310.15, 0.262388805513803], [5, 71.09035386472596, 310.15, 0.27291277448326867], [6, 68.68658359215482, 310.15, 0.2816074456201364], [7, 66.82960492266865, 310.15, 0.2887358295371652], [8, 65.3860564029118, 310.15, 0.2945458395314097], [9, 64.25811810531052, 310.15, 0.2992599979956496], [10, 63.37308002929424, 310.15, 0.3030717315548067], [11, 62.67625874939975, 310.15, 0.3061455148336486]]",105.9651669551207,91.60877638993128,558.9363365077047,77.39870722054853,75.58754658017489,,2.0397698913873894,2.6708279476012504,0.4106856148723145,3.0489313697438463,100913.693397315,57.99001534602008,0.0021623479123127,"(5596.171469451603, 0, 276.02278417540896)",77.39870722054853,0.0021623479123127,0.024093924948555265,0.0005611133029434599,0.023431190213756215,0.00010162143185552615,0.28358761602434013,2.124331814915551,1.1546995835202375e-07,0.26462530641864923,0.00011741176234573552,1.855293773092126,0.06258521618730509,1.7831555064786762,0.009553050426144967,1.8152052179928826e-05,3.364858137624194e-05,0.0002862577664734137,1.8659905106174445e-11,1.096171271551796e-19,1.4007310654873513e-11,4.6525943416838094e-12,3.5124006995342965e-10,6.199482160721599e-11,2.835521154088263e-10,7.730299293993608e-12,1.221040165377451e-09,7.045008351647064e-09,7.062744540367927e-05,0.12606241700420864,95.19588040088641,75.58754658017489,77.4537104671577
5,CAU10,93.52436516908544,95.4760356765415,1.7955319620549128,4.53230609691054,0.0856027904225497,-0.0856027904225497,0.0027412213378874,"[97420.83187334932, 6745.426509927974]","[[1812.8571941887976, 6130.354523004858], [2663.1998371639343, 4892.3786531938185], [97420.83187334932, 6745.426509927974]]","[1426.1867855315054, 472.87899066191153, 16.4769739437745, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978], [1, 96.49033695472005, 310.15, 0.20571615109577945], [2, 92.30099209166576, 310.15, 0.21318671839218398], [3, 88.65683049273079, 310.15, 0.22020838498051581], [4, 85.47563609105545, 310.15, 0.22678412348604704], [5, 82.68950105364878, 310.15, 0.23292207829384454], [6, 80.24201541221052, 310.15, 0.23863451560307436], [7, 78.08606502910582, 310.15, 0.24393686941073833], [8, 76.18209524705507, 310.15, 0.24884689848939104], [9, 74.4967334105997, 310.15, 0.25338395939457686], [10, 73.00168971686212, 310.15, 0.25756839332621617], [11, 71.67287524915426, 310.15, 0.26142101987373234], [12, 70.48969047011617, 310.15, 0.2649627278189054], [13, 69.43444825019515, 310.15, 0.2682141517810791], [14, 68.49190364653926, 310.15, 0.27119542314808986]]",43.89308777669733,86.61812730238172,549.5656818298924,73.49185772458539,71.83301812560346,,1.9450847407293312,2.578602039674177,0.4216501664536861,4.53230609691054,103848.00131410232,40.688671497038335,0.0020840067866258,"(5550.250844468561, 0, 274.00787013158737)",73.49185772458539,0.0020840067866258,0.023058810205493593,0.0005409067173156671,0.022419963843430174,9.793964474769218e-05,0.2734022371351687,2.044714759397118,1.1055534313035682e-07,0.2549421929263603,0.00010900396446833157,1.7878214240299035,0.060110831978347386,1.7185136131451912,0.009196978906365741,1.749013593002751e-05,3.049097493984874e-05,0.00025347964143214533,1.794527174350245e-11,1.0548877239007142e-19,1.3488784130030877e-11,4.456487507982811e-12,3.377643241828196e-10,5.949038569922744e-11,2.728609888629144e-10,7.349229125921895e-12,1.1711188430643621e-09,6.466275475405409e-09,6.301626072160467e-05,0.12154808295936192,93.2744718907032,71.83301812560346,73.52849780109393
6,CAU21,86.69355515292509,90.82374406072104,0.269483410547826,0.956045501832758,0.3478792996290513,-0.3478792996290514,0.0029901001503753,"[14665.274171192246, 2250.947738640725]","[[769.7266103079884, 2540.1778039215446], [516.7294263607014, 924.3191576565157], [14665.274171192246, 2250.947738640725]]","[1014.742787986969, 70.47671001705334, 7.4352570440962475, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978], [1, 87.44535145361192, 310.15, 0.22281857135994854], [2, 78.61441459739667, 310.15, 0.24288683880776862], [3, 72.82207803891725, 310.15, 0.2584328754692412], [4, 68.93283106661166, 310.15, 0.27019095425482603], [5, 66.27477390351132, 310.15, 0.2789404543303137], [6, 64.43401916267244, 310.15, 0.28537943553178274], [7, 63.146785412503164, 310.15, 0.29008221881624274], [8, 62.24018613888927, 310.15, 0.2934990037976614], [9, 61.59879008480024, 310.15, 0.29597319852915616]]",39.89050149391683,320.77191798389373,2121.9837081474666,298.99190428715366,272.8437011641398,,7.90458715170374,8.544081990753673,0.4435883995624935,0.956045501832758,97928.81673421116,75.58952397281168,0.0086486190256054,"(21720.639817019288, 0, 917.0370291901128)",298.99190428715366,0.0086486190256054,0.09001735080258157,0.0020966365350084696,0.0875410352896376,0.0003796789779352696,1.0597015122520619,7.930124510356221,4.3109837584816487e-07,0.9886112561754409,0.00042366783399243416,6.932877893183642,0.23353700880383005,6.6636375616186765,0.03570332276113843,6.783762975396128e-05,0.00011841872917724151,0.000984733639667617,6.994005652251164e-11,4.0950029821845857e-19,5.2510561372572186e-11,1.7429494740439177e-11,1.3123102263719852e-09,2.3155623381996663e-10,1.0592701035962724e-09,2.9046133960796812e-11,4.554790335851949e-09,2.7614791889241177e-08,0.000245177852434959,0.47104455730218286,82.64803123040323,272.8437011641398,299.8339599164677
7,CuAlPyC,96.33839316727764,97.5082360866962,1.3258516402561986,3.4595418980165067,0.0948684226247364,-0.0948684226247364,0.002583383594486,"[89742.76829877, 3410.9218846906247]","[[1003.137799242667, 3375.569172622344], [1193.764218010826, 2106.3598190954376], [89742.76829877, 3410.9218846906247]]","[1379.6814854761274, 433.2593346425476, 9.59132990776051, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.10469052754483, 310.15, 0.21381900206460447], [2, 83.72011960267682, 310.15, 0.22751745335982532], [3, 78.27588668089365, 310.15, 0.23906260102580068], [4, 74.19618136609124, 310.15, 0.2486847474692782], [5, 71.09843598831769, 310.15, 0.25663561098317794], [6, 68.7207049978336, 310.15, 0.2631620066008372], [7, 66.97900512346324, 310.15, 0.2685420921549354], [8, 65.65825384078704, 310.15, 0.2730114503250247], [9, 64.59698757070346, 310.15, 0.27672573734833805], [10, 63.741135456056675, 310.15, 0.2798047708063547]]",109.61945394599506,91.87972151793976,605.2795955321983,80.2215067702368,78.23388382793408,,2.1556203987461084,2.786763827206233,0.4125916151910173,3.459541898016507,104175.84916425486,38.75560634283694,0.0022927566358658,"(6125.483135619029, 0, 297.7341144645979)",80.2215067702368,0.0022927566358658,0.025445490219172504,0.0005942921307622437,0.024743317520341934,0.00010788056806826592,0.3002258891689064,2.2474164023144434,2.1241372482506344e-07,0.28150971640569555,0.00012611745128923477,1.9974354180957286,0.06971973077388921,1.9175664503814691,0.01014923694037055,1.9506815285804145e-05,3.4906220953769435e-05,0.000295210673169958,2.0399728700355084e-11,1.1623057252619276e-19,1.5486877176204673e-11,4.912851407919849e-12,4.20797472511095e-10,6.567435603661992e-11,3.4677404466835047e-10,1.0492243838239264e-11,1.297942770997604e-09,7.1125605663638885e-09,7.307284990645482e-05,0.13345956417627222,95.02709121906341,78.23388382793408,80.2765602567767
8,CuAlPyC-FF2,95.17356204060064,97.02961246117808,1.131271429599298,3.105183253294914,0.1029688532618326,-0.1029688532618326,0.0026278706573179,"[76572.23983969307, 3883.1284347734045]","[[1001.866009021548, 3324.91248976337], [1210.460256311293, 2120.0297468922695], [76572.23983969307, 3883.1284347734045]]","[1311.5416432302525, 365.1835347929678, 9.527287511465298, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36204475941642, 310.15, 0.2156575715370345], [2, 82.79457839726983, 310.15, 0.23040714791377775], [3, 77.68217042722316, 310.15, 0.2423186961660172], [4, 73.9634696317394, 310.15, 0.25213346345689863], [5, 71.10898520083123, 310.15, 0.26030743392421785], [6, 68.8899818729307, 310.15, 0.267091945194759], [7, 67.1474754971883, 310.15, 0.27270863055783995], [8, 65.76800281205672, 310.15, 0.2773492498150391], [9, 64.668761640601, 310.15, 0.2811775053304848], [10, 63.78817439439424, 310.15, 0.2843318034342452]]",79.09616962996371,100.88255361211507,663.2300569236721,87.04525185020118,84.70894307643195,,2.3396800999284846,2.971240907358812,0.4156242969127918,3.105183253294914,105233.92752698444,32.516936751270975,0.0024889709387853,"(6717.241237070708, 0, 321.34750281884976)",87.04525185020118,0.0024889709387853,0.027585031405615648,0.0006438330231531661,0.02682431471599003,0.00011688366647238524,0.32524681809557787,2.4349395427406857,2.3298993335590042e-07,0.3050342636644505,0.00013686291992794585,2.1650752500843624,0.07566144098856695,2.078415496649735,0.010998312446061018,2.114341742177405e-05,3.7867439564497785e-05,0.0003204127437052189,2.2136407465812536e-11,1.2594835324183382e-19,1.680735396484296e-11,5.329053375021232e-12,4.575380653801425e-10,7.119718243038183e-11,3.772083228733997e-10,1.145676873352344e-11,1.4069702073335019e-09,7.774200017823454e-09,7.931356250791155e-05,0.14457964224022646,94.35304755416176,84.70894307643195,87.11192835593413
9,DAZMID,45.970652146937006,78.15105804615861,0.0354855683273961,0.1349627605585827,2.378948313153616,-2.378948313153616,0.0054338459040075,"[1916.4308073960738, 2252.382811498311]","[[252.6450235141943, 1061.0519711626475], [22.62096929374439, 114.88986112819724], [1916.4308073960738, 2252.382811498311]]","[946.542923765813, 6.311032017291286, 3.4010708227023874, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.77873848184838, 310.15, 0.16633137159967673], [2, 61.3346022182996, 310.15, 0.16098544531807232], [3, 60.267451452337035, 310.15, 0.15991110326145422], [4, 60.05378838721952, 310.15, 0.15969489494423603]]",91.728187963752,3113.673116504773,20806.39153021789,4463.847833821662,1830.4657401319264,,54.05496760161637,54.72271543119355,0.5489537412615627,0.1349627605585827,64217.9478293648,274.35643968534924,0.1298288237003597,"(213817.32182281278, 0, 8571.114576014592)",4463.847833821662,0.1298288237003597,0.608092844325305,0.014144570849570964,0.591386757096112,0.002561516379620621,7.149012871327322,53.50646280920316,2.9120028484536742e-06,6.670210275822919,0.002860051967413807,46.77701985661658,1.5763638482103295,44.95970536010785,0.24095064829842466,0.0004577344144363113,0.0007992944643401795,0.00664723956579437,4.726153330575376e-10,2.7635624230724226e-18,3.54698814685527e-10,1.1791651560844844e-10,8.859760983379532e-09,1.5641598003517294e-09,7.149965491513151e-09,1.9674695782893394e-10,3.075309739036035e-08,1.8980992231663112e-07,0.001655619760909191,3.177679122080237,30.62795887183801,1830.4657401319264,4670.661695320807
