,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,43.60845871954987,89.24420076633895,0.1559566597573297,0.5158024793745138,0.6074550752821084,-0.6074550752821083,0.0066856270197812,"[5954.916976457956, 7700.500232287234]","[[366.20569059687443, 6789.889141313237], [258.28475460895476, 2950.29885132993], [5954.916976457956, 7700.500232287234]]","[1088.4863830185932, 136.57224400083592, 15.083318091937802, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.89257329912792, 310.15, 0.04537305414938841], [2, 91.17314994484688, 310.15, 0.04746299608431468], [3, 87.07437305673598, 310.15, 0.04945493532239389], [4, 83.51533330132453, 310.15, 0.05133723847972833], [5, 80.42531710911237, 310.15, 0.05310161164822066], [6, 77.74264548155763, 310.15, 0.05474299312095335], [7, 75.41360831418001, 310.15, 0.056259295878490385], [8, 73.39149629694283, 310.15, 0.05765104531996814], [9, 71.63572955238169, 310.15, 0.058920957203603984], [10, 70.11107968640678, 310.15, 0.06007349544963924], [11, 68.78698004636286, 310.15, 0.06111444139240816], [12, 67.63691773101851, 310.15, 0.06205049707230875], [13, 66.63790021137729, 310.15, 0.06288893659762203], [14, 65.76998919248973, 310.15, 0.06363731232008235]]",63.24129161153438,2147.2567273891914,5766.023059755768,662.1862767315855,371.041724396002,294.14462902326403,13.802722922669687,14.505257586364554,0.598736806880648,0.5158024793745138,273603.8380856049,117.47595769095555,7.1765654047392005,"(58368.35775198229, 0, 2724.4239088020213)",662.1862767315855,7.1765654047392005,0.11385059844446185,0.0025926455814846688,0.11078819555975268,0.00046975730322420595,1.3102303074327908,9.824351895805668,5.42780294084797e-07,1.224730396583488,0.0005290720777190477,8.591383888657788,0.29118975768999783,8.255797000815184,0.0443971301526123,8.416480380952193e-05,0.0001475402632873744,0.0012285293991956226,8.931051307676611e-11,5.090609293403753e-19,6.634024136321015e-11,2.2970271204495062e-11,1.6420299749825593e-09,2.9385253593607976e-10,1.3198094376469028e-09,3.7954680274971285e-11,5.7114081684102115e-09,4.310471951576302e-08,0.00030768638019172114,0.5821213875900456,79.08369510139356,430.2297578320757,668.2123636248449
1,AlTCPP,43.57036166562604,90.30298825805517,0.2002126945880259,0.6409937853170118,0.4933042169821874,-0.4933042169821874,0.0068110460981845,"[7584.88076869738, 9823.468574157214]","[[371.4395828615668, 7089.82612054403], [351.62443677860716, 4215.748898715546], [7584.88076869738, 9823.468574157214]]","[1124.4503722612994, 171.9726324484696, 15.646918887010521, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.09709378607812, 310.15, 0.04496248046133769], [2, 91.55441228126976, 310.15, 0.04663772408150462], [3, 87.60344870871604, 310.15, 0.04821920318018332], [4, 84.16385059426666, 310.15, 0.04970264078025642], [5, 81.16658469904318, 310.15, 0.05108584877959184], [6, 78.5523316653473, 310.15, 0.052368504342763494], [7, 76.27009256379439, 310.15, 0.05355188865863477], [8, 74.30172456932114, 310.15, 0.05464478377820466], [9, 72.74079323040255, 310.15, 0.055686267179337244], [10, 71.35291300793304, 310.15, 0.05664921044094266], [11, 70.11840824784439, 310.15, 0.05753665575157106], [12, 69.0199253622092, 310.15, 0.0583520896503721], [13, 68.04214525187147, 310.15, 0.05909931233516855], [14, 67.17153321488945, 310.15, 0.05978232240916797]]",66.12811024387845,1772.2246877695577,4118.316214196705,489.5374217312544,274.41873824349017,250.57913270853484,11.208962935123257,11.906390512817453,0.5920737984992768,0.6409937853170119,285033.70092842274,99.64636357380463,6.774713435058972,"(39885.17314150047, 0, 1988.710923459441)",489.5374217312544,6.774713435058972,0.08525694499954849,0.0019294568538737054,0.08297785058831955,0.00034963755735502387,0.9750486203022225,7.317957230285423,4.057256791535944e-07,0.9118300325646096,0.0004000509613755689,6.3965348634700465,0.21722398102482843,6.146229259168913,0.033081623276307294,6.267564233655682e-05,0.0001125904185313102,0.0009463568726334753,6.68473213944812e-11,3.7930449568422624e-19,4.957034192291869e-11,1.7276979092258056e-11,1.2249430231912596e-09,2.1983045746180357e-10,9.836756960889105e-10,2.8636552941421484e-11,4.267209374903508e-09,3.3696450320722697e-08,0.00023644912367212924,0.4331503090267622,82.60403135484329,332.9365761158364,493.10125654695224
2,AlTCPP-FF2,37.64894441313522,91.56035001253444,0.0690287435198177,0.2484601820867532,1.2582805710159657,-1.2582805710159657,0.0069485035377634,"[2615.0928655556013, 4330.899661776]","[[89.05428992963405, 1749.4159899452945], [48.696626556128486, 578.4766978549592], [2615.0928655556013, 4330.899661776]]","[1000.1742516013105, 58.93100117715272, 4.4124294983384855, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776634094, 310.15, 0.053322349341374815], [2, 66.94008710319693, 310.15, 0.058324091757597216], [3, 63.21728676930547, 310.15, 0.06076851857763931], [4, 61.5284341643577, 310.15, 0.06195874602647655], [5, 60.73444902858327, 310.15, 0.06253742948791988], [6, 60.35484437345824, 310.15, 0.06281859989105669]]",94.39059174771778,4497.056166533057,15995.908856924249,2013.3221835314512,935.8375905685812,564.6840561362118,28.590917727778027,29.27387223359068,0.5816293924888395,0.2484601820867532,229338.0573774617,186.3706482913545,9.283494419919313,"(173073.86355924248, 0, 7293.3701330363965)",2013.3221835314512,9.283494419919313,0.28169422623466933,0.006454870603932785,0.274070014091981,0.0011693415387548,3.262220647094097,24.45103913127657,1.3427796331400774e-06,3.0474037991987046,0.0013267209881991694,21.375028009190437,0.7231819701355461,20.541521332242578,0.11032470681232426,0.00020932405699236421,0.0003730603440212071,0.003127148699329179,2.2015285472915357e-10,1.2651017606708728e-18,1.6396463557194575e-10,5.6188217892106135e-11,4.0713635974011795e-09,7.262121455513666e-10,3.276168621971503e-09,9.268965908660283e-11,1.4166298288808782e-08,9.905613155827056e-08,0.0007794948220961348,1.4496148092889967,65.76832806197805,993.8212051141891,2066.4195777771756
3,Ca-SQA,77.99185409358475,97.5083136502178,0.2687361659510246,0.6911884732518656,0.3317347714662613,-0.3317347714662613,0.0033171780124787,"[19502.992950825734, 5503.455706521879]","[[248.48228270050907, 4532.084760975497], [177.7477375321045, 1862.9004347575953], [19502.992950825734, 5503.455706521879]]","[1399.6908728412122, 452.4626826990916, 10.397369216301321, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.4299049382681, 310.15, 0.047016352552860664], [2, 85.51299777915175, 310.15, 0.05052003348048241], [3, 80.11456196429035, 310.15, 0.05366575328090209], [4, 75.88745889305505, 310.15, 0.056434882636116235], [5, 72.56805464273741, 310.15, 0.058831022017023706], [6, 69.95499194383049, 310.15, 0.06087416673393083], [7, 67.8936340466841, 310.15, 0.06259482437741941], [8, 66.26461139507256, 310.15, 0.06402894161337302], [9, 64.97534220155042, 310.15, 0.06521401361726217], [10, 63.95371581007731, 310.15, 0.06618640141232264], [11, 63.14335601912507, 310.15, 0.06697968885892049]]",169.6895491418168,919.3859962298708,1426.776909274569,231.9745587405917,113.5553904841263,170.4232751515821,7.537747762231622,8.179924866842356,0.4645964967254211,0.6911884732518654,290770.4139511856,89.08569932181243,6.042491493039863,"(10730.082359916645, 0, 806.0240326246944)",231.9745587405917,6.042491493039863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,169.76134951603473,0.0
4,CALF20,62.10728832856262,94.70331355234192,0.1576786181009417,0.4642744446958506,0.4407931187073899,-0.4407931187073899,0.0044139274058312,"[11776.189130955298, 7184.853039580955]","[[318.59362254486814, 5809.777776080005], [250.5402769440615, 2694.826726754708], [11776.189130955298, 7184.853039580955]]","[1222.6454237326311, 272.7054423258843, 13.109160480927637, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.60935485385639, 310.15, 0.04605841472864515], [2, 89.02899641756949, 310.15, 0.048754720846893904], [3, 84.38119636144582, 310.15, 0.051267133048587155], [4, 80.50193648193657, 310.15, 0.05358188612556861], [5, 77.25797659538284, 310.15, 0.055692649706698655], [6, 74.54065483760654, 310.15, 0.05759954021631372], [7, 72.26102238182197, 310.15, 0.05930791429437345], [8, 70.34600940434431, 310.15, 0.06082710417469098], [9, 68.73539086237307, 310.15, 0.06216921599694887], [10, 67.37937489795638, 310.15, 0.06334806887502137], [11, 66.23667777980373, 310.15, 0.06437831401309725], [12, 65.27298051762973, 310.15, 0.06527474338010508], [13, 64.45968608154183, 310.15, 0.06605177732205982]]",101.41559544214324,1320.7693857110205,3118.2815905539283,384.4578509349717,211.09763517733168,216.2708497162276,10.015794634544804,10.689983785908986,0.5194267446257474,0.4642744446958508,283311.73354261863,101.22552656271397,6.483025804231449,"(29240.957627979733, 0, 1553.3924157885276)",384.4578509349717,6.483025804231449,0.07062827693879921,0.0015793613293896903,0.0687625591914112,0.0002863564179981415,0.7979076284934926,6.0138073602107305,3.3824767043090135e-07,0.7475270341284704,0.00035464178225759246,5.240617988157265,0.17946142268841597,5.0339852451889415,0.027171320279908158,5.1348755514686955e-05,0.00010473547297414075,0.000919413557036367,5.485397574638689e-11,3.1190327265593103e-19,4.0736774167479096e-11,1.4117201267004525e-11,1.0109416062936845e-09,1.8122838782775962e-10,8.114972343348282e-10,2.433448008647436e-11,3.53119561123003e-09,3.059219041698134e-08,0.00022629606888893881,0.3543490212453393,88.01458169574518,268.64834089523436,387.2258519387018
5,CAU10,38.90180962862574,88.26771902472196,0.2081699033436282,0.6169142597591221,0.4930195811574475,-0.4930195811574475,0.008279028894733,"[11294.750293122743, 17739.24684209419]","[[526.2858639004362, 10182.749299262365], [880.0537813302602, 10439.643517226292], [11294.750293122743, 17739.24684209419]]","[1214.7744037067223, 256.5827563307376, 21.360826450165376, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.18267171660278, 310.15, 0.04432672284430557], [2, 95.42162384989456, 310.15, 0.04541484813852424], [3, 92.95806213097077, 310.15, 0.04646956010937125], [4, 90.67696753221298, 310.15, 0.047493951220609114], [5, 88.56363371512211, 310.15, 0.04848707787824171], [6, 86.6046555436046, 310.15, 0.049448204086504396], [7, 84.78780437219221, 310.15, 0.05037679195826446], [8, 83.101915849026, 310.15, 0.051272490768593235], [9, 81.53678898232269, 310.15, 0.0521351248762246], [10, 80.08309533455201, 310.15, 0.052964680821989595], [11, 78.73229731589966, 310.15, 0.05376129389188949], [12, 77.47657464778698, 310.15, 0.05452523440676719], [13, 76.3087581584398, 310.15, 0.055256893971998365], [14, 75.22227015601003, 310.15, 0.05595677189055195], [15, 74.21107070092026, 310.15, 0.056625461912302784], [16, 73.26960916832806, 310.15, 0.057263639462564124]]",39.255362985822266,1354.8287814364503,3906.522749083304,448.17518977015527,243.78485388661227,236.7993405822248,11.20249537960744,11.917492193473963,0.6219227080251751,0.6169142597591222,284540.90590583446,100.79341676309208,6.91134295220463,"(39673.519986047555, 0, 1985.1033026553773)",448.17518977015527,6.91134295220463,0.08441118214555683,0.0019328413866854246,0.08212815146856307,0.00035018929030811565,0.9767802151225697,7.326358353831017,4.0468218328058583e-07,0.912947919482716,0.0003944659400149282,6.403746721986561,0.21705495340557213,6.15360410784368,0.03308766073731032,6.271307080460611e-05,0.00011005677278405968,0.0009164502623398826,6.622418753709106e-11,3.7944519731292846e-19,4.942574999195438e-11,1.67984371656915e-11,1.2251753081396517e-09,2.1796844558609843e-10,9.860436342708353e-10,2.833687856833775e-11,4.250836373666469e-09,3.224844163861033e-08,0.00022941895260067584,0.43397565990472126,80.81693651655331,303.1620748579926,450.78737786321796
6,CAU21,27.90977601439265,81.412734340604,0.0327203677433797,0.11948325089952,2.649230255289505,-2.6492302552895057,0.0104872870619346,"[1780.6408304074014, 4599.348853096871]","[[199.4062759047763, 3820.7666786025147], [109.10108088496061, 1387.945688067954], [1780.6408304074014, 4599.348853096871]]","[985.8563688999895, 40.15142685659151, 8.874121117578767, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.23084060487575, 310.15, 0.046743340850633384], [2, 82.4430007589862, 310.15, 0.04981012856071383], [3, 76.73514310609825, 310.15, 0.05238567219689284], [4, 72.52372851229151, 310.15, 0.05450220153632288], [5, 69.3989707181122, 310.15, 0.05621106431029808], [6, 67.06980100865145, 310.15, 0.057571398741048226], [7, 65.32721468544891, 310.15, 0.058642239746866394], [8, 64.01964441051503, 310.15, 0.0594778410811833], [9, 63.03622339619739, 310.15, 0.0601254550178161], [10, 62.29526158683833, 310.15, 0.06062474032439984]]",41.085846034547984,6764.856912721702,36196.221000957135,14718.801967503276,1942.2625225238887,1058.664658778828,60.196371155731335,60.96420904226848,0.7073454771808103,0.11948325089952,125038.06282317352,354.7982311355053,35.795707756766724,"(414029.2903563991, 0, 16921.05386483123)",14718.801967503276,35.795707756766724,0.6355756764186142,0.01470438792386099,0.6182080490559939,0.0026632394387577363,7.431670174941719,55.655299298117406,3.0428859059007007e-06,6.937231061843363,0.0029810553155199793,48.65166645692984,1.6423298187063087,46.75849362739355,0.2508430108299871,0.0004761802092315829,0.0008326289554188071,0.006926756091210211,4.944825979986451e-10,2.8769156795127764e-18,3.705849688469803e-10,1.2389762627474938e-10,9.237484907551895e-09,1.6341641335916528e-09,7.448942268272423e-09,2.0791029600549884e-10,3.20743615436536e-08,2.1231622244303623e-07,0.001727728891579876,3.302868644471383,29.66878064298567,2003.540320064368,17641.160905177625
7,CuAlPyC,58.7104190392673,94.9445031599304,0.2631979621870321,0.697545841403855,0.3387162673784042,-0.3387162673784042,0.0048873504790482,"[17815.050357138796, 12528.8828810545]","[[349.8822637802766, 6783.513418505958], [514.2649300236717, 6148.871755931482], [17815.050357138796, 12528.8828810545]]","[1358.3518209590163, 406.5736196433189, 14.947380389878075, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.69333095191388, 310.15, 0.04490236030406783], [2, 90.90060822174985, 310.15, 0.04648836116983304], [3, 86.80723453979087, 310.15, 0.047957622364229076], [4, 83.29964266538661, 310.15, 0.049311755111209436], [5, 80.28494537439185, 310.15, 0.050553977919230206], [6, 77.68676652897598, 310.15, 0.051688750788813194], [7, 75.7026792100917, 310.15, 0.052725259737388556], [8, 74.15199297450349, 310.15, 0.05368312942442457], [9, 72.76151087452561, 310.15, 0.05457555886809113], [10, 71.51343265754947, 310.15, 0.055405141697518194], [11, 70.39215200261654, 310.15, 0.05617468980137694], [12, 69.38394999959206, 310.15, 0.05688716547649938], [13, 68.47673723793132, 310.15, 0.05754562171898066]]",102.10750870164446,988.4652522059628,1627.1641937418528,250.1759512531184,124.24744227916705,177.7877096427184,7.696382791523801,8.373841583493888,0.5271422807700813,0.6975458414038551,294741.5544537064,83.75082238830082,6.198595917906857,"(12855.29629118642, 0, 904.2662488678986)",250.1759512531184,6.198595917906857,0.044901180131675426,0.0009954712904951463,0.0437237623160145,0.00018194652516566936,0.5021250895293687,3.786294882740283,7.087005926479664e-07,0.4786699802931218,0.00023987319737792497,3.485400490821169,0.13277647430018424,3.3352481581977873,0.017375858323196117,3.39732487035753e-05,6.480624742363287e-05,0.0005675880791882308,3.870748113572414e-11,1.9825035952919296e-19,2.9599191952649014e-11,9.108288984824781e-12,9.097146164002488e-10,1.1620852415754284e-10,7.687575782006341e-10,2.8633191828177484e-11,2.2777885405186327e-09,2.0366954403356492e-08,0.00014083681998479228,0.2229022801638708,90.68138292103394,181.3606303150621,251.43751455344682
8,CuAlPyC-FF2,41.30418153566223,90.67733037134607,0.1564090467500701,0.4727751770869823,0.5517167602827366,-0.5517167602827366,0.0074247560343425,"[10586.841254433788, 15044.561816204612]","[[403.45130756735176, 7877.9895095194215], [595.531907810994, 7443.126816906283], [10586.841254433788, 15044.561816204612]]","[1190.994357549904, 237.08961801465745, 17.073918609427132, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44266266743384, 310.15, 0.04460215985638259], [2, 92.29168123447049, 310.15, 0.04590020616321755], [3, 88.72830224406385, 310.15, 0.047103034307792675], [4, 85.79556569501072, 310.15, 0.04822310845813498], [5, 83.44298816933848, 310.15, 0.04928065079424254], [6, 81.31952167983368, 310.15, 0.050282120187035165], [7, 79.39910931743171, 310.15, 0.0512282247941837], [8, 77.6187911504269, 310.15, 0.05211821994579737], [9, 76.01326227254452, 310.15, 0.05295281850035138], [10, 74.5635352636885, 310.15, 0.05373408546759204], [11, 73.25296904962558, 310.15, 0.054464222914759816], [12, 72.08228805576339, 310.15, 0.05514620150477973], [13, 71.06566267605125, 310.15, 0.05578490687445802], [14, 70.13695026163566, 310.15, 0.0563830079225097]]",49.08662533258299,1470.6323088708862,4897.43501070231,521.4539398302154,289.56509354782446,259.8323449718927,12.536225119921852,13.23474479915964,0.5968024095040476,0.4727751770869822,283928.8555885097,101.5316039226617,6.864565962133862,"(51136.82829540089, 0, 2440.017209914831)",521.4539398302154,6.864565962133862,0.100733811393947,0.002293779670995295,0.09802227248852605,0.00041775923442540625,1.1579241681726025,8.6984039461156,1.2109978650650997e-06,1.0944287318302697,0.0005184839098112686,7.8641077843710585,0.28681665447488897,7.5377028906226915,0.03958823927348072,7.672772140103914e-05,0.00014174754818041302,0.0012204079741989036,8.374844073262213e-11,4.5255096663478505e-19,6.38228659096751e-11,1.9925574370396072e-11,1.8511374542798622e-09,2.603043575997718e-10,1.5466784757359982e-09,5.2752906463463555e-11,5.124252463430861e-09,3.682157911607587e-08,0.0003024586688133006,0.5143919185023341,81.54305727601228,347.6763960293566,525.6861009046997
9,DAZMID,29.43861905458771,86.9792473516243,0.02846533572617,0.1051657374205142,3.002556950597432,-3.002556950597432,0.009817254229243,"[1537.2966786159166, 3684.7440555819885]","[[92.12541932272738, 2085.6586623902213], [62.62200487210784, 1067.5882613812078], [1537.2966786159166, 3684.7440555819885]]","[974.4162987652157, 32.32124082229849, 5.2642370170978685, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.61230562421883, 310.15, 0.040308215843433144], [2, 68.45622255225035, 310.15, 0.040603677561527024], [3, 66.2821630629227, 310.15, 0.04183401733605306], [4, 64.66945026762278, 310.15, 0.04279955177487869], [5, 63.47212982198259, 310.15, 0.043547788242910175], [6, 62.58261491360042, 310.15, 0.04412200853833198], [7, 61.921432857684145, 310.15, 0.04455940589976264]]",187.5441491564065,8280.247649905727,44776.9858647357,36295.83698057654,2236.030378423222,1278.4822956973237,68.22473518619562,68.95879719051389,0.6607964882684236,0.1051657374205142,104309.21224222964,387.7209258749898,72.13624204322942,"(512996.05168160057, 0, 20870.824663841)",36295.83698057654,72.13624204322942,0.7284267149203324,0.016857087797783395,0.7085165101128424,0.0030531170097047645,8.519673193870343,63.80131509317552,3.4874193883058376e-06,7.952685477580943,0.0034170513302957104,55.77317481588057,1.8825687906456223,53.60305893378447,0.287547091450487,0.0005458792564176735,0.0009544329722012645,0.007939954359027319,5.667640385082315e-10,3.297873601250077e-18,4.247537109619767e-10,1.420103242483813e-10,1.058852826015559e-08,1.8731615255933998e-09,8.538571829489194e-09,2.381407730782079e-10,3.67650487662887e-08,2.4245994821142105e-07,0.001980326896106466,3.786438096404225,23.621239937037586,2293.1990591025587,61083.02721195731
