,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,92.81268552882264,93.99085931437271,1.3892588326346025,4.110409504422348,0.096678506680877,-0.096678506680877,0.002774940140596,"[53046.28234551003, 4107.847010047408]","[[1579.4063310296483, 5116.352884726108], [1667.4918159690753, 2770.874066626944], [53046.28234551003, 4107.847010047408]]","[1216.747818460347, 265.76797359634367, 14.149023938183953, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.32931001847139, 310.15, 0.20931172025665978], [2, 90.26974034010188, 310.15, 0.22017334899523192], [3, 85.98852508989478, 310.15, 0.23032571967014007], [4, 82.35613562209384, 310.15, 0.23973590326971161], [5, 79.26609009398089, 310.15, 0.2483936632248849], [6, 76.63070023368523, 310.15, 0.2563073491523835], [7, 74.37759735073872, 310.15, 0.2634997312315508], [8, 72.4469035741628, 310.15, 0.2700041176891655], [9, 70.78893440485044, 310.15, 0.27586095311074715], [10, 69.36233625128426, 310.15, 0.2811149816974024], [11, 68.13257817533957, 310.15, 0.2858129806041282], [12, 67.07073076195296, 310.15, 0.2900020201059553], [13, 66.1524769042451, 310.15, 0.29372818250569366]]",42.181854268709806,88.41677485975697,347.45843495296344,66.93224588455448,51.38694615684184,,2.19674951217404,2.831994102466932,0.4253728620854413,4.110409504422348,79028.0304156157,187.032839530568,0.8004595229761682,"(981.3981108519822, 2208.71315414964, 291.5557110394706)",66.93224588455448,0.8004595229761682,0.2332719858433926,3.226790279382101e-05,0.23321122503860509,2.8492901993630812e-05,0.011693697500904042,3.082138865918456,5.970206010463441e-08,0.24043453626557512,0.0006723262864769833,3.3782936361100857,0.6375996294450635,2.7350010657765016,0.005692940888519702,1.808506050630503e-05,0.00013135756763312003,0.001394052025151694,3.538963391575789e-11,5.576100704046672e-20,2.038965423771558e-11,1.49999796222813e-11,1.1906050002216748e-09,1.6305679475586405e-10,1.0210446951511573e-09,4.4944953459148447e-11,7.507724603244985e-09,1.722661437818821e-08,0.000418872091325582,0.006194375383786709,72.06542491098206,51.38694615684184,67.0210885842836
1,AlTCPP,94.19442812628526,95.35218861577846,1.9707279553446984,5.356526073998545,0.0789969295867694,-0.0789969295867694,0.0026997415985557,"[74659.2847151176, 4601.544402102424]","[[1673.5572902486476, 5448.14542110912], [1828.8644409876215, 3088.83441997632], [74659.2847151176, 4601.544402102424]]","[1324.481677346698, 372.6019020646166, 15.048954356262236, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.63084346842336, 310.15, 0.20831996737878647], [2, 90.79280743603111, 310.15, 0.2182469190102013], [3, 86.66932559877856, 310.15, 0.22754148512043748], [4, 83.14427561536748, 310.15, 0.23618341021782469], [5, 80.12214048782684, 310.15, 0.24416879065640204], [6, 77.52411303284438, 310.15, 0.2515070812432157], [7, 75.28496061168171, 310.15, 0.2582181473887596], [8, 73.35050164755538, 310.15, 0.26432954781565166], [9, 71.6755736572092, 310.15, 0.2698741530191267], [10, 70.22239563462907, 310.15, 0.2748881427442567], [11, 68.95924652052962, 310.15, 0.2794093824154594], [12, 67.85939688665829, 310.15, 0.2834761513420539], [13, 66.90024345620094, 310.15, 0.287126181021363], [14, 66.06260617459881, 310.15, 0.29039595629938453]]",50.401919346528224,72.54308507003209,294.166287421778,53.81081049926802,43.0280199876649,,1.794984971228441,2.4285960925441388,0.4203437756409662,5.356526073998545,82628.91024647618,165.80123675426788,0.6074468103445084,"(962.4219088818537, 1751.9228115504854, 250.9983981786513)",53.81081049926802,0.6074468103445084,0.20118964273110662,2.8150457302595514e-05,0.2011350057831861,2.648649061786626e-05,0.01113497949771157,2.596604759344061,5.384485978067547e-08,0.22117869633496062,0.0006272673855537446,3.111826082381477,0.5392806546292096,2.5677537329464077,0.004791694805858816,1.7292722111294513e-05,0.00012288517912958377,0.0013046532937893403,3.1315053829878794e-11,4.672541837752293e-20,1.9074329920726377e-11,1.2240723862426998e-11,1.1044355841152162e-09,1.4065614778966933e-10,9.583607686114546e-10,3.9728838272207804e-11,7.180451759117032e-09,1.3673627719805385e-08,0.0003839254116132866,0.00593939819049774,76.1683158545409,43.0280199876649,53.865125303052274
2,AlTCPP-FF2,98.28010177742014,98.52250101006452,1.2234327449516913,3.754392509447237,0.1006342721305936,-0.1006342721305936,0.0024800354516803,"[46348.66694178997, 811.0999932892336]","[[317.2893062435149, 1114.7983495258766], [206.89463307543656, 288.2080100433578], [46348.66694178997, 811.0999932892336]]","[1173.1213160966345, 232.66165079586253, 3.62884437495266, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.93819263753613, 310.15, 0.2884424527534982], [2, 62.71717784226516, 310.15, 0.316371361096122], [3, 60.89928719806629, 310.15, 0.32558843612323335], [4, 60.3056313577698, 310.15, 0.3287162853671348], [5, 60.10479427656743, 310.15, 0.3297881519309361]]",4827.026604321984,94.87332896135732,357.0388526041478,69.9098800534139,53.445674640903256,,2.286633252834452,2.916456860507308,0.4067110348644084,3.754392509447237,78541.26442125073,189.90292204451245,0.8413862985430027,"(942.7820846844783, 2307.6035873638957, 299.6711262692922)",69.9098800534139,0.8413862985430027,0.23665551320847675,3.2618438629798564e-05,0.2365948468386296,2.8047931217267096e-05,0.011402412968326402,3.154776334181909,5.968058519000427e-08,0.23770326527804064,0.0006617533706584608,3.337764852640471,0.6516184577401819,2.680313858225835,0.0058325366744539095,1.7584256353857436e-05,0.0001294559995383952,0.001374153595454864,3.558176111141309e-11,5.723611820715974e-20,2.00266950737538e-11,1.5555065980423172e-11,1.1729374977905531e-09,1.65512546922106e-10,1.0007107771255508e-09,4.5191785379173794e-11,7.299540770226849e-09,1.8157736953737587e-08,0.00041607791840185196,0.0060144716954451975,75.20660797094503,53.445674640903256,70.01514462434284
3,Ca-SQA,97.9809267684105,98.17746700329624,1.3972755065611515,3.4581290349653155,0.0935497865190938,-0.0935497865190938,0.0025140824956087,"[101404.4918680202, 2089.6219483368523]","[[860.707311172793, 2803.6169145954236], [943.7775363074145, 1429.539459405522], [101404.4918680202, 2089.6219483368523]]","[1454.5992277210091, 509.6154518440807, 8.152954951109038, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.83007708915426, 310.15, 0.22091588489600644], [2, 80.44844661578664, 310.15, 0.24016001327519138], [3, 74.6916077359651, 310.15, 0.2557014072106666], [4, 70.80799100465839, 310.15, 0.2681944211097], [5, 68.14065852232059, 310.15, 0.27825611066674205], [6, 66.1600710423288, 310.15, 0.28624153462355034], [7, 64.67838123128575, 310.15, 0.29252868631912304], [8, 63.56323758121092, 310.15, 0.2974497718662306], [9, 62.71994077152089, 310.15, 0.3012849511131348]]",150.62044926378752,65.26895666410728,325.65627156743,59.15747842106354,45.94507203345945,,2.125658069772957,2.7560653779625284,0.408102279666349,3.4581290349653155,79699.45065938713,183.07399375361368,0.7614360254617931,"(939.8252545927577, 2118.8909622771575, 282.8661775771046)",59.15747842106354,0.7614360254617931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.94507203345945,0.0
4,CALF20,97.17130602624206,97.54615001845148,1.17157284021823,3.0489313697438467,0.0897698649659807,-0.0897698649659807,0.0025479414909887,"[87498.63179462976, 2547.118718386808]","[[1062.7390219472713, 3393.1119020015913], [1035.1007635223034, 1592.0809277127146], [87498.63179462976, 2547.118718386808]]","[1383.3247499893614, 436.69592835738933, 9.798000706152706, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.22949995040474, 310.15, 0.21752382080010732], [2, 83.83909599040356, 310.15, 0.23486387974769174], [3, 78.35129696211979, 310.15, 0.24977805740262995], [4, 74.22543864776794, 310.15, 0.262388805513803], [5, 71.09035386472596, 310.15, 0.27291277448326867], [6, 68.68658359215482, 310.15, 0.2816074456201364], [7, 66.82960492266865, 310.15, 0.2887358295371652], [8, 65.3860564029118, 310.15, 0.2945458395314097], [9, 64.25811810531052, 310.15, 0.2992599979956496], [10, 63.37308002929424, 310.15, 0.3030717315548067], [11, 62.67625874939975, 310.15, 0.3061455148336486]]",105.9651669551207,70.53875782024708,322.5082925251315,58.74408769803831,45.97472496897868,,2.0397698913873894,2.6708279476012504,0.4106856148723145,3.0489313697438463,80870.20337981779,176.17097063786707,0.7211678162991153,"(949.2527099071484, 2036.1682033599773, 276.02278417540896)",58.74408769803831,0.7211678162991153,0.21858379447199675,3.0406040163674757e-05,0.2185261827773111,2.7205654521885537e-05,0.011242790295671852,2.874855666472628,5.71432051502685e-08,0.22891026618801194,0.0006459070032437985,3.2160225930841575,0.5951285719685883,2.61558029499037,0.005313726125198923,1.737361657916316e-05,0.00012739973650214206,0.0013539762532375542,3.3343822175947547e-11,5.2070753769998736e-20,1.9462242857595334e-11,1.3881579266281461e-11,1.1356612016123822e-09,1.527902685949174e-10,9.767822769598331e-10,4.241689694448906e-11,7.2161029443573325e-09,1.5991876010337185e-08,0.0004031006105814094,0.005954992894892792,76.22414241128372,45.97472496897868,58.835131193514904
5,CAU10,93.52436516908544,95.4760356765415,1.7955319620549128,4.53230609691054,0.0856027904225497,-0.0856027904225497,0.0027412213378874,"[97420.83187334932, 6745.426509927974]","[[1812.8571941887976, 6130.354523004858], [2663.1998371639343, 4892.3786531938185], [97420.83187334932, 6745.426509927974]]","[1426.1867855315054, 472.87899066191153, 16.4769739437745, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978], [1, 96.49033695472005, 310.15, 0.20571615109577945], [2, 92.30099209166576, 310.15, 0.21318671839218398], [3, 88.65683049273079, 310.15, 0.22020838498051581], [4, 85.47563609105545, 310.15, 0.22678412348604704], [5, 82.68950105364878, 310.15, 0.23292207829384454], [6, 80.24201541221052, 310.15, 0.23863451560307436], [7, 78.08606502910582, 310.15, 0.24393686941073833], [8, 76.18209524705507, 310.15, 0.24884689848939104], [9, 74.4967334105997, 310.15, 0.25338395939457686], [10, 73.00168971686212, 310.15, 0.25756839332621617], [11, 71.67287524915426, 310.15, 0.26142101987373234], [12, 70.48969047011617, 310.15, 0.2649627278189054], [13, 69.43444825019515, 310.15, 0.2682141517810791], [14, 68.49190364653926, 310.15, 0.27119542314808986]]",43.89308777669733,66.69595802283393,317.7383003300752,55.49837037706678,43.68874975373404,,1.9450847407293312,2.578602039674177,0.4216501664536861,4.53230609691054,83637.80750576447,159.852550083936,0.6815380354287767,"(997.0179960058202, 1989.9112642256587, 274.00787013158737)",55.49837037706678,0.6815380354287767,0.2136056378264787,2.9721705608085895e-05,0.21354868323447904,2.723288639151182e-05,0.011326855056350406,2.786580770556563,5.5943827006901594e-08,0.22845810785784657,0.0006438208444494343,3.2127225658789085,0.5777021087567861,2.6298815843153505,0.0051388728067698055,1.7572416307213465e-05,0.00012588928786360094,0.0013361621567650503,3.281104119386891e-11,5.0205842101095866e-20,1.954571825768503e-11,1.3265322885978038e-11,1.1368801776845969e-09,1.4910717435166888e-10,9.819567809556289e-10,4.171996764741077e-11,7.296696907470477e-09,1.4943915057814493e-08,0.00039676616054667936,0.006030676092978754,75.08181617871021,43.68874975373404,55.555776917044994
6,CAU21,86.69355515292509,90.82374406072104,0.269483410547826,0.956045501832758,0.3478792996290513,-0.3478792996290514,0.0029901001503753,"[14665.274171192246, 2250.947738640725]","[[769.7266103079884, 2540.1778039215446], [516.7294263607014, 924.3191576565157], [14665.274171192246, 2250.947738640725]]","[1014.742787986969, 70.47671001705334, 7.4352570440962475, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978], [1, 87.44535145361192, 310.15, 0.22281857135994854], [2, 78.61441459739667, 310.15, 0.24288683880776862], [3, 72.82207803891725, 310.15, 0.2584328754692412], [4, 68.93283106661166, 310.15, 0.27019095425482603], [5, 66.27477390351132, 310.15, 0.2789404543303137], [6, 64.43401916267244, 310.15, 0.28537943553178274], [7, 63.146785412503164, 310.15, 0.29008221881624274], [8, 62.24018613888927, 310.15, 0.2934990037976614], [9, 61.59879008480024, 310.15, 0.29597319852915616]]",39.89050149391683,246.99437684759812,1120.3884664047025,476.4739741944901,154.03859949849024,,7.90458715170374,8.544081990753673,0.4435883995624935,0.956045501832758,34693.36152442277,448.4400853512809,7.589275637003321,"(1241.9115721452704, 9202.169956979, 917.0370291901128)",476.4739741944901,7.589275637003321,0.6807893136498377,8.939429907882652e-05,0.6806452834346625,5.463591609625935e-05,0.01849433346971835,9.91914197957578,1.3926014869570442e-07,0.4958552248651478,0.0012644478260536534,6.906795510388365,2.020067729900676,4.868360106566701,0.018367673920986632,2.7493738280411106e-05,0.0002445713212282526,0.0025920811173173568,9.109902710513541e-11,1.8314833214263023e-19,3.715542258344746e-11,5.394360433853961e-11,2.3174649106741896e-09,4.744623607309311e-10,1.8211684136417958e-09,1.1684470885876894e-10,1.1403769482588894e-08,6.799728635530111e-08,0.0008954442154333002,0.009181436222543372,28.991909678514237,154.03859949849024,482.56091066298336
7,CuAlPyC,96.33839316727764,97.5082360866962,1.3258516402561986,3.4595418980165067,0.0948684226247364,-0.0948684226247364,0.002583383594486,"[89742.76829877, 3410.9218846906247]","[[1003.137799242667, 3375.569172622344], [1193.764218010826, 2106.3598190954376], [89742.76829877, 3410.9218846906247]]","[1379.6814854761274, 433.2593346425476, 9.59132990776051, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.10469052754483, 310.15, 0.21381900206460447], [2, 83.72011960267682, 310.15, 0.22751745335982532], [3, 78.27588668089365, 310.15, 0.23906260102580068], [4, 74.19618136609124, 310.15, 0.2486847474692782], [5, 71.09843598831769, 310.15, 0.25663561098317794], [6, 68.7207049978336, 310.15, 0.2631620066008372], [7, 66.97900512346324, 310.15, 0.2685420921549354], [8, 65.65825384078704, 310.15, 0.2730114503250247], [9, 64.59698757070346, 310.15, 0.27672573734833805], [10, 63.741135456056675, 310.15, 0.2798047708063547]]",109.61945394599506,70.74738556881363,345.743507927617,60.89203167000391,47.04696743261529,,2.1556203987461084,2.786763827206233,0.4125916151910173,3.459541898016507,82534.23752184746,166.35944857401262,0.7826130997630167,"(989.1009472881484, 2255.318870425241, 297.7341144645979)",60.89203167000391,0.7826130997630167,0.22848625284361496,3.198188851337601e-05,0.22842614875129813,2.8122203803358385e-05,0.011432027072500484,3.0249331690325323,1.4911974599017329e-07,0.236174055961557,0.0006618623577414902,3.330719583564276,0.6290713576038526,2.6960194110158278,0.005628814944595103,1.7900032824535656e-05,0.00012946642691212304,0.0013757123131820995,3.522410893831611e-11,5.50644673164129e-20,2.0514759295401418e-11,1.470934958785023e-11,1.2108648493374356e-09,1.5973873281722692e-10,1.0423831068932257e-09,4.6334736718250784e-11,7.318552347009809e-09,1.6731197812807177e-08,0.0004126417781937587,0.006042325031147899,75.22894460185644,47.04696743261529,60.980076642858464
8,CuAlPyC-FF2,95.17356204060064,97.02961246117808,1.131271429599298,3.105183253294914,0.1029688532618326,-0.1029688532618326,0.0026278706573179,"[76572.23983969307, 3883.1284347734045]","[[1001.866009021548, 3324.91248976337], [1210.460256311293, 2120.0297468922695], [76572.23983969307, 3883.1284347734045]]","[1311.5416432302525, 365.1835347929678, 9.527287511465298, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36204475941642, 310.15, 0.2156575715370345], [2, 82.79457839726983, 310.15, 0.23040714791377775], [3, 77.68217042722316, 310.15, 0.2423186961660172], [4, 73.9634696317394, 310.15, 0.25213346345689863], [5, 71.10898520083123, 310.15, 0.26030743392421785], [6, 68.8899818729307, 310.15, 0.267091945194759], [7, 67.1474754971883, 310.15, 0.27270863055783995], [8, 65.76800281205672, 310.15, 0.2773492498150391], [9, 64.668761640601, 310.15, 0.2811775053304848], [10, 63.78817439439424, 310.15, 0.2843318034342452]]",79.09616962996371,77.6795662813286,376.1050349979411,66.8538317541339,50.64841924268281,,2.3396800999284846,2.971240907358812,0.4156242969127918,3.105183253294914,81924.00848124613,169.95749716246408,0.877689797473991,"(1013.7962553547552, 2510.8843207174546, 321.34750281884976)",66.8538317541339,0.877689797473991,0.24364322618280035,3.398052597610139e-05,0.24358011330538812,2.9132351436096233e-05,0.011716064158671493,3.2538467019420607,1.6230505924505637e-07,0.2456189422417241,0.0006847107096217483,3.4629295788798755,0.6758338427188685,2.781036868161429,0.0060588679995771735,1.832877495022241e-05,0.00013387333053484113,0.0014225710001873736,3.723404721916918e-11,5.936654672900983e-20,2.1228610399285212e-11,1.6005436760517426e-11,1.2581868225687146e-09,1.7034135455243836e-10,1.0783180944945498e-09,4.9086555943225274e-11,7.48313744710042e-09,1.8393035840844256e-08,0.00043018841095095227,0.0061714654126964145,73.3890046458698,50.64841924268281,66.96366185374283
9,DAZMID,45.970652146937006,78.15105804615861,0.0354855683273961,0.1349627605585827,2.378948313153616,-2.378948313153616,0.0054338459040075,"[1916.4308073960738, 2252.382811498311]","[[252.6450235141943, 1061.0519711626475], [22.62096929374439, 114.88986112819724], [1916.4308073960738, 2252.382811498311]]","[946.542923765813, 6.311032017291286, 3.4010708227023874, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.77873848184838, 310.15, 0.16633137159967673], [2, 61.3346022182996, 310.15, 0.16098544531807232], [3, 60.267451452337035, 310.15, 0.15991110326145422], [4, 60.05378838721952, 310.15, 0.15969489494423603]]",91.728187963752,2397.528299708676,10663.376880810383,-309.28154689500275,1008.7506936586946,,54.05496760161637,54.72271543119355,0.5489537412615627,0.1349627605585827,-510780.1806628681,3664.675593531064,-5.310224450560758,"(4258.933724637309, 94823.10305927787, 8571.114576014592)",1348719722034.31,271235.7404217803,4.290483798829842,0.0005498718637727707,4.2896698750551225,0.00026405191094530124,0.07252869891060842,65.1074588026487,7.787191139461322e-07,2.5455291968354756,0.006004149258833396,35.21593380502015,13.17848252033687,21.916747810442626,0.12070347424065152,0.00010212747169686416,0.001150517563364453,0.01217853757973456,5.405589623994673e-10,1.211744562240781e-18,1.71433501044264e-10,3.691254601434587e-10,1.1347978827771539e-08,2.9884005417026786e-09,8.214066952388662e-09,6.958696097793796e-10,4.2295969347293054e-08,4.776869655042141e-07,0.004722531352171056,0.032812857266208306,-257.1547903622955,1008.7506936586946,-306.5660721433806
10,ddmof_16520,98.68726225505016,98.911613245439,1.093987456388509,2.8776370606687234,0.0972306195678142,-0.0972306195678142,0.002471233983584,"[84687.10241292481, 1126.507649594763]","[[479.1543619739579, 1583.8491833720504], [393.23929579176047, 549.6032551386389], [84687.10241292481, 1126.507649594763]]","[1368.6072148665658, 426.92376574296765, 4.852628197778911, 20.42532053318817, 442.5889178817608, 473.8165825108704]",670.7036700000001,"[[0, 101.325, 310.15, 0.1978], [1, 78.83813764823512, 310.15, 0.24989194924177102], [2, 69.27401568467842, 310.15, 0.28191747866595057], [3, 64.76892885343423, 310.15, 0.3001502406876913], [4, 62.51130463565764, 310.15, 0.31023515933095736], [5, 61.33959728492185, 310.15, 0.3157499462147964], [6, 60.719554476218384, 310.15, 0.3187506852955]]",559.6030120394433,71.39061662819324,337.9477305884932,62.692352202801466,48.320706797719,,2.2092947381677326,2.8389594925739967,0.4056221755695059,2.8776370606687243,78849.1643751054,188.08747420338813,0.8017706828779047,"(934.1920665001595, 2207.4712438989413, 290.47117315282117)",62.692352202801466,0.8017706828779047,0.23047943424807044,3.1858903460979185e-05,0.23041987754239296,2.7697802216412185e-05,0.011302844373449984,3.0624011003796654,5.881205899246128e-08,0.23425681757215167,0.0006556935097495301,3.289504181099415,0.6329307860209085,2.650915198176253,0.005658196902252401,1.7447920698218692e-05,0.00012889688727289432,0.0013691973374176773,3.470034463490115e-11,5.553659010379795e-20,1.9736444989345278e-11,1.496389959001929e-11,1.1574314659012788e-09,1.6095095109751328e-10,9.89996754415085e-10,4.419450405018131e-11,7.2462458217724084e-09,1.7311858469350774e-08,0.00041206085984747876,0.005973524383380235,76.11452058406627,48.320706797719,62.793262387344896
