,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,99.50101342687684,86.06251061572573,1.4959438436426709,3.852355946206911,0.095357522270188,-0.095357522270188,0.0093899024449764,"[57119.85242692935, 286.4497399391764]","[[3803.2262665612966, 10899.929863533293], [5403.317108982344, 1838.8380063735642], [57119.85242692935, 286.4497399391764]]","[1397.9491802714026, 413.2318159229346, 47.88654342264875, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 89.22315151070339, 310.15, 0.1709832320096471], [2, 79.12204148804557, 310.15, 0.19102047012621098], [3, 70.6787103173394, 310.15, 0.21200974019198862], [4, 63.60848547109488, 310.15, 0.23371366442372443], [5, 57.675259129939356, 310.15, 0.2558731425064408], [6, 52.683480493475834, 310.15, 0.27822254246244693], [7, 48.47392850003624, 310.15, 0.30051189297448866], [8, 44.91034538185802, 310.15, 0.322503499751693], [9, 41.88169209136225, 310.15, 0.34398643840509313], [10, 39.298137197672396, 310.15, 0.3647887536344037], [11, 37.08563466039859, 310.15, 0.38477637750062205], [12, 35.183197678575326, 310.15, 0.4038521539482054], [13, 33.54059815489329, 310.15, 0.42195272348461177], [14, 32.116442515789565, 310.15, 0.4390441151109661], [15, 30.876574688421943, 310.15, 0.45511677602428097], [16, 29.792759180259107, 310.15, 0.47018059149805475], [17, 28.84160081888858, 310.15, 0.4842602616195614], [18, 28.003662199695658, 310.15, 0.49739124059416073]]",45.10463070941716,468.3469075961861,297.2878548023297,60.23010875098384,19.4193195470528,100.52351979279682,2.166733824516085,2.9441348665712224,0.5489319521647263,3.852355946206911,530174.7800702483,435.1888987990792,4.820104211177183,"(0.0, 0, 0)",60.23010875098384,4.820104211177183,0.3489084778612652,4.4656570954628825e-05,0.3488266671103197,3.715417999085052e-05,0.03641663672312947,3.0391543162808383,1.3900572674182532e-07,0.6478154949443315,0.0017965809693349184,9.139337014610382,0.7329938853741759,8.400393718208253,0.005949411027954837,6.22977090043445e-05,0.000387672882537316,0.004127986836775454,6.806815445332063e-11,5.271234117254529e-20,6.043735000271624e-11,7.630804397892043e-12,3.3924777183848906e-09,2.426259141110398e-10,3.1435398844166303e-09,8.813102960521505e-11,2.5665040052804257e-08,4.6404074558792306e-09,0.0010679163973407603,0.004815462864041704,56.03457103587388,40.134486915207006,60.35614381999786
1,AlTCPP,99.69800076629414,86.89907746776258,2.148909944790999,4.907846282554653,0.0787992675216739,-0.0787992675216739,0.0093854968308469,"[81409.5517142228, 246.60095533576518]","[[4176.488027554422, 12175.127711660984], [8053.5587658153545, 2481.5215205463583], [81409.5517142228, 246.60095533576518]]","[1576.2669317386976, 587.4685569011447, 51.967553911733596, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 90.17644106621209, 310.15, 0.16854408347489097], [2, 81.14078438768446, 310.15, 0.18597068053262844], [3, 73.44057191900495, 310.15, 0.20410824179730477], [4, 66.8642663940407, 310.15, 0.222807324646115], [5, 61.234872923861026, 310.15, 0.24190594980649305], [6, 56.4041718177012, 310.15, 0.26123653376421446], [7, 52.247966242994565, 310.15, 0.2806328299077392], [8, 48.66214372837229, 310.15, 0.29993626135104806], [9, 45.55939703697985, 310.15, 0.31900116444990534], [10, 42.866484620334724, 310.15, 0.3376986513687572], [11, 40.52193669483836, 310.15, 0.3559189993050422], [12, 38.47413222313386, 310.15, 0.3735726463134766], [13, 36.67968646458206, 310.15, 0.39058999652965615], [14, 35.102099615044466, 310.15, 0.40692030422870246], [15, 33.71062539278834, 310.15, 0.4225299224275922], [16, 32.47932498349173, 310.15, 0.437400180685853], [17, 31.38627705473711, 310.15, 0.4515251133612428], [18, 30.412918942478424, 310.15, 0.46490920708831895], [19, 29.543497829296975, 310.15, 0.47756528438925683]]",52.65666203987786,389.7278139319014,245.5034800029352,49.70900890118047,16.076695559801223,94.89850648075276,1.7904936519064836,2.5610241673030147,0.5398847834907272,4.907846282554653,531516.1639113522,421.1587399074558,4.1421361934962535,"(0.0, 0, 0)",49.70900890118047,4.1421361934962535,0.31446355522594643,4.0199882909592604e-05,0.31438987994646955,3.3475396567260666e-05,0.03280584592041509,2.7392928658962696,1.2500045148665973e-07,0.5838875286185519,0.001620031610269836,8.237987289747728,0.6607622025746595,7.5718695413763495,0.005355545796721046,5.614915926350135e-05,0.0003497552889913712,0.003724602044435373,6.130397450024575e-11,4.745038553019619e-20,5.444153297103684e-11,6.862441481758553e-12,3.0575191059999547e-09,2.1856533641610012e-10,2.833322844740676e-09,7.938007619886097e-11,2.3133621481187138e-08,3.884151532149885e-09,0.0009633817707978625,0.004339317187611949,59.57248462139502,34.75472702370505,49.78887156414137
2,AlTCPP-FF2,99.99017209845135,93.91647358004084,1.4259274435001112,3.885932413222128,0.0924225887344503,-0.0924225887344503,0.008819417059885,"[54019.99941120942, 5.309554176467225]","[[782.0210430729326, 2306.775910428529], [2652.597944804552, 197.13218735742672], [54019.99941120942, 5.309554176467225]]","[1321.0056817081777, 368.2842183496682, 15.890642432690138, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 38.04846037139039, 310.15, 0.39221380850023163], [2, 28.06767423242048, 310.15, 0.5264279971507833], [3, 24.584973907235852, 310.15, 0.5979975716490219], [4, 22.9000289294789, 310.15, 0.6400647004756863], [5, 21.943353769462142, 310.15, 0.6666564648466503], [6, 21.348387176885794, 310.15, 0.6843148080521251]]",1582.5050912224715,490.254728316814,311.3850956977973,56.59701916389512,19.160261493890367,101.44143775557043,2.100045642889773,2.8421924776996788,0.5045183304348073,3.885932413222128,562596.7332301984,380.3954045954261,4.435700492614704,"(0.0, 0, 0)",56.59701916389512,4.435700492614704,0.3299608786837438,4.226202308081009e-05,0.3298834754013781,3.514125928491273e-05,0.03444817622660347,2.8745173621140876,1.3163976845714618e-07,0.6125812492998899,0.0016996760709371078,8.641916650235958,0.6931944334902805,7.943091447622399,0.005630769123278399,5.8908036349257553e-05,0.0003669928934918293,0.003908171340765054,6.440025517364501e-11,4.990654204389909e-20,5.716244465869035e-11,7.237810465048133e-12,3.2079550689638768e-09,2.295354135764074e-10,2.972414493957834e-09,8.337504495017091e-11,2.4268882899602524e-08,4.567104863744489e-09,0.0010109038185852695,0.0045540609480857796,62.92771143469196,38.74449794195995,56.71435807294387
3,Ca-SQA,99.9873774424767,91.1062196844402,1.483289578385398,3.081600378388109,0.0932585787601004,-0.0932585787601004,0.0090297943930246,"[107646.7921201039, 13.589493598993306]","[[2431.9217833777666, 6367.870820435215], [8050.770316747326, 887.3539106699466], [107646.7921201039, 13.589493598993306]]","[1732.81471524888, 764.0890029255071, 31.894891397553717, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 79.22248718873941, 310.15, 0.1921011634001009], [2, 63.993092761371216, 310.15, 0.23544390478963056], [3, 53.3377767436625, 310.15, 0.28019587765468384], [4, 45.75927891325887, 310.15, 0.32443691985350903], [5, 40.2735600102854, 310.15, 0.3666032032948412], [6, 36.22926518139184, 310.15, 0.40565134866591807], [7, 33.192065853874254, 310.15, 0.441047599539428], [8, 30.869715969191294, 310.15, 0.47265700632383634], [9, 29.063349055277786, 310.15, 0.5006081309619138], [10, 27.63583800545125, 310.15, 0.5251770312235997], [11, 26.491229809556213, 310.15, 0.5467045144890178], [12, 25.561335167644316, 310.15, 0.5655442503056777], [13, 24.796927294532686, 310.15, 0.582033809199281]]",153.75204763264318,360.2969649387454,251.65405900899165,51.41908445635376,15.162141107749632,96.26963371596446,2.119041185374632,2.868189559640691,0.5130473007481318,3.0816003783881096,540359.6143483166,414.9450963371539,4.518249895607394,"(0.0, 0, 0)",51.41908445635376,4.518249895607394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.99442392574959,0.0
4,CALF20,99.7874983082274,93.8857237171742,1.329933082435527,2.898842906437067,0.0849744990960974,-0.0849744990960974,0.0088280781293382,"[99325.72785644924, 211.51833209452045]","[[2636.3730142996164, 7485.5536910897645], [3792.1778142421317, 1247.7597272806318], [99325.72785644924, 211.51833209452045]]","[1651.6104015627654, 679.2344773644149, 35.54510327253125, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 82.1372306873333, 310.15, 0.1826949121746572], [2, 68.32416562740369, 310.15, 0.21485563672410746], [3, 58.1908707790981, 310.15, 0.24771006164608098], [4, 50.62763566705373, 310.15, 0.28040615108370126], [5, 44.891345744487396, 310.15, 0.31220163063491474], [6, 40.47471673101138, 310.15, 0.34251871966087244], [7, 37.025640042959374, 310.15, 0.37096091121584424], [8, 34.29606396513095, 310.15, 0.39730016575713784], [9, 32.10884006863894, 310.15, 0.42144723586117255], [10, 30.335809749998482, 310.15, 0.44341651392741194], [11, 28.883092285742233, 310.15, 0.46329294959542966], [12, 27.68107626086573, 310.15, 0.4812047261505234], [13, 26.67753041302453, 310.15, 0.497302642911831], [14, 25.83280973697776, 310.15, 0.5117456363653461]]",105.37745856153244,384.240371132073,270.4364870567729,49.55976372994611,15.621829309151371,96.89690893117722,1.930808572092975,2.678357633687875,0.5118556532643624,2.898842906437067,560877.1843501267,378.9837567508167,4.204242502194573,"(0.0, 0, 0)",49.55976372994611,4.204242502194573,0.31830299443060467,4.084234065019752e-05,0.3182282264119141,3.3925678040325896e-05,0.033239232732366,2.775817199549214,1.2747841612222182e-07,0.5910482815559029,0.001643402254534164,8.336840330182012,0.6691963534992387,7.662204459745039,0.005439516937733837,5.682206283164364e-05,0.00035584619062514235,0.0037911516820411336,6.209896304153766e-11,4.829467185529387e-20,5.51106557478908e-11,6.988307245352187e-12,3.094918026851676e-09,2.2142047021314025e-10,2.867693563916629e-09,8.045573100122687e-11,2.341280650984728e-08,4.384063606931714e-09,0.0009798929835433475,0.004394477906284073,64.00161672371321,34.49478537938986,49.68045357503962
5,CAU10,98.9518445385665,89.13644451226642,2.030245261660032,4.1530646763661325,0.0832144858944414,-0.0832144858944414,0.0094912189096997,"[110155.75688860782, 1166.8338142613816]","[[4239.415860745832, 14710.866185317813], [9129.312824700008, 5722.719462527364], [110155.75688860782, 1166.8338142613816]]","[1759.8769851981388, 765.5810043296077, 57.46515994271166, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 91.9058102276878, 310.15, 0.16351732846672234], [2, 83.88390969109521, 310.15, 0.1750058837531177], [3, 77.0096950593822, 310.15, 0.1865158279062603], [4, 71.08480587137177, 310.15, 0.1979998817794288], [5, 65.95039920459237, 310.15, 0.20941383948399045], [6, 61.478350767631255, 310.15, 0.22071697240209667], [7, 57.564598869346504, 310.15, 0.23187231947191686], [8, 54.12406981785382, 310.15, 0.24284686620408139], [9, 51.08677947486753, 310.15, 0.25361161967284723], [10, 48.394816240968616, 310.15, 0.26414159033228896], [11, 45.99998954516926, 310.15, 0.27441569388009623], [12, 43.86198447447193, 310.15, 0.28441658759885935], [13, 41.97278528309676, 310.15, 0.29413492466144936], [14, 40.28202162751111, 310.15, 0.30357864358822123], [15, 38.75178591053901, 310.15, 0.3127419987798355], [16, 37.36373563671027, 310.15, 0.3216159598844562], [17, 36.1019379579624, 310.15, 0.33019432887259714], [18, 34.952519739949835, 310.15, 0.33847345045120203], [19, 33.91873335869564, 310.15, 0.34645007707492587], [20, 33.10790772869348, 310.15, 0.35411462110340697]]",43.162593302593685,359.448943779475,237.30134624503103,48.66936970093881,14.514620611005483,95.58396915685196,1.8908171792292048,2.6582619810480588,0.5381389050761713,4.1530646763661325,551876.3580656061,393.9383590747213,4.2922584107388655,"(0.0, 0, 0)",48.66936970093881,4.2922584107388655,0.32236744868159206,4.1225670688289844e-05,0.3222918990980292,3.432391287447143e-05,0.033638575064341536,2.808915791337264,1.2820665265601557e-07,0.5986892122295651,0.001660415272966648,8.446672411452832,0.6774670200799817,7.763714180339388,0.005491211033463722,5.757084243475551e-05,0.0003582941009811762,0.0038151791652485697,6.283567471090022e-11,4.864215816459984e-20,5.58328532396057e-11,7.002821422652363e-12,3.135316349371987e-09,2.2398794916352287e-10,2.905547525758558e-09,8.140036703332544e-11,2.371878147739849e-08,4.026373046346434e-09,0.0009869494797568124,0.004449584524595038,60.4017563102988,33.66084078416379,48.751916118093895
6,CAU21,97.49490545991252,86.84722662159972,0.3450065656181742,1.1378501992237908,0.2812722876877193,-0.2812722876877194,0.0094067261370454,"[18775.24061821241, 482.42267162207105]","[[1643.8491571164207, 5332.156546198937], [1123.3132459934818, 775.4964661625015], [18775.24061821241, 482.42267162207105]]","[1091.5528573732295, 128.41088981482037, 26.311146632589686, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 73.34160746362916, 310.15, 0.19277991882883216], [2, 56.463180727705414, 310.15, 0.23357451327307738], [3, 45.80393393300188, 310.15, 0.27227260485060173], [4, 38.788258798624874, 310.15, 0.3074057839855788], [5, 34.00005850457105, 310.15, 0.33827283010034886], [6, 30.628305115351246, 310.15, 0.36476272213960015], [7, 28.1901242434223, 310.15, 0.3871304762411407], [8, 26.38733582435941, 310.15, 0.4058125870110968], [9, 25.029448205036495, 310.15, 0.4213046310373642], [10, 23.990895766947595, 310.15, 0.4340918015749997], [11, 23.291737037104046, 310.15, 0.44493756332750595]]",40.238074998596325,1078.1820640841424,802.8889893124468,271.18074393108253,44.77372881610415,188.1556858979456,6.391128514279076,7.179711945203947,0.568083504786419,1.1378501992237906,558382.612558512,579.4995887068873,20.341691453112656,"(171.01682467442774, 0, 566.6512206767487)",271.18074393108253,20.341691453112656,0.7127368060556007,9.18112655025647e-05,0.7125689799754311,7.601481466699663e-05,0.0745842118561108,6.211720655495969,2.8744558444476024e-07,1.322973294609002,0.0036683645070347765,18.658124848852328,1.4966460830128794,17.149249648615914,0.012229117223537605,0.00012721317419235636,0.0007916071503639721,0.008428627779955492,1.3939039715830486e-10,1.084722284349283e-19,1.237024546296645e-10,1.5687942420168144e-11,6.929457804788346e-09,4.964455929431852e-10,6.419413375816938e-09,1.8067811448093346e-10,5.240055101492047e-08,1.308623246149243e-08,0.0021809443103912173,0.009845169994778752,24.948011704533794,86.73488856197594,275.03650925040824
7,CuAlPyC,99.72469329704722,93.47594641744932,1.685149433574148,3.4857673197641077,0.085144869607931,-0.085144869607931,0.008901441107435,"[114062.51693200425, 314.8886642700275]","[[2964.7631105598048, 8926.019435599752], [4954.636103293145, 1951.01601819629], [114062.51693200425, 314.8886642700275]]","[1740.37375543399, 762.3849430959532, 41.15799141221737, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 84.01328275754794, 310.15, 0.17540735457174822], [2, 71.32728593121963, 310.15, 0.19899893949601918], [3, 61.7801386826173, 310.15, 0.2225053345619392], [4, 54.68530869368905, 310.15, 0.2456901139956953], [5, 49.47714605165963, 310.15, 0.2685140699013011], [6, 45.233008235105764, 310.15, 0.2908372270023701], [7, 41.74377875901282, 310.15, 0.31244345321587724], [8, 38.85145239742819, 310.15, 0.3331645418908707], [9, 36.43533719297882, 310.15, 0.3528794979817083], [10, 34.402341585949856, 310.15, 0.3715105816448412], [11, 32.68002327310811, 310.15, 0.389017415100841], [12, 31.211543645250554, 310.15, 0.4053902778638535], [13, 29.951960727013965, 310.15, 0.42064342519863407], [14, 28.865476844884565, 310.15, 0.4348089640529416], [15, 27.92337627460781, 310.15, 0.4479315666370287], [16, 27.102467155526337, 310.15, 0.46006411542108705]]",107.44273322051512,365.1944856884127,250.7721189788129,47.92241167838127,14.382407191417537,96.7420229993766,1.934679766959429,2.683796902626355,0.5139153836202456,3.485767319764107,573844.7067520478,359.763632252425,4.222290516825213,"(0.0, 0, 0)",47.92241167838127,4.222290516825213,0.3190126169337157,4.126521836790544e-05,0.3189370149687065,3.4336746641131935e-05,0.03334491878683626,2.781162638400522,2.2509909688524342e-07,0.5939610466728648,0.0016493525158899022,8.39287238930644,0.6743872722769131,7.712994480519566,0.005490636509958089,5.727549368370525e-05,0.0003559400387703081,0.0037919202593632165,6.294039612360124e-11,4.860340593121902e-20,5.5960543956470354e-11,6.979852118527495e-12,3.1553001542188094e-09,2.2200781965690844e-10,2.924970904114056e-09,8.313958676672821e-11,2.3475115576773073e-08,4.015513892351313e-09,0.000980434760690953,0.004417413773556749,63.65594013046302,33.311680257341926,48.02298162945952
8,CuAlPyC-FF2,99.21675524410462,91.96159111309828,1.3339349703742052,3.036175694103607,0.0958690083725705,-0.0958690083725705,0.0091091709001017,"[90289.9037397478, 712.7736987615278]","[[2965.448972116564, 9187.309549273163], [4877.111443346351, 2654.341766988598], [90289.9037397478, 712.7736987615278]]","[1581.64954112279, 602.9070424233114, 41.91167777365931, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 83.42400860960826, 310.15, 0.17599316487966682], [2, 71.09971258535006, 310.15, 0.1989260574639403], [3, 62.032491710210415, 310.15, 0.22100098233684487], [4, 55.14457197989906, 310.15, 0.24212287076655278], [5, 49.777568394795956, 310.15, 0.2622222589030931], [6, 45.66968888091621, 310.15, 0.2810907319989838], [7, 42.40951970529233, 310.15, 0.29889245536607134], [8, 39.69260057135033, 310.15, 0.3158033989072583], [9, 37.405113215445624, 310.15, 0.3318093990275725], [10, 35.46175987826529, 310.15, 0.34691112859294343], [11, 33.797519187915796, 310.15, 0.36112137255020205], [12, 32.362083332604676, 310.15, 0.3744624167197386], [13, 31.116013819030837, 310.15, 0.38696368128059144], [14, 30.028028817447133, 310.15, 0.39865966423151095], [15, 29.073053457737643, 310.15, 0.409588213876994], [16, 28.23079543933684, 310.15, 0.41978911955940945]]",67.75953802075082,406.76876566624713,281.11891208866666,54.04030676122476,16.041421923837127,100.50935226618344,2.1783559201034883,2.934347186322635,0.5235219590759825,3.0361756941036067,574400.1876457172,366.6203262297185,4.6820335085355,"(0.0, 0, 0)",54.04030676122476,4.6820335085355,0.3424910076411761,4.4366889787502144e-05,0.3424097431340006,3.689761738799434e-05,0.03581286016276753,2.986095450761429,2.491558796891808e-07,0.6377672541634406,0.0017711099350134758,9.01249710034363,0.7242766416268088,8.282317445752673,0.005903012964149051,6.151127330415105e-05,0.00038222035371437003,0.004072000387442278,6.765495426318709e-11,5.2256829950599956e-20,6.014694890941403e-11,7.508005301516234e-12,3.3914230650143588e-09,2.3843796097077474e-10,3.143822713904195e-09,8.948223956874313e-11,2.5201625516261277e-08,4.4904396540427075e-09,0.0010528398614469746,0.004743979894933838,60.46557310848742,36.35737301155859,54.17488106806053
9,DAZMID,89.84040047746117,94.96433027528562,0.2172936329690355,0.7645111216826437,0.421436956736584,-0.4214369567365841,0.0098639162132175,"[11735.142822874752, 1327.0683432685041]","[[459.8722616906123, 2909.5298273666663], [115.88625048664295, 561.6569567993747], [11735.142822874752, 1327.0683432685041]]","[1023.2121633061746, 69.00192895782455, 17.379413422530664, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 38.68528111046384, 310.15, 0.10343062157073192], [2, 28.87342274684131, 310.15, 0.10242727743112394], [3, 26.708180239934126, 310.15, 0.11040498818962405], [4, 25.08580220559825, 310.15, 0.11727545814168006], [5, 23.86526112834117, 310.15, 0.12305329781954452], [6, 22.94368045596828, 310.15, 0.12781877310799697], [7, 22.24562219409756, 310.15, 0.13168832907724032]]",105.05934077428876,1835.737772801661,3868.957133880504,2162.3365540013424,111.09789986240524,340.1377157304155,9.575979821234908,10.349463310324012,0.5673174301147972,0.7645111216826437,462082.1623999645,908.5673116133778,104.94606292037604,"(993.4458484059937, 26642.44350122642, 3291.707139032625)",2162.3365540013424,104.94606292037604,0.9635083544492669,0.00012336146275313377,0.9632976563425072,8.733664400620322e-05,0.07527972132796462,10.251574833845144,3.2435974970742303e-07,1.4230341694991824,0.003865263872849732,20.021287952586896,2.304467007164003,17.697128465338942,0.019692480083955567,0.00012720251363040056,0.0008262276833798593,0.008792890503219686,1.6799653351524723e-10,1.841376905917982e-19,1.2843281258319277e-10,3.956372074791676e-11,7.318961310970227e-09,6.703212881267677e-10,6.6259400438989226e-09,2.1787355167259574e-10,5.240377155834525e-08,4.477993373463104e-08,0.0023805420202760376,0.010646943316080829,3.4654046803684793,150.7505984960703,2391.3263281781224
