,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,21.67831157598731,97.57952602626126,0.1078578639581431,0.3769724825383647,0.8519587070995839,-0.8519587070995839,0.0,"[4118.353304874837, 14879.220793269717]","[[0.0, 0.0], [0.0, 0.0], [4118.353304874837, 14879.220793269717]]","[1030.0176491258856, 82.38448410414185, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432]]",63.24129161153438,2570.64946694848,6052.136665242421,-1267.789451380506,354.2556721014792,299.8474759095922,19.35838624805348,19.98287185189221,0.5461615410565304,0.3769724825383647,-30717.04594738927,576.3810638939157,-26.088664943861488,"(1526.6787522567913, 54267.11215408049, 5236.30311251454)",21532.95806934781,443.10680114093225,1.4918851438195229,0.0002038347698757702,1.4915251359610584,0.00015617308858806105,0.06105380060245371,20.556677332542428,3.6087967056582903e-07,1.3475266109820507,0.0036513858126024775,18.85519513735933,4.219974093342539,14.596916254242498,0.038304789774292476,9.237577592199484e-05,0.000711341144129717,0.007544576255290317,2.1786562486441227e-10,3.7818223865106923e-19,1.1112696575914828e-10,1.067386587270817e-10,6.551592278346932e-09,1.048980483233178e-09,5.456211092495053e-09,2.761640163358239e-10,3.828738303155658e-08,1.3744738644762305e-07,0.0023763389367661356,0.03135368439799373,-47.997919193268395,401.4466929936916,-1220.817142912363
1,AlTCPP,21.94412399624448,98.097979597497,0.1364057952015941,0.4676635972586133,0.6976874854484513,-0.6976874854484513,0.0,"[5167.61284738896, 18381.34653815473]","[[0.0, 0.0], [0.0, 0.0], [5167.61284738896, 18381.34653815473]]","[1050.0301190947462, 102.39695407300246, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",66.12811024387845,2117.3431407376493,4710.505622769893,-6697.122267502777,278.42360625010207,260.7654606295636,15.853002864099617,16.477117721234073,0.5452805626132315,0.4676635972586133,61134.88346931664,432.85148938539584,-146.6517063350617,"(1192.1598567284047, 41350.36030017162, 4088.9482212115217)",17454.777202273202,382.2198189262249,1.2205585160814112,0.00016905923014593423,1.2202493369153018,0.00014011993596287783,0.05680355577465683,16.421117911416044,3.11848450212524e-07,1.1914282833158505,0.003295794609287072,16.699834711068128,3.3836310260625866,13.285594687869738,0.030608997135796828,8.649851519336063e-05,0.0006454194899489521,0.006850715466075884,1.8364689339059703e-10,3.009675307633413e-19,1.0064209236218132e-10,8.300480072744816e-11,5.860233755076694e-09,8.591724077558099e-10,4.9640574123956645e-09,2.3240758039297573e-10,3.5867322280501475e-08,1.0615939467505326e-07,0.002094496277917934,0.029490794211843398,-21.636344810608488,325.269069369546,-5541.04712449866
2,AlTCPP-FF2,23.53995304135408,93.0289119084518,0.0385295743954351,0.1416959617987127,2.212851113733968,-2.212851113733968,0.0,"[1459.658831620905, 4741.11323048403]","[[0.0, 0.0], [0.0, 0.0], [1459.658831620905, 4741.11323048403]]","[978.9020524142181, 31.268887392474383, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",94.39059174771778,6345.583407370915,17099.87939207267,-401.1267663677008,1026.7107991673083,620.2240402982824,50.28087184522464,50.90278967035606,0.5400402449002318,0.1416959617987127,-782174.810537325,1742.037944066254,-6.807592354637452,"(4279.032427568, 160534.9660591612, 14676.506623219286)",53570.61463072799,909.1562497703668,3.887345698209069,0.0005113053417611236,3.8865375096553905,0.00029688321191656975,0.09839080317091461,57.11985437730807,7.97102686709773e-07,2.718422935052539,0.006852384563731912,37.77369829536753,11.61187506287922,26.0554307649236,0.10639246756470795,0.0001433287168520688,0.00133061199356776,0.014108975751701822,5.203698103081132e-10,1.0625394236251986e-18,2.0278476457876572e-10,3.1758504466680807e-10,1.2609026050665242e-08,2.72748086945925e-09,9.751407389102145e-09,6.627173053908943e-10,5.934162916035798e-08,4.1722638199334475e-07,0.004962042562093275,0.0474424040024594,-268.6066286079388,1076.194028795122,-396.18756062840936
3,Ca-SQA,39.354349663348806,98.65070406534753,0.0994139812147429,0.3236040445856685,0.8316357142016015,-0.8316357142016015,0.0,"[7214.772034806807, 11118.073245383439]","[[0.0, 0.0], [0.0, 0.0], [7214.772034806807, 11118.073245383439]]","[1105.951357410582, 158.31819238883836, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432]]",169.6895491418168,1564.4634663892089,4897.047292013831,-1341.6081537014409,288.44519938389595,247.28390461578425,18.896602897572848,19.499514363024264,0.4922308180179551,0.3236040445856685,-4618.128434017242,527.8561512927437,-32.22564401332705,"(1306.2245851733398, 46057.194446110036, 4480.174922769674)",16276.589203548312,390.9662951716354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,337.702082996832,0.0
4,CALF20,27.282555396519783,98.0501572739925,0.0707986662903912,0.2408379284994075,0.9313313070954182,-0.9313313070954182,0.0,"[5287.581122262875, 14093.232168186336]","[[0.0, 0.0], [0.0, 0.0], [5287.581122262875, 14093.232168186336]]","[1058.2851307244807, 110.65196570273692, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432]]",101.41559544214324,2133.70308502529,6245.091208206611,-916.8931356165438,357.4634500573804,291.319730209136,21.161907281910352,21.77886817344634,0.5280684733298168,0.2408379284994075,-68781.73563803441,632.0808593388584,-20.005712914266283,"(1610.1854022621449, 57619.89738653494, 5522.719708469851)",20680.183621364995,451.221413349487,1.6264964303055738,0.00022256605284516525,1.626107449757669,0.00016641449505865006,0.06449749443975397,22.579369969893005,3.955651030403206e-07,1.4409240522141038,0.0039365859024008765,20.134796879572246,4.629443834552863,15.463238095704554,0.042114949314826663,9.701556757232365e-05,0.0007826800824188596,0.008326950438761468,2.352872144418823e-10,4.1732973069077203e-19,1.1749100176122777e-10,1.177962122633248e-10,6.979566564327468e-09,1.1428003743750702e-09,5.785410996771225e-09,2.995841681195796e-10,4.025907119872065e-08,1.532619062014636e-07,0.0026136824236518944,0.0328898408270869,-61.42807352305639,405.8146773905982,-883.2867935320122
5,CAU10,19.60400534345009,98.79872601785638,0.1554170260671475,0.5043535193581177,0.6352454638010344,-0.6352454638010344,0.0,"[8432.518210043689, 34581.74373444758]","[[0.0, 0.0], [0.0, 0.0], [8432.518210043689, 34581.74373444758]]","[1109.3434909580865, 161.71032593634266, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432]]",39.255362985822266,1494.463918119731,4099.22230971757,5069.556936550553,219.15436362026,233.52430620561708,14.434182018573916,15.061607491534586,0.5531176845059274,0.5043535193581177,97644.96472645062,377.142185514016,127.14412374005678,"(1099.947962991545, 37701.6761550086, 3772.67380822751)",5069.556936550553,127.14412374005678,1.1144357826871059,0.00015487668829718062,1.114148333293993,0.00013257270481544097,0.054294678002967375,14.853742112050181,2.885575719031915e-07,1.1218215630778712,0.0031185870018262444,15.738933624816054,3.065656905385423,12.64566343552502,0.02761328390561117,8.3091884767785e-05,0.0006091774951539187,0.0064633983279055104,1.688060654918458e-10,2.7092022999611035e-19,9.533272745718161e-11,7.347333776374398e-11,5.542350948381299e-09,7.82024450712969e-10,4.7273568805784076e-09,2.143204547880664e-10,3.446606721514278e-08,9.233282564677706e-08,0.0019584766572825277,0.02839975771072816,-11.306109540342325,265.0874412335272,5988.159959169099
6,CAU21,15.857837683936152,93.71010443472036,0.0281863809295608,0.1038745224798322,3.053323151382285,-3.053323151382285,0.0,"[1533.9014872394705, 8138.927291890353]","[[0.0, 0.0], [0.0, 0.0], [1533.9014872394705, 8138.927291890353]]","[976.8610138845193, 29.227848862775502, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432]]",41.085846034547984,7066.798568143281,26095.342354248267,-316.52799466058565,1279.113476095209,836.1134289650931,69.37825555631439,70.01119803744187,0.5660578416306795,0.1038745224798322,-1426120.3802781086,2781.0339839452995,-5.811933550826771,"(6873.1191200232815, 260210.98979597428, 23573.87563536846)",75159.55349740906,1380.0432758093252,5.3867956092792415,0.0007008385419026137,5.385717807126773,0.0003769636105633772,0.11682874383011513,80.28571354871407,1.0507343407488769e-06,3.5209024225723273,0.008635046951905338,48.84203181807821,16.288815643907654,32.40404735085623,0.1491688233143205,0.00016817022387049504,0.0016630293656868993,0.017612696034032455,7.006449305561374e-10,1.4931091966442601e-18,2.521944508241559e-10,4.4845047823887225e-10,1.6082628878995305e-08,3.761056782351804e-09,1.2139909241190372e-08,8.995644815852098e-10,6.964676208386877e-08,5.894189013380108e-07,0.0064451835005158555,0.05518765761034745,-411.08707467933044,1325.1400417847913,-313.43724959965516
7,CuAlPyC,28.94100914260634,98.99723196953042,0.1419747440594971,0.4457932233588622,0.589074867160173,-0.589074867160173,0.0,"[9609.828259477503, 23595.05486026872]","[[0.0, 0.0], [0.0, 0.0], [9609.828259477503, 23595.05486026872]]","[1146.5160344143417, 198.8828693925979, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",102.10750870164446,1289.8723815196176,3327.7271047401587,1573.1156260113044,195.64361496697904,209.98949206483567,13.385083939490135,13.99993721888107,0.5229008396959642,0.445793223358862,127442.53353256508,326.774645261464,40.91585992133718,"(882.2454127977879, 29541.30792126829, 3025.9832949176225)",1573.1156260113044,40.91585992133718,1.020002198992328,0.00014717812303852832,1.0197218434966948,0.00013317737259441106,0.055175467406283187,13.31336171569876,1.0539165849702396e-06,1.103925323292633,0.003123743198851176,15.608590297908897,2.7864266067007994,12.796967837845429,0.025195853362664014,8.647247315182086e-05,0.0006123975755337935,0.006513327906695281,1.6454109569325738e-10,2.455006994167258e-19,1.0007138830451332e-10,6.446970714324337e-11,5.856643407683813e-09,7.193947334692112e-10,5.087109456363583e-09,2.214457631291423e-10,3.489752297265624e-08,8.061110299186476e-08,0.0019258776340468791,0.028860147884080267,-1.980162333544205,243.47666885281606,1676.0651288380548
8,CuAlPyC-FF2,21.30139504982194,98.68416583900247,0.1095657497496137,0.3612305588951878,0.7602644783242447,-0.7602644783242447,0.0,"[7416.164369160181, 27399.228481000464]","[[0.0, 0.0], [0.0, 0.0], [7416.164369160181, 27399.228481000464]]","[1091.9250583477256, 144.2918933259819, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",49.08662533258299,1686.65540123596,5133.360171165414,-1944.817320988809,270.1798695013273,259.47534967618674,17.274890554472975,17.89990420673037,0.5474147706952474,0.3612305588951879,21094.22828472813,496.4954477008441,-46.49371977581741,"(1368.938775891455, 48116.648086309004, 4695.2761754534195)",17495.45221903905,418.2545291244272,1.3343526207595318,0.00018749251754689752,1.3340156917103727,0.0001494365316116292,0.05847808381017684,18.207248173323432,1.2870254753448558e-06,1.266516564204372,0.003484768863906375,17.87125353034465,3.780635949810164,14.056272012701491,0.034345567832994514,9.123291718392197e-05,0.0006812671464712982,0.0072450711584785546,2.0382407143857148e-10,3.375193931768452e-19,1.1094888302696428e-10,9.28751880740878e-11,6.635200698672526e-09,9.384400956650586e-10,5.6310419835258505e-09,2.751122239367282e-10,3.6640343278157e-08,1.1658691545431832e-07,0.0022364494669043435,0.030123864587530802,-32.995309475738736,316.4591107315088,-1814.016129220699
9,DAZMID,17.814692450204756,92.92415500917248,0.0209914841207318,0.0779492807992835,4.040426376432779,-4.040426376432779,0.0,"[1133.6644376321813, 5229.984223724032]","[[0.0, 0.0], [0.0, 0.0], [1133.6644376321813, 5229.984223724032]]","[969.4681215753969, 21.83495655365327, 0.0, 0.0, 473.8165825108733, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432]]",187.5441491564065,9356.269749076406,34731.4153090794,-298.5032408107284,1718.6476369191412,1072.8233776182626,91.80742417445158,92.43745163904988,0.5592365079736596,0.0779492807992835,-2024657.675044996,3717.404775716359,-5.3346968541089295,"(9121.51875418835, 346922.72383137856, 31285.584457641242)",98830.548362726,1766.2488822853204,7.127127297930382,0.0009233861571040781,7.125727093067609,0.0004768187056669302,0.14248686970641403,106.93221576796928,1.3620207302377156e-06,4.500301713204235,0.010888946561775366,62.35556148662769,21.673860488642145,40.48301300548317,0.1986879925023858,0.00020308808424733356,0.0020936926241087806,0.02216892801968368,9.177345163791291e-10,1.9909429728342664e-18,3.1646561739390924e-10,6.012688969942768e-10,2.0389294226246304e-08,4.9754382852716875e-09,1.517157953982071e-08,1.1789134059641328e-09,8.408062212562221e-08,7.920547006622717e-07,0.008276230177221752,0.06618412199253887,-569.358126793815,1764.8678608514626,-295.75003417957095
