,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,92.81268552882264,93.99085931437271,1.3892588326346025,4.110409504422348,0.096678506680877,-0.096678506680877,0.002774940140596,"[53046.28234551003, 4107.847010047408]","[[1579.4063310296483, 5116.352884726108], [1667.4918159690753, 2770.874066626944], [53046.28234551003, 4107.847010047408]]","[1216.747818460347, 265.76797359634367, 14.149023938183953, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.32931001847139, 310.15, 0.20931172025665978], [2, 90.26974034010188, 310.15, 0.22017334899523192], [3, 85.98852508989478, 310.15, 0.23032571967014007], [4, 82.35613562209384, 310.15, 0.23973590326971161], [5, 79.26609009398089, 310.15, 0.2483936632248849], [6, 76.63070023368523, 310.15, 0.2563073491523835], [7, 74.37759735073872, 310.15, 0.2634997312315508], [8, 72.4469035741628, 310.15, 0.2700041176891655], [9, 70.78893440485044, 310.15, 0.27586095311074715], [10, 69.36233625128426, 310.15, 0.2811149816974024], [11, 68.13257817533957, 310.15, 0.2858129806041282], [12, 67.07073076195296, 310.15, 0.2900020201059553], [13, 66.1524769042451, 310.15, 0.29372818250569366]]",42.181854268709806,114.82698033734673,347.33601129614726,67.11598046832258,54.91256267845326,,2.19674951217404,2.831994102466932,0.4253728620854413,4.110409504422348,84218.8913509691,156.42634816645588,0.8224462832407151,"(1655.3269899594288, 1344.784206875484, 291.5557110394706)",67.11598046832258,0.8224462832407151,0.18257984836497557,4.0943017659873324e-05,0.18247782130835594,6.108403895978281e-05,0.010249058402830353,3.4968682700802924,7.11167021709932e-08,0.4334491966264023,0.00024187299103515985,0.6405715509272374,0.062199707324606994,0.5749831263940534,0.0033887172085770027,8.023549694399363e-06,6.168492480892233e-05,0.0006736532742099144,2.143711217034425e-11,7.249527045992898e-20,1.042185346287832e-11,1.1015258634970659e-11,3.9097936655452993e-10,7.737109480659842e-11,3.090402313895842e-10,1.936252056493233e-11,1.0176146204923045e-09,2.645692547744745e-08,0.00020274695750899151,0.039296082096209495,76.8300224730608,54.91256267845326,67.17789201626087
1,AlTCPP,94.19442812628526,95.35218861577846,1.9707279553446984,5.356526073998545,0.0789969295867694,-0.0789969295867694,0.0026997415985557,"[74659.2847151176, 4601.544402102424]","[[1673.5572902486476, 5448.14542110912], [1828.8644409876215, 3088.83441997632], [74659.2847151176, 4601.544402102424]]","[1324.481677346698, 372.6019020646166, 15.048954356262236, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.63084346842336, 310.15, 0.20831996737878647], [2, 90.79280743603111, 310.15, 0.2182469190102013], [3, 86.66932559877856, 310.15, 0.22754148512043748], [4, 83.14427561536748, 310.15, 0.23618341021782469], [5, 80.12214048782684, 310.15, 0.24416879065640204], [6, 77.52411303284438, 310.15, 0.2515070812432157], [7, 75.28496061168171, 310.15, 0.2582181473887596], [8, 73.35050164755538, 310.15, 0.26432954781565166], [9, 71.6755736572092, 310.15, 0.2698741530191267], [10, 70.22239563462907, 310.15, 0.2748881427442567], [11, 68.95924652052962, 310.15, 0.2794093824154594], [12, 67.85939688665829, 310.15, 0.2834761513420539], [13, 66.90024345620094, 310.15, 0.287126181021363], [14, 66.06260617459881, 310.15, 0.29039595629938453]]",50.401919346528224,94.21179879224944,305.90788187167334,55.662654029073565,47.25174109275129,,1.794984971228441,2.4285960925441388,0.4203437756409662,5.356526073998545,87721.10678798467,135.7764929953735,0.6265438820876649,"(1623.319776025824, 1066.6655034908945, 250.9983981786513)",55.662654029073565,0.6265438820876649,0.15170828293567595,3.65400943878827e-05,0.1516132155497079,5.852729158013995e-05,0.009640077783072208,2.9626384883253176,6.44531171944986e-08,0.4165657095259503,0.00021459810821812934,0.5976970165054662,0.053600846597779105,0.5410836969509952,0.003012472956691774,7.50100460504216e-06,5.4544122508547494e-05,0.0005964505243803478,1.8608308885739497e-11,6.74556577820639e-20,9.402080689095597e-12,9.206228129188243e-12,3.611034624661416e-10,6.907165691693112e-11,2.88096817169771e-10,1.6018643924821056e-11,9.190982966449692e-10,2.139013754549074e-08,0.00017581095889557453,0.03807093195834664,80.88647180672,47.25174109275129,55.70223089796867
2,AlTCPP-FF2,98.28010177742014,98.52250101006452,1.2234327449516913,3.754392509447237,0.1006342721305936,-0.1006342721305936,0.0024800354516803,"[46348.66694178997, 811.0999932892336]","[[317.2893062435149, 1114.7983495258766], [206.89463307543656, 288.2080100433578], [46348.66694178997, 811.0999932892336]]","[1173.1213160966345, 232.66165079586253, 3.62884437495266, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.93819263753613, 310.15, 0.2884424527534982], [2, 62.71717784226516, 310.15, 0.316371361096122], [3, 60.89928719806629, 310.15, 0.32558843612323335], [4, 60.3056313577698, 310.15, 0.3287162853671348], [5, 60.10479427656743, 310.15, 0.3297881519309361]]",4827.026604321984,123.21211553423032,352.27650768066115,69.74955754460524,56.70809150231453,,2.286633252834452,2.916456860507308,0.4067110348644084,3.754392509447237,83527.11024405656,160.50524620249672,0.8662754228045824,"(1590.1932285906037, 1404.9940591814552, 299.6711262692922)",69.74955754460524,0.8662754228045824,0.187835217764886,4.100751722784488e-05,0.18773487992488014,5.933032277796997e-05,0.010049306955461948,3.5717060774571774,7.09091182845035e-08,0.42041713034586586,0.00024381273344404838,0.6296841318839675,0.06316992219609809,0.563113193630718,0.003401016057151357,7.880712154563033e-06,6.25076686002024e-05,0.0006826340220236593,2.1722708136182172e-11,7.135394724693362e-20,1.0401264666082838e-11,1.1321443398745384e-11,3.8604904160170367e-10,7.753390223779622e-11,3.038483322239669e-10,1.9984725428644714e-11,1.0155614611855347e-09,2.763132471861192e-08,0.00020664780982050356,0.03797320783256691,80.01650557809785,56.70809150231453,69.82338158797198
3,Ca-SQA,97.9809267684105,98.17746700329624,1.3972755065611515,3.4581290349653155,0.0935497865190938,-0.0935497865190938,0.0025140824956087,"[101404.4918680202, 2089.6219483368523]","[[860.707311172793, 2803.6169145954236], [943.7775363074145, 1429.539459405522], [101404.4918680202, 2089.6219483368523]]","[1454.5992277210091, 509.6154518440807, 8.152954951109038, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.83007708915426, 310.15, 0.22091588489600644], [2, 80.44844661578664, 310.15, 0.24016001327519138], [3, 74.6916077359651, 310.15, 0.2557014072106666], [4, 70.80799100465839, 310.15, 0.2681944211097], [5, 68.14065852232059, 310.15, 0.27825611066674205], [6, 66.1600710423288, 310.15, 0.28624153462355034], [7, 64.67838123128575, 310.15, 0.29252868631912304], [8, 63.56323758121092, 310.15, 0.2974497718662306], [9, 62.71994077152089, 310.15, 0.3012849511131348]]",150.62044926378752,84.7648787845549,322.77469907502547,58.46226985682948,48.23710941492864,,2.125658069772957,2.7560653779625284,0.408102279666349,3.4581290349653155,84670.40691608841,153.76411016457317,0.7847900524329993,"(1585.2059348497382, 1290.09559109479, 282.8661775771046)",58.46226985682948,0.7847900524329993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.23710941492864,0.0
4,CALF20,97.17130602624206,97.54615001845148,1.17157284021823,3.0489313697438467,0.0897698649659807,-0.0897698649659807,0.0025479414909887,"[87498.63179462976, 2547.118718386808]","[[1062.7390219472713, 3393.1119020015913], [1035.1007635223034, 1592.0809277127146], [87498.63179462976, 2547.118718386808]]","[1383.3247499893614, 436.69592835738933, 9.798000706152706, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.22949995040474, 310.15, 0.21752382080010732], [2, 83.83909599040356, 310.15, 0.23486387974769174], [3, 78.35129696211979, 310.15, 0.24977805740262995], [4, 74.22543864776794, 310.15, 0.262388805513803], [5, 71.09035386472596, 310.15, 0.27291277448326867], [6, 68.68658359215482, 310.15, 0.2816074456201364], [7, 66.82960492266865, 310.15, 0.2887358295371652], [8, 65.3860564029118, 310.15, 0.2945458395314097], [9, 64.25811810531052, 310.15, 0.2992599979956496], [10, 63.37308002929424, 310.15, 0.3030717315548067], [11, 62.67625874939975, 310.15, 0.3061455148336486]]",105.9651669551207,91.60877638993128,323.6980391357325,58.85631890973709,48.92259456658515,,2.0397698913873894,2.6708279476012504,0.4106856148723145,3.0489313697438463,85891.45191606542,146.56455238168985,0.7434904066587116,"(1601.1072505910124, 1239.7294946499028, 276.02278417540896)",58.85631890973709,0.7434904066587116,0.1696566403255361,3.8763319488838476e-05,0.1695591533089066,5.872369714065287e-05,0.009826218175392292,3.2659321393378766,6.800012945130227e-08,0.4169214962639134,0.0002321854311643121,0.6119494217244797,0.05844522676811074,0.5502988717358536,0.0032053232205155194,7.665308420923739e-06,6.005542522575261e-05,0.0006572619241203387,2.0066477405376813e-11,6.926723962627868e-20,9.853781084213011e-12,1.0212696251896567e-11,3.728401459594394e-10,7.298522113621647e-11,2.9553530503328913e-10,1.803020558382008e-11,9.675964259499426e-10,2.458674747418411e-08,0.00019514185353187503,0.037863841844754144,80.99679792963028,48.92259456658515,58.91851123584013
5,CAU10,93.52436516908544,95.4760356765415,1.7955319620549128,4.53230609691054,0.0856027904225497,-0.0856027904225497,0.0027412213378874,"[97420.83187334932, 6745.426509927974]","[[1812.8571941887976, 6130.354523004858], [2663.1998371639343, 4892.3786531938185], [97420.83187334932, 6745.426509927974]]","[1426.1867855315054, 472.87899066191153, 16.4769739437745, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1978], [1, 96.49033695472005, 310.15, 0.20571615109577945], [2, 92.30099209166576, 310.15, 0.21318671839218398], [3, 88.65683049273079, 310.15, 0.22020838498051581], [4, 85.47563609105545, 310.15, 0.22678412348604704], [5, 82.68950105364878, 310.15, 0.23292207829384454], [6, 80.24201541221052, 310.15, 0.23863451560307436], [7, 78.08606502910582, 310.15, 0.24393686941073833], [8, 76.18209524705507, 310.15, 0.24884689848939104], [9, 74.4967334105997, 310.15, 0.25338395939457686], [10, 73.00168971686212, 310.15, 0.25756839332621617], [11, 71.67287524915426, 310.15, 0.26142101987373234], [12, 70.48969047011617, 310.15, 0.2649627278189054], [13, 69.43444825019515, 310.15, 0.2682141517810791], [14, 68.49190364653926, 310.15, 0.27119542314808986]]",43.89308777669733,86.61812730238172,322.7217452288288,55.95366183022086,46.82494333599328,,1.9450847407293312,2.578602039674177,0.4216501664536861,4.53230609691054,88912.33191246235,128.75275995010415,0.7020004829730178,"(1681.673094755543, 1211.5657645207266, 274.00787013158737)",55.95366183022086,0.7020004829730178,0.16373271127895536,3.821406573242181e-05,0.16363505595027747,5.9441262945484e-05,0.009854398946380025,3.171635516534822,6.685260819065903e-08,0.4225653664363869,0.00022473547686252911,0.6133707571198213,0.05690987027835719,0.5533081760117374,0.003152710829726599,7.689234983162142e-06,5.713274177512571e-05,0.0006242949126371827,1.9631244746519842e-11,6.930301597238865e-20,9.771759218770358e-12,9.859485458446465e-12,3.7226156030106917e-10,7.199383094926255e-11,2.9611354272094505e-10,1.7300344459122695e-11,9.546926321022008e-10,2.325519806792857e-08,0.0001858008684038544,0.03849610248746892,79.84348549305508,46.82494333599328,55.99279556612285
6,CAU21,86.69355515292509,90.82374406072104,0.269483410547826,0.956045501832758,0.3478792996290513,-0.3478792996290514,0.0029901001503753,"[14665.274171192246, 2250.947738640725]","[[769.7266103079884, 2540.1778039215446], [516.7294263607014, 924.3191576565157], [14665.274171192246, 2250.947738640725]]","[1014.742787986969, 70.47671001705334, 7.4352570440962475, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1978], [1, 87.44535145361192, 310.15, 0.22281857135994854], [2, 78.61441459739667, 310.15, 0.24288683880776862], [3, 72.82207803891725, 310.15, 0.2584328754692412], [4, 68.93283106661166, 310.15, 0.27019095425482603], [5, 66.27477390351132, 310.15, 0.2789404543303137], [6, 64.43401916267244, 310.15, 0.28537943553178274], [7, 63.146785412503164, 310.15, 0.29008221881624274], [8, 62.24018613888927, 310.15, 0.2934990037976614], [9, 61.59879008480024, 310.15, 0.29597319852915616]]",39.89050149391683,320.77191798389373,924.7513340458728,369.9895688034576,142.16982129656634,,7.90458715170374,8.544081990753673,0.4435883995624935,0.956045501832758,41235.75413322898,409.86465723331975,6.990590710327039,"(2094.7357874271174, 5602.779520681485, 917.0370291901128)",369.9895688034576,6.990590710327039,0.6187190483481411,0.00010120443611631488,0.6185266840587426,9.115985328202518e-05,0.01798664603267168,11.006287061651344,1.6114242732730284e-07,0.6280838971978666,0.0006252312282279079,1.1935722579766914,0.18228662997838016,1.0027477693817248,0.008537858616586501,1.4720874037273792e-05,0.00016418226644745253,0.0017843207248953497,6.032717658653462e-11,1.3798716093842304e-19,2.4088530233814267e-11,3.623864621473319e-11,7.831259961606813e-10,1.8960053986847805e-10,5.801109942835192e-10,6.669746391086173e-11,2.352049842490753e-09,9.859934820525247e-08,0.0005881827081365494,0.052401536077896105,34.62936356805659,142.16982129656634,372.8741776389059
7,CuAlPyC,96.33839316727764,97.5082360866962,1.3258516402561986,3.4595418980165067,0.0948684226247364,-0.0948684226247364,0.002583383594486,"[89742.76829877, 3410.9218846906247]","[[1003.137799242667, 3375.569172622344], [1193.764218010826, 2106.3598190954376], [89742.76829877, 3410.9218846906247]]","[1379.6814854761274, 433.2593346425476, 9.59132990776051, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.10469052754483, 310.15, 0.21381900206460447], [2, 83.72011960267682, 310.15, 0.22751745335982532], [3, 78.27588668089365, 310.15, 0.23906260102580068], [4, 74.19618136609124, 310.15, 0.2486847474692782], [5, 71.09843598831769, 310.15, 0.25663561098317794], [6, 68.7207049978336, 310.15, 0.2631620066008372], [7, 66.97900512346324, 310.15, 0.2685420921549354], [8, 65.65825384078704, 310.15, 0.2730114503250247], [9, 64.59698757070346, 310.15, 0.27672573734833805], [10, 63.741135456056675, 310.15, 0.2798047708063547]]",109.61945394599506,91.87972151793976,341.9810147129769,60.08200152290108,49.36354485461009,,2.1556203987461084,2.786763827206233,0.4125916151910173,3.459541898016507,87765.72013736161,135.51344258631127,0.8058455876157599,"(1668.319386124691, 1373.1602914203684, 297.7341144645979)",60.08200152290108,0.8058455876157599,0.17921655880024398,4.04243191247453e-05,0.17911634274545177,5.979173566744274e-05,0.010032403319138166,3.4310138298341935,1.6022930374587626e-07,0.42332133016874957,0.0002428650536301381,0.6584045292646693,0.06458821697799816,0.5904589974131269,0.0033573148735441026,8.114474962966811e-06,6.175404174783084e-05,0.0006756864484192792,2.1577731606868233e-11,7.100775434887885e-20,1.0820523829100679e-11,1.0757207706759797e-11,4.309322046573573e-10,7.558083404508882e-11,3.4851768984302185e-10,2.1378248428148686e-11,1.0033785445048353e-09,2.579511053823312e-08,0.00020232576610376568,0.038233550626201436,80.03314556055673,49.36354485461009,60.14198432470127
8,CuAlPyC-FF2,95.17356204060064,97.02961246117808,1.131271429599298,3.105183253294914,0.1029688532618326,-0.1029688532618326,0.0026278706573179,"[76572.23983969307, 3883.1284347734045]","[[1001.866009021548, 3324.91248976337], [1210.460256311293, 2120.0297468922695], [76572.23983969307, 3883.1284347734045]]","[1311.5416432302525, 365.1835347929678, 9.527287511465298, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36204475941642, 310.15, 0.2156575715370345], [2, 82.79457839726983, 310.15, 0.23040714791377775], [3, 77.68217042722316, 310.15, 0.2423186961660172], [4, 73.9634696317394, 310.15, 0.25213346345689863], [5, 71.10898520083123, 310.15, 0.26030743392421785], [6, 68.8899818729307, 310.15, 0.267091945194759], [7, 67.1474754971883, 310.15, 0.27270863055783995], [8, 65.76800281205672, 310.15, 0.2773492498150391], [9, 64.668761640601, 310.15, 0.2811775053304848], [10, 63.78817439439424, 310.15, 0.2843318034342452]]",79.09616962996371,100.88255361211507,366.2506082223424,65.09238945882936,52.54115993849215,,2.3396800999284846,2.971240907358812,0.4156242969127918,3.105183253294914,87285.2870855059,138.34618463734748,0.901987391316894,"(1709.973032607186, 1528.762380686825, 321.34750281884976)",65.09238945882936,0.901987391316894,0.1937344455112223,4.256887687120056e-05,0.1936307684132506,6.110822110044047e-05,0.01033710955975594,3.683076511569601,1.7380065889394866e-07,0.4319803054697761,0.0002568159612694827,0.6831050048261806,0.06907684865637681,0.6104864544279058,0.0035417017418979723,8.40216968028984e-06,6.54339298320864e-05,0.0007157523472622112,2.2986220785973304e-11,7.348926136253233e-20,1.1381994935069432e-11,1.1604225777414611e-11,4.51005773835957e-10,7.953769372271844e-11,3.6406146417865173e-10,2.3225585006439075e-11,1.0518403681928349e-09,2.8169968186425308e-08,0.0002158272580613597,0.03886316111552491,78.23163429284295,52.54115993849215,65.1660729470286
9,DAZMID,45.970652146937006,78.15105804615861,0.0354855683273961,0.1349627605585827,2.378948313153616,-2.378948313153616,0.0054338459040075,"[1916.4308073960738, 2252.382811498311]","[[252.6450235141943, 1061.0519711626475], [22.62096929374439, 114.88986112819724], [1916.4308073960738, 2252.382811498311]]","[946.542923765813, 6.311032017291286, 3.4010708227023874, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.77873848184838, 310.15, 0.16633137159967673], [2, 61.3346022182996, 310.15, 0.16098544531807232], [3, 60.267451452337035, 310.15, 0.15991110326145422], [4, 60.05378838721952, 310.15, 0.15969489494423603]]",91.728187963752,3113.673116504773,8093.940091323276,-281.94331082839994,879.6607657859522,,54.05496760161637,54.72271543119355,0.5489537412615627,0.1349627605585827,-488604.6848411479,3533.923849299225,-6.077349962546775,"(7183.55564870643, 57733.441393904075, 8571.114576014592)",1176123923357.3557,296942.16631195287,4.141052243998758,0.000586235783252146,4.140136762792409,0.0003292454230941071,0.07976942591293282,71.61095926728694,8.844395772407452e-07,2.1651575914221706,0.003713089858278904,5.621836969065724,1.1509436327636478,4.420879963591129,0.05001337271094695,6.834943392398052e-05,0.0009900511009799052,0.010733097261490339,3.7464118331735904e-10,6.625284119635002e-19,1.3419925037492864e-10,2.4044193227990184e-10,3.929330477450524e-09,1.095326756969087e-09,2.7493543599139015e-09,4.488645932535047e-10,1.3094260803869359e-08,6.808430907369685e-07,0.0036969462651657843,0.15487925505219452,-245.47655624676372,879.6607657859522,-280.0528922964008
