,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,88.47688810244728,94.16452499963904,1.0098783974899996,3.0268651378177034,0.1205104492983906,-0.1205104492983906,0.0029291059020679,"[38560.34120459365, 5022.047407384517]","[[1186.9383321225769, 5355.629351286234], [1065.428993429096, 2636.702293315829], [38560.34120459365, 5022.047407384517]]","[1201.0981875410384, 250.39810776056294, 13.86925885465617, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.17720104575174, 310.15, 0.16109212418938598], [2, 89.99228194346757, 310.15, 0.16959973040195658], [3, 85.61079373352479, 310.15, 0.17756554875655853], [4, 81.90091456171821, 310.15, 0.1849539376757963], [5, 78.75357463737609, 310.15, 0.19174876893548562], [6, 76.07842408201579, 310.15, 0.19795051709509384], [7, 73.80050570173907, 310.15, 0.20357301177922435], [8, 71.85751705692232, 310.15, 0.2086402082995793], [9, 70.19756345026894, 310.15, 0.21318321722517833], [10, 68.77731785163503, 310.15, 0.21723772963453128], [11, 67.5605163538856, 310.15, 0.22084189306612684], [12, 66.51672891170973, 310.15, 0.22403463606454532], [13, 65.62035498413121, 310.15, 0.2268544040445759]]",45.10463070941716,800.6369979949025,498.2316986132923,72.62804587873545,29.597178046093028,114.10094023052618,2.7382639616265165,3.37559655717112,0.437202064252324,3.0268651378177034,590657.2858343206,197.9279614763529,5.87954258135371,"(0.0, 0, 0)",72.62804587873545,5.87954258135371,0.10423746443407746,5.9001455656637035e-05,0.10403550617394526,0.00014295680447553373,0.02173407868875121,2.7797765997437893,1.1909053152771354e-07,1.031430336580335,0.0003205863197431121,1.2817286541630135,0.06275697259937149,1.2142070666419418,0.0047646149217002096,1.6260629166226693e-05,7.729701633090369e-05,0.0008515685581491543,2.4054278988095913e-11,1.4258412928262363e-19,1.674841564759193e-11,7.305863197919856e-12,7.336176278106812e-10,1.1273922085251587e-10,6.155486289719767e-10,1.0891969323126093e-11,1.6220830748038606e-09,1.0749749185957348e-08,0.00020883167087310388,0.09767889352164041,84.34905367403736,50.12918833419433,72.73978540614372
1,AlTCPP,91.0678727267248,95.4408929470376,1.5347979642191802,4.152909230747347,0.0921637708622361,-0.0921637708622361,0.0028169954786875,"[58144.46275045625, 5702.930418521515]","[[1303.0615901487893, 5900.883535160345], [1343.2285670590034, 3296.35605386525], [58144.46275045625, 5702.930418521515]]","[1330.4583279309322, 378.4255885356671, 15.201918469445985, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.58458116985219, 310.15, 0.15996635446095286], [2, 90.7964685637789, 310.15, 0.1674514625140814], [3, 86.82300605549764, 310.15, 0.1745671059707116], [4, 83.39324118042043, 310.15, 0.1812388873191769], [5, 80.42722113984708, 310.15, 0.18745422841525308], [6, 77.85763282337699, 310.15, 0.19321058749627162], [7, 75.62768946442806, 310.15, 0.1985138237001399], [8, 73.689380831291, 310.15, 0.20337653430680688], [9, 72.0020243713053, 310.15, 0.20781647088285035], [10, 70.53106540047447, 310.15, 0.21185510366002183], [11, 69.24708320903198, 310.15, 0.21551637216276376], [12, 68.12496725090774, 310.15, 0.21882563585208914], [13, 67.14323368727679, 310.15, 0.2218088213580026], [14, 66.28345766684963, 310.15, 0.22449175183416634]]",52.65666203987786,613.845107540678,380.57678167375815,54.22707320487804,22.71487211394373,101.16748330351516,2.094164728361323,2.729226073910012,0.4288715144407553,4.152909230747347,589323.2929697244,189.7462484962868,4.6386629279230736,"(0.0, 0, 0)",54.22707320487804,4.6386629279230736,0.08790215765803171,4.972032413116759e-05,0.08773182418366356,0.00012061315023699787,0.01831337587822103,2.3455243453790637,1.0010231043513792e-07,0.870270073906312,0.00027115593050608015,1.0808124371391978,0.05288480113514306,1.0239169344852934,0.004010701518761244,1.3711396117024396e-05,6.557786373379575e-05,0.0007227695981775434,2.0221630305249692e-11,1.2021936701700076e-19,1.4085267045944307e-11,6.136363139086018e-12,6.183208171570565e-10,9.491933475809707e-11,5.189791362595752e-10,9.1088734502407e-12,1.366796573929154e-09,8.6962124806241e-09,0.00017707835421367348,0.08242429967144257,87.05143252818378,40.0467448054902,54.286340667606225
2,AlTCPP-FF2,97.0967332510044,98.53964843923843,0.9434001679579072,2.892810822192653,0.120773705666354,-0.120773705666354,0.0025098774336494,"[35739.88055979024, 1068.649823409374]","[[241.0544461985304, 1181.580214334333], [119.72318238671305, 258.90610241996285], [35739.88055979024, 1068.649823409374]]","[1174.0278965335974, 233.5934122241814, 3.6036633835966696, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780098493, 310.15, 0.22003801131457282], [2, 62.53430040775476, 310.15, 0.24172409487865976], [3, 60.768882781049605, 310.15, 0.24846760792134545], [4, 60.238169102134876, 310.15, 0.25057050129620184], [5, 60.07424765443761, 310.15, 0.2512273772212274]]",1582.5050912224715,825.7122951333853,514.2146053929029,72.91886660708361,30.73046005401514,113.961525353307,2.7442457285957675,3.3742509210129388,0.4095166490332675,2.8928108221926525,586838.0238984464,202.7392751943443,5.697091292213395,"(0.0, 0, 0)",72.91886660708361,5.697091292213395,0.10210325768587297,5.7801507275940584e-05,0.10190554689664416,0.00013990928195286472,0.02129504209594754,2.721675242615404,1.1689001156040618e-07,1.0093993324669235,0.0003150703622819354,1.2549010689476652,0.06151522124848468,1.188714918156111,0.004670929543069947,1.5920130687794306e-05,7.624648384958875e-05,0.0008402847877586264,2.3595731499878342e-11,1.3961569285001353e-19,1.642250797521287e-11,7.17322338504978e-12,7.184151806192272e-10,1.1050637599498282e-10,6.02629904565463e-10,1.0734993929520626e-11,1.5904846178374488e-09,1.0833349113992583e-08,0.00020596305390445846,0.09558544753700217,88.47842932237155,50.818436309624104,73.04017044949994
3,Ca-SQA,96.96107221693872,98.3158729969366,1.1647796662814938,2.7964223748152373,0.1047630612683396,-0.1047630612683396,0.002541331772418,"[84531.56850088087, 2649.365628799212]","[[730.6368550253596, 3230.9815802976755], [641.083358805289, 1388.4602580048038], [84531.56850088087, 2649.365628799212]]","[1499.4897896604148, 553.8961661352346, 8.762802599360791, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.06446354794646, 310.15, 0.17003229253773142], [2, 82.07364949495707, 310.15, 0.18568861674481957], [3, 76.33181813797502, 310.15, 0.19892545153045063], [4, 72.16015227493747, 310.15, 0.20983917931063628], [5, 69.10037599904153, 310.15, 0.21866592139932628], [6, 66.8382420375401, 310.15, 0.2257012942643017], [7, 65.15490045053454, 310.15, 0.2312474604386536], [8, 63.89567833695362, 310.15, 0.23558358214581382], [9, 62.94978458555075, 310.15, 0.2389526024875286], [10, 62.23691984253573, 310.15, 0.24155796028841575]]",153.75204763264318,521.2682883375036,352.96193308836774,53.14350766004973,20.02438360187045,99.855040124283,2.380448474392969,3.0111464822090865,0.4106962538731065,2.7964223748152373,585350.9239901466,199.4529463982836,5.027188986101417,"(0.0, 0, 0)",53.14350766004973,5.027188986101417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.405350140447986,0.0
4,CALF20,95.3696158194764,97.8381064183242,0.9833443687551062,2.484557910195049,0.1000653730712223,-0.1000653730712223,0.0025999785117464,"[73440.83431722323, 3565.6983044853473]","[[823.5584546419277, 3706.2455195770694], [698.4166299793075, 1672.796519125619], [73440.83431722323, 3565.6983044853473]]","[1424.8167502928009, 478.04975144211176, 9.936177924869792, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.50371364488625, 310.15, 0.1661897438064832], [2, 84.2219199124203, 310.15, 0.178659557899062], [3, 78.75444754427862, 310.15, 0.18946934969111515], [4, 74.60498757506396, 310.15, 0.19868337555517693], [5, 71.42721498855178, 310.15, 0.20643133601724717], [6, 68.97511989093971, 310.15, 0.2128762747530658], [7, 67.07107850536268, 310.15, 0.21819134939219914], [8, 65.5849340315053, 310.15, 0.22254480574216032], [9, 64.42004221739872, 310.15, 0.22609138998284287], [10, 63.503800137604735, 310.15, 0.22896830173787924], [11, 62.78110878860253, 310.15, 0.23129408656084247]]",105.37745856153244,567.1157167310391,386.6745406421978,54.363956573325005,21.69570045718388,101.15645263646458,2.273706607874209,2.905076257682864,0.4149855856394157,2.484557910195049,589237.3194358005,191.80021950295256,4.864546278538999,"(0.0, 0, 0)",54.363956573325005,4.864546278538999,0.09132297233086965,5.173911107919483e-05,0.09114610512876803,0.0001251280910223854,0.019039478180471338,2.43772630989149,1.0484407624669496e-07,0.9026844890074996,0.00028615998763085044,1.1221005139172295,0.05515299548792388,1.0627699635815309,0.004177554847774576,1.4231582375940556e-05,7.030621033558619e-05,0.0007760012747095918,2.099353907457398e-11,1.2489094154107762e-19,1.4630731003829653e-11,6.362807945853379e-12,6.425582828499743e-10,9.856057527106137e-11,5.393114034751804e-10,9.582927853003234e-12,1.4242826929996408e-09,9.456671183818808e-09,0.00018960868537037286,0.08547280196839374,88.9032397329789,39.64302290308696,54.44865397505518
5,CAU10,88.94771366495011,95.98471479679556,1.4603368498750864,3.6116108321661153,0.0974557686140277,-0.0974557686140277,0.0028904091996471,"[79234.02854233702, 9845.3027609916]","[[1424.5355083911538, 6748.679573714744], [1756.0268006826213, 4999.3830769343485], [79234.02854233702, 9845.3027609916]]","[1455.6420677244514, 501.76138324413535, 17.04986355449656, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.50547894934554, 310.15, 0.1576880678281786], [2, 92.3254881963962, 310.15, 0.16294844836659308], [3, 88.68620550701074, 310.15, 0.16788239713583705], [4, 85.50651403869563, 310.15, 0.17249489205825588], [5, 82.71940967339063, 310.15, 0.17679393714932065], [6, 80.26921322345844, 310.15, 0.18078991932606298], [7, 78.10939217710713, 310.15, 0.18449502967944684], [8, 76.20084733830156, 310.15, 0.1879227546429345], [9, 74.51055647688324, 310.15, 0.1910874379548938], [10, 73.01049395617522, 310.15, 0.19400391104224582], [11, 71.67676505806848, 310.15, 0.19668718726427703], [12, 70.48890835727886, 310.15, 0.19915221414253093], [13, 69.42933040833755, 310.15, 0.2014136770636471], [14, 68.48284520027616, 310.15, 0.20348584779663234], [15, 67.6362970224095, 310.15, 0.2053824713627394]]",43.162593302593685,544.1079684201247,351.59749477274744,51.91376758942512,19.87029955262267,100.74267485647168,2.214410622498346,2.849057017736338,0.4327657314037601,3.6116108321661153,605675.8305868695,165.1700360043021,4.872613411528726,"(0.0, 0, 0)",51.91376758942512,4.872613411528726,0.09106236293938397,5.154876881296859e-05,0.09088574199759289,0.00012507217297812753,0.018983917745432972,2.4323826252581,1.0373190305422564e-07,0.9024584248408821,0.00028032987738430606,1.1206341482725088,0.05481629275451704,1.0616611211767588,0.004156734341233065,1.4214732716575047e-05,6.760163179061961e-05,0.0007448143055741671,2.093246066036572e-11,1.2463903621486122e-19,1.4607133242143412e-11,6.325327293583266e-12,6.413767351697407e-10,9.82473115917637e-11,5.385561990197346e-10,9.431924923717946e-12,1.415582895322514e-09,8.96198553182902e-09,0.00018257074133655227,0.08547448163345304,87.2441198613365,37.83931588035167,51.968289412326676
6,CAU21,78.48997947553194,91.16595009064496,0.2013638806797549,0.7160821095130392,0.4545655409127815,-0.4545655409127817,0.0033084938881172,"[10958.212649679077, 3003.0760688319715]","[[558.3943615844003, 2621.72661148468], [318.64494697593136, 895.5030818849905], [10958.212649679077, 3003.0760688319715]]","[1012.3280009607859, 68.32960670431208, 7.16757333065454, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.92872475989996, 310.15, 0.17002780845663235], [2, 77.88152976185243, 310.15, 0.18416098207642634], [3, 72.03831344103291, 310.15, 0.194887629909018], [4, 68.1849473115612, 310.15, 0.2028147884852471], [5, 65.60421839544314, 310.15, 0.2085658433337384], [6, 63.85626352865665, 310.15, 0.21268529129215744], [7, 62.662754331587806, 310.15, 0.21561018541338725], [8, 61.84312760696508, 310.15, 0.21767434543340966], [9, 61.27797047095079, 310.15, 0.21912496099499054]]",40.238074998596325,2352.439440231716,3388.6270776145684,1274.8091247085208,120.6723120819004,317.93377137392594,10.328734529872472,10.97279043584659,0.4658232372576423,0.7160821095130392,426874.3114510006,723.5972425498823,71.45677054967629,"(1618.0184683414793, 16952.795274906457, 3290.197840882041)",1274.8091247085208,71.45677054967629,0.49992988436721136,0.00015183344257452966,0.49949283554154555,0.00028521538309128917,0.04575896237865865,10.425111072937877,2.8599975021473607e-07,2.0417196353146445,0.0008629628757848642,2.759038143084047,0.20095180413942423,2.5456087350658594,0.012477603878762995,3.47685035813226e-05,0.0002151446504710446,0.0023566783820834123,7.189006496044659e-11,3.0992900372548887e-19,4.072388459151715e-11,3.1166180059000446e-11,1.6339219704858354e-09,2.8738270827833866e-10,1.329932312712967e-09,5.404543002279576e-11,3.945630918350715e-09,7.337974915127242e-08,0.0006578282153529581,0.1895651371691751,45.58936720360187,158.43115028115835,1318.949315924407
7,CuAlPyC,94.48957250484196,97.6177304096888,1.1761819512785143,2.9125074436846767,0.1024801921931265,-0.1024801921931265,0.0026464808912947,"[79612.09318290422, 4642.805079890459]","[[872.7562173730785, 4056.2088545893494], [976.3894406805838, 2492.5729645700053], [79612.09318290422, 4642.805079890459]]","[1453.817752048662, 506.27929175063, 10.707639372212725, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.40558837539304, 310.15, 0.16307105295490812], [2, 85.65479259556601, 310.15, 0.17276715654056293], [3, 80.4648758392615, 310.15, 0.18123633423743862], [4, 76.41982429252626, 310.15, 0.1885581528773785], [5, 73.23705614342649, 310.15, 0.19483360010020478], [6, 70.71289536347926, 310.15, 0.20017419781874543], [7, 68.69784904482542, 310.15, 0.20469287091271582], [8, 67.0804113423267, 310.15, 0.20849796926750183], [9, 65.77621797396316, 310.15, 0.2116897293926871], [10, 64.72063546449532, 310.15, 0.21435849894379302], [11, 63.86360157587439, 310.15, 0.21658416096266667]]",107.44273322051512,547.1598451061635,366.1234937175118,53.21043957651364,20.3131626021671,101.46404857351152,2.328576639592239,2.960296639176417,0.4173193532860391,2.9125074436846767,603135.1212413886,170.12688913879688,4.976861518343192,"(0.0, 0, 0)",53.21043957651364,4.976861518343192,0.09272212154150435,5.296958693474142e-05,0.0925416073678665,0.00012754458670307322,0.019378848821563446,2.4752702378930227,2.230573101427048e-07,0.9190590620255646,0.00029320530469190885,1.1835412411639448,0.060532589298615165,1.1187155561007294,0.004293095764599892,1.483929641995241e-05,7.054605466472469e-05,0.0007787338156540046,2.2187929475744402e-11,1.2718518921633568e-19,1.5726788196207126e-11,6.461141152352083e-12,7.16337390006191e-10,1.0029632673925545e-10,6.082733661016478e-10,1.2727923414674088e-11,1.4546595065968105e-09,9.189876698132026e-09,0.00019056249244719378,0.08686728411532776,88.56640734603583,38.560777872217606,53.28576696797418
8,CuAlPyC-FF2,91.22086174268678,96.9226311448643,0.9131461905822288,2.463919615856036,0.1195765150240441,-0.1195765150240441,0.0027663300275165,"[61808.021739514006, 5948.432824421515]","[[867.8029587550177, 4030.595267263021], [969.3200313404179, 2571.3350687741904], [61808.021739514006, 5948.432824421515]]","[1334.1856872850592, 386.67882983054176, 10.67603652869811, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86201316490863, 310.15, 0.16351815840870823], [2, 85.17752207064505, 310.15, 0.173179760137488], [3, 80.11106283131248, 310.15, 0.18146563557168896], [4, 76.20007388003515, 310.15, 0.18853875425915934], [5, 73.1370411248254, 310.15, 0.1945535728430769], [6, 70.71019321896374, 310.15, 0.1996523939964523], [7, 68.7693546537381, 310.15, 0.20396358512599405], [8, 67.20537206460787, 310.15, 0.20760110623735237], [9, 65.9372337107667, 310.15, 0.21066489207450242], [10, 64.90373501951767, 310.15, 0.2132417458934072], [11, 64.05792835063959, 310.15, 0.21540650234405356]]",67.75953802075082,639.5367060925682,429.35371837017095,62.78308545813101,23.38479899613132,109.37412787100877,2.717042909171234,3.3497994211666504,0.4255794067017707,2.463919615856036,613084.2901556632,159.21895864028195,5.75618010456057,"(0.0, 0, 0)",62.78308545813101,5.75618010456057,0.10288415407752846,5.8826320573797484e-05,0.10268383456901622,0.00014149318793844182,0.021513571894495955,2.7458576817598894,2.561876500271835e-07,1.019452905017608,0.0003258900182984181,1.3162571796175042,0.06753496746029583,1.2439506565501242,0.004771555607083925,1.649109306621702e-05,7.839779248088751e-05,0.0008654724930624647,2.471167072997627e-11,1.411441462299401e-19,1.7530577977565564e-11,7.181092611266559e-12,7.995475389536916e-10,1.1137127151672973e-10,6.792927688927641e-10,1.4392027881279147e-11,1.6158228016772247e-09,1.040251544969662e-08,0.00021179817889914788,0.09633887028017948,86.95082822855662,43.61752125966747,62.89271002738866
9,DAZMID,42.513417651715685,82.38857721783023,0.0357929504531944,0.1357636386805395,2.364226666827577,-2.364226666827577,0.0059207354396243,"[1933.0312622651543, 2613.842099225566]","[[199.3591354910569, 1155.1192585097401], [24.353532916226566, 166.15963837669668], [1933.0312622651543, 2613.842099225566]]","[949.1099596608706, 8.812654302136531, 3.466484432914777, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.87310510455497, 310.15, 0.12777467575558174], [2, 61.68391992797117, 310.15, 0.12285695764204524], [3, 60.36679550983706, 310.15, 0.1217824038577245], [4, 60.080216856781306, 310.15, 0.12154720470155823]]",105.05934077428876,16575.192312808264,40048.07334289944,-276.51693493437364,849.9769144710225,2320.457144371763,53.72045923470629,54.39344637743767,0.561070336314442,0.1357636386805394,-2283418.793892513,9094.950482884007,-7.368569692171277,"(20806.01910474037, 282790.4122466572, 42308.49058597999)",225915.529420712,6020.153244774566,3.8936602661901643,0.000601943112185399,3.892597395637451,0.0004609274405277503,0.09757098535096818,68.42704647288427,9.474115337851017e-07,3.132700022289437,0.003747352312575553,6.563174195172059,1.1207177952882388,5.391427548285495,0.051028851598325806,8.047410112732979e-05,0.0009899091176595065,0.010745560410596183,3.66603986424449e-10,7.651198811194985e-19,1.408778398437287e-10,2.2572614581560042e-10,4.406379873159657e-09,1.1191027776296798e-09,3.2025379837202275e-09,4.232190236604466e-10,1.3753969690612667e-08,6.411372139201244e-07,0.0036060271664802995,0.2509168590160413,-238.40455228317552,881.3383564557496,-274.62551848176605
