,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,99.50101342687684,86.06251061572573,1.4959438436426709,3.852355946206911,0.095357522270188,-0.095357522270188,0.0093899024449764,"[57119.85242692935, 286.4497399391764]","[[3803.2262665612966, 10899.929863533293], [5403.317108982344, 1838.8380063735642], [57119.85242692935, 286.4497399391764]]","[1397.9491802714026, 413.2318159229346, 47.88654342264875, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 89.22315151070339, 310.15, 0.1709832320096471], [2, 79.12204148804557, 310.15, 0.19102047012621098], [3, 70.6787103173394, 310.15, 0.21200974019198862], [4, 63.60848547109488, 310.15, 0.23371366442372443], [5, 57.675259129939356, 310.15, 0.2558731425064408], [6, 52.683480493475834, 310.15, 0.27822254246244693], [7, 48.47392850003624, 310.15, 0.30051189297448866], [8, 44.91034538185802, 310.15, 0.322503499751693], [9, 41.88169209136225, 310.15, 0.34398643840509313], [10, 39.298137197672396, 310.15, 0.3647887536344037], [11, 37.08563466039859, 310.15, 0.38477637750062205], [12, 35.183197678575326, 310.15, 0.4038521539482054], [13, 33.54059815489329, 310.15, 0.42195272348461177], [14, 32.116442515789565, 310.15, 0.4390441151109661], [15, 30.876574688421943, 310.15, 0.45511677602428097], [16, 29.792759180259107, 310.15, 0.47018059149805475], [17, 28.84160081888858, 310.15, 0.4842602616195614], [18, 28.003662199695658, 310.15, 0.49739124059416073]]",45.10463070941716,608.2427371379039,376.1689612897186,57.65464010221315,24.997663136284,89.75567781073214,2.166733824516085,2.9441348665712224,0.5489319521647263,3.852355946206911,530174.7800702483,202.20808660730447,5.011498683254769,"(0.0, 0, 0)",57.65464010221315,5.011498683254769,0.16190630301605272,7.545973698605233e-05,0.16175184684367078,7.899643539590108e-05,0.033804486601667676,2.754896023408789,1.1018750062339965e-07,0.4389590791487104,0.0005122679476128513,2.3647224913437865,0.39754357187879924,1.9615819864842188,0.005596932980768205,0.00012146774635304903,9.725873631388542e-05,0.0007966358973081536,3.6956721560848794e-11,3.3810483086446296e-19,2.117543924761581e-11,1.578128197512816e-11,1.0414543055097467e-09,1.3576927126597177e-10,8.989997405653055e-10,2.2748322431110502e-11,2.7947335705568426e-09,1.2122962012176735e-08,0.00023725198600069917,0.05902801470173329,72.12844769365378,41.77034936674245,57.734622410197325
1,AlTCPP,99.69800076629414,86.89907746776258,2.148909944790999,4.907846282554653,0.0787992675216739,-0.0787992675216739,0.0093854968308469,"[81409.5517142228, 246.60095533576518]","[[4176.488027554422, 12175.127711660984], [8053.5587658153545, 2481.5215205463583], [81409.5517142228, 246.60095533576518]]","[1576.2669317386976, 587.4685569011447, 51.967553911733596, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 90.17644106621209, 310.15, 0.16854408347489097], [2, 81.14078438768446, 310.15, 0.18597068053262844], [3, 73.44057191900495, 310.15, 0.20410824179730477], [4, 66.8642663940407, 310.15, 0.222807324646115], [5, 61.234872923861026, 310.15, 0.24190594980649305], [6, 56.4041718177012, 310.15, 0.26123653376421446], [7, 52.247966242994565, 310.15, 0.2806328299077392], [8, 48.66214372837229, 310.15, 0.29993626135104806], [9, 45.55939703697985, 310.15, 0.31900116444990534], [10, 42.866484620334724, 310.15, 0.3376986513687572], [11, 40.52193669483836, 310.15, 0.3559189993050422], [12, 38.47413222313386, 310.15, 0.3735726463134766], [13, 36.67968646458206, 310.15, 0.39058999652965615], [14, 35.102099615044466, 310.15, 0.40692030422870246], [15, 33.71062539278834, 310.15, 0.4225299224275922], [16, 32.47932498349173, 310.15, 0.437400180685853], [17, 31.38627705473711, 310.15, 0.4515251133612428], [18, 30.412918942478424, 310.15, 0.46490920708831895], [19, 29.543497829296975, 310.15, 0.47756528438925683]]",52.65666203987786,506.1400180933784,311.78309463529735,47.691780597713056,20.72121538656168,83.6139124955694,1.7904936519064836,2.5610241673030147,0.5398847834907272,4.907846282554653,531516.1639113522,194.5006952897203,4.355775490017517,"(0.0, 0, 0)",47.691780597713056,4.355775490017517,0.14589446598819017,6.796640496411187e-05,0.14575530692553676,7.119265768926174e-05,0.030451097793755145,2.4830550887770406,9.90226326176737e-08,0.39561656579555926,0.00046231751914059885,2.131162965657158,0.35838249255422083,1.7677429143543748,0.0050375587485623555,0.00010948544888797985,8.796836628907105e-05,0.0007216372986036722,3.3253354801649747e-11,3.046981148741836e-19,1.905002880283808e-11,1.4203325694113552e-11,9.382515025882639e-10,1.2223610500708656e-10,8.100479953738757e-10,2.044256899366701e-11,2.517664257013364e-09,1.0629161708487855e-08,0.00021459689085717877,0.05320741501748072,74.22098296573698,35.844470515472764,47.743555517736205
2,AlTCPP-FF2,99.99017209845135,93.91647358004084,1.4259274435001112,3.885932413222128,0.0924225887344503,-0.0924225887344503,0.008819417059885,"[54019.99941120942, 5.309554176467225]","[[782.0210430729326, 2306.775910428529], [2652.597944804552, 197.13218735742672], [54019.99941120942, 5.309554176467225]]","[1321.0056817081777, 368.2842183496682, 15.890642432690138, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 38.04846037139039, 310.15, 0.39221380850023163], [2, 28.06767423242048, 310.15, 0.5264279971507833], [3, 24.584973907235852, 310.15, 0.5979975716490219], [4, 22.9000289294789, 310.15, 0.6400647004756863], [5, 21.943353769462142, 310.15, 0.6666564648466503], [6, 21.348387176885794, 310.15, 0.6843148080521251]]",1582.5050912224715,636.6944523594987,393.7777057081248,54.78623228354353,24.65926541563982,90.89544906150316,2.100045642889773,2.8421924776996788,0.5045183304348073,3.885932413222128,562596.7332301984,147.19650573453686,4.641536477755614,"(0.0, 0, 0)",54.78623228354353,4.641536477755614,0.15314757963182085,7.13862284194523e-05,0.1530014904627058,7.470294069554756e-05,0.03197822316949275,2.6057512360533317,1.0439128744044621e-07,0.4151022062612719,0.0004853438842705685,2.2364180577958153,0.3760275778074061,1.8550929662414686,0.005297513746940525,0.00011485257033079385,9.240478993966326e-05,0.0007583634030298676,3.4976325409305733e-11,3.1973590978967403e-19,2.0040051187398785e-11,1.4936273902171042e-11,9.850408473983764e-10,1.284955048136454e-10,8.501872221951888e-10,2.1555102962560673e-11,2.64456625527425e-09,1.1642096813867334e-08,0.00022550347627968984,0.05581208567077594,79.53339296370173,40.51625788732787,54.86259287224045
3,Ca-SQA,99.9873774424767,91.1062196844402,1.483289578385398,3.081600378388109,0.0932585787601004,-0.0932585787601004,0.0090297943930246,"[107646.7921201039, 13.589493598993306]","[[2431.9217833777666, 6367.870820435215], [8050.770316747326, 887.3539106699466], [107646.7921201039, 13.589493598993306]]","[1732.81471524888, 764.0890029255071, 31.894891397553717, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 79.22248718873941, 310.15, 0.1921011634001009], [2, 63.993092761371216, 310.15, 0.23544390478963056], [3, 53.3377767436625, 310.15, 0.28019587765468384], [4, 45.75927891325887, 310.15, 0.32443691985350903], [5, 40.2735600102854, 310.15, 0.3666032032948412], [6, 36.22926518139184, 310.15, 0.40565134866591807], [7, 33.192065853874254, 310.15, 0.441047599539428], [8, 30.869715969191294, 310.15, 0.47265700632383634], [9, 29.063349055277786, 310.15, 0.5006081309619138], [10, 27.63583800545125, 310.15, 0.5251770312235997], [11, 26.491229809556213, 310.15, 0.5467045144890178], [12, 25.561335167644316, 310.15, 0.5655442503056777], [13, 24.796927294532686, 310.15, 0.582033809199281]]",153.75204763264318,467.91813628408505,313.2163386202018,48.15015588428768,19.391979831776613,84.44218117214743,2.119041185374632,2.868189559640691,0.5130473007481318,3.0816003783881096,540359.6143483166,183.5920861225889,4.72138589942803,"(0.0, 0, 0)",48.15015588428768,4.72138589942803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.449810841696404,0.0
4,CALF20,99.7874983082274,93.8857237171742,1.329933082435527,2.898842906437067,0.0849744990960974,-0.0849744990960974,0.0088280781293382,"[99325.72785644924, 211.51833209452045]","[[2636.3730142996164, 7485.5536910897645], [3792.1778142421317, 1247.7597272806318], [99325.72785644924, 211.51833209452045]]","[1651.6104015627654, 679.2344773644149, 35.54510327253125, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 82.1372306873333, 310.15, 0.1826949121746572], [2, 68.32416562740369, 310.15, 0.21485563672410746], [3, 58.1908707790981, 310.15, 0.24771006164608098], [4, 50.62763566705373, 310.15, 0.28040615108370126], [5, 44.891345744487396, 310.15, 0.31220163063491474], [6, 40.47471673101138, 310.15, 0.34251871966087244], [7, 37.025640042959374, 310.15, 0.37096091121584424], [8, 34.29606396513095, 310.15, 0.39730016575713784], [9, 32.10884006863894, 310.15, 0.42144723586117255], [10, 30.335809749998482, 310.15, 0.44341651392741194], [11, 28.883092285742233, 310.15, 0.46329294959542966], [12, 27.68107626086573, 310.15, 0.4812047261505234], [13, 26.67753041302453, 310.15, 0.497302642911831], [14, 25.83280973697776, 310.15, 0.5117456363653461]]",105.37745856153244,499.01346900269215,335.83654479622265,47.05443281772319,19.962380284316765,85.360660536681,1.930808572092975,2.678357633687875,0.5118556532643624,2.898842906437067,560877.1843501267,148.4247269579765,4.416466313019302,"(0.0, 0, 0)",47.05443281772319,4.416466313019302,0.1477554977085543,6.893150825304635e-05,0.14761448426704243,7.208193325884355e-05,0.030856242169054564,2.5165967531622755,1.0119362120242478e-07,0.4005578431030514,0.00047212423705294073,2.1583224686487505,0.3632965647859172,1.789907448518846,0.005118455343987409,0.0001107771773974222,9.100222589153128e-05,0.0007531263154027727,3.3684883708184085e-11,3.085073318298615e-19,1.9305097239864664e-11,1.43797861598121e-11,9.508315365108589e-10,1.2393957187751373e-10,8.207477865205663e-10,2.0828057227902683e-11,2.554258198786805e-09,1.1208971074212378e-08,0.00022235178217135722,0.05383294733966249,80.0135918816153,35.24346224622137,47.12754885650359
5,CAU10,98.9518445385665,89.13644451226642,2.030245261660032,4.1530646763661325,0.0832144858944414,-0.0832144858944414,0.0094912189096997,"[110155.75688860782, 1166.8338142613816]","[[4239.415860745832, 14710.866185317813], [9129.312824700008, 5722.719462527364], [110155.75688860782, 1166.8338142613816]]","[1759.8769851981388, 765.5810043296077, 57.46515994271166, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 91.9058102276878, 310.15, 0.16351732846672234], [2, 83.88390969109521, 310.15, 0.1750058837531177], [3, 77.0096950593822, 310.15, 0.1865158279062603], [4, 71.08480587137177, 310.15, 0.1979998817794288], [5, 65.95039920459237, 310.15, 0.20941383948399045], [6, 61.478350767631255, 310.15, 0.22071697240209667], [7, 57.564598869346504, 310.15, 0.23187231947191686], [8, 54.12406981785382, 310.15, 0.24284686620408139], [9, 51.08677947486753, 310.15, 0.25361161967284723], [10, 48.394816240968616, 310.15, 0.26414159033228896], [11, 45.99998954516926, 310.15, 0.27441569388009623], [12, 43.86198447447193, 310.15, 0.28441658759885935], [13, 41.97278528309676, 310.15, 0.29413492466144936], [14, 40.28202162751111, 310.15, 0.30357864358822123], [15, 38.75178591053901, 310.15, 0.3127419987798355], [16, 37.36373563671027, 310.15, 0.3216159598844562], [17, 36.1019379579624, 310.15, 0.33019432887259714], [18, 34.952519739949835, 310.15, 0.33847345045120203], [19, 33.91873335869564, 310.15, 0.34645007707492587], [20, 33.10790772869348, 310.15, 0.35411462110340697]]",43.162593302593685,466.81681010321415,298.72770045652766,45.815465003055785,18.646634831044267,83.79411246931166,1.8908171792292048,2.6582619810480588,0.5381389050761713,4.1530646763661325,551876.3580656061,163.49428656113506,4.502259345937638,"(0.0, 0, 0)",45.815465003055785,4.502259345937638,0.14952734941512497,6.969604306822239e-05,0.1493846560092423,7.299736281442849e-05,0.031224248261383324,2.546185045463278,1.0157089065732952e-07,0.40564994195521564,0.0004733660597659234,2.1851138119656355,0.36742108348108166,1.8125272957603396,0.005165432724214451,0.00011225980596849348,8.987367322234682e-05,0.0007361189307055931,3.4080374260357175e-11,3.1242131875586214e-19,1.954433009800352e-11,1.4536043849932342e-11,9.623409428024344e-10,1.2522381821018424e-10,8.309911519405658e-10,2.0969231609373655e-11,2.580490742834748e-09,1.0942259407366796e-08,0.00021919315860337554,0.05455650483165656,75.80810822805886,34.14897366115878,45.86538993657367
6,CAU21,97.49490545991252,86.84722662159972,0.3450065656181742,1.1378501992237908,0.2812722876877193,-0.2812722876877194,0.0094067261370454,"[18775.24061821241, 482.42267162207105]","[[1643.8491571164207, 5332.156546198937], [1123.3132459934818, 775.4964661625015], [18775.24061821241, 482.42267162207105]]","[1091.5528573732295, 128.41088981482037, 26.311146632589686, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 73.34160746362916, 310.15, 0.19277991882883216], [2, 56.463180727705414, 310.15, 0.23357451327307738], [3, 45.80393393300188, 310.15, 0.27227260485060173], [4, 38.788258798624874, 310.15, 0.3074057839855788], [5, 34.00005850457105, 310.15, 0.33827283010034886], [6, 30.628305115351246, 310.15, 0.36476272213960015], [7, 28.1901242434223, 310.15, 0.3871304762411407], [8, 26.38733582435941, 310.15, 0.4058125870110968], [9, 25.029448205036495, 310.15, 0.4213046310373642], [10, 23.990895766947595, 310.15, 0.4340918015749997], [11, 23.291737037104046, 310.15, 0.44493756332750595]]",40.238074998596325,1400.2364468625226,976.0924771226483,206.19708236703227,56.73662543202468,181.59018629232733,6.391128514279076,7.179711945203947,0.568083504786419,1.1378501992237906,559681.6984808274,227.51077396628435,16.717881966170562,"(130.33055690878527, 0, 566.6512206767487)",206.19708236703227,16.717881966170562,0.33109664194624816,0.00015467381691633414,0.330780560983222,0.00016140714610973626,0.06925308457846548,5.631620114606752,2.2863162736490555e-07,0.8967328564302345,0.0010473086323324315,4.832206185748735,0.8120503384700507,4.008643725430168,0.011512121848516266,0.00024796930712445235,0.00019893363353371243,0.0016300419530984138,7.589592647020771e-11,6.909331912008194e-19,4.3575034844237266e-11,3.232089093503728e-11,2.1313973884299964e-09,2.7838088774455455e-10,1.8386553555539616e-09,4.724261012840885e-11,5.725437653942651e-09,2.835756301575964e-08,0.00048573502485883466,0.12048442137285577,58.09240152484324,90.71179704302585,207.69411507580668
7,CuAlPyC,99.72469329704722,93.47594641744932,1.685149433574148,3.4857673197641077,0.085144869607931,-0.085144869607931,0.008901441107435,"[114062.51693200425, 314.8886642700275]","[[2964.7631105598048, 8926.019435599752], [4954.636103293145, 1951.01601819629], [114062.51693200425, 314.8886642700275]]","[1740.37375543399, 762.3849430959532, 41.15799141221737, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 84.01328275754794, 310.15, 0.17540735457174822], [2, 71.32728593121963, 310.15, 0.19899893949601918], [3, 61.7801386826173, 310.15, 0.2225053345619392], [4, 54.68530869368905, 310.15, 0.2456901139956953], [5, 49.47714605165963, 310.15, 0.2685140699013011], [6, 45.233008235105764, 310.15, 0.2908372270023701], [7, 41.74377875901282, 310.15, 0.31244345321587724], [8, 38.85145239742819, 310.15, 0.3331645418908707], [9, 36.43533719297882, 310.15, 0.3528794979817083], [10, 34.402341585949856, 310.15, 0.3715105816448412], [11, 32.68002327310811, 310.15, 0.389017415100841], [12, 31.211543645250554, 310.15, 0.4053902778638535], [13, 29.951960727013965, 310.15, 0.42064342519863407], [14, 28.865476844884565, 310.15, 0.4348089640529416], [15, 27.92337627460781, 310.15, 0.4479315666370287], [16, 27.102467155526337, 310.15, 0.46006411542108705]]",107.44273322051512,474.2785528420944,313.1193995988148,45.09913169093031,18.418494245358623,84.92072318405013,1.934679766959429,2.683796902626355,0.5139153836202456,3.485767319764107,573844.7067520478,127.5209332678018,4.434079216981588,"(0.0, 0, 0)",45.09913169093031,4.434079216981588,0.14805023303945594,6.942428725090521e-05,0.1479082211151409,7.258763706414786e-05,0.030956428854308347,2.5212999654456856,1.9875137904080102e-07,0.40301213614131787,0.0004752137542407068,2.199332742419113,0.36772901537666625,1.8264351914002763,0.005168535642170474,0.00011136543635974254,9.044448900564066e-05,0.0007464169621168616,3.447425841398731e-11,3.094768457607049e-19,2.0067211523791728e-11,1.4407046580718736e-11,1.0059704574516925e-09,1.2430067156730037e-10,8.730072127157262e-10,2.3366072963028e-11,2.5661217659465483e-09,1.0856677805473184e-08,0.00022103596472633065,0.05397774790418044,79.63681076676225,33.745175032572966,45.16065357887783
8,CuAlPyC-FF2,99.21675524410462,91.96159111309828,1.3339349703742052,3.036175694103607,0.0958690083725705,-0.0958690083725705,0.0091091709001017,"[90289.9037397478, 712.7736987615278]","[[2965.448972116564, 9187.309549273163], [4877.111443346351, 2654.341766988598], [90289.9037397478, 712.7736987615278]]","[1581.64954112279, 602.9070424233114, 41.91167777365931, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 83.42400860960826, 310.15, 0.17599316487966682], [2, 71.09971258535006, 310.15, 0.1989260574639403], [3, 62.032491710210415, 310.15, 0.22100098233684487], [4, 55.14457197989906, 310.15, 0.24212287076655278], [5, 49.777568394795956, 310.15, 0.2622222589030931], [6, 45.66968888091621, 310.15, 0.2810907319989838], [7, 42.40951970529233, 310.15, 0.29889245536607134], [8, 39.69260057135033, 310.15, 0.3158033989072583], [9, 37.405113215445624, 310.15, 0.3318093990275725], [10, 35.46175987826529, 310.15, 0.34691112859294343], [11, 33.797519187915796, 310.15, 0.36112137255020205], [12, 32.362083332604676, 310.15, 0.3744624167197386], [13, 31.116013819030837, 310.15, 0.38696368128059144], [14, 30.028028817447133, 310.15, 0.39865966423151095], [15, 29.073053457737643, 310.15, 0.409588213876994], [16, 28.23079543933684, 310.15, 0.41978911955940945]]",67.75953802075082,528.2711242418794,350.12994226493294,50.6618430999645,20.523661655965032,88.87898920923675,2.1783559201034883,2.934347186322635,0.5235219590759825,3.0361756941036067,574400.1876457172,129.33010796385344,4.879161336830223,"(0.0, 0, 0)",50.6618430999645,4.879161336830223,0.1589719948465137,7.459392136093452e-05,0.1588194432309608,7.795769419193714e-05,0.03324890574049583,2.7071489184765265,2.2087286962619952e-07,0.432793291692024,0.000510736217519265,2.3640585174797923,0.3950968972770263,1.9634042352178924,0.00555738498487342,0.00011957358011319166,9.722634999146804e-05,0.000802830102835469,3.7096274767392794e-11,3.3228873474138197e-19,2.161741806935197e-11,1.5478856365752093e-11,1.0842342568652752e-09,1.3355395175251534e-10,9.411517157667432e-10,2.5318621777964276e-11,2.7568757484666094e-09,1.1834130428105545e-08,0.00023766887778210746,0.0579442177511452,77.34227352458961,36.97310987966313,50.743209226924414
9,DAZMID,89.84040047746117,94.96433027528562,0.2172936329690355,0.7645111216826437,0.421436956736584,-0.4214369567365841,0.0098639162132175,"[11735.142822874752, 1327.0683432685041]","[[459.8722616906123, 2909.5298273666663], [115.88625048664295, 561.6569567993747], [11735.142822874752, 1327.0683432685041]]","[1023.2121633061746, 69.00192895782455, 17.379413422530664, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 38.68528111046384, 310.15, 0.10343062157073192], [2, 28.87342274684131, 310.15, 0.10242727743112394], [3, 26.708180239934126, 310.15, 0.11040498818962405], [4, 25.08580220559825, 310.15, 0.11727545814168006], [5, 23.86526112834117, 310.15, 0.12305329781954452], [6, 22.94368045596828, 310.15, 0.12781877310799697], [7, 22.24562219409756, 310.15, 0.13168832907724032]]",105.05934077428876,2384.0750296125466,2543.743367241626,681.3596676718033,99.10741636298732,292.15014627405225,9.575979821234908,10.349463310324012,0.5673174301147972,0.7645111216826437,469628.6217539127,503.23869421514576,42.15645353592869,"(757.0971506924167, 7597.259279646595, 3291.707139032625)",681.3596676718033,42.15645353592869,0.5927706248536744,0.0001844261713109957,0.5924159100656748,0.00017028861668831952,0.07010067435139361,9.68807626148368,2.6722493801091555e-07,1.0089710264249452,0.001319100415269936,6.590256114645105,1.6394312442069765,4.931825840567477,0.018999029870651187,0.0002445089453358325,0.0002505024165713036,0.002188709792847723,1.0631431655964701e-10,7.499887456899568e-19,5.059386334859223e-11,5.5720452461066045e-11,2.657949305820473e-09,4.585015031374268e-10,2.176006881085196e-09,8.824950693539992e-11,7.061204430909591e-09,5.961589884975721e-08,0.000733809573921655,0.11812617874641465,38.672264879193854,131.2134698914678,698.4860909770891
