,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,spec_CO2_emission,SPECCA,var_OPEX,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,eff_recovery,CCC_new,CAC++
0,AlTBAPy,43.60845871954987,89.24420076633895,0.1559566597573297,0.5158024793745138,0.6074550752821084,-0.6074550752821083,0.0066856270197812,"[5954.916976457956, 7700.500232287234]","[[366.20569059687443, 6789.889141313237], [258.28475460895476, 2950.29885132993], [5954.916976457956, 7700.500232287234]]","[1088.4863830185932, 136.57224400083592, 15.083318091937802, 20.42532053318817, 442.5889178817608, 473.8165825108704]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.89257329912792, 310.15, 0.04537305414938841], [2, 91.17314994484688, 310.15, 0.04746299608431468], [3, 87.07437305673598, 310.15, 0.04945493532239389], [4, 83.51533330132453, 310.15, 0.05133723847972833], [5, 80.42531710911237, 310.15, 0.05310161164822066], [6, 77.74264548155763, 310.15, 0.05474299312095335], [7, 75.41360831418001, 310.15, 0.056259295878490385], [8, 73.39149629694283, 310.15, 0.05765104531996814], [9, 71.63572955238169, 310.15, 0.058920957203603984], [10, 70.11107968640678, 310.15, 0.06007349544963924], [11, 68.78698004636286, 310.15, 0.06111444139240816], [12, 67.63691773101851, 310.15, 0.06205049707230875], [13, 66.63790021137729, 310.15, 0.06288893659762203], [14, 65.76998919248973, 310.15, 0.06363731232008235]]",63.24129161153438,2147.2567273891914,2002.539478212912,1799.5157208894186,202.69967979682465,142.9694455264971,13.802722922669687,14.505257586364554,0.598736806880648,0.5158024793745138,120978.47723703156,382.5227563337923,54.44334091594149,"(626.621230720569, 7437.138212014207, 2724.4239088020213)",1799.5157208894186,54.44334091594149,0.919105139327398,0.00023182326605897393,0.9186791086620812,0.00019420739925752782,0.07711012654469283,14.777461767219386,3.328537204253492e-07,1.2133756976312107,0.0017182305285069692,9.008495604229285,2.649150560912479,6.330742824727304,0.028602218589498823,0.0002616016349207267,0.0003263344204084972,0.0029658568350246803,1.4950945018491712e-10,8.762340091296556e-19,6.308517352562427e-11,8.642427578305883e-11,3.4461931115578785e-09,6.934154303395582e-10,2.717434329309726e-09,1.3928536682164263e-10,9.111253139950333e-09,9.913728255950475e-08,0.0010588503424727553,0.12558021492745466,7.219397186830709,226.37745290233434,1920.0986089561293
1,AlTCPP,43.57036166562604,90.30298825805517,0.2002126945880259,0.6409937853170118,0.4933042169821874,-0.4933042169821874,0.0068110460981845,"[7584.88076869738, 9823.468574157214]","[[371.4395828615668, 7089.82612054403], [351.62443677860716, 4215.748898715546], [7584.88076869738, 9823.468574157214]]","[1124.4503722612994, 171.9726324484696, 15.646918887010521, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.09709378607812, 310.15, 0.04496248046133769], [2, 91.55441228126976, 310.15, 0.04663772408150462], [3, 87.60344870871604, 310.15, 0.04821920318018332], [4, 84.16385059426666, 310.15, 0.04970264078025642], [5, 81.16658469904318, 310.15, 0.05108584877959184], [6, 78.5523316653473, 310.15, 0.052368504342763494], [7, 76.27009256379439, 310.15, 0.05355188865863477], [8, 74.30172456932114, 310.15, 0.05464478377820466], [9, 72.74079323040255, 310.15, 0.055686267179337244], [10, 71.35291300793304, 310.15, 0.05664921044094266], [11, 70.11840824784439, 310.15, 0.05753665575157106], [12, 69.0199253622092, 310.15, 0.0583520896503721], [13, 68.04214525187147, 310.15, 0.05909931233516855], [14, 67.17153321488945, 310.15, 0.05978232240916797]]",66.12811024387845,1772.2246877695577,1548.3595198956928,572.6091984354041,160.7732434922046,124.28993966385728,11.208962935123257,11.906390512817453,0.5920737984992768,0.6409937853170119,180618.54264506884,289.48465502021605,18.615570388198147,"(457.4062363714745, 5076.444153781984, 1988.710923459441)",572.6091984354041,18.615570388198147,0.7214987919185957,0.00020372306927205313,0.7211147370044998,0.00018033184482358353,0.07320528437098531,11.69384074767165,2.948202741854357e-07,1.092632336149015,0.0014847397459700983,7.556118316745804,2.0361747546715123,5.497109521209552,0.022834040864739814,0.0002521968137854412,0.00028356155964326504,0.00252950699670117,1.2434053576155118e-10,8.022435561177139e-19,5.596292772305638e-11,6.837760723625126e-11,2.977218497229696e-09,5.539211242623228e-10,2.395007066147681e-09,1.0849903006510888e-10,7.906790500085589e-09,7.577457095443223e-08,0.0008697318892680915,0.12149665893760764,25.149491323229235,184.1829093879791,584.5476621367667
2,AlTCPP-FF2,37.64894441313522,91.56035001253444,0.0690287435198177,0.2484601820867532,1.2582805710159657,-1.2582805710159657,0.0069485035377634,"[2615.0928655556013, 4330.899661776]","[[89.05428992963405, 1749.4159899452945], [48.696626556128486, 578.4766978549592], [2615.0928655556013, 4330.899661776]]","[1000.1742516013105, 58.93100117715272, 4.4124294983384855, 20.42532053318817, 442.5889178817608, 473.8165825108704]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776634094, 310.15, 0.053322349341374815], [2, 66.94008710319693, 310.15, 0.058324091757597216], [3, 63.21728676930547, 310.15, 0.06076851857763931], [4, 61.5284341643577, 310.15, 0.06195874602647655], [5, 60.73444902858327, 310.15, 0.06253742948791988], [6, 60.35484437345824, 310.15, 0.06281859989105669]]",94.39059174771778,4497.056166533057,4825.514765935431,-465.7857064041828,444.883326597878,259.3214669730574,28.590917727778027,29.27387223359068,0.5816293924888395,0.2484601820867532,-222479.85550148512,917.542180250129,-11.492340121853408,"(1677.4851204684585, 22087.320612933323, 7293.3701330363965)",22188.762100949905,547.4637745232385,2.0581260135503046,0.0003849616333831896,2.057478546081013,0.0002625058359080195,0.0945049250416848,32.521227611691835,5.40412720200825e-07,1.850706873001771,0.0030540437985478227,17.178668257798467,6.202012332655063,10.914930334560005,0.061725590583400027,0.00029605960892826333,0.0005839732093888481,0.0056592488877756095,2.916913050428486e-10,1.2548418837901028e-18,1.0142077026795588e-10,1.902705335200508e-10,6.034977489046172e-09,1.494563764691916e-09,4.464304677920239e-09,3.175289465461403e-10,1.578268028821528e-08,2.3614885479242297e-07,0.002190979634773358,0.13945034353402985,-96.88238815803365,468.07928005916443,-458.059233621298
3,Ca-SQA,77.99185409358475,97.5083136502178,0.2687361659510246,0.6911884732518656,0.3317347714662613,-0.3317347714662613,0.0033171780124787,"[19502.992950825734, 5503.455706521879]","[[248.48228270050907, 4532.084760975497], [177.7477375321045, 1862.9004347575953], [19502.992950825734, 5503.455706521879]]","[1399.6908728412122, 452.4626826990916, 10.397369216301321, 20.42532053318817, 442.5889178817608, 473.8165825108704]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.4299049382681, 310.15, 0.047016352552860664], [2, 85.51299777915175, 310.15, 0.05052003348048241], [3, 80.11456196429035, 310.15, 0.05366575328090209], [4, 75.88745889305505, 310.15, 0.056434882636116235], [5, 72.56805464273741, 310.15, 0.058831022017023706], [6, 69.95499194383049, 310.15, 0.06087416673393083], [7, 67.8936340466841, 310.15, 0.06259482437741941], [8, 66.26461139507256, 310.15, 0.06402894161337302], [9, 64.97534220155042, 310.15, 0.06521401361726217], [10, 63.95371581007731, 310.15, 0.06618640141232264], [11, 63.14335601912507, 310.15, 0.06697968885892049]]",169.6895491418168,919.3859962298708,739.1628048804705,168.3272702383333,82.4423742033591,84.93303338180226,7.537747762231622,8.179924866842356,0.4645964967254211,0.6911884732518654,262422.3902091461,158.98586911122644,7.36795917424929,"(185.38663153038155, 1353.7027125119293, 806.0240326246944)",168.3272702383333,7.36795917424929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,104.92718858011095,0.0
4,CALF20,62.10728832856262,94.70331355234192,0.1576786181009417,0.4642744446958506,0.4407931187073899,-0.4407931187073899,0.0044139274058312,"[11776.189130955298, 7184.853039580955]","[[318.59362254486814, 5809.777776080005], [250.5402769440615, 2694.826726754708], [11776.189130955298, 7184.853039580955]]","[1222.6454237326311, 272.7054423258843, 13.109160480927637, 20.42532053318817, 442.5889178817608, 473.8165825108704]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.60935485385639, 310.15, 0.04605841472864515], [2, 89.02899641756949, 310.15, 0.048754720846893904], [3, 84.38119636144582, 310.15, 0.051267133048587155], [4, 80.50193648193657, 310.15, 0.05358188612556861], [5, 77.25797659538284, 310.15, 0.055692649706698655], [6, 74.54065483760654, 310.15, 0.05759954021631372], [7, 72.26102238182197, 310.15, 0.05930791429437345], [8, 70.34600940434431, 310.15, 0.06082710417469098], [9, 68.73539086237307, 310.15, 0.06216921599694887], [10, 67.37937489795638, 310.15, 0.06334806887502137], [11, 66.23667777980373, 310.15, 0.06437831401309725], [12, 65.27298051762973, 310.15, 0.06527474338010508], [13, 64.45968608154183, 310.15, 0.06605177732205982]]",101.41559544214324,1320.7693857110205,1235.4991904036217,349.13456192293927,126.06120885184195,105.52308272124094,10.015794634544804,10.689983785908986,0.5194267446257474,0.4642744446958508,206671.24204314465,246.14651777887408,12.86165016648157,"(357.2823833429878, 3717.466786128137, 1553.3924157885276)",349.13456192293927,12.86165016648157,0.6165044297846316,0.00018881712791103472,0.6161433558867763,0.0001722567699442338,0.07090736283240776,10.066040884213722,2.785799348008327e-07,1.0249303149713012,0.0013787939942542398,6.7739694355532105,1.7138562387903444,5.040271730352901,0.01984146640996448,0.0002456217797067706,0.00027053731441178605,0.002413242188413889,1.105988670038334e-10,7.600351282020887e-19,5.198825042225632e-11,5.861061582154193e-11,2.725057038419282e-09,4.797025068615766e-10,2.220380910084309e-09,9.274427513309244e-11,7.269341004756953e-09,6.525679243026063e-08,0.0007953649355385188,0.11855421709776783,36.31830123204019,149.08398005984665,355.40532680570146
5,CAU10,38.90180962862574,88.26771902472196,0.2081699033436282,0.6169142597591221,0.4930195811574475,-0.4930195811574475,0.008279028894733,"[11294.750293122743, 17739.24684209419]","[[526.2858639004362, 10182.749299262365], [880.0537813302602, 10439.643517226292], [11294.750293122743, 17739.24684209419]]","[1214.7744037067223, 256.5827563307376, 21.360826450165376, 20.42532053318817, 442.5889178817608, 473.8165825108704]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.18267171660278, 310.15, 0.04432672284430557], [2, 95.42162384989456, 310.15, 0.04541484813852424], [3, 92.95806213097077, 310.15, 0.04646956010937125], [4, 90.67696753221298, 310.15, 0.047493951220609114], [5, 88.56363371512211, 310.15, 0.04848707787824171], [6, 86.6046555436046, 310.15, 0.049448204086504396], [7, 84.78780437219221, 310.15, 0.05037679195826446], [8, 83.101915849026, 310.15, 0.051272490768593235], [9, 81.53678898232269, 310.15, 0.0521351248762246], [10, 80.08309533455201, 310.15, 0.052964680821989595], [11, 78.73229731589966, 310.15, 0.05376129389188949], [12, 77.47657464778698, 310.15, 0.05452523440676719], [13, 76.3087581584398, 310.15, 0.055256893971998365], [14, 75.22227015601003, 310.15, 0.05595677189055195], [15, 74.21107070092026, 310.15, 0.056625461912302784], [16, 73.26960916832806, 310.15, 0.057263639462564124]]",39.255362985822266,1354.8287814364503,1350.3002268194855,483.7277041990812,130.52778265559166,110.32194124952636,11.20249537960744,11.917492193473963,0.6219227080251751,0.6169142597591222,180673.22605548496,290.4894135522805,18.95389774141546,"(456.57647864511205, 5049.198548404379, 1985.1033026553773)",483.7277041990812,18.95389774141546,0.7238982561528456,0.00020538634387083123,0.7235104495290265,0.00018242027994813009,0.07402175384862573,11.748819406212201,2.9596676173022125e-07,1.1040138081004667,0.0014917588579206787,7.609247207446079,2.0426073370735507,5.543743967910183,0.022895902462344978,0.0002556183322387559,0.0002833421673366236,0.0025178482672911268,1.2449429336259603e-10,8.110375772878206e-19,5.62937714931351e-11,6.820052105842334e-11,3.00192559511525e-09,5.542504974601466e-10,2.4195614202852e-09,1.085734959628459e-10,7.953780740157386e-09,7.444473463043133e-08,0.0008678066156623691,0.12319203545475028,24.370871148136374,154.28123895710112,492.5587567160785
6,CAU21,27.90977601439265,81.412734340604,0.0327203677433797,0.11948325089952,2.649230255289505,-2.6492302552895057,0.0104872870619346,"[1780.6408304074014, 4599.348853096871]","[[199.4062759047763, 3820.7666786025147], [109.10108088496061, 1387.945688067954], [1780.6408304074014, 4599.348853096871]]","[985.8563688999895, 40.15142685659151, 8.874121117578767, 20.42532053318817, 442.5889178817608, 473.8165825108704]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.23084060487575, 310.15, 0.046743340850633384], [2, 82.4430007589862, 310.15, 0.04981012856071383], [3, 76.73514310609825, 310.15, 0.05238567219689284], [4, 72.52372851229151, 310.15, 0.05450220153632288], [5, 69.3989707181122, 310.15, 0.05621106431029808], [6, 67.06980100865145, 310.15, 0.057571398741048226], [7, 65.32721468544891, 310.15, 0.058642239746866394], [8, 64.01964441051503, 310.15, 0.0594778410811833], [9, 63.03622339619739, 310.15, 0.0601254550178161], [10, 62.29526158683833, 310.15, 0.06062474032439984]]",41.085846034547984,6764.856912721702,9466.961497719556,-230.55109586741645,766.7495650479926,418.5793866514526,60.196371155731335,60.96420904226848,0.7073454771808103,0.11948325089952,-955305.369014119,2094.362782899987,-6.396148903420402,"(3891.8655660058257, 52860.81303411791, 16921.05386483123)",38114.554068789424,1057.4070892798527,4.501920302217402,0.0007226394284180091,4.500775635112515,0.0004220276764671845,0.13718187593571182,70.669260376424,9.929872825921727e-07,3.2839682762288973,0.0059382506194868324,34.931457026657135,13.810637379504376,20.988095091010294,0.13272455614247575,0.0003923394871321756,0.0011273852680759307,0.011273304288572487,5.953046405413976e-10,2.120606051184304e-18,1.849219114679008e-10,4.1038272695289063e-10,1.1704223396363319e-08,3.2035858169117903e-09,8.338175847102139e-09,6.983080934555916e-10,3.031279661971664e-08,5.228311598587826e-07,0.00457956038167686,0.1803314043374565,-285.1009072463931,791.2633341722177,-228.4504845929263
7,CuAlPyC,58.7104190392673,94.9445031599304,0.2631979621870321,0.697545841403855,0.3387162673784042,-0.3387162673784042,0.0048873504790482,"[17815.050357138796, 12528.8828810545]","[[349.8822637802766, 6783.513418505958], [514.2649300236717, 6148.871755931482], [17815.050357138796, 12528.8828810545]]","[1358.3518209590163, 406.5736196433189, 14.947380389878075, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.69333095191388, 310.15, 0.04490236030406783], [2, 90.90060822174985, 310.15, 0.04648836116983304], [3, 86.80723453979087, 310.15, 0.047957622364229076], [4, 83.29964266538661, 310.15, 0.049311755111209436], [5, 80.28494537439185, 310.15, 0.050553977919230206], [6, 77.68676652897598, 310.15, 0.051688750788813194], [7, 75.7026792100917, 310.15, 0.052725259737388556], [8, 74.15199297450349, 310.15, 0.05368312942442457], [9, 72.76151087452561, 310.15, 0.05457555886809113], [10, 71.51343265754947, 310.15, 0.055405141697518194], [11, 70.39215200261654, 310.15, 0.05617468980137694], [12, 69.38394999959206, 310.15, 0.05688716547649938], [13, 68.47673723793132, 310.15, 0.05754562171898066]]",102.10750870164446,988.4652522059628,802.5069572458607,184.1862276857457,87.54107094864395,88.69192081863807,7.696382791523801,8.373841583493888,0.5271422807700813,0.6975458414038551,260837.29227016028,162.87459387500158,7.913017855474113,"(207.9824758305816, 1624.5339557082348, 904.2662488678986)",184.1862276857457,7.913017855474113,0.4416674393844189,0.00016564738459618237,0.4413400224539827,0.00016176954583997107,0.0676161150479593,7.331436448586563,7.365297123314764e-07,0.9262108042794608,0.0011723138788321693,5.672976637072967,1.1894022831655637,4.46864471183696,0.014929642070442917,0.0002391527847112658,0.0002238342854314125,0.0019262802860480286,9.207892756898753e-11,6.962019329915867e-19,4.9399217328912395e-11,4.267970954387322e-11,2.5787299378639165e-09,3.5683062063452866e-10,2.190508251056892e-09,7.80764916678388e-11,6.229055236458506e-09,4.273896391373307e-08,0.0006059717926407877,0.11512520530608472,53.01060756565808,110.38881616232473,185.82743594474252
8,CuAlPyC-FF2,41.30418153566223,90.67733037134607,0.1564090467500701,0.4727751770869823,0.5517167602827366,-0.5517167602827366,0.0074247560343425,"[10586.841254433788, 15044.561816204612]","[[403.45130756735176, 7877.9895095194215], [595.531907810994, 7443.126816906283], [10586.841254433788, 15044.561816204612]]","[1190.994357549904, 237.08961801465745, 17.073918609427132, 20.42532053318817, 442.5889178817608, 473.8165825108704]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44266266743384, 310.15, 0.04460215985638259], [2, 92.29168123447049, 310.15, 0.04590020616321755], [3, 88.72830224406385, 310.15, 0.047103034307792675], [4, 85.79556569501072, 310.15, 0.04822310845813498], [5, 83.44298816933848, 310.15, 0.04928065079424254], [6, 81.31952167983368, 310.15, 0.050282120187035165], [7, 79.39910931743171, 310.15, 0.0512282247941837], [8, 77.6187911504269, 310.15, 0.05211821994579737], [9, 76.01326227254452, 310.15, 0.05295281850035138], [10, 74.5635352636885, 310.15, 0.05373408546759204], [11, 73.25296904962558, 310.15, 0.054464222914759816], [12, 72.08228805576339, 310.15, 0.05514620150477973], [13, 71.06566267605125, 310.15, 0.05578490687445802], [14, 70.13695026163566, 310.15, 0.0563830079225097]]",49.08662533258299,1470.6323088708862,1600.965574256606,779.0389967216274,145.58215697751424,118.16747696203257,12.536225119921852,13.23474479915964,0.5968024095040476,0.4727751770869822,150162.42071261007,337.537087596735,29.5698233786364,"(561.2073004191608, 6513.366637775, 2440.017209914831)",779.0389967216274,29.5698233786364,0.8274272804640652,0.00022071975906171086,0.8270176545501048,0.00018890615489834556,0.07493187685122045,13.358565591133248,1.0441685875911775e-06,1.1619453035411704,0.0016510091037926962,8.58374799382428,2.3985480211700683,6.158934952082671,0.02626502057154286,0.0002569600839528378,0.00031520048644520217,0.0028739169925608523,1.4215798596875598e-10,8.381084917240122e-19,6.455106213761825e-11,7.760692299302924e-11,3.613061974908542e-09,6.281467129835275e-10,2.933907090245299e-09,1.441200718177779e-10,8.581928699844557e-09,8.647063761818714e-08,0.0009965888653477367,0.12250482811761539,15.648433502441607,168.82919113534714,808.1680852646682
9,DAZMID,29.43861905458771,86.9792473516243,0.02846533572617,0.1051657374205142,3.002556950597432,-3.002556950597432,0.009817254229243,"[1537.2966786159166, 3684.7440555819885]","[[92.12541932272738, 2085.6586623902213], [62.62200487210784, 1067.5882613812078], [1537.2966786159166, 3684.7440555819885]]","[974.4162987652157, 32.32124082229849, 5.2642370170978685, 20.42532053318817, 442.5889178817608, 473.8165825108704]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.61230562421883, 310.15, 0.040308215843433144], [2, 68.45622255225035, 310.15, 0.040603677561527024], [3, 66.2821630629227, 310.15, 0.04183401733605306], [4, 64.66945026762278, 310.15, 0.04279955177487869], [5, 63.47212982198259, 310.15, 0.043547788242910175], [6, 62.58261491360042, 310.15, 0.04412200853833198], [7, 61.921432857684145, 310.15, 0.04455940589976264]]",187.5441491564065,8280.247649905727,11657.225610088466,-222.10241333665928,877.9253471862564,502.87942576439576,68.22473518619562,68.95879719051389,0.6607964882684236,0.1051657374205142,-1234181.9093269247,2536.804373210064,-6.006284969056592,"(4800.318259855505, 65500.501833782204, 20870.824663841)",46544.557980083744,1258.6980699007877,5.127381767332393,0.0008003957676623196,5.12612984500169,0.0004515265630388219,0.14303833426386564,80.39006858315344,1.0965256582038875e-06,3.5937675803430897,0.006626845363744281,39.278680941986046,15.774745156528388,23.353155404293027,0.15078038116463557,0.0003978609653096936,0.001258102868791734,0.01266070698711926,6.708902533974795e-10,2.295679925760456e-18,2.039516318396553e-10,4.669386192621442e-10,1.3046700696444488e-08,3.6392442292171914e-09,9.222892881693272e-09,7.963162301618738e-10,3.374467481696209e-08,5.980820151923803e-07,0.005182598688193317,0.18141139637384446,-358.99655965538847,900.7952918572289,-220.1550570061917
