,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,92.20867411212063,94.03494505529557,1.3610238480151675,8.947169449663265,0.09790410511579763,-0.09790410511579763,0.002778774033464998,"[51968.18161225552, 4391.13828108238]","[[1646.9420628609723, 5298.285102619794], [1479.8035556679217, 2529.0954834600675], [51968.18161225552, 4391.13828108238]]","[547.624126313938, 260.56397078862705, 14.729859614128724, 6.1035977818146385, 157.73827405251296, 108.48842407685466]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.4378965519773, 310.15, 0.20913222496709374], [2, 90.45463415537331, 310.15, 0.21983824996583515], [3, 86.22516360542446, 310.15, 0.2298617399124922], [4, 82.62594482017165, 310.15, 0.23917073046732765], [5, 79.55512267524378, 310.15, 0.24775443062116623], [6, 76.92857024749713, 310.15, 0.2556195068407098], [7, 74.6766518478743, 310.15, 0.26278629308636514], [8, 72.7415816406921, 310.15, 0.26928523447789404], [9, 71.07527292370494, 310.15, 0.2751537468446111], [10, 69.63758967000055, 310.15, 0.28043357442340244], [11, 68.39492632993823, 310.15, 0.2851686571512715], [12, 67.31905442696929, 310.15, 0.2894034744736269], [13, 66.38618529619694, 310.15, 0.2931818087113489], [14, 65.5762075283286, 310.15, 0.29654586174581743]]",42.765776325681465,67.02121623067893,483.6640570828134,75.27289679312342,64.0667934237088,64.0667934237088,,2.2245978194810614,2.8598695371827234,0.42668935393074764,8.947169449663265,87544.51777740104,102857.17607061395,136.81770178419208,0.8012880865500785,"(1428.9840190623108, 3478.007563482681, 294.2024462714276)","{'ShellAndTubePackedColumn': 21400697.135010254, 'Material': 1893814.972658087, 'VacuumPump': 207124.5142255135, 'CentrifugalCompressor': 10886179.251922728, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1267751.5288219778, 'ForcedDraughtCoolingTower': 1341981.5679788126}","{'Fixed': 36439679.98864341, 'Electricity': 122000337.98516886, 'Heat': 296936909.44024354, 'Makeup-water': 25117704.18869362, 'Adsorbent': 3422979.5184690673, 'npv_CC': 8781490959.604454}","{'CAC_CAPEX': 10.561436880223942, 'CAC_FixedOPEX': 4.875418911726645, 'CAC_VariableOPEX': 59.83604100117286}",,75.27289679312342,0.8012880865500785,0.14918241664787255,0.00013449055838568277,0.1490210698169639,2.6856272522999232e-05,0.060565085384522106,2.8948409474321672,4.8687772240918126e-08,0.08940734138716915,0.0001426495525513542,0.5293581110390526,0.05125188324209545,0.4745778508249942,0.0035283769719629482,5.493434396501006e-06,3.871242123822496e-05,0.0004028510196083469,1.597709400182133e-11,4.010184822901303e-20,6.808878527942668e-12,9.168215433776821e-12,1.7988644132389174e-10,4.640347990424082e-11,1.298565813008642e-10,1.685245493358282e-11,6.424665800874728e-10,2.3638893469695704e-08,0.00013695948229254322,0.027627063059280463,75.30026961983167,80.00658470259665
1,AlTCPP,94.3136612583504,95.82025017593142,2.1425635914742704,10.586844351426079,0.07527723639791539,-0.07527723639791539,0.0026807545912699406,"[81169.12573462915, 4893.83126614422]","[[1692.7375180080342, 5517.685897643019], [1724.9140712388503, 2985.637565140352], [81169.12573462915, 4893.83126614422]]","[728.5673306671765, 403.99347659579155, 15.206509365574787, 6.317275797390932, 189.2880490457378, 113.7620198626814]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.73790903185692, 310.15, 0.208127594828127], [2, 90.97587856346094, 310.15, 0.2178856945855987], [3, 86.90474566500528, 310.15, 0.22703688180431067], [4, 83.41409119442658, 310.15, 0.2355614240897599], [5, 80.41278660268594, 310.15, 0.24345479227224945], [6, 77.82539888819299, 310.15, 0.2507249617533809], [7, 75.58928846885844, 310.15, 0.25738974089063804], [8, 73.65226586005019, 310.15, 0.26347429228355024], [9, 71.97069847181896, 310.15, 0.26900894396957137], [10, 70.50797961525244, 310.15, 0.2740273333248296], [11, 69.23328876756507, 310.15, 0.27856488781928146], [12, 68.12058595922774, 310.15, 0.2826576219642166], [13, 67.14779436409792, 310.15, 0.286341215941603], [14, 66.29613425224682, 310.15, 0.28965033549508024]]",50.16570486428766,60.24321559516421,395.72231944517796,59.31672477329775,52.7539329852203,52.7539329852203,,1.7104653144962119,2.3435874840122883,0.4194649095079371,10.586844351426077,92152.18468063064,103616.27023127339,109.64985447741375,0.5641993216227335,"(1394.6334055338853, 2577.287358193912, 242.8703991122019)","{'ShellAndTubePackedColumn': 18363482.791792795, 'Material': 1612315.5364430111, 'VacuumPump': 145379.90049769677, 'CentrifugalCompressor': 10861091.151270894, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1021676.5241066094, 'ForcedDraughtCoolingTower': 1107834.4287985147}","{'Fixed': 33183766.198083017, 'Electricity': 119067634.46675177, 'Heat': 220037400.4118583, 'Makeup-water': 20735200.94208238, 'Adsorbent': 2914182.8205147954, 'npv_CC': 8846299063.073513}","{'CAC_CAPEX': 9.018663176303923, 'CAC_FixedOPEX': 4.217803834243042, 'CAC_VariableOPEX': 46.08025776275078}",,59.31672477329775,0.5641993216227335,0.11091260550488972,0.00012601063333235165,0.11076193492342121,2.465994813614167e-05,0.05823835670524819,2.232053177640546,4.1397279988011215e-08,0.0785429297820572,0.00011071182845072716,0.47898504713642026,0.04072734197238581,0.43520062793429576,0.0030570772297385733,4.917894188287021e-06,3.0150972243694276e-05,0.0003107355849908556,1.2664007585419211e-11,3.479282471222594e-20,5.689139020841583e-12,6.974868529784806e-12,1.4930334681621124e-10,3.715610920750616e-11,1.0920045481191413e-10,1.2774955180370108e-11,5.318545131481e-10,1.7752546978443023e-08,0.00010429144614841493,0.026405725111788184,59.3349240039309,85.1925765687885
2,AlTCPP-FF2,98.28010177697938,98.52250100972904,1.2234327447004965,9.125143157329227,0.10063427214066045,-0.10063427214066045,0.00248003545169307,"[46348.66693227367, 811.0999933341956]","[[317.28930624437703, 1114.7983495282642], [206.8946330423362, 288.208010012597], [46348.66693227367, 811.0999933341956]]","[482.6617845862779, 232.66165074935023, 3.628844374958466, 5.086079363205678, 142.96334397098687, 98.32186612777667]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.9381926376067, 310.15, 0.2884424527531093], [2, 62.71717784229719, 310.15, 0.31637136109582975], [3, 60.89928719808056, 310.15, 0.3255884361230122], [4, 60.30563135777588, 310.15, 0.3287162853669519], [5, 60.10479427656962, 310.15, 0.3297881519307727]]",4827.026603855578,65.87354067715908,487.4727996314901,76.08302022853108,64.42230076244992,64.42230076244992,,2.2866332530631914,2.9164568607362438,0.4067110348656161,9.125143157329225,86990.60853347089,102736.29085600821,140.08367609981798,0.8310660111497051,"(1368.7609642021634, 3584.5977604469217, 299.6711262911957)","{'ShellAndTubePackedColumn': 21124080.83250998, 'Material': 1854696.3070946282, 'VacuumPump': 51207.15879253483, 'CentrifugalCompressor': 10647078.791722527, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1295606.9708064513, 'ForcedDraughtCoolingTower': 1366926.5263933733}","{'Fixed': 35888376.90345116, 'Electricity': 116858759.8083474, 'Heat': 306037109.21999776, 'Makeup-water': 25584595.911655117, 'Adsorbent': 3352274.4110817173, 'npv_CC': 8771170314.416983}","{'CAC_CAPEX': 10.446680110411764, 'CAC_FixedOPEX': 4.832232105058791, 'CAC_VariableOPEX': 60.80410801306053}",,76.08302022853108,0.8310660111497051,0.15357934625933384,0.0001303119009247317,0.15342285507002468,2.6179288384414626e-05,0.05821699169575824,2.955274148522371,4.850494207771186e-08,0.08826598176365426,0.000145830843332115,0.518227327848262,0.05194919925445468,0.46278148057056717,0.003496648023240136,5.394363774307039e-06,3.963376113607018e-05,0.0004136402913061185,1.6200293652730138e-11,3.972681126405995e-20,6.811986936860082e-12,9.388306676143243e-12,1.8030310484818035e-10,4.694671438471563e-11,1.2970065492258747e-10,1.7274151398830206e-11,6.447986547359655e-10,2.428282078003466e-08,0.0001407614695675844,0.02660552875506508,76.11144704201439,83.3914797128203
3,Ca-SQA,98.06863284550545,98.13065359258269,1.41274889724818,5.0610281698954935,0.09294108095864187,-0.09294108095864187,0.0025115274079228304,"[102527.44243340663, 2019.1791096156692]","[[899.6505881787957, 2892.1834624432768], [978.1191614641132, 1420.5454307368764], [102527.44243340663, 2019.1791096156692]]","[1004.913598455325, 515.6476457644334, 8.469521459789215, 9.573071624557418, 289.0794399689347, 182.14391963761017]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.7703168669123, 310.15, 0.2208083285899428], [2, 80.44852684744106, 310.15, 0.2400125561987649], [3, 75.16780949592717, 310.15, 0.25614456352530995], [4, 71.33750223645356, 310.15, 0.2693109405495611], [5, 68.5269249221239, 310.15, 0.279889478798035], [6, 66.44461761711015, 310.15, 0.2882921623607371], [7, 64.88966613972183, 310.15, 0.2949111286968738], [8, 63.72112322741111, 310.15, 0.3000933183719833], [9, 62.83851825751507, 310.15, 0.3041324399048307], [10, 62.16921970647557, 310.15, 0.3072701782738514]]",149.72880748489268,65.93670466834406,460.4824854011719,71.49443268742094,61.47033101351384,61.47033101351384,,2.111826933061315,2.7422729894485673,0.40796123493124503,5.061028169895493,88164.11486281375,102541.23040462821,133.16441708246617,0.7466648116926311,"(1362.4109102523782, 3263.818277540941, 281.23843427364943)","{'ShellAndTubePackedColumn': 19844282.242387094, 'Material': 3337708.3199289544, 'VacuumPump': 59145.76292963178, 'CentrifugalCompressor': 10640783.338196537, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1211041.0530965957, 'ForcedDraughtCoolingTower': 1282847.2359276647}","{'Fixed': 35918718.66955964, 'Electricity': 116316620.27581003, 'Heat': 278650375.1409717, 'Makeup-water': 24010894.158438303, 'Adsorbent': 6032747.328903543, 'npv_CC': 8754516915.443693}","{'CAC_CAPEX': 10.317513476476929, 'CAC_FixedOPEX': 4.771943819522053, 'CAC_VariableOPEX': 56.40497539142196}",,71.49443268742094,0.7466648116926311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,97.20441159505512,97.57193319192007,1.1778900599393936,4.9318369490351355,0.08951188144274369,-0.08951188144274368,0.0025486676242614257,"[87970.43180857078, 2530.0201411285057]","[[1031.4810178703874, 3315.356136791306], [1054.8521085048383, 1639.5026472191967], [87970.43180857078, 2530.0201411285057]]","[859.8021912730528, 439.0524115145079, 9.51823494153668, 7.975437076757898, 251.00638166512817, 152.24972607512217]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.1662716713803, 310.15, 0.21768351937908847], [2, 83.74713186476421, 310.15, 0.2351431745980933], [3, 78.24947278053624, 310.15, 0.2501390650394468], [4, 74.12392995547533, 310.15, 0.2627994218352843], [5, 70.99444053700451, 310.15, 0.2733478598216802], [6, 68.59877459772353, 310.15, 0.28204855402788176], [7, 66.75084135014484, 310.15, 0.2891702420661719], [8, 65.31640136181551, 310.15, 0.2949653899841903], [9, 64.19715691645527, 310.15, 0.29965995180521177], [10, 63.32015444945722, 310.15, 0.303449829361387]]",107.1237847576204,66.39616422294557,452.1742713695169,69.47010117746441,60.11992067914206,60.11992067914206,,2.0339079351131724,2.664937978532143,0.41057827067192304,4.931836949035136,89423.62354930633,103331.27697856522,125.73806869512786,0.7110312465466538,"(1377.5622895886688, 3152.3623410862774, 275.4129542130995)","{'ShellAndTubePackedColumn': 19940768.52661154, 'Material': 3451530.3621872845, 'VacuumPump': 79011.00832720454, 'CentrifugalCompressor': 10730507.019482201, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1181120.4286127624, 'ForcedDraughtCoolingTower': 1256274.7618882288}","{'Fixed': 36139426.925648235, 'Electricity': 117610178.05903976, 'Heat': 269134760.03504133, 'Makeup-water': 23513540.425413832, 'Adsorbent': 6238475.198323512, 'npv_CC': 8821967599.11725}","{'CAC_CAPEX': 10.243075749549574, 'CAC_FixedOPEX': 4.733641193234716, 'CAC_VariableOPEX': 54.493384234680114}",,69.47010117746441,0.7110312465466538,0.13502258462430117,0.00012834212222782707,0.13486872568596261,2.5516816110733105e-05,0.05815981927934002,2.640884418335168,4.609327463433346e-08,0.0841082486299531,0.0001329227036255334,0.5014872174591479,0.04721642917096321,0.4509555186270289,0.0033152696611556893,5.191568504832422e-06,3.660212179319131e-05,0.0003814621273269483,1.4707372133897004e-11,3.772277487288738e-20,6.356818537222932e-12,8.350553558951301e-12,1.677397168331197e-10,4.2884093272925344e-11,1.2141786129230723e-10,1.542147117901103e-11,5.99896694993448e-10,2.186133009838671e-08,0.00012774490112152105,0.026473618791433777,69.50461319620612,84.39751858555738
5,CAU10,93.61474962003177,95.40628152062513,1.7785746563113967,6.941615080267582,0.08629627997456335,-0.08629627997456335,0.0027425615409216917,"[96500.77315717173, 6582.0995192536175]","[[1792.2014644753851, 6065.360768251878], [2716.6476824453075, 4956.065592685672], [96500.77315717173, 6582.0995192536175]]","[922.3889093075747, 468.32925444934205, 16.333214347039945, 9.42720166434973, 255.34101615441742, 172.95822269242564]",470.09371500000003,"[[0, 101.325, 310.15, 0.1978], [1, 96.39607385691185, 310.15, 0.20577357119766948], [2, 92.13804926294894, 310.15, 0.2132834130065876], [3, 88.4447312796827, 310.15, 0.2203274155319455], [4, 85.22931378265368, 310.15, 0.2269100198312507], [5, 82.42039360574185, 310.15, 0.23304099404573084], [6, 79.9588856138683, 310.15, 0.23873429589770442], [7, 77.79561852744929, 310.15, 0.24400704959490743], [8, 75.88944885769938, 310.15, 0.24887865083903407], [9, 74.20577190613257, 310.15, 0.25337000286966965], [10, 72.71533908209008, 310.15, 0.25750287895678675], [11, 71.39331303134094, 310.15, 0.26129940195095286], [12, 70.21850851077261, 310.15, 0.2647816288191497], [13, 69.1727791860411, 310.15, 0.2679712269775006], [14, 68.24051970572019, 310.15, 0.2708892292010512]]",43.703377085922845,65.72193064006791,453.6680264066979,67.27255804585441,58.53717601071848,58.53717601071848,,1.9608423572605045,2.594425220731543,0.4215413181039185,6.941615080267582,92466.57477531135,106265.17100405511,107.79613929651336,0.6808160770302342,"(1448.129411782292, 3120.983419076187, 275.7385986416021)","{'ShellAndTubePackedColumn': 20054992.17241306, 'Material': 2521848.711074047, 'VacuumPump': 163377.1681461788, 'CentrifugalCompressor': 11082058.11003952, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1172643.5503126062, 'ForcedDraughtCoolingTower': 1257760.1636117832}","{'Fixed': 35815548.75882601, 'Electricity': 123634886.97349776, 'Heat': 266455766.40056157, 'Makeup-water': 23541342.50703989, 'Adsorbent': 4558120.308114471, 'npv_CC': 9072450500.218767}","{'CAC_CAPEX': 9.805397412423313, 'CAC_FixedOPEX': 4.536837012738509, 'CAC_VariableOPEX': 52.93032362069258}",,67.27255804585441,0.6808160770302342,0.13016946821026273,0.00012999523732963426,0.1300137543767354,2.5718596197725812e-05,0.05926140733337971,2.5649298677592958,4.527404214092333e-08,0.08392222806706458,0.00012670933159631098,0.5037419990027322,0.04604701052495502,0.45440012674810065,0.003294861729676518,5.202232237647687e-06,3.440465987439811e-05,0.0003564388767969707,1.4357328930602738e-11,3.747330789711854e-20,6.278097156630597e-12,8.079231736498833e-12,1.6509089635818905e-10,4.185382054406583e-11,1.1989993795152336e-10,1.4881383504701176e-11,5.881423448885116e-10,2.0970321749214375e-08,0.00012062508413138632,0.02694712916176819,67.29721925289762,82.98729659116674
6,CAU21,86.71343922131692,90.96572199791999,0.2716003482563204,2.5604904290844406,0.34526372155739055,-0.34526372155739066,0.002983486097302274,"[14780.47781892438, 2264.720655098167]","[[770.3257507437654, 2540.2543421942646], [502.5932263155195, 905.5526802693588], [14780.47781892438, 2264.720655098167]]","[381.8648344146997, 70.94740234182042, 7.436774879522705, 7.533633753936299, 150.51865813036497, 145.42836530905532]",471.50239500000004,"[[0, 101.325, 310.15, 0.1978], [1, 87.44555140202493, 310.15, 0.22290342484976514], [2, 78.61630604855391, 310.15, 0.2430433918147299], [3, 72.82539286234613, 310.15, 0.2586479297971576], [4, 68.93695395921851, 310.15, 0.27045278808966783], [5, 66.27916037033383, 310.15, 0.27923923269410156], [6, 64.43828760482027, 310.15, 0.2857071410348054], [7, 63.15070654119506, 310.15, 0.29043242199484876], [8, 62.24364635235516, 310.15, 0.2938666045625456], [9, 61.60130996452151, 310.15, 0.2963534083700669]]",40.35944849594859,140.3826094017947,1527.2641268021948,427.96146502884125,184.52668014390522,184.52668014390522,,7.845155432594344,8.484486312476157,0.44333840602755087,2.56049042908444,46325.265553741636,107439.36052373727,379.85574555576875,6.1798141879538075,"(1801.6454616565306, 14200.336626027773, 911.705194608845)","{'ShellAndTubePackedColumn': 54806602.28948688, 'Material': 6912400.128101565, 'VacuumPump': 327695.9800736081, 'CentrifugalCompressor': 11446230.988347491, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 3525417.4770052996, 'ForcedDraughtCoolingTower': 2036648.8580819254}","{'Fixed': 71679920.3729554, 'Electricity': 153816524.41136074, 'Heat': 1212361961.2033024, 'Makeup-water': 77837358.85171095, 'Adsorbent': 12493830.91989442, 'npv_CC': 9172697610.297625}","{'CAC_CAPEX': 41.8056568234828, 'CAC_FixedOPEX': 18.123661191250704, 'CAC_VariableOPEX': 368.03214701410775}",,427.96146502884125,6.1798141879538075,0.5697834306400017,0.00021239064393698185,0.5695227900046149,4.824999144979012e-05,0.0783637238974146,10.132330081387776,1.2682163006254944e-07,0.20184278020756063,0.0004946634737690428,1.033667460567861,0.1656054101695147,0.859590300134706,0.008471750263639626,1.1338695112301371e-05,0.00013371090834769973,0.0014283252984605406,5.199614631569112e-11,9.574544762601011e-20,1.8819295405481112e-11,3.3176850814464565e-11,5.080823409069928e-10,1.4670457655497256e-10,3.5022546732430375e-10,6.174566596865845e-11,1.8336163185282654e-09,8.924342064731726e-08,0.0004990001620759032,0.037565283981059044,428.91579098966844,39.13496084730047
7,CuAlPyC,96.40998235224669,97.43549607209472,1.322121560586947,5.290222494033706,0.09501644018869536,-0.09501644018869536,0.002584240844587883,"[89490.29082291234, 3332.349156366643]","[[1012.2635623746678, 3399.408463587416], [1246.3299767097442, 2163.733784327818], [89490.29082291234, 3332.349156366643]]","[899.7046198871428, 432.55498928773704, 9.660665421385708, 8.773067082213988, 269.74787870078427, 178.96801939502177]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.14594843779716, 310.15, 0.2138203844531674], [2, 83.78059178724862, 310.15, 0.22753767254406637], [3, 78.34352490688873, 310.15, 0.2391139879930451], [4, 74.26439091090619, 310.15, 0.24877490520034645], [5, 71.16367311006962, 310.15, 0.2567682875468655], [6, 68.98360796727708, 310.15, 0.26343992902434515], [7, 67.2592048594119, 310.15, 0.26902545409237366], [8, 65.8813198418836, 310.15, 0.2736839141846775], [9, 64.77528855045135, 310.15, 0.27755647314060056], [10, 63.88413151148421, 310.15, 0.28076728520377325]]",109.39858503482282,69.16859488793996,490.1309107046643,73.35760765647898,62.74960780754616,62.74960780754616,,2.15898368519501,2.7901959879687026,0.4125251872623003,5.290222494033707,91266.60369871241,106695.4828913585,114.87144045570516,0.774542176861062,"(1434.244271304881, 3504.862289265823, 297.7461841510887)","{'ShellAndTubePackedColumn': 21179628.41017708, 'Material': 3322467.237881518, 'VacuumPump': 89089.55643719209, 'CentrifugalCompressor': 11004499.377229067, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1274791.7882472582, 'ForcedDraughtCoolingTower': 1358146.052593145}","{'Fixed': 37471205.38377199, 'Electricity': 122449435.06597589, 'Heat': 299229647.20241416, 'Makeup-water': 25420252.861934345, 'Adsorbent': 6005199.80581344, 'npv_CC': 9109188626.740644}","{'CAC_CAPEX': 10.45530537159319, 'CAC_FixedOPEX': 4.808970494516161, 'CAC_VariableOPEX': 58.09333179036963}",,73.35760765647898,0.774542176861062,0.1450449092097832,0.00013073294888567646,0.14488788537120847,2.6290889689057185e-05,0.05876545516164079,2.814023140210067,1.0714821315618756e-07,0.08787939449671582,0.00014293848276988644,0.5366943502705782,0.05228440588349963,0.480944160972975,0.003465783414103372,5.53509195916036e-06,3.857715317743487e-05,0.000402760839140005,1.602564271879809e-11,3.927774626211753e-20,7.096382872622716e-12,8.929259806897626e-12,2.0805393015399893e-10,4.542183778778366e-11,1.574694391716829e-10,1.8033246797808493e-11,6.336447612272192e-10,2.3315750308201757e-08,0.00013573090461214146,0.026787951848100542,73.39520927297835,83.30297339050756
8,CuAlPyC-FF2,95.17363721303028,97.02958835806038,1.1312802077821857,5.050549267820211,0.10296877125098505,-0.10296877125098505,0.0026278715796577137,"[76572.83400755397, 3883.0950184203984]","[[1001.8521347655105, 3324.871382072857], [1210.513017529956, 2120.1153478160772], [76572.83400755397, 3883.0950184203984]]","[806.3694723195094, 365.1865879621931, 9.527203236597032, 8.705632494790569, 246.3771590357223, 176.57288959020644]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36161159622729, 310.15, 0.2156577794889203], [2, 82.79397518650501, 310.15, 0.2304073180907494], [3, 77.68156804362135, 310.15, 0.24231863787146943], [4, 73.96313113714014, 310.15, 0.2521329613371143], [5, 71.1088153541531, 310.15, 0.2603066267121545], [6, 68.88991995729447, 310.15, 0.26709093789958754], [7, 67.14748196774138, 310.15, 0.2727075010927029], [8, 65.76805152211539, 310.15, 0.2773480548384302], [9, 64.66883514602794, 310.15, 0.28117628513161597], [10, 63.7882610251925, 310.15, 0.2843305858862085]]",79.09618233020608,72.4573499671404,531.0459153080658,79.32902554069032,66.76488971647512,66.76488971647512,,2.3396782364606303,2.971239059103135,0.4156241548568666,5.0505492678202115,91009.63191975653,108136.25912767193,116.38660424671858,0.8643354160341167,"(1471.8601660258596, 3900.364912763274, 321.34710977438425)","{'ShellAndTubePackedColumn': 22484279.237766184, 'Material': 3527128.979229961, 'VacuumPump': 103306.72953695596, 'CentrifugalCompressor': 11156718.801680187, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1376803.4338796134, 'ForcedDraughtCoolingTower': 1465799.8385323733}","{'Fixed': 39051007.98220168, 'Electricity': 125660913.85675012, 'Heat': 332995912.67287904, 'Makeup-water': 27435195.551562373, 'Adsorbent': 6375116.064246367, 'npv_CC': 9232195732.101122}","{'CAC_CAPEX': 10.98334805491938, 'CAC_FixedOPEX': 5.025869741409317, 'CAC_VariableOPEX': 63.31980774436162}",,79.32902554069032,0.8643354160341167,0.15883899105423174,0.00013391508874946038,0.1586779621651293,2.7113800353008537e-05,0.059663029566846604,3.0533217973343247,1.1263472293497154e-07,0.09189829339052188,0.00015477658771282746,0.5562994478555587,0.05620760257691934,0.49645255819970285,0.0036392870789362566,5.755601369432741e-06,4.1764222958505874e-05,0.00043712606929874115,1.724462025375618e-11,4.1227643514882703e-20,7.524302108903356e-12,9.720318103625178e-12,2.207095281448331e-10,4.87790044211752e-11,1.6644515353217768e-10,1.9581427096552187e-11,6.742372529612472e-10,2.5448130082483108e-08,0.0001477675300372964,0.027253512029564105,79.37230685496458,81.61750644085865
9,DAZMID,44.07077330417295,75.27759971979962,0.0316300118209269,0.394276458722318,2.6624122325984847,-2.6624122325984847,0.00568254846922126,"[1708.2079264636695, 2167.848240451658]","[[252.85434950154428, 1061.758580951848], [22.635341041428006, 114.9680244382685], [1708.2079264636695, 2167.848240451658]]","[288.80253952857, 5.746414389414746, 3.4018873131345737, 7.038217955702052, 134.54234853930748, 138.07367133101116]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.82085662309076, 310.15, 0.16659342336865066], [2, 61.33042650498146, 310.15, 0.1611895864309717], [3, 60.264164895225235, 310.15, 0.16011318740147168], [4, 60.052638574265345, 310.15, 0.1598985434029985]]",92.04935475093528,1127.5713513072608,15791.682114861609,-373.7274355606117,1308.0016696212601,1308.0016696212601,,60.49589483702459,61.16882306906236,0.5585053247931729,0.3942764587223179,-536547.9611959405,153304.61592690166,3816.608261768521,-6.064503959624599,"(6514.854867703574, 161423.87743025948, 9378.876497342471)","{'ShellAndTubePackedColumn': 511756984.1243761, 'Material': 64053519.24905248, 'VacuumPump': 1245342.844232955, 'CentrifugalCompressor': 19739481.763109427, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 40075568.18445559, 'ForcedDraughtCoolingTower': 8130793.732186}","{'Fixed': 545890769.7810384, 'Electricity': 556209506.3216383, 'Heat': 13781656997.319702, 'Makeup-water': 800727011.1724349, 'Adsorbent': 115773656.6881369, 'npv_CC': 13088470345.554615}","{'CAC_CAPEX': -28.99179746621685, 'CAC_FixedOPEX': -11.91690672858734, 'CAC_VariableOPEX': -332.81873136580754}",,1711974106477.3787,325389.72352012864,4.506110216180905,0.0009298902424958073,4.504933998868946,0.00024632706946351053,0.2391190337876899,77.83423115680733,8.515996970621432e-07,1.2482329651620478,0.0037857804301953675,5.711504479021795,1.2339570434854146,4.423081786203877,0.05446564933249611,6.562607019731686e-05,0.0010219591004683682,0.011018854113060495,3.8836769644306584e-10,6.13387184151832e-19,1.305872238589845e-10,2.577804719706941e-10,3.567027841007491e-09,1.0834190422250813e-09,2.402957822779639e-09,4.809108833696229e-10,1.2937998812966289e-08,6.989963745217646e-07,0.0038853673205031334,0.12811434215405115,-373.06347746421534,-263.9315614271663
