,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,alpha,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,purity_c,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,cool_bd,power_bd,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery,OPEX_system,nCAC_system,CCC_system,LCOC_system,nCAC_system_bd
0,010_bcg+N131+14_charge,96.68595097,98.83564987,1.712291553,8.730470561,0.10076952,-0.100905965,0.002531163,"[69396.88830603634, 2551.092059037154, 24875.99206748798]","[[359.8633462325593, 1559.3188835372332], [300.51719424306145, 839.5695526998413], [74427.01048006078, 2551.092059037154]]","[706.0615516251964, 398.79157467005473, 4.727537919061498, 4.788866320844737, 206.14953602710096, 91.60403668813454]",351.14625,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 72.37014004454359, 310.15, 0.18159338027031707], [2, 67.56380906143508, 310.15, 0.18961133347887787], [3, 65.22266137273289, 310.15, 0.19631989037115183], [4, 63.61914796774215, 310.15, 0.201197175449968], [5, 62.51451996418637, 310.15, 0.20470130435703077], [6, 61.750320541936325, 310.15, 0.20719823093519663]]",235.0839547,0.067670394,74.48826274,349.0942787,65.07374636,52.79578523,52.79578523,,2.289706384,3.939559025,0.424426872,96.38950394,8.730470561,78626.67573,96911.75785,189.3993176,0.861997191,"[1703.6879333009351, 1386.232814662736, 381.8471417196457]","{'ShellAndTubePackedColumn': 19468267.6481624, 'Material': 7566772.532759305, 'VacuumPump': 51208.40418649675, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 145866.47534980046, 'IntercooledCondensingCompressor': 9157432.243863333, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1235900.0767230117, 'ForcedDraughtCoolingTower': 1741766.0269907976}","{'Fixed': 40026587.252840385, 'Electricity': 145453343.71223965, 'Heat': 118350429.15732652, 'Makeup-water': 32600420.807390492, 'Adsorbent': 13676577.582548033, 'npv_CC': 8273897436.627507}","{'CAC_CAPEX': 13.069458349503996, 'CAC_FixedOPEX': 5.962727832073473, 'CAC_VariableOPEX': 46.04156017834652}",,65.07374636,0.861997191,"{'process': 61.72220274741095, 'VacuumPump': 0.039898222667991895, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.246556428903487, 'IntercooledCondensingCompressor': 25.120078944076123}","{'process': 0.0, 'VacuumPump': 0.052087889343327254, 'IntercooledCondensingCompressor': 11.373454962880091}",0.190311694,5.88E-05,0.190160725,9.22E-05,0.012435897,3.626129793,7.57E-08,0.475248519,0.000257222,0.757722883,0.075015209,0.613565268,0.069142406,8.46E-06,6.73E-05,0.000729409,2.48E-11,7.56E-20,1.09E-11,1.38E-11,4.94E-10,1.26E-10,3.43E-10,4.06E-11,1.13E-09,2.61E-08,0.000213498,0.040481227,65.20507313,80.02606996,349.0942787,65.20507313,52.79578523,52.79578523,"{'CAPEX': 13.09583411308274, 'FixedOPEX': 5.974761345274818, 'VariableOPEX': 46.13447767145033}"
1,014_dmp+N156+20_charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,022_dmp+N276+33_charge,97.15787088,97.69804172,1.68480941,7.800629318,0.102583255,-0.10269426,0.002536347,"[76015.18629452748, 2394.31025524493, 27356.746436352725]","[[918.3577336086773, 3147.754886218103], [736.8590623089433, 1223.8297386523086], [81849.23231181898, 2394.31025524493]]","[777.5416098411823, 442.29934336979, 8.971558231212025, 6.126984365609561, 206.3133047900755, 113.83041908449522]",390.9087,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 90.36152394506608, 310.15, 0.20726837233028292], [2, 82.52301219959948, 310.15, 0.22628975938663237], [3, 76.84785589193645, 310.15, 0.2424426114523413], [4, 72.69105447089042, 310.15, 0.25584623177106147], [5, 69.61493945792472, 310.15, 0.2667771618033555], [6, 67.31840520034714, 310.15, 0.27557708413444465], [7, 65.59119240774002, 310.15, 0.2825937673658995], [8, 64.2842723232854, 310.15, 0.2881487834518155], [9, 63.290510801818996, 310.15, 0.29252326039187504], [10, 62.531895022739945, 310.15, 0.2959543622556808]]",129.1024149,0.071568534,75.48179199,349.7770083,66.39540144,53.6843232,53.6843232,,2.330918462,3.986377847,0.423612582,96.88132147,7.800629318,77388.42335,95712.02781,196.700334,0.881217979,"[1682.0807650753072, 1394.866419689836, 381.6018218244319]","{'ShellAndTubePackedColumn': 19330276.429396965, 'Material': 8363898.164500541, 'VacuumPump': 72483.95592562167, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 145563.67798939266, 'IntercooledCondensingCompressor': 9042488.483800437, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1241437.3252831926, 'ForcedDraughtCoolingTower': 1740647.0193761168}","{'Fixed': 40503843.856681645, 'Electricity': 143608619.21478948, 'Heat': 119087528.18522732, 'Makeup-water': 32579476.479300518, 'Adsorbent': 15117343.840334708, 'npv_CC': 8171469789.912014}","{'CAC_CAPEX': 13.45568653675305, 'CAC_FixedOPEX': 6.130368478564389, 'CAC_VariableOPEX': 46.80934642783521}",,66.39540144,0.881217979,"{'process': 62.038429298252126, 'VacuumPump': 0.07104806709300794, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.22819904085609, 'IntercooledCondensingCompressor': 24.722925792143077}","{'process': 0.0, 'VacuumPump': 0.09238668217311619, 'IntercooledCondensingCompressor': 11.170063113513516}",0.1932374,6.13E-05,0.193080219,9.59E-05,0.012891162,3.673680738,8.20E-08,0.479629663,0.000263724,0.775613155,0.07682987,0.621769493,0.077013792,8.56E-06,6.77E-05,0.000732534,2.58E-11,7.62E-20,1.15E-11,1.43E-11,5.08E-10,1.30E-10,3.50E-10,4.35E-11,1.16E-09,2.66E-08,0.000215045,0.040518892,66.54290023,78.81912616,349.7770083,66.54290023,53.6843232,53.6843232,"{'CAPEX': 13.485578627884108, 'FixedOPEX': 6.143987221296518, 'VariableOPEX': 46.91333437712225}"
3,025_dmp+N520+36_charge,25.47799422,22.49881666,0.003549886,0.056499997,17.75620409,-17.75621995,0.010327767,"[201.97469256586507, 590.8626034919108, 67.51760642820113]","[[223.04515627815937, 1001.3823792386695], [11.099902064164516, 61.483622243731446], [202.00736467463398, 590.8626034919108]]","[226.18746935404815, 2.752435727763747, 3.259331975484125, 5.642170252552973, 104.9693445749644, 109.56418682328291]",492.9561,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 64.3965517126691, 310.15, 0.1547350064887976], [2, 60.539582166103436, 310.15, 0.15120144821264828], [3, 60.067007871411086, 310.15, 0.1507607216141556], [4, 60.00833367561011, 310.15, 0.1507058786547135]]",398.841678,0.000162249,2619.107378,14627.0803,-171.4131255,5076.550628,5076.550628,,403.4602313,407.2771812,1.935832666,25.45782163,0.056499997,-1210282.811,40866.00814,7789.101477,-4.786679895,"[11566.890394008211, 118662.13419399256, 16646.301506417778]","{'ShellAndTubePackedColumn': 903612177.2119665, 'Material': 493043974.46237814, 'VacuumPump': 2507277.8562153657, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 43512.928574993406, 'IntercooledCondensingCompressor': 14520742.69095208, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 71346078.07026435, 'ForcedDraughtCoolingTower': 13101391.736224726}","{'Fixed': 1262372366.8175006, 'Electricity': 987529964.4235355, 'Heat': 10130848410.192959, 'Makeup-water': 1421187629.0391452, 'Adsorbent': 891153280.8934038, 'npv_CC': 3488959105.7778387}","{'CAC_CAPEX': -29.854245299725857, 'CAC_FixedOPEX': -12.217066906084165, 'CAC_VariableOPEX': -129.34181328581207}",,1.77119E+12,579323.6397,"{'process': 4579.951061702671, 'VacuumPump': 2.446850798812457, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 0.23808698046133434, 'IntercooledCondensingCompressor': 27.715795418652355}","{'process': 0.0, 'VacuumPump': 3.202401394578746, 'IntercooledCondensingCompressor': 18.77253012809484}",30.85290904,0.006771463,30.83946368,0.006673903,0.826396585,529.455744,6.53E-06,18.44801746,0.027882754,53.79102378,10.03118416,33.25692654,10.50291309,0.000501212,0.007685167,0.082119514,3.11E-09,4.74E-18,9.72E-10,2.14E-09,4.13E-08,1.47E-08,2.29E-08,6.47E-09,1.05E-07,4.70E-06,0.027419119,0.956400168,-170.0521253,-671.6551273,14627.0803,-170.0521253,5076.550628,5076.550628,"{'CAPEX': -29.61720607167708, 'FixedOPEX': -12.120064818797603, 'VariableOPEX': -128.31485436362559}"
4,027_dmp+N520+39_charge,62.36522535,89.38485959,0.06588562,1.240160019,0.932753278,-0.93278677,0.003941603,"[3088.466516353138, 1865.7555250394157, 1033.3745155178701]","[[231.1229504891906, 1046.620347667272], [13.519603240043626, 73.09715799164442], [3091.7752219738054, 1865.7555250394157]]","[191.25615186537073, 13.304585238323556, 3.3393523406012964, 4.2416600867961085, 85.96238920439717, 84.40816499525256]",406.1421,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 65.93109177802323, 310.15, 0.15428552642494364], [2, 60.93841312114218, 310.15, 0.1493233158626363], [3, 60.15092259267341, 310.15, 0.14852442600793775], [4, 60.024337084403456, 310.15, 0.14839557696517225]]",293.5652179,0.001092065,466.4193877,2683.144402,-452.6555339,292.8736152,292.8736152,,21.19421761,22.98028747,0.697787968,62.29824112,1.240160019,-83644.31308,129277.8155,1146.185808,-11.40790958,"[4848.181731560403, 19541.11822880569, 2971.2891923895268]","{'ShellAndTubePackedColumn': 158068303.78959605, 'Material': 71058844.10121533, 'VacuumPump': 545638.470925331, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 118847.21145174342, 'IntercooledCondensingCompressor': 18843470.0865117, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 11749174.715275085, 'ForcedDraughtCoolingTower': 3673630.0419844566}","{'Fixed': 228296554.07250646, 'Electricity': 413916322.3476881, 'Heat': 1668334282.76323, 'Makeup-water': 253675535.12674722, 'Adsorbent': 128435444.57944272, 'npv_CC': 11037168350.578102}","{'CAC_CAPEX': -76.92718376479421, 'CAC_FixedOPEX': -31.969016476671936, 'CAC_VariableOPEX': -343.75933366613685}",,3.2325E+11,95420.67608,"{'process': 761.1223712902099, 'VacuumPump': 0.532456277639995, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 4.62274284300464, 'IntercooledCondensingCompressor': 46.0322142354868}","{'process': 0.0, 'VacuumPump': 0.6969317847653529, 'IntercooledCondensingCompressor': 24.360986035329383}",1.657903148,0.000365491,1.657146345,0.000391311,0.051994832,28.98290237,3.95E-07,1.460672107,0.001611827,3.359924494,0.544008158,2.332737203,0.483179133,3.42E-05,0.000438093,0.004702108,1.71E-10,3.18E-19,5.86E-11,1.13E-10,2.44E-09,7.86E-10,1.48E-09,3.21E-10,6.22E-09,2.47E-07,0.001535269,0.099962176,-445.1622038,-58.8065805,2683.144402,-445.1622038,292.8736152,292.8736152,"{'CAPEX': -75.65371919412271, 'FixedOPEX': -31.4397964032226, 'VariableOPEX': -338.0686881642823}"
5,030_dmp+N520+42_charge,67.39397832,76.80015608,0.095984543,2.861104943,0.635999627,-0.636005413,0.003849206,"[2709.2510701602814, 1311.3863792447332, 905.949071333935]","[[360.44838935509773, 1423.3959835125129], [96.90942009030562, 242.35395598892026], [2710.5283215899103, 1311.3863792447332]]","[120.77304416835163, 15.143266103681809, 4.267453650789491, 2.574030748327553, 49.040671143054844, 49.747622522497934]",244.5534,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 76.18979181870057, 310.15, 0.22129675388630338], [2, 66.19567120616193, 310.15, 0.23641694861548423], [3, 62.425587454967925, 310.15, 0.24292054583310052], [4, 60.95798239445701, 310.15, 0.24558332678483744], [5, 60.40052484291951, 310.15, 0.24681634739019878], [6, 60.20249894758155, 310.15, 0.2476079735952222]]",192.2937041,0.000493253,240.330388,1443.258063,-1574.294681,202.9437028,202.9437028,,14.45131827,16.29801156,0.658348831,67.33838484,2.861104943,-12844.04148,99635.05102,728.7313766,-38.65895529,"[3245.8315950684614, 10167.61474280872, 1624.097994542335]","{'ShellAndTubePackedColumn': 87696281.53107898, 'Material': 23738333.10455544, 'VacuumPump': 745915.5223258593, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 108626.82021328484, 'IntercooledCondensingCompressor': 13357560.941003699, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 6113318.626503577, 'ForcedDraughtCoolingTower': 2683020.5999111906}","{'Fixed': 119691327.90937099, 'Electricity': 277114751.710897, 'Heat': 868065995.5453006, 'Makeup-water': 138658306.60948762, 'Adsorbent': 42905895.87294364, 'npv_CC': 8506400168.167436}","{'CAC_CAPEX': -258.13485296467655, 'CAC_FixedOPEX': -109.15090073897278, 'CAC_VariableOPEX': -1207.008927562687}",,1.72632E+11,49653.72252,"{'process': 399.964147951793, 'VacuumPump': 0.7291648798019036, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 4.015852676382694, 'IntercooledCondensingCompressor': 33.43724379576676}","{'process': 0.0, 'VacuumPump': 0.9519679669825257, 'IntercooledCondensingCompressor': 17.2687596316338}",1.133747309,0.000227483,1.133282385,0.000237441,0.03511989,20.00643446,2.78E-07,1.10373614,0.001127421,2.304546055,0.358468898,1.730893369,0.215183788,2.53E-05,0.000302194,0.003260638,1.14E-10,2.35E-19,4.15E-11,7.28E-11,1.60E-09,4.68E-10,1.05E-09,1.82E-10,4.30E-09,1.66E-07,0.001064234,0.083330701,-1517.366625,-10.2718142,1443.258063,-1517.366625,202.9437028,202.9437028,"{'CAPEX': -248.80044086541145, 'FixedOPEX': -105.20389599783859, 'VariableOPEX': -1163.3622885754908}"
6,036_bcu+N124+36_charge,95.55636595,99.0832196,0.480617567,2.747494746,0.171240395,-0.171589049,0.002532593,"[41663.02566362973, 2109.327020954801, 15160.554639955217]","[[215.11612214151302, 949.8577354498434], [16.825243125457114, 73.76365207229509], [45359.18631949558, 2109.327020954801]]","[629.7457872283845, 240.2116391582277, 3.1799546284320717, 7.173708346806445, 235.39046666364862, 143.79001843126966]",751.06395,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 62.51250316616533, 310.15, 0.17147052741453223], [2, 60.221473204980704, 310.15, 0.17071434048839315], [3, 60.01964195800603, 310.15, 0.17064715307819944], [4, 60.00174294609723, 310.15, 0.17064119011855408]]",662.0692741,0.081924921,120.6932828,514.9032952,115.4981328,79.67641698,79.67641698,,3.890960532,5.559059178,0.430021138,95.11724693,2.747494746,66633.71699,96591.56605,260.1125177,1.830300717,"[1799.340149370414, 2496.0881947425987, 537.0391734683924]","{'ShellAndTubePackedColumn': 28827165.666793086, 'Material': 23964821.390333645, 'VacuumPump': 44262.508308029035, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 147190.92426896555, 'IntercooledCondensingCompressor': 9229970.12359032, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1887506.5178883383, 'ForcedDraughtCoolingTower': 1755231.2280887128}","{'Fixed': 62221858.419540904, 'Electricity': 153619707.04019645, 'Heat': 213104974.81925184, 'Makeup-water': 45850030.371517144, 'Adsorbent': 43315262.56112851, 'npv_CC': 8246560876.6507015}","{'CAC_CAPEX': 24.98784009914975, 'CAC_FixedOPEX': 10.937429745694768, 'CAC_VariableOPEX': 79.57286294898472}",,115.4981328,1.830300717,"{'process': 104.6108853802519, 'VacuumPump': 0.027146284537806525, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.3268958085805345, 'IntercooledCondensingCompressor': 25.266209270000992}","{'process': 0.0, 'VacuumPump': 0.03551792820191694, 'IntercooledCondensingCompressor': 11.502375158298983}",0.314902463,0.000112025,0.314625866,0.000164571,0.018870114,5.736881635,1.09E-07,0.594782213,0.000377169,1.126477368,0.133601418,0.779251527,0.213624423,1.08E-05,0.000103073,0.001090521,4.17E-11,9.66E-20,1.54E-11,2.63E-11,7.98E-10,2.49E-10,4.76E-10,9.92E-11,1.69E-09,4.58E-08,0.000325053,0.044295291,116.2993774,67.88166971,514.9032952,116.2993774,79.67641698,79.67641698,"{'CAPEX': 25.161188105126307, 'FixedOPEX': 11.013305917040583, 'VariableOPEX': 80.12488333439299}"
7,041_dmp+N520+52_charge,96.49326036,97.66181086,0.507261649,3.768037643,0.159631572,-0.159694911,0.002547613,"[35706.09641912975, 1333.5852022554152, 12264.90138358123]","[[464.58084112119246, 1667.0068557242844], [285.0949009797459, 481.87830834421874], [36695.619669607506, 1333.5852022554152]]","[484.64004610208826, 197.29345521931057, 4.984766812322432, 6.169129172274884, 158.24432681961963, 117.9483680785607]",609.86835,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 79.726594797592, 310.15, 0.2316412741777298], [2, 69.9977786774214, 310.15, 0.2612888535562467], [3, 65.25400600691037, 310.15, 0.27879937024951695], [4, 62.818764870385245, 310.15, 0.2887651430877758], [5, 61.5298290049558, 310.15, 0.2943430161887831], [6, 60.83561302176081, 310.15, 0.2974401575422142]]",348.9086131,0.027128254,107.7850303,496.1590748,102.1024514,72.41325686,72.41325686,,3.62718239,5.242780579,0.426314356,96.33486288,3.768037643,71481.56529,100788.7694,231.5285065,1.655721422,"[1847.248735416317, 2422.15247497321, 528.4930565009087]","{'ShellAndTubePackedColumn': 27010793.232958093, 'Material': 18233446.607119877, 'VacuumPump': 78155.3749217346, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 142716.6315745787, 'IntercooledCondensingCompressor': 9416465.570827637, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1847082.857279345, 'ForcedDraughtCoolingTower': 1727299.5387049608}","{'Fixed': 56021186.63855025, 'Electricity': 157709930.31213138, 'Heat': 206792669.93640143, 'Makeup-water': 45120400.68736018, 'Adsorbent': 32956078.17466482, 'npv_CC': 8604899542.968113}","{'CAC_CAPEX': 20.80195019540276, 'CAC_FixedOPEX': 9.179617554988893, 'CAC_VariableOPEX': 72.12088366861464}",,102.1024514,1.655721422,"{'process': 101.5900852873845, 'VacuumPump': 0.07655257929389965, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.05577393584218, 'IntercooledCondensingCompressor': 26.135161354823527}","{'process': 0.0, 'VacuumPump': 0.09965004874114596, 'IntercooledCondensingCompressor': 11.83582199236626}",0.29433614,9.48E-05,0.294103899,0.000137475,0.016753621,5.394158518,1.01E-07,0.556715779,0.000353633,1.017639811,0.121218312,0.739587095,0.156834404,1.03E-05,9.49E-05,0.00101582,3.75E-11,9.21E-20,1.45E-11,2.30E-11,7.02E-10,2.08E-10,4.39E-10,7.91E-11,1.55E-09,4.27E-08,0.000305239,0.043331734,102.6172104,68.91641047,496.1590748,102.6172104,72.41325686,72.41325686,"{'CAPEX': 20.906825162786017, 'FixedOPEX': 9.225897450990324, 'VariableOPEX': 72.48448781396391}"
8,045_dmp+N520+57_charge,96.75351628,97.70227993,0.663815489,4.636232604,0.144769254,-0.144809056,0.002536534,"[41138.123409507105, 1420.4701701116503, 14149.317127521474]","[[516.152138399274, 1815.381756438179], [303.8080343323059, 499.9560179961264], [42333.64326852703, 1420.4701701116503]]","[515.4477705058365, 229.38889918916092, 5.409220295713463, 6.141168316165119, 158.07197914568178, 116.43650355911522]",536.9364,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 81.4163041378376, 310.15, 0.22870408669479467], [2, 71.63958433858687, 310.15, 0.25845028972899314], [3, 66.53489731151353, 310.15, 0.277419557222862], [4, 63.78192357659779, 310.15, 0.2892541242297819], [5, 62.214162476498444, 310.15, 0.296455959805635], [6, 61.30538041946318, 310.15, 0.3007971643853895], [7, 60.772827133786905, 310.15, 0.3034007115163153]]",294.9159083,0.028308135,96.95139203,455.5654672,90.90111943,66.81903063,66.81903063,,3.289477669,4.9077242,0.424835075,96.59742828,4.636232604,73415.11218,99874.47913,220.1278763,1.434489139,"[1807.6494901116848, 2155.065466890405, 490.2302849376979]","{'ShellAndTubePackedColumn': 24708306.957219657, 'Material': 14684567.852359133, 'VacuumPump': 72709.69251090777, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 142203.28268662444, 'IntercooledCondensingCompressor': 9337038.939577559, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1698059.2888809051, 'ForcedDraughtCoolingTower': 1602243.4630238723}","{'Fixed': 50817086.74715448, 'Electricity': 154329121.81695104, 'Heat': 183989961.98244435, 'Makeup-water': 41853694.41164957, 'Adsorbent': 26541650.436760772, 'npv_CC': 8526841481.38221}","{'CAC_CAPEX': 18.21831640273412, 'CAC_FixedOPEX': 8.107568663783235, 'CAC_VariableOPEX': 64.57523436007449}",,90.90111943,1.434489139,"{'process': 91.28477599047505, 'VacuumPump': 0.071227802100286, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.024718608955199, 'IntercooledCondensingCompressor': 25.84990501794694}","{'process': 0.0, 'VacuumPump': 0.0927008266394095, 'IntercooledCondensingCompressor': 11.693460788387988}",0.267877768,8.39E-05,0.267670943,0.000122922,0.015432442,4.945493629,9.40E-08,0.532226306,0.000329725,0.937050088,0.105248208,0.703771791,0.128030089,9.78E-06,8.83E-05,0.000948026,3.39E-11,8.77E-20,1.35E-11,2.04E-11,6.42E-10,1.85E-10,4.12E-10,6.72E-11,1.44E-09,3.83E-08,0.000283377,0.042514813,91.26758853,71.53001126,455.5654672,91.26758853,66.81903063,66.81903063,"{'CAPEX': 18.291763793699698, 'FixedOPEX': 8.140254437389615, 'VariableOPEX': 64.83557029781386}"
9,047_dmp+N520+61_charge,91.48839985,94.16429564,0.340074042,3.420880911,0.220320217,-0.220335132,0.002748595,"[20022.352477571683, 1872.635645736829, 6727.565561907478]","[[673.8963210347699, 2338.7387835492586], [372.10814654716006, 661.228620790976], [20128.346689569706, 1872.635645736829]]","[357.8804944025464, 108.98638296822844, 6.796988542838862, 5.8168916691944, 125.70754783378555, 110.57268338849916]",510.11415,"[[0, 101.325, 310.15, 0.18553602190805857], [1, 86.28020156343167, 310.15, 0.21642122234560665], [2, 77.03119018941378, 310.15, 0.24119652510157608], [3, 71.20688107646492, 310.15, 0.2599829052908159], [4, 67.46013956925428, 310.15, 0.273718378491147], [5, 65.00810855681726, 310.15, 0.2835312553398595], [6, 63.3823031874948, 310.15, 0.29043949284961085], [7, 62.293963715745654, 310.15, 0.29525725139720904], [8, 61.56040899393061, 310.15, 0.2985966149604097]]",83.33872488,0.006294732,130.2847278,632.1400315,149.3897168,89.93670633,89.93670633,,5.006162645,6.636853201,0.456774085,91.38580541,3.420880911,61594.45059,102311.7024,289.8251734,2.759451865,"[2063.490736325659, 3479.197157812447, 679.1301068628501]","{'ShellAndTubePackedColumn': 36107424.26383397, 'Material': 20387276.599632785, 'VacuumPump': 197487.60280463277, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 136892.12153634234, 'IntercooledCondensingCompressor': 9908804.376936676, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2397321.176955671, 'ForcedDraughtCoolingTower': 2219633.9306169}","{'Fixed': 66829252.18066484, 'Electricity': 176171716.34024963, 'Heat': 297038471.74490255, 'Makeup-water': 57981126.07833069, 'Adsorbent': 36849022.341374144, 'npv_CC': 8734920827.03278}","{'CAC_CAPEX': 29.180422925609175, 'CAC_FixedOPEX': 12.708413981968867, 'CAC_VariableOPEX': 107.5008798889571}",,149.3897168,2.759451865,"{'process': 142.28436017865172, 'VacuumPump': 0.19343663120550336, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 5.704032457083431, 'IntercooledCondensingCompressor': 27.513062383238367}","{'process': 0.0, 'VacuumPump': 0.2518022004465024, 'IntercooledCondensingCompressor': 12.729679520465456}",0.401876829,0.00011415,0.401608202,0.000154478,0.019401758,7.264568237,1.24E-07,0.631311627,0.000453495,1.206036796,0.164649881,0.867811899,0.173575017,1.22E-05,0.000121779,0.001306085,4.77E-11,1.11E-19,1.80E-11,2.97E-11,8.12E-10,2.29E-10,5.21E-10,9.53E-11,1.92E-09,5.87E-08,0.000402553,0.048501568,150.3648592,56.32184708,632.1400315,150.3648592,89.93670633,89.93670633,"{'CAPEX': 29.370898329301173, 'FixedOPEX': 12.79136823830955, 'VariableOPEX': 108.2025925936117}"
