,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,alpha,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,purity_c,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,cool_bd,power_bd,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery,OPEX_system,nCAC_system,CCC_system,LCOC_system,nCAC_system_bd
0,010_bcg+N131+14_charge,90.31160513224675,99.48541627796403,1.088026808772835,7.437292779268978,0.1243600787515258,-0.124547022194155,0.0,"[44096.27250170307, 4936.837371287996, 15381.205900899993]","[[0.0, 0.0], [0.0, 0.0], [46019.357526586406, 4936.837371287996]]","[526.6562212664705, 242.11621434800747, 0.0, 0.0, 192.45131592074839, 92.0886909977147]",351.14625,"[0, 101.325, 310.15, 0.18553602190805857]",235.08395472930707,0.0418416383420006,85.84390518668002,239.530310210917,52.52130810479659,39.336757956516976,39.336757956516976,,2.8257360576854658,4.4242802290378,0.3887987621198245,89.8712528678135,7.437292779268977,75966.73869438712,101428.60509996532,205.0829086415856,1.0889585406448918,"[775.242858928042, 866.5930038756835, 448.81621710211067]","{'ShellAndTubePackedColumn': 23918506.802745003, 'Material': 9296456.344779639, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 172272.777345948, 'IntercooledCondensingCompressor': 8919838.749457035, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1522989.2337093665, 'ForcedDraughtCoolingTower': 2047240.2537582307}","{'Fixed': 45481439.622916214, 'Electricity': 66186807.93356413, 'Heat': 73985879.44866723, 'Makeup-water': 38317944.392137244, 'Adsorbent': 16802897.918722726, 'npv_CC': 8659525885.866753}","{'CAC_CAPEX': 15.589265083738685, 'CAC_FixedOPEX': 7.012567567478701, 'CAC_VariableOPEX': 29.919475453579192}",,52.52130810479659,1.0889585406448918,"{'process': 79.733697762945, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.8618954207503, 'IntercooledCondensingCompressor': 24.13286035519822}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.954254474001957}",0.2530221210250587,7.237717166160293e-05,0.2528752571720751,7.448668132207571e-05,0.0172480184232933,4.013481050595593,7.564772647444907e-08,0.3008217397153451,0.0004178500815313,2.357114772090921,0.7606262419747395,1.5118349371823483,0.0846535929338326,5.009583074085256e-05,8.182489959201429e-05,0.000769447977215,4.0130818932878994e-11,1.8744038564385944e-19,1.4127553907790202e-11,2.6003264837648416e-11,9.20990312728075e-10,2.38064829100473e-10,6.498940812464906e-10,6.217657359781743e-11,2.2230933391815602e-09,2.3897493617023897e-08,0.0002789043488359,0.0237838731436963,52.66120866992448,74.31340524025268,239.530310210917,52.66120866992448,39.336757956516976,39.336757956516976,"{'CAPEX': 15.630790077571508, 'FixedOPEX': 7.031246884523323, 'VariableOPEX': 29.99917170782964}"
1,014_dmp+N156+20_charge,92.34800358809892,99.53776925192896,0.8304600888575511,5.387117085744031,0.1338584107266014,-0.1339905033177799,0.0,"[44808.54894306459, 3848.808719244936, 15524.903732884963]","[[0.0, 0.0], [0.0, 0.0], [46449.29013060446, 3848.808719244936]]","[554.9640507719303, 246.52968039864376, 0.0, 0.0, 201.35569474449142, 107.07867562879511]",467.4852,"[0, 101.325, 310.15, 0.18553602190805857]",470.02202692742014,0.0353551532022724,92.37580934767834,255.15415316967997,57.380646549486464,42.11528109295531,42.11528109295531,,3.0415591692441546,4.626385408809794,0.3787635817166155,92.02815482832068,5.387117085744032,74293.08311864393,101221.81386118314,214.9511608570523,1.2054705887176804,"[761.408057592403, 938.2924584659266, 468.3617134676547]","{'ShellAndTubePackedColumn': 24752915.463430997, 'Material': 12808243.057904305, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 171815.00874854164, 'IntercooledCondensingCompressor': 8745545.548847195, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1612699.4103246178, 'ForcedDraughtCoolingTower': 1530769.3481841492}","{'Fixed': 48619137.298094764, 'Electricity': 65005653.75941656, 'Heat': 80107261.8970881, 'Makeup-water': 39986652.46085938, 'Adsorbent': 23150283.574558806, 'npv_CC': 8641870964.127073}","{'CAC_CAPEX': 17.153373052637814, 'CAC_FixedOPEX': 7.665230249929177, 'CAC_VariableOPEX': 32.56204324691947}",,57.380646549486464,1.2054705887176804,"{'process': 85.60442968257172, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.833645191378072, 'IntercooledCondensingCompressor': 23.71886491438249}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.649760212753968}",0.2686518466132565,8.147940664821372e-05,0.2684824316413598,8.793556524854677e-05,0.0181029826812859,4.248829990448146,7.962726991893826e-08,0.3197872979779204,0.0004344302960753,2.499407218999262,0.8135759708611926,1.5713939838858322,0.1144372642522364,4.9707983715792e-05,8.578777272553317e-05,0.0008056542446942,4.313066951895429e-11,1.9069959130862996e-19,1.4653200170589107e-11,2.84774691576656e-11,9.901804484715403e-10,2.677331649983805e-10,6.795608499445711e-10,7.38978632159287e-11,2.335035316405423e-09,2.5858003540413373e-08,0.0002926514370567,0.0235223069966062,57.58581723072235,72.79676373463401,255.15415316967997,57.58581723072235,42.11528109295531,42.11528109295531,"{'CAPEX': 17.21470678528699, 'FixedOPEX': 7.692638106180005, 'VariableOPEX': 32.67847233925536}"
2,022_dmp+N276+33_charge,89.56454437189602,99.49381789525351,1.2212046450080998,7.143652248555413,0.119726342017126,-0.1199570548492447,0.0,"[55098.27878276581, 6761.3712831002495, 19395.872677186577]","[[0.0, 0.0], [0.0, 0.0], [58030.92455965175, 6761.3712831002495]]","[615.4186358830926, 304.8604339575016, 0.0, 0.0, 196.11771186482858, 114.44049006076246]",390.9087,"[0, 101.325, 310.15, 0.18553602190805857]",129.10241491966028,0.0507419320170948,83.21317583277835,233.9098890441524,51.05400914960716,38.625910509649046,38.625910509649046,,2.7204473098520348,4.331414401089747,0.3929443720962944,89.0100261010484,7.143652248555411,76149.71717727621,100651.30649897478,204.00402607738093,1.032326241175331,"[774.108213888564, 823.4489322374866, 436.02823597249056]","{'ShellAndTubePackedColumn': 22197307.561970867, 'Material': 9604416.19407374, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 172443.06832212416, 'IntercooledCondensingCompressor': 8938046.662473293, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1468007.6122275149, 'ForcedDraughtCoolingTower': 1988908.872815945}","{'Fixed': 44217729.50496196, 'Electricity': 66089936.95637828, 'Heat': 70302429.35286398, 'Makeup-water': 37226163.09916984, 'Adsorbent': 17359520.541240588, 'npv_CC': 8593163567.764362}","{'CAC_CAPEX': 15.075213118570344, 'CAC_FixedOPEX': 6.801339940417352, 'CAC_VariableOPEX': 29.17745609061946}",,51.05400914960716,1.032326241175331,"{'process': 76.20672803649325, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.8724068393510835, 'IntercooledCondensingCompressor': 24.09763706735425}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.986212342475367}",0.2454664614298398,7.252900011294608e-05,0.24531810719466,7.582523506705248e-05,0.0175480714581957,3.895593537426822,8.071473876588512e-08,0.2995113345191249,0.0004141421124728,2.3148360093607336,0.7365413869586481,1.4906756417911058,0.0876189806109792,5.0336426900228296e-05,7.985008067748612e-05,0.0007468443316526,3.9918878871298e-11,1.8607057583834216e-19,1.4474651232280564e-11,2.5444227452946854e-11,9.112861400146756e-10,2.3324427805557197e-10,6.441772891223958e-10,6.207977827567425e-11,2.198017602936276e-09,2.3180394892637363e-08,0.0002704926773262,0.0239083687557907,51.19177416930344,75.07142248236077,233.9098890441524,51.19177416930344,38.625910509649046,38.625910509649046,"{'CAPEX': 15.115892333911095, 'FixedOPEX': 6.8196927935323135, 'VariableOPEX': 29.256189041860033}"
3,025_dmp+N520+36_charge,20.844224725709346,25.146200752772568,0.0028561259363568,0.0463950894370608,21.9888556252349,-21.988863171039213,0.0,"[162.50242512505986, 617.181959232579, 54.3208050041536]","[[0.0, 0.0], [0.0, 0.0], [162.52357342618097, 617.181959232579]]","[221.61943204858358, 2.7185904237189997, 0.0, 0.0, 109.50224161114132, 109.39860001372325]",492.9561000000001,"[0, 101.325, 310.15, 0.18553602190805857]",398.84167802900384,0.0001305363937133,2594.0886242595493,8713.849443882951,-110.95475135759276,4141.083732917198,4141.083732917198,,499.6354363172498,503.6903751685479,1.8360190276842392,20.828086161749297,0.0463950894370608,-1242414.80901221,33288.82850669401,7978.55901540219,-4.296720047962785,"[5074.104702446249, 55988.11015283074, 16769.790036775124]","{'ShellAndTubePackedColumn': 896385400.7116044, 'Material': 489100779.9170327, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 42754.71292172357, 'IntercooledCondensingCompressor': 13132252.0164395, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 71972351.24860431, 'ForcedDraughtCoolingTower': 13198582.79157829}","{'Fixed': 1250354234.7269607, 'Electricity': 433204626.7926693, 'Heat': 4780017320.472474, 'Makeup-water': 1431730533.8161867, 'Adsorbent': 884026146.3206363, 'npv_CC': 2842053007.43108}","{'CAC_CAPEX': -28.804334645047582, 'CAC_FixedOPEX': -11.787800797180617, 'CAC_VariableOPEX': -70.36261591536456}",,1176917947716.1245,533830.8617768617,"{'process': 4620.078906401934, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 0.19495931411797918, 'IntercooledCondensingCompressor': 24.375128727146727}","{'process': 0.0, 'IntercooledCondensingCompressor': 16.97747848544659}",38.62261284412959,0.0083537060889364,38.606288891192655,0.0079702468480006,0.990698811914507,600.328991724568,7.270159199695954e-06,27.78301050355856,0.0464406030336,296.73318366675,121.82555931218371,161.4433046052631,13.464319749303122,0.0014903361786692,0.0091694575515142,0.0938313935977436,5.231277285800905e-09,1.3591948096107208e-17,1.3147458831644591e-09,3.916531389044499e-09,1.0539355182429375e-07,3.5198062166274654e-08,6.501901354107088e-08,9.80826138592748e-09,2.4157195109316705e-07,4.01216447453332e-06,0.0381059207061512,0.6180776828911847,-110.0690095627781,-946.0657754223224,8713.849443882951,-110.0690095627781,4141.083732917198,4141.083732917198,"{'CAPEX': -28.57439223379635, 'FixedOPEX': -11.69369984424925, 'VariableOPEX': -69.80091748473251}"
4,027_dmp+N520+39_charge,39.900066846999,84.18858418613814,0.024526285823225,0.50909033578631,2.404343287559963,-2.404367886857486,0.0,"[1149.6987088612236, 1732.4365560877654, 384.4207380679073]","[[0.0, 0.0], [0.0, 0.0], [1150.1565936872423, 1732.4365560877654]]","[173.43607363364242, 4.211722071156599, 0.0, 0.0, 85.79199620485105, 83.43235535763478]",406.1421,"[0, 101.325, 310.15, 0.18553602190805857]",293.565217908141,0.0004062540747748,1280.0907664163676,4459.925491584209,-139.84272265587495,459.7914560058772,459.7914560058772,,54.6319975905358,56.64286615226362,0.9340036720158524,39.86373980312122,0.50909033578631,-499836.3229039222,152022.12082055758,3600.148130329734,-5.324080263683817,"[4476.850777829113, 27907.445653975512, 8612.266669590957]","{'ShellAndTubePackedColumn': 452804201.8588438, 'Material': 203555946.49191526, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 151599.2122494826, 'IntercooledCondensingCompressor': 30508361.907808125, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 35874839.77538237, 'ForcedDraughtCoolingTower': 7633662.66734689}","{'Fixed': 619155747.7127253, 'Electricity': 382213727.1784996, 'Heat': 2382614330.6500344, 'Makeup-water': 735277253.2739469, 'Adsorbent': 367917587.39052224, 'npv_CC': 12978976583.30738}","{'CAC_CAPEX': -35.33072992655809, 'CAC_FixedOPEX': -14.509031849382254, 'CAC_VariableOPEX': -90.00296087993459}",,596762254070.5085,266116.8701845064,"{'process': 2307.043642002699, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.594807405639355, 'IntercooledCondensingCompressor': 65.37335680262065}","{'process': 0.0, 'IntercooledCondensingCompressor': 39.44144974278844}",4.315461412087344,0.0009028839648468,4.313736993845573,0.000821534276925,0.1229904872556882,67.29099832780105,8.476632400387395e-07,3.217510521806437,0.0053853252481318,33.592799877834864,13.520999385298468,18.821336954188467,1.2504635383479243,0.0002406410593661,0.0010569406825411,0.0107091877352124,5.845789295551528e-10,1.6975932609436508e-18,1.555779273585297e-10,4.2900100049902977e-10,1.1883506950785049e-08,3.798484167761296e-09,7.58745152595951e-09,1.013337350039286e-09,2.785311941159205e-08,4.3945685874261737e-07,0.004312793400508,0.1056754470783688,-138.68098549709927,-279.1240022074078,4459.925491584209,-138.68098549709927,459.7914560058772,459.7914560058772,"{'CAPEX': -35.037221469179485, 'FixedOPEX': -14.38849871675178, 'VariableOPEX': -89.255265311168}"
5,030_dmp+N520+42_charge,46.281357530912125,83.13762420912002,0.0660335243644422,2.1600950436278965,0.90274024987912,-0.9027491435505236,0.0,"[1863.856320820915, 2164.0742731289333, 623.1650053942502]","[[0.0, 0.0], [0.0, 0.0], [1864.4606519191805, 2164.0742731289333]]","[110.05103151051087, 9.180388039047699, 0.0, 0.0, 51.00539998960387, 49.865243481859295]",244.5534,"[0, 101.325, 310.15, 0.18553602190805857]",192.29370411397616,0.0003392886841501,355.24260919053745,1293.4683305381056,-268.53636185459413,177.3390965938589,177.3390965938589,,20.51225522222596,22.48380520791364,0.7979156997499813,46.24223404615947,2.1600950436278965,-74668.12249963399,113066.4717915295,1093.2601562478426,-9.862171008977931,"[2138.729959364623, 7721.135957198065, 2542.547736244937]","{'ShellAndTubePackedColumn': 131814685.84576032, 'Material': 35680656.76273935, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 137548.62245349068, 'IntercooledCondensingCompressor': 19384489.566801045, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 9925470.026274703, 'ForcedDraughtCoolingTower': 3378380.293496414}","{'Fixed': 174891128.80608115, 'Electricity': 182595308.56944647, 'Heat': 659196452.7537023, 'Makeup-water': 217071485.0743074, 'Adsorbent': 64491071.76133406, 'npv_CC': 9653115492.788214}","{'CAC_CAPEX': -65.63409146011662, 'CAC_FixedOPEX': -27.43461611607, 'CAC_VariableOPEX': -175.46765427840754}",,171187478080.7245,73638.97930107033,"{'process': 644.2419931601262, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 5.7436111716842, 'IntercooledCondensingCompressor': 43.24728118045881}","{'process': 0.0, 'IntercooledCondensingCompressor': 25.060420266055495}",1.6670410549193992,0.0003264282766805,1.666445907002947,0.0002687196397727,0.0545158830360892,26.123313073585656,3.47833366564451e-07,1.3046058323907177,0.002191783154708,13.211376555926204,5.163694528487151,7.733887241394034,0.3137947860450163,0.0001378943583088,0.000423858983216,0.0042320908548846,2.2526818271469114e-10,7.641227978050729e-19,6.531476414553628e-11,1.5995341780503208e-10,4.61531007472152e-09,1.356127899592798e-09,3.120768932981677e-09,3.36577895637447e-10,1.125848784245856e-08,1.6471685830776118e-07,0.0016911419598865,0.0630319401749611,-265.85934296845846,-55.456208555944,1293.4683305381056,-265.85934296845846,177.3390965938589,177.3390965938589,"{'CAPEX': -64.97979011634467, 'FixedOPEX': -27.161122482025874, 'VariableOPEX': -173.7184303700879}"
6,036_bcu+N124+36_charge,86.76889141046765,99.23245933793388,0.2245193498392904,1.81876816450636,0.2969230892243018,-0.2972799104797737,0.0,"[19462.78303793204, 3079.544846089736, 6750.006369052387]","[[0.0, 0.0], [0.0, 0.0], [20195.487818414895, 3079.544846089736]]","[444.4049963018908, 103.57847451688416, 0.0, 0.0, 196.93947972583933, 143.88704205916727]",751.0639500000001,"[0, 101.325, 310.15, 0.18553602190805857]",662.0692741125931,0.036475824913426,182.56892786716924,506.3883624827676,180.8038678295041,80.74878353707135,80.74878353707135,,6.746749342744157,8.352427152303367,0.4066393240588575,86.28087367984901,1.8187681645063605,46735.42005589551,104644.85457992268,377.4373817458995,4.655575738488341,"[930.4550829529568, 2280.9177199067954, 874.1702783605467]","{'ShellAndTubePackedColumn': 47178066.93669882, 'Material': 39220433.973555095, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 173648.11925467383, 'IntercooledCondensingCompressor': 9407762.659335481, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 3057094.2657633047, 'ForcedDraughtCoolingTower': 2291909.947097712}","{'Fixed': 91944748.22568314, 'Electricity': 79438141.42495961, 'Heat': 194734670.95005745, 'Makeup-water': 74632793.64492698, 'Adsorbent': 70889048.89611164, 'npv_CC': 8934115047.372492}","{'CAC_CAPEX': 53.89151252302604, 'CAC_FixedOPEX': 23.043429549152922, 'CAC_VariableOPEX': 103.86892575732514}",,180.8038678295041,4.655575738488341,"{'process': 196.35028891095695, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.9468252700965785, 'IntercooledCondensingCompressor': 25.56743728548567}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.820198036838113}",0.5608492812088197,0.0001747643630162,0.5604739335692905,0.0002005832765133,0.0295257255844247,8.766971617986778,1.4345286176917165e-07,0.5856972048907434,0.0007989715706263,4.918691071595078,1.7481483905614603,2.8389117402033777,0.3316309408302405,6.286208660837734e-05,0.0001618717941442,0.0015620862628646,8.782866816339583e-11,2.989381176058725e-19,2.543869557401949e-11,6.238997229043825e-11,1.9463869510001852e-09,6.039398471506305e-10,1.2236674146535643e-09,1.8458786186315204e-10,4.336934961093955e-09,5.6982775625690254e-08,0.0005842222826661,0.0289823942573104,183.87487503001915,43.57800584567023,506.3883624827676,183.87487503001915,80.74878353707135,80.74878353707135,"{'CAPEX': 54.80687581138734, 'FixedOPEX': 23.434829019305525, 'VariableOPEX': 105.63317019932624}"
7,041_dmp+N520+52_charge,87.16398104621963,98.98222291510878,0.3289243660938885,3.012974409917589,0.2173323778549865,-0.2174308124621366,0.0,"[23152.95301585265, 3469.642796026155, 7874.832201030632]","[[0.0, 0.0], [0.0, 0.0], [23560.87818185305, 3469.642796026155]]","[393.00955031024876, 123.90161732041716, 0.0, 0.0, 151.33488101835292, 117.77305197147868]",609.8683500000001,"[0, 101.325, 310.15, 0.18553602190805857]",348.9086131117792,0.0174180319707046,132.34653062575512,379.28870429180034,102.92914381605708,60.23430009558852,60.23430009558852,,4.938272336047573,6.5300292870737575,0.4034100688121432,86.90891877580478,3.012974409917589,60900.011009900445,104066.71915652577,293.91974640388906,2.5585067284109098,"[873.9320002480845, 1633.1009373780587, 679.6611614010903]","{'ShellAndTubePackedColumn': 34878423.64935509, 'Material': 23544435.362047922, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 169959.13819585042, 'IntercooledCondensingCompressor': 9319192.71189284, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2403473.205517209, 'ForcedDraughtCoolingTower': 2221369.6019708486}","{'Fixed': 67819669.96639138, 'Electricity': 74612450.5131165, 'Heat': 139426938.06664008, 'Makeup-water': 58026465.16700459, 'Adsorbent': 42555435.02493954, 'npv_CC': 8884756400.86929}","{'CAC_CAPEX': 29.98022223960893, 'CAC_FixedOPEX': 13.043815251383524, 'CAC_VariableOPEX': 59.905106325064615}",,102.92914381605708,2.5585067284109098,"{'process': 142.81737815259578, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.719204927892567, 'IntercooledCondensingCompressor': 25.305801485942286}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.66154509333001}",0.4194195785423834,0.0001240358420049,0.4191595451421287,0.0001359975582497,0.0235565265181324,6.588166107940758,1.118896927250709e-07,0.4489995161886736,0.000623315718688,3.7312649687605104,1.2960295160475397,2.232607089775969,0.2026283629370009,5.740780768851101e-05,0.0001238398931771,0.0011900697749463,6.533808770098088e-11,2.486462806077192e-19,2.0246618143377103e-11,4.5091469308957495e-11,1.4580878389653575e-09,4.266929982276011e-10,9.568761572037223e-10,1.2350375765575103e-10,3.353843931143162e-09,4.2074191033391986e-08,0.000443133750223,0.0268057878285936,103.74841773748258,57.46714069686562,379.28870429180034,103.74841773748258,60.23430009558852,60.23430009558852,"{'CAPEX': 30.218852556823528, 'FixedOPEX': 13.147638690257635, 'VariableOPEX': 60.381926490401426}"
8,045_dmp+N520+57_charge,89.45030031101007,99.1139425822181,0.4994259191438286,4.031782474825048,0.1749490346568127,-0.1750320278841249,0.0,"[30950.53587006611, 3728.9319481463413, 10567.591047528253]","[[0.0, 0.0], [0.0, 0.0], [31617.400725550455, 3728.9319481463413]]","[445.9400575661764, 168.03092539823845, 0.0, 0.0, 160.84376932633793, 117.06536284159999]",536.9363999999999,"[0, 101.325, 310.15, 0.18553602190805857]",294.9159083316799,0.0211422779823658,109.80784739429356,313.4342719255115,76.53433119915694,50.55681113651671,50.55681113651671,,3.9752290320976855,5.562136298233168,0.3920832875397178,89.18752323063283,4.031782474825048,67761.77647033532,102579.69453453147,253.461223641891,1.7957730642051677,"[817.8652005643988, 1275.1982791520688, 570.6482496707865]","{'ShellAndTubePackedColumn': 29182197.08719069, 'Material': 17343476.991350666, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 169852.0507824062, 'IntercooledCondensingCompressor': 9043677.931842845, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2011341.7181680156, 'ForcedDraughtCoolingTower': 1865077.405075516}","{'Fixed': 56992877.00773079, 'Electricity': 69825715.02838735, 'Heat': 108870791.40097386, 'Makeup-water': 48719424.71138665, 'Adsorbent': 31347500.87919543, 'npv_CC': 8757800812.80427}","{'CAC_CAPEX': 22.355698962699407, 'CAC_FixedOPEX': 9.851494874923333, 'CAC_VariableOPEX': 44.32713736153419}",,76.53433119915694,1.7957730642051677,"{'process': 113.32533987450981, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.712605940191017, 'IntercooledCondensingCompressor': 24.527638343506272}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.17216218553309}",0.3429431823517856,0.0001010748826608,0.3427329019248034,0.0001092055443215,0.02064864315201,5.403401981391759,9.516411796749918e-08,0.3813440578449565,0.0005292196052942,3.097142219232788,1.0479986209748695,1.896795728228196,0.1523478700297216,5.3591124357372486e-05,0.0001052320095851,0.0010039201626387,5.384612222670091e-11,2.1942066313360723e-19,1.7386640663360048e-11,3.6459481343920205e-11,1.2162979774824327e-09,3.4491424660784885e-10,8.146927395953894e-10,9.656778676114376e-11,2.832753624503633e-09,3.3700131351086735e-08,0.0003690609153167,0.0251910876744534,76.94435211474303,65.12349169764006,313.4342719255115,76.94435211474303,50.55681113651671,50.55681113651671,"{'CAPEX': 22.475466183678975, 'FixedOPEX': 9.904272744478325, 'VariableOPEX': 44.564613186585724}"
9,047_dmp+N520+61_charge,72.12623922048815,97.44156882290606,0.2062162974208899,2.490707896004149,0.3359171606660077,-0.3359504539723946,0.0,"[12141.283608446005, 4707.095201766978, 4070.9946929631906]","[[0.0, 0.0], [0.0, 0.0], [12180.095726652155, 4707.095201766978]]","[298.0593075190408, 61.45843391091161, 0.0, 0.0, 125.53166992937585, 111.06920367875333]",510.11415000000005,"[0, 101.325, 310.15, 0.18553602190805857]",83.33872487773326,0.003809077768341,182.19153221721464,562.4662984994508,226.3226679511452,82.72772074546755,82.72772074546755,,7.632780895755212,9.293689250018964,0.4954907456380821,72.01365283104076,2.4907078960041487,40215.045798352745,110018.46025546808,415.882984679524,6.480358291257111,"[1168.552719551272, 2731.9015478786932, 1022.6315108500116]","{'ShellAndTubePackedColumn': 53327585.24648063, 'Material': 30110268.261352167, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 165511.86250222783, 'IntercooledCondensingCompressor': 11712905.220797604, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 3511841.661449436, 'ForcedDraughtCoolingTower': 2284446.015145107}","{'Fixed': 91763460.59128158, 'Electricity': 99765865.00406966, 'Heat': 233237676.37521306, 'Makeup-water': 87307757.32527286, 'Adsorbent': 54422862.3399027, 'npv_CC': 9392889743.14953}","{'CAC_CAPEX': 62.49989368660798, 'CAC_FixedOPEX': 26.72683631051889, 'CAC_VariableOPEX': 137.09593795401835}",,226.3226679511452,6.480358291257111,"{'process': 233.2861195320155, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.445559126124037, 'IntercooledCondensingCompressor': 30.365888541093767}","{'process': 0.0, 'IntercooledCondensingCompressor': 15.142535807204327}",0.6400387127892359,0.0001676641401098,0.6396983736613817,0.0001726749877446,0.0304583337383619,10.041387976749231,1.5654647511656672e-07,0.6185934389472366,0.0009087632396207,5.480844034734939,1.9971189644218497,3.234810825964492,0.2489142443485967,7.397840616614179e-05,0.0001790927986037,0.0017442579488909,9.507645323930531e-11,3.4569281229072615e-19,2.8668006214351308e-11,6.640844667926117e-11,2.0402459652648587e-09,5.838979629295736e-10,1.3620009892494415e-09,1.6960364306079664e-10,4.8222127095894636e-09,6.410903534326365e-08,0.0006655743113589,0.0343205116820601,229.82393853100348,35.07519254132953,562.4662984994508,229.82393853100348,82.72772074546755,82.72772074546755,"{'CAPEX': 63.466783309243695, 'FixedOPEX': 27.14030742463154, 'VariableOPEX': 139.21684779712825}"
