,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,87.33318214216928,93.939258357109,0.956225003178304,6.745275193553662,0.1253991166667704,-0.1253991166667704,0.0029663018735597,"[36511.68544902376, 5295.660342621116]","[[1201.0906696691588, 5421.8099147773], [992.5000835015189, 2525.9310645904866], [36511.68544902376, 5295.660342621116]]","[510.34389445396437, 237.39799997846254, 14.013146174644076, 5.88867581311114, 145.51802832189512, 107.5260441658515]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.28777560495291, 310.15, 0.16096261604403148], [2, 90.18023033360882, 310.15, 0.16935850290990628], [3, 85.85075312847876, 310.15, 0.1772329945933608], [4, 82.17365859867611, 310.15, 0.1845515286374844], [5, 79.04465646576928, 310.15, 0.19129775829321227], [6, 76.37710229973379, 310.15, 0.19747093542180127], [7, 74.09889979589073, 310.15, 0.20308296902423317], [8, 72.14994691598082, 310.15, 0.2081554773635606], [9, 70.48003501767798, 310.15, 0.2127170530417614], [10, 69.04712382661074, 310.15, 0.21680086980656904], [11, 67.8159268568206, 310.15, 0.2204426873275323], [12, 66.75675215493847, 310.15, 0.22367925837104483], [13, 65.8445522403916, 310.15, 0.22654710993202323]]",45.53808532566551,438.5826674064413,1552.407443419845,73.71951365044231,49.44520558493745,41.99730536034851,103.39301277248153,2.8493452973376487,3.487204573169066,0.4402406138500481,6.745275193553664,462381.7212055391,589902.946405907,348.5476738349982,3.7044452902092537,"(1071.9255480725196, 12118.70104983651, 2057.422344007459)","{'ShellAndTubePackedColumn': 162802053.8020395, 'Material': 14406865.585953359, 'VacuumPump': 1565537.959452364, 'CentrifugalCompressor': 62374927.48111714, 'SteamBoiler': 7286416.994643967, 'ForcedDraughtCoolingTower': 2999815.506266072}","{'Fixed': 240088853.5511503, 'Electricity': 90242931.90977138, 'Heat': 1020245403.8359045, 'Makeup-water': 173209627.13666588, 'Adsorbent': 30910277.14526124, 'npv_CC': 49662564271.93605}","{'CAC_CAPEX': 21.89836902830346, 'CAC_FixedOPEX': 8.37919897468603, 'CAC_VariableOPEX': 43.528717903123265}",686.4813235450865,73.71951365044231,3.7044452902092537,0.2543210379869874,5.070799365155918e-05,0.2542037294584702,6.660053486562941e-05,0.0114519135639707,4.740291921250587,8.410328525491554e-08,0.4698586295946941,0.0003051903870551,0.7323522793640086,0.0816621387811742,0.6464961914953009,0.0041939490875331,9.130883648694627e-06,7.862154536600938e-05,0.0008575969067641,2.7341070403718817e-11,8.33106500211871e-20,1.2424655522005327e-11,1.4916414798402837e-11,4.541685948282956e-10,9.457776896482948e-11,3.539794778278605e-10,2.669707191776401e-11,1.2263934445738102e-09,3.6218122324195474e-08,0.0002660205183502,0.0419225027854846,73.77191545072607,70.04852866400127
1,AlTCPP,91.27034200729943,96.0079087409766,1.6898062376448726,8.384139970798742,0.0867065218786347,-0.0867065218786347,0.0027896174009564,"[64016.81402425922, 6122.96261768587]","[[1293.8445534080815, 5897.806998995167], [1250.3699089973654, 3178.7399075261474], [64016.81402425922, 6122.96261768587]]","[725.5726260187896, 415.33193489449195, 15.181158116085976, 6.151594339099898, 176.42101492056324, 112.48692374854848]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.69421256486268, 310.15, 0.15982449053273304], [2, 90.89118919294758, 310.15, 0.1671292457018211], [3, 86.78291153910244, 310.15, 0.17398475174440958], [4, 83.25965548604641, 310.15, 0.18037426911122642], [5, 80.23062832351008, 310.15, 0.18629230154631557], [6, 77.62045767913244, 310.15, 0.19174282993686598], [7, 75.47421821248686, 310.15, 0.19681922609537375], [8, 73.60532192771973, 310.15, 0.20148563446761417], [9, 71.9719928178501, 310.15, 0.2057566580091155], [10, 70.54265265961588, 310.15, 0.20965187677077232], [11, 69.29029275207091, 310.15, 0.21319305440122802], [12, 68.19175905432935, 310.15, 0.216403234759098], [13, 67.22715626993912, 310.15, 0.21930600242962417], [14, 66.37935044415306, 310.15, 0.22192489585482636]]",52.2595328892761,373.3054173298448,1132.3053765622694,52.80739909576069,39.10229155379896,31.87059294724474,94.48333456836824,1.9701639607231731,2.60445890592091,0.4274610746284101,8.384139970798744,502681.51148097,591186.4494169041,289.0253198597781,2.8794916829091903,"(802.3218347288115, 8397.640255014023, 1539.952912610718)","{'ShellAndTubePackedColumn': 132299918.2954195, 'Material': 11615945.414950384, 'VacuumPump': 1025374.6949330061, 'CentrifugalCompressor': 61265023.44269144, 'SteamBoiler': 5049114.456855583, 'ForcedDraughtCoolingTower': 2757362.989706354}","{'Fixed': 205060585.05173486, 'Electricity': 67545619.03235523, 'Heat': 706977904.4810264, 'Makeup-water': 129645072.91282634, 'Adsorbent': 24922290.69107283, 'npv_CC': 49770619420.94866}","{'CAC_CAPEX': 17.495591191373148, 'CAC_FixedOPEX': 6.5944673176935735, 'CAC_VariableOPEX': 28.793657649762974}",688.4230013962489,52.80739909576069,2.8794916829091903,0.1866849711681124,4.117887755435757e-05,0.1865828541445201,6.093814603788082e-05,0.0101708729875045,3.567256220491466,7.038217196296379e-08,0.4323172676858727,0.0002447482471496,0.6395902158166217,0.062971698006693,0.5732267056255006,0.0033918121844279,8.003304239252494e-06,6.2592670529332e-05,0.0006838025840123,2.137599672979517e-11,7.241684083488843e-20,1.0314012359591142e-11,1.1061984297787184e-11,3.9013716431526645e-10,7.704424573621634e-11,3.0869225403531903e-10,1.955671679195142e-11,1.0161144607255095e-09,2.599010071771308e-08,0.0002061298563906,0.0391650708312896,52.83592788797976,78.0846750657566
2,AlTCPP-FF2,97.09673325017954,98.53964843875409,0.9434001677081402,7.130759142331349,0.1207737056858029,-0.1207737056858029,0.0025098774336745,"[35739.88055032803, 1068.649823439147]","[[241.05444620015464, 1181.580214340725], [119.72318237306015, 258.90610240260355], [35739.88055032803, 1068.649823439147]]","[476.2803701484901, 233.5934121635651, 3.603663383611064, 5.030463136066121, 135.99716214675263, 98.05566931849516]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780115804, 310.15, 0.2200380113138394], [2, 62.53430040783679, 310.15, 0.24172409487808022], [3, 60.76888278108392, 310.15, 0.24846760792091277], [4, 60.238169102148746, 310.15, 0.25057050129584124], [5, 60.07424765444277, 310.15, 0.2512273772208993]]",1582.5050910855523,413.99883644717016,1484.932188312192,68.70970857541484,47.17394508896247,40.245826586557854,100.91690407425736,2.744245729037689,3.374250921455218,0.409516649035511,7.130759142331348,464647.38955115614,586838.0238953611,342.5610268066099,3.414440051955348,"(1031.8159860769554, 11611.054605386595, 1980.4372313693534)","{'ShellAndTubePackedColumn': 154410242.00923547, 'Material': 13557233.94086674, 'VacuumPump': 282602.80648951436, 'CentrifugalCompressor': 59052359.0652774, 'SteamBoiler': 6981192.559706663, 'ForcedDraughtCoolingTower': 3058291.1114409193}","{'Fixed': 226896983.02083316, 'Electricity': 86866200.68193093, 'Heat': 977507824.1568801, 'Makeup-water': 166728428.61466125, 'Adsorbent': 29087371.9849176, 'npv_CC': 49404535536.70787}","{'CAC_CAPEX': 20.19184423980804, 'CAC_FixedOPEX': 7.7537757026889045, 'CAC_VariableOPEX': 40.84294195223601}",691.864460813264,68.70970857541484,3.414440051955348,0.2437311687697463,4.815065401010411e-05,0.2436205606362723,6.245747946394561e-05,0.0107770967224727,4.533035338780109,7.964540466584813e-08,0.4403537032009957,0.000290651207648,0.6902854002744749,0.0779298274019138,0.6083714493141917,0.0039841235583691,8.603017069352622e-06,7.504420250665943e-05,0.0008186347950112,2.6054844454808604e-11,7.856591202550642e-20,1.1771746249759079e-11,1.4283098126483607e-11,4.288036308464435e-10,8.978256820769603e-11,3.3367114503287146e-10,2.559516445598874e-11,1.1626780075889335e-09,3.4797006712687744e-08,0.0002543557016157,0.0392222177373713,68.75679345872852,74.52246475461664
3,Ca-SQA,97.02250639229648,98.30860930078128,1.1725976458914027,4.082100545293922,0.1042943969790901,-0.1042943969790901,0.0025405703198333,"[85098.94282760077, 2611.575063490894]","[[728.8073571742077, 3223.7313028916324], [661.6660857263054, 1417.6361473957547], [85098.94282760077, 2611.575063490894]]","[1034.1125796315, 557.7107116057399, 8.745002766906115, 9.401662496370767, 277.2433939713078, 181.01180879117533]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.03206241607302, 310.15, 0.17006335029088676], [2, 82.0278615425568, 310.15, 0.1857353080526523], [3, 76.28259996016926, 310.15, 0.1989739443059344], [4, 72.11255563605431, 310.15, 0.20987892051749918], [5, 69.05678870084057, 310.15, 0.21868996799673374], [6, 66.79960695548277, 310.15, 0.22570586258863717], [7, 65.12138532028303, 310.15, 0.23123117863934242], [8, 63.86704782170254, 310.15, 0.23554673584161473], [9, 62.925608933529595, 310.15, 0.23889650375099147], [10, 62.21669236888471, 310.15, 0.2414844738196153]]",152.90926553803266,405.1411098187262,1335.8021796452988,61.65055936881584,44.05569403247725,37.109737996500506,98.17034473613002,2.369799385116273,3.0005033449671643,0.4105710142247008,4.08210054529392,479955.17612434126,585249.3217082086,320.4313002314977,3.101016841992845,"(915.0433418796407, 9999.606864870564, 1756.3072553907093)","{'ShellAndTubePackedColumn': 140421254.0231392, 'Material': 23618147.64188267, 'VacuumPump': 396345.4758382074, 'CentrifugalCompressor': 58914382.549286634, 'SteamBoiler': 6012303.224604611, 'ForcedDraughtCoolingTower': 2901431.1709156693}","{'Fixed': 222143859.5931232, 'Electricity': 77035381.92948033, 'Heat': 841843767.0915058, 'Makeup-water': 147859444.47901016, 'Adsorbent': 50673304.676353835, 'npv_CC': 49270786375.15658}","{'CAC_CAPEX': 19.145746163981197, 'CAC_FixedOPEX': 7.334670965291178, 'CAC_VariableOPEX': 35.24609713442192}",691.8737756699841,61.65055936881584,3.101016841992845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,95.42541966366991,97.85417025082164,0.9877402730503902,3.997729965062156,0.0998096266599126,-0.0998096266599126,0.0025979871022832,"[73769.1413572412, 3536.4042900747922]","[[820.7575070367006, 3691.5424983351577], [696.5350634754549, 1667.6640841918759], [73769.1413572412, 3536.4042900747922]]","[889.4710283229745, 480.204565930893, 9.902346037853897, 7.799863448636924, 240.64644994122017, 150.9178029643704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.45356322192502, 310.15, 0.16629266565990966], [2, 84.14808598595465, 310.15, 0.17884286365470614], [3, 78.67181074019639, 310.15, 0.18971109389087543], [4, 74.52183491885069, 310.15, 0.19896422017202495], [5, 71.34802270866001, 310.15, 0.20673545857529574], [6, 68.90213982195206, 310.15, 0.2131914919161363], [7, 67.00526006448278, 310.15, 0.21850878488535835], [8, 65.52646902643261, 310.15, 0.22285835389226516], [9, 64.36869129574552, 310.15, 0.22639713536564637], [10, 63.459090469890214, 310.15, 0.22926398217452082], [11, 62.742454466535484, 310.15, 0.23157863747244042]]",106.28407977746,407.2725656848464,1301.403413769188,59.95045087157328,43.23685841487307,36.21872925045116,97.78689287363422,2.267895483731183,2.899242757503301,0.4148371216391469,3.997729965062156,487746.3146059479,589215.5275145664,309.6853768481219,3.0427846799551586,"(890.1545072180535, 9634.465899584844, 1708.5363587634815)","{'ShellAndTubePackedColumn': 140274759.7314033, 'Material': 24280036.73054705, 'VacuumPump': 524786.8308099065, 'CentrifugalCompressor': 59790951.73969619, 'SteamBoiler': 5792760.773317353, 'ForcedDraughtCoolingTower': 2822513.334579569}","{'Fixed': 223287615.00998747, 'Electricity': 74940048.52156043, 'Heat': 811103394.0058945, 'Makeup-water': 143837723.2136187, 'Adsorbent': 52093403.65957667, 'npv_CC': 49604692065.87073}","{'CAC_CAPEX': 19.002555583089205, 'CAC_FixedOPEX': 7.267928865252283, 'CAC_VariableOPEX': 33.756007532334884}",690.7232018168794,59.95045087157328,3.0427846799551586,0.2084137724264141,4.381340354004133e-05,0.2083089219446784,6.103707819572044e-05,0.0103781108875691,3.9324086804307297,7.449677798217534e-08,0.4317611604879672,0.0002645613815098,0.6557667678768674,0.0687653418904798,0.5833794566839912,0.0036219693023961,8.18967901660752e-06,6.860805769904558e-05,0.0007498417776815,2.316404325928006e-11,7.447563120165041e-20,1.0865827484197946e-11,1.2298215700606478e-11,4.0370999000434704e-10,8.179135538308621e-11,3.1704461954584044e-10,2.199880114071975e-11,1.0731021655262192e-09,2.9937425452430034e-08,0.0002278755468589,0.0388213183961755,60.009150991786655,77.46001348119133
5,CAU10,89.02019537146748,95.9988095135488,1.4601986902931925,5.595181397348708,0.0976640835997854,-0.0976640835997854,0.0028943583742623,"[79226.5323675633, 9771.848322305175]","[[1360.9978294811344, 6493.321730840029], [1809.6616042194498, 5181.659335484136], [79226.5323675633, 9771.848322305175]]","[939.5075712016061, 501.5881445329991, 16.32658980096191, 9.047995048596604, 241.8638165742384, 170.68102524481012]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.40190265766157, 310.15, 0.15771430184971144], [2, 92.14617507520953, 310.15, 0.1629866854448304], [3, 88.45247924714515, 310.15, 0.1679196519660506], [4, 85.23474829306566, 310.15, 0.17251955648890635], [5, 82.42219586350538, 310.15, 0.1767958401632329], [6, 79.95623721292615, 310.15, 0.18076032973746323], [7, 77.78809652229039, 310.15, 0.1844266149234541], [8, 75.87693459466004, 310.15, 0.18780950760544513], [9, 74.18837395019052, 310.15, 0.19092458207852264], [10, 72.69332949043906, 310.15, 0.1937877921625473], [11, 71.36707567461934, 310.15, 0.19641515892359088], [12, 70.18849792159577, 310.15, 0.19882252158276553], [13, 69.1394883890297, 310.15, 0.20102534375719058], [14, 68.20445556757272, 310.15, 0.20303856724905125]]",43.02360579568495,406.3600190195248,1295.693296423343,58.87504342884516,42.409885947693496,35.09187794186648,98.36703855890184,2.2191439997406364,2.8537499090273504,0.4325627679609065,5.595181397348708,503727.9785568435,605827.697560391,288.59392846011065,3.105469175391471,"(900.8897930358581, 9693.15223827456, 1729.141350360681)","{'ShellAndTubePackedColumn': 141849246.450115, 'Material': 17837071.999415565, 'VacuumPump': 1084675.3034455173, 'CentrifugalCompressor': 63507061.26112209, 'SteamBoiler': 5828046.166844571, 'ForcedDraughtCoolingTower': 2856552.9166134493}","{'Fixed': 222797935.53400433, 'Electricity': 75843827.39764947, 'Heat': 816044061.0848095, 'Makeup-water': 145572409.78494918, 'Adsorbent': 38269867.63168508, 'npv_CC': 51003232228.49168}","{'CAC_CAPEX': 18.836107692019407, 'CAC_FixedOPEX': 7.135972595990843, 'CAC_VariableOPEX': 32.982349480682124}",685.8259706210818,58.87504342884516,3.105469175391471,0.2060377845638462,4.4039458864361137e-05,0.2059309538548543,6.279125012760846e-05,0.0105941670971704,3.9049644660363088,7.4825894784367e-08,0.4447077673670439,0.0002622920693848,0.6686102628933404,0.0684488647038711,0.596526065618857,0.0036353325706119,8.356404503674511e-06,6.716752143748078e-05,0.0007332495928158,2.315391486246114e-11,7.581838520105516e-20,1.0983937801420842e-11,1.2169976985221904e-11,4.102692994170675e-10,8.229466135520723e-11,3.23153917514929e-10,2.1675682122954616e-11,1.080047534838833e-09,2.9249756161030243e-08,0.0002232355399845,0.0401053811971459,58.915454827933154,76.21942748061052
6,CAU21,78.47268754146424,91.2953317483128,0.2022931360609195,1.9419966829466704,0.452438033823584,-0.4524380338235842,0.0033003868680027,"[11008.782682588086, 3020.025336470963]","[[559.630588046582, 2624.626209783763], [305.66651884374227, 865.2154549860009], [11008.782682588086, 3020.025336470963]]","[375.00336443124047, 68.5362316940776, 7.176018199243264, 7.430941540841948, 146.99586047621494, 144.86431252086268]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.94802318697234, 310.15, 0.1701091872897179], [2, 77.90709785296796, 310.15, 0.18432253256957773], [3, 72.0642010725298, 310.15, 0.19512170870260853], [4, 68.20855614174592, 310.15, 0.20311074650551517], [5, 65.62458441690858, 310.15, 0.20891247429232912], [6, 63.873227942971525, 310.15, 0.21307222277572901], [7, 62.67654318215995, 310.15, 0.2160284940738736], [8, 61.854130775965636, 310.15, 0.21811670182377974], [9, 61.28662418598918, 310.15, 0.21958552969213824]]",40.66665942825406,995.9425060472224,5349.388665525748,1311.5777461216378,134.36149002437597,126.4841276815592,182.8287783814453,10.280392863034686,10.9242693352033,0.465625844700723,1.9419966829466704,136815.70066062402,616090.931802869,831.9469742467368,50.620633835608594,"(3507.065253321817, 45665.1567219043, 6731.357814030131)","{'ShellAndTubePackedColumn': 414370618.6841314, 'Material': 52261869.88466441, 'VacuumPump': 2328857.2959576095, 'CentrifugalCompressor': 68214478.70616977, 'SteamBoiler': 27456356.30693707, 'ForcedDraughtCoolingTower': 6332969.919084555}","{'Fixed': 539172378.9109249, 'Electricity': 295251709.8111317, 'Heat': 3844443894.554, 'Makeup-water': 566697440.8475726, 'Adsorbent': 112129100.71428697, 'npv_CC': 51867270174.58167}","{'CAC_CAPEX': 268.68930795252714, 'CAC_FixedOPEX': 109.58559432274798, 'CAC_VariableOPEX': 933.9037253189008}",678.9344831852316,1311.5777461216378,50.620633835608594,0.8193084559130808,0.0001275756113549,0.8190760096618994,0.0001048706398262,0.020936016267651,14.473505336367886,1.9376911384281978e-07,0.717759200412535,0.0007986620144901,1.4324076697980517,0.2358400722673599,1.1858774242888588,0.0106901732418315,1.7591838564046023e-05,0.0002107211356613,0.002290017817408,7.630172358454916e-11,1.6614621989887193e-19,2.927191997350957e-11,4.7029803444893355e-11,9.482107547709e-10,2.3565797980393006e-10,6.967435087510935e-10,8.669725661018547e-11,2.905816655663934e-09,1.2357695018336826e-07,0.0007630488279364,0.0586252074795568,1331.5358469085804,16.49629446153018
7,CuAlPyC,94.58932518070267,97.54021463937804,1.1695802552797254,4.376826043136701,0.1028221792238188,-0.1028221792238188,0.0026482111793109,"[79165.24494105738, 4528.390455770698]","[[872.1162675889763, 4053.415186091268], [1030.2168805147724, 2595.4872462370336], [79165.24494105738, 4528.390455770698]]","[961.9959480933626, 503.92322791947316, 10.70102479368099, 8.784061783881997, 261.98467449657255, 176.60295909975397]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.39925786939106, 310.15, 0.16307593949561813], [2, 85.64476456473137, 310.15, 0.1727763486479202], [3, 80.45150613926977, 310.15, 0.1812483860211869], [4, 76.40477042545258, 310.15, 0.18857135506951192], [5, 73.22141507191202, 310.15, 0.19484646823257573], [6, 70.69738367785315, 310.15, 0.20018553442481574], [7, 68.68292337520629, 310.15, 0.20470177591586416], [8, 67.06634976612472, 310.15, 0.20850381871395], [9, 65.7631757199493, 310.15, 0.2116921378348269], [10, 64.7086834768109, 310.15, 0.21435727592064263], [11, 63.85275349408382, 310.15, 0.21657926803633476]]",107.30334215824622,415.72698684749247,1356.4275189303044,61.170675840555454,43.76282431671504,36.70432337379052,99.18798631478866,2.336347341360761,2.9681588182953904,0.4172234716189081,4.376826043136702,495669.3799676697,602553.9287482597,299.05308845120544,3.112307605086729,"(931.9437254288823, 10149.946571684897, 1788.745354099178)","{'ShellAndTubePackedColumn': 144571563.32540652, 'Material': 22679070.348900437, 'VacuumPump': 621877.2966168983, 'CentrifugalCompressor': 61402429.378794685, 'SteamBoiler': 6102695.568651791, 'ForcedDraughtCoolingTower': 2955019.123951286}","{'Fixed': 227824321.65962133, 'Electricity': 78458186.12014979, 'Heat': 854500519.185694, 'Makeup-water': 150590332.9612322, 'Adsorbent': 48658491.723895684, 'npv_CC': 50727621206.315056}","{'CAC_CAPEX': 19.160585243094744, 'CAC_FixedOPEX': 7.318411913705413, 'CAC_VariableOPEX': 34.76877598506257}",688.7867661138997,61.170675840555454,3.112307605086729,0.2137698874620513,4.490996695369978e-05,0.2136630870902729,6.189040482468848e-05,0.0105328538032099,4.0258483932437485,1.5341231334731648e-07,0.4369296870280376,0.0002716110612415,0.6933976461049373,0.0733186080246464,0.6163535822706867,0.0037254558096038,8.5488302630178e-06,6.951438354207206e-05,0.0007597153924197,2.424702321129083e-11,7.569425273168134e-20,1.1634838797200517e-11,1.261218433839606e-11,4.5190766729712976e-10,8.344303325538852e-11,3.614599943385287e-10,2.459201569454889e-11,1.097304714917008e-09,3.0616189911782004e-08,0.0002318200998526,0.0391409606458891,61.229063360114935,76.68905393289388
8,CuAlPyC-FF2,91.22052272082048,96.92282947515652,0.9131515573030636,4.028381047345526,0.1195763645408598,-0.1195763645408598,0.0027663292651725,"[61808.38499613321, 5948.719603340714]","[[867.7806652668909, 4030.507935182385], [969.2243212178122, 2571.130936244442], [61808.38499613321, 5948.719603340714]]","[816.0463391260375, 386.68032674580223, 10.675811764297269, 8.708738552348914, 234.63064562028734, 175.3508164433017]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86224148825164, 310.15, 0.16351807218975362], [2, 85.17733346302224, 310.15, 0.17317988416208874], [3, 80.1106482948028, 310.15, 0.18146582432705227], [4, 76.19954481461441, 310.15, 0.1885389022463931], [5, 73.13646384990697, 310.15, 0.19455360686287004], [6, 70.70960753793507, 310.15, 0.19965226614605402], [7, 68.7687842981344, 310.15, 0.2039632667974636], [8, 67.20483079607047, 310.15, 0.20760058317290134], [9, 65.93672900234068, 310.15, 0.21066416040932717], [10, 64.9032703384142, 310.15, 0.21324080906032644], [11, 64.05750460735787, 310.15, 0.2154053686985752]]",67.75949022883665,452.57936352016367,1571.527819871468,70.57655964286232,48.30931744273603,41.10944581057912,104.0696077900232,2.7170394898604373,3.3497957555508027,0.4255798025486104,4.028381047345526,486688.5141317127,613085.5199766282,313.2942287267702,3.489776096977621,"(1070.1533564194772, 12010.122415684888, 2054.02085151445)","{'ShellAndTubePackedColumn': 159822071.6085248, 'Material': 25071431.21333156, 'VacuumPump': 799769.8420373343, 'CentrifugalCompressor': 63550538.8138353, 'SteamBoiler': 7221133.660903484, 'ForcedDraughtCoolingTower': 2994855.9752515987}","{'Fixed': 247599587.06092423, 'Electricity': 90093735.19460386, 'Heat': 1011104419.8317263, 'Makeup-water': 172923263.35329476, 'Adsorbent': 53791359.585392386, 'npv_CC': 51614251506.18259}","{'CAC_CAPEX': 21.15406553433197, 'CAC_FixedOPEX': 8.117881130426799, 'CAC_VariableOPEX': 41.38680754264414}",686.1431070730373,70.57655964286232,3.489776096977621,0.2433234908288479,4.921645121537317e-05,0.2432095630935523,6.471128408022496e-05,0.0111467620501358,4.540855377256761,1.6643737715025053e-07,0.4557736006378804,0.0002992218331044,0.7392530735349021,0.0818500127747891,0.6533143081909827,0.0040887525691297,9.099117326760792e-06,7.683508205543114e-05,0.0008392883201166,2.6942447715950857e-11,8.078903554381517e-20,1.2642056026178299e-11,1.4300391608983519e-11,4.851544544632969e-10,9.133641024329623e-11,3.8609214339927084e-10,2.7897021878555244e-11,1.1934346975810846e-09,3.5098888555559744e-08,0.0002587740602201,0.0405691803628961,70.65307203708753,73.33922826625228
9,DAZMID,40.80397626576269,80.29782227678756,0.0323505209020921,0.3992407453959822,2.6099352728166614,-2.6099352728166614,0.0061847782844877,"[1747.1196831365255, 2534.619115448351]","[[199.2090954581053, 1153.9795108278006], [24.35456111062983, 166.38683077575712], [1747.1196831365255, 2534.619115448351]]","[291.70839046505705, 8.021345171367983, 3.4639262438760574, 7.054418011837766, 134.6991435240393, 138.46955751393597]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.85218516985684, 310.15, 0.1278197451080371], [2, 61.66381490817122, 310.15, 0.12288515436583454], [3, 60.35901931739105, 310.15, 0.12181659468533232], [4, 60.07777629152522, 310.15, 0.12158489353632856]]",105.42750285574428,6045.985260893114,40423.17953863811,-189.77064527280405,688.9197880142062,679.2787775635437,979.7338408430307,59.30350223851645,59.981323692839744,0.5698739552017374,0.3992407453959821,-2910465.4910826725,835412.9272399959,5766.6982042147,-6.278318195500999,"(26111.02184080986, 357200.41741192143, 50116.726722996755)","{'ShellAndTubePackedColumn': 2754074775.9062243, 'Material': 344710843.514283, 'VacuumPump': 7054838.092347983, 'CentrifugalCompressor': 109552883.76483865, 'SteamBoiler': 214768165.4346325, 'ForcedDraughtCoolingTower': 35949102.32544536}","{'Fixed': 3249063701.5800185, 'Electricity': 2198226518.9143, 'Heat': 30071876731.186127, 'Makeup-water': 4219211273.8953395, 'Adsorbent': 739585418.1073194, 'npv_CC': 70331481552.07637}","{'CAC_CAPEX': -30.20127415791764, 'CAC_FixedOPEX': -13.005483173625603, 'CAC_VariableOPEX': -146.58464050189485}",626.3755363686339,91882.97807336364,3039.830381909384,4.540102306453232,0.0006306296749654,4.5391225044697086,0.0003491723085603,0.081994658918599,78.5189723486776,9.063199421704586e-07,2.294777330022641,0.004034219129928,5.972667803541255,1.2485454829347922,4.670936988464567,0.0531853321418885,7.242857853426493e-05,0.001077406725188,0.0116878468130649,3.97540251518723e-10,7.036883892582615e-19,1.3910775838788172e-10,2.58432492427153e-10,4.160044671955298e-09,1.158957144016004e-09,2.919118129610126e-09,4.809792438978605e-10,1.387261042379685e-08,6.951553220094141e-07,0.0040286921331188,0.1633563771567914,-189.38076742952987,-284.26250584522734
