,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,87.33318214216928,93.939258357109,0.956225003178304,6.745275193553662,0.1253991166667704,-0.1253991166667704,0.0029663018735597,"[36511.68544902376, 5295.660342621116]","[[1201.0906696691588, 5421.8099147773], [992.5000835015189, 2525.9310645904866], [36511.68544902376, 5295.660342621116]]","[510.34389445396437, 237.39799997846254, 14.013146174644076, 5.88867581311114, 145.51802832189512, 107.5260441658515]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.28777560495291, 310.15, 0.16096261604403148], [2, 90.18023033360882, 310.15, 0.16935850290990628], [3, 85.85075312847876, 310.15, 0.1772329945933608], [4, 82.17365859867611, 310.15, 0.1845515286374844], [5, 79.04465646576928, 310.15, 0.19129775829321227], [6, 76.37710229973379, 310.15, 0.19747093542180127], [7, 74.09889979589073, 310.15, 0.20308296902423317], [8, 72.14994691598082, 310.15, 0.2081554773635606], [9, 70.48003501767798, 310.15, 0.2127170530417614], [10, 69.04712382661074, 310.15, 0.21680086980656904], [11, 67.8159268568206, 310.15, 0.2204426873275323], [12, 66.75675215493847, 310.15, 0.22367925837104483], [13, 65.8445522403916, 310.15, 0.22654710993202323]]",45.53808532566551,420.640248047849,259.081441946962,53.54519275988439,36.48994365978159,15.515733743987145,99.65607468587936,2.8493452973376487,3.487204573169066,0.4402406138500481,6.745275193553664,589902.946405907,589902.946405907,201.18194558768533,6.122920505026657,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 162802053.8020395, 'Material': 14406865.585953359, 'VacuumPump': 1565537.959452364, 'CentrifugalCompressor': 62374927.48111714}","{'Fixed': 230460814.96060905, 'Adsorbent': 30910277.14526124, 'npv_CC': 49662564271.93605}","{'CAC_CAPEX': 31.433318123716607, 'CAC_FixedOPEX': 10.056299588310743, 'CAC_VariableOPEX': 12.296078694925182}",555.4685482636223,53.54519275988439,6.122920505026657,0.1065631138848266,6.017320046971478e-05,0.1063562830321544,0.0001466576522023,0.022151810329672,2.8496446898850576,1.1999607150521524e-07,1.0584141023558309,0.0003280218927583,1.311585423179624,0.0639163337077921,1.2428336766227035,0.0048354128491281,1.663863312694843e-05,7.910553963086771e-05,0.0008718747533671,2.4280729763334722e-11,1.4581495715666348e-19,1.6941826775360438e-11,7.338902842159327e-12,7.492586836334702e-10,1.1452331644388791e-10,6.296885441638366e-10,1.0699537031458296e-11,1.6503565076188843e-09,8.921330166591752e-09,0.0002134653509636,0.1002792634412892,53.58260643509072,83.92879847054424
1,AlTCPP,91.27034200729943,96.0079087409766,1.6898062376448726,8.384139970798742,0.0867065218786347,-0.0867065218786347,0.0027896174009564,"[64016.81402425922, 6122.96261768587]","[[1293.8445534080815, 5897.806998995167], [1250.3699089973654, 3178.7399075261474], [64016.81402425922, 6122.96261768587]]","[725.5726260187896, 415.33193489449195, 15.181158116085976, 6.151594339099898, 176.42101492056324, 112.48692374854848]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.69421256486268, 310.15, 0.15982449053273304], [2, 90.89118919294758, 310.15, 0.1671292457018211], [3, 86.78291153910244, 310.15, 0.17398475174440958], [4, 83.25965548604641, 310.15, 0.18037426911122642], [5, 80.23062832351008, 310.15, 0.18629230154631557], [6, 77.62045767913244, 310.15, 0.19174282993686598], [7, 75.47421821248686, 310.15, 0.19681922609537375], [8, 73.60532192771973, 310.15, 0.20148563446761417], [9, 71.9719928178501, 310.15, 0.2057566580091155], [10, 70.54265265961588, 310.15, 0.20965187677077232], [11, 69.29029275207091, 310.15, 0.21319305440122802], [12, 68.19175905432935, 310.15, 0.216403234759098], [13, 67.22715626993912, 310.15, 0.21930600242962417], [14, 66.37935044415306, 310.15, 0.22192489585482636]]",52.2595328892761,359.6884694291225,220.82982240347687,39.89976412919559,29.834940089084903,13.224394861474156,90.42947989993048,1.9701639607231731,2.60445890592091,0.4274610746284101,8.384139970798744,591186.4494169041,591186.4494169041,184.9174852061867,4.419313017427155,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 132299918.2954195, 'Material': 11615945.414950384, 'VacuumPump': 1025374.6949330061, 'CentrifugalCompressor': 61265023.44269144}","{'Fixed': 197753627.31915018, 'Adsorbent': 24922290.69107283, 'npv_CC': 49770619420.94866}","{'CAC_CAPEX': 23.53165000113971, 'CAC_FixedOPEX': 7.65712216337725, 'CAC_VariableOPEX': 8.884579209091543}",597.3839635460797,39.89976412919559,4.419313017427155,0.084415327248386,4.766534974917768e-05,0.0842515111881024,0.0001161507105343,0.0175478451475646,2.257211741588725,9.50851012810934e-08,0.8382421703283788,0.000260216929676,1.038826002729016,0.0506397135331497,0.9843555986437836,0.0038306905520825,1.3178363163682511e-05,6.285061656326523e-05,0.0006928291703539,1.923665034598861e-11,1.154937781874872e-19,1.3421106454370722e-11,5.81554377612411e-12,5.934501588049668e-10,9.072507681135508e-11,4.987193404196383e-10,8.485273509617566e-12,1.307668309396762e-09,7.108809492422111e-09,0.0001695840706566,0.0794180489567282,39.92108800194329,87.90336970617388
2,AlTCPP-FF2,97.09673325017954,98.53964843875409,0.9434001677081402,7.130759142331349,0.1207737056858029,-0.1207737056858029,0.0025098774336745,"[35739.88055032803, 1068.649823439147]","[[241.05444620015464, 1181.580214340725], [119.72318237306015, 258.90610240260355], [35739.88055032803, 1068.649823439147]]","[476.2803701484901, 233.5934121635651, 3.603663383611064, 5.030463136066121, 135.99716214675263, 98.05566931849516]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780115804, 310.15, 0.2200380113138394], [2, 62.53430040783679, 310.15, 0.24172409487808022], [3, 60.76888278108392, 310.15, 0.24846760792091277], [4, 60.238169102148746, 310.15, 0.25057050129584124], [5, 60.07424765444277, 310.15, 0.2512273772208993]]",1582.5050910855523,396.486824526816,244.43265617064176,49.73820791618607,34.6634289400913,14.70580433019908,96.82340437733129,2.744245729037689,3.374250921455218,0.409516649035511,7.130759142331348,586838.0238953611,586838.0238953611,202.73927520675136,5.697091293082768,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 154410242.00923547, 'Material': 13557233.94086674, 'VacuumPump': 282602.80648951436, 'CentrifugalCompressor': 59052359.0652774}","{'Fixed': 217499904.33275512, 'Adsorbent': 29087371.9849176, 'npv_CC': 49404535536.70787}","{'CAC_CAPEX': 29.18768756567268, 'CAC_FixedOPEX': 9.337994683761668, 'CAC_VariableOPEX': 11.436303067183697}",566.319306636078,49.73820791618607,5.697091293082768,0.1014149977178621,5.726201207889693e-05,0.1012181856132095,0.0001395500925735,0.0210805856606863,2.711901188052547,1.1420494490655288e-07,1.0071165868816878,0.0003126147671268,1.248050085561859,0.0608335775287856,1.1826149592382504,0.0046015487948221,1.5832530892650178e-05,7.550412286717588e-05,0.0008323174008533,2.3105497038413292e-11,1.3875325393289126e-19,1.6120979012423805e-11,6.984517887236236e-12,7.129503353829071e-10,1.0898345930480439e-10,5.991610325785305e-10,1.018689284555332e-11,1.5708737694440364e-09,8.506496878773893e-09,0.0002037222854214,0.0954185531115811,49.771745113471525,88.5462502172189
3,Ca-SQA,97.02250639229648,98.30860930078128,1.1725976458914027,4.082100545293922,0.1042943969790901,-0.1042943969790901,0.0025405703198333,"[85098.94282760077, 2611.575063490894]","[[728.8073571742077, 3223.7313028916324], [661.6660857263054, 1417.6361473957547], [85098.94282760077, 2611.575063490894]]","[1034.1125796315, 557.7107116057399, 8.745002766906115, 9.401662496370767, 277.2433939713078, 181.01180879117533]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.03206241607302, 310.15, 0.17006335029088676], [2, 82.0278615425568, 310.15, 0.1857353080526523], [3, 76.28259996016926, 310.15, 0.1989739443059344], [4, 72.11255563605431, 310.15, 0.20987892051749918], [5, 69.05678870084057, 310.15, 0.21868996799673374], [6, 66.79960695548277, 310.15, 0.22570586258863717], [7, 65.12138532028303, 310.15, 0.23123117863934242], [8, 63.86704782170254, 310.15, 0.23554673584161473], [9, 62.925608933529595, 310.15, 0.23889650375099147], [10, 62.21669236888471, 310.15, 0.2414844738196153]]",152.90926553803266,389.5927581203387,260.7202224561861,45.773316643815456,33.11550470138624,14.906161260719982,94.11088966706144,2.369799385116273,3.0005033449671643,0.4105710142247008,4.08210054529392,585249.3217082086,585249.3217082086,199.44471253909515,5.007269973649865,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 140421254.0231392, 'Material': 23618147.64188267, 'VacuumPump': 396345.4758382074, 'CentrifugalCompressor': 58914382.549286634}","{'Fixed': 213800495.90400663, 'Adsorbent': 50673304.676353835, 'npv_CC': 49270786375.15658}","{'CAC_CAPEX': 26.636556755774244, 'CAC_FixedOPEX': 8.653117329689815, 'CAC_VariableOPEX': 10.680324303529835}",583.6397790055403,45.773316643815456,5.007269973649865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,95.42541966366991,97.85417025082164,0.9877402730503902,3.997729965062156,0.0998096266599126,-0.0998096266599126,0.0025979871022832,"[73769.1413572412, 3536.4042900747922]","[[820.7575070367006, 3691.5424983351577], [696.5350634754549, 1667.6640841918759], [73769.1413572412, 3536.4042900747922]]","[889.4710283229745, 480.204565930893, 9.902346037853897, 7.799863448636924, 240.64644994122017, 150.9178029643704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.45356322192502, 310.15, 0.16629266565990966], [2, 84.14808598595465, 310.15, 0.17884286365470614], [3, 78.67181074019639, 310.15, 0.18971109389087543], [4, 74.52183491885069, 310.15, 0.19896422017202495], [5, 71.34802270866001, 310.15, 0.20673545857529574], [6, 68.90213982195206, 310.15, 0.2131914919161363], [7, 67.00526006448278, 310.15, 0.21850878488535835], [8, 65.52646902643261, 310.15, 0.22285835389226516], [9, 64.36869129574552, 310.15, 0.22639713536564637], [10, 63.459090469890214, 310.15, 0.22926398217452082], [11, 62.742454466535484, 310.15, 0.23157863747244042]]",106.28407977746,392.2448224446043,263.45824679427227,44.85175637817717,32.726964919856016,14.92602834366847,93.78787501902482,2.267895483731183,2.899242757503301,0.4148371216391469,3.997729965062156,589215.5275145664,589215.5275145664,191.7406025697369,4.8533576208361975,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 140274759.7314033, 'Material': 24280036.73054705, 'VacuumPump': 524786.8308099065, 'CentrifugalCompressor': 59790951.73969619}","{'Fixed': 215223613.7761457, 'Adsorbent': 52093403.65957667, 'npv_CC': 49604692065.87073}","{'CAC_CAPEX': 26.113735963190127, 'CAC_FixedOPEX': 8.519807291209373, 'CAC_VariableOPEX': 10.408849309137032}",586.4050735049142,44.85175637817717,4.8533576208361975,0.0907419096459936,5.130986433467167e-05,0.0905659335593287,0.00012466622233,0.01888083957036,2.425804704138857,1.0299158222397638e-07,0.8995553453308669,0.000282530294473,1.115985338542142,0.0546013144908344,1.0572544714365872,0.00412955261472,1.415504184828335e-05,6.894420331213362e-05,0.0007606648668826,2.071330629405985e-11,1.2413461402776453e-19,1.4450788998472269e-11,6.2625171714529625e-12,6.38118555209845e-10,9.75960832540804e-11,5.361007163769093e-10,9.259370852891506e-12,1.409530156433693e-09,8.206407946964442e-09,0.0001859126891438,0.0852071715510408,44.89513415400628,88.97469597543792
5,CAU10,89.02019537146748,95.9988095135488,1.4601986902931925,5.595181397348708,0.0976640835997854,-0.0976640835997854,0.0028943583742623,"[79226.5323675633, 9771.848322305175]","[[1360.9978294811344, 6493.321730840029], [1809.6616042194498, 5181.659335484136], [79226.5323675633, 9771.848322305175]]","[939.5075712016061, 501.5881445329991, 16.32658980096191, 9.047995048596604, 241.8638165742384, 170.68102524481012]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.40190265766157, 310.15, 0.15771430184971144], [2, 92.14617507520953, 310.15, 0.1629866854448304], [3, 88.45247924714515, 310.15, 0.1679196519660506], [4, 85.23474829306566, 310.15, 0.17251955648890635], [5, 82.42219586350538, 310.15, 0.1767958401632329], [6, 79.95623721292615, 310.15, 0.18076032973746323], [7, 77.78809652229039, 310.15, 0.1844266149234541], [8, 75.87693459466004, 310.15, 0.18780950760544513], [9, 74.18837395019052, 310.15, 0.19092458207852264], [10, 72.69332949043906, 310.15, 0.1937877921625473], [11, 71.36707567461934, 310.15, 0.19641515892359088], [12, 70.18849792159577, 310.15, 0.19882252158276553], [13, 69.1394883890297, 310.15, 0.20102534375719058], [14, 68.20445556757272, 310.15, 0.20303856724905125]]",43.02360579568495,391.2113512538617,250.10410790272357,44.05920402187444,32.101582133082346,14.230279907507278,94.38608800076273,2.2191439997406364,2.8537499090273504,0.4325627679609065,5.595181397348708,605827.697560391,605827.697560391,164.97466306002565,4.879688802564857,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 141849246.450115, 'Material': 17837071.999415565, 'VacuumPump': 1084675.3034455173, 'CentrifugalCompressor': 63507061.26112209}","{'Fixed': 214669045.28079295, 'Adsorbent': 38269867.63168508, 'npv_CC': 51003232228.49168}","{'CAC_CAPEX': 25.807580303465677, 'CAC_FixedOPEX': 8.364279341560994, 'CAC_VariableOPEX': 10.079014830940883}",580.8497518379082,44.05920402187444,4.879688802564857,0.0908864457880415,5.136970507718355e-05,0.0907100358923157,0.0001250401906486,0.018912253336793,2.430506005714361,1.0269815460920908e-07,0.9023565097388484,0.0002798470183967,1.1188250549970111,0.054583934739323,1.060109521248786,0.0041315990089019,1.4192128779513052e-05,6.748976051075157e-05,0.0007437663681569,2.075383139319732e-11,1.2439757348100312e-19,1.4490417981091102e-11,6.263413287708641e-12,6.395757591317718e-10,9.775002981750132e-11,5.374479456689891e-10,9.209229032112226e-12,1.409104810743783e-09,7.985260039335034e-09,0.0001821567197416,0.0854856180959647,44.089074902466685,87.27381891697912
6,CAU21,78.47268754146424,91.2953317483128,0.2022931360609195,1.9419966829466704,0.452438033823584,-0.4524380338235842,0.0033003868680027,"[11008.782682588086, 3020.025336470963]","[[559.630588046582, 2624.626209783763], [305.66651884374227, 865.2154549860009], [11008.782682588086, 3020.025336470963]]","[375.00336443124047, 68.5362316940776, 7.176018199243264, 7.430941540841948, 146.99586047621494, 144.86431252086268]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.94802318697234, 310.15, 0.1701091872897179], [2, 77.90709785296796, 310.15, 0.18432253256957773], [3, 72.0642010725298, 310.15, 0.19512170870260853], [4, 68.20855614174592, 310.15, 0.20311074650551517], [5, 65.62458441690858, 310.15, 0.20891247429232912], [6, 63.873227942971525, 310.15, 0.21307222277572901], [7, 62.67654318215995, 310.15, 0.2160284940738736], [8, 61.854130775965636, 310.15, 0.21811670182377974], [9, 61.28662418598918, 310.15, 0.21958552969213824]]",40.66665942825406,962.4281118505796,2535.4241132568877,851.227633959969,108.90881580459924,71.44526123172207,237.64093191934185,10.280392863034686,10.9242693352033,0.465625844700723,1.9419966829466704,429338.9879159137,616090.931802869,717.2814554546984,69.22621096362664,"(1704.2080339491454, 17717.089209185688, 3271.006735671889)","{'ShellAndTubePackedColumn': 414370618.6841314, 'Material': 52261869.88466441, 'VacuumPump': 2328857.2959576095, 'CentrifugalCompressor': 68214478.70616977, 'SteamBoiler': 10652470.044318436, 'ForcedDraughtCoolingTower': 3923346.3453762485}","{'Fixed': 521188300.2749879, 'Electricity': 143473331.5614131, 'Heat': 1491560750.6685922, 'Makeup-water': 275378489.3497766, 'Adsorbent': 112129100.71428697, 'npv_CC': 51867270174.58167}","{'CAC_CAPEX': 331.62054315076426, 'CAC_FixedOPEX': 109.42847833746963, 'CAC_VariableOPEX': 412.4667410325712}",379.6476260072977,851.227633959969,69.22621096362664,0.4941483453328033,0.0001491040532213,0.4937160544017921,0.0002831868777895,0.0447941156222433,10.328491406255411,2.7426610448761885e-07,2.0284808368076748,0.0008525083006464,2.7251678694636667,0.1973204526560417,2.5156905393395093,0.0121568774681148,3.434420506547327e-05,0.0002126173157489,0.0023306685514978,6.979521992146539e-11,3.056903864024521e-19,3.9422173689839866e-11,3.0373045925935115e-11,1.6076430372390115e-09,2.8089196274426266e-10,1.3121389121389715e-09,5.148032875435613e-11,3.859180771743638e-09,6.337746554308108e-08,0.0006492291414922,0.1885380315130494,861.5587301331844,46.18189462827469
7,CuAlPyC,94.58932518070267,97.54021463937804,1.1695802552797254,4.376826043136701,0.1028221792238188,-0.1028221792238188,0.0026482111793109,"[79165.24494105738, 4528.390455770698]","[[872.1162675889763, 4053.415186091268], [1030.2168805147724, 2595.4872462370336], [79165.24494105738, 4528.390455770698]]","[961.9959480933626, 503.92322791947316, 10.70102479368099, 8.784061783881997, 261.98467449657255, 176.60295909975397]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.39925786939106, 310.15, 0.16307593949561813], [2, 85.64476456473137, 310.15, 0.1727763486479202], [3, 80.45150613926977, 310.15, 0.1812483860211869], [4, 76.40477042545258, 310.15, 0.18857135506951192], [5, 73.22141507191202, 310.15, 0.19484646823257573], [6, 70.69738367785315, 310.15, 0.20018553442481574], [7, 68.68292337520629, 310.15, 0.20470177591586416], [8, 67.06634976612472, 310.15, 0.20850381871395], [9, 65.7631757199493, 310.15, 0.2116921378348269], [10, 64.7086834768109, 310.15, 0.21435727592064263], [11, 63.85275349408382, 310.15, 0.21657926803633476]]",107.30334215824622,399.9274883011791,264.4003496667941,45.51886964511037,32.96259241044483,14.798342980893777,95.21279032744224,2.336347341360761,2.9681588182953904,0.4172234716189081,4.376826043136702,602553.9287482597,602553.9287482597,171.18187444427488,4.990146349117196,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 144571563.32540652, 'Material': 22679070.348900437, 'VacuumPump': 621877.2966168983, 'CentrifugalCompressor': 61402429.378794685}","{'Fixed': 219346190.66318697, 'Adsorbent': 48658491.723895684, 'npv_CC': 50727621206.315056}","{'CAC_CAPEX': 26.539131027110457, 'CAC_FixedOPEX': 8.617242163996057, 'CAC_VariableOPEX': 10.55850559627201}",578.912114567071,45.51886964511037,4.990146349117196,0.0925562695946148,5.263829173959645e-05,0.0923761775286238,0.0001274537742513,0.0192942801706761,2.4740368069139795,1.8277823352534145e-07,0.9189422449442024,0.0002901529263205,1.167629336475948,0.0587330083003179,1.1046475205317492,0.0042488076438806,1.4695797609074868e-05,6.986805485696426e-05,0.0007709465205344,2.1724556391551365e-11,1.2686568750512112e-19,1.5329571266298744e-11,6.3949849983869335e-12,6.934611708928671e-10,9.973541672784482e-11,5.871865833710936e-10,1.146903694906247e-11,1.444040367378215e-09,8.229946166127221e-09,0.00018861057377,0.0869362554033019,45.56176273421187,88.51225623689918
8,CuAlPyC-FF2,91.22052272082048,96.92282947515652,0.9131515573030636,4.028381047345526,0.1195763645408598,-0.1195763645408598,0.0027663292651725,"[61808.38499613321, 5948.719603340714]","[[867.7806652668909, 4030.507935182385], [969.2243212178122, 2571.130936244442], [61808.38499613321, 5948.719603340714]]","[816.0463391260375, 386.68032674580223, 10.675811764297269, 8.708738552348914, 234.63064562028734, 175.3508164433017]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86224148825164, 310.15, 0.16351807218975362], [2, 85.17733346302224, 310.15, 0.17317988416208874], [3, 80.1106482948028, 310.15, 0.18146582432705227], [4, 76.19954481461441, 310.15, 0.1885389022463931], [5, 73.13646384990697, 310.15, 0.19455360686287004], [6, 70.70960753793507, 310.15, 0.19965226614605402], [7, 68.7687842981344, 310.15, 0.2039632667974636], [8, 67.20483079607047, 310.15, 0.20760058317290134], [9, 65.93672900234068, 310.15, 0.21066416040932717], [10, 64.9032703384142, 310.15, 0.21324080906032644], [11, 64.05750460735787, 310.15, 0.2154053686985752]]",67.75949022883665,434.7594697739634,287.8441110761084,51.70375261121623,35.920343494680786,15.818921606288212,100.493131335639,2.7170394898604373,3.3497957555508027,0.4255798025486104,4.028381047345526,613085.5199766282,613085.5199766282,159.2168367176929,5.756176203294919,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 159822071.6085248, 'Material': 25071431.21333156, 'VacuumPump': 799769.8420373343, 'CentrifugalCompressor': 63550538.8138353}","{'Fixed': 238037296.64518955, 'Adsorbent': 53791359.585392386, 'npv_CC': 51614251506.18259}","{'CAC_CAPEX': 30.0856578758979, 'CAC_FixedOPEX': 9.690627132225977, 'CAC_VariableOPEX': 12.153565813729362}",556.2707531915146,51.70375261121623,5.756176203294919,0.1024134244369258,5.82347708060757e-05,0.1022141566925408,0.0001410329735789,0.0213471061528647,2.7376469915536776,2.006489457810024e-07,1.016869758392686,0.0003209528412532,1.2914289160106451,0.0649203791648385,1.2218086970104598,0.0046998398353464,1.6256207243998385e-05,7.728687156507196e-05,0.0008527959032347,2.402125558143331e-11,1.4037310566416048e-19,1.694741296174414e-11,7.073842479316067e-12,7.66450378915528e-10,1.10341805144407e-10,6.489215666190555e-10,1.2641039410578619e-11,1.5975094728172871e-09,9.068691364605249e-09,0.0002086329917436,0.0962038514156756,51.75893603710399,86.99663060248952
9,DAZMID,40.80397626576269,80.29782227678756,0.0323505209020921,0.3992407453959822,2.6099352728166614,-2.6099352728166614,0.0061847782844877,"[1747.1196831365255, 2534.619115448351]","[[199.2090954581053, 1153.9795108278006], [24.35456111062983, 166.38683077575712], [1747.1196831365255, 2534.619115448351]]","[291.70839046505705, 8.021345171367983, 3.4639262438760574, 7.054418011837766, 134.6991435240393, 138.46955751393597]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.85218516985684, 310.15, 0.1278197451080371], [2, 61.66381490817122, 310.15, 0.12288515436583454], [3, 60.35901931739105, 310.15, 0.12181659468533232], [4, 60.07777629152522, 310.15, 0.12158489353632856]]",105.42750285574428,6012.552420477399,37609.25874874793,-185.5619118985022,670.1512682118141,638.6913653964657,1772.5286692387751,59.30350223851645,59.981323692839744,0.5698739552017374,0.3992407453959821,-2617942.2038273835,835412.9272399959,10148.915583685894,-7.060700050006409,"(24308.164621437194, 329252.3498992029, 46656.37564463851)","{'ShellAndTubePackedColumn': 2754074775.9062243, 'Material': 344710843.514283, 'VacuumPump': 7054838.092347983, 'CentrifugalCompressor': 109552883.76483865, 'SteamBoiler': 197964279.1720139, 'ForcedDraughtCoolingTower': 33586232.82292296}","{'Fixed': 3231123385.3227363, 'Electricity': 2046448140.6645818, 'Heat': 27718993587.300724, 'Makeup-water': 3927892322.3975434, 'Adsorbent': 739585418.1073194, 'npv_CC': 70331481552.07637}","{'CAC_CAPEX': -33.40222436422631, 'CAC_FixedOPEX': -13.639915115508725, 'CAC_VariableOPEX': -138.5878434193185}",327.08867919070013,171162.46091293806,6512.795562206949,4.300306884356565,0.000646506228197,4.299179703165708,0.0004806749626614,0.0995892617588703,75.46215408399534,9.656839576849492e-07,3.2613935840573136,0.0040739290835694,6.926038059183527,1.2201384669966588,5.65163261150449,0.0542669806823718,8.478292541020513e-05,0.0010788050987575,0.0117178254593454,3.927419083594766e-10,8.065978520707131e-19,1.4659325336434738e-10,2.461486541885314e-10,4.646355376661405e-09,1.1923157931225414e-09,3.372953011903637e-09,4.5500785993853685e-10,1.4575686672046277e-08,6.507600829883731e-07,0.0039447536706023,0.2591630258237728,-185.17874880809043,-265.0074556589219
