MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2
AlTBAPy,0.00153734,9.83E-06,156.3926755,9.182369251,0.893462308
AlTCPP,0.00182217,1.44E-05,126.5395833,10.20922576,1.124632245
AlTCPP-FF2,,,,,
CALF20,0.000440516,3.63E-06,121.35427,2.987399836,0.317826072
Ca-SQA,0.000722012,2.97E-06,243.1016835,2.915392622,0.284613405
CAU10,0.000633057,1.62E-05,39.07759259,4.700603483,1.147766201
CAU21,0.000416583,6.79E-06,61.35243004,1.290768377,0.345769776
CuAlPyC,0.00242315,1.94E-05,124.9046392,3.446687799,1.032195236
CuAlPyC-FF2,,,,,
DAZMID,0.0450243,1.29E-05,3490.255814,0.904663157,0.674751559
ddmof_16520,0.00223446,1.98E-06,1128.515152,2.494734473,0.184480627
ddmof_16703,7.15E-05,3.61E-06,19.80609418,4.049461406,0.343635579
ddmof_21502,0.000186752,2.63E-06,71.00836502,2.751209187,0.251255786
ddmof_2168,0.000860428,2.71E-06,317.501107,6.330960625,0.259414469
ddmof_22214,0.000166484,3.21E-06,51.86417445,4.416413603,0.306417825
ddmof_22243,0.000142135,3.49E-06,40.72636103,3.816576304,0.322724997
ddmof_22389,0.000207929,1.23E-06,169.0479675,2.457610996,0.116976447
ddmof_22800,9.66E-05,4.22E-06,22.89099526,2.941569685,0.383752074
ddmof_22900,0.00181689,2.82E-06,644.287234,6.297153999,0.270330901
ddmof_22908,0.00012929,3.13E-06,41.30670927,4.428812284,0.295762973
ddmof_23350,0.00106113,2.19E-06,484.5342466,4.767152008,0.198108912
ddmof_23421,0.000149825,3.60E-06,41.61805556,5.453176501,0.348726047
ddmof_23639,0.000389101,4.08E-06,95.36789216,4.236195129,0.373666745
ddmof_23741,0.00316219,4.09E-06,773.1515892,2.961249344,0.369977476
ddmof_23744,0.000160535,3.18E-06,50.4827044,3.205550981,0.284204407
ddmof_3313,5.50E-05,2.53E-07,217.3913043,0.772468204,0.024239737
ddmof_6878,0.00114079,2.79E-06,408.8853047,6.435026578,0.260701598
ddmof_6949,0.0012306,3.25E-06,378.6461538,6.23749469,0.306439852
ddmof_7975,0.000173019,3.27E-06,52.91100917,3.725916908,0.297254008
MgMOF74,0.00472345,4.08E-06,1157.708333,13.50882581,0.393883184
MIL-160-Al,0.000402474,9.40E-06,42.81638298,5.47437343,0.779273014
MIL-53-NH2-Al,0.000426375,1.43E-05,29.81643357,7.513733837,1.093840296
MIL-96-Al,0.000501738,8.10E-06,61.94296296,4.507472013,0.655904767
RSM0011,0.000313705,1.53E-06,205.0359477,3.867059337,0.145266368
RSM0016,3.34E-06,2.86E-07,11.67832168,0.239817925,0.027177899
RSM0022,1.04E-05,1.27E-06,8.188976378,0.942971657,0.120477679
RSM0042,1.12E-05,1.45E-07,77.24137931,0.403850201,0.013680904
RSM0047,2.31E-05,1.18E-06,19.57627119,1.789736974,0.113683063
RSM0055,0.000375794,1.50E-05,25.05293333,4.743853678,1.018259928
RSM0056,3.51E-05,3.61E-06,9.72299169,4.33566412,0.34906405
RSM0059,0.000254419,4.26E-06,59.72276995,5.244905259,0.373225457
RSM0068,0.493156,0.00012841,3840.479713,3.851509118,2.470136543
RSM0079,5.46E-05,9.42E-07,57.96178344,2.423099545,0.089708304
RSM0081,0.000233068,1.21E-05,19.26181818,5.178294264,0.961195347
RSM0086,7.46E-05,3.95E-06,18.88607595,4.319436088,0.375279749
RSM0096,7.34E-05,2.97E-06,24.71380471,4.263223142,0.282060571
RSM0097,0.000152901,4.79E-06,31.92087683,2.743170624,0.418448984
RSM0107,3.98E-05,1.77E-06,22.48587571,2.035778154,0.159703375
RSM0109,3.00E-05,1.56E-06,19.23076923,2.302397358,0.147957214
RSM0118,4.11E-05,2.14E-06,19.20560748,1.906412739,0.189851091
RSM0136,5.07E-05,9.01E-07,56.27081021,2.21748581,0.086479452
RSM0145,1.32E-05,1.67E-06,7.904191617,1.455986411,0.16064447
RSM0148,0.00020426,3.73E-06,54.7613941,3.703443034,0.329654762
RSM0151,4.26E-05,2.65E-06,16.0754717,4.168490912,0.253407865
RSM0158,0.000120806,4.36E-06,27.70779817,4.367487578,0.411646921
RSM0171,0.000542519,3.10E-06,175.006129,1.362084393,0.220015683
RSM0172,0.000137075,3.83E-06,35.78981723,3.709598399,0.337892472
RSM0175,0.000156099,4.15E-06,37.61421687,4.010012488,0.350894697
RSM0177,0.000293598,4.40E-06,66.72681818,5.029786354,0.404789491
RSM0191,0.0174279,1.60E-06,10892.4375,3.905854459,0.157301551
RSM0195,0.000177963,5.34E-06,33.32640449,2.83119416,0.428414761
RSM0199,0.0317676,2.75E-06,11551.85455,1.463917037,0.225468701
RSM0220,0.000380366,1.57E-05,24.22713376,5.942853215,1.182962252
RSM0226,0.00176656,2.65E-05,66.66264151,3.133998117,1.497053067
RSM0227,3.04E-05,2.54E-06,11.96850394,3.353113108,0.240440927
RSM0228,3.35E-05,2.46E-06,13.61788618,3.731849267,0.23785289
RSM0229,0.00100717,5.79E-06,173.9499136,3.346433494,0.485006151
RSM0230,3.51E-05,2.48E-06,14.15322581,4.251315533,0.235027899
RSM0234,2.81E-05,2.38E-06,11.80672269,3.390288244,0.228860387
RSM0235,3.45E-05,4.93E-07,69.97971602,1.020989489,0.049122726
RSM0239,0.000193868,2.28E-06,85.02982456,3.11210813,0.216897566
