,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,786.392016390985,5919.624282103552,586.3677178324825,382.3475469355738,305.9111874792597,299.39202529052096,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,274498.9787324349,299122.4993020798,116.07863594898888,7.143113100041449,"(70632.81412537636, 0, 2669.445636761997)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 9819652.326025704, 'ForcedDraughtCoolingTower': 3546994.380965253}","{'Fixed': 382000182.9629148, 'Electricity': 5284316846.043783, 'Makeup-water': 199711659.8370323, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': 76.13935875799864, 'CAC_FixedOPEX': 31.25563168396709, 'CAC_VariableOPEX': 479.34881507826003}",640.9915979052544,586.3677178324825,7.143113100041449,0.1078551006270593,0.0025364021447791,0.1048594882437362,0.0004592102385436,1.2820744004272775,9.582297045174217,5.161243205345012e-07,1.1950297708807216,0.0005099259981773,8.380120708441062,0.2813389956541637,8.055704888733324,0.0430768240535727,8.197421543211504e-05,0.0001426823177375,0.0011857633639308,8.376801416790452e-11,4.9408189096754e-19,6.296083428087413e-11,2.0807179392948528e-11,1.578890852299317e-09,2.780439647689688e-10,1.2758979846403304e-09,3.3955777518559064e-11,5.478417766745985e-09,2.8134177125643146e-08,0.0002944445369234,0.5700440994654732,588.1409251661993,79.76462743183765
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,641.4636179385379,2889.6190554602067,337.6849788838624,236.8741759445892,161.76947877586517,231.92044209061785,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,289878.79058564774,301186.1841986258,91.79677292975096,6.518768923156235,"(32435.37125607153, 0, 1437.711086088492)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 4496622.339661514, 'ForcedDraughtCoolingTower': 2574293.8671742757}","{'Fixed': 312381663.20464414, 'Electricity': 2426616875.718737, 'Makeup-water': 107560784.68678513, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 59.36799658720439, 'CAC_FixedOPEX': 24.400798871756265, 'CAC_VariableOPEX': 254.25969272761324}",643.0031971991236,337.6849788838624,6.518768923156235,0.0623367751594641,0.0014547235298144,0.0606186324433552,0.0002634191862942,0.7352858097137327,5.500497467454137,2.9788568247897334e-07,0.685789798112993,0.0002952171467503,4.809376197074434,0.1618338643608914,4.622791890455501,0.0247504422580441,4.705977744452114e-05,8.290314627035914e-05,0.0006921234132172,4.847919680316808e-11,2.8386449262616105e-19,3.6342762424276e-11,1.2136434095027587e-11,9.088849987859231e-10,1.6065491988960955e-10,7.33572562192895e-10,1.9876833009838468e-11,3.156984276937677e-09,1.7876533441137954e-08,0.0001719194606131,0.3268727104415391,338.4736865233716,85.97211328481796
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,1287.0438115715165,17305.569160889463,1827.6849109933871,902.1866049856874,827.2289926527013,548.638519481399,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,229338.0809100056,304120.09587052785,186.37061161246345,9.283492963831623,"(214512.9551108645, 0, 7293.370138219334)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 29871104.279092636, 'ForcedDraughtCoolingTower': 6690249.9101544535}","{'Fixed': 622495746.7514415, 'Electricity': 16048552452.899101, 'Makeup-water': 545645521.3212098, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': 151.37963241718003, 'CAC_FixedOPEX': 62.0031044367545, 'CAC_VariableOPEX': 1614.7893638118817}",641.5514073144682,1827.6849109933871,9.283492963831623,0.2723565534368751,0.0064410299823642,0.264749551107681,0.0011659723468292,3.255868901384698,24.32259350605793,1.3038827041965443e-06,3.033279140698695,0.0012950959369567,21.26932406300928,0.7128975133235492,20.44719957640573,0.1092269732800003,0.0002079997076066,0.0003633386158328,0.0030243149025958,2.110503615783721e-10,1.2528877601043099e-18,1.589796040849435e-10,5.207075624054087e-11,3.996719557086947e-09,7.017963650850497e-10,3.232852742400833e-09,8.478742378798932e-11,1.3864931503958418e-08,6.500087892142771e-08,0.000749271500511,1.4478410001079831,1840.159174059073,66.62328864779714
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,573.3202664680368,1130.562291332887,209.517389453537,154.2817543305095,81.72665786897984,190.7626560409969,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,291947.81782991486,295344.4245068937,87.24232096762356,5.995951198839878,"(9743.200099818836, 0, 691.3505895191569)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 1735146.7292687648, 'ForcedDraughtCoolingTower': 1812591.1304402633}","{'Fixed': 279647987.0486875, 'Electricity': 728926874.2776967, 'Makeup-water': 51722639.28538349, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 52.14782155508536, 'CAC_FixedOPEX': 21.45484635460029, 'CAC_VariableOPEX': 136.2308406949183}",652.8550663302713,209.517389453537,5.995951198839878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,685.3316194503418,3177.999410854658,363.4415286393004,254.38103027247936,180.01311867790417,237.11697906202127,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,283588.35515053314,295911.6954939583,100.78389173073604,6.46961701385781,"(35349.62457618442, 0, 1524.5086985207158)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 4903169.254375488, 'ForcedDraughtCoolingTower': 2729709.349138425}","{'Fixed': 333454312.61370695, 'Electricity': 2644643555.0150795, 'Makeup-water': 114054453.2635153, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 63.57340495652605, 'CAC_FixedOPEX': 26.121971154838675, 'CAC_VariableOPEX': 274.0870413743885}",648.0802914022327,363.4415286393004,6.46961701385781,0.0670185211134316,0.0015494565784297,0.0651883922816168,0.0002806722533848,0.7830449904262223,5.872102737817359,3.211557991784393e-07,0.731193110545969,0.0003284170688755,5.12632428202063,0.1733913341022558,4.926504792146506,0.0264281557718689,5.016779125944349e-05,9.466101634414971e-05,0.0008102497438853,5.1911885858878834e-11,3.0327517015451884e-19,3.890029954921356e-11,1.3011586006390119e-11,9.737056265494176e-10,1.7229942646025948e-10,7.853037230905656e-10,2.1794424904765754e-11,3.387828071890713e-09,2.133016372645021e-08,0.0001998063048076,0.3480254792462492,364.7134908447397,88.40704981009895
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,748.3253195714854,4705.237633878546,485.64679624937975,324.750797765276,247.69141931788863,274.4357085769609,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,282328.8782368844,301478.0763403373,104.35846523661048,7.01954617423246,"(54929.66557993297, 0, 2171.545235570508)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 7630823.014461274, 'ForcedDraughtCoolingTower': 3166211.881190206}","{'Fixed': 363714276.8674992, 'Electricity': 4109502938.058741, 'Makeup-water': 162461785.1116973, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 70.88945922346144, 'CAC_FixedOPEX': 29.106517464627046, 'CAC_VariableOPEX': 386.02053976247294}",637.9504593538188,485.64679624937975,7.01954617423246,0.0893046711271627,0.0020918289471191,0.0868340707805336,0.0003787713995097,1.0573065506045145,7.9087599945156,4.281863341396047e-07,0.9860448102987436,0.000421860046763,6.914848202391748,0.2326071565471202,6.646659967744451,0.0355810781001773,6.765068552111568e-05,0.000117985891604,0.0009809373924993,6.9508452145356e-11,4.081109126513481e-19,5.223605519369235e-11,1.7272396543552752e-11,1.3073165954140203e-09,2.303308203819393e-10,1.0559295727878826e-09,2.8560850039503748e-11,4.5329162977896085e-09,2.5627978463415437e-08,0.0002439608171552,0.4700348935443896,487.12182609349753,79.79884283462422
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,2540.003838085936,42706.27467200138,18879.18011014663,2091.709579558737,2012.1627664382263,1128.2474799662536,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,117547.1896684622,303564.391144737,367.0127361628564,44.17956646482704,"(533592.196080753, 0, 17579.305592556266)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 74336798.45600809, 'ForcedDraughtCoolingTower': 13741191.136518914}","{'Fixed': 1224373800.284466, 'Electricity': 39920117378.616425, 'Makeup-water': 1315176548.3901677, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': 1266.505705442383, 'CAC_FixedOPEX': 517.6861551139486, 'CAC_VariableOPEX': 17097.29171612464}",630.3792664593417,18879.18011014663,44.17956646482704,0.6452574585775647,0.0152608436871876,0.6272340430074643,0.002762571882911,7.714113029968018,57.63056233235066,3.092407504473815e-06,7.186935530325583,0.0030609460262398,50.393764795543554,1.6894023704204528,48.44552923476225,0.2588331903608596,0.0004927951432513,0.0008569668991647,0.0071195138100332,4.996635549591474e-10,2.9690235777710617e-18,3.7676492248945935e-10,1.228986295006647e-10,9.472384939709658e-09,1.6612247954042894e-09,7.663429894729396e-09,2.0161506780573683e-10,3.2846825604686594e-08,1.5751520007381225e-07,0.0017652906349355,3.430283460027796,20338.873470353938,28.641287349164287
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,608.0147609055365,1729.825745474251,252.9343308010953,182.87729528378875,108.95232748697632,205.83432422714012,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,294047.1874010168,300074.054986897,84.83685847584482,6.222955318856264,"(17288.129727335207, 0, 947.9692382596517)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 2635373.1532306136, 'ForcedDraughtCoolingTower': 2117658.7322469354}","{'Fixed': 296314005.38803184, 'Electricity': 1293392544.0459855, 'Makeup-water': 70921283.22078343, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 55.16630946398624, 'CAC_FixedOPEX': 22.683752187776776, 'CAC_VariableOPEX': 175.41230137581883}",646.6201443166593,252.9343308010953,6.222955318856264,0.0450027263510403,0.0010307122150095,0.0437844361618137,0.0001875779742169,0.5204027000227464,3.906136413527287,5.036661717524182e-07,0.490963351457399,0.0002296948278517,3.5177111423394822,0.1270451990125992,3.3729201202916004,0.0177458230352821,3.4328427054423536e-05,6.296674506845594e-05,0.0005399980129498,3.710869914574891e-11,2.0294483099744752e-19,2.825799070214194e-11,8.850708240662148e-12,8.082890999510306e-10,1.1624711073109528e-10,6.734362661656283e-10,2.2435476348872543e-11,2.290635612629471e-09,1.557578827669185e-08,0.0001337919209414,0.2312171399696056,253.67904593615847,90.51743629938788
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,795.0433849728608,5401.110759385528,527.8369178310005,351.9316482730003,276.8090423654161,289.2603511715697,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,283928.9851548376,306024.7147738363,101.53142859865166,6.864570391484191,"(63381.82059421963, 0, 2440.0593855759894)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 8808920.197759107, 'ForcedDraughtCoolingTower': 3385617.2150694085}","{'Fixed': 386155997.0130579, 'Electricity': 4741841684.297679, 'Makeup-water': 182550377.98237714, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': 73.51725111217478, 'CAC_FixedOPEX': 30.176826244372474, 'CAC_VariableOPEX': 424.50432479201623}",639.9538036054469,527.8369178310005,6.864570391484191,0.0980925244423028,0.0022878294932609,0.0953893144389465,0.0004153805100949,1.155722979633664,8.653131118051856,8.397924211776016e-07,1.084148938533452,0.0004872773824284,7.69803725439133,0.2693878814876103,7.389555950056736,0.0390934228469849,7.517314215848384e-05,0.0001347682625473,0.001140976139911,7.878230269583313e-11,4.476601828260555e-19,5.98361674137921e-11,1.8946134834380872e-11,1.632603650217501e-09,2.5311070551403335e-10,1.3466790711764681e-09,4.108204912586066e-11,5.002533865563393e-09,2.790976364612261e-08,0.000282431841759,0.5137354640285704,530.0032221737899,81.78260755054393
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,3162.2630459765664,56308.55970884894,-227333.23889499265,2532.383693329462,2458.0932993748456,1434.168015789597,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,80639.39011889658,326444.9707895039,426.1433030838194,-411.8408356599321,"(705095.7575859594, 0, 23101.298385603423)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 98237293.37873021, 'ForcedDraughtCoolingTower': 17516895.620858815}","{'Fixed': 1523285300.182906, 'Electricity': 52750969022.298386, 'Makeup-water': 1728298408.270134, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': -14410.87170170909, 'CAC_FixedOPEX': -5888.006556319147, 'CAC_VariableOPEX': -207055.75717302738}",629.5183263747721,122050.1282813089,221.1081277339921,0.7850688028841204,0.018578409415464,0.7631273095768467,0.0033630838918078,9.3911288737663,70.15468951056786,3.762543839063533e-06,8.748907502393616,0.0037253183491861,61.345841120179145,2.0561821567963,58.974605533632094,0.3150534297507713,0.0005998813474628,0.0010430354959365,0.0086650304157351,6.078783111056588e-10,3.613927189615366e-18,4.5842644593749386e-10,1.494518615542379e-10,1.1528002895735212e-08,2.021327300293552e-09,9.327236432602386e-09,2.44984285622081e-10,3.9973636039954975e-08,1.897095122155737e-07,0.0021481696914262,4.176073651855496,-124606.8742720014,18.44680863868053
