,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,786.392016390985,3678.9905998654303,1661.8383141252698,282.2232593391453,205.78689988283128,252.66843757960876,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,130251.60981961488,299122.4993020798,341.116482598176,43.07776346083742,"(1129.9526720774343, 39553.43430661503, 2669.445636761997)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 9819652.326025704, 'ForcedDraughtCoolingTower': 3546994.380965253}","{'Fixed': 382000182.9629148, 'Electricity': 84536175.06577232, 'Heat': 2959146988.7398915, 'Makeup-water': 199711659.8370323, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': 292.3434952228464, 'CAC_FixedOPEX': 120.00863628141568, 'CAC_VariableOPEX': 1250.9302030453798}",640.9915979052544,1661.8383141252698,43.07776346083742,0.5900902024645396,0.0006693802403624,0.5892897686952417,0.0001310535289353,0.309305146343041,11.86734622437384,2.221474172265569e-07,0.4177422896713396,0.0005879809337082,2.548155502226328,0.216935132666324,2.314925739243172,0.0162946303168319,2.617849487512702e-05,0.0001597376196104,0.0016451593623395,6.780486660615889e-11,1.8543248495296296e-19,3.051033530315927e-11,3.729453111756716e-11,7.97357959614201e-10,1.9871249625756719e-10,5.825685992228773e-10,6.837120543897089e-11,2.8404815086865853e-09,9.646340453171281e-08,0.0005533478977432,0.1401815167718518,1681.3012283580294,36.64909400261904
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,641.4636179385379,1863.5864490056224,396.8439756560001,191.33934003557547,116.23464286685144,210.59167804203204,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,223824.93043301444,301186.1841986258,194.52388290425688,11.990998223198629,"(608.5703567170578, 18112.33742380806, 1437.711086088492)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 4496622.339661514, 'ForcedDraughtCoolingTower': 2574293.8671742757}","{'Fixed': 312381663.20464414, 'Electricity': 45529526.57803633, 'Heat': 1355054742.686117, 'Makeup-water': 107560784.68678513, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 86.37218130636136, 'CAC_FixedOPEX': 35.49976999940791, 'CAC_VariableOPEX': 275.4717826287612}",643.0031971991236,396.8439756560001,11.990998223198629,0.281649159385801,0.0006056334828638,0.2809293468489141,0.0001141790540229,0.292886773222217,6.539699262709585,1.6418994916076973e-07,0.3322925722085134,0.0003307152138688,2.1570968643869497,0.1325440746059978,2.0119824371531223,0.0125703526278293,2.1684825562433958e-05,9.065960967002188e-05,0.0009010489587264,4.12194267487204e-11,1.4349595274763473e-19,2.1584823250998225e-11,1.9634603354226228e-11,5.534570314044805e-10,1.245763071193688e-10,4.1825806104874704e-10,3.55283886984139e-11,1.9572953949220292e-09,4.895151267360992e-08,0.0002896643388462,0.1313784638779601,398.1938931490338,65.86388184097873
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,1287.0438115715165,10489.62495520792,-634.8565873696797,602.6164337377979,527.6588214048119,406.6307112821698,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,-209458.33017672977,304120.09587052785,870.3320308906714,-13.205796030608822,"(3087.2189201526985, 120320.4269908532, 7293.370138219334)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 29871104.279092636, 'ForcedDraughtCoolingTower': 6690249.9101544535}","{'Fixed': 622495746.7514415, 'Electricity': 230966911.75620174, 'Heat': 9001641335.461357, 'Makeup-water': 545645521.3212098, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': -78.72218756078937, 'CAC_FixedOPEX': -32.243571601297226, 'CAC_VariableOPEX': -524.144182216704}",641.5514073144682,28566.34176342203,594.2149615732734,1.7151958036044894,0.0008549320928683,1.714156738477245,0.0001841330343764,0.3453597829049273,31.15942191558264,4.243087928009801e-07,0.7076481729829184,0.0015286349809296,3.820183025627272,0.5202022469955733,3.27088567501801,0.0290951036136862,4.105985751220633e-05,0.0004143677899261,0.004398819942458,1.6328889467033678e-10,3.2941396932905123e-19,6.1888261222992e-11,1.014006331179308e-10,1.6583863902011763e-09,4.6443795607346065e-10,1.1584229740924604e-09,1.8775780073831624e-10,5.972270936393405e-09,2.694407690485705e-07,0.0015239059673252,0.1616994394345313,-632.6264246932253,-65.48357810173927
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,573.3202664680368,825.8951587512624,209.70492794282472,140.49333482327086,67.93823836174124,184.52492727967197,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,272333.9770591136,295344.4245068937,117.28549866868909,7.1366649245369365,"(292.64257537645847, 5378.224700217369, 691.3505895191569)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 1735146.7292687648, 'ForcedDraughtCoolingTower': 1812591.1304402633}","{'Fixed': 279647987.0486875, 'Electricity': 21893734.662567746, 'Heat': 402366007.0335048, 'Makeup-water': 51722639.28538349, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 57.31701701633798, 'CAC_FixedOPEX': 23.58157554655552, 'CAC_VariableOPEX': 129.15379010038887}",652.8550663302713,209.70492794282472,7.1366649245369365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,685.3316194503418,2059.2015332607043,446.5182663052149,203.8442972635595,129.47638566898434,214.04204444699303,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,211562.4584287752,295911.6954939583,211.9211962858824,12.85776302669248,"(645.3110165555923, 19749.90321023386, 1524.5086985207158)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 4903169.254375488, 'ForcedDraughtCoolingTower': 2729709.349138425}","{'Fixed': 333454312.61370695, 'Electricity': 48278238.916962944, 'Heat': 1477567438.5041623, 'Makeup-water': 114054453.2635153, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 97.46895453280626, 'CAC_FixedOPEX': 40.049470695165006, 'CAC_VariableOPEX': 309.52248225869954}",648.0802914022327,446.5182663052149,12.85776302669248,0.3104218668363062,0.0006070959407628,0.309699732460053,0.0001150384354903,0.2920494362696431,7.025458462523487,1.7277389674588165e-07,0.3388650266010758,0.0003678145171036,2.1826981587392624,0.1408841282414913,2.028903919215989,0.0129101112817815,2.200545921674957e-05,0.0001032695094263,0.0010421252805236,4.385464674461323e-11,1.4748746869299314e-19,2.2521234666843333e-11,2.133341193028243e-11,5.792347136125523e-10,1.3225766097448707e-10,4.3535264848906105e-10,3.916526802339006e-11,2.056356122692524e-09,5.581865802710269e-08,0.000330485187374,0.1310566388818145,448.9186510786468,65.34274232250829
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,748.3253195714854,2964.0477727992425,833.8410635919117,247.55244140375615,170.4930629563687,237.95386013361824,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,170234.67103587164,301478.0763403373,280.0683586263781,22.713800782048544,"(919.1958463878954, 30736.857761038205, 2171.545235570508)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 7630823.014461274, 'ForcedDraughtCoolingTower': 3166211.881190206}","{'Fixed': 363714276.8674992, 'Electricity': 68768633.33321348, 'Heat': 2299544443.6462245, 'Makeup-water': 162461785.1116973, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 159.67150795312116, 'CAC_FixedOPEX': 65.5595568897038, 'CAC_VariableOPEX': 609.4427569996088}",637.9504593538188,833.8410635919117,22.713800782048544,0.4611201230556476,0.0006523078701464,0.4603420609032055,0.0001257542822956,0.3072768691248778,9.67059066591549,2.015227114719684e-07,0.3867365164748334,0.0004820423748828,2.418255626452067,0.182950150386598,2.220374146251799,0.0149313298136694,2.4630774744144628e-05,0.0001311359604179,0.0013351433184297,5.720046190935734e-11,1.7013441955183876e-19,2.721590030092357e-11,2.998456143829935e-11,7.047349820402514e-10,1.6916425307001038e-10,5.21355092846421e-10,5.5096014810343295e-11,2.4990007694267573e-09,7.831153980332413e-08,0.0004435818520864,0.1385999775825084,839.5672365812242,47.21885491632789
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,2540.003838085936,25744.2144156694,-385.7377249975671,1344.838857663948,1265.2920445434377,768.5856572840747,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,-974435.2181263776,303564.391144737,2099.275305533498,-7.0909256917574535,"(7441.16420803731, 299427.6759168938, 17579.305592556266)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 74336798.45600809, 'ForcedDraughtCoolingTower': 13741191.136518914}","{'Fixed': 1224373800.284466, 'Electricity': 556702573.2390085, 'Heat': 22401354549.045437, 'Makeup-water': 1315176548.3901677, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': -40.24827502207633, 'CAC_FixedOPEX': -16.451544321207447, 'CAC_VariableOPEX': -329.1111074994704}",630.3792664593417,64761.836363612536,1190.5015754397075,4.242459369107951,0.0013339131589462,4.240810748060769,0.0003147078882363,0.4578029729777577,74.67574059032614,8.995055896158372e-07,1.3888092599985302,0.0036431918274025,6.890593205573996,1.2089858721136364,5.6225542049633175,0.0590531284970372,7.65905330471862e-05,0.0009841898330571,0.0105463488887515,3.8058747632366537e-10,6.666730670571382e-19,1.3470250008280528e-10,2.4588497557418713e-10,3.6425902939090854e-09,1.0694567780886022e-09,2.491583672114426e-09,4.58334752033013e-10,1.3169308743737272e-08,6.672127032908531e-07,0.003696563702024,0.223751007622157,-384.8599613488116,-261.7904526934683
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,608.0147609055365,1185.426958423941,261.6635087070906,158.62759576692787,84.70262797011549,194.5808770059309,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,258999.91782998288,300074.054986897,139.03756638616136,8.483763054023271,"(401.2669743362923, 9610.157086760686, 947.9692382596517)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 2635373.1532306136, 'ForcedDraughtCoolingTower': 2117658.7322469354}","{'Fixed': 296314005.38803184, 'Electricity': 30020350.434890587, 'Heat': 718973406.5607843, 'Makeup-water': 70921283.22078343, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 65.79461649983106, 'CAC_FixedOPEX': 27.05398984404227, 'CAC_VariableOPEX': 169.20613307542146}",646.6201443166593,261.6635087070906,8.483763054023271,0.1617981273148603,0.0005785270233805,0.1611115005516999,0.0001080997397797,0.2848019014845797,4.459566128804654,4.324661488483932e-07,0.3027074516149967,0.0002485994191139,2.105232639485801,0.1114468425830859,1.9825265134085288,0.011259283494186,2.081492807915634e-05,6.709747054490634e-05,0.0006512618749766,3.324248904819564e-11,1.2819118698572166e-19,2.039861044314217e-11,1.2843878476862282e-11,6.190049785343893e-10,9.703334831825375e-11,5.055146792440673e-10,3.077075449015683e-11,1.6517380670068391e-09,3.212485217111051e-08,0.0001964972730044,0.1271061523750841,262.58287464982527,79.44722640610797
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,795.0433849728608,3391.104432895239,1082.9746005677396,264.13891257411086,189.0163066665266,247.27802877563676,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,154528.9290935836,306024.7147738363,303.73361152533295,28.320958042113013,"(1032.8555055736597, 35482.218187178514, 2440.0593855759894)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 8808920.197759107, 'ForcedDraughtCoolingTower': 3385617.2150694085}","{'Fixed': 386155997.0130579, 'Electricity': 77271956.60000013, 'Heat': 2654563401.2073913, 'Makeup-water': 182550377.98237714, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': 200.97114494428052, 'CAC_FixedOPEX': 82.49317309025191, 'CAC_VariableOPEX': 800.4984576360704}",639.9538036054469,1082.9746005677396,28.320958042113013,0.5209343728756406,0.0006507545683519,0.5201559779246501,0.0001276403826388,0.3027623636834784,10.656748057200929,5.820224315650814e-07,0.4025940826834224,0.0005557188813849,2.584351132417936,0.212916155625557,2.3558251872636493,0.015609789528729,2.624935887292396e-05,0.0001497229917697,0.0015437918046975,6.478521539110715e-11,1.7702479179008928e-19,3.1382351177608227e-11,3.3402864036474136e-11,9.473262581420504e-10,1.8354989449783923e-10,7.387418269028901e-10,7.12587888551796e-11,2.6894922824082253e-09,8.782339645367701e-08,0.0005094480320725,0.1368158073177319,1095.2118422768206,43.440416268686654
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,3162.2630459765664,33892.920021391976,-364.3201859394072,1614.5609513342915,1540.2705573796757,958.2190153435268,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,-1362433.1982498025,326444.9707895039,2718.487350760667,-6.533131430314494,"(9778.574802120253, 395698.56458328356, 23101.298385603423)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 98237293.37873021, 'ForcedDraughtCoolingTower': 17516895.620858815}","{'Fixed': 1523285300.182906, 'Electricity': 731573393.995336, 'Heat': 29603755940.846107, 'Makeup-water': 1728298408.270134, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': -36.223099658602116, 'CAC_FixedOPEX': -14.800065720851327, 'CAC_VariableOPEX': -313.3508027928541}",629.5183263747721,83725.17216955774,1501.392387575262,5.2056380182058986,0.0014637292033678,5.203819363253438,0.0003549257490923,0.4739144241522083,91.10135643418478,1.0677063130787725e-06,1.6236420503419913,0.0044408350002909,7.885183119159217,1.4658026241014914,6.349834994323944,0.0695455007337759,8.841122904734562e-05,0.0011993786201303,0.0128762373570584,4.615467843830914e-10,7.845892642828101e-19,1.6095810268308403e-10,3.005886809154181e-10,4.363820460650841e-09,1.2941088830287762e-09,2.971600922918411e-09,5.60464806673761e-10,1.5792111779432613e-08,8.160722096365281e-07,0.0045214938692432,0.2355946352231928,-363.56679656672446,-360.955509327836
