,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,20.97139427110351,97.41425650666524,0.1020943404331421,1.2629651937141908,0.8969121602666308,-0.8969121602666308,0.0,"[3898.2838052032757, 14690.293352848259]","[[0.0, 0.0], [0.0, 0.0], [3898.2838052032757, 14690.293352848259]]","[291.01326575630554, 77.53557520918015, 0.0, 0.0, 107.65970215563046, 105.81798839149496]",330.824403,"[[0, 101.325, 310.15, 0.0432]]",63.20285472959885,1110.5271740298572,17503.24423774754,1046.5815699701966,748.158480114137,729.7272345915769,452.5314547676656,20.37982813524785,21.00530635520411,0.5485158994655311,1.2629651937141906,268386.5650417264,344567.4610560758,103.5599550530954,1.5965269786413052,"(218525.659353502, 0, 7238.836105915336)","{'ShellAndTubePackedColumn': 507880884.88116753, 'Material': 44943976.266141966, 'CentrifugalCompressor': 46695973.782681726, 'SteamBoiler': 30441297.1364884, 'ForcedDraughtCoolingTower': 6693409.326788444}","{'Fixed': 537703344.7820674, 'Electricity': 16348758538.273558, 'Makeup-water': 541565617.254593, 'Adsorbent': 81234076.43231195, 'npv_CC': 25778438274.102314}","{'CAC_CAPEX': 73.76410255691177, 'CAC_FixedOPEX': 30.295400833205363, 'CAC_VariableOPEX': 942.604786773579}",777.4997969922979,1046.5815699701966,1.5965269786413052,0.2291736201647222,0.0054292516662596,0.2227615849946681,0.0009827835037938,2.74445072863794,20.497319655130223,1.0976297715028009e-06,2.556497450492809,0.0010878307920651,17.92598649412841,0.6005183247162722,17.23343230934021,0.0920358600719319,0.0001752936206453,0.0003046204226984,0.0025304287137979,1.775807305665163e-10,1.055708421163923e-18,1.3383900910151938e-10,4.374172040928854e-11,3.366463490257189e-09,5.906438835270807e-10,2.7237633222898188e-09,7.115717164815879e-11,1.1674390662896616e-08,5.3474986719913825e-08,0.0006271159001931,1.2204627619852382,1050.105273303254,75.0894786873779
1,AlTCPP,23.87347170379229,98.38035492321292,0.1571806636904106,1.6536646752066746,0.6114759948642031,-0.6114759948642031,0.0,"[5954.650356660189, 18987.890177627898]","[[0.0, 0.0], [0.0, 0.0], [5954.650356660189, 18987.890177627898]]","[342.17964365403066, 119.94112802358045, 0.0, 0.0, 112.45014769811885, 109.78836793233134]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",65.00439486980886,856.1952272841211,11849.918240431796,665.453738340464,523.2513370129743,505.1413409974882,349.48938169469767,13.894087109330265,14.515552027024322,0.5389554787055855,1.653664675206675,288948.6935615919,340243.59544683824,76.95883204690014,1.4185293873652665,"(147139.93720729247, 0, 4939.568095781174)","{'ShellAndTubePackedColumn': 386043402.54636085, 'Material': 33894647.47640362, 'CentrifugalCompressor': 45306321.5615968, 'SteamBoiler': 20493132.621391416, 'ForcedDraughtCoolingTower': 5111750.735800678}","{'Fixed': 415531197.3717232, 'Electricity': 11008113700.951555, 'Makeup-water': 369548392.2583664, 'Adsorbent': 61262945.83816527, 'npv_CC': 25454952990.92549}","{'CAC_CAPEX': 52.87124474003908, 'CAC_FixedOPEX': 21.758105571638268, 'CAC_VariableOPEX': 590.8982810212542}",779.0621805942889,665.453738340464,1.4185293873652665,0.1582530882287359,0.0037433531182333,0.1538321066233746,0.0006776284871274,1.892225760780301,14.135346602890149,7.576440849760942e-07,1.762831676602323,0.0007525655215565,12.360935089307697,0.4142837794925195,11.883174786451567,0.0634765233636109,0.0001208805819316,0.000211128650688,0.0017572843992153,1.226249786663398e-10,7.281086609739998e-19,9.237736209781208e-11,3.024761584041909e-11,2.3225387395221087e-09,4.0778136046489207e-10,1.87870958676386e-09,4.924671732428433e-11,8.056909023645199e-09,3.764712089534501e-08,0.0004353480837343,0.8414512762563277,667.0735379138914,82.81135993557537
2,AlTCPP-FF2,23.53995303248974,93.02891190561434,0.038529574379632,0.6061027391023268,2.212851114639621,-2.212851114639621,0.0,"[1459.6588310222196, 4741.113230874441]","[[0.0, 0.0], [0.0, 0.0], [1459.6588310222196, 4741.113230874441]]","[228.8497622896537, 31.268887378334462, 0.0, 0.0, 100.08495736399342, 97.49591754732585]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",94.39059174357789,2097.686456065671,39816.74846699194,4558.0669565370345,1784.949049862582,1766.8026035042346,851.1896190967826,50.28087186580309,50.90278969094658,0.5400402449291107,0.6061027391023267,145455.22565067434,319919.5299769948,260.1623703099977,2.9448927220551417,"(500452.5954824422, 0, 16287.251342262314)","{'ShellAndTubePackedColumn': 990348690.0011822, 'Material': 86952709.21584265, 'CentrifugalCompressor': 42685741.65493256, 'SteamBoiler': 69731968.7672735, 'ForcedDraughtCoolingTower': 12866236.844069017}","{'Fixed': 1011900042.7019717, 'Electricity': 37440814353.793274, 'Makeup-water': 1218512920.7919316, 'Adsorbent': 157162841.68113497, 'npv_CC': 23934430230.049026}","{'CAC_CAPEX': 268.6070529808053, 'CAC_FixedOPEX': 109.96866850098338, 'CAC_VariableOPEX': 4179.6399052270435}",782.0084940760049,4558.0669565370345,2.9448927220551417,0.5561469996875671,0.0131888117741836,0.5405708656814968,0.002387322231885,6.666910671531594,49.79016189297119,2.6635218348984985e-06,6.209683020495362,0.0026468057539981,43.541074173310285,1.4582101321485723,41.859359656884784,0.2235043842769338,0.000425751591509,0.0007424108173397,0.0061757426083539,4.3063719510386006e-10,2.5637724696115897e-18,3.2471643401845496e-10,1.0592075852163275e-10,8.172196211329686e-09,1.433005437345745e-09,6.6132849064033235e-09,1.7225645581262514e-10,2.8342545268020824e-08,1.2713757045407873e-07,0.001529202987231,2.964869832329325,4619.565541416896,41.291161665107936
3,Ca-SQA,41.873222258822544,98.82183568957254,0.1113270146538984,0.7319182847612429,0.7470075968866331,-0.7470075968866331,0.0,"[8079.336751522844, 11215.420889968565]","[[0.0, 0.0], [0.0, 0.0], [8079.336751522844, 11215.420889968565]]","[547.5710350435786, 178.2340322674082, 0.0, 0.0, 191.10812433286648, 178.22887844330396]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432]]",169.173251776577,961.4021470288968,13268.824777389736,837.644123542972,635.9294220641756,619.6243864815565,371.63590993929495,16.973664885698938,17.574033630584065,0.4852396571610337,0.7319182847612428,253452.49796207697,310661.11735109857,121.11244544100764,1.3285268840077415,"(164103.49479657857, 0, 5460.391906028472)","{'ShellAndTubePackedColumn': 415719052.4770249, 'Material': 69921850.70023663, 'CentrifugalCompressor': 37244242.019837074, 'SteamBoiler': 22858666.82750659, 'ForcedDraughtCoolingTower': 5419652.253556259}","{'Fixed': 466068911.8512059, 'Electricity': 12277223734.975996, 'Makeup-water': 408513256.79604757, 'Adsorbent': 126380383.66780463, 'npv_CC': 23241772201.164543}","{'CAC_CAPEX': 66.49466661372736, 'CAC_FixedOPEX': 27.34405415772647, 'CAC_VariableOPEX': 743.8743076158382}",788.1263627564692,837.644123542972,1.3285268840077415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,27.38288163673953,98.06087655394316,0.0711940359110188,0.6221331183172918,0.9263941870456416,-0.9263941870456416,0.0,"[5317.109205938521, 14100.530166261706]","[[0.0, 0.0], [0.0, 0.0], [5317.109205938521, 14100.530166261706]]","[411.9673454660135, 111.33434722368737, 0.0, 0.0, 152.73678153906081, 147.89621670326537]",647.079615,"[[0, 101.325, 310.15, 0.0432]]",101.68949072158765,1162.542953779986,17278.063864545762,1097.5193178992909,779.2612331258576,761.5276458256941,447.1151035130338,21.049724994106803,21.666556823485287,0.5277535138248564,0.6221331183172918,252560.87749460663,327301.6806190814,123.19858552608572,1.5485504605884046,"(214394.73854848978, 0, 7092.569442863575)","{'ShellAndTubePackedColumn': 500707065.82818043, 'Material': 86666952.57814817, 'CentrifugalCompressor': 42677141.40190271, 'SteamBoiler': 29866410.903417714, 'ForcedDraughtCoolingTower': 6558163.462350533}","{'Fixed': 562689901.1019068, 'Electricity': 16039708209.897127, 'Makeup-water': 530622836.60582745, 'Adsorbent': 156646350.2961704, 'npv_CC': 24486717767.804043}","{'CAC_CAPEX': 81.45414653386413, 'CAC_FixedOPEX': 33.446181229653995, 'CAC_VariableOPEX': 982.6991215996176}",782.0181633256941,1097.5193178992909,1.5485504605884046,0.2375564868928619,0.0056009985129817,0.230941452274264,0.0010140361056155,2.831070887097609,21.16894497307309,1.1387954470776048e-06,2.6386194254050737,0.0011467795703526,18.49957058133645,0.6212482990880698,17.783262506612903,0.09505977563548,0.0001809160171145,0.0003254308199033,0.00273894426389,1.8372042981395572e-10,1.0906505514507156e-18,1.3841551371889234e-10,4.530491500441292e-11,3.482344263404681e-09,6.114770141603315e-10,2.816321347715117e-09,7.447817122398129e-11,1.2088142098342606e-08,5.912720875364409e-08,0.0006762961596485,1.258846564487078,1103.321168326876,74.76587921815381
5,CAU10,19.431015872491777,98.77901546056044,0.1529786121811628,1.1364940434178692,0.6448142013095283,-0.6448142013095283,0.0,"[8300.216299387484, 34416.11080288197]","[[0.0, 0.0], [0.0, 0.0], [8300.216299387484, 34416.11080288197]]","[484.5806337848927, 158.82418002466736, 0.0, 0.0, 161.18888554189948, 164.56756821832585]",470.093715,"[[0, 101.325, 310.15, 0.0432]]",39.23611389703935,945.330623302718,13173.872061999546,710.7550684597536,551.8088771299783,533.2032874446477,376.00853585571775,14.651604899579826,15.27927927016558,0.5537044009773577,1.136494043417869,301219.8742522004,358157.96220085246,61.53534956748094,1.4764781946832264,"(163327.4726640552, 0, 5473.220442783275)","{'ShellAndTubePackedColumn': 412856879.6300037, 'Material': 51915382.50437038, 'CentrifugalCompressor': 48996892.70880249, 'SteamBoiler': 22748260.00234865, 'ForcedDraughtCoolingTower': 5432385.077377247}","{'Fixed': 458348715.5058111, 'Electricity': 12219166486.676119, 'Makeup-water': 409473009.7624687, 'Adsorbent': 93834558.05955887, 'npv_CC': 26795196774.167778}","{'CAC_CAPEX': 56.11126449017469, 'CAC_FixedOPEX': 23.070805941562316, 'CAC_VariableOPEX': 631.6498848834307}",774.912877801196,710.7550684597536,1.4764781946832264,0.1668437506507345,0.0039445856157878,0.1621850809616703,0.0007140840732758,1.9939122740669049,14.898245261384089,7.999922873542199e-07,1.8578773438352585,0.0007916640496608,13.027525034235769,0.4368796563595242,12.52372325415582,0.0669221237204252,0.0001274019547003,0.000221632947287,0.0018414808396505,1.2943138415997178e-10,7.676435142603409e-19,9.754850973435797e-11,3.188287365797032e-11,2.451058908480136e-09,4.301149393103413e-10,1.982644233731182e-09,5.225426960424041e-11,8.496427561109908e-09,4.126960987323746e-08,0.0004567488803413,0.886625694749751,712.7119987378363,82.29835403553363
6,CAU21,15.641986336738048,93.6037464502613,0.0277741408336921,0.3168725203616952,3.097851664936889,-3.097851664936889,0.0,"[1511.4674011560892, 8151.419195325159]","[[0.0, 0.0], [0.0, 0.0], [1511.4674011560892, 8151.419195325159]]","[315.5430041303723, 28.704375555875735, 0.0, 0.0, 143.0709483243089, 143.76768025018768]",471.502395,"[[0, 101.325, 310.15, 0.0432]]",41.30433901393516,3235.7172832355013,62911.85086562175,14614.371961310815,2490.4291296141337,2471.382871542059,1283.34042688487,70.39004187560245,71.02331031215016,0.5668187407665571,0.3168725203616952,85380.80554152606,360871.43251641374,340.8304537707974,7.204109413419951,"(790247.6087188238, 0, 25634.14727419724)","{'ShellAndTubePackedColumn': 1487512234.7364886, 'Material': 187610239.13933665, 'CentrifugalCompressor': 50537372.36044382, 'SteamBoiler': 110116424.50486547, 'ForcedDraughtCoolingTower': 19232221.55755699}","{'Fixed': 1558570139.6108234, 'Electricity': 59121511764.861244, 'Makeup-water': 1917790731.5792654, 'Adsorbent': 339096487.9360337, 'npv_CC': 26998202092.26693}","{'CAC_CAPEX': 840.4285576277238, 'CAC_FixedOPEX': 343.60508259013415, 'CAC_VariableOPEX': 13430.696906830053}",773.1809191784507,14614.371961310815,7.204109413419951,0.7777963642607139,0.0184191988810317,0.7560429580443031,0.0033342073353768,9.310695453847998,69.54854236395445,3.727827013782432e-06,8.673436817181365,0.003692138107262,60.81626683960293,2.037986510415328,58.46598425739188,0.3122960717957319,0.0005946852892482,0.0010338231598995,0.0085881188574259,6.021316224322068e-10,3.5823181975553065e-18,4.5419311685166736e-10,1.4793850199822118e-10,1.1424781635613793e-08,2.002610463494327e-09,9.244738646983813e-09,2.4235256158596763e-10,3.9613995945288486e-08,1.8572858874259198e-07,0.0021286926855732,4.140377590948336,15383.44967773706,20.79909278006636
7,CuAlPyC,29.095254512161876,99.00340408684356,0.1430919229320934,0.9411205280670945,0.5847451117619158,-0.5847451117619158,0.0,"[9685.446618023501, 23603.30366245597]","[[0.0, 0.0], [0.0, 0.0], [9685.446618023501, 23603.30366245597]]","[547.3591396561392, 200.730489714173, 0.0, 0.0, 175.8053885867011, 170.82326135526506]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",102.3414561521038,860.7006723546721,11089.748379197545,637.6146239325973,506.79230526974095,489.2377874592081,335.2684453949828,13.286702319981362,13.90136238846149,0.5224243860645363,0.9411205280670948,283005.3820866075,330680.15301350865,84.26851972951904,1.360061184683189,"(136755.55547897308, 0, 4597.597584646739)","{'ShellAndTubePackedColumn': 368985350.55808717, 'Material': 57883061.720685855, 'CentrifugalCompressor': 42682271.48928381, 'SteamBoiler': 19046435.44783057, 'ForcedDraughtCoolingTower': 4835068.082197603}","{'Fixed': 417695455.17083824, 'Electricity': 10231217523.414255, 'Makeup-water': 343964241.9563517, 'Adsorbent': 104620851.3485862, 'npv_CC': 24739474490.141003}","{'CAC_CAPEX': 53.9404791542279, 'CAC_FixedOPEX': 22.198699725696198, 'CAC_VariableOPEX': 561.5463039743703}",782.0123955772752,637.6146239325973,1.360061184683189,0.1522848707014605,0.0035849271709209,0.1480498345673958,0.0006501089631433,1.8114462310731403,13.54550381433052,1.095920752420238e-06,1.6943676980067142,0.0007456960760626,11.97543189919874,0.4121473440450244,11.50226112528042,0.0610234298732973,0.0001169830810124,0.0002072246922693,0.0017422806473132,1.2061379529693766e-10,6.992434054586923e-19,9.147807292653656e-11,2.913572167115771e-11,2.430483232144568e-09,3.9272882048434745e-10,1.993046530443905e-09,5.7479854170457766e-11,7.774011101579861e-09,3.8463730585517923e-08,0.0004310600205444,0.8054057671274624,639.787875072859,83.92668349647413
8,CuAlPyC-FF2,21.301425762543037,98.6841682386341,0.1095656932916006,0.8064795078412522,0.7602650949888434,-0.7602650949888434,0.0,"[7416.1605476931045, 27399.16416514311]","[[0.0, 0.0], [0.0, 0.0], [7416.1605476931045, 27399.16416514311]]","[489.0843375618705, 144.29181267271608, 0.0, 0.0, 171.69432768124648, 173.09819720790796]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",49.08659829819199,1065.216552116737,15275.764806853913,862.4422495543434,645.6740282321513,627.2797863050349,413.8849448006231,17.274904566456637,17.89991817557491,0.5474146683841393,0.8064795078412522,286223.0391102292,352240.473236368,80.72934879996141,1.5173853869344398,"(189371.66764911104, 0, 6306.026083742772)","{'ShellAndTubePackedColumn': 458661365.8255677, 'Material': 71950618.38314365, 'CentrifugalCompressor': 47639987.55562145, 'SteamBoiler': 26378086.432069987, 'ForcedDraughtCoolingTower': 6049298.912888653}","{'Fixed': 515937711.12709326, 'Electricity': 14167634489.90317, 'Makeup-water': 471778454.2289873, 'Adsorbent': 130047283.7222359, 'npv_CC': 26352486300.169136}","{'CAC_CAPEX': 66.24729208407089, 'CAC_FixedOPEX': 27.215412688875453, 'CAC_VariableOPEX': 769.0583719591434}",776.438443931067,862.4422495543434,1.5173853869344398,0.1962447652732809,0.0046268899172459,0.1907789758138248,0.0008388995422095,2.338046719284878,17.479638082279394,1.367766455927378e-06,2.1858936560537425,0.000958645852042,15.437627047219292,0.5298221391676464,14.829094689219156,0.0787102188324903,0.0001508124032215,0.0002666161684776,0.0022390029484088,1.5506804215377875e-10,9.020078055427892e-19,1.175816275443365e-10,3.7486413707434446e-11,3.109796459318277e-09,5.060492546512534e-10,2.547468849406111e-09,7.272347501812234e-11,1.0019784130818209e-08,4.85250045650273e-08,0.0005539074536664,1.0395837593089607,866.0877386116687,79.31791680645439
9,DAZMID,17.2008548681809,92.38697026999527,0.0197440823326316,0.2359856223597957,4.290149126093669,-4.290149126093669,0.0,"[1066.2973549392832, 5132.797766267626]","[[0.0, 0.0], [0.0, 0.0], [1066.2973549392832, 5132.797766267626]]","[301.19926666169334, 20.478028052645254, 0.0, 0.0, 140.790769084366, 139.9304695246821]",467.915175,"[[0, 101.325, 310.15, 0.0432]]",188.13970815256732,4300.320266908019,86068.7781430645,-27965.99179389884,3432.400698370661,3413.5378146217568,1702.7627591871096,97.48167740125312,98.11261148963744,0.5613615006853101,0.2359856223597957,-20406.923097168503,356855.19256692246,476.9281513847465,-10.127567488391474,"(1082180.138168288, 0, 35017.272616590795)","{'ShellAndTubePackedColumn': 1990287752.9334414, 'Material': 249112252.198774, 'CentrifugalCompressor': 49493777.088142745, 'SteamBoiler': 150800710.71667233, 'ForcedDraughtCoolingTower': 25641603.034232598}","{'Fixed': 2069968075.7291722, 'Electricity': 80962125116.88881, 'Makeup-water': 2619779006.1415367, 'Adsorbent': 450258419.849368, 'npv_CC': 26697731486.84579}","{'CAC_CAPEX': -1562.330067699581, 'CAC_FixedOPEX': -638.3720819346172, 'CAC_VariableOPEX': -25765.782724630917}",774.3542315481353,158104.7423809179,57.25584347224262,1.0744509912245317,0.0254514613208948,1.044392385074229,0.0046071448294055,12.865449933930394,96.0987127660669,5.149683288992799e-06,11.984611980591623,0.0051010818388133,84.03337695142132,2.8157587018856454,80.78612139957241,0.431496849963253,0.0008217034743183,0.0014283793720517,0.0118655616120394,8.317699296755046e-10,4.949665521480729e-18,6.274457329863451e-10,2.0432419173949434e-10,1.5784365646225925e-08,2.76656391181935e-09,1.277289423935486e-08,3.3457838535078144e-10,5.4729477869939044e-08,2.552897666069252e-07,0.0029408431212515,5.721182835103659,-25579.84830383818,-6.878301512832468
