,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,801.9908909710841,10240.58600696017,664.4056237083456,519.9142251886595,499.81737762423126,320.27135993664854,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,254960.8812750738,299122.4993020798,120.39327910213152,1.5794976336298576,"(126678.04137734516, 0, 4280.190348531841)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 17641624.814301863, 'ForcedDraughtCoolingTower': 4667720.615567671}","{'Fixed': 389493335.2350539, 'Electricity': 9477279312.217545, 'Makeup-water': 320217766.24775386, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': 56.715170632606196, 'CAC_FixedOPEX': 23.35416224674671, 'CAC_VariableOPEX': 584.4186869782178}",780.3054165280437,664.4056237083456,1.5794976336298576,0.155802258445294,0.0036834916217573,0.1514519622672548,0.0006668045562815,1.861956415060904,13.909081815150945,7.460354535032634e-07,1.7347463249622543,0.0007387352935013,12.16418797360022,0.4077429019573885,11.69397078155342,0.0624742900894079,0.0001189614499703,0.0002068204486936,0.0017182336990488,1.2080614244607349e-10,7.166042815546448e-19,9.097889362739506e-11,2.9827248102074194e-11,2.286474983026314e-09,4.015771442611207e-10,1.8493266346203463e-09,4.8563873729800127e-11,7.930387615085338e-09,3.7549117754845887e-08,0.0004260623516178,0.8279767116321217,666.0807235258002,75.47778211951774
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,657.1916011698943,7210.642799584854,449.4487379268948,373.5077678323106,354.3565522331341,264.764983186596,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,270340.6931282866,301186.1841986258,100.42439874737076,1.4131581836246,"(88480.59850804033, 0, 3048.455797858336)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 12318594.827937672, 'ForcedDraughtCoolingTower': 3769036.965287066}","{'Fixed': 319936834.74481136, 'Electricity': 6619579341.892497, 'Makeup-water': 228066891.09750676, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 43.82599560376288, 'CAC_FixedOPEX': 18.083619951094793, 'CAC_VariableOPEX': 387.6130580824133}",782.317015821913,449.4487379268948,1.4131581836246,0.1099554058718322,0.0025939533128464,0.1068918614616924,0.000469591097293,1.311194555259461,9.797635723583738,5.262214970647961e-07,1.2218082911296149,0.0005224586733262,8.567515571538994,0.2873716690765001,8.236128902847003,0.0440149996154951,8.379358071242017e-05,0.0001466018118754,0.0012209453373321,8.526354509429224e-11,5.048621914422279e-19,6.416884601315123e-11,2.109469857627885e-11,1.6116208636885691e-09,2.8334166760595285e-10,1.30307216062176e-09,3.438483662354343e-11,5.592153576618836e-09,2.7226964236232388e-08,0.0003026354487611,0.5830380050352674,450.3355802518443,81.60607417224868
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,1302.6260712464043,21626.52290452832,1668.1456043902674,1037.4914431959792,1017.9475172171324,525.0344574672865,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,209799.98345264452,304120.09587052785,178.14140135697633,1.95680748571622,"(270558.18236283323, 0, 8904.114849989179)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 37693076.767368786, 'ForcedDraughtCoolingTower': 7801450.964536639}","{'Fixed': 629980917.805827, 'Electricity': 20241514919.072857, 'Makeup-water': 666151627.7319314, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': 111.81674736201334, 'CAC_FixedOPEX': 45.880451369676344, 'CAC_VariableOPEX': 1510.5492237841047}",780.8652259372575,1668.1456043902674,1.95680748571622,0.3195157970244065,0.0075692693717891,0.3105763723793519,0.0013701552732646,3.8262217319696914,28.57827634948503,1.5300157142961685e-06,3.5641265485605684,0.0015201452158771,24.99120786237343,0.8372242279615165,24.025677953083505,0.1283056813284036,0.0002443791320102,0.0004264227667739,0.0035480351683967,2.4747984338661636e-10,1.4717534468079773e-18,1.8653724348833647e-10,6.094259842652649e-11,4.6926759786568504e-09,8.232995274809872e-10,3.796858256283291e-09,9.915546558491127e-11,1.627660820407643e-08,7.42611041088706e-08,0.0008787264435372,1.7015350132640492,1677.174610748779,62.30537179884589
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,588.6765766051252,5451.407496738184,338.0424070425275,293.5899959155264,278.095111898152,230.42648856418296,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,272409.7203725538,295344.4245068937,96.56361181620817,1.0934963891706178,"(65788.42735178761, 0, 2302.0953012890013)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 9157186.423884925, 'ForcedDraughtCoolingTower': 3194190.079490471}","{'Fixed': 287024619.8695062, 'Electricity': 4921889340.451454, 'Makeup-water': 172228745.69610512, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 38.05777844876686, 'CAC_FixedOPEX': 15.72950810003565, 'CAC_VariableOPEX': 284.31235996847033}",792.1688849530606,338.0424070425275,1.0934963891706178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,700.9756994082456,7498.982850789354,473.0012913445096,393.4437681598461,376.0266829880956,268.82795330415667,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,264050.257693172,295911.6954939583,107.76579389979314,1.2855884963160524,"(91394.8518281532, 0, 3135.2534102905597)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 12725141.742651645, 'ForcedDraughtCoolingTower': 3876351.4324955274}","{'Fixed': 340969179.9639223, 'Electricity': 6837606021.188837, 'Makeup-water': 234560559.6742369, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 47.09684825498211, 'CAC_FixedOPEX': 19.42304814119951, 'CAC_VariableOPEX': 406.5485737895988}",787.394110025022,473.0012913445096,1.2855884963160524,0.115485931828918,0.0027089926038783,0.1122864201419811,0.0004905190830581,1.3692190422087631,10.245835490006048,5.535615937388404e-07,1.2767658845523622,0.0005597090702498,8.951450747509393,0.3011667919524456,8.604247860629172,0.0460360949277739,8.755635753051671e-05,0.000159495081115,0.0013484976734876,8.93518980947694e-11,5.282120504355731e-19,6.722237017009726e-11,2.212952739646011e-11,1.6889674322588515e-09,2.9717300854271997e-10,1.3649543876819604e-09,3.6561026952912517e-11,5.866403134712392e-09,3.0847261612989524e-08,0.0003328522448079,0.6087568013861581,474.3946244965878,83.81439616127827
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,763.9582130907402,9026.215700240438,577.8982648478099,461.24510976446186,440.0850385275116,299.87077905598795,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,262790.78077952337,301478.0763403373,110.79066764355773,1.6274535098581882,"(110974.89283190176, 0, 3782.2899473403513)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 15452795.50273743, 'ForcedDraughtCoolingTower': 4306440.876852635}","{'Fixed': 371223770.64491284, 'Electricity': 8302465404.2325, 'Makeup-water': 282967891.5224189, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 52.847808559248904, 'CAC_FixedOPEX': 21.76964087741261, 'CAC_VariableOPEX': 503.36587320588575}",777.2642779766081,577.8982648478099,1.6274535098581882,0.1368771973125525,0.0032299557238386,0.1330624978945797,0.0005847436941337,1.6326576992622432,12.201737746159974,6.563010731807049e-07,1.5215443283112036,0.0006488815572877,10.669348932998096,0.3580234151153972,10.256498534437766,0.0548269834449366,0.0001043489229905,0.0001816228839353,0.0015092473093535,1.0625718570013023e-10,6.288946407123811e-19,8.00351974698433e-11,2.6221987601392298e-11,2.0093720689623296e-09,3.5289878235443927e-10,1.6248777796876954e-09,4.305480695270509e-11,6.965727857926512e-09,3.496935613828356e-08,0.0003745502456203,0.7259521679922462,579.3695528846794,75.63034386470798
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,2555.5698299576816,47027.220601158166,9305.46470124217,2227.260918945896,2203.229232428377,999.3915875444346,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,98009.09221110107,303564.391144737,325.96800169273496,6.363796419674562,"(589637.4233327218, 0, 19190.050304326105)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 82158770.94428426, 'ForcedDraughtCoolingTower': 14843066.00126849}","{'Fixed': 1231851156.8567584, 'Electricity': 44113079844.790184, 'Makeup-water': 1435682654.800889, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': 564.5745215004916, 'CAC_FixedOPEX': 230.96549563398338, 'CAC_VariableOPEX': 8510.2468121973}",769.693085082131,9305.46470124217,6.363796419674562,0.6925030318377812,0.0163911484307147,0.6731447548206201,0.0029671285864443,8.285509947977529,61.89403562530528,3.318954473476512e-06,7.718754707017492,0.0032864072801858,54.122461872342384,1.8139566774404052,52.03055837102539,0.2779468238765898,0.0005292411637995,0.0009201665319009,0.0076441927977237,5.361597245469521e-10,3.188289919821545e-18,4.043730088849729e-10,1.3178671247368946e-10,1.0169615378534856e-08,1.782950381389791e-09,8.228467876643615e-09,2.16009411728204e-10,3.5262917118196545e-08,1.6679237702189857e-07,0.0018949825580745,3.684441885236556,9625.31257281605,24.8267630626326
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,623.4600465409163,6050.713691588426,375.1100405177105,319.99639572693314,302.23228331395586,243.14373667611585,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,274509.08994365577,300074.054986897,94.65848612794396,1.275904826515618,"(73333.356979304, 0, 2558.713950029496)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 10207818.44690887, 'ForcedDraughtCoolingTower': 3399860.959244254}","{'Fixed': 303733378.9177243, 'Electricity': 5486355010.219745, 'Makeup-water': 191427389.63150507, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 40.5928622906267, 'CAC_FixedOPEX': 16.761633962519678, 'CAC_VariableOPEX': 317.8223531909254}",785.9339629394486,375.1100405177105,1.275904826515618,0.0927977923445446,0.0021741641639359,0.0902291142025132,0.0003945139780951,1.0984458549611025,8.219200235400994,7.328481314672763e-07,1.0289682977921857,0.0004577783804064,7.289777619625733,0.2530481914988723,6.999647659082474,0.0370817690443883,7.119835146931197e-05,0.0001269014486232,0.0010707794091281,7.402914383519893e-11,4.2476150035775253e-19,5.6187119207619244e-11,1.784202420281819e-11,1.5136283972207403e-09,2.3938785455255975e-10,1.2450462087637484e-09,3.699723748716466e-11,4.734825885188331e-09,2.496087149474649e-08,0.0002649921690267,0.4883318280297543,376.0465553219869,85.98728007709656
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,810.647696071559,9722.075095755014,612.3851060810296,486.3959811447465,466.3421810982009,311.9789399054217,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,264390.88769747654,306024.7147738363,108.45249945443038,1.5515378230467645,"(119427.04784618839, 0, 4050.804097345834)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 16630892.686035264, 'ForcedDraughtCoolingTower': 4509460.158360047}","{'Fixed': 393651760.79806495, 'Electricity': 8934804150.471436, 'Makeup-water': 303056484.39309883, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': 55.23312639758041, 'CAC_FixedOPEX': 22.74107206907114, 'CAC_VariableOPEX': 534.4919120311596}",779.2676222282362,612.3851060810296,1.5515378230467645,0.1449582610597552,0.0034090470116904,0.1409309213934108,0.0006182926546535,1.7225260812907488,12.882327688969667,1.0645180377403469e-06,1.6116924890302964,0.0007109260126752,11.39675700883373,0.3929408187165841,10.945762800180397,0.0580533899367485,0.0001113261504066,0.0001974597940019,0.0016614369058411,1.1498505680418892e-10,6.651637059394732e-19,8.722229517644376e-11,2.776276096258148e-11,2.3242286185014155e-09,3.738576635619591e-10,1.907174360193249e-09,5.536066793604718e-11,7.3992009118529234e-09,3.711235558014044e-08,0.0004110810906053,0.7658505510725075,614.4950308135006,77.53294530777093
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,3177.826914350162,60629.504617951694,24523.10418724837,2658.43407372083,2635.7677423633577,1249.7343973495913,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,61101.29266153544,326444.9707895039,374.3380376108197,13.397423321272576,"(761140.9848379283, 0, 24712.043097373265)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 106059265.86700638, 'ForcedDraughtCoolingTower': 18617553.1026432}","{'Fixed': 1530761636.7011611, 'Electricity': 56943931488.47215, 'Makeup-water': 1848804514.6808558, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': 1436.3033523787403, 'CAC_FixedOPEX': 587.2384191523895, 'CAC_VariableOPEX': 22500.233239049125}",768.8321449975614,24523.10418724837,13.397423321272576,0.8290029264404907,0.0196294909207081,0.8058201323361498,0.0035533031836305,9.922476491400094,74.11933528595695,3.973212095170117e-06,9.243451388859782,0.0039349769881761,64.813193229002,2.1720064327332924,62.308359410599024,0.3328273856696928,0.0006337728606652,0.0011018054564164,0.0091529345701766,6.418164583935241e-10,3.81782511906458e-18,4.840994771900705e-10,1.5771697738562848e-10,1.217636434280443e-08,2.1345211207008877e-09,9.852670812977766e-09,2.583697277019018e-10,4.2220383317068165e-08,1.9833645036376095e-07,0.0022687714871556,4.41241807283465,26793.336638726763,14.67609326172406
