,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,20.97139427110351,97.41425650666524,0.1020943404331421,1.2629651937141908,0.8969121602666308,-0.8969121602666308,0.0,"[3898.2838052032757, 14690.293352848259]","[[0.0, 0.0], [0.0, 0.0], [3898.2838052032757, 14690.293352848259]]","[291.01326575630554, 77.53557520918015, 0.0, 0.0, 107.65970215563046, 105.81798839149496]",330.824403,"[[0, 101.325, 310.15, 0.0432]]",63.20285472959885,1110.5271740298572,10557.194272795226,-821.2222579603323,478.70654935344,460.27530383088,333.11744589199424,20.37982813524785,21.00530635520411,0.5485158994655311,1.2629651937141906,-178785.78612124076,344567.4610560758,678.7013928937496,-14.229010929988744,"(3064.1351477497496, 122617.15654688141, 7238.836105915336)","{'ShellAndTubePackedColumn': 507880884.88116753, 'Material': 44943976.266141966, 'CentrifugalCompressor': 46695973.782681726, 'SteamBoiler': 30441297.1364884, 'ForcedDraughtCoolingTower': 6693409.326788444}","{'Fixed': 537703344.7820674, 'Electricity': 229239924.53518263, 'Heat': 9173468648.786057, 'Makeup-water': 541565617.254593, 'Adsorbent': 81234076.43231195, 'npv_CC': 25778438274.102314}","{'CAC_CAPEX': -90.46007129267646, 'CAC_FixedOPEX': -37.15254472319447, 'CAC_VariableOPEX': -693.7110852528182}",777.4997969922979,21215.01522438715,367.5846344659884,1.5269524347759866,0.000404769904698,1.5264480083401673,9.965653112132986e-05,0.1265589064843916,26.646785763695565,3.064866223534259e-07,0.4646811929611306,0.001297890245062,2.23115037926134,0.4271962902018439,1.783993786133691,0.0199603029258031,2.5137599632114023e-05,0.0003505192163844,0.0037667435153965,1.3462111472517798e-10,2.250790067106764e-19,4.6509053367530575e-11,8.811206113256841e-11,1.263222089571225e-09,3.7714905751005115e-10,8.578929521866944e-10,1.6377509406962475e-10,4.575243842269382e-09,2.373608619049967e-07,0.0013238700257704,0.0636275359964999,-817.856711559667,-51.33267964807975
1,AlTCPP,23.87347170379229,98.38035492321292,0.1571806636904106,1.6536646752066746,0.6114759948642031,-0.6114759948642031,0.0,"[5954.650356660189, 18987.890177627898]","[[0.0, 0.0], [0.0, 0.0], [5954.650356660189, 18987.890177627898]]","[342.17964365403066, 119.94112802358045, 0.0, 0.0, 112.45014769811885, 109.78836793233134]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",65.00439486980886,856.1952272841211,7173.825678135699,-3448.546148460401,339.5506417509131,321.4406457354269,269.26088825869385,13.894087109330265,14.515552027024322,0.5389554787055855,1.653664675206675,-12088.488129911597,340243.59544683824,463.3685297450535,-60.85659162353874,"(2090.8753832150123, 82546.07678202976, 4939.568095781174)","{'ShellAndTubePackedColumn': 386043402.54636085, 'Material': 33894647.47640362, 'CentrifugalCompressor': 45306321.5615968, 'SteamBoiler': 20493132.621391416, 'ForcedDraughtCoolingTower': 5111750.735800678}","{'Fixed': 415531197.3717232, 'Electricity': 156426558.21257734, 'Heat': 6175594580.442878, 'Makeup-water': 369548392.2583664, 'Adsorbent': 61262945.83816527, 'npv_CC': 25454952990.92549}","{'CAC_CAPEX': -422.22456710573243, 'CAC_FixedOPEX': -173.75809385983072, 'CAC_VariableOPEX': -2853.153589674391}",779.0621805942889,14802.18295743197,261.2145421859899,1.0430226642619145,0.0003178783393937,1.0426292352844058,7.55506381151294e-05,0.1074601200487403,18.32778714857398,2.18276836278852e-07,0.3367216473135563,0.000895774989208,1.6608733076545237,0.296120297959287,1.350414489988771,0.0143385197064644,1.851068842207777e-05,0.0002424204669611,0.0026001504643248,9.33369669754768e-11,1.6182138105209572e-19,3.2839567953051034e-11,6.049739886060439e-11,8.88639540807144e-10,2.622298037792134e-10,6.066397103700854e-10,1.1238961889681476e-10,3.2170171622843113e-09,1.6301257300031705e-07,0.0009103649705457,0.0527709549914979,-3382.9457370572964,-4.232584979829354
2,AlTCPP-FF2,23.53995303248974,93.02891190561434,0.038529574379632,0.6061027391023268,2.212851114639621,-2.212851114639621,0.0,"[1459.6588310222196, 4741.113230874441]","[[0.0, 0.0], [0.0, 0.0], [1459.6588310222196, 4741.113230874441]]","[228.8497622896537, 31.268887378334462, 0.0, 0.0, 100.08495736399342, 97.49591754732585]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",94.39059174357789,2097.686456065671,23905.41140930143,-398.5963803711701,1120.160420897675,1102.0139745393278,579.2247142094029,50.28087186580309,50.90278969094658,0.5400402449291107,0.6061027391023267,-878883.7926596785,319919.5299769948,1570.0445852348844,-6.690198950537816,"(6894.249098591752, 280879.4806713468, 16287.251342262314)","{'ShellAndTubePackedColumn': 990348690.0011822, 'Material': 86952709.21584265, 'CentrifugalCompressor': 42685741.65493256, 'SteamBoiler': 69731968.7672735, 'ForcedDraughtCoolingTower': 12866236.844069017}","{'Fixed': 1011900042.7019717, 'Electricity': 515785716.6478349, 'Heat': 21013691579.45494, 'Makeup-water': 1218512920.7919316, 'Adsorbent': 157162841.68113497, 'npv_CC': 23934430230.049026}","{'CAC_CAPEX': -37.42964107644392, 'CAC_FixedOPEX': -15.323826183895436, 'CAC_VariableOPEX': -345.8636298831846}",782.0084940760049,45825.74205614535,769.1573393771213,3.7580116010265754,0.0007924695691088,3.757010649687801,0.0002084817696643,0.2080788111894325,64.96205222472014,7.116227783462275e-07,1.0487785951119433,0.0031650619615698,4.81895942291457,1.0305920506266946,3.742686953427648,0.0456804188602206,5.528842556179146e-05,0.0008556517803549,0.0092259639209399,3.2464773703838417e-10,5.144533645178296e-19,1.09256996128865e-10,2.1539074039506576e-10,2.983103807363878e-09,9.062735179333323e-10,2.009831512451879e-09,4.0076230281220235e-10,1.082761387234738e-08,5.808186352183558e-07,0.0032482265568917,0.1107395922815601,-397.8583220405847,-256.5748182665636
3,Ca-SQA,41.873222258822544,98.82183568957254,0.1113270146538984,0.7319182847612429,0.7470075968866331,-0.7470075968866331,0.0,"[8079.336751522844, 11215.420889968565]","[[0.0, 0.0], [0.0, 0.0], [8079.336751522844, 11215.420889968565]]","[547.5710350435786, 178.2340322674082, 0.0, 0.0, 191.10812433286648, 178.22887844330396]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432]]",169.173251776577,961.4021470288968,8052.968133562936,-1279.2284636322888,411.51208423459946,395.2070486519802,283.1758047865406,16.973664885698938,17.574033630584065,0.4852396571610337,0.7319182847612428,-82333.58053110098,310661.11735109857,547.1685886700799,-21.6550272543097,"(2311.3354847304477, 92074.41838875298, 5460.391906028472)","{'ShellAndTubePackedColumn': 415719052.4770249, 'Material': 69921850.70023663, 'CentrifugalCompressor': 37244242.019837074, 'SteamBoiler': 22858666.82750659, 'ForcedDraughtCoolingTower': 5419652.253556259}","{'Fixed': 466068911.8512059, 'Electricity': 172920039.92846432, 'Heat': 6888447051.220733, 'Makeup-water': 408513256.79604757, 'Adsorbent': 126380383.66780463, 'npv_CC': 23241772201.164543}","{'CAC_CAPEX': -156.92845775870805, 'CAC_FixedOPEX': -64.53239735405703, 'CAC_VariableOPEX': -1057.9302250345297}",788.1263627564692,16220.844281810432,274.58959442876204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,27.38288163673953,98.06087655394316,0.0711940359110188,0.6221331183172918,0.9263941870456416,-0.9263941870456416,0.0,"[5317.109205938521, 14100.530166261706]","[[0.0, 0.0], [0.0, 0.0], [5317.109205938521, 14100.530166261706]]","[411.9673454660135, 111.33434722368737, 0.0, 0.0, 152.73678153906081, 147.89621670326537]",647.079615,"[[0, 101.325, 310.15, 0.0432]]",101.68949072158765,1162.542953779986,10463.190586354463,-794.6362859588586,500.9522599587097,483.2186726585462,330.63316112234173,21.049724994106803,21.666556823485287,0.5277535138248564,0.6221331183172918,-186166.5894920781,327301.6806190814,684.2181213395577,-13.463636187071849,"(3002.221766006691, 120301.5221335048, 7092.569442863575)","{'ShellAndTubePackedColumn': 500707065.82818043, 'Material': 86666952.57814817, 'CentrifugalCompressor': 42677141.40190271, 'SteamBoiler': 29866410.903417714, 'ForcedDraughtCoolingTower': 6558163.462350533}","{'Fixed': 562689901.1019068, 'Electricity': 224607942.49975577, 'Heat': 9000226989.206074, 'Makeup-water': 530622836.60582745, 'Adsorbent': 156646350.2961704, 'npv_CC': 24486717767.804043}","{'CAC_CAPEX': -91.73945340035594, 'CAC_FixedOPEX': -37.66946822114278, 'CAC_VariableOPEX': -665.3176140914381}",782.0181633256941,20966.586747429363,355.23987645674424,1.5779940494401878,0.0004113591000833,1.5774808101067697,0.0001018802333349,0.127127431100296,27.52054762579617,3.216469603460982e-07,0.4780439452277958,0.0013637438003085,2.288836032788711,0.4422290680260691,1.8259919119508536,0.0206150528117863,2.582427995353654e-05,0.0003728383337567,0.0040158974554031,1.3934870629835658e-10,2.327178628027424e-19,4.821497131252084e-11,9.11337347531179e-11,1.309968088941857e-09,3.9096448846584064e-10,8.891187283076795e-10,1.7014049887263732e-10,4.755642173648148e-09,2.490575201016583e-07,0.0013959530004511,0.063985488674468,-789.9577347838056,-56.67860313106798
5,CAU10,19.431015872491777,98.77901546056044,0.1529786121811628,1.1364940434178692,0.6448142013095283,-0.6448142013095283,0.0,"[8300.216299387484, 34416.11080288197]","[[0.0, 0.0], [0.0, 0.0], [8300.216299387484, 34416.11080288197]]","[484.5806337848927, 158.82418002466736, 0.0, 0.0, 161.18888554189948, 164.56756821832585]",470.093715,"[[0, 101.325, 310.15, 0.0432]]",39.23611389703935,945.330623302718,7983.207883545699,-2286.115587924773,358.0926591749018,339.4870694895713,286.4745922917471,14.651604899579826,15.27927927016558,0.5537044009773577,1.136494043417869,-32944.36534991604,358157.96220085246,492.76349040094135,-40.14882010228113,"(2316.7656906073944, 91629.70110540146, 5473.220442783275)","{'ShellAndTubePackedColumn': 412856879.6300037, 'Material': 51915382.50437038, 'CentrifugalCompressor': 48996892.70880249, 'SteamBoiler': 22748260.00234865, 'ForcedDraughtCoolingTower': 5432385.077377247}","{'Fixed': 458348715.5058111, 'Electricity': 173326294.85046273, 'Heat': 6855176013.371809, 'Makeup-water': 409473009.7624687, 'Adsorbent': 93834558.05955887, 'npv_CC': 26795196774.167778}","{'CAC_CAPEX': -278.11316023305613, 'CAC_FixedOPEX': -114.34949484439052, 'CAC_VariableOPEX': -1894.034019364159}",774.912877801196,16549.122790390556,290.6361153703024,1.0998517383796775,0.0003323509537975,1.0994402070129246,7.918041295593062e-05,0.1118396484545276,19.319261335127354,2.312182641671479e-07,0.3540145475212911,0.0009426814228353,1.7440865188259156,0.3122737983883935,1.4167076473425484,0.0151050730949723,1.945076499560272e-05,0.0002546308207721,0.0027303007003634,9.854656443686539e-11,1.7048175618399807e-19,3.476466294130258e-11,6.378190132508107e-11,9.38982270405245e-10,2.766277843575492e-10,6.412199942744477e-10,1.1883977743746198e-10,3.392660559265481e-09,1.7347009615533232e-07,0.0009576641035887,0.0549458320629689,-2255.421099075167,-9.863256409170004
6,CAU21,15.641986336738048,93.6037464502613,0.0277741408336921,0.3168725203616952,3.097851664936889,-3.097851664936889,0.0,"[1511.4674011560892, 8151.419195325159]","[[0.0, 0.0], [0.0, 0.0], [1511.4674011560892, 8151.419195325159]]","[315.5430041303723, 28.704375555875735, 0.0, 0.0, 143.0709483243089, 143.76768025018768]",471.502395,"[[0, 101.325, 310.15, 0.0432]]",41.30433901393516,3235.7172832355013,37785.64868234224,-361.72719018375886,1559.7670767333468,1540.7208186612722,848.9668671123197,70.39004187560245,71.02331031215016,0.5668187407665571,0.3168725203616952,-1532192.1982210963,360871.43251641374,2432.9320093567626,-6.0143150271379575,"(10850.70728169624, 443547.5532253715, 25634.14727419724)","{'ShellAndTubePackedColumn': 1487512234.7364886, 'Material': 187610239.13933665, 'CentrifugalCompressor': 50537372.36044382, 'SteamBoiler': 110116424.50486547, 'ForcedDraughtCoolingTower': 19232221.55755699}","{'Fixed': 1558570139.6108234, 'Electricity': 811783814.5083514, 'Heat': 33183525767.073395, 'Makeup-water': 1917790731.5792654, 'Adsorbent': 339096487.9360337, 'npv_CC': 26998202092.26693}","{'CAC_CAPEX': -33.21362193140905, 'CAC_FixedOPEX': -13.579225983316148, 'CAC_VariableOPEX': -314.9485135284392}",773.1809191784507,72799.95734643703,1210.420143482311,5.260204385541395,0.0010651034857016,5.258855313622006,0.0002839684336867,0.2687391741247093,90.78822966759068,9.952917328835425e-07,1.4484968919492511,0.0044176640339132,6.6077541855890045,1.4393482301280396,5.105052193288962,0.0633537621719962,7.606027745455353e-05,0.0011923533490727,0.0128582358612803,4.5375308175150385e-10,7.134010075546672e-19,1.5256352506535619e-10,3.0118955597274667e-10,4.160380322399012e-09,1.2652190760973087e-09,2.8001949239261747e-09,5.622463013375175e-10,1.5094199278272862e-08,8.208533978779061e-07,0.0045352170071186,0.144775691848752,-361.0139170375836,-398.771091130508
7,CuAlPyC,29.095254512161876,99.00340408684356,0.1430919229320934,0.9411205280670945,0.5847451117619158,-0.5847451117619158,0.0,"[9685.446618023501, 23603.30366245597]","[[0.0, 0.0], [0.0, 0.0], [9685.446618023501, 23603.30366245597]]","[547.3591396561392, 200.730489714173, 0.0, 0.0, 175.8053885867011, 170.82326135526506]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",102.3414561521038,860.7006723546721,6743.761029128549,-6458.883436712434,331.12214898566447,313.5676311751316,260.9849244578967,13.286702319981362,13.90136238846149,0.5224243860645363,0.9411205280670948,3219.6921965685324,330680.15301350865,442.04506070557767,-112.05219482169804,"(1946.1222975905557, 76718.79902145713, 4597.597584646739)","{'ShellAndTubePackedColumn': 368985350.55808717, 'Material': 57883061.720685855, 'CentrifugalCompressor': 42682271.48928381, 'SteamBoiler': 19046435.44783057, 'ForcedDraughtCoolingTower': 4835068.082197603}","{'Fixed': 417695455.17083824, 'Electricity': 145597014.2059579, 'Heat': 5739633159.139304, 'Makeup-water': 343964241.9563517, 'Adsorbent': 104620851.3485862, 'npv_CC': 24739474490.141003}","{'CAC_CAPEX': -836.2877937692598, 'CAC_FixedOPEX': -344.1664202698066, 'CAC_VariableOPEX': -5279.527812308167}",782.0123955772752,13788.24081569724,239.20584126772863,0.9983764408798784,0.0003091981983795,0.9979928915274392,7.435115405992682e-05,0.1047022332320252,17.554670381834963,5.80132128223751e-07,0.3306005583883485,0.0008826450926562,1.743126992835737,0.2991494196855052,1.4299440622297397,0.014033510920491,1.9088322552456178e-05,0.0002371485760481,0.0025483005329381,9.260611909492857e-11,1.5771156844712941e-19,3.4542993898670854e-11,5.806312503854617e-11,1.0592674293163476e-09,2.5354010008300247e-10,7.765856255378417e-10,1.1786244211685908e-10,3.145696775004266e-09,1.5834878890000653e-07,0.0008853113810235,0.0512028769472114,-6135.749558019072,0.1607378796282765
8,CuAlPyC-FF2,21.301425762543037,98.6841682386341,0.1095656932916006,0.8064795078412522,0.7602650949888434,-0.7602650949888434,0.0,"[7416.1605476931045, 27399.16416514311]","[[0.0, 0.0], [0.0, 0.0], [7416.1605476931045, 27399.16416514311]]","[489.0843375618705, 144.29181267271608, 0.0, 0.0, 171.69432768124648, 173.09819720790796]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",49.08659829819199,1065.216552116737,9256.8522251897,-1187.458107954147,417.2738494746128,398.8796075474965,310.2685052983449,17.274904566456637,17.89991817557491,0.5474146683841393,0.8064795078412522,-101262.12212063,352240.473236368,579.7839284122771,-20.48739287312,"(2669.2849351891273, 106250.59566109553, 6306.026083742772)","{'ShellAndTubePackedColumn': 458661365.8255677, 'Material': 71950618.38314365, 'CentrifugalCompressor': 47639987.55562145, 'SteamBoiler': 26378086.432069987, 'ForcedDraughtCoolingTower': 6049298.912888653}","{'Fixed': 515937711.12709326, 'Electricity': 199699637.12437087, 'Heat': 7949022271.114586, 'Makeup-water': 471778454.2289873, 'Adsorbent': 130047283.7222359, 'npv_CC': 26352486300.169136}","{'CAC_CAPEX': -141.13949315988145, 'CAC_FixedOPEX': -57.98228776159281, 'CAC_VariableOPEX': -988.5042679033764}",776.438443931067,18930.12085943157,326.6042149907948,1.2963033635106302,0.0003679019438999,1.295845142143634,9.031942309676438e-05,0.1189980063669724,22.69221590458173,6.971561686735876e-07,0.4127714305074181,0.0011367021624152,2.133942920385085,0.3829061992671336,1.733421147589171,0.0176155735287788,2.3533070154178605e-05,0.0003055221531296,0.0032869617471768,1.1865344341694135e-10,1.979270954628904e-19,4.355663375705723e-11,7.509680946195705e-11,1.3269897429931986e-09,3.2508095990407136e-10,9.65869026139562e-10,1.5123079904246474e-10,4.002212097544137e-09,2.0439535459254165e-07,0.0011445091479376,0.0589956014771904,-1176.9041484097645,-29.240450974356197
9,DAZMID,17.2008548681809,92.38697026999527,0.0197440823326316,0.2359856223597957,4.290149126093669,-4.290149126093669,0.0,"[1066.2973549392832, 5132.797766267626]","[[0.0, 0.0], [0.0, 0.0], [1066.2973549392832, 5132.797766267626]]","[301.19926666169334, 20.478028052645254, 0.0, 0.0, 140.790769084366, 139.9304695246821]",467.915175,"[[0, 101.325, 310.15, 0.0432]]",188.13970815256732,4300.320266908019,51659.295961939606,-338.6154689468846,2143.5465424256604,2124.6836586767563,1108.8042331377287,97.48167740125312,98.11261148963744,0.5613615006853101,0.2359856223597957,-2235618.320491641,356855.19256692246,3337.649133002797,-5.601277204039171,"(14822.501053056114, 607423.3391048005, 35017.272616590795)","{'ShellAndTubePackedColumn': 1990287752.9334414, 'Material': 249112252.198774, 'CentrifugalCompressor': 49493777.088142745, 'SteamBoiler': 150800710.71667233, 'ForcedDraughtCoolingTower': 25641603.034232598}","{'Fixed': 2069968075.7291722, 'Electricity': 1108929227.6551893, 'Heat': 45443713708.10874, 'Makeup-water': 2619779006.1415367, 'Adsorbent': 450258419.849368, 'npv_CC': 26697731486.84579}","{'CAC_CAPEX': -30.291056648683945, 'CAC_FixedOPEX': -12.377003615690567, 'CAC_VariableOPEX': -295.9569687144238}",774.3542315481353,98783.69394897792,1634.050726530705,7.282042875932908,0.0014181423479095,7.280241799974799,0.0003829336101994,0.3434362846996113,125.51310563566676,1.36545308195759e-06,1.9789457774148824,0.0061058473204569,8.961156476270391,1.9867172328929568,6.88769732282806,0.0867419205493661,0.0001034706853503,0.0016479244717215,0.017779156165243,6.262836328855839e-10,9.765628985160176e-19,2.097253029694364e-10,4.1655832893958456e-10,5.724050203034101e-09,1.7453662050225126e-09,3.847982199671566e-09,7.77592446860375e-10,2.077253104978372e-08,1.134860656237558e-06,0.0062735876589766,0.1877584333934831,-338.0041578682648,-580.3789084136492
