,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,801.9908909710841,6215.146260629471,-4055.7344458513007,340.03462681490083,319.9377792504726,251.31626376620017,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,-4188.615908814536,299122.4993020798,452.50618219714,-71.69830344408275,"(1811.7666285162134, 71060.23970981594, 4280.190348531841)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 17641624.814301863, 'ForcedDraughtCoolingTower': 4667720.615567671}","{'Fixed': 389493335.2350539, 'Electricity': 135545341.56283215, 'Heat': 5316294224.324012, 'Makeup-water': 320217766.24775386, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': -529.3513315175064, 'CAC_FixedOPEX': -217.97619127119188, 'CAC_VariableOPEX': -3309.175967937504}",780.3054165280437,12964.368464245244,229.18739787344364,1.0221680376445943,0.0003292690012162,1.0217615183155968,7.72503277818976e-05,0.1143150891089876,18.014316803443425,2.178874030388267e-07,0.3383003347100204,0.000878965908784,1.6866946080338283,0.2920372995897927,1.3802989187878094,0.0143583896562251,1.872091846998598e-05,0.0002374613743339,0.0025435675882782,9.212734091729974e-11,1.6209615445580401e-19,3.267952527965336e-11,5.944781547555022e-11,8.824018432630201e-10,2.5905315695696126e-10,6.037166594232287e-10,1.1039336086819907e-10,3.191168729974123e-09,1.6030688490655425e-07,0.0008911985706098,0.0557014666635532,-3962.7196700814457,-1.981993356526346
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,657.1916011698943,4399.804129037691,1080.5294996386783,248.7640931918492,229.61287759267256,216.7396039502735,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,89384.70470458502,301186.1841986258,331.7321483731241,19.485025895468706,"(1290.384313155837, 49619.14282700898, 3048.455797858336)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 12318594.827937672, 'ForcedDraughtCoolingTower': 3769036.965287066}","{'Fixed': 319936834.74481136, 'Electricity': 96538693.07509616, 'Heat': 3712201978.2702374, 'Makeup-water': 228066891.09750676, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 158.1977119147406, 'CAC_FixedOPEX': 65.27603674457824, 'CAC_VariableOPEX': 857.3226350523655}",782.317015821913,1080.5294996386783,19.485025895468706,0.7107664586934487,0.0002678526375544,0.7104378615511429,6.074450475139438e-05,0.0992327601269785,12.644551673652389,1.599591239843538e-07,0.2533949422235935,0.000619706401282,1.3015385777162405,0.207131652163456,1.0837595467399457,0.0106473788128382,1.4278347410133011e-05,0.0001678508122807,0.0017933014192811,6.537524692525644e-11,1.2031951946792582e-19,2.373915024629633e-11,4.1636096558640594e-11,6.379182064582927e-10,1.8450352219387703e-10,4.3926121774848494e-10,7.726261429543425e-11,2.305579757247399e-09,1.1235754660135393e-07,0.0006252001069547,0.047477259057442,1088.2654450620469,26.51913621034328
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,1302.6260712464043,13025.772634754208,-550.1531469530989,659.4765778411756,639.9326518623286,377.81069429586216,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,-343898.55590515904,304120.09587052785,887.2247629488699,-9.386800948413413,"(3769.032876591477, 151827.2323940541, 8904.114849989179)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 37693076.767368786, 'ForcedDraughtCoolingTower': 7801450.964536639}","{'Fixed': 629980917.805827, 'Electricity': 281976078.25326157, 'Heat': 11358788571.045477, 'Makeup-water': 666151627.7319314, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': -58.01518064895781, 'CAC_FixedOPEX': -23.804687019287748, 'CAC_VariableOPEX': -468.38558792289825}",780.8652259372575,25684.34006479127,438.2303164397037,2.140173316458861,0.0005204098916869,2.1395216925875338,0.0001312139796411,0.1535739915321124,37.20537950837002,4.201187833007902e-07,0.6295116853251296,0.0018148382084897,2.972878492908833,0.5940702622243784,2.3516175495456872,0.027190681138765,3.372483124024407e-05,0.00049081431248,0.0052824646525094,1.8721167847827158e-10,3.0646112406287944e-19,6.402180496456099e-11,1.2318987320724955e-10,1.742032750217517e-09,5.237870404747281e-10,1.179223508843091e-09,2.2908940732640067e-10,6.317195324913551e-09,3.322351113928395e-07,0.0018562047500462,0.0786076474987651,-548.6207590668478,-104.39466792389364
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,588.6765766051252,3361.9343000639824,481.8496455555323,199.0260278867269,183.53114386935255,195.17019253052973,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,137893.75133068426,295344.4245068937,266.3707976284107,8.376961352583281,"(974.4565318152376, 36885.03010341828, 2302.0953012890013)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 9157186.423884925, 'ForcedDraughtCoolingTower': 3194190.079490471}","{'Fixed': 287024619.8695062, 'Electricity': 72902901.15962759, 'Heat': 2759513242.6176243, 'Makeup-water': 172228745.69610512, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 80.02306276201546, 'CAC_FixedOPEX': 33.07401181073322, 'CAC_VariableOPEX': 368.87292688022967}",792.1688849530606,481.8496455555323,8.376961352583281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,700.9756994082456,4595.378909102822,1310.771805081018,262.28633561248523,244.86925044073465,219.53749285038123,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,77122.23270034578,295911.6954939583,345.1666362643443,22.74435838184366,"(1327.1249729943715, 51256.70861343478, 3135.2534102905597)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 12725141.742651645, 'ForcedDraughtCoolingTower': 3876351.4324955274}","{'Fixed': 340969179.9639223, 'Electricity': 99287405.41402277, 'Heat': 3834714674.0882826, 'Makeup-water': 234560559.6742369, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 195.77787698955214, 'CAC_FixedOPEX': 80.74007647311412, 'CAC_VariableOPEX': 1034.533108753593}",787.394110025022,1310.771805081018,22.74435838184366,0.7471879829451867,0.0002632943085756,0.7468640371964459,6.0651440165222446e-05,0.0949436302232025,13.239127035772505,1.684676590732912e-07,0.2585610829607059,0.0006619568383753,1.3118899424850112,0.2168011947692268,1.0841358863652155,0.0109528613505673,1.4466964027100828e-05,0.0001818366094162,0.0019502817272897,6.844103321039452e-11,1.2389792624115685e-19,2.4713961541483457e-11,4.3727071545013146e-11,6.652013699318504e-10,1.932530508586628e-10,4.5673017671402756e-10,8.164338683200537e-11,2.4108484922141974e-09,1.203548750968187e-07,0.0006720017249007,0.0456599340054602,1326.9730762999734,23.955850239417043
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,763.9582130907402,5500.219775068555,6746.248967563017,304.9146049498071,283.7545337128568,239.2347493293596,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,35794.44530744228,301478.0763403373,402.8359113321049,120.55956166139453,"(1601.0098028266746, 62243.663164239115, 3782.2899473403513)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 15452795.50273743, 'ForcedDraughtCoolingTower': 4306440.876852635}","{'Fixed': 371223770.64491284, 'Electricity': 119777799.83027332, 'Heat': 4656691679.230345, 'Makeup-water': 282967891.5224189, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 933.2360461360731, 'CAC_FixedOPEX': 384.42868554259536, 'CAC_VariableOPEX': 5430.086266000975}",777.2642779766081,6639.737391223506,118.65613517697376,0.8898219494736551,0.0003148540654483,0.889434723939663,7.237146854395391e-05,0.1138103525312741,15.769532337123277,1.9729598259547905e-07,0.3079152754548155,0.0007707537600045,1.5635256943459317,0.257465511987186,1.2930499645300046,0.0130102178287395,1.7231467570233424e-05,0.0002082524262327,0.0022265318969907,8.133289433520945e-11,1.4698042577695012e-19,2.9368141469191627e-11,5.196475271903741e-11,7.891143814851137e-10,2.290334464025492e-10,5.423379142154239e-10,9.678983318226772e-11,2.846947921598481e-09,1.4165618378435877e-07,0.0007787927532754,0.0547800062057767,7062.982991022947,9.654250613823828
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,2555.5698299576816,28280.3542807336,-375.1782854911099,1401.8019021514112,1377.7702156338923,673.8332985266601,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,-1108875.4438548074,303564.391144737,1893.9755094347677,-6.272529351817447,"(8122.97816447609, 330934.4813200948, 19190.050304326105)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 82158770.94428426, 'ForcedDraughtCoolingTower': 14843066.00126849}","{'Fixed': 1231851156.8567584, 'Electricity': 607711739.7360684, 'Heat': 24758501784.62956, 'Makeup-water': 1435682654.800889, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': -36.166406158579505, 'CAC_FixedOPEX': -14.795552412665844, 'CAC_VariableOPEX': -324.2369623096671}",769.693085082131,55286.600487871074,924.3254146983232,4.668214845449271,0.0009987785816973,4.666954374907653,0.0002616919599227,0.2656660986923404,80.7327659081309,8.953079098876882e-07,1.3105297357504342,0.0039299189783566,6.04173759787196,1.2829891100706172,4.701603268013442,0.0571452197878932,6.924207928213836e-05,0.0010607762985525,0.0114316111980854,4.04554053160045e-10,6.43678204331222e-19,1.3683994948780015e-10,2.6771410302856663e-10,3.726389776883562e-09,1.1289145068751646e-09,2.512422284306935e-09,4.997420202262646e-10,1.3514864550560532e-08,7.301219969067849e-07,0.0040294707906244,0.1405071079201307,-374.3813431495401,-296.1651992053364
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,623.4600465409163,3721.5088404455328,611.9565803974075,216.2442950665583,198.4801826535811,203.5305948262248,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,124559.69210155348,300074.054986897,285.4498310919417,10.874644072758278,"(1083.0809307750715, 41116.962489961596, 2558.713950029496)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 10207818.44690887, 'ForcedDraughtCoolingTower': 3399860.959244254}","{'Fixed': 303733378.9177243, 'Electricity': 81029516.9319504, 'Heat': 3076120642.1449037, 'Makeup-water': 191427389.63150507, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 97.99682912086043, 'CAC_FixedOPEX': 40.46492133152043, 'CAC_VariableOPEX': 473.65611600791914}",785.9339629394486,611.9565803974075,10.874644072758278,0.5925057655935152,0.0002394942730205,0.5922118041860274,5.44671344672919e-05,0.0904301577521325,10.587043824059732,4.282195343903066e-07,0.2235172835733191,0.0005386614880185,1.2465022500981406,0.1863107770708704,1.0508622995536994,0.00932917347357,1.3380979135236562e-05,0.0001445747169099,0.0015468207474894,5.748760199314023e-11,1.0492877035457285e-19,2.2560838139973978e-11,3.492676374823747e-11,7.037781471186637e-10,1.5718196121620744e-10,5.265953521986206e-10,7.265964295925924e-11,2.0013090257725582e-09,9.576587845224977e-08,0.0005332764005345,0.0428939925115308,615.6580564780867,38.62349602771245
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,810.647696071559,5927.262705172148,-79293.48998456,320.6467708847746,300.5929708382289,246.88788088161897,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,20088.70336515421,306024.7147738363,421.9547897635866,-1392.8586387632376,"(1714.669462012439, 66989.02359037944, 4050.804097345834)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 16630892.686035264, 'ForcedDraughtCoolingTower': 4509460.158360047}","{'Fixed': 393651760.79806495, 'Electricity': 128281123.09705997, 'Heat': 5011710636.791512, 'Makeup-water': 303056484.39309883, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': -10848.648729629458, 'CAC_FixedOPEX': -4466.701754969788, 'CAC_VariableOPEX': -63994.050032652434}",779.2676222282362,11288.636347331823,198.29464763500116,0.943266935288472,0.0003183143470799,0.9428735702589396,7.505068245272132e-05,0.1121701976160724,16.66507716913723,5.778584996034491e-07,0.3249438963740101,0.0008401408538663,1.742320004597747,0.286324435377577,1.442278349532013,0.0137172196881556,1.895998391283095e-05,0.0002256937308821,0.0024219369379588,8.855910996212524e-11,1.542147991134901e-19,3.350261629315439e-11,5.5056493514756085e-11,1.0304520247854084e-09,2.425296055034701e-10,7.594129044895317e-10,1.1233315818296643e-10,3.0322699504875943e-09,1.5022692300537802e-07,0.0008396786728671,0.0542411572662333,-47356.050988611765,5.1444057092147855
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,3177.826914350162,36429.05886640213,-357.52140099704894,1667.531302847799,1644.8649714903268,828.9985732850147,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,-1496873.4239782318,326444.9707895039,2400.755281968767,-5.951277503450933,"(10460.388758559031, 427205.3699864845, 24712.043097373265)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 106059265.86700638, 'ForcedDraughtCoolingTower': 18617553.1026432}","{'Fixed': 1530761636.7011611, 'Electricity': 782582560.4923959, 'Heat': 31960903176.43023, 'Makeup-water': 1848804514.6808558, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': -33.38294707336336, 'CAC_FixedOPEX': -13.648752565774457, 'CAC_VariableOPEX': -310.50529281339794}",768.8321449975614,70803.12796370653,1178.5841671275011,5.601552225857848,0.001152084261655,5.600094515880612,0.0003056257155811,0.2952444537806478,96.7338438892703,1.0638028493868234e-06,1.5508491503319135,0.0047074653998756,7.095823935286167,1.534618963403087,5.493433654235194,0.0677713176478784,8.157782956918239e-05,0.0012705971281434,0.0136994514910866,4.838335400576041e-10,7.632061151230378e-19,1.6294573792114784e-10,3.208878013732501e-10,4.441746424606933e-09,1.3493992101987414e-09,2.990978953485771e-09,5.989698328889032e-10,1.6113447525090253e-08,8.745721809109512e-07,0.0048310674473392,0.1581853136200931,-356.8187015126947,-394.9354700031248
