,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,20.97139427110351,97.41425650666524,0.1020943404331421,1.2629651937141908,0.8969121602666308,-0.8969121602666308,0.0,"[3898.2838052032757, 14690.293352848259]","[[0.0, 0.0], [0.0, 0.0], [3898.2838052032757, 14690.293352848259]]","[291.01326575630554, 77.53557520918015, 0.0, 0.0, 107.65970215563046, 105.81798839149496]",330.824403,"[[0, 101.325, 310.15, 0.0432]]",63.20285472959885,1094.951703702246,7670.604485679922,-1071.747244790218,410.4772812444518,347.5867607957577,334.59781836657163,20.37982813524785,21.00530635520411,0.5485158994655311,1.2629651937141906,-58652.54617768532,344567.4610560758,589.0125704868974,-22.7848355422572,"(4815.851155893111, 83992.59361929576, 5628.091394145492)","{'ShellAndTubePackedColumn': 507880884.88116753, 'Material': 44943976.266141966, 'CentrifugalCompressor': 46695973.782681726, 'SteamBoiler': 22619324.648212243, 'ForcedDraughtCoolingTower': 5586100.5459746495}","{'Fixed': 530221435.0920012, 'Electricity': 360292644.5200557, 'Heat': 6283814157.786668, 'Makeup-water': 421059510.84387136, 'Adsorbent': 81234076.43231195, 'npv_CC': 25778438274.102314}","{'CAC_CAPEX': -149.61917956589392, 'CAC_FixedOPEX': -61.3189905139285, 'CAC_VariableOPEX': -861.373172867218}",638.1859783695086,22162.366362379777,471.16134447625046,1.3203771005886864,0.0002518968137205,1.319814519703732,0.0003106840712339,0.0543972911009637,24.35282366305188,4.12462104196953e-07,2.184743168237149,0.0015257794717063,3.508927449087719,0.4154616271334247,3.0725655249139083,0.0209002970403835,4.367873929919178e-05,0.0003946396220967,0.0043019081446632,1.388435348578778e-10,4.000527012210805e-19,6.131144143675605e-11,7.753209302106904e-11,2.1960496576331933e-09,4.70937864776185e-10,1.6966380669201623e-09,1.3889642368894978e-10,6.0451011101054005e-09,1.9048683583179426e-07,0.0013514776585073,0.1931664328077906,-1134.956072285974,-31.209297055607987
1,AlTCPP,23.87347170379229,98.38035492321292,0.1571806636904106,1.6536646752066746,0.6114759948642031,-0.6114759948642031,0.0,"[5954.650356660189, 18987.890177627898]","[[0.0, 0.0], [0.0, 0.0], [5954.650356660189, 18987.890177627898]]","[342.17964365403066, 119.94112802358045, 0.0, 0.0, 112.45014769811885, 109.78836793233134]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",65.00439486980886,840.5992638159311,4447.048592202973,2287.694852012944,276.7683175983228,213.5973475158306,260.1705417333805,13.894087109330265,14.515552027024322,0.5389554787055855,1.653664675206675,113882.10916402204,340243.59544683824,317.8826556111952,54.85986511179444,"(2848.4110898289646, 47051.96199701255, 3328.823384011329)","{'ShellAndTubePackedColumn': 386043402.54636085, 'Material': 33894647.47640362, 'CentrifugalCompressor': 45306321.5615968, 'SteamBoiler': 12671160.133115262, 'ForcedDraughtCoolingTower': 3992693.4162613987}","{'Fixed': 408039443.4956483, 'Electricity': 213100764.74828443, 'Heat': 3520141148.2612433, 'Makeup-water': 249042285.84764472, 'Adsorbent': 61262945.83816527, 'npv_CC': 25454952990.92549}","{'CAC_CAPEX': 381.9032690264127, 'CAC_FixedOPEX': 156.7145105082186, 'CAC_VariableOPEX': 1750.8708373249094}",639.7483619714994,2287.694852012944,54.85986511179444,0.825274057604939,0.0001859612678159,0.8248072289395191,0.0002808673976039,0.0467189896189055,15.85052642253057,3.203732415209589e-07,1.994315908993123,0.0011020289977603,2.9278614122946096,0.2815233446348664,2.631010258283629,0.0153278093761131,3.667115695458424e-05,0.0002813957006079,0.0030748784056856,9.632419232662643e-11,3.311558684285528e-19,4.697883501619981e-11,4.934535697927076e-11,1.7817601263817166e-09,3.4958033727880115e-10,1.4122857474512603e-09,8.659805568884564e-11,4.614836370439792e-09,1.1511652040448869e-07,0.0009219136812708,0.1810865395836251,2077.0461514212743,17.18960022711896
2,AlTCPP-FF2,23.53995303248974,93.02891190561434,0.038529574379632,0.6061027391023268,2.212851114639621,-2.212851114639621,0.0,"[1459.6588310222196, 4741.113230874441]","[[0.0, 0.0], [0.0, 0.0], [1459.6588310222196, 4741.113230874441]]","[228.8497622896537, 31.268887378334462, 0.0, 0.0, 100.08495736399342, 97.49591754732585]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",94.39059174357789,2082.1200605062377,20386.54476740578,-382.551439221498,1020.3705396138504,954.2268418060244,620.8925736798597,50.28087186580309,50.90278969094658,0.5400402449291107,0.6061027391023267,-781721.0695194036,319919.5299769948,1709.9380606115456,-6.902304633656637,"(12558.408609791479, 229891.0882312715, 14676.50663049247)","{'ShellAndTubePackedColumn': 990348690.0011822, 'Material': 86952709.21584265, 'CentrifugalCompressor': 42685741.65493256, 'SteamBoiler': 61909996.27899734, 'ForcedDraughtCoolingTower': 11764130.54868939}","{'Fixed': 1004422492.2122722, 'Electricity': 939543624.2767539, 'Heat': 17199050686.830788, 'Makeup-water': 1098006814.3812099, 'Adsorbent': 157162841.68113497, 'npv_CC': 23934430230.049026}","{'CAC_CAPEX': -41.28285878849563, 'CAC_FixedOPEX': -16.883556891200186, 'CAC_VariableOPEX': -324.4702131540091}",642.6946754532156,50791.84189684454,916.4277786798716,3.56232191828461,0.0005559875877372,3.5613038348867163,0.000462095810157,0.0916532448026896,62.97460106505213,8.42157792321697e-07,3.165885456137333,0.0034874712152896,6.279971372998667,1.026462959454748,5.206931784317918,0.0465766292259954,7.719203531429408e-05,0.0009210765511667,0.0100133463524214,3.3323804943560596e-10,7.275283513713411e-19,1.2786996717070522e-10,2.0536808153737244e-10,4.149591138784439e-09,1.0312683994957296e-09,3.0504634025068284e-09,3.7584014906288736e-10,1.2695457692846429e-08,5.31668309096735e-07,0.0033294558493473,0.2592596200104243,-391.5844012903815,-238.3700200099237
3,Ca-SQA,41.873222258822544,98.82183568957254,0.1113270146538984,0.7319182847612429,0.7470075968866331,-0.7470075968866331,0.0,"[8079.336751522844, 11215.420889968565]","[[0.0, 0.0], [0.0, 0.0], [8079.336751522844, 11215.420889968565]]","[547.5710350435786, 178.2340322674082, 0.0, 0.0, 191.10812433286648, 178.22887844330396]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432]]",169.173251776577,945.9501550138868,5287.4184889670405,-3936.226780646548,341.3236441362717,275.4335197288607,276.40500330467984,16.973664885698938,17.574033630584065,0.4852396571610337,0.7319182847612428,42315.94905042637,310661.11735109857,423.74499510811273,-88.00950475862588,"(3294.0701548550264, 55835.92687469419, 3849.6471942586277)","{'ShellAndTubePackedColumn': 415719052.4770249, 'Material': 69921850.70023663, 'CentrifugalCompressor': 37244242.019837074, 'SteamBoiler': 15036694.339230437, 'ForcedDraughtCoolingTower': 4383132.512216309}","{'Fixed': 458646316.8119418, 'Electricity': 246442260.9646054, 'Heat': 4177303887.0386806, 'Makeup-water': 288007150.385326, 'Adsorbent': 126380383.66780463, 'npv_CC': 23241772201.164543}","{'CAC_CAPEX': -640.7341901861173, 'CAC_FixedOPEX': -262.8137288477043, 'CAC_VariableOPEX': -3035.289221018299}",648.8125441336799,16308.359653276357,364.636169736809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,27.38288163673953,98.06087655394316,0.0711940359110188,0.6221331183172918,0.9263941870456416,-0.9263941870456416,0.0,"[5317.109205938521, 14100.530166261706]","[[0.0, 0.0], [0.0, 0.0], [5317.109205938521, 14100.530166261706]]","[411.9673454660135, 111.33434722368737, 0.0, 0.0, 152.73678153906081, 147.89621670326537]",647.079615,"[[0, 101.325, 310.15, 0.0432]]",101.68949072158765,1146.9501632657166,7585.394982081901,-1024.4500877847838,429.5924216940687,364.9439044659045,331.7470986949907,21.049724994106803,21.666556823485287,0.5277535138248564,0.6221331183172918,-65661.39181238908,327301.6806190814,595.7769110458185,-21.369208913693804,"(4690.693544014386, 81857.86207878312, 5481.82473109373)","{'ShellAndTubePackedColumn': 500707065.82818043, 'Material': 86666952.57814817, 'CentrifugalCompressor': 42677141.40190271, 'SteamBoiler': 22044438.41514156, 'ForcedDraughtCoolingTower': 5440925.169615043}","{'Fixed': 555199671.4016151, 'Electricity': 350929114.48021626, 'Heat': 6124106549.064065, 'Makeup-water': 410116730.19510573, 'Adsorbent': 156646350.2961704, 'npv_CC': 24486717767.804043}","{'CAC_CAPEX': -149.3955088187061, 'CAC_FixedOPEX': -61.219339254578934, 'CAC_VariableOPEX': -814.3648531571182}",642.7043447029048,21877.29439678375,456.3428516484906,1.3569815403231145,0.0002601877514611,1.356400866966008,0.0003204856056454,0.0564008918842799,25.041916048806623,4.3099925642554113e-07,2.253026144776284,0.0015933434652219,3.6227249981717953,0.428770305833963,3.172328450282057,0.0216262420557723,4.5087335061283234e-05,0.000416890414426,0.0045510197425995,1.432602358081249e-10,4.133740979382553e-19,6.343909428491367e-11,7.982114110983712e-11,2.26997139537698e-09,4.86257230808561e-10,1.753592696028054e-09,1.4369255610479892e-10,6.265486174439187e-09,1.9954591607650406e-07,0.0014181232237566,0.1991382423538836,-1075.5226931865757,-35.00592275766141
5,CAU10,19.431015872491777,98.77901546056044,0.1529786121811628,1.1364940434178692,0.6448142013095283,-0.6448142013095283,0.0,"[8300.216299387484, 34416.11080288197]","[[0.0, 0.0], [0.0, 0.0], [8300.216299387484, 34416.11080288197]]","[484.5806337848927, 158.82418002466736, 0.0, 0.0, 161.18888554189948, 164.56756821832585]",470.093715,"[[0, 101.325, 310.15, 0.0432]]",39.23611389703935,929.7110773716925,5220.591952109587,6125.803295375628,297.01943700738786,235.69933726852776,280.3436225487646,14.651604899579826,15.27927927016558,0.5537044009773577,1.136494043417869,91670.82776349453,358157.96220085246,354.90327804847,141.3243328005407,"(3305.047290660481, 55425.951964191256, 3862.475731013432)","{'ShellAndTubePackedColumn': 412856879.6300037, 'Material': 51915382.50437038, 'CentrifugalCompressor': 48996892.70880249, 'SteamBoiler': 14926287.51407249, 'ForcedDraughtCoolingTower': 4299808.13761151}","{'Fixed': 450845633.4416626, 'Electricity': 247263503.39103782, 'Heat': 4146632061.8699927, 'Makeup-water': 288966903.35174716, 'Adsorbent': 93834558.05955887, 'npv_CC': 26795196774.167778}","{'CAC_CAPEX': 989.1508143666755, 'CAC_FixedOPEX': 405.6674344559772, 'CAC_VariableOPEX': 4735.32962127013}",635.5990591784068,6125.803295375628,141.3243328005407,0.8979316305937373,0.0001938934407149,0.8974586875868206,0.0002790495662017,0.0470529022269013,17.055001330581693,3.312101210395447e-07,1.977123969304216,0.0011527333791237,2.9632719452518184,0.2999783484477679,2.647268818904814,0.0160247778992349,3.705815300485409e-05,0.0002949392398415,0.0032199565479244,1.0212840964127872e-10,3.3581549168365454e-19,4.868622356473556e-11,5.3442185740727637e-11,1.8169913896145602e-09,3.639234847529354e-10,1.431715864574797e-09,9.46796401154773e-11,4.772885185285706e-09,1.2821959067617125e-07,0.0009780747863328,0.1784910475195691,4805.475482131167,10.08221303961542
6,CAU21,15.641986336738048,93.6037464502613,0.0277741408336921,0.3168725203616952,3.097851664936889,-3.097851664936889,0.0,"[1511.4674011560892, 8151.419195325159]","[[0.0, 0.0], [0.0, 0.0], [1511.4674011560892, 8151.419195325159]]","[315.5430041303723, 28.704375555875735, 0.0, 0.0, 143.0709483243089, 143.76768025018768]",471.502395,"[[0, 101.325, 310.15, 0.0432]]",41.30433901393516,3220.180584117668,33618.42056169666,-340.48711885175976,1447.0921913919913,1385.69096500144,936.8286056415228,70.39004187560245,71.02331031215016,0.5668187407665571,0.3168725203616952,-1458759.8770737632,360871.43251641374,2801.860031712185,-5.833060966203482,"(20556.370338814853, 379851.14371737075, 24023.402562427393)","{'ShellAndTubePackedColumn': 1487512234.7364886, 'Material': 187610239.13933665, 'CentrifugalCompressor': 50537372.36044382, 'SteamBoiler': 102294452.01658931, 'ForcedDraughtCoolingTower': 18147139.9730958}","{'Fixed': 1551106854.250169, 'Electricity': 1537902395.933107, 'Heat': 28418148456.774445, 'Makeup-water': 1797284625.1685433, 'Adsorbent': 339096487.9360337, 'npv_CC': 26998202092.26693}","{'CAC_CAPEX': -34.725380602311, 'CAC_FixedOPEX': -14.187976701672302, 'CAC_VariableOPEX': -291.6233919475467}",633.8671005556614,82385.44509301086,1411.3876776776576,5.1218754124070855,0.0007609808180917,5.120571000704205,0.0005434308847897,0.1146108621799357,89.65985484837202,1.132581024907188e-06,3.6732343226085953,0.0048047193797159,8.014461022514983,1.4468585452310117,6.503603930115048,0.0639985471689167,9.802363542876056e-05,0.001273924746208,0.013833994233101,4.666788083913586e-10,9.34519464363946e-19,1.7257466151667702e-10,2.9410414594016206e-10,5.407535709279716e-09,1.4078439605808279e-09,3.903244777162169e-09,5.426236765873663e-10,1.7125103750517923e-08,7.790202366388123e-07,0.0046750205810213,0.2882768045082859,-347.6757937306927,-385.82298100251904
7,CuAlPyC,29.095254512161876,99.00340408684356,0.1430919229320934,0.9411205280670945,0.5847451117619158,-0.5847451117619158,0.0,"[9685.446618023501, 23603.30366245597]","[[0.0, 0.0], [0.0, 0.0], [9685.446618023501, 23603.30366245597]]","[547.3591396561392, 200.730489714173, 0.0, 0.0, 175.8053885867011, 170.82326135526506]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",102.3414561521038,845.0643486651511,4039.9605710251817,1513.0512867466662,267.52226141793125,203.5322706308291,250.61924295698256,13.286702319981362,13.90136238846149,0.5224243860645363,0.9411205280670948,130058.83105563496,330680.15301350865,291.25346320481395,36.4383261616611,"(2555.7934036554143, 41679.92504724075, 2986.852872876894)","{'ShellAndTubePackedColumn': 368985350.55808717, 'Material': 57883061.720685855, 'CentrifugalCompressor': 42682271.48928381, 'SteamBoiler': 11224462.959554413, 'ForcedDraughtCoolingTower': 3692872.5998440837}","{'Fixed': 410184313.65993, 'Electricity': 191208892.1442491, 'Heat': 3118238071.0192738, 'Makeup-water': 223458135.54563, 'Adsorbent': 104620851.3485862, 'npv_CC': 24739474490.141003}","{'CAC_CAPEX': 269.41576899590495, 'CAC_FixedOPEX': 110.5583678534216, 'CAC_VariableOPEX': 1134.3204386684565}",642.6985769544859,1513.0512867466662,36.4383261616611,0.7711731292774497,0.0001820040287793,0.7707086371993048,0.0002824880493654,0.046793849517532,14.948851730284067,6.832404592776504e-07,2.0047517500192797,0.001085787856616,3.036781007515172,0.2831383855939176,2.7385740989913128,0.0150685229299407,3.754758109769671e-05,0.0002751447467136,0.0030119145333944,9.520521978004939e-11,3.28892426648604e-19,4.877528225952239e-11,4.642993719163458e-11,1.959019666721882e-09,3.4053765264693486e-10,1.5892763538481786e-09,9.110281906182036e-11,4.550735123616139e-09,1.0891321575939833e-07,0.0008911354496636,0.1821607933778827,1432.023759019496,22.65463914807255
8,CuAlPyC-FF2,21.301425762543037,98.6841682386341,0.1095656932916006,0.8064795078412522,0.7602650949888434,-0.7602650949888434,0.0,"[7416.1605476931045, 27399.16416514311]","[[0.0, 0.0], [0.0, 0.0], [7416.1605476931045, 27399.16416514311]]","[489.0843375618705, 144.29181267271608, 0.0, 0.0, 171.69432768124648, 173.09819720790796]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",49.08659829819199,1049.633768233613,6435.740325230874,-2369.113782566532,352.9911335711306,291.13017755934743,308.12869590839784,17.274904566456637,17.89991817557491,0.5474146683841393,0.8064795078412522,21239.035719588108,352240.473236368,464.59981283508057,-51.69067147110017,"(4017.663296296265, 68904.62743137678, 4695.281371972928)","{'ShellAndTubePackedColumn': 458661365.8255677, 'Material': 71950618.38314365, 'CentrifugalCompressor': 47639987.55562145, 'SteamBoiler': 18556113.943793826, 'ForcedDraughtCoolingTower': 4937797.334498036}","{'Fixed': 508452288.26145613, 'Electricity': 300577091.55782586, 'Heat': 5155024445.998663, 'Makeup-water': 351272347.8182657, 'Adsorbent': 130047283.7222359, 'npv_CC': 26352486300.169136}","{'CAC_CAPEX': -362.88979104985185, 'CAC_FixedOPEX': -148.7491126694785, 'CAC_VariableOPEX': -1858.9011595000572}",637.1246253082777,19514.75541208819,425.7840287233213,1.092625359327717,0.0002228666779284,1.0921073780969694,0.0002951145528192,0.0508245216137035,20.419474537741948,7.998039821899607e-07,2.078866718770467,0.0013548976055008,3.378722950131269,0.3709298116234226,2.989247242080519,0.0185458964273276,4.155325963126689e-05,0.0003475811218576,0.0037974768725955,1.2254151569392267e-10,3.674291245779753e-19,5.7871766755921576e-11,6.466974857057196e-11,2.229293306539905e-09,4.1517030362678365e-10,1.7778293930680646e-09,1.2677424668945734e-10,5.4228951502763475e-09,1.584714186435379e-07,0.0011683481220758,0.1851509887074498,-2649.2823139850675,-9.140656543060391
9,DAZMID,17.2008548681809,92.38697026999527,0.0197440823326316,0.2359856223597957,4.290149126093669,-4.290149126093669,0.0,"[1066.2973549392832, 5132.797766267626]","[[0.0, 0.0], [0.0, 0.0], [1066.2973549392832, 5132.797766267626]]","[301.19926666169334, 20.478028052645254, 0.0, 0.0, 140.790769084366, 139.9304695246821]",467.915175,"[[0, 101.325, 310.15, 0.0432]]",188.13970815256732,4284.7568663690045,46837.79259788366,-316.53622322048614,2005.121883347078,1943.4010648990884,1239.7341864168125,97.48167740125312,98.11261148963744,0.5613615006853101,0.2359856223597957,-2186006.8559229765,356855.19256692246,3941.8812131688505,-5.288924047428803,"(28585.33288783486, 530924.563088868, 33406.527904820956)","{'ShellAndTubePackedColumn': 1990287752.9334414, 'Material': 249112252.198774, 'CentrifugalCompressor': 49493777.088142745, 'SteamBoiler': 142978738.2283962, 'ForcedDraughtCoolingTower': 24541213.75793225}","{'Fixed': 2062491963.942242, 'Electricity': 2138580460.0794709, 'Heat': 39720541329.82616, 'Makeup-water': 2499272899.730816, 'Adsorbent': 450258419.849368, 'npv_CC': 26697731486.84579}","{'CAC_CAPEX': -30.967877207567042, 'CAC_FixedOPEX': -12.647397054517445, 'CAC_VariableOPEX': -272.9544208731878}",635.040412925346,112676.0031705398,1882.6749642543384,7.169881027137103,0.00103618167854,7.168172254750019,0.0006725907085458,0.1474739904400223,124.87179072068407,1.5212731550263955e-06,4.502742578833692,0.0065769877490269,10.471515762444588,2.0031176648017857,8.381123508215566,0.0872745894272266,0.0001276852146499,0.0017489701141878,0.0189845470761261,6.435396433662444e-10,1.225621059747986e-18,2.327271185935591e-10,4.1081252354706416e-10,7.152949996697901e-09,1.914552685975789e-09,5.1056336499515175e-09,7.596926502376037e-10,2.312143926279632e-08,1.0939328042523157e-06,0.0064683328510527,0.3421978716349367,-322.86496992207344,-570.0166150235234
