,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,20.97139427110351,97.41425650666524,0.1020943404331421,1.2629651937141908,0.8969121602666308,-0.8969121602666308,0.0,"[3898.2838052032757, 14690.293352848259]","[[0.0, 0.0], [0.0, 0.0], [3898.2838052032757, 14690.293352848259]]","[291.01326575630554, 77.53557520918015, 0.0, 0.0, 107.65970215563046, 105.81798839149496]",330.824403,"[[0, 101.325, 310.15, 0.0432]]",63.20285472959885,1110.5271740298572,5224.448031308885,-438.09420955956057,262.6856877201145,253.4068277508625,177.3140709318984,20.37982813524785,21.00530635520411,0.5485158994655311,1.2629651937141906,-186539.2030442536,344567.4610560758,647.9567227972907,-13.72436680356492,"(3771.463541669551, 50629.68257753042, 7238.836105915336)","{'ShellAndTubePackedColumn': 507880884.88116753, 'Material': 44943976.266141966, 'CentrifugalCompressor': 46695973.782681726, 'SteamBoiler': 30441297.1364884, 'ForcedDraughtCoolingTower': 6693409.326788444}","{'Fixed': 537703344.7820674, 'Electricity': 282157925.80638826, 'Heat': 3787804406.0285106, 'Makeup-water': 541565617.254593, 'Adsorbent': 81234076.43231195, 'npv_CC': 25778438274.102314}","{'CAC_CAPEX': -87.9420702294411, 'CAC_FixedOPEX': -36.11838516773459, 'CAC_VariableOPEX': -314.13237374581354}",777.4997969922979,11641.5387918552,364.6995213608935,1.591006792629354,0.0002339791917889,1.5906105407684334,0.0001622726691319,0.0345405111857607,27.80270235549472,3.4546641211069454e-07,1.0938383601914912,0.0014809659061539,2.432987456230906,0.447522392809211,1.965785366505384,0.0196796969163091,2.973612770312973e-05,0.0003930620130497,0.0042680808787521,1.4426211495313878e-10,2.839120477849596e-19,5.2864606162611335e-11,9.139750850661544e-11,1.647222141854656e-09,4.332996805446661e-10,1.184452303559996e-09,1.6820744895644855e-10,5.2516799940643134e-09,2.405905726278704e-07,0.0014462119301169,0.085040710061565,-436.1316368974652,-57.57248729437741
1,AlTCPP,23.87347170379229,98.38035492321292,0.1571806636904106,1.6536646752066746,0.6114759948642031,-0.6114759948642031,0.0,"[5954.650356660189, 18987.890177627898]","[[0.0, 0.0], [0.0, 0.0], [5954.650356660189, 18987.890177627898]]","[342.17964365403066, 119.94112802358045, 0.0, 0.0, 112.45014769811885, 109.78836793233134]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",65.00439486980886,856.1952272841211,3584.297100296835,-1750.1393848098774,189.54284232117683,180.4257093056286,143.67864560033763,13.894087109330265,14.515552027024322,0.5389554787055855,1.653664675206675,-17379.19098681258,340243.59544683824,429.52439062307633,-54.73581658381777,"(2573.5354015833373, 34083.987781079515, 4939.568095781174)","{'ShellAndTubePackedColumn': 386043402.54636085, 'Material': 33894647.47640362, 'CentrifugalCompressor': 45306321.5615968, 'SteamBoiler': 20493132.621391416, 'ForcedDraughtCoolingTower': 5111750.735800678}","{'Fixed': 415531197.3717232, 'Electricity': 192536240.34202272, 'Heat': 2549956320.47457, 'Makeup-water': 369548392.2583664, 'Adsorbent': 61262945.83816527, 'npv_CC': 25454952990.92549}","{'CAC_CAPEX': -383.86389168501523, 'CAC_FixedOPEX': -157.97152349048903, 'CAC_VariableOPEX': -1208.840458831787}",779.0621805942889,8268.11879822111,258.5863948669492,1.0993429515406972,0.0001678159461118,1.0990445656329904,0.0001305699615952,0.0266098668266153,19.34424668035162,2.525261583347491e-07,0.889547722339953,0.0010566459348315,1.8382482159007636,0.3139915432321433,1.5101649749823225,0.0140916976862965,2.255136060151305e-05,0.0002797980430734,0.0030406212579084,1.018116325339905e-10,2.135392825018664e-19,3.842465611814117e-11,6.338697620231005e-11,1.2259580298832642e-09,3.1146384147119213e-10,8.935910521453643e-10,1.1628156977265615e-10,3.811332342263984e-09,1.6585698285044044e-07,0.001017851849925,0.0715867392638234,-1716.1361380656972,-9.77339483169333
2,AlTCPP-FF2,23.53995303248974,93.02891190561434,0.038529574379632,0.6061027391023268,2.212851114639621,-2.212851114639621,0.0,"[1459.6588310222196, 4741.113230874441]","[[0.0, 0.0], [0.0, 0.0], [1459.6588310222196, 4741.113230874441]]","[228.8497622896537, 31.268887378334462, 0.0, 0.0, 100.08495736399342, 97.49591754732585]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432]]",94.39059174357789,2097.686456065671,11687.519062122466,-210.094858224783,600.6759587417591,591.540475494436,306.6351063960208,50.28087186580309,50.90278969094658,0.5400402449291107,0.6061027391023267,-896328.8416066035,319919.5299769948,1551.870431319238,-6.553775292403163,"(8485.725292378818, 115977.56259740608, 16287.251342262314)","{'ShellAndTubePackedColumn': 990348690.0011822, 'Material': 86952709.21584265, 'CentrifugalCompressor': 42685741.65493256, 'SteamBoiler': 69731968.7672735, 'ForcedDraughtCoolingTower': 12866236.844069017}","{'Fixed': 1011900042.7019717, 'Electricity': 634850269.930092, 'Heat': 8676734678.993717, 'Makeup-water': 1218512920.7919316, 'Adsorbent': 157162841.68113497, 'npv_CC': 23934430230.049026}","{'CAC_CAPEX': -36.79067102741934, 'CAC_FixedOPEX': -15.062229607322063, 'CAC_VariableOPEX': -158.26232070158898}",782.0084940760049,24573.64233827197,766.5591217306692,3.8538020473018864,0.0005366895176957,3.852963107607771,0.0003022501764199,0.0702666159819272,66.69027275940593,7.700004734936887e-07,1.9909328047965784,0.0034392050262752,5.121136488444971,1.0609938198533424,4.014880679599522,0.0452619889920988,6.217522693597607e-05,0.0009193773965577,0.0099769128932627,3.3907409947633766e-10,6.024397389857345e-19,1.1877235257812243e-10,2.2030174629577558e-10,3.5584796687121913e-09,9.90730413020356e-10,2.498816717845937e-09,4.0740941761644783e-10,1.1840908114325189e-08,5.856322461483034e-07,0.003431488843225,0.1428034419077644,-209.66522477439764,-265.48609925450904
3,Ca-SQA,41.873222258822544,98.82183568957254,0.1113270146538984,0.7319182847612429,0.7470075968866331,-0.7470075968866331,0.0,"[8079.336751522844, 11215.420889968565]","[[0.0, 0.0], [0.0, 0.0], [8079.336751522844, 11215.420889968565]]","[547.5710350435786, 178.2340322674082, 0.0, 0.0, 191.10812433286648, 178.22887844330396]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432]]",169.173251776577,961.4021470288968,4048.73739849898,-689.1720131636995,231.12956160912944,222.92110159053703,152.00459096850648,16.973664885698938,17.574033630584065,0.4852396571610337,0.7319182847612428,-88182.1305453619,310661.11735109857,514.4215028130888,-20.59959899200987,"(2844.8867601775696, 38018.32229530572, 5460.391906028472)","{'ShellAndTubePackedColumn': 415719052.4770249, 'Material': 69921850.70023663, 'CentrifugalCompressor': 37244242.019837074, 'SteamBoiler': 22858666.82750659, 'ForcedDraughtCoolingTower': 5419652.253556259}","{'Fixed': 466068911.8512059, 'Electricity': 212837095.87456772, 'Heat': 2844299260.210673, 'Makeup-water': 408513256.79604757, 'Adsorbent': 126380383.66780463, 'npv_CC': 23241772201.164543}","{'CAC_CAPEX': -150.52489143143677, 'CAC_FixedOPEX': -61.899111507649735, 'CAC_VariableOPEX': -476.90399106846934}",788.1263627564692,9110.588558086243,272.3187641010483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,27.38288163673953,98.06087655394316,0.0711940359110188,0.6221331183172918,0.9263941870456416,-0.9263941870456416,0.0,"[5317.109205938521, 14100.530166261706]","[[0.0, 0.0], [0.0, 0.0], [5317.109205938521, 14100.530166261706]]","[411.9673454660135, 111.33434722368737, 0.0, 0.0, 152.73678153906081, 147.89621670326537]",647.079615,"[[0, 101.325, 310.15, 0.0432]]",101.68949072158765,1162.542953779986,5231.083775563805,-429.7217535554258,278.4750918448996,269.54745463723964,177.4501518228926,21.049724994106803,21.666556823485287,0.5277535138248564,0.6221331183172918,-193763.342221568,327301.6806190814,653.4507554643299,-13.000974022119896,"(3695.2580054493565, 49673.53713576234, 7092.569442863575)","{'ShellAndTubePackedColumn': 500707065.82818043, 'Material': 86666952.57814817, 'CentrifugalCompressor': 42677141.40190271, 'SteamBoiler': 29866410.903417714, 'ForcedDraughtCoolingTower': 6558163.462350533}","{'Fixed': 562689901.1019068, 'Electricity': 276456691.84315735, 'Heat': 3716271429.072014, 'Makeup-water': 530622836.60582745, 'Adsorbent': 156646350.2961704, 'npv_CC': 24486717767.804043}","{'CAC_CAPEX': -89.24524357495272, 'CAC_FixedOPEX': -36.64531171843438, 'CAC_VariableOPEX': -303.9189943081969}",782.0181633256941,11655.146880956529,352.6194812564064,1.6418874586076184,0.0002413249412077,1.6414818884440026,0.0001642452224083,0.0354966294093994,28.67378234340698,3.604694153315604e-07,1.1045740523483674,0.0015461658996375,2.4900271431344136,0.4625223373161244,2.0071635528432963,0.0203412529749905,3.0409224429345303e-05,0.0004152295835288,0.0045154080246657,1.489646562144657e-10,2.9110680617188164e-19,5.454667253240144e-11,9.441798339095743e-11,1.6921921939019635e-09,4.4663356143147475e-10,1.2143881684611054e-09,1.7454979319038142e-10,5.4302105993628515e-09,2.5229271940666524e-07,0.0015178549067157,0.0853086839750499,-426.6110111149634,-62.94404684004597
5,CAU10,19.431015872491777,98.77901546056044,0.1529786121811628,1.1364940434178692,0.6448142013095283,-0.6448142013095283,0.0,"[8300.216299387484, 34416.11080288197]","[[0.0, 0.0], [0.0, 0.0], [8300.216299387484, 34416.11080288197]]","[484.5806337848927, 158.82418002466736, 0.0, 0.0, 161.18888554189948, 164.56756821832585]",470.093715,"[[0, 101.325, 310.15, 0.0432]]",39.23611389703935,945.330623302718,3998.604067892608,-1197.4894058286254,200.1478010670048,190.7811708452853,153.4052481029713,14.651604899579826,15.27927927016558,0.5537044009773577,1.136494043417869,-38806.655831914686,358157.96220085246,459.4757467867179,-37.23237269198835,"(2851.5704808691007, 37834.69468945579, 5473.220442783275)","{'ShellAndTubePackedColumn': 412856879.6300037, 'Material': 51915382.50437038, 'CentrifugalCompressor': 48996892.70880249, 'SteamBoiler': 22748260.00234865, 'ForcedDraughtCoolingTower': 5432385.077377247}","{'Fixed': 458348715.5058111, 'Electricity': 213337131.13837326, 'Heat': 2830561361.430808, 'Makeup-water': 409473009.7624687, 'Adsorbent': 93834558.05955887, 'npv_CC': 26795196774.167778}","{'CAC_CAPEX': -260.6391376862159, 'CAC_FixedOPEX': -107.16484508004194, 'CAC_VariableOPEX': -830.0425656767177}",774.912877801196,9250.103650046778,287.60447053788096,1.1582921299103666,0.0001766557128163,1.157979204481055,0.0001362697164957,0.0279495987624544,20.37397247588842,2.667566173899146e-07,0.927614145056999,0.0011096202889989,1.9281590880386672,0.3308225507113052,1.5824860432082004,0.0148504941191602,2.364460148522612e-05,0.0002934214940387,0.0031874128762499,1.0734137873033677e-10,2.2408185931103173e-19,4.0559908107482775e-11,6.678147039877215e-11,1.2889894362097839e-09,3.2771350215273737e-10,9.389652721110443e-10,1.2287844238504323e-10,4.009570870499533e-09,1.764221135829893e-07,0.0010692143138277,0.0744682148772869,-1179.417859131912,-15.635940747701138
6,CAU21,15.641986336738048,93.6037464502613,0.0277741408336921,0.3168725203616952,3.097851664936889,-3.097851664936889,0.0,"[1511.4674011560892, 8151.419195325159]","[[0.0, 0.0], [0.0, 0.0], [1511.4674011560892, 8151.419195325159]]","[315.5430041303723, 28.704375555875735, 0.0, 0.0, 143.0709483243089, 143.76768025018768]",471.502395,"[[0, 101.325, 310.15, 0.0432]]",41.30433901393516,3235.7172832355013,18491.280287138685,-190.6985069802354,835.6554699319181,826.0669935930457,450.9292425425475,70.39004187560245,71.02331031215016,0.5668187407665571,0.3168725203616952,-1559648.5777239215,360871.43251641374,2427.498595165367,-5.902999815838109,"(13355.496719620513, 183144.6141817418, 25634.14727419724)","{'ShellAndTubePackedColumn': 1487512234.7364886, 'Material': 187610239.13933665, 'CentrifugalCompressor': 50537372.36044382, 'SteamBoiler': 110116424.50486547, 'ForcedDraughtCoolingTower': 19232221.55755699}","{'Fixed': 1558570139.6108234, 'Electricity': 999176900.6612138, 'Heat': 13701764285.716974, 'Makeup-water': 1917790731.5792654, 'Adsorbent': 339096487.9360337, 'npv_CC': 26998202092.26693}","{'CAC_CAPEX': -32.68246950455589, 'CAC_FixedOPEX': -13.362066925784843, 'CAC_VariableOPEX': -144.66791518244085}",773.1809191784507,39003.05595292464,1207.3247753906112,5.380278204843693,0.0007438727043958,5.379132607511657,0.0004017246276403,0.0956512005840581,92.95386993213016,1.068612161085287e-06,2.6316159896166598,0.004761930466236,6.987131402649594,1.4774708232697191,5.446827486297423,0.0628330930824452,8.471094330279795e-05,0.001272418412664,0.0138016952643292,4.718525800388776e-10,8.236259813281067e-19,1.6450944958212303e-10,3.0734312963312863e-10,4.883503916707928e-09,1.371906248667803e-09,3.414199282927726e-09,5.706104459665499e-10,1.6367528961080623e-08,8.268603143553008e-07,0.004765474810706,0.1850361420326669,-190.26951125682493,-410.0104504677947
7,CuAlPyC,29.095254512161876,99.00340408684356,0.1430919229320934,0.9411205280670945,0.5847451117619158,-0.5847451117619158,0.0,"[9685.446618023501, 23603.30366245597]","[[0.0, 0.0], [0.0, 0.0], [9685.446618023501, 23603.30366245597]]","[547.3591396561392, 200.730489714173, 0.0, 0.0, 175.8053885867011, 170.82326135526506]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",102.3414561521038,860.7006723546721,3407.68173369462,-3093.8228968259978,187.556689197269,178.7192011180016,140.2085188077534,13.286702319981362,13.90136238846149,0.5224243860645363,0.9411205280670948,-1704.7307902806206,330680.15301350865,407.8602206110394,-93.73286134178127,"(2395.367351333422, 31677.854482791103, 4597.597584646739)","{'ShellAndTubePackedColumn': 368985350.55808717, 'Material': 57883061.720685855, 'CentrifugalCompressor': 42682271.48928381, 'SteamBoiler': 19046435.44783057, 'ForcedDraughtCoolingTower': 4835068.082197603}","{'Fixed': 417695455.17083824, 'Electricity': 179206792.25163227, 'Heat': 2369944085.6597, 'Makeup-water': 343964241.9563517, 'Adsorbent': 104620851.3485862, 'npv_CC': 24739474490.141003}","{'CAC_CAPEX': -707.211695938446, 'CAC_FixedOPEX': -291.0463593723455, 'CAC_VariableOPEX': -2096.4938703071543}",782.0123955772752,7849.151375733468,237.8039862291624,1.0531682385183463,0.000163333934911,1.052877060650289,0.0001278439331461,0.0261031604097062,18.54361219949774,6.134312030719609e-07,0.8680330914102069,0.0010390922918457,1.9156556293851477,0.3165455814227167,1.585313385716852,0.0137966622455775,2.30194328723938e-05,0.0002735008840902,0.0029766666510426,1.008513596192215e-10,2.0787430773463653e-19,3.9973712047801665e-11,6.087764736354552e-11,1.3871434838116894e-09,3.013188079076033e-10,1.055580737519881e-09,1.2164479584916019e-10,3.723993340019024e-09,1.611211188340671e-07,0.0009898482001751,0.0694942017424356,-2933.684602138733,-5.263836602617517
8,CuAlPyC-FF2,21.301425762543037,98.6841682386341,0.1095656932916006,0.8064795078412522,0.7602650949888434,-0.7602650949888434,0.0,"[7416.1605476931045, 27399.16416514311]","[[0.0, 0.0], [0.0, 0.0], [7416.1605476931045, 27399.16416514311]]","[489.0843375618705, 144.29181267271608, 0.0, 0.0, 171.69432768124648, 173.09819720790796]",586.449045,"[[0, 101.325, 310.15, 0.0432]]",49.08659829819199,1065.216552116737,4636.14876746059,-638.1927005587997,232.79761848203395,223.53738726904584,166.51007299966707,17.274904566456637,17.89991817557491,0.5474146683841393,0.8064795078412522,-108016.41917049658,352240.473236368,547.710433306013,-19.55789660968877,"(3285.4656632187666, 43871.78828386895, 6306.026083742772)","{'ShellAndTubePackedColumn': 458661365.8255677, 'Material': 71950618.38314365, 'CentrifugalCompressor': 47639987.55562145, 'SteamBoiler': 26378086.432069987, 'ForcedDraughtCoolingTower': 6049298.912888653}","{'Fixed': 515937711.12709326, 'Electricity': 245798525.3203704, 'Heat': 3282219925.1894755, 'Makeup-water': 471778454.2289873, 'Adsorbent': 130047283.7222359, 'npv_CC': 26352486300.169136}","{'CAC_CAPEX': -135.96424770979965, 'CAC_FixedOPEX': -55.856216849721264, 'CAC_VariableOPEX': -446.53401888253615}",776.438443931067,10561.1389056983,323.6540665810673,1.3573598034308123,0.00020533936359,1.3570045280043823,0.0001499360628399,0.0314002908395768,23.79420297563164,7.34267687306647e-07,1.011725579342346,0.0013110602339421,2.3262206406122097,0.4022921832637949,1.9065765721653156,0.0173518851830978,2.7914366195752145e-05,0.0003460378785759,0.0037643864811866,1.278420604291673e-10,2.5381841507548202e-19,4.9608932682286106e-11,7.823312749306278e-11,1.69242114664298e-09,3.7835200884010677e-10,1.276800801865675e-09,1.5544677674989518e-10,4.646757482192134e-09,2.0748372327345202e-07,0.0012610187545661,0.0793806170655759,-631.5063851922961,-35.26575496349152
9,DAZMID,17.2008548681809,92.38697026999527,0.0197440823326316,0.2359856223597957,4.290149126093669,-4.290149126093669,0.0,"[1066.2973549392832, 5132.797766267626]","[[0.0, 0.0], [0.0, 0.0], [1066.2973549392832, 5132.797766267626]]","[301.19926666169334, 20.478028052645254, 0.0, 0.0, 140.790769084366, 139.9304695246821]",467.915175,"[[0, 101.325, 310.15, 0.0432]]",188.13970815256732,4300.320266908019,25235.670457714703,-177.9998486268439,1144.446832688584,1134.9506726646655,588.308204680391,97.48167740125312,98.11261148963744,0.5613615006853101,0.2359856223597957,-2273124.8353692694,356855.19256692246,3345.202682732007,-5.504762378294695,"(18244.143819509252, 250810.3410251674, 35017.272616590795)","{'ShellAndTubePackedColumn': 1990287752.9334414, 'Material': 249112252.198774, 'CentrifugalCompressor': 49493777.088142745, 'SteamBoiler': 150800710.71667233, 'ForcedDraughtCoolingTower': 25641603.034232598}","{'Fixed': 2069968075.7291722, 'Electricity': 1364915694.2260597, 'Heat': 18764101737.312965, 'Makeup-water': 2619779006.1415367, 'Adsorbent': 450258419.849368, 'npv_CC': 26697731486.84579}","{'CAC_CAPEX': -29.823908498157653, 'CAC_FixedOPEX': -12.186125680490564, 'CAC_VariableOPEX': -135.99922704546302}",774.3542315481353,52740.952166709,1631.0486302231386,7.431192023348403,0.0010188810209464,7.429643852714368,0.0005292896130896,0.1283009466322102,128.20287841890644,1.4565843512631488e-06,3.4494013138283712,0.0065337172661394,9.43262402341562,2.034074469854712,7.312453534866219,0.0860960186946788,0.0001142226943385,0.0017474468275573,0.0189518845974169,6.487716434179256e-10,1.1134795219101325e-18,2.245711364333017e-10,4.242005058711442e-10,6.623020468955182e-09,1.878210511756245e-09,4.611084175133421e-09,7.879943977467932e-10,2.235533831990113e-08,1.142311299891013e-06,0.0065598051012075,0.2377952833090479,-177.63305784429394,-594.1583462617197
