,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,801.9908909710841,3125.28525945985,-2068.1048026219323,191.98254892297493,181.86517328791635,134.49332767403078,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,-8773.068408699764,299122.4993020798,417.8108710942381,-63.98853984989276,"(2229.996868930704, 29341.38648873037, 4280.190348531841)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 17641624.814301863, 'ForcedDraughtCoolingTower': 4667720.615567671}","{'Fixed': 389493335.2350539, 'Electricity': 166834780.22266352, 'Heat': 2195143784.494558, 'Makeup-water': 320217766.24775386, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': -478.0886495915163, 'CAC_FixedOPEX': -196.86725379380619, 'CAC_VariableOPEX': -1393.8434693714635}",780.3054165280437,7331.207482893439,226.832441746772,1.0827211567588182,0.0001679049107539,1.082416839443199,0.0001364124048653,0.0273760819085554,19.107147557817655,2.547157925924787e-07,0.9327540485749288,0.0010519472289955,1.8774179361566168,0.3112514414625312,1.5520735754733908,0.0140929192206939,2.3065738445149328e-05,0.000277653603709,0.0030172077123332,1.012393148340352e-10,2.177084594386581e-19,3.868501847698042e-11,6.255429613934632e-11,1.2451387520857799e-09,3.1201609149152506e-10,9.122721450986424e-10,1.1457889283173491e-10,3.830226388729087e-09,1.6336405522684116e-07,0.0010067798332296,0.0759340004995936,-2019.9350775244093,-7.395908729888437
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,657.1916011698943,2242.687497797845,636.6839953578861,143.52238932706263,133.88107411761544,116.15372657524216,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,86119.5459931097,301186.1841986258,295.4396577383645,19.599066118462908,"(1588.2580751647076, 20488.172469894907, 3048.455797858336)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 12318594.827937672, 'ForcedDraughtCoolingTower': 3769036.965287066}","{'Fixed': 319936834.74481136, 'Electricity': 118823793.25224455, 'Heat': 1532800246.8532429, 'Makeup-water': 228066891.09750676, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 161.56807141341235, 'CAC_FixedOPEX': 66.66672506626713, 'CAC_VariableOPEX': 408.7217688442614}",782.317015821913,636.6839953578861,19.599066118462908,0.7646747631710136,0.0001242703233762,0.764437103774754,0.0001133890728833,0.0218741810888052,13.617537349419935,1.9272946952649854e-07,0.7823614698840597,0.0007736363498451,1.471269195933436,0.2242369513528915,1.2366212501154463,0.0104109944650965,1.814458040116798e-05,0.0002036127904102,0.0022147350351933,7.348576121861821e-11,1.698202429446567e-19,2.908348444429476e-11,4.440227660450321e-11,9.60629742455313e-10,2.3155934478158154e-10,7.138329834917246e-10,8.0985209228052e-11,2.8742028271757046e-09,1.1508248853260333e-07,0.0007280404000208,0.0654812559561558,641.921949697871,21.576411853924316
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,1302.6260712464043,6422.217607166091,-293.75996382715334,359.5362964112376,349.6972786310676,200.9256803767433,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,-353435.62978723535,304120.09587052785,858.8968043399068,-9.137258595873485,"(4639.080652776612, 62690.775085759466, 8904.114849989179)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 37693076.767368786, 'ForcedDraughtCoolingTower': 7801450.964536639}","{'Fixed': 629980917.805827, 'Electricity': 347067752.3920984, 'Heat': 4690141869.318526, 'Makeup-water': 666151627.7319314, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': -56.82079275069076, 'CAC_FixedOPEX': -23.314607874832255, 'CAC_VariableOPEX': -213.67579493525898}",780.8652259372575,14002.69973634422,435.5470597982148,2.2156909469373334,0.000318976052409,2.2151669072347056,0.000205063650218,0.0450444962434092,38.568072998002,4.660928181210793e-07,1.371535520629808,0.0020307566461656,3.21091191934412,0.6180355367565112,2.5660161063513027,0.0268602762363031,3.91485662615572e-05,0.0005409938601415,0.0058737918259196,1.9858003847342768e-10,3.758171198592212e-19,7.151710268635973e-11,1.2706293541125083e-10,2.194994969815782e-09,5.900912443250366e-10,1.5643595567014743e-09,2.343190452251244e-10,7.115080682277793e-09,3.360393608769766e-07,0.0020005088153117,0.1038617086898444,-292.8595851570223,-111.30908860222029
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,588.6765766051252,1758.6768875871255,289.9843545346289,118.77260634301834,110.97200171968804,105.18068869904717,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,135428.00899224164,295344.4245068937,229.52051242074023,8.313701469376579,"(1199.4011704679137, 15230.147383859046, 2302.0953012890013)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 9157186.423884925, 'ForcedDraughtCoolingTower': 3194190.079490471}","{'Fixed': 287024619.8695062, 'Electricity': 89731888.62357898, 'Heat': 1139426842.676816, 'Makeup-water': 172228745.69610512, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 80.6996742056252, 'CAC_FixedOPEX': 33.35365937863221, 'CAC_VariableOPEX': 176.05239448166841}",792.1688849530606,289.9843545346289,8.313701469376579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,700.9756994082456,2366.9706477246286,787.5616709735876,152.9790889468727,144.2107887154317,118.38997105957768,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,73764.10627040546,295911.6954939583,309.2262286700259,23.11250159240644,"(1633.4799901248477, 21164.33752135622, 3135.2534102905597)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 12725141.742651645, 'ForcedDraughtCoolingTower': 3876351.4324955274}","{'Fixed': 340969179.9639223, 'Electricity': 122207021.430157, 'Heat': 1583386796.693955, 'Makeup-water': 234560559.6742369, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 201.6808629182372, 'CAC_FixedOPEX': 83.17450646403277, 'CAC_VariableOPEX': 502.9939787327683}",787.394110025022,787.5616709735876,23.11250159240644,0.7981686955415376,0.0001276812793445,0.7979306242689873,0.0001103899932058,0.021865715915568,14.15937540818918,1.9942889605858773e-07,0.7582612625552183,0.0008074394008552,1.4723475028561008,0.2329895689249298,1.2286246444135769,0.010733289517593,1.812289652867693e-05,0.0002156382238076,0.0023485864746571,7.611139575045287e-11,1.7052343300999598e-19,2.9764116373738535e-11,4.634727920619092e-11,9.699812917211118e-10,2.375843862874204e-10,7.161540389998107e-10,8.515806318565558e-11,2.9486486562285093e-09,1.2293888601080446e-07,0.000769202364178,0.0626672592947985,800.3020565071428,19.125042233197345
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,763.9582130907402,2793.965936298432,4538.455100155842,174.42120263433355,163.76856726540342,128.5515652222395,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,31743.287019511685,301478.0763403373,367.3187337441424,139.83313685838132,"(1970.5887012361964, 25700.94591341508, 3782.2899473403513)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 15452795.50273743, 'ForcedDraughtCoolingTower': 4306440.876852635}","{'Fixed': 371223770.64491284, 'Electricity': 147427441.4733364, 'Heat': 1922788198.8171566, 'Makeup-water': 282967891.5224189, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 1097.5293273056745, 'CAC_FixedOPEX': 452.10615083662327, 'CAC_VariableOPEX': 2990.5860798248536}",777.2642779766081,4225.950912419376,130.20465318095768,0.9510285865361384,0.0001518411180682,0.9507446007692384,0.0001321446488315,0.0259782819720181,16.874226148769726,2.345043142262781e-07,0.9084849590321844,0.0009455418060376,1.7562611599264202,0.2768912111222592,1.466626640996695,0.0127433078074646,2.1622319750900003e-05,0.0002488637619312,0.0027051015673223,9.054268155419923e-11,2.0312157907727716e-19,3.5436140631563484e-11,5.510654071951418e-11,1.1555286182445243e-09,2.8246758706436886e-10,8.540868423109028e-10,1.0101696222506359e-10,3.492797555041565e-09,1.447502342836963e-07,0.0008955780626114,0.0752206424634024,4845.475699306952,4.291075184528323
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,2555.5698299576816,13885.136499915903,-199.1365014975068,756.0205861765941,743.9222907169586,359.0706860930686,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,-1129429.6404971988,303564.391144737,1879.5500257524911,-6.151003855786303,"(9998.095553845804, 136645.70452496118, 19190.050304326105)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 82158770.94428426, 'ForcedDraughtCoolingTower': 14843066.00126849}","{'Fixed': 1231851156.8567584, 'Electricity': 747996599.2826185, 'Heat': 10222999144.265314, 'Makeup-water': 1435682654.800889, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': -35.593570651854805, 'CAC_FixedOPEX': -14.561207376379436, 'CAC_VariableOPEX': -149.00203201753274}",769.693085082131,29817.200307976756,921.0050025179024,4.790982851386683,0.0006705570529537,4.789930279563983,0.0003820147697469,0.0888133998267574,82.94723406735996,9.7022354845796e-07,2.5194460955695064,0.0042816974793566,6.429428042149962,1.3219640694800172,5.050851849262762,0.0566121234071764,7.808100548974633e-05,0.0011425761962987,0.0123955212852338,4.2305454907679396e-10,7.56375262945488e-19,1.4904751341269995e-10,2.7400703490771874e-10,4.465081154306674e-09,1.237710417193442e-09,3.139833770517218e-09,5.082828438115074e-10,1.481575392037916e-08,7.362732377997515e-07,0.0042647153716571,0.1816466439624927,-198.65384649041843,-306.0772715528987
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,623.4600465409163,1934.2499142972736,365.3496699650361,127.81152571797412,118.86852122290011,109.69785012501605,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,121819.08908871608,300074.054986897,248.6569324104587,10.804432731182608,"(1333.1005475053917, 16977.548803482885, 2558.713950029496)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 10207818.44690887, 'ForcedDraughtCoolingTower': 3399860.959244254}","{'Fixed': 303733378.9177243, 'Electricity': 99734461.49474645, 'Heat': 1270156771.4338472, 'Makeup-water': 191427389.63150507, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 98.98622757054044, 'CAC_FixedOPEX': 40.87346445267033, 'CAC_VariableOPEX': 225.65289238577878}",785.9339629394486,365.3496699650361,10.804432731182608,0.6418783050856164,0.000108102093135,0.6416675506173901,0.0001026523750912,0.0196309838964057,11.478228861564371,4.582139033364911e-07,0.7076339950116219,0.0006795843625313,1.4019170168793418,0.2019845616672198,1.190817225249462,0.0091152299626593,1.692171747400421e-05,0.0001773162620691,0.0019326429265263,6.491592078781619e-11,1.501448045053854e-19,2.745300037847217e-11,3.7462920259199195e-11,9.99079021954891e-10,2.0017109451250176e-10,7.779145694850383e-10,7.606537129122881e-11,2.522129005532934e-09,9.826603521478365e-08,0.0006274294202596,0.0593711121969836,368.0896993739674,33.94382225090747
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,810.647696071559,3014.543218223158,-15419.281098162955,183.46737789564543,173.37167371463843,132.94781015434162,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,15749.943296459503,306024.7147738363,386.89798664016695,-467.4023604088558,"(2110.4856836171793, 27660.346203370416, 4050.804097345834)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 16630892.686035264, 'ForcedDraughtCoolingTower': 4509460.158360047}","{'Fixed': 393651760.79806495, 'Electricity': 157893681.41946536, 'Heat': 2069378591.520116, 'Makeup-water': 303056484.39309883, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': -3686.9755415884547, 'CAC_FixedOPEX': -1518.034230121702, 'CAC_VariableOPEX': -10219.678612313908}",779.2676222282362,6641.596462408433,201.3257196395915,1.0029448758404824,0.0001594737387101,1.0026520999612143,0.000133302140558,0.0265799242019401,17.742248133543814,6.141192951003207e-07,0.9101916432667212,0.001010504320787,1.9301996987276848,0.305270688718502,1.6114701213414009,0.0134588886677809,2.3240575354500216e-05,0.0002652772120573,0.0028883813729163,9.753865156636016e-11,2.0886107355166288e-19,3.941664028326907e-11,5.8122011074230025e-11,1.3874656012181242e-09,2.945247114450168e-10,1.063231326853104e-09,1.164510574008395e-10,3.661943309935514e-09,1.532478858254235e-07,0.0009535069102704,0.0741601192078767,-12037.55912238207,-0.2670336278101343
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,3177.826914350162,17845.740788186617,-188.97321740681176,895.37002880182,883.9590954264703,441.0714486810717,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,-1523342.150490333,326444.9707895039,2394.006519962309,-5.841717704885888,"(12875.076630861908, 176396.78562895412, 24712.043097373265)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 106059265.86700638, 'ForcedDraughtCoolingTower': 18617553.1026432}","{'Fixed': 1530761636.7011611, 'Electricity': 963234796.419145, 'Heat': 13196932862.287954, 'Makeup-water': 1848804514.6808558, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': -32.8620256294302, 'CAC_FixedOPEX': -13.435771732212197, 'CAC_VariableOPEX': -142.6907682050751}",768.8321449975614,38017.276566777065,1175.225784157494,5.73483203940574,0.0007956034694376,5.733600130683884,0.0004363052524187,0.1031635684958434,99.13775280095096,1.145168899330602e-06,2.863815204919744,0.0050895170249238,7.516852845814554,1.5769332651891137,5.872726469456806,0.0671931111686254,9.117777098104424e-05,0.0013594452948818,0.0147464109145624,5.039217862303427e-10,8.855533985806494e-19,1.7620315271328868e-10,3.2771863263150077e-10,5.244159424592097e-09,1.467715450082759e-09,3.67237713987912e-09,6.082498491199363e-10,1.7526449905712046e-08,8.81243256314451e-07,0.0050865835551202,0.2028647866628556,-188.549352438433,-406.3744199969288
