,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,786.392016390985,1254.9118636504863,865.1759579397565,121.73658584736197,97.46524138721536,95.22064131471367,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,125473.4514556632,299122.4993020798,375.5075274698763,48.20549912126947,"(643.1225956029509, 7638.8191653345375, 2669.445636761997)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 9819652.326025704, 'ForcedDraughtCoolingTower': 3546994.380965253}","{'Fixed': 382000182.9629148, 'Electricity': 48114514.59350967, 'Heat': 571489912.9972095, 'Makeup-water': 199711659.8370323, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': 352.8424227947588, 'CAC_FixedOPEX': 144.84378367834657, 'CAC_VariableOPEX': 369.23260421838495}",640.9915979052544,865.1759579397565,48.20549912126947,0.8989091691990245,0.0002260138915952,0.89849173546491,0.0001914198425197,0.0753230623980218,14.47903198840741,3.133165108813964e-07,1.1951490982088333,0.0016863509684451,8.839340499737647,2.595185958135769,6.216476860929251,0.0276776806726228,0.0002591647382621,0.0003198971926811,0.00290297770952,1.4349192602773027e-10,8.62853984545338e-19,6.029878227908107e-11,8.319314288579524e-11,3.369578742923355e-09,6.705950344339892e-10,2.6671102736006904e-09,1.3344071779843896e-10,8.866802493012598e-09,8.305620011600997e-08,0.0010341926105174,0.1245709733470641,881.7843585634746,9.038299116300836
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,641.4636179385379,750.6127909049932,196.8675414396712,90.68989760165312,66.84140470477541,80.89118730222592,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,221243.0700286475,301186.1841986258,225.3916498653149,11.677896354938332,"(346.3732217202694, 3497.97363155522, 1437.711086088492)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 4496622.339661514, 'ForcedDraughtCoolingTower': 2574293.8671742757}","{'Fixed': 312381663.20464414, 'Electricity': 25913534.28600386, 'Heat': 261697076.87751997, 'Makeup-water': 107560784.68678513, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 90.40107059167542, 'CAC_FixedOPEX': 37.155680974660704, 'CAC_VariableOPEX': 69.83385971750114}",643.0031971991236,196.8675414396712,11.677896354938332,0.5778420412136749,0.0001815295230121,0.5774909832808683,0.0001695284097944,0.0695341228608041,9.461651832705344,2.572234145754428e-07,1.00186447851044,0.0013035195348656,6.489505010747717,1.5955295444505049,4.875546942876812,0.0184285234203988,0.0002446898064553,0.0002478737634232,0.0021618588620462,1.0392674363194802e-10,7.453831506529557e-19,4.9537225245347675e-11,5.4389517641217155e-11,2.6198219924470233e-09,4.4705453910120264e-10,2.151366156393e-09,8.436649212450846e-11,6.9524245668347795e-09,5.002372473820757e-08,0.0007202462764556,0.1182819130498684,197.80548287314835,38.70666023298267
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,1287.0438115715165,3126.9297069603904,-226.742881333456,227.8599739964372,204.0581859235261,146.42595811693,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,-222480.6453512201,304120.09587052785,917.5434114147498,-11.49231644808051,"(1757.1180582925172, 23237.071566381037, 7293.370138219334)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 29871104.279092636, 'ForcedDraughtCoolingTower': 6690249.9101544535}","{'Fixed': 622495746.7514415, 'Electricity': 131456868.46684752, 'Heat': 1738456130.5031824, 'Makeup-water': 545645521.3212098, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': -74.3580705794856, 'CAC_FixedOPEX': -30.456086741905523, 'CAC_VariableOPEX': -122.1680328508408}",641.5514073144682,10801.441060963236,547.464061662535,2.0456482141081844,0.0003762243391294,2.045013549298364,0.0002584404706918,0.0909592533578378,32.36452854139397,5.005894948481701e-07,1.8293961297003285,0.0030113566930146,17.038518967744274,6.183486432906895,10.794469614219564,0.0605629206178089,0.0002920833767261,0.0005719964889204,0.0055371669553291,2.8196126637973057e-10,1.236602363143255e-18,9.611836430293838e-11,1.8584290084018983e-10,5.938102003480377e-09,1.4653007118812111e-09,4.403705521378886e-09,3.0911595098355773e-10,1.5412151177316495e-08,2.019898150013597e-07,0.0021550591580859,0.1378461577257776,-225.7386838819937,-95.73991646819508
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,573.3202664680368,491.8039980161648,116.12319602814094,75.85706730750634,52.81816604267794,72.7284472973994,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,271083.6295254848,295344.4245068937,145.6479345760981,6.8313304604873455,"(166.5601200039843, 1038.67809801348, 691.3505895191569)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 1735146.7292687648, 'ForcedDraughtCoolingTower': 1812591.1304402633}","{'Fixed': 279647987.0486875, 'Electricity': 12461013.466825942, 'Heat': 77707567.49414876, 'Makeup-water': 51722639.28538349, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 58.783250437556184, 'CAC_FixedOPEX': 24.184818631963918, 'CAC_VariableOPEX': 33.51146995955813}",652.8550663302713,116.12319602814094,6.8313304604873455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,685.3316194503418,846.19137796441,226.24234349980065,98.29856726666,74.68403078255014,83.2944055272014,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,208826.1647515561,295911.6954939583,242.78543700508547,12.565079012946224,"(367.2844944694914, 3814.231097768551, 1524.5086985207158)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 4903169.254375488, 'ForcedDraughtCoolingTower': 2729709.349138425}","{'Fixed': 333454312.61370695, 'Electricity': 27477988.31815929, 'Heat': 285357533.80667144, 'Makeup-water': 114054453.2635153, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 102.41235357322756, 'CAC_FixedOPEX': 42.080686849609584, 'CAC_VariableOPEX': 82.29845140551332}",648.0802914022327,226.24234349980065,12.565079012946224,0.6051639639787041,0.000185029801894,0.6048085534841996,0.0001703806926104,0.0697101334521051,9.889645826659072,2.648213802527749e-07,1.0131173308890091,0.0013443160926985,6.672500338582129,1.682629353700892,4.970592062889136,0.0192789219921017,0.0002439305489107,0.0002593574703187,0.0022913560089849,1.0729451828418308e-10,7.512516433838533e-19,5.0399411685899855e-11,5.6895105847031574e-11,2.677343047404385e-09,4.667600236029643e-10,2.187771434331808e-09,8.918599634438372e-11,7.1102856748537074e-09,5.5427612649200435e-08,0.0007622506316357,0.1178279042723228,228.1757697129333,37.41369994291241
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,748.3253195714854,1078.978108843775,411.4319243322256,111.38474792012258,86.91557210530246,91.0489569554,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,166343.92025954448,301478.0763403373,313.2323181597688,23.126033385863643,"(523.1684770562881, 5936.103963238225, 2171.545235570508)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 7630823.014461274, 'ForcedDraughtCoolingTower': 3166211.881190206}","{'Fixed': 363714276.8674992, 'Electricity': 39140278.22423085, 'Heat': 444103134.7997403, 'Makeup-water': 162461785.1116973, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 175.09898255742405, 'CAC_FixedOPEX': 71.89392682176582, 'CAC_VariableOPEX': 165.35223437616273}",637.9504593538188,411.4319243322256,23.126033385863643,0.7694964302244995,0.0002101048032923,0.7691014417910332,0.0001848836301741,0.0741132832732955,12.466769447996263,2.95085960971619e-07,1.1287100261240464,0.0015424664014497,7.93257288733231,2.188652750134938,5.719901981037591,0.024018156159782,0.0002570708715729,0.0002927066560677,0.0026158912888842,1.2831871379451138e-10,8.24936364816048e-19,5.668229943147391e-11,7.163641353810109e-11,3.092421239246428e-09,5.816493072478963e-10,2.4827546869842363e-09,1.1394800661134756e-10,8.162936080282798e-09,7.12109196013802e-08,0.0009099741844779,0.1238581458320377,415.9699537706797,20.1976638664668
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,2540.003838085936,7429.306310408264,-134.34856374583933,484.111970184039,458.8529427305104,271.5397027212595,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,-1005798.1665622464,303564.391144737,2176.418009085593,-6.296154903987471,"(4235.204675415628, 57827.44051236575, 17579.305592556266)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 74336798.45600809, 'ForcedDraughtCoolingTower': 13741191.136518914}","{'Fixed': 1224373800.284466, 'Electricity': 316852212.24537957, 'Heat': 4326296804.777927, 'Makeup-water': 1315176548.3901677, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': -38.94149433290462, 'CAC_FixedOPEX': -15.91739570454712, 'CAC_VariableOPEX': -79.56049883661842}",630.3792664593417,23312.81552139619,1092.5393891703554,4.652997259338728,0.0007306804366403,4.651840633798184,0.0004259451039056,0.1338023104430384,73.0772247342683,9.52775108153005e-07,3.3469010419930063,0.0060840570750317,35.940611895286665,14.315687318045656,21.489218611551,0.135705965690001,0.0003918630421689,0.0011533810916803,0.0115577357526776,6.013893031813868e-10,2.1486541419516743e-18,1.8181855161635135e-10,4.195707494163816e-10,1.1933648879707162e-08,3.2788180154220553e-09,8.499124358194155e-09,7.09831176459248e-10,3.0723833344757194e-08,4.800248258057256e-07,0.0047080573375764,0.1801912457233255,-133.93509260003862,-294.9365581328418
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,608.0147609055365,592.3724195436987,139.0891310482274,81.75949224909597,58.285606648524464,76.35330139246796,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,257291.37346088944,300074.054986897,168.38208492283096,8.157021023703155,"(228.38466109420747, 1855.976691357638, 947.9692382596517)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 2635373.1532306136, 'ForcedDraughtCoolingTower': 2117658.7322469354}","{'Fixed': 296314005.38803184, 'Electricity': 17086348.985839587, 'Heat': 138852869.12959325, 'Makeup-water': 70921283.22078343, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 67.85485852408134, 'CAC_FixedOPEX': 27.90113767718572, 'CAC_VariableOPEX': 43.736616256825485}",646.6201443166593,139.0891310482274,8.157021023703155,0.4510195866192949,0.000164896418267,0.4506935637289959,0.000161126472032,0.0671432556869802,7.479544695727959,5.255697818939999e-07,0.9261201969184734,0.0011662916695963,5.655648665667314,1.2130957767669868,4.427589837792863,0.0149630511074625,0.0002383722850539,0.0002220721133888,0.0019044056512292,9.052464933801468e-11,6.966768526266869e-19,4.7445078368855775e-11,4.307957027248205e-11,2.4765209481753863e-09,3.5991169772914357e-10,2.0913731769304507e-09,7.303498603112668e-11,6.216351283298875e-09,3.8741661839877575e-08,0.0006047821539801,0.1150674350579489,139.82384474749682,52.03397011588287
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,795.0433849728608,1215.9158241968648,543.8872190937872,117.8629451722558,94.008765594683,94.77338796442795,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,150159.58096123862,306024.7147738363,337.5416152475434,29.571351239233618,"(587.858881209681, 6852.559153668005, 2440.0593855759894)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 8808920.197759107, 'ForcedDraughtCoolingTower': 3385617.2150694085}","{'Fixed': 386155997.0130579, 'Electricity': 43980020.15831783, 'Heat': 512666728.95069814, 'Makeup-water': 182550377.98237714, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': 226.19311709698013, 'CAC_FixedOPEX': 92.84610467675913, 'CAC_VariableOPEX': 225.96018885787402}",639.9538036054469,543.8872190937872,29.571351239233618,0.8235913676624081,0.0002165284320437,0.823188558857057,0.0001862803733077,0.0736891843602677,13.301443709926655,6.725539735635022e-07,1.148995960066159,0.0016157618674743,8.40375219530748,2.377297106313631,6.000711947048131,0.0257431419457135,0.0002544659888182,0.000307440469222,0.0027878643504022,1.3695216031168208e-10,8.310319158289522e-19,6.044885916635303e-11,7.650330031429716e-11,3.3865333924850486e-09,6.19499486291367e-10,2.7274057110953082e-09,1.3226622040110462e-10,8.436600874345058e-09,7.752210310714895e-08,0.0009745432175112,0.1218988738207551,554.0246418455405,15.996272719740338
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,3162.2630459765664,9691.244072374464,-125.3429239333284,572.9073370758778,549.3174152824018,335.50014855540576,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,-1403641.9844583613,326444.9707895039,2811.375827871875,-5.807803260546743,"(5565.562667748816, 76419.90719194345, 23101.298385603423)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 98237293.37873021, 'ForcedDraughtCoolingTower': 17516895.620858815}","{'Fixed': 1523285300.182906, 'Electricity': 416381492.4702426, 'Heat': 5717271893.353683, 'Makeup-water': 1728298408.270134, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': -35.12143546184709, 'CAC_FixedOPEX': -14.349946800384751, 'CAC_VariableOPEX': -75.92368820851628}",629.5183263747721,29708.860104810807,1376.569248341656,5.619492598212535,0.0008519284900857,5.61816528334424,0.0004753863782127,0.1438300041979056,88.12765432225135,1.1031596411469154e-06,3.8459791271803394,0.0071648937946701,42.728314774533445,17.350633545147364,25.21433463948117,0.1633465899049069,0.0004077119564032,0.0013581710344848,0.0137180801412323,7.16424861348207e-10,2.4347758087752826e-18,2.104735888642768e-10,5.059512700491546e-10,1.4030749473118845e-08,3.946347524651046e-09,9.897252809705871e-09,8.583243936684997e-10,3.605226572366204e-08,5.818645836061657e-07,0.0056411415389799,0.1855556545552435,-124.9916693210064,-396.4752307273679
