,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,alpha,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,purity_c,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,cool_bd,power_bd,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery,OPEX_system,nCAC_system,CCC_system,LCOC_system,nCAC_system_bd
0,010_bcg+N131+14_charge,90.31160513224675,99.48541627796403,1.088026808772835,7.437292779268978,0.1243600787515258,-0.124547022194155,0.0,"[44096.27250170307, 4936.837371287996, 15381.205900899993]","[[0.0, 0.0], [0.0, 0.0], [46019.357526586406, 4936.837371287996]]","[526.6562212664705, 242.11621434800747, 0.0, 0.0, 192.45131592074839, 92.0886909977147]",351.14625,"[0, 101.325, 310.15, 0.18553602190805857]",235.08395472930707,0.0418416383420006,85.84390518668002,888.8172734356704,118.0687072349336,114.31626281422024,114.31626281422024,,2.8257360576854658,4.4242802290378,0.3887987621198245,89.8712528678135,7.437292779268977,98205.01425848372,101428.60509996532,73.96100083441212,0.0029622739762856,"[9246.902451606642, 0, 448.81621710211067]","{'ShellAndTubePackedColumn': 23918506.802745003, 'Material': 9296456.344779639, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 172272.777345948, 'IntercooledCondensingCompressor': 8919838.749457035, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1522989.2337093665, 'ForcedDraughtCoolingTower': 2047240.2537582307}","{'Fixed': 45481439.622916214, 'Electricity': 789459650.6069847, 'Makeup-water': 38317944.392137244, 'Adsorbent': 16802897.918722726, 'npv_CC': 8659525885.866753}","{'CAC_CAPEX': 12.059115677503234, 'CAC_FixedOPEX': 5.424589487591951, 'CAC_VariableOPEX': 100.58500206983842}",,118.0687072349336,0.0029622739762856,"{'process': 79.733697762945, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.8618954207503, 'IntercooledCondensingCompressor': 24.13286035519822}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.954254474001957}",0.033621798291735,0.0007805849036342,0.0326690301063803,0.0001721832817203,0.3869748384498146,2.8790702705150606,1.5834523857365094e-07,0.3925661139490916,0.000161760164607,2.6303160889514405,0.0970682936032795,2.4432475665674462,0.0900002287807162,2.484468779147926e-05,4.705658810872434e-05,0.0003950777142579,2.835377582602707e-11,1.4967183350293817e-19,1.9193526363069407e-11,9.160249313285828e-12,5.823287434969927e-10,1.3810059774480528e-10,4.124716506588307e-10,3.448197274160107e-11,1.743907754922081e-09,7.609066304104679e-09,9.297214584784163e-05,0.1710799842430461,118.2935031151816,96.14053767889703,888.8172734356704,118.2935031151816,114.31626281422024,114.31626281422024,"{'CAPEX': 12.082075525097252, 'FixedOPEX': 5.4349175871994175, 'VariableOPEX': 100.77651000288493}"
1,014_dmp+N156+20_charge,92.34800358809892,99.53776925192896,0.8304600888575511,5.387117085744031,0.1338584107266014,-0.1339905033177799,0.0,"[44808.54894306459, 3848.808719244936, 15524.903732884963]","[[0.0, 0.0], [0.0, 0.0], [46449.29013060446, 3848.808719244936]]","[554.9640507719303, 246.52968039864376, 0.0, 0.0, 201.35569474449142, 107.07867562879511]",467.4852,"[0, 101.325, 310.15, 0.18553602190805857]",470.02202692742014,0.0353551532022724,92.37580934767834,953.12187731879,127.20740010632674,122.88109292310364,122.88109292310364,,3.0415591692441546,4.626385408809794,0.3787635817166155,92.02815482832068,5.387117085744032,97779.27309672702,101221.81386118314,76.4712671183549,0.0031772490634787,"[9874.962487476949, 0, 468.3617134676547]","{'ShellAndTubePackedColumn': 24752915.463430997, 'Material': 12808243.057904305, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 171815.00874854164, 'IntercooledCondensingCompressor': 8745545.548847195, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1612699.4103246178, 'ForcedDraughtCoolingTower': 1530769.3481841492}","{'Fixed': 48619137.298094764, 'Electricity': 843080639.8056146, 'Makeup-water': 39986652.46085938, 'Adsorbent': 23150283.574558806, 'npv_CC': 8641870964.127073}","{'CAC_CAPEX': 13.033201511981638, 'CAC_FixedOPEX': 5.824072628543546, 'CAC_VariableOPEX': 108.35012596580157}",,127.20740010632674,0.0031772490634787,"{'process': 85.60442968257172, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.833645191378072, 'IntercooledCondensingCompressor': 23.71886491438249}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.649760212753968}",0.0364187323996947,0.0008415401766004,0.0353822212380479,0.0001949709850462,0.4148809263037479,3.082659992908513,1.7125823675343117e-07,0.4311017482469949,0.00017421669954,2.850861614684528,0.1079920927693244,2.622606015602164,0.1202635063130404,2.667331582158316e-05,5.120354846629959e-05,0.0004250737270003,3.140741175920784e-11,1.6075051963641657e-19,2.06853475990124e-11,1.0722063999444922e-11,6.561909773610154e-10,1.6330575840911174e-10,4.5124772043664357e-10,4.456917451178996e-11,1.8990452295670367e-09,8.451287349273698e-09,9.880783152641068e-05,0.1831076007683205,127.52540657948416,95.91272986988038,953.12187731879,127.52540657948416,122.88109292310364,122.88109292310364,"{'CAPEX': 13.065783283508376, 'FixedOPEX': 5.83863225946492, 'VariableOPEX': 108.62099103651087}"
2,022_dmp+N276+33_charge,89.56454437189602,99.49381789525351,1.2212046450080998,7.143652248555413,0.119726342017126,-0.1199570548492447,0.0,"[55098.27878276581, 6761.3712831002495, 19395.872677186577]","[[0.0, 0.0], [0.0, 0.0], [58030.92455965175, 6761.3712831002495]]","[615.4186358830926, 304.8604339575016, 0.0, 0.0, 196.11771186482858, 114.44049006076246]",390.9087,"[0, 101.325, 310.15, 0.18553602190805857]",129.10241491966028,0.0507419320170948,83.21317583277835,853.2925887277519,114.20609979229198,110.70445234109948,110.70445234109948,,2.7204473098520348,4.331414401089747,0.3929443720962944,89.0100261010484,7.143652248555411,97565.25950584284,100651.30649897478,77.73313970611541,0.0028544753968221,"[8852.356552002548, 0, 436.02823597249056]","{'ShellAndTubePackedColumn': 22197307.561970867, 'Material': 9604416.19407374, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 172443.06832212416, 'IntercooledCondensingCompressor': 8938046.662473293, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1468007.6122275149, 'ForcedDraughtCoolingTower': 1988908.872815945}","{'Fixed': 44217729.50496196, 'Electricity': 755775065.9928421, 'Makeup-water': 37226163.09916984, 'Adsorbent': 17359520.541240588, 'npv_CC': 8593163567.764362}","{'CAC_CAPEX': 11.766208804042055, 'CAC_FixedOPEX': 5.308448063506432, 'CAC_VariableOPEX': 97.13144292474351}",,114.20609979229198,0.0028544753968221,"{'process': 76.20672803649325, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.8724068393510835, 'IntercooledCondensingCompressor': 24.09763706735425}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.986212342475367}",0.0325463762392036,0.0007547263861262,0.031622781604838,0.0001688682482391,0.3737126903389151,2.7777554892312737,1.589813683375207e-07,0.3816235298776528,0.0001603216262373,2.550005320633569,0.0943723186730202,2.362905531893888,0.0927274700666613,2.402467296360774e-05,4.502035144254004e-05,0.0003758130565698,2.813079980827054e-11,1.4458310079139262e-19,1.9065207615495495e-11,9.065592048191947e-12,5.70748753448523e-10,1.3557596046520998e-10,4.0259344929868207e-10,3.5212799046320894e-11,1.6983092826887611e-09,7.450729236666979e-09,8.860053776444086e-05,0.1650609927161371,114.42869159015238,96.2556546645598,853.2925887277519,114.42869159015238,110.70445234109948,110.70445234109948,"{'CAPEX': 11.789141568372996, 'FixedOPEX': 5.318794419790846, 'VariableOPEX': 97.32075560198855}"
3,025_dmp+N520+36_charge,20.844224725709346,25.146200752772568,0.0028561259363568,0.0463950894370608,21.9888556252349,-21.988863171039213,0.0,"[162.50242512505986, 617.181959232579, 54.3208050041536]","[[0.0, 0.0], [0.0, 0.0], [162.52357342618097, 617.181959232579]]","[221.61943204858358, 2.7185904237189997, 0.0, 0.0, 109.50224161114132, 109.39860001372325]",492.9561000000001,"[0, 101.325, 310.15, 0.18553602190805857]",398.84167802900384,0.0001305363937133,2594.0886242595493,47753.41296987683,-4037.2316064069314,17877.47901615703,17877.47901615703,,499.6354363172498,503.6903751685479,1.8360190276842392,20.828086161749297,0.0463950894370608,-147408.02389351133,33288.82850669401,1522.151084277779,-0.1106237652917842,"[518330.7217392082, 0, 16769.790036775124]","{'ShellAndTubePackedColumn': 896385400.7116044, 'Material': 489100779.9170327, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 42754.71292172357, 'IntercooledCondensingCompressor': 13132252.0164395, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 71972351.24860431, 'ForcedDraughtCoolingTower': 13198582.79157829}","{'Fixed': 1250354234.7269607, 'Electricity': 44252785473.258995, 'Makeup-water': 1431730533.8161867, 'Adsorbent': 884026146.3206363, 'npv_CC': 2842053007.43108}","{'CAC_CAPEX': -242.7746535195623, 'CAC_FixedOPEX': -99.35238183969575, 'CAC_VariableOPEX': -3695.1045710476737}",,5080874300315.512,1630.6830637321525,"{'process': 4620.078906401934, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 0.19495931411797918, 'IntercooledCondensingCompressor': 24.375128727146727}","{'process': 0.0, 'IntercooledCondensingCompressor': 16.97747848544659}",5.704719092859745,0.1331017822853272,5.542575224141653,0.0290420864327501,66.06261268614821,491.3985506414495,2.69596600306063e-05,66.68697198876922,0.0272418482947641,447.599683453494,16.378771547780214,416.658986189453,14.561925716260712,0.0042372728619981,0.0078886071117583,0.0655493311050216,4.7794461091982816e-09,2.5525947929258906e-17,3.262722856173024e-09,1.5167232274993092e-09,9.785852048068713e-08,2.2630371119269396e-08,7.00653999165558e-08,5.625927771289402e-09,2.9595095242963524e-07,1.2783139643058157e-06,0.0154780100611867,29.21830862366219,-3799.903599619649,-118.30581079445318,47753.41296987683,-3799.903599619649,17877.47901615703,17877.47901615703,"{'CAPEX': -228.50318479162638, 'FixedOPEX': -93.5119681477577, 'VariableOPEX': -3477.8884466802647}"
4,027_dmp+N520+39_charge,39.900066846999,84.18858418613814,0.024526285823225,0.50909033578631,2.404343287559963,-2.404367886857486,0.0,"[1149.6987088612236, 1732.4365560877654, 384.4207380679073]","[[0.0, 0.0], [0.0, 0.0], [1150.1565936872423, 1732.4365560877654]]","[173.43607363364242, 4.211722071156599, 0.0, 0.0, 85.79199620485105, 83.43235535763478]",406.1421,"[0, 101.325, 310.15, 0.18553602190805857]",293.565217908141,0.0004062540747748,1280.0907664163676,24045.18755025935,4925.910865140753,1968.790407730953,1968.790407730953,,54.6319975905358,56.64286615226362,0.9340036720158524,39.86373980312122,0.50909033578631,60760.27387188167,152022.12082055758,294.7436682082452,0.1355465612090765,"[261785.51738904885, 0, 8612.266669590957]","{'ShellAndTubePackedColumn': 452804201.8588438, 'Material': 203555946.49191526, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 151599.2122494826, 'IntercooledCondensingCompressor': 30508361.907808125, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 35874839.77538237, 'ForcedDraughtCoolingTower': 7633662.66734689}","{'Fixed': 619155747.7127253, 'Electricity': 22350090116.503677, 'Makeup-water': 735277253.2739469, 'Adsorbent': 367917587.39052224, 'npv_CC': 12978976583.30738}","{'CAC_CAPEX': 290.643557157743, 'CAC_FixedOPEX': 119.35662343759165, 'CAC_VariableOPEX': 4515.910684545419}",,4925.910865140753,0.1355465612090765,"{'process': 2307.043642002699, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.594807405639355, 'IntercooledCondensingCompressor': 65.37335680262065}","{'process': 0.0, 'IntercooledCondensingCompressor': 39.44144974278844}",0.62562809735974,0.014657350787787,0.6078666083615374,0.0031041382104139,7.298140833735895,54.32165857438534,2.9647408628867973e-06,7.267322261497147,0.0029955952354577,49.14341820282818,1.773607646240472,45.999966884540775,1.3698436720469285,0.0004676984464439,0.0008647525840059,0.007194833428447,5.176711981738273e-10,2.8167417208156053e-18,3.592454772336037e-10,1.5842571812348203e-10,1.0503762084518591e-08,2.359956564596472e-09,7.649968106215867e-09,5.448770422379586e-10,3.238875007518189e-08,1.3660668484544586e-07,0.0017114122707396,3.23106055219283,5258.916050713334,31.51784044235424,24045.18755025935,5258.916050713334,1968.790407730953,1968.790407730953,"{'CAPEX': 310.2918647168006, 'FixedOPEX': 127.42546098364336, 'VariableOPEX': 4821.19872501289}"
5,030_dmp+N520+42_charge,46.281357530912125,83.13762420912002,0.0660335243644422,2.1600950436278965,0.90274024987912,-0.9027491435505236,0.0,"[1863.856320820915, 2164.0742731289333, 623.1650053942502]","[[0.0, 0.0], [0.0, 0.0], [1864.4606519191805, 2164.0742731289333]]","[110.05103151051087, 9.180388039047699, 0.0, 0.0, 51.00539998960387, 49.865243481859295]",244.5534,"[0, 101.325, 310.15, 0.18553602190805857]",192.29370411397616,0.0003392886841501,355.24260919053745,6770.283482742845,964.877332848026,744.7015358287812,744.7015358287812,,20.51225522222596,22.48380520791364,0.7979156997499813,46.24223404615947,2.1600950436278965,87265.78221643821,113066.4717915295,138.46118976156717,0.0266812578985572,"[74009.5351478914, 0, 2542.547736244937]","{'ShellAndTubePackedColumn': 131814685.84576032, 'Material': 35680656.76273935, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 137548.62245349068, 'IntercooledCondensingCompressor': 19384489.566801045, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 9925470.026274703, 'ForcedDraughtCoolingTower': 3378380.293496414}","{'Fixed': 174891128.80608115, 'Electricity': 6318606913.527887, 'Makeup-water': 217071485.0743074, 'Adsorbent': 64491071.76133406, 'npv_CC': 9653115492.788214}","{'CAC_CAPEX': 56.15917553046368, 'CAC_FixedOPEX': 23.47416392606717, 'CAC_VariableOPEX': 885.2439933914951}",,964.877332848026,0.0266812578985572,"{'process': 644.2419931601262, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 5.7436111716842, 'IntercooledCondensingCompressor': 43.24728118045881}","{'process': 0.0, 'IntercooledCondensingCompressor': 25.060420266055495}",0.2343040808827851,0.0055290025027847,0.2276680162813368,0.001107062098663,2.7687608286402554,20.628719762338516,1.115567291179885e-06,2.689183483858597,0.0011202061395102,18.428719011620213,0.646655541179936,17.42411644194313,0.3579470284971467,0.0001771656051287,0.0003198325507003,0.0026593212592955,1.8946969545838488e-10,1.066508494299738e-18,1.3552267720050354e-10,5.3947017191372844e-11,3.756226321628313e-09,7.795209716318883e-10,2.8410648158571313e-09,1.5489233016659119e-10,1.2077226565747322e-08,4.9285680354114603e-08,0.0006417661694464,1.2279641822327605,972.5813044522448,63.658139582023765,6770.283482742845,972.5813044522448,744.7015358287812,744.7015358287812,"{'CAPEX': 56.60757314420592, 'FixedOPEX': 23.66159116283871, 'VariableOPEX': 892.3121401452}"
6,036_bcu+N124+36_charge,86.76889141046765,99.23245933793388,0.2245193498392904,1.81876816450636,0.2969230892243018,-0.2972799104797737,0.0,"[19462.78303793204, 3079.544846089736, 6750.006369052387]","[[0.0, 0.0], [0.0, 0.0], [20195.487818414895, 3079.544846089736]]","[444.4049963018908, 103.57847451688416, 0.0, 0.0, 196.93947972583933, 143.88704205916727]",751.0639500000001,"[0, 101.325, 310.15, 0.18553602190805857]",662.0692741125931,0.036475824913426,182.56892786716924,2143.607229382511,285.2807020661504,264.0035164589679,264.0035164589679,,6.746749342744157,8.352427152303367,0.4066393240588575,86.28087367984901,1.8187681645063605,96840.09254166413,104644.85457992268,82.0088883156597,0.0072731650573203,"[22388.037680554182, 0, 874.1702783605467]","{'ShellAndTubePackedColumn': 47178066.93669882, 'Material': 39220433.973555095, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 173648.11925467383, 'IntercooledCondensingCompressor': 9407762.659335481, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 3057094.2657633047, 'ForcedDraughtCoolingTower': 2291909.947097712}","{'Fixed': 91944748.22568314, 'Electricity': 1911391679.2747598, 'Makeup-water': 74632793.64492698, 'Adsorbent': 70889048.89611164, 'npv_CC': 8934115047.372492}","{'CAC_CAPEX': 26.00826175509449, 'CAC_FixedOPEX': 11.120852234261918, 'CAC_VariableOPEX': 248.15158807679396}",,285.2807020661504,0.0072731650573203,"{'process': 196.35028891095695, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.9468252700965785, 'IntercooledCondensingCompressor': 25.56743728548567}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.820198036838113}",0.0814302040097725,0.0018667374635833,0.0790992607671254,0.0004642057790635,0.9124787496200212,6.767172765739342,3.809697940056462e-07,0.9826466077980184,0.0003895884860336,6.374645291465271,0.2522730350699199,5.776752276060368,0.3456199803349821,5.878250590699912e-05,0.0001166342211983,0.0009616848359727,7.236638544785924e-11,3.544636956032051e-19,4.5787378550333565e-11,2.6579006543061987e-11,1.5445974032251195e-09,4.0448006000278775e-10,1.0227372419890143e-09,1.2385754584469148e-10,4.275818043279253e-09,1.9121425703879465e-08,0.0002190328835495,0.4016668973590254,287.4071383703287,91.15193992965445,2143.607229382511,287.4071383703287,264.0035164589679,264.0035164589679,"{'CAPEX': 26.20212314005345, 'FixedOPEX': 11.203745271726662, 'VariableOPEX': 250.00126995854862}"
7,041_dmp+N520+52_charge,87.16398104621963,98.98222291510878,0.3289243660938885,3.012974409917589,0.2173323778549865,-0.2174308124621366,0.0,"[23152.95301585265, 3469.642796026155, 7874.832201030632]","[[0.0, 0.0], [0.0, 0.0], [23560.87818185305, 3469.642796026155]]","[393.00955031024876, 123.90161732041716, 0.0, 0.0, 151.33488101835292, 117.77305197147868]",609.8683500000001,"[0, 101.325, 310.15, 0.18553602190805857]",348.9086131117792,0.0174180319707046,132.34653062575512,1564.937238443229,204.93690423626444,193.68180058478865,193.68180058478865,,4.938272336047573,6.5300292870737575,0.4034100688121432,86.90891877580478,3.012974409917589,98351.39074781032,104066.71915652577,73.0979319114958,0.0052442049736013,"[16394.476493176073, 0, 679.6611614010903]","{'ShellAndTubePackedColumn': 34878423.64935509, 'Material': 23544435.362047922, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 169959.13819585042, 'IntercooledCondensingCompressor': 9319192.71189284, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2403473.205517209, 'ForcedDraughtCoolingTower': 2221369.6019708486}","{'Fixed': 67819669.96639138, 'Electricity': 1399687922.7311857, 'Makeup-water': 58026465.16700459, 'Adsorbent': 42555435.02493954, 'npv_CC': 8884756400.86929}","{'CAC_CAPEX': 18.564006574681766, 'CAC_FixedOPEX': 8.076840463367313, 'CAC_VariableOPEX': 178.29605719821535}",,204.93690423626444,0.0052442049736013,"{'process': 142.81737815259578, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.719204927892567, 'IntercooledCondensingCompressor': 25.305801485942286}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.66154509333001}",0.0591693056054943,0.0013637584359076,0.0574824546969392,0.0003230924726473,0.6705695390310266,4.980331936987232,2.77883652940788e-07,0.7041942419551815,0.0002827532079173,4.637039578296895,0.1821183230044848,4.242286505221365,0.212634750071046,4.313598674669217e-05,8.310679191366689e-05,0.0006911825339059,5.146388050485293e-11,2.6004345998028005e-19,3.3498642257397053e-11,1.7965237987412432e-11,1.0820200407191144e-09,2.726705735942388e-10,7.361860886097904e-10,7.791748698819651e-11,3.0917812241145063e-09,1.4120570917857281e-08,0.000159711214831,0.2957047577871564,205.86254438630667,93.12551351793354,1564.937238443229,205.86254438630667,193.68180058478865,193.68180058478865,"{'CAPEX': 18.64785477125335, 'FixedOPEX': 8.113321193113087, 'VariableOPEX': 179.10136842194024}"
8,045_dmp+N520+57_charge,89.45030031101007,99.1139425822181,0.4994259191438286,4.031782474825048,0.1749490346568127,-0.1750320278841249,0.0,"[30950.53587006611, 3728.9319481463413, 10567.591047528253]","[[0.0, 0.0], [0.0, 0.0], [31617.400725550455, 3728.9319481463413]]","[445.9400575661764, 168.03092539823845, 0.0, 0.0, 160.84376932633793, 117.06536284159999]",536.9363999999999,"[0, 101.325, 310.15, 0.18553602190805857]",294.9159083316799,0.0211422779823658,109.80784739429356,1247.9961344916687,164.56116907489775,157.26874516449652,157.26874516449652,,3.9752290320976855,5.562136298233168,0.3920832875397178,89.18752323063283,4.031782474825048,98033.94038517438,102579.69453453147,74.96969112515113,0.0041845470744267,"[13039.54107549571, 0, 570.6482496707865]","{'ShellAndTubePackedColumn': 29182197.08719069, 'Material': 17343476.991350666, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 169852.0507824062, 'IntercooledCondensingCompressor': 9043677.931842845, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2011341.7181680156, 'ForcedDraughtCoolingTower': 1865077.405075516}","{'Fixed': 56992877.00773079, 'Electricity': 1113258368.9955182, 'Makeup-water': 48719424.71138665, 'Adsorbent': 31347500.87919543, 'npv_CC': 8757800812.80427}","{'CAC_CAPEX': 15.452422599730939, 'CAC_FixedOPEX': 6.809425296896081, 'CAC_VariableOPEX': 142.2993211782707}",,164.56116907489775,0.0041845470744267,"{'process': 113.32533987450981, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.712605940191017, 'IntercooledCondensingCompressor': 24.527638343506272}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.17216218553309}",0.0475514371779167,0.0010974398058802,0.0461983748149479,0.0002556225570884,0.5407024689843588,4.018240694529557,2.23352208281568e-07,0.563177275771674,0.0002290144619229,3.719722839647043,0.1408819752064113,3.4186108498776457,0.1602300145629858,3.476461697903093e-05,6.754779795912019e-05,0.0005645174685958,4.103650330944543e-11,2.095333698900788e-19,2.696013634973809e-11,1.407636675017398e-11,8.607155124909226e-10,2.1596482634269755e-10,5.893652637054118e-10,5.9216704241281e-11,2.480224579976446e-09,1.1097808430098564e-08,0.0001309311624874,0.2385887487350256,165.1204603621983,94.4009321680641,1247.9961344916687,165.1204603621983,157.26874516449652,157.26874516449652,"{'CAPEX': 15.504940489439065, 'FixedOPEX': 6.832568376527126, 'VariableOPEX': 142.7829514962321}"
9,047_dmp+N520+61_charge,72.12623922048815,97.44156882290606,0.2062162974208899,2.490707896004149,0.3359171606660077,-0.3359504539723946,0.0,"[12141.283608446005, 4707.095201766978, 4070.9946929631906]","[[0.0, 0.0], [0.0, 0.0], [12180.095726652155, 4707.095201766978]]","[298.0593075190408, 61.45843391091161, 0.0, 0.0, 125.53166992937585, 111.06920367875333]",510.11415000000005,"[0, 101.325, 310.15, 0.18553602190805857]",83.33872487773326,0.003809077768341,182.19153221721464,2526.894777125811,319.0745840411879,291.8676694028088,291.8676694028088,,7.632780895755212,9.293689250018964,0.4954907456380821,72.01365283104076,2.4907078960041487,100637.38446150874,110018.46025546808,59.61919539204754,0.0084122520544445,"[26909.709396618306, 0, 1022.6315108500116]","{'ShellAndTubePackedColumn': 53327585.24648063, 'Material': 30110268.261352167, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 165511.86250222783, 'IntercooledCondensingCompressor': 11712905.220797604, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 3511841.661449436, 'ForcedDraughtCoolingTower': 2284446.015145107}","{'Fixed': 91763460.59128158, 'Electricity': 2297432020.0056434, 'Makeup-water': 87307757.32527286, 'Adsorbent': 54422862.3399027, 'npv_CC': 9392889743.14953}","{'CAC_CAPEX': 24.97517299806657, 'CAC_FixedOPEX': 10.68013593580312, 'CAC_VariableOPEX': 283.41927510731836}",,319.0745840411879,0.0084122520544445,"{'process': 233.2861195320155, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.445559126124037, 'IntercooledCondensingCompressor': 30.365888541093767}","{'process': 0.0, 'IntercooledCondensingCompressor': 15.142535807204327}",0.0903870670172412,0.0021002859409561,0.0878144021409887,0.0004723789352961,1.0389520557308365,7.72417585608253,4.261161309452486e-07,1.063814890475055,0.0004319001775415,7.106982902285106,0.2844750940726807,6.557667356404708,0.264840451807718,6.671092996137809e-05,0.0001257043636289,0.001045243474778,7.684322484999025e-11,4.0197532031845443e-19,5.153876182600256e-11,2.5304462622012394e-11,1.562684035257853e-09,3.5433990406394575e-10,1.1156690441063334e-09,9.999296657776176e-11,4.703705366063682e-09,2.0814756330361623e-08,0.0002449051856599,0.459022635832497,320.87018425049257,88.63411121144493,2526.894777125811,320.87018425049257,291.8676694028088,291.8676694028088,"{'CAPEX': 25.115721409333812, 'FixedOPEX': 10.740238668145016, 'VariableOPEX': 285.0142241730137}"
