,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,alpha,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,purity_c,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,cool_bd,power_bd,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery,OPEX_system,nCAC_system,CCC_system,LCOC_system,nCAC_system_bd
0,010_bcg+N131+14_charge,90.31160513224675,99.48541627796403,1.088026808772835,7.437292779268978,0.1243600787515258,-0.124547022194155,0.0,"[44096.27250170307, 4936.837371287996, 15381.205900899993]","[[0.0, 0.0], [0.0, 0.0], [46019.357526586406, 4936.837371287996]]","[526.6562212664705, 242.11621434800747, 0.0, 0.0, 192.45131592074839, 92.0886909977147]",351.14625,"[0, 101.325, 310.15, 0.18553602190805857]",235.08395472930707,0.0418416383420006,66.09980699374363,412.6741424244545,83.76657091007802,56.64592020925189,56.64592020925189,,2.8257360576854658,4.4242802290378,0.3887987621198245,89.8712528678135,7.437292779268977,68589.61288502628,101428.60509996532,248.58011270621304,1.2062445016489916,"[1028.5652381179932, 2792.3552347105356, 448.81621710211067]","{'ShellAndTubePackedColumn': 23918506.802745003, 'Material': 9296456.344779639, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 172272.777345948, 'IntercooledCondensingCompressor': 8919838.749457035, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1522989.2337093665, 'ForcedDraughtCoolingTower': 2047240.2537582307}","{'Fixed': 32584661.602230076, 'Electricity': 87814352.7263051, 'Heat': 238398944.89014992, 'Makeup-water': 38317944.392137244, 'Adsorbent': 16802897.918722726, 'npv_CC': 8659525885.866753}","{'CAC_CAPEX': 13.294790486134717, 'CAC_FixedOPEX': 5.564436637900623, 'CAC_VariableOPEX': 64.90734378604266}",,83.76657091007802,1.2062445016489916,"{'process': 79.733697762945, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.8618954207503, 'IntercooledCondensingCompressor': 24.13286035519822}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.954254474001957}",0.3259435849189971,6.036602348532917e-05,0.3258250474763873,5.817141912448289e-05,0.0182668411739706,4.124319669976808,8.688625974355678e-08,0.382269468435895,0.0009186591240496,4.998877427778677,0.8914236523187457,4.022662817964863,0.0847909574950695,2.7025392811122608e-05,0.0001950668382668,0.0020684468048571,5.22765706319538e-11,7.618363982574468e-20,2.943716997371236e-11,2.2839400582057808e-11,1.8377479608374958e-09,2.7974329294006323e-10,1.5251187445305964e-09,8.76718880872967e-11,1.1141564408177809e-08,2.09794400035055e-08,0.0006028124990665,0.0026450573403803,84.03735791527868,67.0587830491657,412.6741424244545,84.03735791527868,56.64592020925189,56.64592020925189,"{'CAPEX': 13.337767731847391, 'FixedOPEX': 5.582424447553515, 'VariableOPEX': 65.11716573587776}"
1,014_dmp+N156+20_charge,92.34800358809892,99.53776925192896,0.8304600888575511,5.387117085744031,0.1338584107266014,-0.1339905033177799,0.0,"[44808.54894306459, 3848.808719244936, 15524.903732884963]","[[0.0, 0.0], [0.0, 0.0], [46449.29013060446, 3848.808719244936]]","[554.9640507719303, 246.52968039864376, 0.0, 0.0, 201.35569474449142, 107.07867562879511]",467.4852,"[0, 101.325, 310.15, 0.18553602190805857]",470.02202692742014,0.0353551532022724,71.12937319771231,440.79342695877074,91.64028996230232,60.7009693050902,60.7009693050902,,3.0415591692441546,4.626385408809794,0.3787635817166155,92.02815482832068,5.387117085744032,67047.60775768792,101221.81386118314,257.6721240702365,1.3359036066365169,"[1010.2097053114312, 3023.38681061243, 468.3617134676547]","{'ShellAndTubePackedColumn': 24752915.463430997, 'Material': 12808243.057904305, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 171815.00874854164, 'IntercooledCondensingCompressor': 8745545.548847195, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1612699.4103246178, 'ForcedDraughtCoolingTower': 1530769.3481841492}","{'Fixed': 35000688.81211755, 'Electricity': 86247238.48539996, 'Heat': 258123399.44617274, 'Makeup-water': 39986652.46085938, 'Adsorbent': 23150283.574558806, 'npv_CC': 8641870964.127073}","{'CAC_CAPEX': 14.635425478850506, 'CAC_FixedOPEX': 6.114481600599447, 'CAC_VariableOPEX': 70.89038288285238}",,91.64028996230232,1.3359036066365169,"{'process': 85.60442968257172, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.833645191378072, 'IntercooledCondensingCompressor': 23.71886491438249}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.649760212753968}",0.3404878593871963,6.964618528282865e-05,0.3403463511405152,7.186206139836001e-05,0.0191064857551227,4.358020359626394,9.069806749105524e-08,0.4000194283663819,0.0009277888302645,5.101857261413901,0.9424349910011888,4.044850123330432,0.1145721470822815,2.697869295784748e-05,0.0001973454446387,0.0020853368344955,5.508513671709674e-11,8.107879230296374e-20,2.97354594852871e-11,2.5349677150730844e-11,1.893312874730039e-09,3.0878140683252243e-10,1.541788513364703e-09,9.901425583791647e-11,1.1120725871609561e-08,2.298343433194436e-08,0.0006117381157471,0.0026970192112386,92.03919923094703,65.64636727116297,440.79342695877074,92.03919923094703,60.7009693050902,60.7009693050902,"{'CAPEX': 14.699133340059522, 'FixedOPEX': 6.141097878051646, 'VariableOPEX': 71.19896801283585}"
2,022_dmp+N276+33_charge,89.56454437189602,99.49381789525351,1.2212046450080998,7.143652248555413,0.119726342017126,-0.1199570548492447,0.0,"[55098.27878276581, 6761.3712831002495, 19395.872677186577]","[[0.0, 0.0], [0.0, 0.0], [58030.92455965175, 6761.3712831002495]]","[615.4186358830926, 304.8604339575016, 0.0, 0.0, 196.11771186482858, 114.44049006076246]",390.9087,"[0, 101.325, 310.15, 0.18553602190805857]",129.10241491966028,0.0507419320170948,64.07414539123933,399.1272758643263,80.81744510026387,55.22926546427866,55.22926546427866,,2.7204473098520348,4.331414401089747,0.3929443720962944,89.0100261010484,7.143652248555411,68783.38852535939,100651.30649897478,247.43756765707928,1.1430455968922395,"[1027.0598305779306, 2653.33544832079, 436.02823597249056]","{'ShellAndTubePackedColumn': 22197307.561970867, 'Material': 9604416.19407374, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 172443.06832212416, 'IntercooledCondensingCompressor': 8938046.662473293, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 1468007.6122275149, 'ForcedDraughtCoolingTower': 1988908.872815945}","{'Fixed': 31611604.811405275, 'Electricity': 87685827.68596661, 'Heat': 226530050.13700622, 'Makeup-water': 37226163.09916984, 'Adsorbent': 17359520.541240588, 'npv_CC': 8593163567.764362}","{'CAC_CAPEX': 12.85105887893488, 'CAC_FixedOPEX': 5.383061172743134, 'CAC_VariableOPEX': 62.583325048585856}",,80.81744510026387,1.1430455968922395,"{'process': 76.20672803649325, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.8724068393510835, 'IntercooledCondensingCompressor': 24.09763706735425}","{'process': 0.0, 'IntercooledCondensingCompressor': 10.986212342475367}",0.318845271617281,6.04414452299177e-05,0.3187254239169045,5.940625514658778e-05,0.0185730640239983,4.007133366760246,9.20230381497923e-08,0.3814657521229283,0.0009180996248081,4.973169753341594,0.8681705454492004,4.017242146076225,0.0877570618161683,2.7118365440428048e-05,0.0001938062534926,0.0020540401471979,5.2126982291546665e-11,7.409010805733701e-20,2.9880900524688754e-11,2.22460816927678e-11,1.833818152399102e-09,2.7517341084528717e-10,1.5249267147989411e-09,8.773568855036523e-11,1.1172276835288444e-08,2.0244220395747898e-08,0.0005964386917887,0.0026355893010771,81.08182056580705,67.77068450420113,399.1272758643263,81.08182056580705,55.22926546427866,55.22926546427866,"{'CAPEX': 12.893098127634543, 'FixedOPEX': 5.400670604739231, 'VariableOPEX': 62.78805183343327}"
3,025_dmp+N520+36_charge,20.844224725709346,25.146200752772568,0.0028561259363568,0.0463950894370608,21.9888556252349,-21.988863171039213,0.0,"[162.50242512505986, 617.181959232579, 54.3208050041536]","[[0.0, 0.0], [0.0, 0.0], [162.52357342618097, 617.181959232579]]","[221.61943204858358, 2.7185904237189997, 0.0, 0.0, 109.50224161114132, 109.39860001372325]",492.9561000000001,"[0, 101.325, 310.15, 0.18553602190805857]",398.84167802900384,0.0001305363937133,1997.448240679853,19187.648826827124,-195.47535852430428,7579.117242405538,7579.117242405538,,499.6354363172498,503.6903751685479,1.8360190276842392,20.828086161749297,0.0463950894370608,-1290699.4314743564,33288.82850669401,8263.256081806352,-4.136038095751168,"[6732.145483705368, 180406.13271467682, 16769.790036775124]","{'ShellAndTubePackedColumn': 896385400.7116044, 'Material': 489100779.9170327, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 42754.71292172357, 'IntercooledCondensingCompressor': 13132252.0164395, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 71972351.24860431, 'ForcedDraughtCoolingTower': 13198582.79157829}","{'Fixed': 960336713.8323444, 'Electricity': 574760818.4704052, 'Heat': 15402278032.633526, 'Makeup-water': 1431730533.8161867, 'Adsorbent': 884026146.3206363, 'npv_CC': 2842053007.43108}","{'CAC_CAPEX': -21.3496162713274, 'CAC_FixedOPEX': -8.714947027540164, 'CAC_VariableOPEX': -165.4107952254367}",,2154025295245.141,533838.2018742312,"{'process': 4620.078906401934, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 0.19495931411797918, 'IntercooledCondensingCompressor': 24.375128727146727}","{'process': 0.0, 'IntercooledCondensingCompressor': 16.97747848544659}",40.1026808775285,0.0081098848986702,40.08693192984695,0.0076390627828966,1.0113789256102277,602.5776194362192,7.498290567906316e-06,29.43603269260384,0.0566049213625467,350.35565259588816,124.4804588097034,212.4082118715484,13.4669819146363,0.0010220216016799,0.0114673285442877,0.1201907068071658,5.4775786535536366e-09,1.1333223938493765e-17,1.6255148093061003e-09,3.852063832914313e-09,1.2400195527903245e-07,3.604319287113601e-08,8.278525964699138e-08,1.0325764353310303e-08,4.226172431320044e-07,3.9529069309009214e-06,0.0446784566262595,0.1889781933730238,-193.82602605032892,-983.2838633179326,19187.648826827124,-193.82602605032892,7579.117242405538,7579.117242405538,"{'CAPEX': -21.16947788616703, 'FixedOPEX': -8.641414254662763, 'VariableOPEX': -164.01513390949916}"
4,027_dmp+N520+39_charge,39.900066846999,84.18858418613814,0.024526285823225,0.50909033578631,2.404343287559963,-2.404367886857486,0.0,"[1149.6987088612236, 1732.4365560877654, 384.4207380679073]","[[0.0, 0.0], [0.0, 0.0], [1150.1565936872423, 1732.4365560877654]]","[173.43607363364242, 4.211722071156599, 0.0, 0.0, 85.79199620485105, 83.43235535763478]",406.1421,"[0, 101.325, 310.15, 0.18553602190805857]",293.565217908141,0.0004062540747748,985.6698901406032,9734.676275994983,-235.27071316635505,839.4809046678762,839.4809046678762,,54.6319975905358,56.64286615226362,0.9340036720158524,39.86373980312122,0.50909033578631,-542437.5426861296,152022.12082055758,3851.3345677248208,-4.906064299837732,"[5939.729767628774, 89923.99155169887, 8612.266669590957]","{'ShellAndTubePackedColumn': 452804201.8588438, 'Material': 203555946.49191526, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 151599.2122494826, 'IntercooledCondensingCompressor': 30508361.907808125, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 35874839.77538237, 'ForcedDraughtCoolingTower': 7633662.66734689}","{'Fixed': 474313878.831383, 'Electricity': 507107867.91498786, 'Heat': 7677312843.2056675, 'Makeup-water': 735277253.2739469, 'Adsorbent': 367917587.39052224, 'npv_CC': 12978976583.30738}","{'CAC_CAPEX': -25.068099406072914, 'CAC_FixedOPEX': -10.241944800875658, 'CAC_VariableOPEX': -199.96066895940652}",,1089560300381.806,266123.3463064126,"{'process': 2307.043642002699, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 6.594807405639355, 'IntercooledCondensingCompressor': 65.37335680262065}","{'process': 0.0, 'IntercooledCondensingCompressor': 39.44144974278844}",4.59841288278171,0.0008562784920072,4.596798375758833,0.00075822853087,0.1269444790022688,67.72097938354435,8.912752983789508e-07,3.5335498001948595,0.0073285174332053,43.84367321653765,14.028500376990666,28.56418561773366,1.2509872218133244,0.0001511264025365,0.0014962888862144,0.015748974425154,6.317298947861673e-10,1.2659222453018057e-18,2.1498347583271167e-10,4.167464176875333e-10,1.5440753177743382e-08,3.960174234482319e-09,1.0983573327807361e-08,1.112265251569159e-09,6.246146044903202e-08,4.28131281782915e-07,0.0055694757731006,0.0236522180023427,-233.29199066754276,-302.94528591855203,9734.676275994983,-233.29199066754276,839.4809046678762,839.4809046678762,"{'CAPEX': -24.857266482460417, 'FixedOPEX': -10.155805874630483, 'VariableOPEX': -198.27891831045187}"
5,030_dmp+N520+42_charge,46.281357530912125,83.13762420912002,0.0660335243644422,2.1600950436278965,0.90274024987912,-0.9027491435505236,0.0,"[1863.856320820915, 2164.0742731289333, 623.1650053942502]","[[0.0, 0.0], [0.0, 0.0], [1864.4606519191805, 2164.0742731289333]]","[110.05103151051087, 9.180388039047699, 0.0, 0.0, 51.00539998960387, 49.865243481859295]",244.5534,"[0, 101.325, 310.15, 0.18553602190805857]",192.29370411397616,0.0003392886841501,273.5368090767139,2775.354120609556,-381.82664770920326,320.8836659657639,320.8836659657639,,20.51225522222596,22.48380520791364,0.7979156997499813,46.24223404615947,2.1600950436278965,-95020.04164442746,113066.4717915295,1213.259679507238,-7.750162162652309,"[2837.592458401667, 24879.215862082652, 2542.547736244937]","{'ShellAndTubePackedColumn': 131814685.84576032, 'Material': 35680656.76273935, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 137548.62245349068, 'IntercooledCondensingCompressor': 19384489.566801045, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 9925470.026274703, 'ForcedDraughtCoolingTower': 3378380.293496414}","{'Fixed': 132230122.27326708, 'Electricity': 242261099.05437234, 'Heat': 2124077458.8730404, 'Makeup-water': 217071485.0743074, 'Adsorbent': 64491071.76133406, 'npv_CC': 9653115492.788214}","{'CAC_CAPEX': -39.71368785249693, 'CAC_FixedOPEX': -16.299771685778953, 'CAC_VariableOPEX': -325.8131881709274}",,309752708731.6793,73642.07314462884,"{'process': 644.2419931601262, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 5.7436111716842, 'IntercooledCondensingCompressor': 43.24728118045881}","{'process': 0.0, 'IntercooledCondensingCompressor': 25.060420266055495}",1.8476816713852413,0.0002966728465421,1.8471566968481508,0.000228301690549,0.0570394556784101,26.397882101007607,3.756727216260725e-07,1.5063621501077649,0.0034323900152583,19.75556009147561,5.487719389592262,13.953706638680796,0.3141340632025516,8.074057608335535e-05,0.0007043821617274,0.0074499810895743,2.553379277864404e-10,4.8848404534717355e-19,1.0324059671169515e-10,1.5209733058626128e-10,6.886333586170048e-09,1.459355642504854e-09,5.2889253986538236e-09,3.99735757675958e-10,3.3351293989231974e-08,1.5748828278977985e-07,0.0024935212677689,0.0106650340577495,-378.5426496734216,-70.47424024458496,2775.354120609556,-378.5426496734216,320.8836659657639,320.8836659657639,"{'CAPEX': -39.37212009214362, 'FixedOPEX': -16.1595813179224, 'VariableOPEX': -323.01094826335554}"
6,036_bcu+N124+36_charge,86.76889141046765,99.23245933793388,0.2245193498392904,1.81876816450636,0.2969230892243018,-0.2972799104797737,0.0,"[19462.78303793204, 3079.544846089736, 6750.006369052387]","[[0.0, 0.0], [0.0, 0.0], [20195.487818414895, 3079.544846089736]]","[444.4049963018908, 103.57847451688416, 0.0, 0.0, 196.93947972583933, 143.88704205916727]",751.0639500000001,"[0, 101.325, 310.15, 0.18553602190805857]",662.0692741125931,0.036475824913426,140.5780744577203,941.506355989156,342.31055375381897,123.91600969877894,123.91600969877894,,6.746749342744157,8.352427152303367,0.4066393240588575,86.28087367984901,1.8187681645063605,37881.311787946426,104644.85457992268,429.6432087974862,5.744092198644784,"[1234.4954138357784, 7349.6237641441185, 874.1702783605467]","{'ShellAndTubePackedColumn': 47178066.93669882, 'Material': 39220433.973555095, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 173648.11925467383, 'IntercooledCondensingCompressor': 9407762.659335481, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 3057094.2657633047, 'ForcedDraughtCoolingTower': 2291909.947097712}","{'Fixed': 68361409.22636059, 'Electricity': 105395760.7083208, 'Heat': 627478384.1724074, 'Makeup-water': 74632793.64492698, 'Adsorbent': 70889048.89611164, 'npv_CC': 8934115047.372492}","{'CAC_CAPEX': 51.195553014869304, 'CAC_FixedOPEX': 21.137437438262833, 'CAC_VariableOPEX': 269.9775633006868}",,342.31055375381897,5.744092198644784,"{'process': 196.35028891095695, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.9468252700965785, 'IntercooledCondensingCompressor': 25.56743728548567}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.820198036838113}",0.6462151888762687,0.0001607019409906,0.6458730050216671,0.000181481913611,0.0307182792392963,8.89670858860564,1.5660930717946457e-07,0.6810392541462654,0.0013852422357149,8.01135492088445,1.9012784732398595,5.7782874092418375,0.3317890384027527,3.585112744469705e-05,0.0002944302744621,0.0030826769813128,1.0203233725423822e-10,1.6866355532297706e-19,4.33621344760906e-11,5.867020260948406e-11,3.019637719420421e-09,6.527062994051405e-10,2.2483225778145548e-09,2.1443525350272667e-10,1.4777889615449022e-08,5.3566243557860054e-08,0.000963375861264,0.0042340480624334,350.2581394186565,35.10693688421428,941.506355989156,350.2581394186565,123.91600969877894,123.91600969877894,"{'CAPEX': 52.384184328693834, 'FixedOPEX': 21.628195298146267, 'VariableOPEX': 276.2457597918164}"
7,041_dmp+N520+52_charge,87.16398104621963,98.98222291510878,0.3289243660938885,3.012974409917589,0.2173323778549865,-0.2174308124621366,0.0,"[23152.95301585265, 3469.642796026155, 7874.832201030632]","[[0.0, 0.0], [0.0, 0.0], [23560.87818185305, 3469.642796026155]]","[393.00955031024876, 123.90161732041716, 0.0, 0.0, 151.33488101835292, 117.77305197147868]",609.8683500000001,"[0, 101.325, 310.15, 0.18553602190805857]",348.9086131117792,0.0174180319707046,101.90682858183146,695.4725249215014,181.65107992181515,91.78629553627052,91.78629553627052,,4.938272336047573,6.5300292870737575,0.4034100688121432,86.90891877580478,3.012974409917589,52583.77018238587,104066.71915652577,342.95418524536666,2.963380706869021,"[1159.50255533736, 5262.214131551522, 679.6611614010903]","{'ShellAndTubePackedColumn': 34878423.64935509, 'Material': 23544435.362047922, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 169959.13819585042, 'IntercooledCondensingCompressor': 9319192.71189284, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2403473.205517209, 'ForcedDraughtCoolingTower': 2221369.6019708486}","{'Fixed': 49785098.96670595, 'Electricity': 98993201.994414, 'Heat': 449264578.2147291, 'Makeup-water': 58026465.16700459, 'Adsorbent': 42555435.02493954, 'npv_CC': 8884756400.86929}","{'CAC_CAPEX': 26.735679293569167, 'CAC_FixedOPEX': 11.089551744139197, 'CAC_VariableOPEX': 143.8258488841068}",,181.65107992181515,2.963380706869021,"{'process': 142.81737815259578, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.719204927892567, 'IntercooledCondensingCompressor': 25.305801485942286}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.66154509333001}",0.4997878485597964,0.000110796808787,0.4995590371982393,0.0001180145527699,0.0246792064296129,6.710319268417689,1.24275511443208e-07,0.5387600647052823,0.0011752701109732,6.6428405907698105,1.4401957055983086,4.999866460926972,0.2027784242445302,3.1978178061526066e-05,0.0002486443733949,0.0026217102302674,7.870961608476474e-11,1.2599898648750673e-19,3.712054188475224e-11,4.158907407401352e-11,2.468499440437045e-09,4.726103302771988e-10,1.921531098199738e-09,1.51603601821855e-10,1.3183225473227636e-08,3.88580146565942e-08,0.00080010883792,0.0035065247025514,183.4947337284805,49.51211067870038,695.4725249215014,183.4947337284805,91.78629553627052,91.78629553627052,"{'CAPEX': 27.00703103518605, 'FixedOPEX': 11.202104305324598, 'VariableOPEX': 145.28559838796986}"
8,045_dmp+N520+57_charge,89.45030031101007,99.1139425822181,0.4994259191438286,4.031782474825048,0.1749490346568127,-0.1750320278841249,0.0,"[30950.53587006611, 3728.9319481463413, 10567.591047528253]","[[0.0, 0.0], [0.0, 0.0], [31617.400725550455, 3728.9319481463413]]","[445.9400575661764, 168.03092539823845, 0.0, 0.0, 160.84376932633793, 117.06536284159999]",536.9363999999999,"[0, 101.325, 310.15, 0.18553602190805857]",294.9159083316799,0.0211422779823658,84.55204249360605,562.641568265213,129.32241339903084,75.61571494019162,75.61571494019162,,3.9752290320976855,5.562136298233168,0.3920832875397178,89.18752323063283,4.031782474825048,59979.06114419292,102579.69453453147,299.3498753290513,2.0289848110216875,"[1085.115077267708, 4108.972232823333, 570.6482496707865]","{'ShellAndTubePackedColumn': 29182197.08719069, 'Material': 17343476.991350666, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 169852.0507824062, 'IntercooledCondensingCompressor': 9043677.931842845, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 2011341.7181680156, 'ForcedDraughtCoolingTower': 1865077.405075516}","{'Fixed': 41448468.38853728, 'Electricity': 92642327.98511818, 'Heat': 350805883.40313804, 'Makeup-water': 48719424.71138665, 'Adsorbent': 31347500.87919543, 'npv_CC': 8757800812.80427}","{'CAC_CAPEX': 19.44751421960716, 'CAC_FixedOPEX': 8.094222933747707, 'CAC_VariableOPEX': 101.78067624567595}",,129.32241339903084,2.0289848110216875,"{'process': 113.32533987450981, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.712605940191017, 'IntercooledCondensingCompressor': 24.527638343506272}","{'process': 0.0, 'IntercooledCondensingCompressor': 11.17216218553309}",0.4191596914825238,8.852119241157265e-05,0.4189790169404606,9.215334965173096e-05,0.0217135909145928,5.519240757656059,1.0691089090087433e-07,0.4664730267925609,0.0010526528213467,5.858294329999437,1.184702895190565,4.521100670521098,0.1524907642877764,2.9478946124578264e-05,0.0002235861423393,0.0023615619866981,6.654449115275756e-11,1.0314280827954453e-19,3.338801034980666e-11,3.315648069980809e-11,2.17447843212954e-09,3.884752524654178e-10,1.729464303977142e-09,1.232150645565511e-10,1.215444082026798e-08,3.0649978540696705e-08,0.0007075927954085,0.0030973034891739,130.18331171469742,57.569372987838975,562.641568265213,130.18331171469742,75.61571494019162,75.61571494019162,"{'CAPEX': 19.576976172841068, 'FixedOPEX': 8.148106113833375, 'VariableOPEX': 102.45822942802296}"
9,047_dmp+N520+61_charge,72.12623922048815,97.44156882290606,0.2062162974208899,2.490707896004149,0.3359171606660077,-0.3359504539723946,0.0,"[12141.283608446005, 4707.095201766978, 4070.9946929631906]","[[0.0, 0.0], [0.0, 0.0], [12180.095726652155, 4707.095201766978]]","[298.0593075190408, 61.45843391091161, 0.0, 0.0, 125.53166992937585, 111.06920367875333]",510.11415000000005,"[0, 101.325, 310.15, 0.18553602190805857]",83.33872487773326,0.003809077768341,140.2874798072553,1089.8306148737715,505.2539690363165,133.61829173881316,133.61829173881316,,7.632780895755212,9.293689250018964,0.4954907456380821,72.01365283104076,2.4907078960041487,29095.226598830573,110018.46025546808,481.44795637482014,8.957648383832051,"[1550.395069618108, 8802.79387649801, 1022.6315108500116]","{'ShellAndTubePackedColumn': 53327585.24648063, 'Material': 30110268.261352167, 'DirectContactCooler': 1911217.1509027858, 'GenericCondenser': 165511.86250222783, 'IntercooledCondensingCompressor': 11712905.220797604, 'WasteHeatRecoveryUnit': 1425040.6874235459, 'SteamBoiler': 3511841.661449436, 'ForcedDraughtCoolingTower': 2284446.015145107}","{'Fixed': 68221817.74787141, 'Electricity': 132365876.72132723, 'Heat': 751543623.8756864, 'Makeup-water': 87307757.32527286, 'Adsorbent': 54422862.3399027, 'npv_CC': 9392889743.14953}","{'CAC_CAPEX': 66.5176392565751, 'CAC_FixedOPEX': 27.464258684887746, 'CAC_VariableOPEX': 411.2720710948537}",,505.2539690363165,8.957648383832051,"{'process': 233.2861195320155, 'DirectContactCooler': 12.923927628511796, 'GenericCondenser': 7.445559126124037, 'IntercooledCondensingCompressor': 30.365888541093767}","{'process': 0.0, 'IntercooledCondensingCompressor': 15.142535807204327}",0.7416622486701384,0.0001509237473602,0.7413613889572067,0.0001499359655717,0.0318779269688793,10.195848516554218,1.722079737358639e-07,0.7320932780775641,0.0016066954670458,9.162450673566685,2.1794133587601263,6.733933202556733,0.2491041122498241,4.1823317860143353e-05,0.0003369053712535,0.0035545360846569,1.1198433533171704e-10,1.9060862704859805e-19,5.000461255075394e-11,6.197972259035447e-11,3.3178838183235222e-09,6.41959778405386e-10,2.581780174779749e-09,2.0513513057688454e-10,1.7251172340942837e-08,6.004229922372619e-08,0.001116961615482,0.0048592361280698,517.2232515417427,25.1728357757635,1089.8306148737715,517.2232515417427,133.61829173881316,133.61829173881316,"{'CAPEX': 68.09341790384534, 'FixedOPEX': 28.114876970239397, 'VariableOPEX': 421.01495666765794}"
