,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,alpha,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,purity_c,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,cool_bd,power_bd,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery,OPEX_system,nCAC_system,CCC_system,LCOC_system,nCAC_system_bd
0,010_bcg+N131+14_charge,99.89042343684946,96.49667167743682,2.3311583659237702,7.628067943948917,0.0990887542886065,-0.0990277721875173,0.008637455974583,"[94478.73317050008, 118.79481181559251, 46923.29182976512]","[[1616.4950834082533, 4983.176798786566], [2090.4778024523293, 620.8652389269678], [108293.81496532606, 118.79481181559251]]","[1100.1698174414914, 781.7620231360127, 25.721677694425253, 5.61642596174912, 196.6020639753998, 90.46762667390448]",351.14625,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 68.69347523298117, 310.15, 0.18495665999343275], [2, 53.53794447310028, 310.15, 0.23656376280411923], [3, 43.74410251225576, 310.15, 0.2887565429563858], [4, 37.274760188483604, 310.15, 0.3381148245261599], [5, 32.888707423439264, 310.15, 0.38248979624343366], [6, 29.831761256090875, 310.15, 0.4210279433732743], [7, 27.642783982144394, 310.15, 0.453779370852516], [8, 26.035655371893416, 310.15, 0.48127026116734095], [9, 24.82913795522224, 310.15, 0.5042023440962101], [10, 23.90563811661782, 310.15, 0.523286424607476], [11, 23.18690881876924, 310.15, 0.5391671430169391]]",258.9024114135096,0.1276458698496654,383.08547334282207,1175.667379058887,75.37297602514059,51.3643856369654,41.74401123465941,95.9359664213854,2.251515668978421,4.0808356430326285,0.5686541715953549,99.80737395124072,7.628067943948915,386539.9420892117,467079.7064787274,460.1265948315704,3.971498323678991,"[993.2229210903329, 7582.220269121819, 1906.3628384509398]","{'ShellAndTubePackedColumn': 107390270.24346544, 'Material': 41739602.20033003, 'VacuumPump': 1319593.583150088, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 107387.754697965, 'IntercooledCondensingCompressor': 55512941.45370076, 'SteamBoiler': 4558839.961384185, 'ForcedDraughtCoolingTower': 2943901.695881848}","{'Fixed': 210308637.43690595, 'Electricity': 83617139.82874046, 'Heat': 638329582.4058086, 'Makeup-water': 160492276.8516828, 'Adsorbent': 89553321.93860963, 'npv_CC': 39322359863.508125}","{'CAC_CAPEX': 24.86881447907637, 'CAC_FixedOPEX': 9.337470373436735, 'CAC_VariableOPEX': 41.277006104776234}",684.840326789816,75.37297602514059,3.971498323678991,"{'process': 291.94168600950434, 'VacuumPump': 1.6346608485281537, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 4.0210673457296515, 'IntercooledCondensingCompressor': 180.46218966706115}","{'process': 0.0, 'VacuumPump': 2.0121067627659697, 'IntercooledCondensingCompressor': 71.76756644741799}",0.2230884966372595,7.248192902188798e-05,0.2228985544383876,0.00011746026985,0.015777213926385,4.30273815045164,9.408754773226788e-08,0.6119878301504518,0.0003142114448453,0.9562045858738693,0.0904834361547119,0.7797378708947779,0.085983278824379,1.0709768462282523e-05,8.198948161822932e-05,0.0008885287519854,2.984151669983615e-11,9.548965943727132e-20,1.349225176991038e-11,1.6349264834436113e-11,6.199202387565847e-10,1.550516477110752e-10,4.335869969468414e-10,4.907587471247245e-11,1.3988947598318871e-09,3.0171607549247494e-08,0.0002566492644992,0.0525301814597813,75.59440917182809,74.96937426241823,1993.7008560842207,80.50759459062795,62.5472763455228,62.54727634552282,"{'CAPEX': 15.247324014750898, 'FixedOPEX': 6.884081200894422, 'VariableOPEX': 58.37618937498262}"
1,014_dmp+N156+20_charge,99.84790999531408,98.02853380222972,1.861839489641222,5.80820295500649,0.0997241334674694,-0.0997667706510743,0.0085527402738892,"[100457.9594071609, 172.22599708401384, 48991.62351831461]","[[1100.5891307437023, 3785.2476214398484], [983.8087159444608, 426.34491809815404], [113067.29782282274, 172.22599708401384]]","[1153.9924163515925, 804.1275702906029, 20.600245878100107, 5.887101648170904, 216.632572127625, 106.74492640709354]",467.4852,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 57.65882255045973, 310.15, 0.19638060965443213], [2, 42.995815718623845, 310.15, 0.2621268457434519], [3, 34.774070106248175, 310.15, 0.32302102832276064], [4, 29.925527606693347, 310.15, 0.3744424129954961], [5, 26.913641869665756, 310.15, 0.4155951969652831], [6, 24.952368104642055, 310.15, 0.4476565904481706], [7, 23.623677308223147, 310.15, 0.47235316483864503], [8, 22.694395353865534, 310.15, 0.49131418370007796], [9, 22.027923287735753, 310.15, 0.5058793690733318]]",514.2531055989332,0.1115695391688069,415.6409693859311,1256.1241163873522,77.48542099321138,52.84847451590808,43.33580512134976,98.25238670324468,2.265952889298961,4.070392899477917,0.5622877975441819,99.76183628346482,5.8082029550064895,399058.993101815,482826.2861414111,442.9027536931477,3.944186173423055,"[1024.0799635122044, 7888.096353790552, 1965.5889373744162]","{'ShellAndTubePackedColumn': 109511009.02909705, 'Material': 56665794.50946858, 'VacuumPump': 867524.2742363705, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 108383.41840641179, 'IntercooledCondensingCompressor': 57305496.755994, 'SteamBoiler': 4742749.168519506, 'ForcedDraughtCoolingTower': 3035361.626564805}","{'Fixed': 227778164.03601316, 'Electricity': 86214922.84008959, 'Heat': 664080582.3061489, 'Makeup-water': 165478385.09590116, 'Adsorbent': 121577827.07793543, 'npv_CC': 40648027974.38258}","{'CAC_CAPEX': 25.62553814015052, 'CAC_FixedOPEX': 9.687332745214096, 'CAC_VariableOPEX': 42.28153811394982}",683.2068530469747,77.48542099321138,3.944186173423055,"{'process': 304.03594044066546, 'VacuumPump': 1.0694893369570329, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 4.081144226549916, 'IntercooledCondensingCompressor': 185.32224443767427}","{'process': 0.0, 'VacuumPump': 1.3281509405517855, 'IntercooledCondensingCompressor': 74.0849960124735}",0.2241102484373704,7.889967541836535e-05,0.2239031173288302,0.0001282314331217,0.0164668833538776,4.308531926170715,9.561307817874538e-08,0.6187517728161346,0.0003147919722412,0.989313781469674,0.0948557740550225,0.7828576462981389,0.111600361116512,1.073198292803539e-05,8.277827829428417e-05,0.0008899304881026,3.0959225391293615e-11,9.543705191886437e-20,1.3596074049979599e-11,1.736315124587697e-11,6.524845211258377e-10,1.7147246360715572e-10,4.415453858154362e-10,5.7345508689837915e-11,1.4290223838753124e-09,3.063251439436751e-08,0.0002559358120872,0.0520612958297239,77.770673377099,76.05933473786087,2092.268763432095,82.36500987346255,63.9061670481744,63.90616704817441,"{'CAPEX': 16.024626789573084, 'FixedOPEX': 7.222251234830212, 'VariableOPEX': 59.11813184905926}"
2,022_dmp+N276+33_charge,99.96121448062452,90.85969329228384,1.7175478079725537,6.283805337000378,0.1111133642908178,-0.1108736081395222,0.0090229462003252,"[77492.27644460228, 33.303331517375916, 37190.705042542664]","[[2360.272665501465, 6660.192121427686], [6056.626713753081, 924.8031879197455], [85832.07130733169, 33.303331517375916]]","[983.985304620015, 654.014241683552, 32.30309490046144, 8.538679032933587, 176.53237417984494, 112.59691482322302]",390.9087,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 80.26182276869726, 310.15, 0.1792480552060734], [2, 65.30232975605576, 310.15, 0.21936879631218723], [3, 54.59252377900522, 310.15, 0.2614279938036074], [4, 46.844746873271525, 310.15, 0.30367473348988067], [5, 41.168173430044526, 310.15, 0.34456162927726697], [6, 36.94866157982344, 310.15, 0.38294933297115896], [7, 33.76338410814208, 310.15, 0.41815690058895316], [8, 31.320686671114505, 310.15, 0.44990018394802184], [9, 29.418315462100818, 310.15, 0.47818282983726457], [10, 27.914819873606945, 310.15, 0.5031879404794711], [11, 26.71018925009643, 310.15, 0.5251927580030733], [12, 25.732820258762377, 310.15, 0.5445104607068613], [13, 24.93075296235149, 310.15, 0.5614546570679801]]",135.00131086221654,0.0972953503224511,411.021484691741,1281.04730197782,85.30685310007904,56.05637977303705,46.19224065684734,98.40867167911088,2.524741405114722,4.352885323882053,0.583062947765699,99.8899398172114,6.283805337000379,369513.3888226712,457933.8212293244,485.2637231643408,4.338849810848799,"[1038.6914983362444, 8335.852992425469, 1993.6338872137771]","{'ShellAndTubePackedColumn': 114810388.17017269, 'Material': 49676599.21416131, 'VacuumPump': 2710532.873130385, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 103866.52506963642, 'IntercooledCondensingCompressor': 54195987.04789903, 'SteamBoiler': 5011964.620554948, 'ForcedDraughtCoolingTower': 3078670.0533384318}","{'Fixed': 225299313.44094127, 'Electricity': 87445034.15201242, 'Heat': 701776177.7932949, 'Makeup-water': 167839424.53872186, 'Adsorbent': 106582340.21707793, 'npv_CC': 38552388944.07202}","{'CAC_CAPEX': 27.688141846673822, 'CAC_FixedOPEX': 10.476974400175607, 'CAC_VariableOPEX': 47.25903923384302}",684.4521545312276,85.30685310007904,4.338849810848799,"{'process': 320.46381998260824, 'VacuumPump': 3.383970654648981, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 3.808903735808304, 'IntercooledCondensingCompressor': 174.64121377629812}","{'process': 0.0, 'VacuumPump': 4.102848014305744, 'IntercooledCondensingCompressor': 70.06499745446662}",0.2453562460731279,8.061410540824197e-05,0.2451471935000237,0.000128438467696,0.0171429689352462,4.692631183465885,1.0772025172273033e-07,0.6408048869906111,0.0003424452533407,1.027219717808653,0.0994555198330532,0.8239862650601323,0.1037779329154672,1.1308055692445002e-05,8.782331841912276e-05,0.0009494929859784,3.331923161782481e-11,1.0053783776251225e-19,1.5030140119035984e-11,1.8289091398251e-11,6.71979476336381e-10,1.7171934995824268e-10,4.6290768007172557e-10,5.705148437102675e-11,1.512527199054724e-09,3.363367626944837e-08,0.0002765784213459,0.0542595881090882,85.61668042348373,68.56670002673332,2103.3846460245395,89.47616206708717,67.52262682927585,67.52262682927585,"{'CAPEX': 17.178305341028427, 'FixedOPEX': 7.744022242635758, 'VariableOPEX': 64.55383448342299}"
3,025_dmp+N520+36_charge,69.09381286159176,84.72527917628666,0.0345138791643931,0.4909961258308238,1.8990389292655556,-1.8991399305826464,0.0125166279821326,"[1963.7050990269813, 880.1789290190991, 852.6082202832932]","[[326.0934424059396, 2149.116252839451], [3.123809128918238, 49.73758345113805], [1967.7263304597336, 880.1789290190991]]","[253.05691522834246, 10.152519636948906, 14.864381243140071, 5.644164954353974, 110.85805144133803, 111.53779795256146]",492.9561000000001,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 29.71675983458275, 310.15, 0.06105410759991305], [2, 22.11670746260629, 310.15, 0.05401106129523716], [3, 20.494984864317946, 310.15, 0.052541716086169], [4, 20.11777479800307, 310.15, 0.05220206016552399]]",479.0686574944872,0.0020488724774543,5695.707729665052,29026.609423885307,-233.3402967781888,588.135970837514,571.2720168256374,857.912557009574,43.15036490203445,45.1701441147641,0.9968175247054146,69.00375759638355,0.4909961258308237,-1692732.44830166,747539.1392244843,4340.55608475181,-7.3569849381916,"[17595.112311870256, 232567.39768372523, 33771.54064557616]","{'ShellAndTubePackedColumn': 1902059725.4231536, 'Material': 1037833608.6405632, 'VacuumPump': 27595116.43924449, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 133582.60929587175, 'IntercooledCondensingCompressor': 127000951.90619078, 'SteamBoiler': 139832068.79302287, 'ForcedDraughtCoolingTower': 24797478.954720207}","{'Fixed': 3061102116.207293, 'Electricity': 1481291797.8865683, 'Heat': 19579311148.375816, 'Makeup-water': 2843147873.886314, 'Adsorbent': 2226697006.531665, 'npv_CC': 62933590641.83843}","{'CAC_CAPEX': -47.20821509280805, 'CAC_FixedOPEX': -20.0035981787296, 'CAC_VariableOPEX': -166.1807664676985}",551.631079338287,79700.84969001793,2512.88765303972,"{'process': 8960.639505131676, 'VacuumPump': 33.40798100145995, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 5.614408047508329, 'IntercooledCondensingCompressor': 328.50191409603076}","{'process': 0.0, 'VacuumPump': 42.80109317261022, 'IntercooledCondensingCompressor': 164.18782748910277}",3.3791408274916104,0.0008117226722427,3.377436304510016,0.0008928003093531,0.1086439605643831,58.61185833119068,7.906823750242971e-07,2.7519857340626013,0.0032208863343687,6.896786762595972,1.1465642282686983,4.439166890618333,1.3110556437089376,6.520397063928629e-05,0.0008842179045427,0.0094447382871865,3.566558977068869e-10,6.068242490253798e-19,1.1603371667036411e-10,2.406221804296985e-10,5.173626255858892e-09,1.7741819817717641e-09,2.934582037494027e-09,7.585857652671857e-10,1.262459540652471e-08,5.114495931565964e-07,0.00308488213003,0.1683098405748071,-230.64660123503737,-201.5733708089284,31321.602870010385,-255.44470406369285,607.7389246044437,607.7389246044437,"{'CAPEX': -46.25451227443442, 'FixedOPEX': -20.444437068992702, 'VariableOPEX': -188.74575472026572}"
4,027_dmp+N520+39_charge,97.9537526628016,98.01449763857605,0.6059559277983056,4.974730939246598,0.1544252241055922,-0.1544550090078018,0.0086916143639173,"[28404.902105349003, 600.941058716375, 12464.637355217554]","[[479.0773625982113, 2806.443725199177], [69.0756306115148, 169.12997361088713], [28767.016948703655, 600.941058716375]]","[438.50438681298215, 200.32954177422025, 16.332946395426074, 4.299145324057243, 133.4090007637695, 84.13375255550909]",406.1421,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 40.351183030794814, 310.15, 0.11966920884380647], [2, 30.669241653770023, 310.15, 0.1572827635715426], [3, 25.8023551811104, 310.15, 0.18679581709233978], [4, 23.245842433227075, 310.15, 0.20722185350461234], [5, 21.85087553053529, 310.15, 0.22037115362767973], [6, 21.068360435748673, 310.15, 0.22850509441611996], [7, 20.621303217316783, 310.15, 0.23342746058184627]]",348.7228452360666,0.0131725716505282,571.9138307182124,1995.151096299147,116.51977457697517,68.08600680414408,58.31954833082727,116.53045620337798,3.5088826603527465,5.231980653441462,0.5772891075042977,97.8624665547628,4.974730939246599,401489.545612646,547999.050126761,447.508556424302,5.438860089678356,"[1494.0067723253615, 13863.697559942068, 2867.5526215489635]","{'ShellAndTubePackedColumn': 167035477.57485738, 'Material': 75089993.85584015, 'VacuumPump': 1949236.9618133404, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 109779.00462179717, 'IntercooledCondensingCompressor': 65638483.52961671, 'SteamBoiler': 8335603.056296922, 'ForcedDraughtCoolingTower': 3667612.9836849608}","{'Fixed': 311635369.1035657, 'Electricity': 125776973.66214244, 'Heat': 1167152622.8376393, 'Makeup-water': 241412620.90398684, 'Adsorbent': 161107390.57515746, 'npv_CC': 46134772192.09165}","{'CAC_CAPEX': 34.65915434503513, 'CAC_FixedOPEX': 13.323260532262232, 'CAC_VariableOPEX': 68.6679670570996}",670.7439215108665,116.51977457697517,5.438860089678356,"{'process': 534.2320108475569, 'VacuumPump': 2.3660691594003116, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 4.16541548591119, 'IntercooledCondensingCompressor': 204.25302894237205}","{'process': 0.0, 'VacuumPump': 3.018131767856339, 'IntercooledCondensingCompressor': 84.85794672127719}",0.3196770302022399,9.672182596027858e-05,0.3194365657226603,0.0001437426536192,0.0187334235877534,5.959004870281423,1.1548951500265729e-07,0.6759880626674694,0.0004019948315925,1.143121021145017,0.1237370020478639,0.8886842498748019,0.1306997692223508,1.2327758003363831e-05,0.0001064984563109,0.0011463087594536,4.00861698715416e-11,1.1062707646648082e-19,1.660282051527279e-11,2.3483349245641743e-11,7.670600357851485e-10,2.0988421669695517e-10,5.103392649880285e-10,7.309045755349893e-11,1.7453658084065084e-09,4.494133989569609e-08,0.0003419792815567,0.0556088792726111,117.10594331341366,66.68151411671158,2969.4787248456846,116.76617093198293,79.4387081803595,79.4387081803595,"{'CAPEX': 22.156244824744117, 'FixedOPEX': 9.928947796998486, 'VariableOPEX': 84.6809783102403}"
5,030_dmp+N520+42_charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,036_bcu+N124+36_charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,041_dmp+N520+52_charge,99.92261283452552,94.8569548168793,0.7532960960847278,3.692854880103533,0.1318135367701575,-0.1318598288475941,0.0087298163681864,"[53024.43636752815, 43.38269399730419, 24271.475470485573]","[[1130.2058891555723, 3408.6618308140773], [1805.1268353717135, 351.4795150015528], [56015.9053433863, 43.38269399730419]]","[734.3548647189164, 405.61181516459567, 19.086995576638447, 6.842548583530546, 182.91313538194774, 119.90037001220401]",609.8683500000001,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 58.19449500790851, 310.15, 0.23731839321784903], [2, 40.22835386581231, 310.15, 0.33366237956098344], [3, 32.08485950764955, 310.15, 0.4150368986964195], [4, 27.85432329800854, 310.15, 0.4769596863452765], [5, 25.390342082271896, 310.15, 0.5223359921159574], [6, 23.843032296586845, 310.15, 0.5555063082200798], [7, 22.81479346692571, 310.15, 0.5799668458150946], [8, 22.102138382568256, 310.15, 0.5982131072849302]]",384.8475874694235,0.0536851230513536,538.7203763248074,1705.4238786781889,104.1054625630055,65.10989920746374,55.49490409022848,109.36206108312594,2.995095109956362,4.757088217186037,0.5683362054988458,99.8511741879229,3.6928548801035337,389761.01202372543,505239.1200782007,459.4370173055348,4.744172553352307,"[1252.4050390843743, 10910.333165485856, 2403.829366501303]","{'ShellAndTubePackedColumn': 138157719.9480493, 'Material': 93262400.26747629, 'VacuumPump': 1828831.0548640136, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 107157.24558258013, 'IntercooledCondensingCompressor': 59545332.03813437, 'SteamBoiler': 6559881.019203482, 'ForcedDraughtCoolingTower': 3335347.546631566}","{'Fixed': 293823509.20519423, 'Electricity': 105437082.70483305, 'Heat': 918515707.3047484, 'Makeup-water': 202372832.92105094, 'Adsorbent': 200096726.26575106, 'npv_CC': 42534912609.70044}","{'CAC_CAPEX': 32.776059384919684, 'CAC_FixedOPEX': 12.666848030877246, 'CAC_VariableOPEX': 58.78268870137453}",678.8573098958833,104.1054625630055,4.744172553352307,"{'process': 420.49184942028444, 'VacuumPump': 2.2714764862483, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 4.007164146817936, 'IntercooledCondensingCompressor': 189.45343344242835}","{'process': 0.0, 'VacuumPump': 2.782017457819969, 'IntercooledCondensingCompressor': 76.98067264629677}",0.2811014661260771,0.0001024025279153,0.2808391655785535,0.0001598980196083,0.0193579917456172,5.277684211811327,1.109142665812649e-07,0.6734824764937881,0.0003702297660145,1.160540618415477,0.1246878306358362,0.862091965713685,0.1737608220659552,1.1834350316140697e-05,9.870488184911528e-05,0.0010567719485781,3.8593568142297e-11,1.0528351924150578e-19,1.5675120054627643e-11,2.291844798238584e-11,7.875647609239225e-10,2.254611271517449e-10,5.019801919144594e-10,8.295563873042069e-11,1.6856172538348583e-09,4.00107101368211e-08,0.0003075737717413,0.0540093290045573,104.7600051678408,68.19252574559947,2589.794165015516,106.11586106638713,76.28653694139459,76.28653694139459,"{'CAPEX': 21.42196623990373, 'FixedOPEX': 9.60889391224028, 'VariableOPEX': 75.0850009142431}"
8,045_dmp+N520+57_charge,99.92578932808892,94.74681827503846,0.8782173290186709,4.27504336867426,0.129273407769542,-0.129277629898812,0.0087313740686825,"[54425.08268313992, 42.52225479373132, 24809.17529265253]","[[1225.2716960919765, 3527.4571671544536], [1867.6166892690394, 343.587272172661], [57256.85760351097, 42.52225479373132]]","[739.5439324976153, 416.95278313649897, 19.603871960726387, 6.802138174102402, 178.7675204116595, 117.41761881462804]",536.9363999999999,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 60.286264422550275, 310.15, 0.23725642023451166], [2, 42.14049752017342, 310.15, 0.3367487129967486], [3, 33.43799217902371, 310.15, 0.4219242133416715], [4, 28.81706816078077, 310.15, 0.487473054734749], [5, 26.119083119996926, 310.15, 0.5360937265196334], [6, 24.418609838628974, 310.15, 0.5720259605085981], [7, 23.282457029385284, 310.15, 0.5988156629453456], [8, 22.48926802369237, 310.15, 0.619034393015204]]",326.51654908567207,0.0496350093594119,510.97372414585175,1641.6675384824268,99.87294192972624,62.89825723625398,53.28288702364955,107.6376495645001,2.9373777606247247,4.697057351230708,0.5683583771459663,99.85485235919364,4.27504336867426,391377.72938358894,504479.73689260526,456.9768801660309,4.679186704865087,"[1234.7419996772353, 10684.001833257505, 2369.927448588555]","{'ShellAndTubePackedColumn': 135349569.7459581, 'Material': 80440555.6464638, 'VacuumPump': 1850411.9849194244, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 106780.61483752128, 'IntercooledCondensingCompressor': 59430330.91511157, 'SteamBoiler': 6423798.409459485, 'ForcedDraughtCoolingTower': 3288308.1517759464}","{'Fixed': 278934444.7708944, 'Electricity': 103950072.2819504, 'Heat': 899461396.0794421, 'Makeup-water': 199518708.88667923, 'Adsorbent': 172587149.7805376, 'npv_CC': 42470981896.19675}","{'CAC_CAPEX': 31.324908569412063, 'CAC_FixedOPEX': 12.039070877032431, 'CAC_VariableOPEX': 56.62826895532657}",678.9740876213041,99.87294192972624,4.679186704865087,"{'process': 411.63776601683867, 'VacuumPump': 2.2991103635604095, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 3.984451944744883, 'IntercooledCondensingCompressor': 188.88681509643934}","{'process': 0.0, 'VacuumPump': 2.813914086917863, 'IntercooledCondensingCompressor': 76.831998291778}",0.2762702975938637,9.587548852917516e-05,0.2760251221992805,0.000149299906054,0.0185660087671699,5.200598200482836,1.0833073610631137e-07,0.6611951739369901,0.0003660364192663,1.1147696355087693,0.115045243998624,0.8490169162187068,0.1507074752914382,1.1681058045454513e-05,9.760197308125742e-05,0.0010477202107053,3.71695937241833e-11,1.0410789904742013e-19,1.5389701430430285e-11,2.1779892189645124e-11,7.547925294338428e-10,2.12335700510613e-10,4.897918598103962e-10,7.509383212230147e-11,1.6407830163519203e-09,3.886158699006101e-08,0.000305280021281,0.0538603444303057,100.42155068972566,68.57108659412187,2524.7430496518973,102.35220516900088,74.07533098757281,74.07533098757281,"{'CAPEX': 20.213379993082714, 'FixedOPEX': 9.074724494335069, 'VariableOPEX': 73.06410068158311}"
9,047_dmp+N520+61_charge,99.39421652569035,89.41978021403754,0.4128301869387973,3.305396227603346,0.1936180417847844,-0.1936111804737171,0.0089991974879685,"[24305.976028274716, 149.51513895737983, 10629.520659447217]","[[1583.300850799068, 4594.969631337756], [1259.9481823971444, 418.59711929898907], [24531.768735246667, 149.51513895737983]]","[449.6249679746461, 185.51769580381585, 23.837312994419285, 6.098144728321942, 124.15625439839866, 110.01556004969035]",510.11415000000005,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 70.28473806292502, 310.15, 0.2022370086222623], [2, 52.253524455484666, 310.15, 0.2681605192202459], [3, 41.56047059596871, 310.15, 0.3331801578553931], [4, 35.00153022948812, 310.15, 0.3917898237734712], [5, 30.81146636553062, 310.15, 0.4415705471883115], [6, 28.021720068061708, 310.15, 0.4824397048340723], [7, 26.09238343075425, 310.15, 0.5154400455484482], [8, 24.713445799338576, 310.15, 0.5419222213920317], [9, 23.700302696823137, 310.15, 0.5631634759851334], [10, 22.938768123822683, 310.15, 0.5802416578299551]]",92.73773408236582,0.0099456456924417,651.4568284725887,2313.7352931742707,162.41339665291747,83.009636691894,72.85751669297406,123.2473228169467,4.399430167480525,6.164843490054507,0.6000853133677081,99.3219027120292,3.3053962276033464,336868.0479928013,506359.81223566696,541.0518973523054,6.981547325427108,"[1626.6267746275082, 16061.499302561953, 3122.0995501947]","{'ShellAndTubePackedColumn': 184945963.28946775, 'Material': 104425740.31359458, 'VacuumPump': 4692371.290822636, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 104316.56075962854, 'IntercooledCondensingCompressor': 59741973.87077809, 'SteamBoiler': 9657040.057047075, 'ForcedDraughtCoolingTower': 3860088.3182419627}","{'Fixed': 354318746.2268251, 'Electricity': 136941944.82935327, 'Heat': 1352180466.7649164, 'Makeup-water': 262842337.91271383, 'Adsorbent': 224047941.2356987, 'npv_CC': 42629261089.62977}","{'CAC_CAPEX': 46.889478418444156, 'CAC_FixedOPEX': 18.357640977544882, 'CAC_VariableOPEX': 97.321494098273}",674.2146981660405,162.41339665291747,6.981547325427108,"{'process': 618.7821360961852, 'VacuumPump': 5.798000806693886, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 3.835993409772879, 'IntercooledCondensingCompressor': 187.29721737780034}","{'process': 0.0, 'VacuumPump': 7.170409082926023, 'IntercooledCondensingCompressor': 77.23489275103343}",0.390422062423348,0.0001231770412788,0.390119795694469,0.0001790896876002,0.0221873401434364,7.178649503993539,1.3460037052625934e-07,0.75170759049981,0.0004722315026932,1.3598372058482373,0.1707781187900962,0.9941850876129844,0.1948739994451562,1.3849004585144202e-05,0.000126252268518,0.0013536765549644,4.91877117344922e-11,1.2431614090899472e-19,1.9282363069198654e-11,2.9905348540977393e-11,9.039488325752223e-10,2.480931386087106e-10,5.875108099683886e-10,1.007086588056833e-10,2.062727543265428e-09,5.6311812177444966e-08,0.0004066625345137,0.0593224224898271,163.80654583524696,54.50832520143051,3249.5806220347954,155.53489044773812,94.8106377403427,94.81063774034271,"{'CAPEX': 30.482997215862913, 'FixedOPEX': 13.635061005338054, 'VariableOPEX': 111.41683222653714}"
