MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
691978,H2O,38.389683,4.63E-06,-13.12123291,0.045447308,-15.92945349,0.348108587,0.317350401,0.911641978
010_bcg+N131+14_charge,H2O,37.494135,997121000,-116.7804629,28.42388158,-60.71231,4.467533075,0.005661869,0.001267337
014_dmp+N156+20_charge,H2O,24.2768655,1.11E+12,-141.0107192,16.13855833,-55.93676,3.951049398,0.003562156,0.000901572
022_dmp+N276+33_charge,H2O,25.824927,3156730,-107.1839053,17.35279447,-54.02773,3.060804051,0.01242725,0.004060126
025_dmp+N520+36_charge,H2O,19.7121015,1.59E+13,-145.0492899,12.39814971,-58.20373,2.975421208,0.009388291,0.003155281
027_dmp+N520+39_charge,H2O,34.8509475,1.29E+12,-142.2230586,14.66464302,-49.67977,2.228682368,0.044696997,0.020055346
030_dmp+N520+42_charge,H2O,72.58401,1298310000,-114.4570922,7.513272654,-40.89882,1.61402724,0.072102397,0.044672355
036_bcu+N124+36_charge,H2O,8.9557575,62706200000,-134.1346535,6.821003211,-51.61023,2.254449192,0.012065085,0.005351677
041_dmp+N520+52_charge,H2O,12.8037945,6.31E+13,-149.0612011,6.380883842,-51.73295,1.444478993,0.008655113,0.005991858
045_dmp+N520+57_charge,H2O,17.3815455,2.70E+13,-148.7677032,9.316122963,-53.29681,1.723208047,0.004122054,0.002392081
047_dmp+N520+61_charge,H2O,19.0027005,1.08E+11,-134.284041,0.850090479,-34.35671,0.870017346,0.142196123,0.16344056
048_dmp+N520+62_charge,H2O,53.5416825,1.27E+11,-125.2968017,13.68759748,-45.58276,2.068212183,0.030772365,0.014878727
050_dmp+N520+66_charge,H2O,16.9694025,1.25E+11,-136.8587363,11.29374343,-56.44443,2.407696192,0.02177878,0.009045485
054_dmp+N520+70_charge,H2O,25.247394,3253770000,-118.8064499,1.3727743,-42.5038,1.074851872,0.142330163,0.132418398
061_dmp+N520+77_charge,H2O,42.4896345,12790500000,-118.5473542,2.24890866,-45.45444,1.169559693,0.113139362,0.096736714
063_crs+N324+79_charge,H2O,58.62465,3240880000,-117.3584456,9.13374309,-42.43616,1.249275675,0.062670214,0.05016524
064_dmp+N520+81_charge,H2O,21.3289275,5.61E+11,-138.9298456,13.34496096,-53.875,2.91004584,0.026536599,0.009118963
074_dmp+N520+93_charge,H2O,16.9684035,2.64E+12,-142.1481968,10.11134294,-51.2196,1.066048207,0.00292745,0.002746077
078_dmp+N520+20_charge,H2O,21.2707635,5.72E+13,-144.8394195,6.662929521,-50.00001,1.790216998,0.065692268,0.036695142
093_dmp+N520+79_charge,H2O,29.654205,86025700000,-130.2367461,19.37844049,-60.32215,3.164145771,0.014965868,0.004729829
100_rob+N147+124_charge,H2O,38.385132,5442230,-104.040093,3.527222656,-41.36992,1.901672934,0.105678927,0.055571558
102_dmp+N520+126_charge,H2O,10.7470755,1.75E+13,-149.0067888,5.430363308,-56.76792,0.978271793,0.00560227,0.005726701
103_tfz-d+N586+128_charge,H2O,14.5804605,9878840000,-128.929796,7.50385297,-49.49678,3.001463698,0.228433811,0.076107471
1075_bcg+N586+1035_charge,H2O,45.999843,714839000,-119.2604582,0.205966264,-31.02026,0.208991122,0.112440923,0.538017701
108_dmp+N520+14_charge,H2O,33.646986,967461000,-120.5002441,20.64087638,-53.19519,2.251489814,0.002593321,0.001151825
130_unc+N520+41_charge,H2O,10.4958825,6.06E+13,-150.9499,6.848095101,-58.42549,1.407649171,0.004563003,0.003241577
1313_hex+N586+971_charge,H2O,14.1273585,1.83E+16,-166.4870871,4.091020215,-42.044,2.435838467,0.066068719,0.027123604
1337_tfz-d+N586+1590_charge,H2O,37.0208865,52699500,-113.1806608,1.923321932,-39.52811,1.630590974,0.236042484,0.144758856
151_sxb+N250+183_charge,H2O,46.166232,5490670000,-121.4753108,14.62566646,-51.12882,1.525629156,0.012179035,0.007982959
1565_utk+N245+427_charge,H2O,130.46274,5.21E+11,-126.7177469,9.384695052,-43.18475,2.099737951,0.091898297,0.043766555
1642_lvt+N174+278_charge,H2O,33.2787435,0.0852307,-55.22260017,2.095639814,-42.36122604,2.434371745,0.941618423,0.38680141
165_qtz+N520+39_charge,H2O,86.20038,1.95E+12,-129.2107669,7.618453816,-41.72927,1.607630017,0.05042529,0.031366228
1808_pcu+N668+2161_charge,H2O,68.105715,281321,-89.93219124,10.01615037,-43.43583,1.929193208,0.053069744,0.027508776
1810_dmp+N398+39_charge,H2O,13.0683075,22616.4,-96.6621279,7.789053009,-55.56002,2.000289319,0.007592553,0.003795727
188_dmp+N520+94_charge,H2O,18.0193515,128289000,-114.445911,2.220535889,-44.87201,1.748622286,0.220603504,0.126158465
199_dmp+N520+244_charge,H2O,90.035985,70781200,-108.728262,4.003227096,-43.53554,0.815872279,0.170203827,0.208615774
200_dmp+N520+246_charge,H2O,42.064782,1.15E+11,-127.0882017,3.269500651,-39.8207,1.738238075,0.107247096,0.061698738
309_bcu+N647+383_charge,H2O,38.515779,3695760,-105.4852732,1.46881383,-31.84146,1.090949958,0.098771202,0.090536877
311_dmp+N520+292_charge,H2O,11.478621,1390190000,-121.8737174,2.853892575,-43.56648,1.818133307,0.261099935,0.143608796
315_dia+N520+225_charge,H2O,153.54963,109086000,-110.4419814,6.174847928,-38.38425,1.268255128,0.151473133,0.119434276
322_dmp+N520+396_charge,H2O,63.550275,65343700,-109.8895525,1.862838903,-44.39271,0.90061174,0.279664016,0.310526727
336_dmp+N276+413_charge,H2O,34.0019085,533.438,-80.17672515,3.78064366,-44.07183,1.833900641,0.108997602,0.059434846
345_sxb+N101+424_charge,H2O,78.967065,5056810000,-114.1695003,3.94269499,-35.07877,0.799429415,0.08496643,0.106283842
