MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
691978,H2O,38.389683,4.63E-06,-13.12123291,0.045447308,-15.92945349,0.265729667,0.241871192,0.910215237
010_bcg+N131+14_charge,H2O,37.494135,997121000,-116.7804629,28.42388158,-60.71231,3.919287104,0.002318246,0.000591497
014_dmp+N156+20_charge,H2O,24.2768655,1.11E+12,-141.0107192,16.13855833,-55.93676,3.563023086,0.001561335,0.000438205
022_dmp+N276+33_charge,H2O,25.824927,3156730,-107.1839053,17.35279447,-54.02773,2.624824094,0.003541203,0.00134912
025_dmp+N520+36_charge,H2O,19.7121015,1.59E+13,-145.0492899,12.39814971,-58.20373,2.750904916,0.007088675,0.002576852
027_dmp+N520+39_charge,H2O,34.8509475,1.29E+12,-142.2230586,14.66464302,-49.67977,1.975552055,0.087693701,0.044389466
030_dmp+N520+42_charge,H2O,72.58401,1298310000,-114.4570922,7.513272654,-40.89882,1.580534456,0.067506228,0.042711013
036_bcu+N124+36_charge,H2O,8.9557575,62706200000,-134.1346535,6.821003211,-51.61023,2.118549918,0.007077744,0.003340844
041_dmp+N520+52_charge,H2O,12.8037945,6.31E+13,-149.0612011,6.380883842,-51.73295,1.348381514,0.007062811,0.005237991
045_dmp+N520+57_charge,H2O,17.3815455,2.70E+13,-148.7677032,9.316122963,-53.29681,1.493826823,0.005345577,0.003578445
047_dmp+N520+61_charge,H2O,19.0027005,1.08E+11,-134.284041,0.850090479,-34.35671,0.73985227,0.055163704,0.074560431
048_dmp+N520+62_charge,H2O,53.5416825,1.27E+11,-125.2968017,13.68759748,-45.58276,1.766984122,0.01891293,0.010703509
050_dmp+N520+66_charge,H2O,16.9694025,1.25E+11,-136.8587363,11.29374343,-56.44443,2.175753761,0.032305366,0.014847896
054_dmp+N520+70_charge,H2O,25.247394,3253770000,-118.8064499,1.3727743,-42.5038,0.975620614,0.135001414,0.138374909
