MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
691978,H2O,38.389683,4.63E-06,-13.12123291,0.045447308,-15.92945349,0.07604208,0.069015269,0.907593123
010_bcg+N131+14_charge,H2O,37.494135,997121000,-116.7804629,28.42388158,-60.71231,2.138148461,0.001076328,0.000503393
014_dmp+N156+20_charge,H2O,24.2768655,1.11E+12,-141.0107192,16.13855833,-55.93676,2.157989762,0.001017759,0.000471624
022_dmp+N276+33_charge,H2O,25.824927,3156730,-107.1839053,17.35279447,-54.02773,1.217011428,0.00402321,0.003305812
025_dmp+N520+36_charge,H2O,19.7121015,1.59E+13,-145.0492899,12.39814971,-58.20373,1.651536557,0.001415566,0.00085712
027_dmp+N520+39_charge,H2O,34.8509475,1.29E+12,-142.2230586,14.66464302,-49.67977,1.415616135,0.021821471,0.015414822
030_dmp+N520+42_charge,H2O,72.58401,1298310000,-114.4570922,7.513272654,-40.89882,1.363006407,0.019515763,0.014318174
036_bcu+N124+36_charge,H2O,8.9557575,62706200000,-134.1346535,6.821003211,-51.61023,1.465866678,0.003344646,0.002281685
041_dmp+N520+52_charge,H2O,12.8037945,6.31E+13,-149.0612011,6.380883842,-51.73295,0.982476469,0.004142969,0.004216863
045_dmp+N520+57_charge,H2O,17.3815455,2.70E+13,-148.7677032,9.316122963,-53.29681,0.908382334,0.002523799,0.002778344
047_dmp+N520+61_charge,H2O,19.0027005,1.08E+11,-134.284041,0.850090479,-34.35671,0.41854983,0.030523607,0.072927056
048_dmp+N520+62_charge,H2O,53.5416825,1.27E+11,-125.2968017,13.68759748,-45.58276,1.418748702,0.0456923,0.032206056
050_dmp+N520+66_charge,H2O,16.9694025,1.25E+11,-136.8587363,11.29374343,-56.44443,1.433193057,0.002749952,0.001918759
054_dmp+N520+70_charge,H2O,25.247394,3253770000,-118.8064499,1.3727743,-42.5038,0.639509542,0.056399118,0.088191207
061_dmp+N520+77_charge,H2O,42.4896345,12790500000,-118.5473542,2.24890866,-45.45444,0.725984365,0.060872763,0.083848587
063_crs+N324+79_charge,H2O,58.62465,3240880000,-117.3584456,9.13374309,-42.43616,0.683322193,0.007274466,0.010645734
064_dmp+N520+81_charge,H2O,21.3289275,5.61E+11,-138.9298456,13.34496096,-53.875,1.566928859,0.001017938,0.000649639
074_dmp+N520+93_charge,H2O,16.9684035,2.64E+12,-142.1481968,10.11134294,-51.2196,0.572256851,0.001133773,0.00198123
078_dmp+N520+20_charge,H2O,21.2707635,5.72E+13,-144.8394195,6.662929521,-50.00001,1.00506705,0.001625581,0.001617386
093_dmp+N520+79_charge,H2O,29.654205,86025700000,-130.2367461,19.37844049,-60.32215,1.433705479,0.001200093,0.000837057
100_rob+N147+124_charge,H2O,38.385132,5442230,-104.040093,3.527222656,-41.36992,1.283310745,0.030451975,0.023729229
102_dmp+N520+126_charge,H2O,10.7470755,1.75E+13,-149.0067888,5.430363308,-56.76792,0.461003156,0.004773152,0.010353839
103_tfz-d+N586+128_charge,H2O,14.5804605,9878840000,-128.929796,7.50385297,-49.49678,1.727913136,0.007097641,0.004107638
1075_bcg+N586+1035_charge,H2O,45.999843,714839000,-119.2604582,0.205966264,-31.02026,0.126650602,0.03799467,0.299995965
108_dmp+N520+14_charge,H2O,33.646986,967461000,-120.5002441,20.64087638,-53.19519,1.030045082,0.001055646,0.001024854
130_unc+N520+41_charge,H2O,10.4958825,6.06E+13,-150.9499,6.848095101,-58.42549,0.906273635,0.000617815,0.000681709
1313_hex+N586+971_charge,H2O,14.1273585,1.83E+16,-166.4870871,4.091020215,-42.044,1.607571599,0.021944692,0.013650833
1337_tfz-d+N586+1590_charge,H2O,37.0208865,52699500,-113.1806608,1.923321932,-39.52811,0.82672215,0.071221953,0.086149806
