Label,Source,Formula,Density (g.cm⁻³),PLD (Å),Cp (J.g⁻¹.K⁻¹),Link to Publication
691978,Experimental,Al4 H28 C48 O20,0.7924,8.16272,0.969,Not Available
010_bcg+N131+14_charge,In Silico,Mn20 H160 C224 N128 Cl8 F96,0.8575,5.31693,0.8379,10.26434/chemrxiv-2023-71mjq
014_dmp+N156+20_charge,In Silico,Dy4 H40 C80 N8 O32 F32,1.1416,3.58875,0.7455,10.26434/chemrxiv-2023-71mjq
022_dmp+N276+33_charge,In Silico,Ni8 H120 C120 O36 F32,0.9546,5.89599,0.9283,10.26434/chemrxiv-2023-71mjq
025_dmp+N520+36_charge,In Silico,Eu4 H32 C88 O48 F32,1.2038,3.25524,0.754,10.26434/chemrxiv-2023-71mjq
027_dmp+N520+39_charge,In Silico,Eu4 C48 N16 O40 F32,0.9918,6.50798,0.6866,10.26434/chemrxiv-2023-71mjq
030_dmp+N520+42_charge,In Silico,Eu4 C48 S8 N16 O32 F32,0.5972,8.09608,0.6728,10.26434/chemrxiv-2023-71mjq
036_bcu+N124+36_charge,In Silico,Dy8 H32 C88 O50 F32,1.8341,2.9283,0.6279,10.26434/chemrxiv-2023-71mjq
041_dmp+N520+52_charge,In Silico,Eu4 H24 C80 Br8 O32 F32,1.4893,4.7983,0.6383,10.26434/chemrxiv-2023-71mjq
045_dmp+N520+57_charge,In Silico,Eu4 H16 C48 N32 O32 F32,1.3112,6.34256,0.7215,10.26434/chemrxiv-2023-71mjq
047_dmp+N520+61_charge,In Silico,Eu4 H32 C80 Cl32 O48,1.2457,6.07212,0.716,10.26434/chemrxiv-2023-71mjq
048_dmp+N520+62_charge,In Silico,Eu4 H16 C80 O40 F48,0.7266,7.38189,0.7297,10.26434/chemrxiv-2023-71mjq
050_dmp+N520+66_charge,In Silico,Eu4 H96 C112 O32 F32,1.1517,3.39677,0.8408,10.26434/chemrxiv-2023-71mjq
054_dmp+N520+70_charge,In Silico,Eu4 H24 C112 Br40 O32,1.2861,6.61349,0.4788,10.26434/chemrxiv-2023-71mjq
061_dmp+N520+77_charge,In Silico,Eu4 H16 C80 N32 Cl32 O32,0.8417,6.64987,0.7065,10.26434/chemrxiv-2023-71mjq
063_crs+N324+79_charge,In Silico,Eu32 H288 C528 O192 F192,0.6631,11.1013,0.7263,10.26434/chemrxiv-2023-71mjq
064_dmp+N520+81_charge,In Silico,Eu4 H32 C80 O40 F32,1.1619,4.4589,0.744,10.26434/chemrxiv-2023-71mjq
074_dmp+N520+93_charge,In Silico,Eu4 H32 C80 O40 F32,1.2526,5.62287,0.7507,10.26434/chemrxiv-2023-71mjq
078_dmp+N520+20_charge,In Silico,Eu4 H40 C80 N8 O32 F32,1.1624,6.88715,0.7683,10.26434/chemrxiv-2023-71mjq
093_dmp+N520+79_charge,In Silico,Eu4 H48 C88 O32 F32,0.9937,5.66749,0.7669,10.26434/chemrxiv-2023-71mjq
100_rob+N147+124_charge,In Silico,Ho8 H72 C132 N48 O60,0.8878,5.54128,0.7287,10.26434/chemrxiv-2023-71mjq
102_dmp+N520+126_charge,In Silico,Eu4 H24 C72 N8 O32 F32,1.4147,5.28259,0.7265,10.26434/chemrxiv-2023-71mjq
103_tfz-d+N586+128_charge,In Silico,Ce2 H28 C40 O20,1.3659,3.50994,0.8044,10.26434/chemrxiv-2023-71mjq
1075_bcg+N586+1035_charge,In Silico,Ce8 H152 C208 I32 N48 O80,0.8248,10.21403,0.5625,10.26434/chemrxiv-2023-71mjq
108_dmp+N520+14_charge,In Silico,Eu4 H80 C112 O32 F48,0.9171,4.52183,0.8178,10.26434/chemrxiv-2023-71mjq
130_unc+N520+41_charge,In Silico,Eu4 H8 C80 O32 F64,1.5971,4.79952,0.7218,10.26434/chemrxiv-2023-71mjq
1313_hex+N586+971_charge,In Silico,Ce2 H58 C64 S4 O16,1.2089,2.8377,0.8609,10.26434/chemrxiv-2023-71mjq
1337_tfz-d+N586+1590_charge,In Silico,Ce2 H60 C80 N8 O22,0.8089,4.86032,0.9,10.26434/chemrxiv-2023-71mjq
151_sxb+N250+183_charge,In Silico,Ce8 H216 C240 O48 F48,0.7368,7.69958,0.8151,10.26434/chemrxiv-2023-71mjq
1565_utk+N245+427_charge,In Silico,Sm8 H108 C192 N12 O48 F48,0.3562,17.73332,0.7847,10.26434/chemrxiv-2023-71mjq
1642_lvt+N174+278_charge,In Silico,Ni8 H352 C432 N32 O16,0.7622,8.72731,1.0263,10.26434/chemrxiv-2023-71mjq
165_qtz+N520+39_charge,In Silico,Eu3 C36 N12 O30 F24,0.5222,10.46081,0.6872,10.26434/chemrxiv-2023-71mjq
1808_pcu+N668+2161_charge,In Silico,Mn3 H18 C21 S3 N30,0.5926,6.99801,0.8263,10.26434/chemrxiv-2023-71mjq
1810_dmp+N398+39_charge,In Silico,Co8 C48 N16 O40 F32,1.4947,3.32552,0.7409,10.26434/chemrxiv-2023-71mjq
188_dmp+N520+94_charge,In Silico,Eu4 H32 C72 O48,1.2456,4.56508,0.7442,10.26434/chemrxiv-2023-71mjq
199_dmp+N520+244_charge,In Silico,Eu4 H40 C104 S8 N8 O32 F32,0.4875,8.13067,0.7563,10.26434/chemrxiv-2023-71mjq
200_dmp+N520+246_charge,In Silico,Eu4 H48 C120 Cl32 O32,0.8193,6.96179,0.7393,10.26434/chemrxiv-2023-71mjq
309_bcu+N647+383_charge,In Silico,Co12 H112 C80 O58,0.8312,5.31532,0.8793,10.26434/chemrxiv-2023-71mjq
311_dmp+N520+292_charge,In Silico,Eu4 H24 C64 Br8 O32,1.5775,4.90651,0.585,10.26434/chemrxiv-2023-71mjq
315_dia+N520+225_charge,In Silico,Eu8 H192 C288 O64 F64,0.3055,12.66876,0.843,10.26434/chemrxiv-2023-71mjq
322_dmp+N520+396_charge,In Silico,Eu4 H112 C128 Cl32 O32,0.6127,6.9489,0.792,10.26434/chemrxiv-2023-71mjq
336_dmp+N276+413_charge,In Silico,Ni8 H88 C88 O44,0.855,4.76195,0.9239,10.26434/chemrxiv-2023-71mjq
345_sxb+N101+424_charge,In Silico,Dy8 H96 C192 O48 F48,0.5359,10.65536,0.7461,10.26434/chemrxiv-2023-71mjq
350_dmp+N520+427_charge,In Silico,Eu4 H72 C128 N8 O32 F32,0.6851,7.71436,0.8177,10.26434/chemrxiv-2023-71mjq
454_sit+N433+556_charge,In Silico,Sc6 H8 C48 I12 N16 O26,1.826,2.71431,0.5049,10.26434/chemrxiv-2023-71mjq
509_dmp+N390+306_charge,In Silico,Co8 H104 C144 O36 F32,0.9518,6.34019,0.915,10.26434/chemrxiv-2023-71mjq
594_tfz-d+N586+731_charge,In Silico,Ce2 Si2 H52 C70 O20,1.0591,3.65256,0.8759,10.26434/chemrxiv-2023-71mjq
acs.cgd.5b01178_MAHFUZ1419064_clean,Experimental,Zn4 H40 C56 N8 O16,1.2411,2.92513,0.8933,10.1021/acs.cgd.5b01178
