,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,99.44190137644787,86.95630302680658,1.586872671397736,7.626016565880539,0.0916181375657857,-0.0916181375657857,0.0093237779518382,"[60591.80175497085, 340.05988109557364]","[[3850.1088346677047, 11060.673612634188], [5196.456591301833, 1862.3356478143385], [60591.80175497085, 340.05988109557364]]","[749.1121436309425, 434.81975604359826, 48.27808632958012, 7.459345828496288, 147.59336694941987, 110.96158847984796]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 89.4415813365239, 310.15, 0.17068653173472356], [2, 79.4914450242588, 310.15, 0.19038960163370663], [3, 71.14770074667524, 310.15, 0.21101928173287376], [4, 64.13852475747436, 310.15, 0.23235248015254628], [5, 58.23795846958765, 310.15, 0.2541452731590962], [6, 53.25836050781673, 310.15, 0.27614666725203507], [7, 49.044124762809545, 310.15, 0.298112081190241], [8, 45.46640308259625, 310.15, 0.31981502816593654], [9, 42.41865067919698, 310.15, 0.3410559463883951], [10, 39.81454431875026, 310.15, 0.36167434732553433], [11, 37.578969385100834, 310.15, 0.3815331744221692], [12, 35.65222503295744, 310.15, 0.40053336104599974], [13, 33.985052909380805, 310.15, 0.418608049647237], [14, 32.53670635912468, 310.15, 0.4357185676479842], [15, 31.273443074856054, 310.15, 0.4518500041603636], [16, 30.167275668885043, 310.15, 0.4670066683220441], [17, 29.194941456825603, 310.15, 0.48120778932820063], [18, 28.337056497773496, 310.15, 0.4944836736595643]]",45.53808532566551,284.8804608840874,176.7358355441095,47.17178446868521,31.818011526930736,11.626031241036204,92.9958261202538,2.081766732995508,2.8563660713503074,0.5456995164881685,7.626016565880539,534478.6215769271,534478.6215769271,424.314952394752,4.651923608106277,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 130470275.98465973, 'Material': 11545724.916706694, 'VacuumPump': 5555820.483345397, 'CentrifugalCompressor': 64531403.450259835}","{'Fixed': 153799140.24723053, 'Adsorbent': 24771630.920629285, 'npv_CC': 44996518593.03569}","{'CAC_CAPEX': 26.473162603150293, 'CAC_FixedOPEX': 8.063397830890914, 'CAC_VariableOPEX': 12.85715059687994}",590.5093042494573,47.17178446868521,4.651923608106277,0.2202918732169551,3.493325410516405e-05,0.2202050282345497,5.1911728300191935e-05,0.0248344894535249,2.103568046821862,8.875684710159492e-08,0.4072754722971531,0.001245615289453,5.772690079358666,0.4623878808799739,5.306431884975116,0.0038703135035759,3.920665117719463e-05,0.0002455634891064,0.0026088597836091,4.403535157716896e-11,3.511119260232079e-20,3.889417003164961e-11,5.141181510408137e-12,2.138035479714222e-09,1.5493022691305904e-10,1.979105708712595e-09,5.534527779526101e-11,1.628415334097011e-08,2.602203641529027e-09,0.0006819136527751,0.0136372089220161,47.211974525845136,67.80053614501017
1,AlTCPP,99.62706352514198,87.4912948393847,2.196724579483179,8.424200402248214,0.0776597771666203,-0.0776597771666203,0.0093495912221143,"[83220.96683894936, 311.52312342681716]","[[4171.658671865742, 12317.270727491432], [7681.904442030027, 2573.781912983184], [83220.96683894936, 311.52312342681716]]","[938.7488555031211, 597.023873764885, 52.26414584955861, 8.7117867557922, 165.09557253619386, 115.65347659669149]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 90.27035892612336, 310.15, 0.16815558038604195], [2, 80.96415374122091, 310.15, 0.18488611448143358], [3, 73.31066799030212, 310.15, 0.2023241097206428], [4, 66.9222347902315, 310.15, 0.22036352099305004], [5, 61.42943225737461, 310.15, 0.23878538343049416], [6, 56.695624333540295, 310.15, 0.2574377010278224], [7, 52.60581369316855, 310.15, 0.2761691164759129], [8, 49.0631548703745, 310.15, 0.2948343953898825], [9, 45.986048083528985, 310.15, 0.3132990483689949], [10, 43.305707016693944, 310.15, 0.33144283494785653], [11, 40.964117261932124, 310.15, 0.34916204973595966], [12, 38.91231955284039, 310.15, 0.366370630771641], [13, 37.108964910465474, 310.15, 0.3830002347244852], [14, 35.51909858407611, 310.15, 0.39899948584289124], [15, 34.11313711066519, 310.15, 0.4143326279227764], [16, 32.86600860962606, 310.15, 0.4289777996484688], [17, 31.756431053075143, 310.15, 0.44292512434370895], [18, 30.766307039852155, 310.15, 0.45617476581419575], [19, 29.880216774335324, 310.15, 0.46873506068677345]]",52.2595328892761,267.2180682253102,165.0913595854894,41.848364365094255,29.3758645795543,10.886536782962844,90.17232609874634,1.7646019106340023,2.533961336041978,0.5386899730481447,8.424200402248214,534646.5871070604,534646.5871070604,414.1230912472134,4.0931093104271055,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 119078055.5241094, 'Material': 10455064.605541598, 'VacuumPump': 4925713.4174180245, 'CentrifugalCompressor': 64494137.21430912}","{'Fixed': 144321366.11201823, 'Adsorbent': 22431592.951348886, 'npv_CC': 45010659222.4164}","{'CAC_CAPEX': 23.534653039807413, 'CAC_FixedOPEX': 7.203869802553868, 'CAC_VariableOPEX': 11.305109062495685}",604.6365611659633,41.848364365094255,4.0931093104271055,0.2017272080054284,3.199050809211747e-05,0.2016476826052434,4.753489209283582e-05,0.0227417624496508,1.9264434950517384,8.128748409187458e-08,0.3729400357471569,0.0011409909421696,5.286005396749239,0.4234456606255951,4.8590152776685445,0.003544458455099,3.5900742410208795e-05,0.0002250512064941,0.002391131630039,4.0325946576756616e-11,3.216054222650185e-20,3.5613668590351046e-11,4.712277954245018e-12,1.957754020260673e-09,1.418828589185016e-10,1.8122069927643958e-09,5.0682185826810276e-11,1.4911447331871533e-08,2.3893525279142667e-09,0.0006249187324531,0.0124872129002216,41.88039252765033,69.84192020665587
2,AlTCPP-FF2,99.99017215189694,93.91647358188725,1.4259274433921532,8.194038897976524,0.0924225887343092,-0.0924225887343092,0.0088194170551579,"[54019.999407119525, 5.309525299092252]","[[782.0210430784928, 2306.7759104429792], [2652.597943378998, 197.13218735497037], [54019.999407119525, 5.309525299092252]]","[626.4723489998813, 368.2842183144412, 15.89064243269845, 6.128797100154347, 136.23099622571073, 99.93769492687659]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 38.048460371775455, 310.15, 0.39221380849555304], [2, 28.067674232596385, 310.15, 0.5264279971462131], [3, 24.584973907332763, 310.15, 0.5979975716450552], [4, 22.900028929538788, 310.15, 0.6400647004721896], [5, 21.943353769501503, 310.15, 0.6666564648434913], [6, 21.34838717691299, 310.15, 0.6843148080491929]]",1582.5050910855523,281.59027080470366,174.50330760759022,44.46565978509192,30.45723887484004,10.913369692351653,93.3707732014985,2.100045642886566,2.842192477687949,0.5045183303068413,8.194038897976522,562596.733241417,562596.733241417,378.7276579678437,4.433933225357548,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 128822822.37658899, 'Material': 11310656.062424151, 'VacuumPump': 1772832.5925502456, 'CentrifugalCompressor': 67747255.00971071}","{'Fixed': 152033599.24512744, 'Adsorbent': 24267285.03145983, 'npv_CC': 47363717360.64845}","{'CAC_CAPEX': 24.908335180636126, 'CAC_FixedOPEX': 7.541892388371025, 'CAC_VariableOPEX': 12.226959240340372}",587.3450511915441,44.46565978509192,4.433933225357548,0.2132172008668386,3.380652821374761e-05,0.2131331520189116,5.0242319713211496e-05,0.0240351507973497,2.036159961635908,8.587978490347076e-08,0.3941882898990237,0.0012059995541206,5.587247715579997,0.4475746270427085,5.135927631009951,0.0037454575273385,3.794622018520797e-05,0.0002378696431004,0.0025273248809098,4.2616901333913166e-11,3.3983138630722245e-20,3.7639178048765615e-11,4.9777232511644096e-12,2.069282781336676e-09,1.4994846027052934e-10,1.9154690602111496e-09,5.356240455299462e-11,1.5761155718639357e-08,2.4867603342118343e-09,0.000660509671888,0.0131988392145469,44.501516233971,73.89186596947285
3,Ca-SQA,99.98888009064832,90.74986433886907,1.4642738367391643,4.219816193515194,0.0940641823731935,-0.0940641823731935,0.0090584514463371,"[106266.76247664756, 11.818081818340795]","[[2425.479242214047, 6354.238785522777], [8380.626494718606, 886.8914366955605], [106266.76247664756, 11.818081818340795]]","[1249.1979675232772, 757.1140336852937, 31.8482030708561, 13.10502704236471, 264.5805787434776, 182.55012498128505]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 79.1603233020174, 310.15, 0.19218418658689485], [2, 63.90831623865953, 310.15, 0.23560905460965675], [3, 53.24902000733116, 310.15, 0.28042825435753427], [4, 45.6746768581985, 310.15, 0.3247116153340078], [5, 40.19610839802814, 310.15, 0.3668915462140069], [6, 36.159561898832514, 310.15, 0.4059264341747887], [7, 33.129684232440816, 310.15, 0.441287532026014], [8, 30.81386757637163, 310.15, 0.47284589159712365], [9, 29.013185307654354, 310.15, 0.500735625192315], [10, 27.59057417113947, 310.15, 0.5252372652486429], [11, 26.45018549354558, 310.15, 0.5466949235407105], [12, 25.523938013657215, 310.15, 0.5654645591525485], [13, 24.76270228134051, 310.15, 0.581885246048386]]",152.90926553803266,286.6446230779806,196.4967769136503,46.99400484810861,31.922107679306198,12.025842053919352,93.23701276923477,2.1373462813553687,2.887155257098175,0.513818716477868,4.219816193515194,538346.4991771615,538346.4991771615,416.8730824919795,4.551629039250091,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 124952222.27575456, 'Material': 21016334.417607542, 'VacuumPump': 2620674.6395058674, 'CentrifugalCompressor': 64827472.45848936}","{'Fixed': 154745803.08813903, 'Adsorbent': 45091051.73155217, 'npv_CC': 45322146259.566185}","{'CAC_CAPEX': 26.056631819916706, 'CAC_FixedOPEX': 7.957841426269174, 'CAC_VariableOPEX': 13.196673470609877}",591.7725564009729,46.99400484810861,4.551629039250091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,99.79463320337712,93.87515144670786,1.3312265626123954,4.3623806253036665,0.0849688781670722,-0.0849688781670722,0.0088278507198329,"[99422.3311079452, 204.6006383009205]","[[2632.023294422527, 7453.818961679027], [3814.681832090169, 1237.2759308813088], [99422.3311079452, 204.6006383009205]]","[1098.5780556622158, 680.036173709746, 35.470467027509876, 9.155537453919107, 222.28597779267906, 151.62989967836188]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 82.04062494479173, 310.15, 0.18293706281579802], [2, 68.18699537311194, 310.15, 0.21535743785289352], [3, 58.041727491009546, 310.15, 0.24847228153513187], [4, 50.48085759038138, 310.15, 0.28141416409428616], [5, 44.753720659992474, 310.15, 0.31342926358342676], [6, 40.34901057486274, 310.15, 0.3439331397160858], [7, 36.91250393012537, 310.15, 0.3725272009875862], [8, 34.19507974861837, 310.15, 0.39898478569465234], [9, 32.01909437199043, 310.15, 0.4232201625397057], [10, 30.256205089004002, 310.15, 0.4452522297808412], [11, 28.812510548057954, 310.15, 0.46517061403874954], [12, 27.618459548372712, 310.15, 0.4831078546742823], [13, 26.621916255161075, 310.15, 0.4992185468546736], [14, 25.783341758079583, 310.15, 0.513664790121031]]",106.28407977746,286.8298993260114,196.91327179511947,43.637470602682406,30.39072178231109,11.5587481450648,92.88107918228744,1.930680852152754,2.6781812869277783,0.5117749396257693,4.3623806253036665,560760.8255164836,560760.8255164836,377.4975120375062,4.202026453157456,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 122341250.7845749, 'Material': 21175941.19140417, 'VacuumPump': 2447718.809926036, 'CentrifugalCompressor': 67589737.4947678}","{'Fixed': 154845223.7309353, 'Adsorbent': 45433491.90931887, 'npv_CC': 47209156536.800476}","{'CAC_CAPEX': 24.21142090901568, 'CAC_FixedOPEX': 7.415924600513891, 'CAC_VariableOPEX': 12.210588678485303}",594.122388174645,43.637470602682406,4.202026453157456,0.205817298477097,3.276473490734964e-05,0.2057360216941015,4.8512048088139006e-05,0.0232327381116167,1.9675011139975944,8.374248982995661e-08,0.3804941647338969,0.001166361610089,5.391280156030456,0.4322270657330985,4.955420371117946,0.00363271917941,3.661731014689352e-05,0.0002308238354146,0.0024536204589838,4.120118004334976e-11,3.30304003134032e-20,3.635203244880667e-11,4.8491475615126905e-12,1.9974070369595683e-09,1.4495500536182996e-10,1.8486089027041735e-09,5.181107277920437e-11,1.520980002518854e-08,2.918377026145445e-09,0.0006407558861409,0.0127346671253675,43.69383789140559,74.5540213818181
5,CAU10,98.9877358180961,88.64914826776977,1.983844863750704,5.835359631685257,0.0846716339066697,-0.0846716339066697,0.009564386564218,"[107638.19359309974, 1100.7251259828554]","[[4061.401957622667, 14332.155317383758], [9663.162864451337, 6019.613773295472], [107638.19359309974, 1100.7251259828554]]","[1223.8905500739402, 751.7575242931944, 55.319644676833796, 12.830221908688767, 230.5176981160131, 173.46546107921029]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 91.70607383753033, 310.15, 0.16357459348047382], [2, 83.54499323579677, 310.15, 0.17509934299744626], [3, 76.57569454096871, 310.15, 0.1866228965917752], [4, 70.58787139597084, 310.15, 0.19809705190837879], [5, 65.41396798364954, 310.15, 0.209477232874413], [6, 60.91947755396726, 310.15, 0.22072284109117213], [7, 56.995646082990106, 310.15, 0.2317974831621625], [8, 53.55394023428901, 310.15, 0.2426690807963773], [9, 50.52181992730064, 310.15, 0.25330987490379964], [10, 47.839483211297846, 310.15, 0.2636963379045939], [11, 45.50032909483547, 310.15, 0.27381688043376334], [12, 43.419382855809694, 310.15, 0.28368102493357716], [13, 41.54824879198236, 310.15, 0.29327673183094155], [14, 39.86156259751116, 310.15, 0.30258966547811234], [15, 38.33746734830336, 310.15, 0.3116089574292376], [16, 37.13043777753866, 310.15, 0.32030973950570746], [17, 36.07281060947455, 310.15, 0.32877780387843203], [18, 35.09496427532362, 310.15, 0.3370382108506227], [19, 34.189722179083645, 310.15, 0.34508481361628546]]",43.02360579568495,282.3684193737062,183.2507529397205,44.54170621397076,30.686613002172116,11.38966137768982,92.58991466092418,1.923926805090452,2.692638305376253,0.5395631533693507,5.835359631685258,549179.5501501256,549179.5501501256,397.3787746891604,4.352622381680052,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 123293110.5923205, 'Material': 15503699.495792028, 'VacuumPump': 4984413.9212757815, 'CentrifugalCompressor': 66451700.19626798}","{'Fixed': 152451159.6811978, 'Adsorbent': 33263560.71920459, 'npv_CC': 46234155757.880844}","{'CAC_CAPEX': 24.870189042907437, 'CAC_FixedOPEX': 7.589390930448873, 'CAC_VariableOPEX': 12.289774216646167}",593.5420152537451,44.54170621397076,4.352622381680052,0.2106436179133241,3.3460829629868786e-05,0.2105605093727429,4.964771095137411e-05,0.0237671349779718,2.0122553708920683,8.51979532608857e-08,0.3894677739448145,0.0011910651800196,5.519641514327168,0.442156581818181,5.073776659051555,0.0037082734574318,3.749029775870479e-05,0.0002348196335985,0.0024946654998089,4.214438364255872e-11,3.364805937639529e-20,3.722560435614413e-11,4.918779252766515e-12,2.044823952940305e-09,1.482162933974339e-10,1.89272065981566e-09,5.2987329923459646e-11,1.557044394829984e-08,2.80560566601459e-09,0.0006521050852113,0.0130395950657261,44.58475010765773,69.97577095171205
6,CAU21,97.30315292331808,87.12152177964101,0.3421030398442763,2.6928979943492672,0.2830643631821586,-0.2830643631821586,0.0093751586823086,"[18617.230885996338, 515.9938109136011]","[[1651.628712586636, 5335.443064072057], [1020.2809421512312, 729.5644299198486], [18617.230885996338, 515.9938109136011]]","[457.34036195344305, 126.917166736923, 26.346438402913652, 7.694514904914775, 150.6260778938899, 145.7561640148017]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 73.37735415312167, 310.15, 0.1929740953887898], [2, 56.510796391772246, 310.15, 0.23402631018251696], [3, 45.85404042125141, 310.15, 0.27302299863622687], [4, 38.83731270162788, 310.15, 0.3084708885663131], [5, 34.04675841293118, 310.15, 0.3396486342132325], [6, 30.67218322384281, 310.15, 0.36643219997009685], [7, 28.231021067179448, 310.15, 0.38906984458249927], [8, 26.42521395588322, 310.15, 0.4079956301725625], [9, 25.064329584676038, 310.15, 0.4237052533606828], [10, 24.02284096151346, 310.15, 0.4366853415621274], [11, 23.21561171943543, 310.15, 0.4473791142316096]]",40.66665942825406,517.7556733347109,417.5663793246543,201.2183653095381,64.17446867686482,22.106915539272112,156.79217777412774,6.431848433352539,7.219999732709549,0.5680326699122945,2.692897994349267,560962.0615428756,562626.85289905,574.6539142633309,20.497403655217862,"(234.1490344623048, 0, 602.4269849351609)","{'ShellAndTubePackedColumn': 272893489.3230963, 'Material': 34418280.12967148, 'VacuumPump': 7570238.390338265, 'CentrifugalCompressor': 68635818.26979326, 'ForcedDraughtCoolingTower': 1968941.3898290913}","{'Fixed': 278761749.1041775, 'Electricity': 19712465.489525717, 'Makeup-water': 50716934.100384586, 'Adsorbent': 73845249.08101183, 'npv_CC': 47366253064.94042}","{'CAC_CAPEX': 108.03234008629136, 'CAC_FixedOPEX': 31.654125369147724, 'CAC_VariableOPEX': 62.50975311479602}",389.9364152814872,201.2183653095381,20.497403655217862,0.4622440992760429,7.345192228920833e-05,0.4620617084493819,0.0001089389043717,0.0521617963453859,4.415107538580372,1.8716286934620547e-07,0.8545345602470159,0.0026133203184438,12.11047881803034,0.970113881855012,11.132224776639518,0.0081401595358109,8.225764584577467e-05,0.000515214453841,0.0054734928355979,9.245757696739599e-11,7.387541474611477e-20,8.166949294069801e-11,1.0788083952822534e-11,4.486296079183192e-09,3.25209522048052e-10,4.152507872362412e-09,1.1631031462411908e-10,3.4163400294875914e-08,6.4168353928904125e-09,0.0014307863716476,0.0286104413878349,202.18824375875596,46.85011241705271
7,CuAlPyC,99.74429826885284,93.27124236863114,1.670609737961099,4.769363104343488,0.08557212516950323,-0.08557212516950323,0.008914279564346494,"[113078.3702183611, 289.88459011660746]","[[2980.0728074826284, 8938.972068458337], [5135.860720191094, 1948.7354624394118], [113078.3702183611, 289.88459011660746]]","[1261.005908982437, 757.4171055044351, 41.20569589404992, 10.645756976141382, 268.2263944281841, 183.51095617962653]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 84.0002854344024, 310.15, 0.17542080600894353], [2, 71.30342897945303, 310.15, 0.19902952896156037], [3, 61.74999593419704, 310.15, 0.22255396872498828], [4, 55.03660489009616, 310.15, 0.24593294063624893], [5, 49.728071221879595, 310.15, 0.2690520828645188], [6, 45.41162647138394, 310.15, 0.2916642156367897], [7, 41.87001051807531, 310.15, 0.31354609189442895], [8, 38.93955632792609, 310.15, 0.33452431771468494], [9, 36.49559405323433, 310.15, 0.3544745929300769], [10, 34.44221211083434, 310.15, 0.37331752712238], [11, 32.704953257736555, 310.15, 0.39101242522305024], [12, 31.225529042630694, 310.15, 0.4075502395245], [13, 29.957947542151302, 310.15, 0.4229465707184013], [14, 28.865646171055282, 310.15, 0.4372352773907647], [15, 27.919348799081767, 310.15, 0.45046298227535675], [16, 27.095450786825694, 310.15, 0.4626845664024919]]",107.30334215824622,292.33973925724166,197.09419848229146,43.77967750252589,30.40875332214145,11.461992472024045,93.72921916012248,1.9443879583525314,2.6939320547595695,0.514373878401623,4.769363104343488,572624.8240408503,572624.8240408503,360.2597612059229,4.2389013146768075,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 126082852.11020589, 'Material': 19778729.696387403, 'VacuumPump': 2758875.180805779, 'CentrifugalCompressor': 69036455.14847712}","{'Fixed': 157801845.71291935, 'Adsorbent': 42435740.99092192, 'npv_CC': 48207959124.291016}","{'CAC_CAPEX': 24.338772746252957, 'CAC_FixedOPEX': 7.4426798192165675, 'CAC_VariableOPEX': 12.200447689550494}",589.6182358704434,43.77967750252589,4.2389013146768075,0.20702588950235856,3.323421400876637e-05,0.20694360460991626,4.905067843355563e-05,0.02340219112107205,1.9787115514336637,1.5558067290918518e-07,0.38387157672904293,0.0011750571817929802,5.44957256817741,0.4374522723468345,5.008433122613246,0.0036871732173294806,3.706782472930367e-05,0.00023178506002799636,0.0024637678878745343,4.198274502145602e-11,3.342409779089793e-20,3.710868608644806e-11,4.874058901583855e-12,2.0481547473818853e-09,1.4594710320961888e-10,1.8964754420471058e-09,5.3977763415828074e-11,1.5304840578770568e-08,2.8372131015175895e-09,0.0006436360709145126,0.012819848054397518,43.833822779462544,73.9616804522752
8,CuAlPyC-FF2,99.21681155497112,91.96123118001466,1.3339277463286785,4.464765070702876,0.0958698867135646,-0.0958698867135646,0.0091092081031447,"[90289.41476660466, 712.7181900463083]","[[2965.412445766636, 9187.233993129501], [4877.489526983897, 2654.467943883558], [90289.41476660466, 712.7181900463083]]","[1075.563845070857, 602.9060288978595, 41.911625576336114, 10.588209248010202, 235.77805819078452, 184.3799231578666]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 83.42377813490359, 310.15, 0.17599325418231576], [2, 71.09892234123171, 310.15, 0.1989264108036855], [3, 62.031458613852294, 310.15, 0.22100130691883071], [4, 55.143454504379214, 310.15, 0.24212291060998162], [5, 49.77644688244751, 310.15, 0.26222179812375224], [6, 45.668857928684844, 310.15, 0.2810893287358505], [7, 42.40906021956426, 310.15, 0.29888998859763055], [8, 39.6924007922128, 310.15, 0.31580007730913934], [9, 37.40509584214679, 310.15, 0.33180541276941655], [10, 35.461870675552056, 310.15, 0.3469066479994801], [11, 33.79771964703374, 310.15, 0.3611165478484073], [12, 32.36234583866961, 310.15, 0.3744573785950535], [13, 31.116318407756577, 310.15, 0.3869585419883915], [14, 30.02836096223843, 310.15, 0.3986545190508017], [15, 29.07340253775284, 310.15, 0.40958314273918833], [16, 28.231153665284335, 310.15, 0.419784188728643]]",67.75949022883665,307.993629556381,208.3047984091569,48.01959501563144,32.32623812857116,12.052050397567752,96.3651985570174,2.178375877953651,2.934367866393913,0.5235226765518913,4.464765070702875,574398.0425295216,574398.0425295216,364.9272423967864,4.680057391351096,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 135101627.28353894, 'Material': 21193513.01830913, 'VacuumPump': 3590191.362857405, 'CentrifugalCompressor': 69426435.99673544}","{'Fixed': 166201842.21729466, 'Adsorbent': 45471192.687211215, 'npv_CC': 48357242286.37448}","{'CAC_CAPEX': 26.655281767052237, 'CAC_FixedOPEX': 8.119620155579529, 'CAC_VariableOPEX': 13.4679618169571}",577.21781740712,48.01959501563144,4.680057391351096,0.2215287131132412,3.556123233646279e-05,0.2214406655427995,5.248633810523878e-05,0.025041344977574,2.117322922541266,1.6634502375074081e-07,0.4107613221335308,0.001257367516987,5.831297765354599,0.4680925958882382,5.3592598494624,0.0039453200039619,3.966417211858582e-05,0.0002480208379947,0.0026363446698101,4.492221895914234e-11,3.576417368215443e-20,3.9707026031769196e-11,5.215192891608949e-12,2.191564221820911e-09,1.5616930507789484e-10,2.029265262309896e-09,5.7755056241707395e-11,1.6377014811672223e-08,3.032746032782562e-09,0.0006887203891462,0.0137179360545226,48.08505932691553,71.58917798039674
9,DAZMID,89.19319833779615,94.68005426036216,0.2039632221745319,1.9128107535504395,0.4460393970348821,-0.4460393970348821,0.009955950037369,"[11015.221707729224, 1334.6232501922575]","[[458.16048921860187, 2899.2088981782153], [113.19755126404937, 555.2790460149515], [11015.221707729224, 1334.6232501922575]]","[383.86839809710057, 64.19397451940837, 17.341875466876445, 7.198211533504124, 151.060210837951, 144.07412573936065]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 38.611611110032705, 310.15, 0.10337181276529649], [2, 28.747289837252886, 310.15, 0.1021039103845572], [3, 26.61453856955855, 310.15, 0.10996411032139868], [4, 25.01590567689366, 310.15, 0.1167253203393741], [5, 23.812829411474347, 310.15, 0.12240580467186926], [6, 22.904177087963713, 310.15, 0.12708739171635178], [7, 22.2157474442463, 310.15, 0.13088653387590485]]",105.42750285574428,827.8122269459342,3548.8233716333616,3603.619142977491,121.61290981396034,82.21516149106567,289.8431895338699,10.135001682236275,10.911306585782665,0.5722638401143276,1.9128107535504395,440185.5849761975,658149.744696482,972.2105373495212,221.86207813206863,"(1446.6548102148402, 30360.047296735163, 3722.0050792051206)","{'ShellAndTubePackedColumn': 452858065.05214125, 'Material': 56681498.61508517, 'VacuumPump': 6897366.104587774, 'CentrifugalCompressor': 83547693.82869631, 'SteamBoiler': 12112027.208192004, 'ForcedDraughtCoolingTower': 4237801.712746301}","{'Fixed': 445140452.2075295, 'Electricity': 121790521.52447519, 'Heat': 2555942141.6004477, 'Makeup-water': 313346996.4723773, 'Adsorbent': 121611520.61481416, 'npv_CC': 55408104325.7865}","{'CAC_CAPEX': 1125.6170351088585, 'CAC_FixedOPEX': 354.8964737629856, 'CAC_VariableOPEX': 2131.7603279281957}",354.71222608032366,3603.619142977491,221.86207813206863,0.7620364357331039,0.0001100569368198,0.7618056993913331,0.000120679404951,0.0533451810068138,9.178627660685631,2.291795455093924e-07,0.9847154637379882,0.0028724813351893,13.895412933307206,1.9292288842980303,11.949302202509624,0.0168818464995555,8.352407631471233e-05,0.0005636125285757,0.0059846842623336,1.2661683340859266e-10,1.622878865235939e-19,8.80286569835431e-11,3.8588176262761676e-11,5.0090037739927045e-09,5.316455357269384e-10,4.458782095188371e-09,1.6083957534362047e-10,3.4695303080301114e-08,3.9696628961924855e-08,0.0016850953356837,0.0288570400583863,3849.470279661123,22.530403176778904
