,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,99.44190137644787,86.95630302680658,1.586872671397736,7.626016565880539,0.0916181375657857,-0.0916181375657857,0.0093237779518382,"[60591.80175497085, 340.05988109557364]","[[3850.1088346677047, 11060.673612634188], [5196.456591301833, 1862.3356478143385], [60591.80175497085, 340.05988109557364]]","[749.1121436309425, 434.81975604359826, 48.27808632958012, 7.459345828496288, 147.59336694941987, 110.96158847984796]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 89.4415813365239, 310.15, 0.17068653173472356], [2, 79.4914450242588, 310.15, 0.19038960163370663], [3, 71.14770074667524, 310.15, 0.21101928173287376], [4, 64.13852475747436, 310.15, 0.23235248015254628], [5, 58.23795846958765, 310.15, 0.2541452731590962], [6, 53.25836050781673, 310.15, 0.27614666725203507], [7, 49.044124762809545, 310.15, 0.298112081190241], [8, 45.46640308259625, 310.15, 0.31981502816593654], [9, 42.41865067919698, 310.15, 0.3410559463883951], [10, 39.81454431875026, 310.15, 0.36167434732553433], [11, 37.578969385100834, 310.15, 0.3815331744221692], [12, 35.65222503295744, 310.15, 0.40053336104599974], [13, 33.985052909380805, 310.15, 0.418608049647237], [14, 32.53670635912468, 310.15, 0.4357185676479842], [15, 31.273443074856054, 310.15, 0.4518500041603636], [16, 30.167275668885043, 310.15, 0.4670066683220441], [17, 29.194941456825603, 310.15, 0.48120778932820063], [18, 28.337056497773496, 310.15, 0.4944836736595643]]",45.53808532566551,284.8804608840874,176.7358355441095,47.262072368955685,31.85971744384417,11.626031241036204,93.16617144168008,2.081766732995508,2.8563660713503074,0.5456995164881685,7.626016565880539,534478.6215769271,534478.6215769271,425.9737623469727,4.653909145550491,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 130470275.98465973, 'Material': 11545724.916706694, 'VacuumPump': 5555820.483345397, 'CentrifugalCompressor': 64531403.450259835}","{'Fixed': 153799140.24723053, 'Adsorbent': 24771630.920629285, 'npv_CC': 44996518593.03569}","{'CAC_CAPEX': 26.48911187146048, 'CAC_FixedOPEX': 8.068255780710683, 'CAC_VariableOPEX': 12.926764982965826}",590.5093042494573,47.262072368955685,4.653909145550491,0.340142806851252,4.331206806314124e-05,0.3400633189932223,3.617578996645232e-05,0.0354311384985632,2.962335475574557,1.341983596757605e-07,0.6317522392846803,0.0017523408407664,8.915205921080606,0.7149672235105582,8.194469684332352,0.0057690132377002,6.075355537767312e-05,0.000378115416099,0.004026400914253,6.61517793839803e-11,5.107083297213089e-20,5.88112638557197e-11,7.340515477189769e-12,3.307818766439644e-09,2.359889309234516e-10,3.065942557981141e-09,8.568822578456169e-11,2.503316372429576e-08,3.1696745172915883e-09,0.0010414425170905,0.0046919145074962,47.31141438460781,57.37874204186057
1,AlTCPP,99.62706352514198,87.4912948393847,2.196724579483179,8.424200402248214,0.0776597771666203,-0.0776597771666203,0.0093495912221143,"[83220.96683894936, 311.52312342681716]","[[4171.658671865742, 12317.270727491432], [7681.904442030027, 2573.781912983184], [83220.96683894936, 311.52312342681716]]","[938.7488555031211, 597.023873764885, 52.26414584955861, 8.7117867557922, 165.09557253619386, 115.65347659669149]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 90.27035892612336, 310.15, 0.16815558038604195], [2, 80.96415374122091, 310.15, 0.18488611448143358], [3, 73.31066799030212, 310.15, 0.2023241097206428], [4, 66.9222347902315, 310.15, 0.22036352099305004], [5, 61.42943225737461, 310.15, 0.23878538343049416], [6, 56.695624333540295, 310.15, 0.2574377010278224], [7, 52.60581369316855, 310.15, 0.2761691164759129], [8, 49.0631548703745, 310.15, 0.2948343953898825], [9, 45.986048083528985, 310.15, 0.3132990483689949], [10, 43.305707016693944, 310.15, 0.33144283494785653], [11, 40.964117261932124, 310.15, 0.34916204973595966], [12, 38.91231955284039, 310.15, 0.366370630771641], [13, 37.108964910465474, 310.15, 0.3830002347244852], [14, 35.51909858407611, 310.15, 0.39899948584289124], [15, 34.11313711066519, 310.15, 0.4143326279227764], [16, 32.86600860962606, 310.15, 0.4289777996484688], [17, 31.756431053075143, 310.15, 0.44292512434370895], [18, 30.766307039852155, 310.15, 0.45617476581419575], [19, 29.880216774335324, 310.15, 0.46873506068677345]]",52.2595328892761,267.2180682253102,165.0913595854894,41.92497891692645,29.41405371989377,10.886536782962844,90.33869132324352,1.7646019106340023,2.533961336041978,0.5386899730481447,8.424200402248214,534646.5871070604,534646.5871070604,415.7431433143244,4.094560003325991,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 119078055.5241094, 'Material': 10455064.605541598, 'VacuumPump': 4925713.4174180245, 'CentrifugalCompressor': 64494137.21430912}","{'Fixed': 144321366.11201823, 'Adsorbent': 22431592.951348886, 'npv_CC': 45010659222.4164}","{'CAC_CAPEX': 23.547127796278804, 'CAC_FixedOPEX': 7.207688279133338, 'CAC_VariableOPEX': 11.365533884608956}",604.6365611659633,41.92497891692645,4.094560003325991,0.3114705834830542,3.96626996918359e-05,0.3113977947484779,3.31260348842494e-05,0.0324447493158414,2.712787276645719,1.2289671336925786e-07,0.5784856863190948,0.0016049820914716,8.163499009062567,0.6547238726149923,7.503492103986231,0.0052830324613481,5.563050108917559e-05,0.0003464244445084,0.0036891252612769,6.057719842292619e-11,4.677423569122044e-20,5.3851065994592367e-11,6.726132381559583e-12,3.0288843199567515e-09,2.1610552469335235e-10,2.807386094131581e-09,7.84661791033966e-11,2.2922615058646718e-08,2.908966080374794e-09,0.0009541269409765,0.0042963146408388,41.96406465676767,60.240330186073614
2,AlTCPP-FF2,99.99017215189694,93.91647358188725,1.4259274433921532,8.194038897976524,0.0924225887343092,-0.0924225887343092,0.0088194170551579,"[54019.999407119525, 5.309525299092252]","[[782.0210430784928, 2306.7759104429792], [2652.597943378998, 197.13218735497037], [54019.999407119525, 5.309525299092252]]","[626.4723489998813, 368.2842183144412, 15.89064243269845, 6.128797100154347, 136.23099622571073, 99.93769492687659]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 38.048460371775455, 310.15, 0.39221380849555304], [2, 28.067674232596385, 310.15, 0.5264279971462131], [3, 24.584973907332763, 310.15, 0.5979975716450552], [4, 22.900028929538788, 310.15, 0.6400647004721896], [5, 21.943353769501503, 310.15, 0.6666564648434913], [6, 21.34838717691299, 310.15, 0.6843148080491929]]",1582.5050910855523,281.59027080470366,174.50330760759022,44.55016042649682,30.497606138117384,10.913369692351653,93.5420362385046,2.100045642886566,2.842192477687949,0.5045183303068413,8.194038897976522,562596.733241417,562596.733241417,380.3954045654879,4.435700491852459,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 128822822.37658899, 'Material': 11310656.062424151, 'VacuumPump': 1772832.5925502456, 'CentrifugalCompressor': 67747255.00971071}","{'Fixed': 152033599.24512744, 'Adsorbent': 24267285.03145983, 'npv_CC': 47363717360.64845}","{'CAC_CAPEX': 24.922638075670037, 'CAC_FixedOPEX': 7.546223103146046, 'CAC_VariableOPEX': 12.292947735245864}",587.3450511915441,44.55016042649682,4.435700491852459,0.3292164287634684,4.191606829276396e-05,0.3291395006005558,3.5012094619492054e-05,0.0342912503557118,2.8673287782431074,1.298609222481512e-07,0.6114509416088421,0.001696440228427,8.628771049932713,0.6920367087248305,7.931151203351429,0.0055831378564547,5.88006614067064e-05,0.0003661616865672,0.0038993098265435,6.402256311415249e-11,4.9429876543125796e-20,5.6916186875301125e-11,7.106376189421498e-12,3.201472193232089e-09,2.2840214264398282e-10,2.9673777232628982e-09,8.293020697334433e-11,2.422899504663397e-08,3.0359941319487622e-09,0.0010084841882517,0.004541023927446,44.59392350616499,62.99762754719968
3,Ca-SQA,99.98888009064832,90.74986433886907,1.4642738367391643,4.219816193515194,0.0940641823731935,-0.0940641823731935,0.0090584514463371,"[106266.76247664756, 11.818081818340795]","[[2425.479242214047, 6354.238785522777], [8380.626494718606, 886.8914366955605], [106266.76247664756, 11.818081818340795]]","[1249.1979675232772, 757.1140336852937, 31.8482030708561, 13.10502704236471, 264.5805787434776, 182.55012498128505]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 79.1603233020174, 310.15, 0.19218418658689485], [2, 63.90831623865953, 310.15, 0.23560905460965675], [3, 53.24902000733116, 310.15, 0.28042825435753427], [4, 45.6746768581985, 310.15, 0.3247116153340078], [5, 40.19610839802814, 310.15, 0.3668915462140069], [6, 36.159561898832514, 310.15, 0.4059264341747887], [7, 33.129684232440816, 310.15, 0.441287532026014], [8, 30.81386757637163, 310.15, 0.47284589159712365], [9, 29.013185307654354, 310.15, 0.500735625192315], [10, 27.59057417113947, 310.15, 0.5252372652486429], [11, 26.45018549354558, 310.15, 0.5466949235407105], [12, 25.523938013657215, 310.15, 0.5654645591525485], [13, 24.76270228134051, 310.15, 0.581885246048386]]",152.90926553803266,286.6446230779806,196.4967769136503,47.08224021513116,31.963202806644443,12.025842053919352,93.4069944558634,2.1373462813553687,2.887155257098175,0.513818716477868,4.219816193515194,538346.4991771615,538346.4991771615,418.52835139583874,4.55351262276431,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 124952222.27575456, 'Material': 21016334.417607542, 'VacuumPump': 2620674.6395058674, 'CentrifugalCompressor': 64827472.45848936}","{'Fixed': 154745803.08813903, 'Adsorbent': 45091051.73155217, 'npv_CC': 45322146259.566185}","{'CAC_CAPEX': 26.071991488943965, 'CAC_FixedOPEX': 7.96253235529345, 'CAC_VariableOPEX': 13.264986238750456}",591.7725564009729,47.08224021513116,4.55351262276431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,99.79463320337712,93.87515144670786,1.3312265626123954,4.3623806253036665,0.0849688781670722,-0.0849688781670722,0.0088278507198329,"[99422.3311079452, 204.6006383009205]","[[2632.023294422527, 7453.818961679027], [3814.681832090169, 1237.2759308813088], [99422.3311079452, 204.6006383009205]]","[1098.5780556622158, 680.036173709746, 35.470467027509876, 9.155537453919107, 222.28597779267906, 151.62989967836188]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 82.04062494479173, 310.15, 0.18293706281579802], [2, 68.18699537311194, 310.15, 0.21535743785289352], [3, 58.041727491009546, 310.15, 0.24847228153513187], [4, 50.48085759038138, 310.15, 0.28141416409428616], [5, 44.753720659992474, 310.15, 0.31342926358342676], [6, 40.34901057486274, 310.15, 0.3439331397160858], [7, 36.91250393012537, 310.15, 0.3725272009875862], [8, 34.19507974861837, 310.15, 0.39898478569465234], [9, 32.01909437199043, 310.15, 0.4232201625397057], [10, 30.256205089004002, 310.15, 0.4452522297808412], [11, 28.812510548057954, 310.15, 0.46517061403874954], [12, 27.618459548372712, 310.15, 0.4831078546742823], [13, 26.621916255161075, 310.15, 0.4992185468546736], [14, 25.783341758079583, 310.15, 0.513664790121031]]",106.28407977746,286.8298993260114,196.91327179511947,43.71709854859219,30.42961864714113,11.5587481450648,93.05038856910691,1.930680852152754,2.6781812869277783,0.5117749396257693,4.3623806253036665,560760.8255164836,560760.8255164836,379.1462341362944,4.203575039436622,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 122341250.7845749, 'Material': 21175941.19140417, 'VacuumPump': 2447718.809926036, 'CentrifugalCompressor': 67589737.4947678}","{'Fixed': 154845223.7309353, 'Adsorbent': 45433491.90931887, 'npv_CC': 47209156536.800476}","{'CAC_CAPEX': 24.224596075711183, 'CAC_FixedOPEX': 7.419960135775544, 'CAC_VariableOPEX': 12.273115009019955}",594.122388174645,43.71709854859219,4.203575039436622,0.3177008897646838,4.0586549622698544e-05,0.3176264810257804,3.382218928043944e-05,0.0331249526720028,2.769180175612875,1.2616318248681198e-07,0.5900483675223874,0.0016394015169046,8.324890661917838,0.6680156664693788,7.651469796584586,0.0054051988638722,5.673183866975902e-05,0.0003545640948713,0.0037769275679483,6.184737189554741e-11,4.7929090094837884e-20,5.4945095660548665e-11,6.902276187069658e-12,3.089426524654108e-09,2.20625161903731e-10,2.8631959914530047e-09,8.013690961961038e-11,2.337720158157278e-08,3.448124084480072e-09,0.000976384314651,0.0043840299307076,43.78778745159733,64.05093230529432
5,CAU10,98.9877358180961,88.64914826776977,1.983844863750704,5.835359631685257,0.0846716339066697,-0.0846716339066697,0.009564386564218,"[107638.19359309974, 1100.7251259828554]","[[4061.401957622667, 14332.155317383758], [9663.162864451337, 6019.613773295472], [107638.19359309974, 1100.7251259828554]]","[1223.8905500739402, 751.7575242931944, 55.319644676833796, 12.830221908688767, 230.5176981160131, 173.46546107921029]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 91.70607383753033, 310.15, 0.16357459348047382], [2, 83.54499323579677, 310.15, 0.17509934299744626], [3, 76.57569454096871, 310.15, 0.1866228965917752], [4, 70.58787139597084, 310.15, 0.19809705190837879], [5, 65.41396798364954, 310.15, 0.209477232874413], [6, 60.91947755396726, 310.15, 0.22072284109117213], [7, 56.995646082990106, 310.15, 0.2317974831621625], [8, 53.55394023428901, 310.15, 0.2426690807963773], [9, 50.52181992730064, 310.15, 0.25330987490379964], [10, 47.839483211297846, 310.15, 0.2636963379045939], [11, 45.50032909483547, 310.15, 0.27381688043376334], [12, 43.419382855809694, 310.15, 0.28368102493357716], [13, 41.54824879198236, 310.15, 0.29327673183094155], [14, 39.86156259751116, 310.15, 0.30258966547811234], [15, 38.33746734830336, 310.15, 0.3116089574292376], [16, 37.13043777753866, 310.15, 0.32030973950570746], [17, 36.07281060947455, 310.15, 0.32877780387843203], [18, 35.09496427532362, 310.15, 0.3370382108506227], [19, 34.189722179083645, 310.15, 0.34508481361628546]]",43.02360579568495,282.3684193737062,183.2507529397205,44.62469924913609,30.726470264795093,11.38966137768982,92.75938960061242,1.923926805090452,2.692638305376253,0.5395631533693507,5.835359631685258,549179.5501501256,549179.5501501256,399.0291089293558,4.35431138751788,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 123293110.5923205, 'Material': 15503699.495792028, 'VacuumPump': 4984413.9212757815, 'CentrifugalCompressor': 66451700.19626798}","{'Fixed': 152451159.6811978, 'Adsorbent': 33263560.71920459, 'npv_CC': 46234155757.880844}","{'CAC_CAPEX': 24.88420799675575, 'CAC_FixedOPEX': 7.593668956683705, 'CAC_VariableOPEX': 12.354587319788918}",593.5420152537451,44.62469924913609,4.35431138751788,0.3252272953715297,4.1471408162136735e-05,0.3251512206215156,3.460334185169563e-05,0.0338980783047829,2.8332813494469207,1.286423842896747e-07,0.604079147301685,0.001675520956632,8.524048828448633,0.6836354677223829,7.834889832340657,0.0055235283855972,5.809025010170405e-05,0.0003615461161417,0.0038499079728718,6.328882994346071e-11,4.8906299166694e-20,5.626737387298159e-11,7.021456021572819e-12,3.163197141681061e-09,2.257125974633464e-10,2.931792773899237e-09,8.199675404814754e-11,2.3934949367176288e-08,3.3481371075610387e-09,0.000995833232973,0.0044874319837965,44.67878451301493,59.81802553965328
6,CAU21,97.30315292331808,87.12152177964101,0.3421030398442763,2.6928979943492672,0.2830643631821586,-0.2830643631821586,0.0093751586823086,"[18617.230885996338, 515.9938109136011]","[[1651.628712586636, 5335.443064072057], [1020.2809421512312, 729.5644299198486], [18617.230885996338, 515.9938109136011]]","[457.34036195344305, 126.917166736923, 26.346438402913652, 7.694514904914775, 150.6260778938899, 145.7561640148017]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 73.37735415312167, 310.15, 0.1929740953887898], [2, 56.510796391772246, 310.15, 0.23402631018251696], [3, 45.85404042125141, 310.15, 0.27302299863622687], [4, 38.83731270162788, 310.15, 0.3084708885663131], [5, 34.04675841293118, 310.15, 0.3396486342132325], [6, 30.67218322384281, 310.15, 0.36643219997009685], [7, 28.231021067179448, 310.15, 0.38906984458249927], [8, 26.42521395588322, 310.15, 0.4079956301725625], [9, 25.064329584676038, 310.15, 0.4237052533606828], [10, 24.02284096151346, 310.15, 0.4366853415621274], [11, 23.21561171943543, 310.15, 0.4473791142316096]]",40.66665942825406,517.7556733347109,414.0652849450896,202.82247847059315,64.18744254411449,22.033000163809238,156.94349403967183,6.431848433352539,7.219999732709549,0.5680326699122945,2.692897994349267,560054.9324845022,562626.85289905,579.4923230274358,20.65304332996142,"(192.56225938477584, 0, 602.4269849351609)","{'ShellAndTubePackedColumn': 272893489.3230963, 'Material': 34418280.12967148, 'VacuumPump': 7570238.390338265, 'CentrifugalCompressor': 68635818.26979326, 'ForcedDraughtCoolingTower': 1968941.3898290913}","{'Fixed': 278761749.1041775, 'Electricity': 16211371.1099611, 'Makeup-water': 50716934.100384586, 'Adsorbent': 73845249.08101183, 'npv_CC': 47366253064.94042}","{'CAC_CAPEX': 108.8715640104234, 'CAC_FixedOPEX': 31.900023026146034, 'CAC_VariableOPEX': 63.036340918684886}",389.9364152814872,202.82247847059315,20.65304332996142,0.713647805501193,9.10276292022139e-05,0.7134808472479719,7.593062401822914e-05,0.0743897153336404,6.21648953726084,2.824826497701169e-07,1.3254052449452478,0.0036762463864867,18.702335097521697,1.4999335580787916,17.190278597831963,0.0121229416109516,0.0001274552209452,0.0007932602287277,0.0084469790084956,1.3884980563420907e-10,1.073529406804026e-19,1.2344831812602293e-10,1.5401487400833202e-11,6.9400763280743974e-09,4.952412272010653e-10,6.4322966373119034e-09,1.7995879320488342e-10,5.2515644782865143e-08,7.607183077430387e-09,0.0021849472800607,0.0098464643299049,204.04412159684816,24.947438949675814
7,CuAlPyC,99.74429826885284,93.27124236863114,1.670609737961099,4.769363104343488,0.08557212516950323,-0.08557212516950323,0.008914279564346494,"[113078.3702183611, 289.88459011660746]","[[2980.0728074826284, 8938.972068458337], [5135.860720191094, 1948.7354624394118], [113078.3702183611, 289.88459011660746]]","[1261.005908982437, 757.4171055044351, 41.20569589404992, 10.645756976141382, 268.2263944281841, 183.51095617962653]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 84.0002854344024, 310.15, 0.17542080600894353], [2, 71.30342897945303, 310.15, 0.19902952896156037], [3, 61.74999593419704, 310.15, 0.22255396872498828], [4, 55.03660489009616, 310.15, 0.24593294063624893], [5, 49.728071221879595, 310.15, 0.2690520828645188], [6, 45.41162647138394, 310.15, 0.2916642156367897], [7, 41.87001051807531, 310.15, 0.31354609189442895], [8, 38.93955632792609, 310.15, 0.33452431771468494], [9, 36.49559405323433, 310.15, 0.3544745929300769], [10, 34.44221211083434, 310.15, 0.37331752712238], [11, 32.704953257736555, 310.15, 0.39101242522305024], [12, 31.225529042630694, 310.15, 0.4075502395245], [13, 29.957947542151302, 310.15, 0.4229465707184013], [14, 28.865646171055282, 310.15, 0.4372352773907647], [15, 27.919348799081767, 310.15, 0.45046298227535675], [16, 27.095450786825694, 310.15, 0.4626845664024919]]",107.30334215824622,292.33973925724166,197.09419848229146,43.860082671071865,30.447887276444366,11.461992472024045,93.89982191817502,1.9443879583525314,2.6939320547595695,0.514373878401623,4.769363104343488,572624.8240408503,572624.8240408503,361.92107805668456,4.240483740465786,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 126082852.11020589, 'Material': 19778729.696387403, 'VacuumPump': 2758875.180805779, 'CentrifugalCompressor': 69036455.14847712}","{'Fixed': 157801845.71291935, 'Adsorbent': 42435740.99092192, 'npv_CC': 48207959124.291016}","{'CAC_CAPEX': 24.352133504759344, 'CAC_FixedOPEX': 7.44676547500298, 'CAC_VariableOPEX': 12.263517453893993}",589.6182358704434,43.860082671071865,4.240483740465786,0.31957085535303875,4.110226561399723e-05,0.31949547910357895,3.427398384556839e-05,0.03335288127209311,2.7851295576342507,1.9825212590318355e-07,0.5946645118259857,0.0016508933571059647,8.400524449545221,0.6746346841058009,7.720419634924576,0.0054701305148483065,5.73012557414488e-05,0.00035625678206187484,0.0037948974277331486,6.275098217054345e-11,4.841085780972366e-20,5.5811657989149264e-11,6.939324132983336e-12,3.1466294614706775e-09,2.2206456677971018e-10,2.9170600330643127e-09,8.247104203879562e-11,2.3520521883541476e-08,3.3700916398594634e-09,0.0009812484910244085,0.004419847955288356,43.927409900324754,63.46447166504709
8,CuAlPyC-FF2,99.21681155497112,91.96123118001466,1.3339277463286785,4.464765070702876,0.0958698867135646,-0.0958698867135646,0.0091092081031447,"[90289.41476660466, 712.7181900463083]","[[2965.412445766636, 9187.233993129501], [4877.489526983897, 2654.467943883558], [90289.41476660466, 712.7181900463083]]","[1075.563845070857, 602.9060288978595, 41.911625576336114, 10.588209248010202, 235.77805819078452, 184.3799231578666]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 83.42377813490359, 310.15, 0.17599325418231576], [2, 71.09892234123171, 310.15, 0.1989264108036855], [3, 62.031458613852294, 310.15, 0.22100130691883071], [4, 55.143454504379214, 310.15, 0.24212291060998162], [5, 49.77644688244751, 310.15, 0.26222179812375224], [6, 45.668857928684844, 310.15, 0.2810893287358505], [7, 42.40906021956426, 310.15, 0.29888998859763055], [8, 39.6924007922128, 310.15, 0.31580007730913934], [9, 37.40509584214679, 310.15, 0.33180541276941655], [10, 35.461870675552056, 310.15, 0.3469066479994801], [11, 33.79771964703374, 310.15, 0.3611165478484073], [12, 32.36234583866961, 310.15, 0.3744573785950535], [13, 31.116318407756577, 310.15, 0.3869585419883915], [14, 30.02836096223843, 310.15, 0.3986545190508017], [15, 29.07340253775284, 310.15, 0.40958314273918833], [16, 28.231153665284335, 310.15, 0.419784188728643]]",67.75949022883665,307.993629556381,208.3047984091569,48.11094315849131,32.36811384244489,12.052050397567752,96.53946638833524,2.178375877953651,2.934367866393913,0.5235226765518913,4.464765070702875,574398.0425295216,574398.0425295216,366.6242494558694,4.68207199646722,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 135101627.28353894, 'Material': 21193513.01830913, 'VacuumPump': 3590191.362857405, 'CentrifugalCompressor': 69426435.99673544}","{'Fixed': 166201842.21729466, 'Adsorbent': 45471192.687211215, 'npv_CC': 48357242286.37448}","{'CAC_CAPEX': 26.67143793657949, 'CAC_FixedOPEX': 8.124541580191615, 'CAC_VariableOPEX': 13.538367692228938}",577.21781740712,48.11094315849131,4.68207199646722,0.3419583004358252,4.398050014367782e-05,0.341877645510777,3.6674424904392495e-05,0.0356891558272596,2.9802365763166625,2.1200593302091049e-07,0.6363218880136762,0.0017665395958353,8.988986024405065,0.7218914197841441,8.261241417748542,0.005853186872382,6.131510717813814e-05,0.0003812127404896,0.0040607298472934,6.71454273485831e-11,5.1800868977476494e-20,5.97202818084564e-11,7.425145488325802e-12,3.366995352854545e-09,2.3761936956101017e-10,3.1213494812260954e-09,8.824450337152451e-11,2.516826639390769e-08,3.6029567212883222e-09,0.0010499850989579,0.0047294527598762,48.19235786962213,60.514324859710825
9,DAZMID,89.19319833779615,94.68005426036216,0.2039632221745319,1.9128107535504395,0.4460393970348821,-0.4460393970348821,0.009955950037369,"[11015.221707729224, 1334.6232501922575]","[[458.16048921860187, 2899.2088981782153], [113.19755126404937, 555.2790460149515], [11015.221707729224, 1334.6232501922575]]","[383.86839809710057, 64.19397451940837, 17.341875466876445, 7.198211533504124, 151.060210837951, 144.07412573936065]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 38.611611110032705, 310.15, 0.10337181276529649], [2, 28.747289837252886, 310.15, 0.1021039103845572], [3, 26.61453856955855, 310.15, 0.10996411032139868], [4, 25.01590567689366, 310.15, 0.1167253203393741], [5, 23.812829411474347, 310.15, 0.12240580467186926], [6, 22.904177087963713, 310.15, 0.12708739171635178], [7, 22.2157474442463, 310.15, 0.13088653387590485]]",105.42750285574428,827.8122269459342,3527.1923833320684,4963.459737569865,121.3038907139612,81.82476754843758,289.40241764911747,10.135001682236275,10.911306585782665,0.5722638401143276,1.9128107535504395,434581.0236813149,658149.744696482,990.7723559775588,306.3196380669416,"(1189.717136543095, 30360.047296735163, 3722.0050792051206)","{'ShellAndTubePackedColumn': 452858065.05214125, 'Material': 56681498.61508517, 'VacuumPump': 6897366.104587774, 'CentrifugalCompressor': 83547693.82869631, 'SteamBoiler': 12112027.208192004, 'ForcedDraughtCoolingTower': 4237801.712746301}","{'Fixed': 445140452.2075295, 'Electricity': 100159533.22318162, 'Heat': 2555942141.6004477, 'Makeup-water': 313346996.4723773, 'Adsorbent': 121611520.61481416, 'npv_CC': 55408104325.7865}","{'CAC_CAPEX': 1554.3228240584135, 'CAC_FixedOPEX': 490.0633804767435, 'CAC_VariableOPEX': 2931.024478804041}",354.71222608032366,4963.459737569865,306.3196380669416,1.0046624925538803,0.0001270189956859,1.004446649964062,8.882359413238977e-05,0.0747970220175504,10.917115202219131,3.2117127788490457e-07,1.439145906376396,0.0038982958088641,20.25711746120278,2.4405501404497287,17.79584174925606,0.0207255714970002,0.0001271435980349,0.0008319504579935,0.0088543524783429,1.713892978943633e-10,1.9459655942071206e-19,1.2834879293349542e-10,4.304050476627134e-11,7.377111368874369e-09,6.957406589660621e-10,6.658973041970318e-09,2.2226579539648794e-10,5.2406787054781256e-08,4.084541618261535e-08,0.0024129250489528,0.0107481989748589,5571.97243749339,-0.4414450479899416
