,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,62.01020920220169,98.67809217676805,0.5422420329147555,5.418281481177552,0.193795717604946,-0.193795717604946,0.0,"[20704.51042089206, 12684.363261793302]","[[0.0, 0.0], [0.0, 0.0], [20704.51042089206, 12684.363261793302]]","[360.27499222297274, 122.27491336558394, 0.0, 0.0, 130.89166227940456, 107.10841657798426]",330.824403,"[[0, 101.325, 310.15, 0.1521]]",45.53808532566551,543.6238078779595,335.68217351554074,69.8197294919707,42.25973225960472,18.22883047964191,111.88428392636835,4.40346735511059,4.977544993938363,0.4285912768305068,5.418281481177552,649461.396043603,649461.396043603,-0.8922464519954167,8.594494326099488,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 223136576.42711478, 'Material': 19746057.183063492, 'CentrifugalCompressor': 68772153.24468803}","{'Fixed': 296454727.84278655, 'Adsorbent': 42365641.32657446, 'npv_CC': 54676652353.86553}","{'CAC_CAPEX': 44.59153004715275, 'CAC_FixedOPEX': 13.855340291600948, 'CAC_VariableOPEX': 11.735629948899401}",458.9803849416109,69.8197294919707,8.594494326099488,0.2312452279424238,0.0001075994923926,0.2310246852150455,0.0001129432349856,0.0482241175269599,3.938002475053104,1.5549989593943545e-07,0.6276856589946865,0.0007320622926319,3.380282709009711,0.5685621952758617,2.8037668238448723,0.0079536898889765,0.0001737958570083,0.0001389369403947,0.0011376470653093,5.2483525562890567e-11,4.83339358379793e-19,3.005855421239471e-11,2.2424970867156492e-11,1.486764956603428e-09,1.931445022564333e-10,1.2844683064971858e-09,3.208681026247663e-11,3.984575730654057e-09,1.5271682272607317e-08,0.0003386132370476,0.0844726005963844,69.90212963601981,75.85925425842782
1,AlTCPP,74.0741320860744,99.5072563863801,1.1340567965664168,7.496582448650937,0.111672417463989,-0.111672417463989,0.0,"[42962.7382248998, 15036.91295559185]","[[0.0, 0.0], [0.0, 0.0], [42962.7382248998, 15036.91295559185]]","[544.5954200602162, 264.050369968166, 0.0, 0.0, 169.7901884744568, 110.75486161759325]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521]]",52.2595328892761,404.1908713034492,248.87763886527597,41.051746492296175,30.193732482200687,14.091435956183243,85.39582864486022,2.537444329762668,3.108024654361931,0.400893749168466,7.496582448650935,624066.5612746646,624066.5612746646,44.1676693989964,4.73916135697216,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 156192873.988472, 'Material': 13713749.19826485, 'CentrifugalCompressor': 61812477.4473514}","{'Fixed': 221633954.38399518, 'Adsorbent': 29423179.239783254, 'npv_CC': 52538719967.57805}","{'CAC_CAPEX': 26.29311354994601, 'CAC_FixedOPEX': 8.436023835736357, 'CAC_VariableOPEX': 6.522647558104217}",565.692314965265,41.051746492296175,4.73916135697216,0.1550050318665331,7.213245989053916e-05,0.1548572054627924,7.569394385015719e-05,0.0323272960543652,2.639545311595085,1.043538065937878e-07,0.4206701246843777,0.0004911064917635,2.2655727671681194,0.381090804641378,1.8791480440195645,0.0053339185071774,0.0001164676399025,9.33409924691904e-05,0.0007650749221388,3.519557899150048e-11,3.2393626942519244e-19,2.0157252218461578e-11,1.503832644910263e-11,9.96562875630358e-10,1.2951752639275946e-10,8.608851467557372e-10,2.153510227025217e-11,2.6715490745698703e-09,1.0366515929564925e-08,0.0002275422161087,0.0566075718120323,41.08154454756989,84.08313093925797
2,AlTCPP-FF2,90.58059006743171,99.0295760603464,0.635045564940248,5.8793086962362935,0.1640927868089116,-0.1640927868089116,0.0,"[24058.139283691173, 2501.7884732171865]","[[0.0, 0.0], [0.0, 0.0], [24058.139283691173, 2501.7884732171865]]","[388.84912357951316, 156.22265738583792, 0.0, 0.0, 134.7131436170733, 97.91332257660196]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521]]",1582.5050910855523,451.07329216955065,279.67020126947324,55.77322650411784,37.06966795650256,16.653814733649618,93.62660286568814,3.728551068373671,4.301376894124236,0.3669177955393649,5.879308696236294,590668.4224508951,590668.4224508951,110.76335992895548,6.649262039468034,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 188499896.11771494, 'Material': 16550308.81529277, 'CentrifugalCompressor': 53546178.6135043}","{'Fixed': 246791417.7280151, 'Adsorbent': 35509086.22477488, 'npv_CC': 49727007929.175705}","{'CAC_CAPEX': 35.640771744795885, 'CAC_FixedOPEX': 11.255929613565957, 'CAC_VariableOPEX': 9.157188322579962}",527.1007489313779,55.77322650411784,6.649262039468034,0.1965323041474675,9.145830347712564e-05,0.1963448734351478,9.597240884262347e-05,0.040988366108365,3.346687464784296,1.3232092853597578e-07,0.533367502886327,0.0006226793550088,2.872524987856531,0.4831847651058041,2.3825770924536247,0.006763130297103,0.0001476687272362,0.0001183492854209,0.0009700641463657,4.462624444247936e-11,4.107193575054119e-19,2.5558479597308436e-11,1.906776443445157e-11,1.263554117175234e-09,1.6422020970218759e-10,1.0915212621518074e-09,2.7306669651417182e-11,3.3873183029006686e-09,1.3154465056821992e-08,0.0002885080508581,0.0717723755295178,55.83036480283459,79.56706529845961
3,Ca-SQA,89.89931687543,99.80771988747236,0.8893091757163085,3.670656792099289,0.1252093375986343,-0.1252093375986343,0.0,"[64539.845330161756, 7251.406898809147]","[[0.0, 0.0], [0.0, 0.0], [64539.845330161756, 7251.406898809147]]","[872.1907859840337, 414.7111971912511, 0.0, 0.0, 277.36598755836576, 180.11360123441685]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521]]",152.90926553803266,419.2761241846403,282.9472839162973,45.16154211669243,32.64638243260507,15.7755429773945,86.55936607047214,2.8450330971427795,3.417614680704282,0.3682372061964761,3.670656792099289,596908.6861051177,596908.6861051177,92.24301731871978,5.052068520921613,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 159272114.082894, 'Material': 26788767.354439802, 'CentrifugalCompressor': 54306463.08013274}","{'Fixed': 229728815.72824448, 'Adsorbent': 57475945.64309707, 'npv_CC': 50252361288.89331}","{'CAC_CAPEX': 28.50520445174004, 'CAC_FixedOPEX': 9.202835376807394, 'CAC_VariableOPEX': 7.666748448726107}",565.2805798656781,45.16154211669243,5.052068520921613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,84.37455728872546,99.64193951667994,0.642051690322681,3.413712051068677,0.1334054519905892,-0.1334054519905892,0.0,"[47951.47387865313, 8880.200762987499]","[[0.0, 0.0], [0.0, 0.0], [47951.47387865313, 8880.200762987499]]","[677.0887674717795, 302.4123927879991, 0.0, 0.0, 225.10104709543273, 149.57532758834768]",647.079615,"[[0, 101.325, 310.15, 0.1521]]",106.28407977746,446.3440924346352,302.5578449929222,48.43580911702753,34.289597387612446,16.509151178913708,89.93328724157463,3.0312669448756697,3.6023335321085264,0.3791936332077684,3.413712051068678,608174.3728720052,608174.3728720052,74.18638517620465,5.436828939813994,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 169558683.69236168, 'Material': 29348765.77879536, 'CentrifugalCompressor': 56977725.12162559}","{'Fixed': 244253693.2082536, 'Adsorbent': 62968483.92744215, 'npv_CC': 51200793393.7621}","{'CAC_CAPEX': 30.54605883522625, 'CAC_FixedOPEX': 9.836655036354824, 'CAC_VariableOPEX': 8.282582017518196}",551.0108014362397,48.43580911702753,5.436828939813994,0.1715568704824085,7.99442377388825e-05,0.17139318396436,8.374228030960625e-05,0.0358018951698514,2.9225136063230304,1.165509644631089e-07,0.4653852290056943,0.0005468947634553,2.5070332615710385,0.4219664335210775,2.0791431704430345,0.005923657606926,0.0001287670906,0.0001049716491567,0.0008662342626915,3.900441452262247e-11,3.583912131504612e-19,2.2347218858945707e-11,1.6657195305285542e-11,1.1035895571262716e-09,1.4358609289270904e-10,9.53040263114872e-10,2.4001697633565324e-11,2.961730057695389e-09,1.2158366907721928e-08,0.0002562515943341,0.06258137998322,48.50340514387105,82.54768020440089
5,CAU10,72.43568271443903,99.6461121758751,1.0309054733386611,5.052078420641964,0.1217443426810116,-0.1217443426810116,0.0,"[55934.213880827476, 21284.929757723163]","[[0.0, 0.0], [0.0, 0.0], [55934.213880827476, 21284.929757723163]]","[734.6005732720976, 333.6336798470752, 0.0, 0.0, 234.6792261634607, 166.28766726156172]",470.093715,"[[0, 101.325, 310.15, 0.1521]]",43.02360579568495,439.52988443645137,282.25160238817807,44.70418647136702,32.163813197975166,15.086036585869136,89.84272630980412,2.7663007484926467,3.3370950072910284,0.404505604162235,5.052078420641965,643033.1952209885,643033.1952209885,10.987277210660222,5.138197972611315,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 166745986.36150345, 'Material': 20967754.420815196, 'CentrifugalCompressor': 64264907.80758616}","{'Fixed': 240597137.40832072, 'Adsorbent': 44986822.17824591, 'npv_CC': 54135476998.748146}","{'CAC_CAPEX': 28.43908073443845, 'CAC_FixedOPEX': 9.105066664741292, 'CAC_VariableOPEX': 7.376920728765657}",547.7860517413108,44.70418647136702,5.138197972611315,0.1644962644997103,7.660818757409801e-05,0.164339321350882,8.033496125428972e-05,0.0343281823504466,2.801719381167731,1.1112026423570045e-07,0.4464519547475167,0.0005208261186788,2.404542320461543,0.4044008171528438,1.994472384854857,0.0056691184538418,0.000123586081791,9.886571666261976e-05,0.0008096437434349,3.739822647304883e-11,3.438068878817796e-19,2.1437683571149914e-11,1.5960542558092018e-11,1.0582813680550083e-09,1.37528573497967e-10,9.141420280787971e-10,2.2934901540054988e-11,2.836447569015748e-09,1.1376765588685148e-08,0.0002410255434756,0.0600655541779901,44.74565632639658,83.25469895102455
6,CAU21,55.20308010430445,96.65022061943812,0.1350621380281758,1.4464739716722763,0.6589464250369056,-0.6589464250369056,0.0,"[7350.075020588643, 5964.535335755446]","[[0.0, 0.0], [0.0, 0.0], [7350.075020588643, 5964.535335755446]]","[336.14410381633576, 41.15288007105147, 0.0, 0.0, 151.0872882214479, 143.90393552383637]",471.502395,"[[0, 101.325, 310.15, 0.1521]]",40.66665942825406,1404.57006983408,3477.060699154275,-622.3629085779947,119.01154107936894,89.90344565441843,269.0375914501079,14.97272028132156,15.558949358059314,0.4390361359721133,1.4464739716722763,196540.8431527405,685042.1233866193,1204.161926123845,-48.611895807829086,"(1734.5730551921597, 21516.94431541727, 7199.791308042155)","{'ShellAndTubePackedColumn': 618584843.8831266, 'Material': 78018081.31644797, 'CentrifugalCompressor': 74307644.98837031, 'SteamBoiler': 27659891.89202117, 'ForcedDraughtCoolingTower': 6657306.449140287}","{'Fixed': 758445035.2160317, 'Electricity': 146029692.4480432, 'Heat': 1811461760.8042834, 'Makeup-water': 606133772.9514172, 'Adsorbent': 167389672.7532599, 'npv_CC': 57672111470.116325}","{'CAC_CAPEX': -249.2446064198719, 'CAC_FixedOPEX': -87.54862410829578, 'CAC_VariableOPEX': -286.96052467617596}",375.7891853693459,21695.121089872428,1694.575546554998,0.9948309605805606,0.0002264012704405,0.994423143802008,0.0001814155081125,0.0695360397327977,15.926747131518422,3.102034891864259e-07,1.1697361210971702,0.0017238057253667,9.252822702951685,2.920174806583581,6.30245060636484,0.030197290003261,0.0002357101916474,0.0003269383254357,0.0030254350644297,1.505425733632388e-10,8.301113253781015e-19,5.947977981929388e-11,9.106279271383363e-11,3.4304814592920383e-09,7.299037007231138e-10,2.6658742861701847e-09,1.4864910664876625e-10,8.983709942533157e-09,9.4322414773645e-08,0.0011094928178728,0.1128826213530165,-614.3431295373601,0.4995888002793863
7,CuAlPyC,83.36765401788828,99.72903487466222,0.8262510628929368,3.878332216565697,0.1285621333395906,-0.1285621333395906,0.0,"[55926.361172268866, 11157.643806770955]","[[0.0, 0.0], [0.0, 0.0], [55926.361172268866, 11157.643806770955]]","[766.9543660312127, 345.7294954262854, 0.0, 0.0, 252.11350796312445, 169.1113626418028]",586.449045,"[[0, 101.325, 310.15, 0.1521]]",107.30334215824622,440.9534795922954,293.7161638746723,46.52553798348179,33.25389619653246,15.8877957712088,89.48030086931315,2.9212160323289504,3.4920984625196825,0.3812405994450435,3.8783322165656977,620448.6880616635,620448.6880616635,51.84023675129339,5.259567283185366,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 167999157.38678032, 'Material': 26354177.96759219, 'CentrifugalCompressor': 58441447.91990918}","{'Fixed': 241361049.38829628, 'Adsorbent': 56543523.6452861, 'npv_CC': 52234139592.00428}","{'CAC_CAPEX': 29.42678265798194, 'CAC_FixedOPEX': 9.461959263418889, 'CAC_VariableOPEX': 7.858800677579055}",551.7564377486401,46.52553798348179,5.259567283185366,0.167511366965308,7.839925708495858e-05,0.1673508860784971,8.20816297259656e-05,0.0349980613747578,2.8531922438976265,2.0152013748362218e-07,0.4558292913723699,0.0005362223017788,2.4806667279731367,0.4153146375688689,2.0595278685356075,0.0058242218686615,0.0001260274836334,0.0001019898042187,0.0008403068940318,3.875795273820764e-11,3.5021530165362507e-19,2.24860491539082e-11,1.6271903234084138e-11,1.1255114883849966e-09,1.403747877923102e-10,9.76046143599601e-10,2.5721035847647587e-11,2.8988819484763387e-09,1.1730986117553772e-08,0.0002490666981284,0.0611217252024024,46.58523925249166,83.02328791667667
8,CuAlPyC-FF2,77.11793128682322,99.51791461087603,0.6189756233524435,3.452387591110553,0.1575881391020635,-0.1575881391020635,0.0,"[41896.53220806155, 12431.341360326316]","[[0.0, 0.0], [0.0, 0.0], [41896.53220806155, 12431.341360326316]]","[645.4409261018113, 252.1534562648334, 0.0, 0.0, 225.0434584068148, 168.24401143016314]",586.449045,"[[0, 101.325, 310.15, 0.1521]]",67.75949022883665,499.4739384169705,333.174790927639,56.50983810003461,37.74516199789952,17.529588332012025,99.13474061766448,3.5807510850325053,4.151148633030935,0.3943029604750277,3.452387591110553,637292.6243191005,637292.6243191005,22.99978931341476,6.551604606319287,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 193849902.10193884, 'Material': 30409407.395020794, 'CentrifugalCompressor': 62084742.329128094}","{'Fixed': 272763572.35019153, 'Adsorbent': 65244116.0636433, 'npv_CC': 53652191615.77188}","{'CAC_CAPEX': 35.71345629836177, 'CAC_FixedOPEX': 11.344654329339768, 'CAC_VariableOPEX': 9.728268560831232}",511.276340155175,56.50983810003461,6.551604606319287,0.194959760058441,9.122216437825752e-05,0.1947730138296172,9.552406444554963e-05,0.0407285290234357,3.320789095748969,2.3088858222985458e-07,0.5304966059584686,0.0006238596144726,2.8859341474999973,0.483250405391955,2.3959088700649205,0.0067748720431219,0.0001466819409938,0.0001186481157466,0.0009773386294149,4.507015321723909e-11,4.0761056817074544e-19,2.6136389331995035e-11,1.893376347763348e-11,1.307952989284907e-09,1.6333545574540103e-10,1.1341485396490336e-09,2.982363679550981e-11,3.373181361808677e-09,1.3566775992849849e-08,0.0002897186023762,0.0711447213237789,56.59702791765591,80.11592585682321
9,DAZMID,28.42514667766301,73.97557191943201,0.0162772381724484,0.2082354260285725,5.123582618579809,-5.123582618579809,0.0,"[879.0672423561151, 2213.501645061102]","[[0.0, 0.0], [0.0, 0.0], [879.0672423561151, 2213.501645061102]]","[281.4029223479687, 4.556761075501504, 0.0, 0.0, 139.4253780584431, 137.42078321402403]",467.915175,"[[0, 101.325, 310.15, 0.1521]]",105.42750285574428,10070.147159105672,38613.436830849234,-106.208683670128,845.087578023867,816.4310386918118,1830.905225151805,116.41912979790428,117.03463273814076,0.5244994228165727,0.2082354260285725,-5539237.648964278,739931.6065505443,17603.90632612321,-5.272249769958942,"(20032.568978400388, 277420.22819604195, 83150.32657558715)","{'ShellAndTubePackedColumn': 4676773715.1096, 'Material': 585363413.6460172, 'CentrifugalCompressor': 95885413.70810217, 'SteamBoiler': 356621897.9831737, 'ForcedDraughtCoolingTower': 58483080.805399366}","{'Fixed': 5408459559.866089, 'Electricity': 1686495635.3976934, 'Heat': 23355367178.72399, 'Makeup-water': 7000233619.70314, 'Adsorbent': 1255911304.130992, 'npv_CC': 62293130066.63316}","{'CAC_CAPEX': -26.936876320133024, 'CAC_FixedOPEX': -11.355932213526598, 'CAC_VariableOPEX': -67.94878248409769}",351.52933711109404,177881.88446004214,8830.141679724951,8.778410624365742,0.0012605926371143,8.7764966269411,0.0006534047875343,0.1839056033526743,137.38074955247876,1.611492305035874e-06,5.559675093409558,0.0107738289678039,65.19159796966447,27.245686634046997,37.69213884317327,0.2537724924441807,0.0004873783548957,0.0020418667760832,0.020876319913685,1.0935718989147076e-09,3.4374680130892757e-18,3.0681054765689766e-10,7.86761347820342e-10,2.1034678260045632e-08,6.125044203307414e-09,1.4619827325328157e-08,1.3427121472570415e-09,5.385377441995411e-08,9.11648637081582e-07,0.0087076839855135,0.2168338248655785,-105.97751451041208,-575.4123745616421
