,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,87.33318214216928,93.939258357109,0.956225003178304,6.745275193553662,0.1253991166667704,-0.1253991166667704,0.0029663018735597,"[36511.68544902376, 5295.660342621116]","[[1201.0906696691588, 5421.8099147773], [992.5000835015189, 2525.9310645904866], [36511.68544902376, 5295.660342621116]]","[510.34389445396437, 237.39799997846254, 14.013146174644076, 5.88867581311114, 145.51802832189512, 107.5260441658515]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.28777560495291, 310.15, 0.16096261604403148], [2, 90.18023033360882, 310.15, 0.16935850290990628], [3, 85.85075312847876, 310.15, 0.1772329945933608], [4, 82.17365859867611, 310.15, 0.1845515286374844], [5, 79.04465646576928, 310.15, 0.19129775829321227], [6, 76.37710229973379, 310.15, 0.19747093542180127], [7, 74.09889979589073, 310.15, 0.20308296902423317], [8, 72.14994691598082, 310.15, 0.2081554773635606], [9, 70.48003501767798, 310.15, 0.2127170530417614], [10, 69.04712382661074, 310.15, 0.21680086980656904], [11, 67.8159268568206, 310.15, 0.2204426873275323], [12, 66.75675215493847, 310.15, 0.22367925837104483], [13, 65.8445522403916, 310.15, 0.22654710993202323]]",45.53808532566551,420.640248047849,259.081441946962,47.427399440238176,33.45330108311689,15.515733743987145,87.61350614224392,2.8493452973376487,3.487204573169066,0.4402406138500481,6.745275193553664,589902.946405907,589902.946405907,106.48474374038658,5.504941615482644,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 162802053.8020395, 'Material': 14406865.585953359, 'VacuumPump': 1565537.959452364, 'CentrifugalCompressor': 62374927.48111714}","{'Fixed': 230460814.96060905, 'Adsorbent': 30910277.14526124, 'npv_CC': 49662564271.93605}","{'CAC_CAPEX': 30.369194077720127, 'CAC_FixedOPEX': 9.715859862426637, 'CAC_VariableOPEX': 7.574707285934872}",555.4685482636223,47.427399440238176,5.504941615482644,0.1726507118675863,8.034514334664962e-05,0.1724860483049446,8.431841929511469e-05,0.0360079978202679,2.939979721030054,1.1620374724562835e-07,0.4685970283494423,0.0005465444140746,2.5236046487158004,0.4244530229875476,2.093211032412355,0.0059405933158973,0.0001297409702541,0.0001037307079161,0.0008493913573143,3.9201898296839716e-11,3.6084300017003423e-19,2.2452585214293303e-11,1.6749312721703414e-11,1.1100783863530376e-09,1.44247846687444e-10,9.58975170092755e-10,2.3979116483808312e-11,2.97533462221308e-09,1.1516782219561016e-08,0.0002528269504555,0.0630590760370148,47.46596968873134,77.72057852944101
1,AlTCPP,91.27034200729943,96.0079087409766,1.6898062376448726,8.384139970798742,0.0867065218786347,-0.0867065218786347,0.0027896174009564,"[64016.81402425922, 6122.96261768587]","[[1293.8445534080815, 5897.806998995167], [1250.3699089973654, 3178.7399075261474], [64016.81402425922, 6122.96261768587]]","[725.5726260187896, 415.33193489449195, 15.181158116085976, 6.151594339099898, 176.42101492056324, 112.48692374854848]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.69421256486268, 310.15, 0.15982449053273304], [2, 90.89118919294758, 310.15, 0.1671292457018211], [3, 86.78291153910244, 310.15, 0.17398475174440958], [4, 83.25965548604641, 310.15, 0.18037426911122642], [5, 80.23062832351008, 310.15, 0.18629230154631557], [6, 77.62045767913244, 310.15, 0.19174282993686598], [7, 75.47421821248686, 310.15, 0.19681922609537375], [8, 73.60532192771973, 310.15, 0.20148563446761417], [9, 71.9719928178501, 310.15, 0.2057566580091155], [10, 70.54265265961588, 310.15, 0.20965187677077232], [11, 69.29029275207091, 310.15, 0.21319305440122802], [12, 68.19175905432935, 310.15, 0.216403234759098], [13, 67.22715626993912, 310.15, 0.21930600242962417], [14, 66.37935044415306, 310.15, 0.22192489585482636]]",52.2595328892761,359.6884694291225,220.82982240347687,35.7787503487195,27.430068150533664,13.224394861474156,79.23187756291635,1.9701639607231731,2.60445890592091,0.4274610746284101,8.384139970798744,591186.4494169041,591186.4494169041,96.86470768851773,4.011058015814328,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 132299918.2954195, 'Material': 11615945.414950384, 'VacuumPump': 1025374.6949330061, 'CentrifugalCompressor': 61265023.44269144}","{'Fixed': 197753627.31915018, 'Adsorbent': 24922290.69107283, 'npv_CC': 49770619420.94866}","{'CAC_CAPEX': 22.951205587452765, 'CAC_FixedOPEX': 7.468247444246396, 'CAC_VariableOPEX': 5.528602764521353}",597.3839635460797,35.7787503487195,4.011058015814328,0.1367540260919108,6.364075323320924e-05,0.1366236050099477,6.678032872990312e-05,0.0285214174980205,2.328725452866263,9.208303169267973e-08,0.3711318359027861,0.0004332829174349,1.9987888896359505,0.3362131249076909,1.6578695329342106,0.0047062317940485,0.0001027514201722,8.23529059509294e-05,0.0006750226514032,3.105420329688297e-11,2.8579048182075072e-19,1.7785469838322156e-11,1.3268733172770325e-11,8.792287812440562e-10,1.1427469536051278e-10,7.595157793615406e-10,1.9002975514178613e-11,2.357054844140873e-09,9.163588286119146e-09,0.000200759127429,0.0499408442754271,35.80102746554067,82.87844068398327
2,AlTCPP-FF2,97.09673325017954,98.53964843875409,0.9434001677081402,7.130759142331349,0.1207737056858029,-0.1207737056858029,0.0025098774336745,"[35739.88055032803, 1068.649823439147]","[[241.05444620015464, 1181.580214340725], [119.72318237306015, 258.90610240260355], [35739.88055032803, 1068.649823439147]]","[476.2803701484901, 233.5934121635651, 3.603663383611064, 5.030463136066121, 135.99716214675263, 98.05566931849516]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780115804, 310.15, 0.2200380113138394], [2, 62.53430040783679, 310.15, 0.24172409487808022], [3, 60.76888278108392, 310.15, 0.24846760792091277], [4, 60.238169102148746, 310.15, 0.25057050129584124], [5, 60.07424765444277, 310.15, 0.2512273772208993]]",1582.5050910855523,396.486824526816,244.43265617064176,44.152652806623465,31.773967412682232,14.70580433019908,85.01157315788649,2.744245729037689,3.374250921455218,0.409516649035511,7.130759142331348,586838.0238953611,586838.0238953611,109.85648520053267,5.134178697532039,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 154410242.00923547, 'Material': 13557233.94086674, 'VacuumPump': 282602.80648951436, 'CentrifugalCompressor': 59052359.0652774}","{'Fixed': 217499904.33275512, 'Adsorbent': 29087371.9849176, 'npv_CC': 49404535536.70787}","{'CAC_CAPEX': 28.26613527896507, 'CAC_FixedOPEX': 9.043163161575414, 'CAC_VariableOPEX': 7.0600663703742885}",566.319306636078,44.152652806623465,5.134178697532039,0.1642981171067804,7.645596940974757e-05,0.1641414283110887,8.023282628197147e-05,0.034265078305299,2.797814795876032,1.1059837726673025e-07,0.4458955895855748,0.00052054890432,2.4014204031248383,0.4039430566331058,1.9918238898235416,0.0056534566681905,0.0001234522832124,9.89354369370234e-05,0.0008109213254718,3.730392891961565e-11,3.433602779566028e-19,2.1364645354503632e-11,1.593928322175173e-11,1.056306760193053e-09,1.3727802301302747e-10,9.125017047037271e-10,2.2823652969816684e-11,2.8316733589089956e-09,1.0975156282137633e-08,0.0002411778991283,0.0600024584329041,44.18709211570203,82.34976973990268
3,Ca-SQA,97.02250639229648,98.30860930078128,1.1725976458914027,4.082100545293922,0.1042943969790901,-0.1042943969790901,0.0025405703198333,"[85098.94282760077, 2611.575063490894]","[[728.8073571742077, 3223.7313028916324], [661.6660857263054, 1417.6361473957547], [85098.94282760077, 2611.575063490894]]","[1034.1125796315, 557.7107116057399, 8.745002766906115, 9.401662496370767, 277.2433939713078, 181.01180879117533]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.03206241607302, 310.15, 0.17006335029088676], [2, 82.0278615425568, 310.15, 0.1857353080526523], [3, 76.28259996016926, 310.15, 0.1989739443059344], [4, 72.11255563605431, 310.15, 0.20987892051749918], [5, 69.05678870084057, 310.15, 0.21868996799673374], [6, 66.79960695548277, 310.15, 0.22570586258863717], [7, 65.12138532028303, 310.15, 0.23123117863934242], [8, 63.86704782170254, 310.15, 0.23554673584161473], [9, 62.925608933529595, 310.15, 0.23889650375099147], [10, 62.21669236888471, 310.15, 0.2414844738196153]]",152.90926553803266,389.5927581203387,260.7202224561861,40.95568696926033,30.479159027006503,14.906161260719982,82.6495940067551,2.369799385116273,3.0005033449671643,0.4105710142247008,4.08210054529392,585249.3217082086,585249.3217082086,109.3183724113312,4.52983409779293,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 140421254.0231392, 'Material': 23618147.64188267, 'VacuumPump': 396345.4758382074, 'CentrifugalCompressor': 58914382.549286634}","{'Fixed': 213800495.90400663, 'Adsorbent': 50673304.676353835, 'npv_CC': 49270786375.15658}","{'CAC_CAPEX': 25.894546868368177, 'CAC_FixedOPEX': 8.412068958671561, 'CAC_VariableOPEX': 6.840273958537003}",583.6397790055403,40.95568696926033,4.52983409779293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,95.42541966366991,97.85417025082164,0.9877402730503902,3.997729965062156,0.0998096266599126,-0.0998096266599126,0.0025979871022832,"[73769.1413572412, 3536.4042900747922]","[[820.7575070367006, 3691.5424983351577], [696.5350634754549, 1667.6640841918759], [73769.1413572412, 3536.4042900747922]]","[889.4710283229745, 480.204565930893, 9.902346037853897, 7.799863448636924, 240.64644994122017, 150.9178029643704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.45356322192502, 310.15, 0.16629266565990966], [2, 84.14808598595465, 310.15, 0.17884286365470614], [3, 78.67181074019639, 310.15, 0.18971109389087543], [4, 74.52183491885069, 310.15, 0.19896422017202495], [5, 71.34802270866001, 310.15, 0.20673545857529574], [6, 68.90213982195206, 310.15, 0.2131914919161363], [7, 67.00526006448278, 310.15, 0.21850878488535835], [8, 65.52646902643261, 310.15, 0.22285835389226516], [9, 64.36869129574552, 310.15, 0.22639713536564637], [10, 63.459090469890214, 310.15, 0.22926398217452082], [11, 62.742454466535484, 310.15, 0.23157863747244042]]",106.28407977746,392.2448224446043,263.45824679427227,40.20311215166626,30.1497483224836,14.92602834366847,82.38062707978563,2.267895483731183,2.899242757503301,0.4148371216391469,3.997729965062156,589215.5275145664,589215.5275145664,102.039268779511,4.394359763753662,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 140274759.7314033, 'Material': 24280036.73054705, 'VacuumPump': 524786.8308099065, 'CentrifugalCompressor': 59790951.73969619}","{'Fixed': 215223613.7761457, 'Adsorbent': 52093403.65957667, 'npv_CC': 49604692065.87073}","{'CAC_CAPEX': 25.408046017267313, 'CAC_FixedOPEX': 8.289570516391656, 'CAC_VariableOPEX': 6.690980106974883}",586.4050735049142,40.20311215166626,4.394359763753662,0.1468857543463064,6.844712347091209e-05,0.1467456073856142,7.169983722130765e-05,0.0306531726461964,2.502237961705023,9.978430236227305e-08,0.3984613545382177,0.0004682394107662,2.1465106958164237,0.3612855038637624,1.780153512111197,0.0050716798414635,0.000110250340002,8.98716969717452e-05,0.000741612730395,3.339481815801962e-11,3.0685311249459973e-19,1.9133170267093428e-11,1.4261647584073076e-11,9.448834659158827e-10,1.2293594571312354e-10,8.159867333872504e-10,2.0548958827657206e-11,2.5357902884854e-09,1.0404590033799642e-08,0.0002193889662074,0.053582187651341,40.24832928500217,83.48078663759782
5,CAU10,89.02019537146748,95.9988095135488,1.4601986902931925,5.595181397348708,0.0976640835997854,-0.0976640835997854,0.0028943583742623,"[79226.5323675633, 9771.848322305175]","[[1360.9978294811344, 6493.321730840029], [1809.6616042194498, 5181.659335484136], [79226.5323675633, 9771.848322305175]]","[939.5075712016061, 501.5881445329991, 16.32658980096191, 9.047995048596604, 241.8638165742384, 170.68102524481012]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.40190265766157, 310.15, 0.15771430184971144], [2, 92.14617507520953, 310.15, 0.1629866854448304], [3, 88.45247924714515, 310.15, 0.1679196519660506], [4, 85.23474829306566, 310.15, 0.17251955648890635], [5, 82.42219586350538, 310.15, 0.1767958401632329], [6, 79.95623721292615, 310.15, 0.18076032973746323], [7, 77.78809652229039, 310.15, 0.1844266149234541], [8, 75.87693459466004, 310.15, 0.18780950760544513], [9, 74.18837395019052, 310.15, 0.19092458207852264], [10, 72.69332949043906, 310.15, 0.1937877921625473], [11, 71.36707567461934, 310.15, 0.19641515892359088], [12, 70.18849792159577, 310.15, 0.19882252158276553], [13, 69.1394883890297, 310.15, 0.20102534375719058], [14, 68.20445556757272, 310.15, 0.20303856724905125]]",43.02360579568495,391.2113512538617,250.10410790272357,39.40755515035099,29.51417800885085,14.230279907507278,82.86973967637701,2.2191439997406364,2.8537499090273504,0.4325627679609065,5.595181397348708,605827.697560391,605827.697560391,74.41541418661808,4.417553048312307,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 141849246.450115, 'Material': 17837071.999415565, 'VacuumPump': 1084675.3034455173, 'CentrifugalCompressor': 63507061.26112209}","{'Fixed': 214669045.28079295, 'Adsorbent': 38269867.63168508, 'npv_CC': 51003232228.49168}","{'CAC_CAPEX': 25.10648287735389, 'CAC_FixedOPEX': 8.137052509417382, 'CAC_VariableOPEX': 6.350483233505916}",580.8497518379082,39.40755515035099,4.417553048312307,0.1472226543854666,6.856516378263737e-05,0.1470821908701118,7.189835157227357e-05,0.0307239253705589,2.5074979196889293,9.94662091812192e-08,0.3995658893925649,0.0004661329409069,2.152027810385658,0.3619303680555468,1.785023312371531,0.0050741299585808,0.000110606331958,8.848404108014268e-05,0.0007246278180553,3.347342069842898e-11,3.0770143431097854e-19,1.918806684309949e-11,1.4285353547628059e-11,9.47161964412649e-10,1.230926742875516e-10,8.181496943673192e-10,2.0529667000670437e-11,2.5386529147568833e-09,1.0197620402833498e-08,0.000215718344852,0.0537569955862673,39.439262605748105,81.86560995911937
6,CAU21,78.47268754146424,91.2953317483128,0.2022931360609195,1.9419966829466704,0.452438033823584,-0.4524380338235842,0.0033003868680027,"[11008.782682588086, 3020.025336470963]","[[559.630588046582, 2624.626209783763], [305.66651884374227, 865.2154549860009], [11008.782682588086, 3020.025336470963]]","[375.00336443124047, 68.5362316940776, 7.176018199243264, 7.430941540841948, 146.99586047621494, 144.86431252086268]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.94802318697234, 310.15, 0.1701091872897179], [2, 77.90709785296796, 310.15, 0.18432253256957773], [3, 72.0642010725298, 310.15, 0.19512170870260853], [4, 68.20855614174592, 310.15, 0.20311074650551517], [5, 65.62458441690858, 310.15, 0.20891247429232912], [6, 63.873227942971525, 310.15, 0.21307222277572901], [7, 62.67654318215995, 310.15, 0.2160284940738736], [8, 61.854130775965636, 310.15, 0.21811670182377974], [9, 61.28662418598918, 310.15, 0.21958552969213824]]",40.66665942825406,962.4281118505796,1664.37040099275,519.8722929587246,86.69094938782123,54.65136193198584,192.76817105516903,10.280392863034686,10.9242693352033,0.465625844700723,1.9419966829466704,426972.89665090176,616090.931802869,584.9607914272397,49.28265108925279,"(788.0506398443657, 8286.677535112429, 3271.006735671889)","{'ShellAndTubePackedColumn': 414370618.6841314, 'Material': 52261869.88466441, 'VacuumPump': 2328857.2959576095, 'CentrifugalCompressor': 68214478.70616977, 'SteamBoiler': 10652470.044318436, 'ForcedDraughtCoolingTower': 3923346.3453762485}","{'Fixed': 521188300.2749879, 'Electricity': 66344160.15254411, 'Heat': 697636209.8133243, 'Makeup-water': 275378489.3497766, 'Adsorbent': 112129100.71428697, 'npv_CC': 51867270174.58167}","{'CAC_CAPEX': 254.43781712741435, 'CAC_FixedOPEX': 83.95964524761727, 'CAC_VariableOPEX': 183.23041071390645}",379.6476260072977,519.8722929587246,49.28265108925279,0.6161833839285444,0.0001855094364662,0.615827328132543,0.0001705463595354,0.0694603231137718,10.058590580760823,2.613416896024373e-07,1.0169518816332297,0.0013401857898835,6.741567653875032,1.7179178930140948,5.004165215881524,0.0194845449794099,0.0002437883925033,0.0002542751367044,0.0022313619667026,1.0767611726198896e-10,7.528879315500846e-19,5.0238584408107407e-11,5.7437532100993616e-11,2.692039859197541e-09,4.715048905295661e-10,2.198017347245392e-09,9.018040527827851e-11,7.125706841212841e-09,5.3623861076443826e-08,0.0007536951171136,0.1177685306661596,525.7324018173014,35.04066529475834
7,CuAlPyC,94.58932518070267,97.54021463937804,1.1695802552797254,4.376826043136701,0.1028221792238188,-0.1028221792238188,0.0026482111793109,"[79165.24494105738, 4528.390455770698]","[[872.1162675889763, 4053.415186091268], [1030.2168805147724, 2595.4872462370336], [79165.24494105738, 4528.390455770698]]","[961.9959480933626, 503.92322791947316, 10.70102479368099, 8.784061783881997, 261.98467449657255, 176.60295909975397]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.39925786939106, 310.15, 0.16307593949561813], [2, 85.64476456473137, 310.15, 0.1727763486479202], [3, 80.45150613926977, 310.15, 0.1812483860211869], [4, 76.40477042545258, 310.15, 0.18857135506951192], [5, 73.22141507191202, 310.15, 0.19484646823257573], [6, 70.69738367785315, 310.15, 0.20018553442481574], [7, 68.68292337520629, 310.15, 0.20470177591586416], [8, 67.06634976612472, 310.15, 0.20850381871395], [9, 65.7631757199493, 310.15, 0.2116921378348269], [10, 64.7086834768109, 310.15, 0.21435727592064263], [11, 63.85275349408382, 310.15, 0.21657926803633476]]",107.30334215824622,399.9274883011791,264.4003496667941,40.72432217295095,30.332775439394325,14.798342980893777,83.65789641871692,2.336347341360761,2.9681588182953904,0.4172234716189081,4.376826043136702,602553.9287482597,602553.9287482597,80.31952088291727,4.514773278710488,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 144571563.32540652, 'Material': 22679070.348900437, 'VacuumPump': 621877.2966168983, 'CentrifugalCompressor': 61402429.378794685}","{'Fixed': 219346190.66318697, 'Adsorbent': 48658491.723895684, 'npv_CC': 50727621206.315056}","{'CAC_CAPEX': 25.802293126546484, 'CAC_FixedOPEX': 8.377991277511342, 'CAC_VariableOPEX': 6.73460487295992}",578.912114567071,40.72432217295095,4.514773278710488,0.1498356388617626,7.012173183924708e-05,0.1496920982626077,7.341886731562461e-05,0.0313041917519423,2.5521393779767902,1.795003000417941e-07,0.4077252441445679,0.0004795932065062,2.218657096417855,0.3714664512308562,1.8419817528025224,0.005208892384477,0.0001127298490201,9.121677999588987e-05,0.0007515015323362,3.466040432054995e-11,3.1326257879358595e-19,2.010631231653252e-11,1.4554091690754858e-11,1.0063380023080358e-09,1.2555451332890755e-10,8.726751503589901e-10,2.2983790325098558e-11,2.592849074098746e-09,1.0475254029865152e-08,0.0002227522631192,0.054673744677344,40.76875070889104,82.92521426417339
8,CuAlPyC-FF2,91.22052272082048,96.92282947515652,0.9131515573030636,4.028381047345526,0.1195763645408598,-0.1195763645408598,0.0027663292651725,"[61808.38499613321, 5948.719603340714]","[[867.7806652668909, 4030.507935182385], [969.2243212178122, 2571.130936244442], [61808.38499613321, 5948.719603340714]]","[816.0463391260375, 386.68032674580223, 10.675811764297269, 8.708738552348914, 234.63064562028734, 175.3508164433017]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86224148825164, 310.15, 0.16351807218975362], [2, 85.17733346302224, 310.15, 0.17317988416208874], [3, 80.1106482948028, 310.15, 0.18146582432705227], [4, 76.19954481461441, 310.15, 0.1885389022463931], [5, 73.13646384990697, 310.15, 0.19455360686287004], [6, 70.70960753793507, 310.15, 0.19965226614605402], [7, 68.7687842981344, 310.15, 0.2039632667974636], [8, 67.20483079607047, 310.15, 0.20760058317290134], [9, 65.93672900234068, 310.15, 0.21066416040932717], [10, 64.9032703384142, 310.15, 0.21324080906032644], [11, 64.05750460735787, 310.15, 0.2154053686985752]]",67.75949022883665,434.7594697739634,287.8441110761084,45.99943482065312,33.01006302152569,15.818921606288212,88.46792952892933,2.7170394898604373,3.3497957555508027,0.4255798025486104,4.028381047345526,613085.5199766282,613085.5199766282,64.65619887550062,5.185727542628248,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 159822071.6085248, 'Material': 25071431.21333156, 'VacuumPump': 799769.8420373343, 'CentrifugalCompressor': 63550538.8138353}","{'Fixed': 238037296.64518955, 'Adsorbent': 53791359.585392386, 'npv_CC': 51614251506.18259}","{'CAC_CAPEX': 29.126216331596357, 'CAC_FixedOPEX': 9.381589839461913, 'CAC_VariableOPEX': 7.7105165137846585}",556.2707531915146,45.99943482065312,5.185727542628248,0.1657988782604735,7.758203696183071e-05,0.1656400587007693,8.12375227423697e-05,0.034637396985479,2.8240721681174765,1.970216975708133e-07,0.4511527250314344,0.0005305882460915,2.4544963877888386,0.4109902675806695,2.0377439076568677,0.005762212551302,0.0001247414841243,0.0001009112951442,0.0008312753428307,3.833608010357408e-11,3.4664101496119274e-19,2.223338636680821e-11,1.6102693390124848e-11,1.1126809084158464e-09,1.3891277599230124e-10,9.648446983413126e-10,2.5383294846079488e-11,2.868774616495077e-09,1.1553348929487232e-08,0.0002464136603173,0.0605019287190964,46.05603411101622,80.8531330703444
9,DAZMID,40.80397626576269,80.29782227678756,0.0323505209020921,0.3992407453959822,2.6099352728166614,-2.6099352728166614,0.0061847782844877,"[1747.1196831365255, 2534.619115448351]","[[199.2090954581053, 1153.9795108278006], [24.35456111062983, 166.38683077575712], [1747.1196831365255, 2534.619115448351]]","[291.70839046505705, 8.021345171367983, 3.4639262438760574, 7.054418011837766, 134.6991435240393, 138.46955751393597]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.85218516985684, 310.15, 0.1278197451080371], [2, 61.66381490817122, 310.15, 0.12288515436583454], [3, 60.35901931739105, 310.15, 0.12181659468533232], [4, 60.07777629152522, 310.15, 0.12158489353632856]]",105.42750285574428,6012.552420477399,21754.915629458592,-121.74739027109744,440.17337295082433,413.268229562904,1176.327448447096,59.30350223851645,59.981323692839744,0.5698739552017374,0.3992407453959821,-2651200.931195916,835412.9272399959,10089.779969717014,-6.472159127944867,"(11240.449699662302, 153998.663046643, 46656.37564463851)","{'ShellAndTubePackedColumn': 2754074775.9062243, 'Material': 344710843.514283, 'VacuumPump': 7054838.092347983, 'CentrifugalCompressor': 109552883.76483865, 'SteamBoiler': 197964279.1720139, 'ForcedDraughtCoolingTower': 33586232.82292296}","{'Fixed': 3231123385.3227363, 'Electricity': 946307454.5669932, 'Heat': 12964791154.108986, 'Makeup-water': 3927892322.3975434, 'Adsorbent': 739585418.1073194, 'npv_CC': 70331481552.07637}","{'CAC_CAPEX': -33.365319441918174, 'CAC_FixedOPEX': -13.62484486144006, 'CAC_VariableOPEX': -74.82522175907825}",327.08867919070013,112424.10678957123,5976.528181334734,4.4406783198581365,0.0006778323456015,4.439618369555849,0.0003821179566874,0.1164291046490068,69.6677645889937,8.765407248498873e-07,3.071719127588134,0.005691680572187,33.874007365934325,13.7021060134363,20.042835096746845,0.1290662557511711,0.0003332537682369,0.0010788101133684,0.0108774913038998,5.659927346809532e-10,1.9505536287803285e-18,1.670817697265028e-10,3.9891096300389694e-10,1.1143606727635382e-08,3.1156460109539356e-09,7.880454150273021e-09,6.775499025532327e-10,2.8626923089344523e-08,4.569005774078994e-07,0.0044638512489075,0.1521145773830007,-121.4433328712338,-276.27897623956466
