,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,43.50215586254564,89.40770438513026,0.1584410355012712,1.5386916931341394,0.5987568866544369,-0.5987568866544369,0.0066670300452862,"[6049.778275209274, 7857.0687654864605]","[[370.55093548853495, 6867.895836334326], [252.4122943064532, 2905.9315248538223], [6049.778275209274, 7857.0687654864605]]","[370.69656666746664, 138.60924545107687, 15.23019424889253, 5.647876256289039, 104.73885016018451, 106.47040055102372]",330.824403,"[[0, 101.325, 310.15, 0.0432], [1, 95.97913681719322, 310.15, 0.045350022336025586], [2, 91.33293055727387, 310.15, 0.04742234463237565], [3, 87.28655843726985, 310.15, 0.04940064126667666], [4, 83.76329674614365, 310.15, 0.05127354036326797], [5, 80.69590438452938, 310.15, 0.05303279472518394], [6, 78.02556247521623, 310.15, 0.054673200524107575], [7, 75.7009007199537, 310.15, 0.05619237592843102], [8, 73.6771115326516, 310.15, 0.05759043963541593], [9, 71.9151508337188, 310.15, 0.058869629506276486], [10, 70.38102246720847, 310.15, 0.06003389739769707], [11, 69.04514169581547, 310.15, 0.06108850954999809], [12, 67.88177219251558, 310.15, 0.06203967411300751], [13, 66.8685303526642, 310.15, 0.06289420979133913], [14, 65.98595052604615, 310.15, 0.0636592629641443]]",63.20285472959885,605.5218526210585,2450.315507546656,1360.5645900800262,193.38084781695207,141.36330797135176,172.56466372999412,13.605080837777882,14.306998820617276,0.598084399924639,1.5386916931341392,119353.5675457799,299122.4993020798,340.2074718033345,46.83225963216034,"(853.2726719986607, 24613.972866077955, 2669.445636761997)","{'ShellAndTubePackedColumn': 361889896.55672973, 'Material': 32024774.71781167, 'VacuumPump': 4913113.259003644, 'CentrifugalCompressor': 38637251.81136002, 'SteamBoiler': 9819652.326025704, 'ForcedDraughtCoolingTower': 3546994.380965253}","{'Fixed': 291704093.9740291, 'Electricity': 63836663.040321544, 'Heat': 1841467497.435453, 'Makeup-water': 199711659.8370323, 'Adsorbent': 57883240.720605694, 'npv_CC': 22378523093.91159}","{'CAC_CAPEX': 282.32841140321193, 'CAC_FixedOPEX': 115.00256368233715, 'CAC_VariableOPEX': 964.9589883041998}",640.9915979052544,1360.5645900800262,46.83225963216034,1.286534640279208,0.0001621644986215,1.2862677879077713,0.0001046878728151,0.0807376974758207,15.068246233857955,3.730527938268813e-07,1.6280750703579936,0.0043485212556969,22.88204882822045,3.2905198078098024,19.56312150025917,0.0284075201514853,0.0001365147906495,0.000921874536183,0.0098082834528949,2.079814847265676e-10,2.7127368766538013e-19,1.4168266728263646e-10,6.629881717265748e-11,8.242877817746242e-09,8.920877731423117e-10,7.319690646528571e-09,2.689686813301958e-10,5.6273493636928296e-08,6.754583653232417e-08,0.002756013506902,0.0121969104933101,1396.2512917071056,-25.61840441418306
1,AlTCPP,47.53454069485839,91.68762409279606,0.2416379761755299,1.9283920670696335,0.4152284913509846,-0.4152284913509846,0.0061544835700291,"[9154.240904913857, 10103.841262490012]","[[378.5048718790371, 7212.283538716081], [363.6181396417502, 4312.527579676247], [9154.240904913857, 10103.841262490012]]","[451.09950880154497, 208.29992477715044, 15.871045893270246, 6.009462002457467, 110.4863767253468, 110.43269940332004]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 96.24135890022988, 310.15, 0.0449487266180909], [2, 91.80469623583369, 310.15, 0.04661584823212074], [3, 87.92942946086923, 310.15, 0.04819478577043264], [4, 84.54162931645072, 310.15, 0.04968101333597411], [5, 81.57744758688682, 310.15, 0.051071936572868376], [6, 78.98173544282152, 310.15, 0.052366711914347275], [7, 76.70683778529668, 310.15, 0.05356602701997263], [8, 74.81658341750241, 310.15, 0.05469752220506785], [9, 73.2143474821151, 310.15, 0.05576154363449125], [10, 71.78804836568595, 310.15, 0.05674729739174637], [11, 70.51788681132008, 310.15, 0.057657551486000436], [12, 69.3863731682843, 310.15, 0.05849555413414233], [13, 68.37804535200773, 310.15, 0.05926490365761816], [14, 67.47922291747004, 310.15, 0.05996943236612732]]",65.00439486980886,493.9269858126743,1266.3456621126577,282.5167997613983,133.12888033203942,82.01758192177577,144.68064310989726,9.434909755349596,10.119973953434952,0.5699422883484854,1.9283920670696335,217947.0205337095,301186.1841986258,185.81039488299365,11.15246377689299,"(459.55593292278763, 11271.248368344597, 1437.711086088492)","{'ShellAndTubePackedColumn': 293044338.3385099, 'Material': 25729320.78989981, 'VacuumPump': 3857413.189641193, 'CentrifugalCompressor': 38043507.950253494, 'SteamBoiler': 4496622.339661514, 'ForcedDraughtCoolingTower': 2574293.8671742757}","{'Fixed': 238097833.76016068, 'Electricity': 34381175.21033025, 'Heat': 843246136.6053421, 'Makeup-water': 107560784.68678513, 'Adsorbent': 46504510.39804293, 'npv_CC': 22532915425.56055}","{'CAC_CAPEX': 72.00974697664577, 'CAC_FixedOPEX': 29.327040256449163, 'CAC_VariableOPEX': 181.69136042682234}",643.0031971991236,282.5167997613983,11.15246377689299,0.949378696307561,0.0001203309924834,0.9491719676364392,8.639767863774083e-05,0.0747242144306898,10.026410004261146,3.144808530837203e-07,1.416826165859154,0.0038551886935068,19.949334344866667,2.261990722635702,17.668214712981367,0.0191289092496044,0.0001271338424904,0.0008248647203405,0.0087805383065591,1.6575465663743998e-10,1.7839281020201132e-19,1.2754237345867868e-10,3.8212283000368434e-11,7.2908176829042525e-09,6.593693645351631e-10,6.610788667983773e-09,2.142683486659596e-10,5.239142744959845e-08,3.5157132856932014e-08,0.0023706049303999,0.0105737486593148,284.3108831298153,4.641347064039616
2,AlTCPP-FF2,37.64894439969647,91.56035000724412,0.0690287434784695,0.9433980325014824,1.2582805717558116,-1.2582805717558116,0.0069485035405287,"[2615.0928639891636, 4330.899661661162]","[[89.05428992936449, 1749.415989941602], [48.69662656934233, 578.4766980369163], [2615.0928639891636, 4330.899661661162]]","[263.4131808220619, 58.93100114146867, 4.41242949833067, 5.048831183697699, 97.12670297102937, 97.89421602753555]",328.23349650000006,"[[0, 101.325, 310.15, 0.0432], [1, 75.81615776628513, 310.15, 0.05332234934134327], [2, 66.94008710315498, 310.15, 0.058324091757526585], [3, 63.21728676927873, 310.15, 0.06076851857754103], [4, 61.52843416434161, 310.15, 0.061958746026361394], [5, 60.73444902857393, 310.15, 0.06253742948779502], [6, 60.35484437345303, 310.15, 0.06281859989092639]]",94.39059174357789,991.0237349100676,6887.511012310887,-390.0334006942222,405.0283161850536,354.017114003314,274.321387499508,28.590917744588968,29.27387225043954,0.5816293925580567,0.9433980325014824,-239201.1876027765,304120.09587052785,898.7976326524357,-11.001994904756328,"(2331.283072414374, 74875.00838056112, 7293.370138219334)","{'ShellAndTubePackedColumn': 604844558.1577634, 'Material': 53105409.75847005, 'VacuumPump': 2740559.368171713, 'CentrifugalCompressor': 40599108.41206554, 'SteamBoiler': 29871104.279092636, 'ForcedDraughtCoolingTower': 6690249.9101544535}","{'Fixed': 476885678.09119457, 'Electricity': 174412396.91496354, 'Heat': 5601691976.065809, 'Makeup-water': 545645521.3212098, 'Adsorbent': 95985475.11112586, 'npv_CC': 22752412822.975815}","{'CAC_CAPEX': -57.201468121393965, 'CAC_FixedOPEX': -23.310205016156985, 'CAC_VariableOPEX': -309.7533120813466}",641.5514073144682,19199.90338172532,541.5875635306454,2.4613407434691275,0.0003077558499502,2.4608675552546506,0.0001654323645269,0.0967666294390431,32.99636765734593,5.646536377006393e-07,2.2936780775805485,0.0058662581885802,32.098089810537466,6.929139335897844,25.107607084403348,0.0613433902362865,0.0001605593357862,0.0012175382223132,0.0129421999122553,3.5115323407725703e-10,6.022224588647023e-19,1.8339412955350403e-10,1.677591039215305e-10,1.1164225055128208e-08,1.7028429085348406e-09,9.393116448295757e-09,4.544559544896614e-10,6.62524791836354e-08,1.853552270779165e-07,0.004001497620273,0.0173379733801305,-387.7617342989386,-133.80086995187963
3,Ca-SQA,79.10202874263884,97.64896693195418,0.2851375794189613,1.158837739998443,0.3147706999487818,-0.3147706999487819,0.0032632363687011,"[20693.29292446993, 5466.962701585208]","[[247.92532016254603, 4522.270054019941], [180.61209509254888, 1883.8060710064349], [20693.29292446993, 5466.962701585208]]","[885.7972522621153, 480.1784340811798, 10.377507382117978, 9.247593747528247, 207.27221960774807, 178.72149744354115]",628.7831550000001,"[[0, 101.325, 310.15, 0.0432], [1, 92.40506848699488, 310.15, 0.04702431218606186], [2, 85.47405894845089, 310.15, 0.050534001593414674], [3, 80.06868073440805, 310.15, 0.0536835230342064], [4, 75.83930803716102, 310.15, 0.056454295333670926], [5, 72.52059220841085, 310.15, 0.05885018298841901], [6, 69.91000462057926, 310.15, 0.0608915629524421], [7, 67.85211682280877, 310.15, 0.06260935812111247], [8, 66.22703163580184, 310.15, 0.06403990541465288], [9, 64.94182267186191, 310.15, 0.06522103212829464], [10, 63.92416101899943, 310.15, 0.06618936057605905], [11, 63.11753895114034, 310.15, 0.06697866596008949]]",169.173251776577,441.45660518038846,601.804222826434,149.76930762495036,100.1437910014194,50.76758250543473,127.62629914676045,7.152286535016788,7.793437566394333,0.4611294572307161,1.158837739998443,269498.66173643526,295344.4245068937,104.0430568482537,6.494358529984355,"(220.98616906932563, 3346.8516491545465, 691.3505895191569)","{'ShellAndTubePackedColumn': 249621375.43188292, 'Material': 41985058.03507874, 'VacuumPump': 932306.8725161359, 'CentrifugalCompressor': 32593029.313816372, 'SteamBoiler': 1735146.7292687648, 'ForcedDraughtCoolingTower': 1812591.1304402633}","{'Fixed': 212892903.12007397, 'Electricity': 16532838.885378256, 'Heat': 250391050.81447932, 'Makeup-water': 51722639.28538349, 'Adsorbent': 75885973.97880858, 'npv_CC': 22095870554.393948}","{'CAC_CAPEX': 46.91674391295397, 'CAC_FixedOPEX': 19.109281974960318, 'CAC_VariableOPEX': 84.09141385763495}",652.8550663302713,149.76930762495036,6.494358529984355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,62.38622933045475,94.7575614422754,0.1593380144183631,0.9503162666452428,0.4365776701951075,-0.4365776701951075,0.0043910566747397,"[11900.120740152015, 7174.795099236271]","[[318.3063762687797, 5803.065734711545], [250.70774843389987, 2695.371647733159], [11900.120740152015, 7174.795099236271]]","[603.60626460816, 275.6075177561627, 13.096363748332948, 7.779967682421329, 158.86351147616998, 148.25890394507303]",647.079615,"[[0, 101.325, 310.15, 0.0432], [1, 94.59697809301971, 310.15, 0.04606604486399646], [2, 89.00905854258475, 310.15, 0.04876900315898638], [3, 84.35697342126169, 310.15, 0.0512870560152774], [4, 80.47564645742189, 310.15, 0.053606453926959875], [5, 77.23110687451498, 310.15, 0.055720921874623464], [6, 74.51418637926338, 310.15, 0.05763066006723509], [7, 72.23558421985547, 310.15, 0.05934112624338646], [8, 70.32198587575158, 310.15, 0.06086176124318193], [9, 68.71299651737166, 310.15, 0.062204779494381406], [10, 67.35870714616705, 310.15, 0.06338410243023601], [11, 66.21775407669487, 310.15, 0.06441447399095802], [12, 65.25576473036959, 310.15, 0.06531076739043266], [13, 64.4441072224798, 310.15, 0.06608747212802656]]",101.68949072158765,527.7053469767633,1410.1675421011223,320.70760597956377,142.38299379572507,91.77310300395034,147.3340407564555,9.920010320317465,10.59363626848029,0.518334375577435,0.9503162666452428,205331.12588428365,295911.6954939583,203.8213079219207,12.019554885849743,"(487.3002816606716, 12290.300203920888, 1524.5086985207158)","{'ShellAndTubePackedColumn': 296355350.75769806, 'Material': 51295891.11732552, 'VacuumPump': 2154972.419818763, 'CentrifugalCompressor': 35455546.16911764, 'SteamBoiler': 4903169.254375488, 'ForcedDraughtCoolingTower': 2729709.349138425}","{'Fixed': 254323773.80513892, 'Electricity': 36456838.35972529, 'Heat': 919485386.7103858, 'Makeup-water': 114054453.2635153, 'Adsorbent': 92714857.15934564, 'npv_CC': 22138310313.737198}","{'CAC_CAPEX': 81.33618205946213, 'CAC_FixedOPEX': 33.13096525928334, 'CAC_VariableOPEX': 206.77787900508625}",648.0802914022327,320.70760597956377,12.019554885849743,0.9748817067643156,0.0001241416407455,0.9746698962685444,8.766885502493306e-05,0.0748767953673037,10.451553948596503,3.218054027699317e-07,1.4260787036020408,0.0038834145889892,20.066519936145102,2.34573537717001,17.70081145062376,0.019973108351335,0.0001269729039526,0.0008334707747291,0.0088770061847596,1.6892922400926576e-10,1.872034691455045e-19,1.2801860561760236e-10,4.091061820445992e-11,7.325303859287347e-09,6.780992739878646e-10,6.625130333525036e-09,2.1844704893459876e-10,5.2329034858251325e-08,4.063126409013086e-08,0.0024044175764561,0.010656992477013,324.59282474299886,2.380148214605463
5,CAU10,38.02389598524399,87.62408272521924,0.19627016562434,1.194913045710969,0.5203701097744635,-0.5203701097744635,0.008550196633003,"[10649.101887977688, 17357.238893383343]","[[525.2194682950797, 10158.491025441132], [883.0531580083348, 10449.242375189731], [10649.101887977688, 17357.238893383343]]","[591.3171663693872, 242.0800882599811, 21.320501499679395, 9.95146067726621, 152.5627408320037, 165.40237510045677]",470.093715,"[[0, 101.325, 310.15, 0.0432], [1, 98.15719201755275, 310.15, 0.04433015250161696], [2, 95.4627131285239, 310.15, 0.04542171537049156], [3, 92.97116482113607, 310.15, 0.046483588579047885], [4, 90.66591023312554, 310.15, 0.047514581432359655], [5, 88.53180687031201, 310.15, 0.04851372680070685], [6, 86.55506186964442, 310.15, 0.049480273073636685], [7, 84.72310184111262, 310.15, 0.050413674207401574], [8, 83.02445583932845, 310.15, 0.05131357822363375], [9, 81.44865014627513, 310.15, 0.052179814508212914], [10, 79.98611366889972, 310.15, 0.05301238024227171], [11, 78.6280928687187, 310.15, 0.053811426273894826], [12, 77.36657524545687, 310.15, 0.05457724271100197], [13, 76.19422049312018, 310.15, 0.05531024448477039], [14, 75.1042985351144, 310.15, 0.05601095710019207], [15, 74.09063372544398, 310.15, 0.05668000275723095], [16, 73.14755457609294, 310.15, 0.057318086993596105]]",39.23611389703935,576.2104960700436,1992.5733137723307,618.4968567214386,170.8749571769116,118.43343173828674,163.073221761592,11.823959885626918,12.543930000626366,0.6297260536779183,1.194913045710969,161365.50655306727,301478.0763403373,275.9747083520696,22.19995426463544,"(694.121723253663, 19127.446103767612, 2171.545235570508)","{'ShellAndTubePackedColumn': 330530478.34012204, 'Material': 41563110.75101411, 'VacuumPump': 5956979.173498087, 'CentrifugalCompressor': 40160774.672767915, 'SteamBoiler': 7630823.014461274, 'ForcedDraughtCoolingTower': 3166211.881190206}","{'Fixed': 277623946.2805589, 'Electricity': 51929958.629192986, 'Heat': 1430998989.910274, 'Makeup-water': 162461785.1116973, 'Adsorbent': 75123324.54785615, 'npv_CC': 22554753017.348072}","{'CAC_CAPEX': 139.04935460088387, 'CAC_FixedOPEX': 56.633900655983716, 'CAC_VariableOPEX': 423.7084756030002}",637.9504593538188,618.4968567214386,22.19995426463544,1.156443171398279,0.0001463680619897,1.1561984994180252,9.830391826380504e-05,0.0795185279628035,13.054939396181654,3.547180767571677e-07,1.5608776366117116,0.0041999685824317,21.95072707996501,2.8827678506307466,19.0432137946958,0.0247454346384714,0.0001346356934664,0.0008936227496956,0.0095090271880969,1.9269603023344468e-10,2.3437959062875355e-19,1.3792391635381191e-10,5.47721136452532e-11,7.957195279597558e-09,8.02747763869388e-10,7.127203124041007e-09,2.492388434210829e-10,5.548696886682239e-08,5.5727339446169766e-08,0.00262875953804,0.0116805772036472,628.0877161400801,-13.708189392398452
6,CAU21,27.31754699695998,80.73823690364107,0.0315272938517776,0.3393728805168071,2.74766719197212,-2.747667191972121,0.0107555467254388,"[1715.713806917282, 4564.915296084589]","[[200.65520712125084, 3839.6958411509213], [109.82738710367185, 1394.770088495612], [1715.713806917282, 4564.915296084589]]","[334.43526098361525, 38.73431160754943, 8.917039265778364, 7.46312320150115, 135.2968398457795, 144.0239470630068]",471.502395,"[[0, 101.325, 310.15, 0.0432], [1, 90.20970584441659, 310.15, 0.046740688682718454], [2, 82.5042304327381, 310.15, 0.04981738709548555], [3, 76.83707243773222, 310.15, 0.05240994031061126], [4, 72.64155150002452, 310.15, 0.05454814257342371], [5, 69.51831099059433, 310.15, 0.056280982622082004], [6, 67.18272056691049, 310.15, 0.05766566510876635], [7, 65.4297271489846, 310.15, 0.058759836878318296], [8, 64.11015773184772, 310.15, 0.059616881752659646], [9, 63.11456046433551, 310.15, 0.060283602730690354], [10, 62.362043572981, 310.15, 0.06079951513743474]]",41.30433901393516,1955.8029553261708,16862.79346190881,-241.8448168801331,898.0638573030266,843.9295480486517,514.7924911956857,62.43307608696517,63.20622104818784,0.7151856411275015,0.339372880516807,-1046099.9086023292,303564.391144737,2194.7479568760064,-6.074273017460143,"(5619.122130929109, 186332.86387317852, 17579.305592556266)","{'ShellAndTubePackedColumn': 1168332109.9348304, 'Material': 147354126.857228, 'VacuumPump': 9376792.682503944, 'CentrifugalCompressor': 43021024.054696545, 'SteamBoiler': 74336798.45600809, 'ForcedDraughtCoolingTower': 13741191.136518914}","{'Fixed': 940331779.3116235, 'Electricity': 420388485.21226054, 'Heat': 13940289704.284435, 'Makeup-water': 1315176548.3901677, 'Adsorbent': 266335500.28714854, 'npv_CC': 22710838380.83749}","{'CAC_CAPEX': -29.629186721047482, 'CAC_FixedOPEX': -12.077887418147634, 'CAC_VariableOPEX': -200.20647011147233}",630.3792664593417,43247.01375134309,1086.2096285723242,5.17129850582655,0.0006453156296469,5.170343211712995,0.0003099784839095,0.1410433206647753,73.86493508008732,1.0326543631301267e-06,3.925771000223591,0.0096436210393009,54.71776082235513,15.245417661061031,39.3356754840949,0.1366676771992022,0.0002278656221892,0.0019582168035346,0.0207900797155579,6.87626989234574e-10,1.3575049077706737e-18,2.9064105325727256e-10,3.9698593461979644e-10,1.844991723364697e-08,3.5749088555841942e-09,1.4720338748970527e-08,8.910501534614548e-10,9.411607498769965e-08,4.592814863801806e-07,0.0070101081639269,0.0299307854471061,-240.83444012073565,-336.78328695922795
7,CuAlPyC,58.51030185970088,94.78292639886686,0.2573476062865932,1.1955481250069258,0.3453548114232739,-0.3453548114232739,0.0049270179984817,"[17419.0579865769, 12351.866847045128]","[[351.20705700026974, 6801.903914594885], [522.4879426023764, 6210.176332994288], [17419.0579865769, 12351.866847045128]]","[774.9176827376721, 397.830467427127, 14.98987066276557, 9.524083238386059, 180.70604071626116, 171.86722069313223]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 95.64982634934984, 310.15, 0.04490865500267684], [2, 90.82659887418606, 310.15, 0.04649910159471533], [3, 86.71246889626751, 310.15, 0.04797107372671812], [4, 83.19142802401413, 310.15, 0.049326337467588834], [5, 80.1687491219688, 310.15, 0.05056829160649957], [6, 77.7531164150677, 310.15, 0.05170460827346482], [7, 75.97395910628737, 310.15, 0.052752823368677], [8, 74.382194048759, 310.15, 0.053731607892368326], [9, 72.95646567985615, 310.15, 0.05464327684540037], [10, 71.67813374092815, 310.15, 0.05549046204449172], [11, 70.53088077030424, 310.15, 0.05627603190754451], [12, 69.500383955954, 310.15, 0.0570030193253964], [13, 68.57403958589992, 310.15, 0.05767455810655723]]",102.3414561521038,468.1713658972632,835.929306848976,186.30222633401743,112.10629407965908,61.7978415930754,134.34700919246535,7.847225195826248,8.525656457223077,0.5286619445486948,1.1955481250069258,255118.09013629376,300074.054986897,127.28587116164148,7.764987843366604,"(303.01281800348056, 5980.369338819055, 947.9692382596517)","{'ShellAndTubePackedColumn': 263577069.51991212, 'Material': 41347570.466152735, 'VacuumPump': 2286227.7903183755, 'CentrifugalCompressor': 36605658.861166835, 'SteamBoiler': 2635373.1532306136, 'ForcedDraughtCoolingTower': 2117658.7322469354}","{'Fixed': 225725737.24136907, 'Electricity': 22669573.03868373, 'Heat': 447414800.52868927, 'Makeup-water': 70921283.22078343, 'Adsorbent': 74733745.84500645, 'npv_CC': 22449712693.214584}","{'CAC_CAPEX': 54.092312319277305, 'CAC_FixedOPEX': 22.030267485352066, 'CAC_VariableOPEX': 110.57379202712066}",646.6201443166593,186.30222633401743,7.764987843366604,0.8137018191512649,0.0001051619646139,0.8135166742778578,7.998290879275352e-05,0.0722106640941258,8.030797229493956,5.814662147578928e-07,1.33120781241234,0.003657108670769,18.794758691517224,1.86362798951065,16.91548577214951,0.0156449298570693,0.0001236291375974,0.0007852836982222,0.0083650131961657,1.509332404716457e-10,1.4327656918845061e-19,1.2358929489475894e-10,2.7343945433610134e-11,7.0361183952698394e-09,5.671958319442262e-10,6.444410188042181e-09,1.9983871049154835e-10,5.0573663090587165e-08,2.422798710565888e-08,0.0022157471517872,0.0099309654660627,187.66708110275565,17.657886763628444
8,CuAlPyC-FF2,41.30383039914169,90.677380736836,0.1564075970945263,0.93161988620577,0.5517217182933761,-0.5517217182933761,0.0074247940050671,"[10586.743131764832, 15044.640276164399]","[[403.4485744435741, 7877.943399563694], [595.5181722163977, 7443.001155160423], [10586.743131764832, 15044.640276164399]]","[604.3960180299632, 237.08697538632103, 17.073840463362668, 9.87447707141419, 165.86274038405583, 174.49798472480956]",586.449045,"[[0, 101.325, 310.15, 0.0432], [1, 96.44259218522483, 310.15, 0.04460215760871043], [2, 92.29156020010062, 310.15, 0.04590019916855498], [3, 88.72814521417415, 310.15, 0.047103020494854805], [4, 85.79544339951319, 310.15, 0.04822308854920321], [5, 83.44285345776437, 310.15, 0.04928062576184751], [6, 81.31937786252334, 310.15, 0.05028208926179172], [7, 79.3989473447315, 310.15, 0.05122818688952025], [8, 77.61862499299778, 310.15, 0.0521181740106532], [9, 76.013094058628, 310.15, 0.05295276398816682], [10, 74.5633667317845, 310.15, 0.05373402193516796], [11, 73.25280161159363, 310.15, 0.05446415001781953], [12, 72.08215393378008, 310.15, 0.05514612041111989], [13, 71.06553042812686, 310.15, 0.05578481813876042], [14, 70.13682050777773, 310.15, 0.056382911427746686]]",49.08659829819199,612.1834064291029,2278.2944352366267,828.1013230483569,182.1276117337558,131.0041258181756,169.4154377755958,12.53633777689006,13.23485774438191,0.5968033010449008,0.93161988620577,144565.5804814013,306024.7147738363,301.3625623417786,28.5720156136458,"(779.9506995359973, 22080.46838404135, 2440.0593855759894)","{'ShellAndTubePackedColumn': 344956229.5390434, 'Material': 54113592.030532986, 'VacuumPump': 4508777.448472689, 'CentrifugalCompressor': 40018300.76039683, 'SteamBoiler': 8808920.197759107, 'ForcedDraughtCoolingTower': 3385617.2150694085}","{'Fixed': 294904070.79263914, 'Electricity': 58351159.75028046, 'Heat': 1651926126.618916, 'Makeup-water': 182550377.98237714, 'Adsorbent': 97807716.0998067, 'npv_CC': 22894904806.067154}","{'CAC_CAPEX': 180.09987325298013, 'CAC_FixedOPEX': 73.36067745769769, 'CAC_VariableOPEX': 575.7366339347808}",639.9538036054469,828.1013230483569,28.5720156136458,1.2034129772893238,0.0001539732289383,1.2031576998518128,0.0001013042085721,0.0789964167921669,13.878726367230822,7.31093218487303e-07,1.5732313795566553,0.0042242722222578,22.16381510006856,3.0585571438594146,19.078801925953822,0.0264560302553341,0.0001343038038233,0.0008972555167958,0.0095536400036528,2.002322687918517e-10,2.514965902918409e-19,1.4019098335036707e-10,6.004128518998813e-11,8.16158508504191e-09,8.365848152885083e-10,7.286129978863126e-09,2.6506173365695563e-10,5.4890665850716615e-08,6.232193847757142e-08,0.0026616084208981,0.0117952565189154,849.8071984978106,-18.4449559884774
9,DAZMID,27.852323303523548,85.82657560286597,0.0258619605669714,0.2941103195407828,3.2983721524238416,-3.2983721524238416,0.0104287906627745,"[1396.6990048724183, 3617.959878882979]","[[91.12056974776488, 2065.909553608641], [61.38259083461492, 1056.7624274527236], [1396.6990048724183, 3617.959878882979]]","[316.5582839339541, 29.32207253119823, 5.218504756282472, 7.302626794423, 133.81022961127195, 140.9048502407785]",467.915175,"[[0, 101.325, 310.15, 0.0432], [1, 75.55391299092457, 310.15, 0.040286925055668193], [2, 68.21199879072235, 310.15, 0.040457012381949875], [3, 66.10224781131431, 310.15, 0.04164952292109517], [4, 64.53680493814174, 310.15, 0.04258422218956718], [5, 63.37427384974176, 310.15, 0.043307911375894965], [6, 62.510389202723, 310.15, 0.043862938365631245], [7, 61.86810504136842, 310.15, 0.044285531730719765]]",188.13970815256732,2434.942545401956,22179.560035336144,-228.39829719129776,1076.1409197421335,1025.5837823383276,640.3693181505619,74.94631087675566,75.68907701645838,0.6745525209845235,0.2941103195407827,-1456603.2668836354,326444.9707895039,2849.8407278009927,-5.608001717624231,"(7384.194803844078, 246241.92317403998, 23101.298385603423)","{'ShellAndTubePackedColumn': 1460861734.257515, 'Material': 182847207.0109083, 'VacuumPump': 7316435.750862211, 'CentrifugalCompressor': 46118252.82369926, 'SteamBoiler': 98237293.37873021, 'ForcedDraughtCoolingTower': 17516895.620858815}","{'Fixed': 1170493634.2334223, 'Electricity': 552440469.4843285, 'Heat': 18422320545.25075, 'Makeup-water': 1728298408.270134, 'Adsorbent': 330487536.34529996, 'npv_CC': 24422623957.573402}","{'CAC_CAPEX': -26.62624479110058, 'CAC_FixedOPEX': -10.854778141101015, 'CAC_VariableOPEX': -190.96786065691325}",629.5183263747721,55804.69644683071,1370.206509303386,6.142772226279422,0.0007657456630712,6.141648173856594,0.000358306759759,0.1511407704757768,88.92290232743872,1.1838071249748898e-06,4.430408538373398,0.0107586329878203,61.68589988957898,18.289291358298623,43.23229389234152,0.1643146389388161,0.0002421393331561,0.0021707210927227,0.0230389246537796,8.034924103816663e-10,1.6359995667639645e-18,3.2034188150777133e-10,4.831505272378955e-10,2.0609626087657237e-08,4.245267796296537e-09,1.6178256377398663e-08,1.0412844244588246e-09,1.0005419397990989e-07,5.609211526376141e-07,0.0079652573393486,0.0338512991435722,-227.52978737339063,-441.3865292870901
