Label,Source,Formula,Density (g.cm⁻³),PLD (Å),Cp (J.g⁻¹.K⁻¹),Link to Publication
AlTBAPy,Experimental,Al8 H96 C176 O40,0.807874,7.17877,0.97940674,10.1038/s41586-019-1798-7
AlTCPP,Experimental,Al4 H56 C96 N8 O20,0.801547,5.27796,0.984174699,10.1002/anie.201202471
AlTCPP-FF2,Experimental,Al4 H56 C96 N8 O20,0.801547,5.27796,0.984174699,10.1002/anie.201202471
CALF20,Experimental,Zn4 H8 C12 N12 O8,1.58017,2.91022,0.721066,10.1126/science.abi7281                                              
Ca-SQA,Experimental,Ca8 H16 C32 O40,1.53549,3.28143,0.910195427,10.1021/acs.energyfuels.1c01642
CAU10,Experimental,Al8 H40 C64 O40,1.14797,3.87621,0.962677565,10.1039/C6TA01757F
CAU21,Experimental,Al16 H144 C240 O96,1.15141,3.10188,0.989587496,10.1021/acs.inorgchem.0c00840                                        
CuAlPyC,Experimental,Al16 Cu16 H96 C128 N64 O88,1.43211,3.93233,0.842261,Not Available
CuAlPyC-FF2,Experimental,Al16 Cu16 H96 C128 N64 O88,1.43211,3.93233,0.842261,Not Available
DAZMID,Experimental,Al8 H72 C120 O48,1.14265,3.45727,0.988294857,10.1021/acs.inorgchem.7b00202                                        
ddmof_16520,In Silico,Zn14 H20 C64 N32 O40,1.63786,3.14575,0.738486584,10.1021/acsami.1c16220                                               
ddmof_16703,In Silico,Co8 H124 C120 O40,0.92845,4.07164,0.959458478,10.1021/acsami.1c16220                                               
ddmof_21502,In Silico,Ni8 H76 C120 O28,1.18524,4.40833,0.915860161,10.1021/acsami.1c16220                                               
ddmof_2168,In Silico,Ni16 H48 C112 O56 F36,1.22069,3.52409,0.800510715,10.1021/acsami.1c16220
ddmof_22214,In Silico,Zn24 H192 C300 O84,1.01504,4.27245,0.870567279,10.1021/acsami.1c16220
ddmof_22243,In Silico,Zn24 H228 C360 O84,1.07564,4.71638,0.901633708,10.1021/acsami.1c16220
ddmof_22389,In Silico,Ni8 H76 C168 N12 O52,1.28807,4.12712,0.896346991,10.1021/acsami.1c16220
ddmof_22800,In Silico,Cd8 H52 C80 O34,1.45179,3.89912,0.681585831,10.1021/acsami.1c16220
ddmof_22900,In Silico,Ni8 H22 C54 O28 F18,1.12931,4.02259,0.797980885,10.1021/acsami.1c16220
ddmof_22908,In Silico,Cd4 H56 C86 O17,1.07914,3.66645,0.787520143,10.1021/acsami.1c16220
ddmof_23350,In Silico,Zn14 H168 C264 O40,0.987478,4.4415,0.922509331,10.1021/acsami.1c16220
ddmof_23421,In Silico,Ni64 H608 C480 O224,0.932942,4.60922,0.879651868,10.1021/acsami.1c16220
ddmof_23639,In Silico,Ni32 H304 C480 O112,1.05484,3.78039,0.918994156,10.1021/acsami.1c16220
ddmof_23741,In Silico,Ni24 H228 C360 O84,1.06214,4.08131,0.921428899,10.1021/acsami.1c16220
ddmof_23744,In Silico,Zn8 H76 C120 O28,1.18806,4.65752,0.899161816,10.1021/acsami.1c16220
ddmof_3313,In Silico,Co12 H64 C144 O42,1.47101,3.27352,0.911236421,10.1021/acsami.1c16220
ddmof_6878,In Silico,Co12 H36 C136 O42 F72,1.20662,3.47927,0.805154439,10.1021/acsami.1c16220
ddmof_6949,In Silico,Co12 H24 C124 N12 O42 F72,1.22662,3.74266,0.794400533,10.1021/acsami.1c16220
ddmof_7975,In Silico,Ni18 H114 C216 O78,1.12428,3.83594,0.895828783,10.1021/acsami.1c16220
MgMOF74,Experimental,Mg6 H6 C24 O18,0.878586,11.06654,0.812869153,10.1021/acs.jpcc.6b03393                                             
MIL-160-Al,Experimental,Al8 H24 C48 O48,1.0947,4.36983,0.921517469,10.1002/ejic.201800323
MIL-53-NH2-Al,Experimental,Al8 H48 C64 N8 O40,1.05569,6.23576,0.992285312,10.1039/C2CE26586A
MIL-96-Al,Experimental,Al24 H88 C108 O116,1.1364,3.81919,0.973830052,10.1021/acs.chemmater.7b03203
RSM0011,Experimental,Ni2 H2 C10 O8,1.67997,3.10143,0.721502512,10.1107/S1600536803019196
